gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanoak,gene_names_cyanorak,Ontology_term,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description
gyrA,gyrA,PMN2A_RS06615,PMN2A_0689,Protein Homology,1187028.0,1189646.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824101.1,DNA gyrase subunit A,WP_011294778.1,PMN2A_0689,1187028.0,1189646.0,-,CK_Pro_NATL2A_00689,gyrA,"GO:0006265,GO:0003916,GO:0003918,GO:0009330",CK_00000028,F.1,DNA replication%2C recombination%2C and repair,"COG0188,bactNOG01176,cyaNOG00012","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",5.99.1.3,Transferred to 5.6.2.2,"DNA topological change,DNA topological change,DNA topoisomerase activity,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity,DNA topological change,DNA topoisomerase activity,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) complex",DNA gyrase%2C A subunit,"TIGR01063,PF00521,PF03989,IPR002205,IPR005743,IPR006691","DNA gyrase%2C A subunit,DNA gyrase/topoisomerase IV%2C subunit A,DNA gyrase C-terminal domain%2C beta-propeller,DNA topoisomerase%2C type IIA%2C subunit A/C-terminal,DNA gyrase%2C subunit A,DNA gyrase/topoisomerase IV%2C subunit A%2C C-terminal repeat",132,DNA metabolism / DNA replication%2C recombination%2C and repair
PMN2A_RS06620,,PMN2A_RS06620,PMN2A_0690,Protein Homology,1189901.0,1191064.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127590.1,GuaB3 family IMP dehydrogenase-related protein,WP_011294779.1,PMN2A_0690,1189901.0,1191064.0,+,CK_Pro_NATL2A_00690,guaB,"GO:0055114,GO:0006164,GO:0006177,GO:0003824,GO:0016491,GO:0003938,GO:0042802,GO:0046872",CK_00001005,M.3,Purine ribonucleotide biosynthesis,"COG0516,bactNOG01824,cyaNOG01086","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",1.1.1.205,IMP dehydrogenase%3B inosine-5'-phosphate dehydrogenase%3B inosinic acid dehydrogenase%3B inosinate dehydrogenase%3B inosine 5'-monophosphate dehydrogenase%3B inosine monophosphate dehydrogenase%3B IMP oxidoreductase%3B inosine monophosphate oxidoreductase,"oxidation-reduction process,purine nucleotide biosynthetic process,GMP biosynthetic process,oxidation-reduction process,purine nucleotide biosynthetic process,GMP biosynthetic process,catalytic activity,oxidoreductase activity,IMP dehydrogenase activity,identical protein binding,metal ion binding",inositol-5-monophosphate dehydrogenase,"TIGR01304,PF00478,IPR001093,IPR005992,IPR013785","IMP dehydrogenase family protein,IMP dehydrogenase / GMP reductase domain,IMP dehydrogenase/GMP reductase,IMP dehydrogenase-related 2,Aldolase-type TIM barrel",125,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Purine ribonucleotide biosynthesis
trxA,trxA,PMN2A_RS06625,PMN2A_0691,Protein Homology,1191281.0,1191604.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_017312996.1,thioredoxin,WP_011294780.1,PMN2A_0691,1191281.0,1191604.0,+,CK_Pro_NATL2A_00691,trxA,"GO:0006125,GO:0045454,GO:0006662,GO:0030508,GO:0015035",CK_00008028,"D.1.4,G.2","Oxidative stress,Electron transport","COG3118,COG0526,bactNOG37263,cyaNOG06633,cyaNOG02928,cyaNOG07265","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,COG: OC,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",,,"obsolete thioredoxin pathway,cell redox homeostasis,glycerol ether metabolic process,obsolete thioredoxin pathway,cell redox homeostasis,glycerol ether metabolic process,obsolete thiol-disulfide exchange intermediate activity,protein disulfide oxidoreductase activity",m-type thioredoxin,"TIGR01068,PF00085,PS00194,PS51352,IPR012336,IPR017937,IPR005746,IPR013766","thioredoxin,Thioredoxin,Thioredoxin family active site.,Thioredoxin domain profile.,Thioredoxin-like fold,Thioredoxin%2C conserved site,Thioredoxin,Thioredoxin domain",112,Energy metabolism / Electron transport
hisH,hisH,PMN2A_RS06630,PMN2A_0692,Protein Homology,1191659.0,1192288.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824103.1,imidazole glycerol phosphate synthase subunit HisH,WP_011294781.1,PMN2A_0692,1191659.0,1192288.0,+,CK_Pro_NATL2A_00692,hisH,"GO:0000105,GO:0006541,GO:0008652,GO:0000107,GO:0016884,GO:0016740,GO:0016763,GO:0009382,GO:0005737",CK_00000075,"A.4,D.1.9","Histidine family, Other","COG0118,bactNOG17802,bactNOG68319,cyaNOG00850","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",2.4.2.-,,"histidine biosynthetic process,glutamine metabolic process,cellular amino acid biosynthetic process,histidine biosynthetic process,glutamine metabolic process,cellular amino acid biosynthetic process,imidazoleglycerol-phosphate synthase activity,carbon-nitrogen ligase activity%2C with glutamine as amido-N-donor,transferase activity,transferase activity%2C transferring pentosyl groups,histidine biosynthetic process,glutamine metabolic process,cellular amino acid biosynthetic process,imidazoleglycerol-phosphate synthase activity,carbon-nitrogen ligase activity%2C with glutamine as amido-N-donor,transferase activity,transferase activity%2C transferring pentosyl groups,imidazoleglycerol-phosphate synthase complex,cytoplasm",imidazole glycerol phosphate synthase%2C HisH subunit,"TIGR01855,PF00117,PS51273,IPR010139,IPR017926,IPR029062","imidazole glycerol phosphate synthase%2C glutamine amidotransferase subunit,Glutamine amidotransferase class-I,Glutamine amidotransferase type 1 domain profile.,Imidazole glycerol phosphate synthase%2C subunit H,Glutamine amidotransferase,Class I glutamine amidotransferase-like",161,Amino acid biosynthesis / Histidine family
rsmD,rsmD,PMN2A_RS06635,PMN2A_0693,Protein Homology,1192311.0,1192901.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294782.1,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,WP_011294782.1,PMN2A_0693,1192311.0,1192901.0,+,CK_Pro_NATL2A_00693,rsmD,"GO:0031167,GO:0032259,GO:0070475,GO:0006364,GO:0008168,GO:0052913,GO:0003676,GO:0016740",CK_00001006,K.3,tRNA and rRNA base modification,"COG0742,bactNOG26579,bactNOG36593,cyaNOG02697","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",2.1.1.171,Transferred to 2.1.1.171 and 2.1.1.172 and 2.1.1.173 and 2.1.1.174,"rRNA methylation,methylation,rRNA base methylation,rRNA processing,rRNA methylation,methylation,rRNA base methylation,rRNA processing,methyltransferase activity,16S rRNA (guanine(966)-N(2))-methyltransferase activity,nucleic acid binding,transferase activity",16S rRNA m2G966 methyltransferase,"TIGR00095,PF03602,PS00092,IPR002052,IPR004398,IPR029063","16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,Conserved hypothetical protein 95,N-6 Adenine-specific DNA methylases signature.,DNA methylase%2C N-6 adenine-specific%2C conserved site,RNA methyltransferase%2C RsmD,S-adenosyl-L-methionine-dependent methyltransferase",168,Protein synthesis / tRNA and rRNA base modification
petG,petG,PMN2A_RS10145,PMN2A_0694,Protein Homology,1192882.0,1193001.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294783.1,cytochrome b6-f complex subunit V,WP_011294783.1,PMN2A_0694,1192882.0,1193001.0,-,CK_Pro_NATL2A_00694,petG,"GO:0006810,GO:0022900,GO:0015979,GO:0009535,GO:0016021,GO:0009512",CK_00001500,J.3,Cytochrome b6/f complex,"NOG300305,bactNOG54472,cyaNOG09174,cyaNOG09223","bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"transport,electron transport chain,photosynthesis,transport,electron transport chain,photosynthesis,chloroplast thylakoid membrane,integral component of membrane,cytochrome b6f complex",cytochrome b6-f complex subunit 5,"PF02529,IPR003683","Cytochrome B6-F complex subunit 5,Cytochrome b6/f complex%2C subunit 5",164,Energy metabolism / Photosynthesis
PMN2A_RS06640,,PMN2A_RS06640,PMN2A_0695,Protein Homology,1193057.0,1193446.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294784.1,c-type cytochrome,WP_011294784.1,PMN2A_0695,1193057.0,1193446.0,+,CK_Pro_NATL2A_00695,cytM,"GO:0009055,GO:0020037",CK_00001007,G.2,Electron transport,"COG2010,bactNOG37422,bactNOG54263,cyaNOG03651","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"electron transfer activity,heme binding",cytochrome cM,"PF00034,PS51007,IPR009056","Cytochrome c,Cytochrome c family profile.,Cytochrome c-like domain",112,Energy metabolism / Electron transport
PMN2A_RS06645,,PMN2A_RS06645,PMN2A_0696,Protein Homology,1193449.0,1194186.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294785.1,RNA methyltransferase,WP_011294785.1,PMN2A_0696,1193449.0,1194186.0,+,CK_Pro_NATL2A_00696,,"GO:0009451,GO:0006396,GO:0008173,GO:0003723,GO:0008173",CK_00001008,"D.1.9,K.3"," Other,tRNA and rRNA base modification","COG0565,bactNOG30690,bactNOG17730,bactNOG42852,cyaNOG02015","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",2.1.1.-,,"RNA modification,RNA processing,RNA modification,RNA processing,RNA methyltransferase activity,RNA binding,RNA methyltransferase activity",RNA methyltransferase%2C TrmH %2C group 1 family protein,"TIGR00050,PF00588,IPR001537,IPR004384,IPR029028,IPR029026","RNA methyltransferase%2C TrmH family%2C group 1,SpoU rRNA Methylase family,tRNA/rRNA methyltransferase%2C SpoU type,RNA methyltransferase TrmJ/LasT,Alpha/beta knot methyltransferases,tRNA (guanine-N1-)-methyltransferase%2C N-terminal",168,Protein synthesis / tRNA and rRNA base modification
PMN2A_RS06650,,PMN2A_RS06650,PMN2A_0697,Protein Homology,1194240.0,1195313.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294786.1,serine hydrolase,WP_011294786.1,PMN2A_0697,1194240.0,1195313.0,+,CK_Pro_NATL2A_00697,penP,,CK_00001297,D.8,Toxin production and resistance,"COG2367,bactNOG05019,bactNOG39264,bactNOG35769,cyaNOG02345","COG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,cyaNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms",3.5.2.6,beta-lactamase%3B penicillinase%3B cephalosporinase%3B neutrapen%3B penicillin beta-lactamase%3B exopenicillinase%3B ampicillinase%3B penicillin amido-beta-lactamhydrolase%3B penicillinase I%2C II%3B beta-lactamase I-III%3B beta-lactamase A%2C B%2C C%3B beta-lactamase AME I%3B cephalosporin-beta-lactamase,,beta-lactamase class A,PF13354,Beta-lactamase enzyme family,94,Cellular processes / Toxin production and resistance
bchI,bchI,PMN2A_RS06655,PMN2A_0698,Protein Homology,1195425.0,1196513.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824109.1,magnesium chelatase ATPase subunit I,WP_011294787.1,PMN2A_0698,1195425.0,1196513.0,+,CK_Pro_NATL2A_00698,chlI,"GO:0015995,GO:0016851,GO:0016887,GO:0046406,GO:0010007",CK_00001009,B.5.2,Chlorophylls and porphyrins,"COG1239,bactNOG02235,cyaNOG00357","COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",6.6.1.1,magnesium chelatase%3B protoporphyrin IX magnesium-chelatase%3B protoporphyrin IX Mg-chelatase%3B magnesium-protoporphyrin IX chelatase%3B magnesium-protoporphyrin chelatase%3B magnesium-chelatase%3B Mg-chelatase%3B Mg-protoporphyrin IX magnesio-lyase,"chlorophyll biosynthetic process,chlorophyll biosynthetic process,magnesium chelatase activity,ATPase activity,magnesium protoporphyrin IX methyltransferase activity,chlorophyll biosynthetic process,magnesium chelatase activity,ATPase activity,magnesium protoporphyrin IX methyltransferase activity,magnesium chelatase complex",protoporphyrin IX Mg-chelatase%2C subunit ChlI,"TIGR02030,PF01078,IPR011775,IPR000523","magnesium chelatase ATPase subunit I,Magnesium chelatase%2C subunit ChlI,Magnesium chelatase%2C ATPase subunit I,Magnesium chelatase ChlI domain",191,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Chlorophyll and bacteriochlorphyll
ruvC,ruvC,PMN2A_RS06660,PMN2A_0699,Protein Homology,1196514.0,1196978.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824110.1,crossover junction endodeoxyribonuclease RuvC,WP_011294788.1,PMN2A_0699,1196514.0,1196978.0,+,CK_Pro_NATL2A_00699,ruvC,"GO:0000725,GO:0000737,GO:0071932,GO:0009432,GO:0000725,GO:0000737,GO:0071932,GO:0006281,GO:0006310,GO:0006974,GO:0090305,GO:0005515,GO:0008821,GO:0000287,GO:0003676,GO:0009378,GO:0004003,GO:0004518,GO:0004520,GO:0016787,GO:0046872,GO:0048476,GO:0009379",CK_00001010,F.1.4,Homologous recombination,"COG0817,bactNOG30639,cyaNOG02606","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",3.1.22.4,crossover junction endodeoxyribonuclease%3B Hje endonuclease%3B Holliday junction endonuclease CCE1%3B Holliday junction resolvase%3B Holliday junction-cleaving endonuclease%3B Holliday junction-resolving endoribonuclease%3B RusA Holliday junction resolvase%3B RusA endonuclease%3B RuvC endonuclease%3B SpCCe1 Holliday junction resolvase%3B crossover junction endoribonuclease%3B cruciform-cutting endonuclease%3B endo X3%3B endonuclease RuvC%3B endonuclease VII%3B endonuclease X3%3B resolving enzyme CCE1,"recombinational repair,DNA catabolic process%2C endonucleolytic,replication fork reversal,SOS response,recombinational repair,DNA catabolic process%2C endonucleolytic,replication fork reversal,DNA repair,DNA recombination,cellular response to DNA damage stimulus,nucleic acid phosphodiester bond hydrolysis,recombinational repair,DNA catabolic process%2C endonucleolytic,replication fork reversal,SOS response,recombinational repair,DNA catabolic process%2C endonucleolytic,replication fork reversal,DNA repair,DNA recombination,cellular response to DNA damage stimulus,nucleic acid phosphodiester bond hydrolysis,protein binding,crossover junction endodeoxyribonuclease activity,magnesium ion binding,nucleic acid binding,four-way junction helicase activity,DNA helicase activity,nuclease activity,endodeoxyribonuclease activity,hydrolase activity,metal ion binding,recombinational repair,DNA catabolic process%2C endonucleolytic,replication fork reversal,SOS response,recombinational repair,DNA catabolic process%2C endonucleolytic,replication fork reversal,DNA repair,DNA recombination,cellular response to DNA damage stimulus,nucleic acid phosphodiester bond hydrolysis,protein binding,crossover junction endodeoxyribonuclease activity,magnesium ion binding,nucleic acid binding,four-way junction helicase activity,DNA helicase activity,nuclease activity,endodeoxyribonuclease activity,hydrolase activity,metal ion binding,Holliday junction resolvase complex,Holliday junction helicase complex",crossover junction endodeoxyribonuclease RuvC,"TIGR00228,PF02075,PS01321,IPR002176,IPR020563","crossover junction endodeoxyribonuclease RuvC,Crossover junction endodeoxyribonuclease RuvC,Crossover junction endodeoxyribonuclease ruvC signature.,Crossover junction endodeoxyribonuclease RuvC,Crossover junction endodeoxyribonuclease RuvC%2C magnesium-binding site",132,DNA metabolism / DNA replication%2C recombination%2C and repair
PMN2A_RS06665,,PMN2A_RS06665,PMN2A_0700,Protein Homology,1197007.0,1197603.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824111.1,5-formyltetrahydrofolate cyclo-ligase,WP_011294789.1,PMN2A_0700,1197007.0,1197603.0,+,CK_Pro_NATL2A_00700,,GO:0030272,CK_00001011,E.2,One-carbon metabolism,"COG0212,NOG118083,NOG147784,bactNOG98985,bactNOG98632,bactNOG101591,bactNOG44238,bactNOG98690,bactNOG101310,cyaNOG02801","COG: METABOLISM [H] Coenzyme transport and metabolism,COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",6.3.3.2,5-formyltetrahydrofolate cyclo-ligase%3B 5%2C10-methenyltetrahydrofolate synthetase%3B formyltetrahydrofolic cyclodehydrase%3B 5-formyltetrahydrofolate cyclodehydrase,5-formyltetrahydrofolate cyclo-ligase activity,5-formyltetrahydrofolate cyclo-ligase,"TIGR02727,PF01812,IPR002698","5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase family,5-formyltetrahydrofolate cyclo-ligase",698,Central intermediary metabolism / One-carbon metabolism
PMN2A_RS06670,,PMN2A_RS06670,PMN2A_0701,Protein Homology,1197646.0,1198110.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824112.1,SufE family protein,WP_011294790.1,PMN2A_0701,1197646.0,1198110.0,+,CK_Pro_NATL2A_00701,sufE,"GO:0006810,GO:0006979,GO:0031162,GO:0043085,GO:0051347,GO:0006790,GO:0016226,GO:0005515,GO:0008047,GO:0042803,GO:0097163",CK_00001012,"D.1.1,D.1.4,E.7","Iron,Oxidative stress,Sulfur metabolism","COG2166,bactNOG43821,bactNOG24790,bactNOG37071,cyaNOG06934,cyaNOG02658","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,"transport,response to oxidative stress,sulfur incorporation into metallo-sulfur cluster,positive regulation of catalytic activity,positive regulation of transferase activity,sulfur compound metabolic process,iron-sulfur cluster assembly,transport,response to oxidative stress,sulfur incorporation into metallo-sulfur cluster,positive regulation of catalytic activity,positive regulation of transferase activity,sulfur compound metabolic process,iron-sulfur cluster assembly,protein binding,enzyme activator activity,protein homodimerization activity,sulfur carrier activity",sulfur acceptor for SufS cysteine desulfurase,"PF02657,IPR003808","Fe-S metabolism associated domain,Fe-S metabolism associated domain%2C SufE-like",106,Central intermediary metabolism / Sulfur metabolism
PMN2A_RS06675,,PMN2A_RS06675,PMN2A_0702,Protein Homology,1198146.0,1199462.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294791.1,homoserine dehydrogenase,WP_011294791.1,PMN2A_0702,1198146.0,1199462.0,+,CK_Pro_NATL2A_00702,thrA,"GO:0055114,GO:0008152,GO:0006520,GO:0016491,GO:0050661,GO:0016597",CK_00001013,"A.2,A.6","Aspartate family (Asp%2C Asn%2C Ile%2C Lys%2C Met%2C Thr),Serine family (Ser%2C Gly%2C Cys)","COG0460,bactNOG01791,cyaNOG00961","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",1.1.1.3,homoserine dehydrogenase%3B HSDH%3B HSD,"oxidation-reduction process,metabolic process,cellular amino acid metabolic process,oxidation-reduction process,metabolic process,cellular amino acid metabolic process,oxidoreductase activity,NADP binding,amino acid binding",homoserine dehydrogenase,"PF03447,PF01842,PF00742,PS01042,PS51671,IPR005106,IPR002912,IPR019811,IPR001342","Homoserine dehydrogenase%2C NAD binding domain,ACT domain,Homoserine dehydrogenase,Homoserine dehydrogenase signature.,ACT domain profile.,Aspartate/homoserine dehydrogenase%2C NAD-binding,ACT domain,Homoserine dehydrogenase%2C conserved site,Homoserine dehydrogenase%2C catalytic","71,75","Amino acid biosynthesis / Aspartate family,Amino acid biosynthesis / Serine family"
PMN2A_RS06680,,PMN2A_RS06680,PMN2A_0703,Protein Homology,1199555.0,1199773.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824114.1,hypothetical protein,WP_011294792.1,PMN2A_0703,1199555.0,1199773.0,+,CK_Pro_NATL2A_00703,,,CK_00036391,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved
PMN2A_RS06685,,PMN2A_RS06685,PMN2A_0704,Protein Homology,1199816.0,1201393.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294793.1,ABC transporter substrate-binding protein,WP_011294793.1,PMN2A_0704,1199816.0,1201393.0,+,CK_Pro_NATL2A_00704,dppA,"GO:0055085,GO:0043190",CK_00001014,Q.1,Amino acids%2C peptides and amines,"COG0747,bactNOG09314,bactNOG04223,bactNOG98761,bactNOG12907,bactNOG04082,cyaNOG00910","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",,,"transmembrane transport,transmembrane transport,ATP-binding cassette (ABC) transporter complex",peptide/nickel transport system substrate-binding protein,"PF00496,IPR000914,IPR030678,IPR039424","Bacterial extracellular solute-binding proteins%2C family 5 Middle,Solute-binding protein family 5 domain,Peptide/nickel binding protein%2C MppA-type,Solute-binding protein family 5",142,Transport and binding proteins / Amino acids%2C peptides and amines
PMN2A_RS06690,,PMN2A_RS06690,PMN2A_0705,Protein Homology,1201396.0,1202418.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294794.1,ABC transporter permease,WP_011294794.1,PMN2A_0705,1201396.0,1202418.0,+,CK_Pro_NATL2A_00705,dppB,,CK_00001015,Q.1,Amino acids%2C peptides and amines,"COG0601,bactNOG01401,bactNOG07012,cyaNOG00962,cyaNOG01105","COG: EP,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: P,cyaNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: P",,,,oligopeptide ABC transporter%2C membrane component,"PF00528,PS50928,IPR000515","Binding-protein-dependent transport system inner membrane component,ABC transporter integral membrane type-1 domain profile.,ABC transporter type 1%2C transmembrane domain MetI-like",142,Transport and binding proteins / Amino acids%2C peptides and amines
PMN2A_RS06695,,PMN2A_RS06695,PMN2A_0706,Protein Homology,1202412.0,1204007.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824117.1,alpha/beta hydrolase,WP_041711022.1,PMN2A_0706,1202412.0,1203884.0,-,CK_Pro_NATL2A_00706,,"GO:0016042,GO:0003847",CK_00001016,R.3,Enzymes of unknown specificity,"COG4188,COG0609,bactNOG56015,bactNOG09457,bactNOG80749,cyaNOG05732,cyaNOG01268,cyaNOG05055,cyaNOG04955","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,"lipid catabolic process,lipid catabolic process,1-alkyl-2-acetylglycerophosphocholine esterase activity",alpha/beta hydrolase,"PF07176,PF12695,IPR010802,IPR005065,IPR029059,IPR029058","Alpha/beta hydrolase of unknown function (DUF1400),Alpha/beta hydrolase family,Domain of unknown function DUF1400,Platelet-activating factor acetylhydrolase-like,Alpha/beta hydrolase fold-5,Alpha/Beta hydrolase fold",703,Unknown function / Enzymes of unknown specificity
PMN2A_RS06700,,PMN2A_RS06700,PMN2A_0707,Protein Homology,1203992.0,1205230.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294796.1,MFS transporter,WP_011294796.1,PMN2A_0707,1203992.0,1205230.0,+,CK_Pro_NATL2A_00707,,"GO:0055085,GO:0005215,GO:0022857,GO:0016021",CK_00001298,"D.1.9,Q.9"," Other, Unknown substrate","COG0477,COG2814,NOG329951,NOG246971,NOG315911,NOG326932,NOG329420,bactNOG89126,bactNOG93116,bactNOG99831,bactNOG101744,bactNOG95555,bactNOG102189,cyaNOG01995","COG: GEPR,COG: METABOLISM [G] Carbohydrate transport and metabolism,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism",,,"transmembrane transport,transmembrane transport,transporter activity,transmembrane transporter activity,transmembrane transport,transporter activity,transmembrane transporter activity,integral component of membrane",multidrug efflux transporter%2C MFS family,"PF07690,PS50850,IPR011701","Major Facilitator Superfamily,Major facilitator superfamily (MFS) profile.,Major facilitator superfamily",141,Transport and binding proteins / Unknown substrate
