Gene Name,Protein ID,log2-fold change,p_value,adjusted p_value,Protein.names,resolved_locus_tag,resolution_method
rpoA,Q31L30,-0.878,0.0516,0.11, DNA-directed RNA polymerase subunit alpha OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpoA PE=3 SV=1,Synpcc7942_2209,multi:Gene Name
prs,Q59988,-0.865,0.000292,0.00139, Ribose-phosphate pyrophosphokinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=prs PE=3 SV=1,Synpcc7942_2113,multi:Gene Name
Synpcc7942_0971,Q31PL8,-0.863,0.0783,0.154, Rho_N domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0971 PE=4 SV=1,Synpcc7942_0971,locus_tag:Gene Name
mfd,Q31NL3,-0.86,0.0203,0.049, Transcription-repair-coupling factor OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=mfd PE=3 SV=1,Synpcc7942_1326,tier1:Gene Name
clpR,Q9L4P4,-0.842,0.00164,0.00558, Putative ATP-dependent Clp protease proteolytic subunit-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=clpR PE=3 SV=1,Synpcc7942_2538,tier1:Gene Name
ppc,Q31KY7,-0.835,0.0415,0.0916, Phosphoenolpyruvate carboxylase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ppc PE=3 SV=1,Synpcc7942_2252,multi:Gene Name
lepA,Q31R08,-0.833,0.067,0.136, Elongation factor 4 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=lepA PE=3 SV=1,Synpcc7942_0479,tier1:Gene Name
nrtA,P38043,-0.833,0.000671,0.00272, Nitrate/nitrite binding protein NrtA OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=nrtA PE=1 SV=2,Synpcc7942_1239,tier1:Gene Name
carB,Q31QC6,-0.831,0.00133,0.00468, Carbamoyl-phosphate synthase large chain OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=carB PE=3 SV=1,Synpcc7942_0711,tier1:Gene Name
Synpcc7942_0395,Q31R92,-0.824,0.0212,0.051, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0395 PE=4 SV=1,Synpcc7942_0395,locus_tag:Gene Name
Synpcc7942_0098,Q31S39,-0.823,9.53e-05,0.000564, Pyruvate kinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0098 PE=3 SV=1,Synpcc7942_0098,locus_tag:Gene Name
Synpcc7942_0890,Q31PU9,-0.82,0.000969,0.00364, Glutamate synthase (Ferredoxin) OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0890 PE=4 SV=1,Synpcc7942_0890,locus_tag:Gene Name
Synpcc7942_1638,Q31MQ1,-0.816,0.168,0.284, UPF0367 protein Synpcc7942_1638 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1638 PE=3 SV=1,Synpcc7942_1638,locus_tag:Gene Name
trpD,Q31LB6,-0.816,0.114,0.207, Anthranilate phosphoribosyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=trpD PE=3 SV=1,Synpcc7942_2123,tier1:Gene Name
Synpcc7942_1911,Q31LX8,-0.812,0.000722,0.00286, Cold shock protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1911 PE=3 SV=1,Synpcc7942_1911,locus_tag:Gene Name
Synpcc7942_1289,Q31NQ0,-0.808,0.000312,0.00143, Putative modulator of DNA gyrase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1289 PE=4 SV=1,Synpcc7942_1289,locus_tag:Gene Name
Synpcc7942_0158,Q31RX9,-0.805,0.000734,0.00289, MPT-synthase sulfurylase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=moeB PE=4 SV=1,Synpcc7942_0158,locus_tag:Gene Name
accC,Q54755,-0.799,0.00109,0.00401, Biotin carboxylase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=accC PE=4 SV=1,Synpcc7942_1379,tier1:Gene Name
proS,Q31LT0,-0.799,0.00856,0.0228, Proline--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=proS PE=3 SV=2,Synpcc7942_1959,tier1:Gene Name
rplV,Q31L12,-0.791,0.183,0.304, 50S ribosomal protein L22 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplV PE=3 SV=1,Synpcc7942_2227,tier1:Gene Name
ddl,Q31KL4,-0.771,0.00681,0.0187, D-alanine--D-alanine ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ddl PE=3 SV=1,Synpcc7942_2375,multi:Gene Name
rpsQ,Q31L16,-0.761,0.317,0.465, 30S ribosomal protein S17 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsQ PE=3 SV=1,Synpcc7942_2223,tier1:Gene Name
Synpcc7942_0198,Q31RT9,-0.758,0.0921,0.172, Type 2 NADH dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0198 PE=4 SV=1,Synpcc7942_0198,locus_tag:Gene Name
argH,Q8GIS1,-0.753,0.0651,0.133, Argininosuccinate lyase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=argH PE=3 SV=1,Synpcc7942_2475,multi:Gene Name
Synpcc7942_1719,Q31MH0,-0.748,0.00809,0.0216, Isocitrate dehydrogenase [NADP] OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1719 PE=4 SV=1,Synpcc7942_1719,locus_tag:Gene Name
SEA0026,Q54705,-0.744,0.0192,0.0464, Band 7 protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=SEA0026 PE=4 SV=2,Synpcc7942_2499,tier1:Gene Name
Synpcc7942_0682,Q31QF5,-0.737,0.000366,0.00157, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0682 PE=4 SV=1,Synpcc7942_0682,locus_tag:Gene Name
Synpcc7942_0903,Q31PT6,-0.736,0.00134,0.00468, Aconitate hydratase B OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0903 PE=3 SV=1,Synpcc7942_0903,locus_tag:Gene Name
Synpcc7942_1127,Q31P62,-0.727,0.108,0.197, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1127 PE=4 SV=1,Synpcc7942_1127,locus_tag:Gene Name
purL,Q55041,-0.726,0.000664,0.00271, Phosphoribosylformylglycinamidine synthase subunit PurL OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=purL PE=3 SV=3,Synpcc7942_0003,tier1:Gene Name
rplC,Q31L07,-0.725,0.0461,0.101, 50S ribosomal protein L3 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplC PE=3 SV=1,Synpcc7942_2232,multi:Gene Name
alaS,Q31PW3,-0.719,0.00993,0.0257, Alanine--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=alaS PE=3 SV=2,Synpcc7942_0876,tier1:Gene Name
Synpcc7942_1650,Q31MN9,-0.703,0.00707,0.0193, Phosphorylase kinase alpha subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1650 PE=4 SV=1,Synpcc7942_1650,locus_tag:Gene Name
Synpcc7942_0126,Q31S11,-0.691,0.0186,0.0452, Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0126 PE=3 SV=1,Synpcc7942_0126,locus_tag:Gene Name
Synpcc7942_0978,Q31PL1,-0.689,0.00921,0.0243, Ferredoxin--NADP reductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0978 PE=3 SV=1,Synpcc7942_0978,locus_tag:Gene Name
Synpcc7942_0440,Q31R47,-0.684,0.00476,0.0138, Putative N-acetylglucosamine-6-phosphate deacetylase OS=Synechococcus elongatus (str,Synpcc7942_0440,locus_tag:Gene Name
Synpcc7942_2090,Q31LE9,-0.683,0.0245,0.0578, Homoserine dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=thrA PE=3 SV=1,Synpcc7942_2090,locus_tag:Gene Name
cynS,Q59948,-0.678,0.0324,0.0739, Cyanate hydratase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=cynS PE=1 SV=1,Synpcc7942_2104,tier1:Gene Name
Synpcc7942_0417,Q31R70,-0.672,0.00441,0.013, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0417 PE=4 SV=1,Synpcc7942_0417,locus_tag:Gene Name
Synpcc7942_1087,Q31PA2,-0.666,0.082,0.158, Epimerase domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1087 PE=4 SV=1,Synpcc7942_1087,locus_tag:Gene Name
Synpcc7942_1608,Q31MT1,-0.662,0.00664,0.0183, Mannose-1-phosphate guanylyltransferase (GDP) OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1608 PE=3 SV=1,Synpcc7942_1608,locus_tag:Gene Name
ahcY,Q31QL9,-0.661,0.00189,0.00635, Adenosylhomocysteinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ahcY PE=3 SV=1,Synpcc7942_0618,tier1:Gene Name
SEB0013,Q935Y3,-0.66,0.218,0.347, Photosystem I assembly BtpA OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2513 PE=4 SV=1,,unresolved
Synpcc7942_0610,Q8VPU8,-0.655,0.0768,0.151, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0610 PE=4 SV=1,Synpcc7942_0610,locus_tag:Gene Name
SEB0035,Q8GIT7,-0.625,0.00991,0.0257, DNA gyrase B subunit (Fragment) OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=gyrB PE=4 SV=1,Synpcc7942_2491,tier1:Gene Name
gshB,O32463,-0.62,0.0252,0.0588, Glutathione synthetase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=gshB PE=3 SV=1,Synpcc7942_2324,multi:Gene Name
Synpcc7942_1695,Q31MJ4,-0.616,0.0402,0.0898, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1695 PE=4 SV=1,Synpcc7942_1695,locus_tag:Gene Name
Synpcc7942_0863,Q31PX6,-0.613,0.0563,0.119, DRTGG domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0863 PE=4 SV=1,Synpcc7942_0863,locus_tag:Gene Name
Synpcc7942_2168,Q31L71,-0.613,0.264,0.401, ATP-dependent DNA helicase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2168 PE=3 SV=1,Synpcc7942_2168,locus_tag:Gene Name
uvrA,Q31PZ0,-0.613,0.194,0.319, UvrABC system protein A OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=uvrA PE=3 SV=1,Synpcc7942_0848,tier1:Gene Name
opcA,Q54709,-0.61,0.0226,0.054, Putative OxPP cycle protein OpcA OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=opcA PE=4 SV=2,Synpcc7942_2333,tier1:Gene Name
mtnP,Q31PR6,-0.576,0.37,0.523, S-methyl-5-thioadenosine phosphorylase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=mtnP PE=3 SV=1,Synpcc7942_0923,tier1:Gene Name
clpX,O34126,-0.572,0.126,0.222, ATP-dependent Clp protease ATP-binding subunit ClpX OS=Synechococcus elongatus (strain PC,Synpcc7942_2526,tier1:Gene Name
Synpcc7942_2080,Q31LF9,-0.568,0.118,0.213, Probable phosphoketolase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2080 PE=3 SV=1,Synpcc7942_2080,locus_tag:Gene Name
Synpcc7942_1136,Q31P53,-0.56,0.362,0.514, PBS lyase HEAT-like repeat OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1136 PE=4 SV=1,Synpcc7942_1136,locus_tag:Gene Name
Synpcc7942_2119,Q31LC0,-0.556,0.248,0.38," RNA methyltransferase TrmH, group 3 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2119 PE=3 SV=1",Synpcc7942_2119,locus_tag:Gene Name
rplK,Q31QK3,-0.554,0.498,0.65, 50S ribosomal protein L11 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplK PE=3 SV=1,Synpcc7942_0634,tier1:Gene Name
glg,Q93A73,-0.553,0.195,0.319," Alpha-1,4 glucan phosphorylase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0244 PE=3 S",,unresolved
rplI,Q31K30,-0.549,0.00545,0.0155, 50S ribosomal protein L9 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplI PE=3 SV=1,Synpcc7942_2559,tier1:Gene Name
glgB,P16954,-0.544,0.22,0.347," 1,4-alpha-glucan branching enzyme GlgB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=glgB PE=1 SV=2",Synpcc7942_1085,multi:Gene Name
rpsK,Q31L29,-0.535,0.0473,0.103, 30S ribosomal protein S11 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsK PE=3 SV=1,Synpcc7942_2210,tier1:Gene Name
pyrH,Q31QY1,-0.533,0.326,0.472, Uridylate kinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pyrH PE=3 SV=2,Synpcc7942_0506,tier1:Gene Name
gmd,Q31NJ7,-0.517,0.168,0.284," GDP-mannose 4,6-dehydratase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=gmd PE=3 SV=1",Synpcc7942_1342,multi:Protein ID
petA,Q31NV8,-0.516,0.347,0.498, Cytochrome f OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=petA PE=3 SV=1,Synpcc7942_1231,tier1:Gene Name
Synpcc7942_1178,Q31P11,-0.512,0.198,0.322, Ycf48-like protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1178 PE=3 SV=1,Synpcc7942_1178,locus_tag:Gene Name
gatB,Q31S19,-0.506,0.0106,0.0272, Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=gatB PE=3 SV=1,Synpcc7942_0118,tier1:Gene Name
Synpcc7942_2456,Q31KD3,-0.506,0.113,0.205, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2456 PE=4 SV=1,Synpcc7942_2456,locus_tag:Gene Name
Synpcc7942_2071,Q31LG8,-0.505,0.0629,0.131, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2071 PE=4 SV=1,Synpcc7942_2071,locus_tag:Gene Name
Synpcc7942_1329,Q31NL0,-0.504,0.0837,0.16, TPM_phosphatase domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1329 PE=4 SV=1,Synpcc7942_1329,locus_tag:Gene Name
Synpcc7942_0328,Q31RF9,-0.499,0.0371,0.0839, Phycobilisome core-membrane linker polypeptide OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0328 PE=3 SV=1,Synpcc7942_0328,locus_tag:Gene Name
Synpcc7942_1381,Q31NF8,-0.482,0.0762,0.151, ORF510 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 PE=4 SV=1,Synpcc7942_1381,locus_tag:Gene Name
rpsE,Q31L23,-0.481,0.0282,0.0654, 30S ribosomal protein S5 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsE PE=3 SV=1,Synpcc7942_2216,tier1:Gene Name
glgA,Q935Y7,-0.466,0.0928,0.173, Glycogen synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=glgA PE=3 SV=3,Synpcc7942_2518,tier1:Gene Name
Synpcc7942_2148,Q31L91,-0.466,0.0521,0.111, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2148 PE=4 SV=1,Synpcc7942_2148,locus_tag:Gene Name
aroB,Q31QW2,-0.457,0.0786,0.154, 3-dehydroquinate synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=aroB PE=3 SV=1,Synpcc7942_0525,tier1:Gene Name
ycf4,Q31QI3,-0.457,0.0412,0.0915, Photosystem I assembly protein Ycf4 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ycf4 PE=3 SV=1,Synpcc7942_0654,tier1:Gene Name
rplF,Q31L21,-0.448,0.0168,0.0417, 50S ribosomal protein L6 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplF PE=3 SV=1,Synpcc7942_2218,multi:Gene Name
tr|Q31KN5|Q31KN5_SYNE7,Q31KN5,-0.445,0.417,0.569, Peptidyl-prolyl cis-trans isomerase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2354 PE=3 SV=1,Synpcc7942_2354,multi:Protein ID
serS,Q8GMR7,-0.443,0.152,0.261, Serine--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=serS PE=3 SV=4,Synpcc7942_0449,multi:Gene Name
ffh,Q55311,-0.441,0.101,0.186, Signal recognition particle protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ffh PE=3 SV=1,Synpcc7942_1771,tier1:Gene Name
aspS,Q31NM6,-0.43,0.0136,0.0345, Aspartate--tRNA(Asp/Asn) ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=aspS PE=3 SV=1,Synpcc7942_1313,tier1:Gene Name
cynD,O05347,-0.425,0.0399,0.0894, ATP-binding protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=cynD PE=4 SV=1,Synpcc7942_2105,tier1:Gene Name
fabZ,Q31PQ9,-0.425,0.596,0.728, 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=fabZ PE=3 SV=1,Synpcc7942_0930,multi:Gene Name
Synpcc7942_0459,Q31R28,-0.424,0.458,0.616, S-(hydroxymethyl)glutathione dehydrogenase OS=Synechococcus elongatus (strain PCC 794,Synpcc7942_0459,locus_tag:Gene Name
accD,Q54776,-0.422,0.33,0.477, Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=accD PE=3 SV=1,Synpcc7942_1956,tier1:Gene Name
Synpcc7942_0514,Q31QX3,-0.422,0.241,0.371, OstA-like_N domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0514 PE=4 SV=1,Synpcc7942_0514,locus_tag:Gene Name
SEA0022,Q935X4,-0.418,0.0587,0.123, NADPH-protochlorophyllide oxidoreductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=SEA0022 PE=3 SV=1,Synpcc7942_2503,tier1:Gene Name
Synpcc7942_0260,Q31RM7,-0.414,0.0487,0.105, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0260 PE=3 SV=1,Synpcc7942_0260,locus_tag:Gene Name
purM,Q31PY7,-0.413,0.199,0.322, Phosphoribosylformylglycinamidine cyclo-ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=purM PE=3 SV=1,Synpcc7942_0851,tier1:Gene Name
rplS,Q31K48,-0.41,0.08,0.156, 50S ribosomal protein L19 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplS PE=3 SV=2,Synpcc7942_2541,tier1:Gene Name
metG,Q31P47,-0.406,0.236,0.366, Methionine--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=metG PE=3 SV=1,Synpcc7942_1142,tier1:Gene Name
Synpcc7942_2612,Q31JX7,-0.406,0.218,0.347, Threonine synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2612 PE=3 SV=1,Synpcc7942_2612,locus_tag:Gene Name
rplR,Q31L22,-0.398,0.679,0.8, 50S ribosomal protein L18 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplR PE=3 SV=1,Synpcc7942_2217,tier1:Gene Name
ccmM,Q03513,-0.394,0.0247,0.0582, Carbon dioxide concentrating mechanism protein CcmM OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ccmM PE=1 SV=1,Synpcc7942_1423,tier1:Gene Name
Synpcc7942_0858,Q31PY1,-0.394,0.0746,0.148, Methyl-accepting chemotaxis sensory transducer with phytochrome sensor OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0858 PE=4 SV=1,Synpcc7942_0858,locus_tag:Gene Name
rpsI,Q31L34,-0.384,0.15,0.259, 30S ribosomal protein S9 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsI PE=3 SV=1,Synpcc7942_2205,tier1:Gene Name
tuf,P33171,-0.383,0.094,0.174, Elongation factor Tu OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=tuf PE=3 SV=2,Synpcc7942_0884,tier1:Gene Name
groS,P22880,-0.382,0.147,0.256, 10 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=groS PE=3 SV=2,Synpcc7942_2314,tier1:Gene Name
psaA,Q31LJ0,-0.377,0.672,0.797, Photosystem I P700 chlorophyll a apoprotein A1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psaA PE=3 SV=1,Synpcc7942_2049,tier1:Gene Name
Synpcc7942_1694,Q31MJ5,-0.372,0.481,0.636, DNA topoisomerase (ATP-hydrolyzing) OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1694 PE=3 SV=1,Synpcc7942_1694,locus_tag:Gene Name
sigA2,Q31ME3,-0.366,0.248,0.38, RNA polymerase sigma factor SigA2 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=sigA2 PE=1 SV=1,Synpcc7942_1746,tier1:Gene Name
Synpcc7942_1617,Q31MS2,-0.366,0.149,0.258, Inner membrane protein-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1617 PE=3 SV=1,Synpcc7942_1617,locus_tag:Gene Name
pdhA,Q31LU5,-0.361,0.228,0.355, Pyruvate dehydrogenase E1 component subunit alpha OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pdhA PE=4 SV=1,Synpcc7942_1944,tier1:Gene Name
Synpcc7942_0489,Q31QZ8,-0.352,0.565,0.703, Aldehyde dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=aldA PE=3 SV=1,Synpcc7942_0489,locus_tag:Gene Name
Synpcc7942_1905,Q31LY4,-0.349,0.313,0.462, Cyclic nucleotide-binding domain (CNMP-BD) protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1905 PE=4 SV=1,Synpcc7942_1905,locus_tag:Gene Name
ndhN,Q31L05,-0.347,0.278,0.418, NAD(P)H-quinone oxidoreductase subunit N OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ndhN PE=3 SV=1,Synpcc7942_2234,tier1:Gene Name
Synpcc7942_0575,Q31QR2,-0.346,0.416,0.568, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0575 PE=4 SV=1,Synpcc7942_0575,locus_tag:Gene Name
rpsC,Q31L13,-0.343,0.299,0.444, 30S ribosomal protein S3 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsC PE=3 SV=1,Synpcc7942_2226,multi:Gene Name
tr|Q31Q16|Q31Q16_SYNE7,Q31Q16,-0.343,0.246,0.379, Periplasmic oligopeptide-binding OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0821 PE=4 SV=1,Synpcc7942_0821,multi:Protein ID
tr|Q31QI4|Q31QI4_SYNE7,Q31QI4,-0.341,0.459,0.616, Peptidyl-prolyl cis-trans isomerase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0653 PE=3 SV=1,Synpcc7942_0653,multi:Protein ID
valS,Q31QQ0,-0.337,0.22,0.347, Valine--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=valS PE=3 SV=1,Synpcc7942_0587,tier1:Gene Name
Synpcc7942_0505,Q31QY2,-0.33,0.0901,0.17," D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0505 PE=1 SV=1",Synpcc7942_0505,locus_tag:Gene Name
rplX,Q31L18,-0.323,0.402,0.558, 50S ribosomal protein L24 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplX PE=3 SV=1,Synpcc7942_2221,tier1:Gene Name
tig,Q935Z3,-0.323,0.12,0.215, Trigger factor OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=tig PE=3 SV=1,Synpcc7942_2524,tier1:Gene Name
sigA1,P38023,-0.318,0.21,0.338, RNA polymerase sigma factor SigA1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=sigA1 PE=3 SV=2,,unresolved
Synpcc7942_1869,Q31M20,-0.314,0.401,0.557, Probable cation efflux system protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1869 PE=3 SV=1,Synpcc7942_1869,locus_tag:Gene Name
Synpcc7942_1014,Q31PH5,-0.309,0.185,0.306, CheA signal transduction histidine kinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1014 PE=4 SV=1,Synpcc7942_1014,locus_tag:Gene Name
glmS,Q31QV3,-0.303,0.512,0.661, Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=glmS PE=3 SV=1,Synpcc7942_0534,multi:Protein ID
rpsH,Q31L20,-0.295,0.0512,0.11, 30S ribosomal protein S8 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsH PE=3 SV=1,Synpcc7942_2219,tier1:Gene Name
Synpcc7942_1969,Q31LS0,-0.286,0.0826,0.159, Transcriptional regulator AbrB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1969 PE=4 SV=1,Synpcc7942_1969,locus_tag:Gene Name
Synpcc7942_1943,Q93AK0,-0.283,0.507,0.657, Cell division protein Ftn2 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1943 PE=4 SV=1,Synpcc7942_1943,locus_tag:Gene Name
Synpcc7942_0862,Q31PX7,-0.275,0.451,0.611, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0862 PE=4 SV=1,Synpcc7942_0862,locus_tag:Gene Name
SEF0045,Q8KPQ0,-0.267,0.556,0.696, 6-pyruvoyl-tetrahydropterin synthase-like protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=SEF0045 PE=4 SV=1,Synpcc7942_1184,multi:Protein ID
chlD,O07345,-0.263,0.308,0.454, Magnesium-chelatase subunit ChlD OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=chlD PE=3 SV=2,Synpcc7942_2274,tier1:Gene Name
