Gene Name,Protein ID,log2_FC,adjusted p_value,Protein names,resolved_locus_tag,resolution_method
mqo1 mqo-1 PP_0751,Q88PU7,0.171,0.625,Probable malate:quinone oxidoreductase 1 (EC 1.1.5.4) (MQO 1) (Malate dehydrogenase [quinone] 1),M8001_04025,tier1:Gene Name
prs prsA PP_0722,Q88PX6,-0.831,0.00454,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase),M8001_14365,tier1:Gene Name
rplY ctc PP_0721,Q88PX7,0.129,0.808,Large ribosomal subunit protein bL25 (50S ribosomal protein L25) (General stress protein CTC),M8001_03865,tier1:Gene Name
ycaC-I PP_0711,Q88PY7,0.376,0.243,Hydrolase,M8001_03815,tier1:Gene Name
obg PP_0690,Q88Q08,0.553,0.065,GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg),M8001_03695,tier1:Gene Name
rplU PP_0688,Q88Q10,1.78,4.75e-08,Large ribosomal subunit protein bL21 (50S ribosomal protein L21),M8001_03685,tier1:Gene Name
PP_0640,Q88Q58,0.497,0.389,ATPase AAA-type core domain-containing protein,M8001_03440,tier1:Gene Name
clpB PP_0625,Q88Q71,-0.822,0.0126,Chaperone protein ClpB,M8001_03320,tier1:Gene Name
PP_0584,Q88QB0,0.484,0.0544,Methyl-accepting chemotaxis transducer,,unresolved
speA PP_0567,Q88QC7,0.0316,0.94,Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19),M8001_02995,tier1:Gene Name
accC PP_0558,Q88QD6,0.321,0.311,Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A),M8001_02950,tier1:Gene Name
aldB-I PP_0545,Q88QE9,1.07,3.86e-05,Aldehyde dehydrogenase (EC 1.2.1.3),M8001_02885,tier1:Gene Name
ribH PP_0517,Q88QH6,-0.35,0.238,"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)",M8001_02745,tier1:Gene Name
ssb PP_0485,Q88QK5,0.663,0.0831,Single-stranded DNA-binding protein (SSB),M8001_02575,tier1:Gene Name
rpoA PP_0479,Q88QL1,0.676,0.000663,DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha),M8001_02545,tier1:Gene Name
rpsD PP_0478,Q88QL2,-0.201,0.66,Small ribosomal subunit protein uS4 (30S ribosomal protein S4),M8001_02540,tier1:Gene Name
rpsE PP_0471,Q88QL8,0.0875,0.788,Small ribosomal subunit protein uS5 (30S ribosomal protein S5),M8001_02505,tier1:Gene Name
rplF PP_0469,Q88QM0,1.11,0.0415,Large ribosomal subunit protein uL6 (50S ribosomal protein L6),M8001_02495,tier1:Gene Name
rpsH PP_0468,Q88QM1,1.16,0.00431,Small ribosomal subunit protein uS8 (30S ribosomal protein S8),M8001_02490,tier1:Gene Name
rplE PP_0466,Q88QM3,0.539,0.0134,Large ribosomal subunit protein uL5 (50S ribosomal protein L5),M8001_02480,tier1:Gene Name
rplX PP_0465,Q88QM4,-2.46,1.8e-05,Large ribosomal subunit protein uL24 (50S ribosomal protein L24),M8001_02475,tier1:Gene Name
rplN PP_0464,Q88QM5,1.52,0.00534,Large ribosomal subunit protein uL14 (50S ribosomal protein L14),M8001_02470,tier1:Gene Name
rplP PP_0461,Q88QM8,-0.418,0.0736,Large ribosomal subunit protein uL16 (50S ribosomal protein L16),M8001_02455,tier1:Gene Name
rpsC PP_0460,Q88QM9,2.18,5.66e-05,Small ribosomal subunit protein uS3 (30S ribosomal protein S3),M8001_02450,tier1:Gene Name
rplV PP_0459,Q88QN0,-0.933,0.0101,Large ribosomal subunit protein uL22 (50S ribosomal protein L22),M8001_02445,tier1:Gene Name
rplW PP_0456,Q88QN3,-0.145,0.746,Large ribosomal subunit protein uL23 (50S ribosomal protein L23),M8001_02430,tier1:Gene Name
rplD PP_0455,Q88QN4,1.88,5.73e-06,Large ribosomal subunit protein uL4 (50S ribosomal protein L4),M8001_02425,tier1:Gene Name
rplC PP_0454,Q88QN5,1.08,5.63e-06,Large ribosomal subunit protein uL3 (50S ribosomal protein L3),M8001_02420,tier1:Gene Name
tufB tuf-2 PP_0452,Q88QN7,0.593,0.00938,Elongation factor Tu-B (EF-Tu-B),M8001_02410,tier1:Gene Name
fusA fusA-1 PP_0451,Q88QN8,-0.116,0.509,Elongation factor G 1 (EF-G 1),M8001_02405,tier1:Gene Name
rpsG PP_0450,Q88QN9,-0.119,0.7,Small ribosomal subunit protein uS7 (30S ribosomal protein S7),M8001_02400,tier1:Gene Name
rpoC PP_0448,Q88QP1,-0.0306,0.891,DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta'),M8001_02390,tier1:Gene Name
rpoB PP_0447,Q88QP2,0.165,0.411,DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta),M8001_02385,tier1:Gene Name
rplJ PP_0445,Q88QP3,-0.00753,0.975,Large ribosomal subunit protein uL10 (50S ribosomal protein L10),M8001_02375,tier1:Gene Name
rplA PP_0444,Q88QP4,0.691,0.000709,Large ribosomal subunit protein uL1 (50S ribosomal protein L1),M8001_02370,tier1:Gene Name
rplK PP_0443,Q88QP5,0.452,0.0305,Large ribosomal subunit protein uL11 (50S ribosomal protein L11),M8001_02365,tier1:Gene Name
tufA tuf-1 PP_0440,Q88QP8,0.581,0.335,Elongation factor Tu-A (EF-Tu-A),M8001_02345,tier1:Gene Name
hinT PP_0428,Q88QR0,0.553,0.0428,Aminoacyl-adenylate hydrolase/purine nucleoside phosphoramidase (EC 3.9.1.-),M8001_02255,tier1:Gene Name
estP PP_0418,Q88QS0,1.29,8.22e-06,Esterase EstP (EC 3.1.1.1) (Autotransporter esterase EstP) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2),M8001_02210,tier1:Gene Name
PP_0412,Q88QS6,2.63,0.0024,"Polyamine ABC transporter, periplasmic polyamine-binding protein",M8001_02180,tier1:Gene Name
yeaG PP_0397,Q88QU0,0.484,0.0153,Protein kinase (EC 2.7.11.1),M8001_02105,tier1:Gene Name
rpoD PP_0387,Q88QU7,0.482,0.0685,RNA polymerase sigma factor RpoD (Sigma-70),M8001_02055,tier1:Gene Name
PP_0368,Q88QW6,1.72,0.000304,Acyl-CoA dehydrogenase,M8001_01950,tier1:Gene Name
glcB PP_0356,Q88QX8,1.87,3.61e-08,Malate synthase G (EC 2.3.3.9),M8001_01890,tier1:Gene Name
aceE PP_0339,Q88QZ5,-1.61,2.5e-06,Pyruvate dehydrogenase E1 component (EC 1.2.4.1),M8001_01800,tier1:Gene Name
aceF PP_0338,Q88QZ6,0.692,0.00325,Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12),M8001_01795,tier1:Gene Name
artJ PP_0282,Q88R52,0.924,0.0727,L-arginine ABC transporter-periplasmic binding subunit (EC 3.6.3.21),M8001_01495,tier1:Gene Name
ygaU PP_0258,Q88R76,-0.389,0.341,Regulator of murein cross-linking,M8001_01355,tier1:Gene Name
oprE PP_0234,Q88R99,-0.421,0.191,Outer-membrane porin E (EC 3.4.21.-),M8001_01235,tier1:Gene Name
davT PP_0214,Q88RB9,-0.0401,0.921,5-aminovalerate aminotransferase DavT (EC 2.6.1.48) (5-aminovalerate transaminase) (Delta-aminovalerate aminotransferase),M8001_01135,tier1:Gene Name
davD PP_0213,Q88RC0,0.0139,0.961,Glutarate-semialdehyde dehydrogenase (EC 1.2.1.-),M8001_01130,tier1:Gene Name
dsbA PP_0127,Q88RK2,0.176,0.672,Thiol:disulfide interchange protein,M8001_00645,tier1:Gene Name
PP_0086,Q88RP3,2.37,0.00387,Dodecin flavoprotein,M8001_00440,tier1:Gene Name
glyS PP_0060,Q88RR9,0.74,0.162,Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS),M8001_00310,tier1:Gene Name
gyrB PP_0013,Q88RW6,0.43,0.106,DNA gyrase subunit B (EC 5.6.2.2),M8001_00065,tier1:Gene Name
