seq_id,Name,gene,gene_synonym,locus_tag,old_locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,gene_length,path_id,main,sub,path,ecpath,Category,Membrane transport,kegg_gene1,kegg_gene2
NZ_CP012202.1,ACZ81_RS02020,,,ACZ81_RS02020,ACZ81_02030,Protein Homology,461486,462064,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975485.1,TetR family transcriptional regulator,WP_061439236.1,578,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS02025,,,ACZ81_RS02025,ACZ81_02035,Protein Homology,462275,463129,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948047.1,alpha/beta fold hydrolase,WP_014948047.1,854,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS02030,,,ACZ81_RS02030,ACZ81_02040,Protein Homology,463274,465511,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948048.1,EAL domain-containing protein,WP_061439241.1,2237,,,,,,Other,,,
NZ_CP012202.1,argA,argA,,ACZ81_RS02035,ACZ81_02045,Protein Homology,465730,467040,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978136.1,amino-acid N-acetyltransferase,WP_014975490.1,1310,K14682,09100 Metabolism,09105 Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220],K14682  argAB; amino-acid N-acetyltransferase [EC:2.3.1.1],AA/Nucleotide,,nan,nan
NZ_CP012202.1,argH,argH,,ACZ81_RS02040,ACZ81_02050,Protein Homology,467059,468441,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948049.1,argininosuccinate lyase,WP_061439243.1,1382,K01755,09100 Metabolism;09180 Brite Hierarchies,09105 Amino acid metabolism;09183 Protein families: signaling and cellular processes,"00220 Arginine biosynthesis [PATH:ko00220];00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250];04147 Exosome [BR:ko04147]","K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]",AA/Nucleotide,,"argH, ASL",(argH)
NZ_CP012202.1,ACZ81_RS02045,(argG),,ACZ81_RS02045,ACZ81_02055,Protein Homology,468495,469706,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948050.1,argininosuccinate synthase,WP_061439245.1,1211,K01940,09100 Metabolism;09180 Brite Hierarchies,09105 Amino acid metabolism;09183 Protein families: signaling and cellular processes,"00220 Arginine biosynthesis [PATH:ko00220];00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250];04147 Exosome [BR:ko04147]","K01940  argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]",AA/Nucleotide,,"argG, ASS1",(argG)
NZ_CP012202.1,ACZ81_RS02050,"(argF,argI)",,ACZ81_RS02050,ACZ81_02060,Protein Homology,469744,470655,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948051.1,ornithine carbamoyltransferase,WP_061439246.1,911,K00611,09100 Metabolism,09105 Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220],"K00611  OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]",AA/Nucleotide,,"OTC, argF, argI","(argF,argI)"
NZ_CP012202.1,argB,argB,,ACZ81_RS02055,ACZ81_02065,Protein Homology,470652,471497,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997131.1,acetylglutamate kinase,WP_039231060.1,845,K00930,09100 Metabolism,09105 Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220],K00930  argB; acetylglutamate kinase [EC:2.7.2.8],AA/Nucleotide,,argB,(argB)
NZ_CP012202.1,argC,argC,,ACZ81_RS02060,ACZ81_02070,Protein Homology,471494,472507,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517037.1,N-acetyl-gamma-glutamyl-phosphate reductase,WP_061486910.1,1013,K00145,09100 Metabolism,09105 Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220],K00145  argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],AA/Nucleotide,,argC,(argC)
NZ_CP012202.1,ACZ81_RS02065,(mgsA),,ACZ81_RS02065,ACZ81_02075,Protein Homology,473120,473530,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948054.1,methylglyoxal synthase,WP_014948054.1,410,K01734,09100 Metabolism,09101 Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],K01734  mgsA; methylglyoxal synthase [EC:4.2.3.3],Energy/Carbohydrate/Glycan,,mgsA,(mgsA)
NZ_CP012202.1,ACZ81_RS02070,,,ACZ81_RS02070,ACZ81_02080,Protein Homology,473584,474552,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948055.1,hypothetical protein,WP_061439247.1,968,,,,,,Uncharacterized,,,
NZ_CP012202.1,ACZ81_RS02075,(flgH),,ACZ81_RS02075,ACZ81_02085,Protein Homology,474714,475463,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948056.1,flagellar basal body L-ring protein FlgH,WP_014948056.1,749,K02393,09140 Cellular Processes;09180 Brite Hierarchies,09142 Cell motility;09183 Protein families: signaling and cellular processes,02035 Bacterial motility proteins [BR:ko02035];02040 Flagellar assembly [PATH:ko02040],K02393  flgH; flagellar L-ring protein FlgH,Motility,,flgH,(flgH)
NZ_CP012202.1,ACZ81_RS02080,,,ACZ81_RS02080,ACZ81_02090,Protein Homology,475469,476707,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975494.1,flagellar assembly protein T N-terminal domain-containing protein,WP_061439248.1,1238,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS02085,"(cpxP,spy)",,ACZ81_RS02085,ACZ81_02095,Protein Homology,476762,477643,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975495.1,Spy/CpxP family protein refolding chaperone,WP_061439250.1,881,K06006,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],"K06006  cpxP, spy; periplasmic protein CpxP/Spy",Genetic Info,,"cpxP, spy","(cpxP,spy)"
NZ_CP012202.1,ACZ81_RS02090,(cpxR),,ACZ81_RS02090,ACZ81_02100,Protein Homology,477900,478613,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517040.1,response regulator transcription factor,WP_039225152.1,713,K07662,09130 Environmental Information Processing;09180 Brite Hierarchies,09132 Signal transduction;09183 Protein families: signaling and cellular processes,02020 Two-component system [PATH:ko02020];02022 Two-component system [BR:ko02022],"K07662  cpxR; two-component system, OmpR family, response regulator CpxR",Env. Info/Cellular Process,,cpxR,(cpxR)
NZ_CP012202.1,ACZ81_RS02095,(cpxA),,ACZ81_RS02095,ACZ81_02105,Protein Homology,478613,479974,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948060.1,ATP-binding protein,WP_014948060.1,1361,K07640,09130 Environmental Information Processing;09180 Brite Hierarchies,09132 Signal transduction;09181 Protein families: metabolism;09183 Protein families: signaling and cellular processes,01001 Protein kinases [BR:ko01001];02020 Two-component system [PATH:ko02020];02022 Two-component system [BR:ko02022],"K07640  cpxA; two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]",Env. Info/Cellular Process,,cpxA,(cpxA)
NZ_CP012202.1,ACZ81_RS02100,(pldB),,ACZ81_RS02100,ACZ81_02110,Protein Homology,480039,481016,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978148.1,alpha/beta fold hydrolase,WP_061439251.1,977,K01048,09100 Metabolism,09103 Lipid metabolism,00564 Glycerophospholipid metabolism [PATH:ko00564],K01048  pldB; lysophospholipase [EC:3.1.1.5],Metabolism,,pldB,(pldB)
NZ_CP012202.1,trmL,trmL,,ACZ81_RS02105,ACZ81_02115,Protein Homology,481169,481633,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517043.1,tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL,WP_014948062.1,464,K03216,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],"K03216  trmL, cspR; tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]",Genetic Info,,"trmL, cspR","(trmL,cspR)"
NZ_CP012202.1,ACZ81_RS02110,,,ACZ81_RS02110,ACZ81_02120,Protein Homology,481806,482984,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978150.1,efflux RND transporter periplasmic adaptor subunit,WP_232362799.1,1178,K13888,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K13888  macA; membrane fusion protein, macrolide-specific efflux system",Membrane transport,Membrane transport,nan,nan
NZ_CP012202.1,ACZ81_RS02115,(macB),,ACZ81_RS02115,ACZ81_02125,Protein Homology,482986,484956,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997138.1,MacB family efflux pump subunit,WP_061439253.1,1970,K05685,09130 Environmental Information Processing;09180 Brite Hierarchies,09131 Membrane transport;09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000];02010 ABC transporters [PATH:ko02010],K05685  macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-],Membrane transport,Membrane transport,macB,(macB)
NZ_CP012202.1,ACZ81_RS02120,,,ACZ81_RS02120,ACZ81_02130,Protein Homology,484961,486370,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975502.1,TolC family protein,WP_061439255.1,1409,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS02125,,,ACZ81_RS02125,ACZ81_02135,Protein Homology,486528,487562,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012153491.1,IS110 family transposase,WP_061439262.1,1034,K07486,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99976 Replication and repair,K07486  K07486; transposase,Genetic Info,,K07486,
NZ_CP012202.1,ACZ81_RS02130,,,ACZ81_RS02130,ACZ81_02140,Protein Homology,487933,488325,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948066.1,hypothetical protein,WP_014948066.1,392,,,,,,Uncharacterized,,,
NZ_CP012202.1,gpsA,gpsA,,ACZ81_RS02135,ACZ81_02145,Protein Homology,488416,489447,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978154.1,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,WP_049588317.1,1031,K00057,09100 Metabolism,09103 Lipid metabolism,00564 Glycerophospholipid metabolism [PATH:ko00564],K00057  gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],Metabolism,,gpsA,(gpsA)
NZ_CP012202.1,secB,secB,,ACZ81_RS02140,ACZ81_02150,Protein Homology,489458,489967,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007107044.1,protein-export chaperone SecB,WP_014948068.1,509,K03071,09120 Genetic Information Processing;09130 Environmental Information Processing;09140 Cellular Processes;09180 Brite Hierarchies,"09123 Folding, sorting and degradation;09131 Membrane transport;09145 Cellular community - prokaryotes;09182 Protein families: genetic information processing;09183 Protein families: signaling and cellular processes",02024 Quorum sensing [PATH:ko02024];02044 Secretion system [BR:ko02044];03060 Protein export [PATH:ko03060];03070 Bacterial secretion system [PATH:ko03070];03110 Chaperones and folding catalysts [BR:ko03110],K03071  secB; preprotein translocase subunit SecB,Membrane transport,Membrane transport,secB,(secB)
NZ_CP012202.1,grxC,grxC,,ACZ81_RS02145,ACZ81_02155,Protein Homology,490030,490290,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013785632.1,glutaredoxin 3,WP_014948069.1,260,K03676,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],"K03676  grxC, GLRX, GLRX2; glutaredoxin 3",Genetic Info,,"grxC, GLRX, GLRX2",(grxC)
NZ_CP012202.1,ACZ81_RS02150,,,ACZ81_RS02150,ACZ81_02160,Protein Homology,490303,490728,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948070.1,rhodanese-like domain-containing protein,WP_014948070.1,425,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS02155,,,ACZ81_RS02155,ACZ81_02165,Protein Homology,490982,492145,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948071.1,peptidoglycan DD-metalloendopeptidase family protein,WP_014948071.1,1163,K22719,09190 Not Included in Pathway or Brite,09193 Unclassified: signaling and cellular processes,99978 Cell growth,K22719  envC; murein hydrolase activator,Env. Info/Cellular Process,,nan,nan
NZ_CP012202.1,ACZ81_RS02160,,,ACZ81_RS02160,ACZ81_02170,Protein Homology,492269,493177,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948072.1,divergent polysaccharide deacetylase family protein,WP_061439265.1,908,K09798,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09798  K09798; uncharacterized protein,Uncharacterized,,K09798,
NZ_CP012202.1,ACZ81_RS02165,,,ACZ81_RS02165,ACZ81_02175,Protein Homology,493334,493762,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997143.1,MerC domain-containing protein,WP_014948073.1,428,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS02170,"(glpQ,ugpQ)",,ACZ81_RS02170,ACZ81_02180,Protein Homology,493886,494584,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948074.1,glycerophosphodiester phosphodiesterase,WP_231513028.1,698,K01126,09100 Metabolism,09103 Lipid metabolism,00564 Glycerophospholipid metabolism [PATH:ko00564],"K01126  E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]",Metabolism,,"E3.1.4.46, glpQ, ugpQ","(glpQ,ugpQ)"
NZ_CP012202.1,ACZ81_RS02175,,,ACZ81_RS02175,ACZ81_02185,Protein Homology,494611,495486,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948075.1,DMT family transporter,WP_014948075.1,875,,,,,,Other,,,
NZ_CP012202.1,asd,asd,,ACZ81_RS02180,ACZ81_02190,Protein Homology,495490,496437,-,Phosphatidylserine decarboxylase is synthesized as a single chain precursor. Generation of the pyruvoyl active site from a Ser is coupled to cleavage of a Gly-Ser bond between the larger (beta) and smaller (alpha chains). It is an integral membrane protein.,,COORDINATES: similar to AA sequence:RefSeq:WP_014975508.1,archaetidylserine decarboxylase,WP_039231034.1,947,K01613,09100 Metabolism,09103 Lipid metabolism,00564 Glycerophospholipid metabolism [PATH:ko00564],"K01613  psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]",Metabolism,,"psd, PISD",(psd)
NZ_CP012202.1,rsgA,rsgA,,ACZ81_RS02185,ACZ81_02195,Protein Homology,496686,497729,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517055.1,small ribosomal subunit biogenesis GTPase RsgA,WP_061439269.1,1043,K06949,09100 Metabolism;09180 Brite Hierarchies,09108 Metabolism of cofactors and vitamins;09182 Protein families: genetic information processing,00730 Thiamine metabolism [PATH:ko00730];03009 Ribosome biogenesis [BR:ko03009],"K06949  rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]",Genetic Info,,"rsgA, engC","(rsgA,engC)"
NZ_CP012202.1,orn,orn,,ACZ81_RS02190,ACZ81_02200,Protein Homology,497816,498361,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975510.1,oligoribonuclease,WP_014975510.1,545,K13288,09120 Genetic Information Processing;09180 Brite Hierarchies,09122 Translation;09182 Protein families: genetic information processing,03008 Ribosome biogenesis in eukaryotes [PATH:ko03008];03009 Ribosome biogenesis [BR:ko03009];03019 Messenger RNA biogenesis [BR:ko03019],"K13288  orn, REX2, REXO2; oligoribonuclease [EC:3.1.-.-]",Genetic Info,,nan,nan
NZ_CP012202.1,ACZ81_RS02205,,,ACZ81_RS02205,ACZ81_02215,Protein Homology,499567,502653,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948080.1,TonB-dependent receptor,WP_014948080.1,3086,,,,,,Other,,,
NZ_CP012202.1,ltrA,ltrA,,ACZ81_RS02210,ACZ81_02220,Protein Homology,503169,504557,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008950963.1,group II intron reverse transcriptase/maturase,WP_061439274.1,1388,K00986,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K00986  ltrA; RNA-directed DNA polymerase [EC:2.7.7.49],Metabolism,,ltrA,(ltrA)
NZ_CP012202.1,ACZ81_RS02215,,,ACZ81_RS02215,ACZ81_02225,Protein Homology,504768,505229,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517059.1,DUF4442 domain-containing protein,WP_014975511.1,461,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS02220,,,ACZ81_RS02220,ACZ81_02230,Protein Homology,505463,505840,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517060.1,DUF413 domain-containing protein,WP_061486911.1,377,K09897,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09897  K09897; uncharacterized protein,Uncharacterized,,K09897,
NZ_CP012202.1,ACZ81_RS02225,"(ilvB,ilvG,ilvI)",,ACZ81_RS02225,ACZ81_02235,Protein Homology,506114,507832,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982564.1,acetolactate synthase 3 large subunit,WP_039225051.1,1718,K01652,09100 Metabolism,09101 Carbohydrate metabolism;09105 Amino acid metabolism;09108 Metabolism of cofactors and vitamins,"00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290];00650 Butanoate metabolism [PATH:ko00650];00660 C5-Branched dibasic acid metabolism [PATH:ko00660];00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","K01652  E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",AA/Nucleotide;Energy/Carbohydrate/Glycan,,"E2.2.1.6L, ilvB, ilvG, ilvI","(ilvB,ilvG,ilvI)"
NZ_CP012202.1,ilvN,ilvN,,ACZ81_RS02230,ACZ81_02240,Protein Homology,507832,508329,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013785617.1,acetolactate synthase small subunit,WP_014975513.1,497,K01653,09100 Metabolism,09101 Carbohydrate metabolism;09105 Amino acid metabolism;09108 Metabolism of cofactors and vitamins,"00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290];00650 Butanoate metabolism [PATH:ko00650];00660 C5-Branched dibasic acid metabolism [PATH:ko00660];00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","K01653  E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]",AA/Nucleotide;Energy/Carbohydrate/Glycan,,"E2.2.1.6S, ilvH, ilvN","(ilvH,ilvN)"
NZ_CP012202.1,ACZ81_RS02235,,,ACZ81_RS02235,ACZ81_02245,Protein Homology,508411,509472,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975518.1,hypothetical protein,WP_039225050.1,1061,,,,,,Uncharacterized,,,
NZ_CP012202.1,tatA,tatA,,ACZ81_RS02240,ACZ81_02250,Protein Homology,509650,509895,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978168.1,Sec-independent protein translocase subunit TatA,WP_230633705.1,245,K03116,09120 Genetic Information Processing;09130 Environmental Information Processing;09180 Brite Hierarchies,"09123 Folding, sorting and degradation;09131 Membrane transport;09183 Protein families: signaling and cellular processes",02044 Secretion system [BR:ko02044];03060 Protein export [PATH:ko03060];03070 Bacterial secretion system [PATH:ko03070],K03116  tatA; sec-independent protein translocase protein TatA,Membrane transport,Membrane transport,tatA,(tatA)
NZ_CP012202.1,tatB,tatB,,ACZ81_RS02245,ACZ81_02255,Protein Homology,509895,510194,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517066.1,Sec-independent protein translocase protein TatB,WP_014948087.1,299,K03117,09120 Genetic Information Processing;09130 Environmental Information Processing;09180 Brite Hierarchies,"09123 Folding, sorting and degradation;09131 Membrane transport;09183 Protein families: signaling and cellular processes",02044 Secretion system [BR:ko02044];03060 Protein export [PATH:ko03060];03070 Bacterial secretion system [PATH:ko03070],K03117  tatB; sec-independent protein translocase protein TatB,Membrane transport,Membrane transport,tatB,(tatB)
NZ_CP012202.1,tatC,tatC,,ACZ81_RS02250,ACZ81_02260,Protein Homology,510195,510950,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978169.1,twin-arginine translocase subunit TatC,WP_014948088.1,755,K03118,09120 Genetic Information Processing;09130 Environmental Information Processing;09180 Brite Hierarchies,"09123 Folding, sorting and degradation;09131 Membrane transport;09183 Protein families: signaling and cellular processes",02044 Secretion system [BR:ko02044];03060 Protein export [PATH:ko03060];03070 Bacterial secretion system [PATH:ko03070],K03118  tatC; sec-independent protein translocase protein TatC,Membrane transport,Membrane transport,tatC,(tatC)
NZ_CP012202.1,ACZ81_RS02255,,,ACZ81_RS02255,ACZ81_02265,Protein Homology,510976,511518,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948089.1,hypothetical protein,WP_014948089.1,542,,,,,,Uncharacterized,,,
NZ_CP012202.1,ACZ81_RS02260,(tatD),,ACZ81_RS02260,ACZ81_02270,Protein Homology,511519,512295,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975519.1,TatD family hydrolase,WP_039225048.1,776,K03424,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K03424  tatD; TatD DNase family protein [EC:3.1.21.-],Metabolism,,tatD,(tatD)
NZ_CP012202.1,ACZ81_RS02265,,,ACZ81_RS02265,ACZ81_02275,Protein Homology,512308,514206,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978172.1,sensor domain-containing diguanylate cyclase,WP_039225047.1,1898,K20971,09140 Cellular Processes;09180 Brite Hierarchies,09145 Cellular community - prokaryotes;09181 Protein families: metabolism;09183 Protein families: signaling and cellular processes,01001 Protein kinases [BR:ko01001];02022 Two-component system [BR:ko02022];02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025],"K20971  ladS; two-component system, sensor histidine kinase LadS",Env. Info/Cellular Process,,nan,nan
NZ_CP012202.1,hemB,hemB,,ACZ81_RS02270,ACZ81_02280,Protein Homology,514203,515213,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975521.1,porphobilinogen synthase,WP_039225046.1,1010,K01698,09100 Metabolism;09180 Brite Hierarchies,09108 Metabolism of cofactors and vitamins;09183 Protein families: signaling and cellular processes,00860 Porphyrin metabolism [PATH:ko00860];04147 Exosome [BR:ko04147],"K01698  hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]",Env. Info/Cellular Process,,"hemB, ALAD",(hemB)
NZ_CP012202.1,ACZ81_RS02275,,,ACZ81_RS02275,ACZ81_02285,Protein Homology,515326,516837,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517072.1,hypothetical protein,WP_061439275.1,1511,K01524,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],"K01524  ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]",AA/Nucleotide,,ppx-gppA,
NZ_CP012202.1,rhlB,rhlB,,ACZ81_RS02280,ACZ81_02290,Protein Homology,516871,518163,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975523.1,ATP-dependent RNA helicase RhlB,WP_061439277.1,1292,K03732,09120 Genetic Information Processing;09180 Brite Hierarchies,"09123 Folding, sorting and degradation;09182 Protein families: genetic information processing",03018 RNA degradation [PATH:ko03018];03019 Messenger RNA biogenesis [BR:ko03019],K03732  rhlB; ATP-dependent RNA helicase RhlB [EC:3.6.4.13],Genetic Info,,rhlB,(rhlB)
NZ_CP012202.1,trxA,trxA,,ACZ81_RS02285,ACZ81_02295,Protein Homology,518264,518590,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008073352.1,thioredoxin TrxA,WP_012517074.1,326,K03671,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],K03671  trxA; thioredoxin 1,Genetic Info,,trxA,(trxA)
NZ_CP012202.1,rho,rho,,ACZ81_RS02290,ACZ81_02300,Protein Homology,518862,520127,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517075.1,transcription termination factor Rho,WP_014948094.1,1265,K03628,09120 Genetic Information Processing;09180 Brite Hierarchies,"09123 Folding, sorting and degradation;09182 Protein families: genetic information processing",03018 RNA degradation [PATH:ko03018];03019 Messenger RNA biogenesis [BR:ko03019];03021 Transcription machinery [BR:ko03021],K03628  rho; transcription termination factor Rho,Genetic Info,,rho,(rho)
NZ_CP012202.1,ACZ81_RS02295,,,ACZ81_RS02295,ACZ81_02305,Protein Homology,520357,521655,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978175.1,amidohydrolase,WP_061439278.1,1298,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS02300,,,ACZ81_RS02300,ACZ81_02310,Protein Homology,521678,524494,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978176.1,ATP-binding protein,WP_061439280.1,2816,,,,,,Other,,,
NZ_CP012202.1,nhaA,nhaA,,ACZ81_RS02305,ACZ81_02315,Protein Homology,524456,525730,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997168.1,Na+/H+ antiporter NhaA,WP_014948097.1,1274,K03313,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03313  nhaA; Na+:H+ antiporter, NhaA family",Membrane transport,Membrane transport,nhaA,(nhaA)
NZ_CP012202.1,purE,purE,,ACZ81_RS02310,ACZ81_02320,Protein Homology,526009,526503,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517079.1,5-(carboxyamino)imidazole ribonucleotide mutase,WP_014948098.1,494,K01588,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K01588  purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18],AA/Nucleotide,,purE,(purE)
NZ_CP012202.1,ACZ81_RS02315,(purK),,ACZ81_RS02315,ACZ81_02325,Protein Homology,526500,527636,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997170.1,5-(carboxyamino)imidazole ribonucleotide synthase,WP_061439282.1,1136,K01589,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K01589  purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18],AA/Nucleotide,,purK,(purK)
NZ_CP012202.1,ACZ81_RS02325,(pccA),,ACZ81_RS02325,ACZ81_02335,Protein Homology,527839,528384,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975526.1,copper chaperone PCu(A)C,WP_061439284.1,545,K09796,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],K09796  pccA; periplasmic copper chaperone A,Genetic Info,,pccA,(pccA)
NZ_CP012202.1,ACZ81_RS02330,(dps),,ACZ81_RS02330,ACZ81_02340,Protein Homology,528571,529044,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517082.1,DNA starvation/stationary phase protection protein,WP_014948101.1,473,K04047,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],K04047  dps; starvation-inducible DNA-binding protein,Genetic Info,,dps,(dps)
NZ_CP012202.1,ACZ81_RS02335,,,ACZ81_RS02335,ACZ81_02345,Protein Homology,529239,530420,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997173.1,PQQ-dependent sugar dehydrogenase,WP_061439286.1,1181,K21430,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K21430  yliI; aldose sugar dehydrogenase [EC:1.1.5.-],Metabolism,,nan,nan
