Sheet 2 Classification of all Prochlorococcus MED4 CDS genes by expression level,,,,,,,,,,,,,,,
sysNamea,locus tagb,start,stop,strand,Core/Flexiblec,ExpressionLeveld,name,desc,COG,COGFun,COGDesc,,,,
PMM0334,PMED4_03411,323345,323599,-,Core,VEG,PMM0334,conserved hypothetical protein (NCBI),,,,,,,
HyPMM11,PMED4_03421,323821,323955,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
asRNA_03431,--,324060,324207,+,,--,Other non-coding RNA,,,,,,,,
HyPMM12,PMED4_03431,324090,324233,-,Flexible,HEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
HyPMM13,PMED4_03441,324355,324456,-,Flexible,HEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0335,PMED4_03451,324602,325036,+,Flexible,HEG,PMM0335,NADH-plastoquinone oxidoreductase chain 5-like (Katherine Huang),,,,,,,
PMM0336,PMED4_03461,325033,325542,-,Flexible,VEG,PMM0336,conserved hypothetical (NCBI),,,,,,,
HyPMM14,PMED4_03471,325698,325838,+,Flexible,VEG,Protein-coding gene,Hypothetical protein (Katherine Huang),,,,,,,
HyPMM15,PMED4_03462,325997,326110,+,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0337,PMED4_03481,326126,326434,-,Flexible,VEG,PMM0337,conserved hypothetical protein (NCBI),,,,,,,
HyPMM16,PMED4_03491,326727,326924,+,Flexible,VEG,pseudo,Pseudogene of VIMSS1294450 with 0 gaps (VIMSS-AUTO),,,,,,,
PMM0338,PMED4_03501,327021,327320,+,Flexible,VEG,PMM0338,conserved hypothetical (NCBI),,,,,,,
HyPMM17,PMED4_03511,327340,327543,-,Flexible,VEG,Protein-coding gene,,,,,,,,
PMM0339,PMED4_03521,327659,329191,-,Flexible,MEG,T8L23.23,Bacterial-type phytoene dehydrogenase (NCBI),COG1233,Q,Phytoene dehydrogenase and related proteins,,,,
HyPMM18,PMED4_03531,329222,329332,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0340,PMED4_03541,329486,329986,+,Core,MEG,PMM0340,conserved hypothetical protein (NCBI),,,,,,,
PMM0341,PMED4_03551,329991,330206,-,Core,MEG,PMM0341,conserved hypothetical (NCBI),,,,,,,
PMM0342,PMED4_03561,330341,330625,+,Flexible,MEG,PMM0342,possible Helper component proteinase (NCBI),,,,,,,
HyPMM19,PMED4_03571,330635,331153,-,Flexible,HEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0343,PMED4_03581,331032,331322,-,Core,HEG,PMM0343,mttA/Hcf106 family (NCBI),COG1826,U,Sec-independent protein secretion pathway components,,,,
HyPMM20,PMED4_03591,331415,331561,-,Flexible,NEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0344,PMED4_03601,331771,332010,+,Flexible,VEG,PMM0344,influenza non-structural protein (NS2)-like (Katherine Huang),,,,,,,
HyPMM21,PMED4_03611,332029,332190,-,Flexible,NEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0345,PMED4_03621,332317,332766,+,Flexible,VEG,PMM0345,putative bacterioferritin comigratory protein (NCBI),COG1225,O,Peroxiredoxin,,,,
PMM0346,PMED4_03631,332811,333110,+,Core,MEG,PMM0346,conserved hypothetical protein (NCBI),,,,,,,
PMM0347,PMED4_03641,333117,333461,-,Core,MEG,PMM0347,conserved hypothetical (NCBI),,,,,,,
HyPMM22,PMED4_03651,333466,333570,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0348,PMED4_03661,333688,333927,-,Flexible,HEG,PMM0348,possible Spectrin repeat (NCBI),,,,,,,
PMM0349,PMED4_03671,334132,334548,+,Core,VEG,PMM0349,Class I peptide chain release factor (NCBI),,,,,,,
PMM0350,PMED4_03681,334655,334903,+,Core,VEG,PMM0350,possible TIR domain (NCBI),,,,,,,
HyPMM23,PMED4_03691,335047,335214,-,Flexible,VEG,Protein-coding gene,Hypothetical protein (Katherine Huang),,,,,,,
PMM0351,PMED4_03701,335406,335666,+,Flexible,VEG,PMM0351,"possible Small, acid-soluble spore proteins, a (NCBI)",,,,,,,
PMM0352,PMED4_03711,335687,336565,-,Core,VEG,PMM0352,Abortive infection protein (NCBI),,,,,,,
PMM0353,PMED4_03721,336639,337472,-,Flexible,VEG,PMM0353,Glycosyl transferase family 11 (NCBI),,,,,,,
PMM0354,PMED4_03731,337713,338342,+,Flexible,VEG,PMM0354,possible Glycosyl transferase (NCBI),,,,,,,
HyPMM24,PMED4_03741,338404,338577,-,Flexible,VEG,Protein-coding gene,Hypothetical protein (Katherine Huang),,,,,,,
HyPMM25,PMED4_03751,338778,338873,-,Flexible,VEG,Protein-coding gene,Hypothetical protein (Katherine Huang),,,,,,,
PMM0355,PMED4_03761,339039,339380,+,Flexible,VEG,PMM0355,Uncharacterized conserved protein (Katherine Huang),COG5470,S,Uncharacterized conserved protein,,,,
HyPMM26,PMED4_03771,339448,339549,+,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
HyPMM27,PMED4_03781,339593,339781,+,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
Yfr9,--,339887,340176,-,,--,Other non-coding RNA,,,,,,,,
Yfr8,--,339952,340241,+,,--,Other non-coding RNA,,,,,,,,
PMM0356,PMED4_03791,340325,341272,+,Flexible,MEG,PMM0356,proline iminopeptidase (Katherine Huang),COG596,R,Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily),,,,
HyPMM28,PMED4_03801,341305,341478,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0357,PMED4_03811,341600,342223,+,Flexible,VEG,PMM0357,TENA/THI-4 protein (NCBI),COG819,K,Putative transcription activator,,,,
PMM0358,PMED4_03821,342256,343044,+,Flexible,VEG,thiD,Phosphomethylpyrimidine kinase (NCBI),COG351,H,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,,,,
PMM0359,PMED4_03831,343111,343269,-,Flexible,VEG,PMM0359,hypothetical (NCBI),,,,,,,
HyPMM29,PMED4_03841,343484,343627,+,Flexible,MEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0360,PMED4_03851,344032,344496,+,Flexible,VEG,PMM0360,Uncharacterized conserved protein (Katherine Huang),COG3542,S,Uncharacterized conserved protein,,,,
PMM0361,PMED4_03861,344527,344904,+,Flexible,VEG,PMM0361,possible Phosphoenolpyruvate carboxykinase (NCBI),,,,,,,
PMM0362,PMED4_03871,344969,345265,+,Flexible,NEG,PMM0362,hypothetical (NCBI),,,,,,,
PMM0363,PMED4_03881,345420,345821,+,Flexible,VEG,PMM0363,possible MarR family (NCBI),,,,,,,
HyPMM30,PMED4_03891,346297,346425,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
Yfr10,--,346661,346738,+,,--,Other non-coding RNA,,,,,,,,
Yfr2,--,346828,346921,+,,--,Other non-coding RNA,,,,,,,,
HyPMM31,PMED4_03901,346954,347136,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0364,PMED4_03911,347296,347616,+,Flexible,HEG,PMM0364,possible Malic enzyme (NCBI),,,,,,,
PMM0365,PMED4_03921,347668,348045,-,Flexible,VEG,PMM0365,possible DsrE-like protein (NCBI),COG2044,R,Predicted peroxiredoxins,,,,
PMM0366,PMED4_03931,348223,348627,+,Flexible,VEG,PMM0366,Type-1 copper (blue) domain (NCBI),,,,,,,
PMM0367,PMED4_03941,348968,349357,+,Flexible,VEG,PMM0367,conserved hypothetical protein (NCBI),COG1359,S,Uncharacterized conserved protein,,,,
PMM0368,PMED4_03951,349383,349691,-,Flexible,HEG,PMM0368,conserved hypothetical protein (NCBI),,,,,,,
HyPMM32,PMED4_03961,349839,349958,-,Flexible,MEG,Protein-coding gene,,,,,,,,
HyPMM33,PMED4_03962,349962,350051,-,Flexible,MEG,Protein-coding gene,,,,,,,,
HyPMM34,PMED4_03963,350136,350291,-,Flexible,VEG,Protein-coding gene,,,,,,,,
HyPMM35,PMED4_03964,350326,350450,-,Flexible,VEG,Protein-coding gene,,,,,,,,
HyPMM36,PMED4_03965,350362,350514,+,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
HyPMM37,PMED4_03971,350589,350732,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
HyPMM38,PMED4_03981,350803,350988,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
HyPMM39,PMED4_03991,351016,351174,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
asRNA_04001,--,351488,351591,+,,--,Other non-coding RNA,,,,,,,,
HyPMM40,PMED4_04001,351526,351660,-,Flexible,MEG,Protein-coding gene,Hypothetical protein (Katherine Huang),,,,,,,
HyPMM41,PMED4_04011,351856,352020,-,Flexible,VEG,Protein-coding gene,Hypothetical protein (Katherine Huang),,,,,,,
PMM0369,PMED4_04021,352195,352527,+,Flexible,VEG,PMM0369,possible Ribosomal protein S14p/S29e (NCBI),,,,,,,
PMM0370,PMED4_04031,352975,354660,+,Flexible,VEG,PMM0370,"putative cyanate ABC transporter, substrate binding protein (NCBI)",COG715,P,"ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components",,,,
PMM0371,PMED4_04041,354691,355473,+,Flexible,VEG,tauC,putative cyanate ABC transporter (NCBI),COG600,P,"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component",,,,
PMM0372,PMED4_04051,355490,356344,+,Flexible,VEG,tauB,putative cyanate ABC transporter (NCBI),COG1116,P,"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component",,,,
PMM0373,PMED4_04061,356377,356820,+,Flexible,VEG,cynS,Cyanate lyase (NCBI),COG1513,P,Cyanate lyase,,,,
PMM0374,PMED4_04071,356905,357096,-,Core,VEG,PMM0374,mttA/Hcf106 family (NCBI),COG1826,U,Sec-independent protein secretion pathway components,,,,
PMM0375,PMED4_04081,357196,357519,+,Flexible,NEG,PMM0375,possible Type II intron maturase (NCBI),,,,,,,
PMM0376,PMED4_04091,357535,357903,-,Flexible,VEG,PMM0376,hypothetical (NCBI),,,,,,,
PMM0377,PMED4_04101,357904,358167,-,Flexible,VEG,PMM0377,hypothetical (NCBI),,,,,,,
asRNA_04101,--,358027,358183,+,,--,Antisense RNA,,,,,,,,
PMM0378,PMED4_04111,358218,358490,-,Flexible,HEG,PMM0378,conserved hypothetical protein (NCBI),,,,,,,
Yfr11,--,358606,358754,-,,--,Other non-coding RNA,,,,,,,,
HyPMM42,PMED4_04121,358796,358942,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
HyPMM43,PMED4_04131,358942,359055,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
HyPMM44,PMED4_04141,359300,359485,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
HyPMM45,PMED4_04151,359485,359610,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0379,PMED4_04161,359690,359971,-,Flexible,HEG,PMM0379,hypothetical (NCBI),,,,,,,
PMM0380,PMED4_04171,360019,360486,-,Flexible,MEG,PMM0380,conserved hypothetical protein (NCBI),COG3558,S,Uncharacterized protein conserved in bacteria,,,,
HyPMM46,PMED4_04181,360641,360871,+,Flexible,HEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0381,PMED4_04191,360886,361050,-,Flexible,VEG,PMM0381,hypothetical (NCBI),,,,,,,
PMM0382,PMED4_04201,361091,361597,-,Flexible,LEG,PMM0382,possible Ribosomal RNA adenine dimethylase (NCBI),,,,,,,
HyPMM47,PMED4_04211,361662,361853,+,Flexible,MEG,Protein-coding gene,Type III restriction system endonuclease (Katherine Huang),,,,,,,
PMM0383,PMED4_04221,361951,362733,-,Flexible,VEG,PMM0383,probable periplasmic protein (NCBI),COG2859,S,Uncharacterized protein conserved in bacteria,,,,
PMM0384,PMED4_04231,363007,365496,-,Flexible,VEG,spnII-interrupted-C,"possible uncharacterized restriction enzyme, interrupted-C (NCBI)",,,,,,,
PMM0385,PMED4_04241,365498,366988,-,Flexible,VEG,PMM0385,possible degenerate restriction endonuclease (NCBI),,,,,,,
PMM0386,PMED4_04251,366972,367616,-,Flexible,VEG,PMM0386,possible uncharacterized DNA methylase (NCBI),,,,,,,
HyPMM49,PMED4_04261,367828,367983,+,Flexible,VEG,Protein-coding gene,Hypothetical protein (Katherine Huang),,,,,,,
HyPMM50,PMED4_04271,368002,368220,-,Flexible,VEG,Protein-coding gene,Hypothetical protein (Katherine Huang),,,,,,,
RNA_32,--,368348,368419,-,,--,tRNASer4,tRNA-Ser (RefSeq),,,,,,,
RNA_31,--,368430,368511,-,,--,tRNASer3,tRNA-Ser (RefSeq),,,,,,,
PMM0387,PMED4_04281,368613,369053,+,Core,MEG,aroD,Dehydroquinase class II (NCBI),COG757,E,3-dehydroquinate dehydratase II,,,,
PMM0388,PMED4_04291,369054,369662,+,Core,MEG,miaE,putative similar to tRNA-(MS[2]IO[6]A)-hydroxylase (NCBI),COG4445,FJ,Hydroxylase for synthesis of 2-methylthio-cis-ribozeatin in tRNA,,,,
PMM0389,PMED4_04301,369683,370438,+,Core,VEG,cobI/cbiL,precorrin-2 C20-methyltransferase (NCBI),COG2243,H,Precorrin-2 methylase,,,,
PMM0390,PMED4_04311,370438,370920,+,Flexible,VEG,PMM0390,conserved hypothetical protein (NCBI),,,,,,,
PMM0391,PMED4_04321,370993,372369,+,Core,VEG,PMM0391,GTP-binding protein (HSR1-related) (NCBI),COG1160,R,Predicted GTPases,,,,
PMM0392,PMED4_04331,372369,373283,+,Core,VEG,cbiQ,possible cobalt transport protein (NCBI),COG619,P,"ABC-type cobalt transport system, permease component CbiQ and related transporters",,,,
PMM0393,PMED4_04341,373301,373567,+,Core,VEG,PMM0393,conserved hypothetical protein (NCBI),,,,,,,
PMM0394,PMED4_04351,373571,374209,+,Core,VEG,PMM0394,Predicted enzyme with a TIM-barrel fold  (Katherine Huang),COG325,R,Predicted enzyme with a TIM-barrel fold,,,,
PMM0395,PMED4_04361,374367,374942,+,Core,HEG,PMM0395,Uncharacterized protein conserved in bacteria (Katherine Huang),COG1799,S,Uncharacterized protein conserved in bacteria,,,,
PMM0396,PMED4_04371,374950,375756,+,Core,MEG,proC,Delta 1-pyrroline-5-carboxylate reductase (NCBI),COG345,E,Pyrroline-5-carboxylate reductase,,,,
PMM0397,PMED4_04381,375753,376919,-,Core,MEG,PMM0397,"possible Glycosyl transferase, group 1 (NCBI)",COG438,M,Glycosyltransferase,,,,
PMM0398,PMED4_04391,377005,377784,-,Core,VEG,recO,possible Recombination protein O (RecO) (NCBI),COG1381,L,Recombinational DNA repair protein (RecF pathway),,,,
PMM0399,PMED4_04401,377785,378444,-,Core,VEG,deoC,Putative deoxyribose-phosphate aldolase (NCBI),COG274,F,Deoxyribose-phosphate aldolase,,,,
PMM0400,PMED4_04411,378453,379037,-,Core,VEG,lrtA,light repressed protein A homolog (NCBI),COG1544,J,Ribosome-associated protein Y (PSrp-1),,,,
PMM0401,PMED4_04421,379082,379726,+,Core,VEG,lipB,putative lipoate-protein ligase B (NCBI),COG321,H,Lipoate-protein ligase B,,,,
PMM0402,PMED4_04431,379757,381682,+,Core,LEG,fadD,putative long-chain-fatty-acid--CoA ligase (NCBI),COG1022,I,Long-chain acyl-CoA synthetases (AMP-forming),,,,
PMM0403,PMED4_04441,381740,382186,+,Core,HEG,PMM0403,conserved hypothetical protein (NCBI),,,,,,,
PMM0404,PMED4_04451,382301,382612,-,Flexible,VEG,PMM0404,hypothetical (NCBI),,,,,,,
HyPMM51,PMED4_04461,382776,382919,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
HyPMM52,PMED4_04471,382974,383168,+,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
Yfr12,--,383230,383312,+,,--,Other non-coding RNA,,,,,,,,
Yfr4,--,383389,383483,+,,--,Other non-coding RNA,,,,,,,,
PMM0405,PMED4_04481,383670,385037,+,Core,HEG,pdhC,Dihydrolipoamide acetyltransferase (Katherine Huang),COG508,C,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes",,,,
PMM0406,PMED4_04491,385044,386168,+,Core,VEG,queA,Queuosine biosynthesis protein (NCBI),COG809,J,S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase),,,,
PMM0407,PMED4_04501,386171,387157,-,Core,HEG,cysK1,O-acetylserine (thiol)-lyase A (NCBI),COG31,E,Cysteine synthase,,,,
PMM0408,PMED4_04511,387242,388711,-,Core,VEG,PMM0408,possible Cystathionine gamma-synthase (NCBI),COG626,E,Cystathionine beta-lyases/cystathionine gamma-synthases,,,,
PMM0409,PMED4_04521,388715,389878,-,Core,MEG,metB,putative Cystathionine gamma-synthase (NCBI),COG626,E,Cystathionine beta-lyases/cystathionine gamma-synthases,,,,
PMM0410,PMED4_04531,389953,390561,-,Core,HEG,rpsD,30S ribosomal protein S4 (NCBI),COG522,J,Ribosomal protein S4 and related proteins,,,,
PMM0411,PMED4_04541,390657,390893,+,Core,MEG,PMM0411,Uncharacterized conserved protein (Katherine Huang),COG759,S,Uncharacterized conserved protein,,,,
PMM0412,PMED4_04551,390898,391200,+,Core,MEG,PMM0412,Thioredoxin family protein (Katherine Huang),,,,,,,
PMM0413,PMED4_04561,391211,392746,+,Core,VEG,murE,UDP-N-acetylmuramyl-tripeptide synthetase (NCBI),COG769,M,UDP-N-acetylmuramyl tripeptide synthase,,,,
PMM0414,PMED4_04571,392828,393532,+,Flexible,VEG,PMM0414,putative short chain dehydrogenase (NCBI),COG300,R,Short-chain dehydrogenases of various substrate specificities,,,,
PMM0415,PMED4_04581,393515,394696,-,Core,LEG,PMM0415,putative L-cysteine/cystine lyase (NCBI),COG520,E,Selenocysteine lyase,,,,
PMM0416,PMED4_04591,394729,395523,-,Flexible,MEG,PMM0416,putative methyltransferase (Katherine Huang),COG500,QR,SAM-dependent methyltransferases,,,,
HyPMM53,PMED4_04601,395600,395797,-,Flexible,HEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
asRNA_04601,--,395661,395842,+,,--,Antisense RNA,,,,,,,,
PMM0417,PMED4_04611,396030,396290,+,Flexible,VEG,PMM0417,hypothetical (NCBI),,,,,,,
PMM0418,PMED4_04621,396312,396557,-,Core,HEG,PMM0418,NifU-like protein (NCBI),COG694,O,Thioredoxin-like proteins and domains,,,,
PMM0419,PMED4_04631,396695,398122,+,Core,LEG,mqo,putative malate/quinone oxidoreductase (NCBI),COG579,R,Predicted dehydrogenase,,,,
PMM0420,PMED4_04641,398179,399987,+,Core,MEG,lepA,GTP-binding protein LepA (NCBI),COG481,M,Membrane GTPase LepA,,,,
PMM0421,PMED4_04651,400070,400903,+,Core,MEG,dppC,"putative ABC transporter, oligopeptides (NCBI)",COG1173,EP,"ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",,,,
PMM0422,PMED4_04661,400923,401594,-,Core,MEG,PMM0422,tRNA/rRNA methyltransferase (SpoU) (NCBI),COG566,J,rRNA methylases,,,,
HyPMM54,PMED4_04671,401765,401968,+,Flexible,MEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0423,PMED4_04681,402171,402563,+,Core,VEG,PMM0423,Uncharacterized protein conserved in bacteria (Katherine Huang),COG3011,S,Uncharacterized protein conserved in bacteria,,,,
PMM0424,PMED4_04691,402566,402802,+,Flexible,VEG,PMM0424,conserved hypothetical protein (NCBI),,,,,,,
PMM0425,PMED4_04701,402934,404424,+,Flexible,VEG,PMM0425,Uncharacterized protein related to deoxyribodipyrimidine photolyase  (Katherine Huang),COG3046,R,Uncharacterized protein related to deoxyribodipyrimidine photolyase,,,,
HyPMM55,PMED4_04711,404533,404727,-,Flexible,NEG,Protein-coding gene,Hypothetical protein (Katherine Huang),,,,,,,
HyPMM56,PMED4_04721,404728,404865,+,Flexible,NEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0426,PMED4_04731,404925,406238,+,Core,VEG,sun,Sun protein (Fmu protein) (NCBI),COG144,J,tRNA and rRNA cytosine-C5-methylases,,,,
PMM0427,PMED4_04741,406258,408021,-,Flexible,LEG,mrcB,putative penicillin binding protein (NCBI),COG744,M,Membrane carboxypeptidase (penicillin-binding protein),,,,
PMM0428,PMED4_04751,408023,408970,-,Core,VEG,chlG,chlorophyll synthase 33 kD subunit (NCBI),COG382,H,4-hydroxybenzoate polyprenyltransferase and related prenyltransferases,,,,
PMM0429,PMED4_04761,408980,409210,-,Core,HEG,PMM0429,conserved hypothetical protein (NCBI),,,,,,,
PMM0430,PMED4_04771,409270,410037,+,Core,MEG,hisF,Imidazole glycerol phosphate synthase subunit HisF (cyclase) (NCBI),COG107,E,Imidazoleglycerol-phosphate synthase,,,,
PMM0431,PMED4_04781,410074,410775,+,Core,VEG,ubiE,Ubiquinone/menaquinone biosynthesis methyltransferases (Katherine Huang),COG2226,H,Methylase involved in ubiquinone/menaquinone biosynthesis,,,,
PMM0432,PMED4_04791,410784,411218,-,Core,VEG,PMM0432,conserved hypothetical protein (NCBI),,,,,,,
PMM0433,PMED4_04801,411342,412091,+,Core,VEG,BirA,putative Biotin--acetyl-CoA-carboxylase ligase (NCBI),COG340,H,Biotin-(acetyl-CoA carboxylase) ligase,,,,
PMM0434,PMED4_04811,412094,412780,-,Core,MEG,salX,"possible ABC transporter, ATP binding protein (NCBI)",COG1136,V,"ABC-type antimicrobial peptide transport system, ATPase component",,,,
PMM0435,PMED4_04821,412795,414315,-,Core,VEG,ndhB,putative NADH dehydrogenase (complex I) subunit (chain 2) (NCBI),COG1007,C,NADH:ubiquinone oxidoreductase subunit 2 (chain N),,,,
PMM0436,PMED4_04831,414484,417096,+,Core,VEG,topA,Prokaryotic DNA topoisomerase (NCBI),COG550,L,Topoisomerase IA,,,,
PMM0437,PMED4_04841,417099,417683,+,Core,VEG,PMM0437,hypothetical (NCBI),,,,,,,
PMM0438,PMED4_04851,417706,418344,+,Core,VEG,PMM0438,Predicted membrane protein (Katherine Huang),COG4241,S,Predicted membrane protein,,,,
PMM0439,PMED4_04861,418359,419516,+,Core,VEG,cobT,NaMN:DMB phosphoribosyltransferase  (Katherine Huang),COG2038,H,NaMN:DMB phosphoribosyltransferase,,,,
PMM0440,PMED4_04871,419517,420509,+,Core,VEG,PMM0440,conserved hypothetical protein (NCBI),,,,,,,
PMM0441,PMED4_04881,420504,421649,-,Flexible,VEG,PMM0441,Aldo/keto reductase family (NCBI),COG1453,R,Predicted oxidoreductases of the aldo/keto reductase family,,,,
PMM0442,PMED4_04891,421761,422420,+,Core,MEG,ribE,Putative Riboflavin synthase alpha chain (NCBI),COG307,H,Riboflavin synthase alpha chain,,,,
PMM0443,PMED4_04901,422426,422779,-,Core,VEG,PMM0443,conserved hypothetical protein (NCBI),,,,,,,
PMM0444,PMED4_04911,422877,423479,-,Core,VEG,ctaE,"Cytochrome c oxidase, subunit III (NCBI)",COG1845,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 3",,,,
PMM0445,PMED4_04921,423492,425117,-,Core,HEG,ctaD (coxA),"Cytochrome c oxidase, subunit I (NCBI)",COG843,C,"Heme/copper-type cytochrome/quinol oxidases, subunit 1",,,,
PMM0446,PMED4_04931,425114,425917,-,Core,MEG,ctaC (coxB),"putative cytochrome c oxidase, subunit 2 (NCBI)",COG1622,C,"Heme/copper-type cytochrome/quinol oxidases, subunit 2",,,,
PMM0447,PMED4_04941,426170,427105,+,Core,VEG,ctaA,Uncharacterized protein required for cytochrome oxidase assembly  (Katherine Huang),COG1612,O,Uncharacterized protein required for cytochrome oxidase assembly,,,,
PMM0448,PMED4_04951,427102,428100,+,Core,MEG,ctaB,putative protoheme IX farnesyltransferase (NCBI),COG109,O,Polyprenyltransferase (cytochrome oxidase assembly factor),,,,
PMM0449,PMED4_04961,428137,429153,+,Core,VEG,ccmA,putative multidrug efflux ABC transporter (NCBI),COG1131,V,"ABC-type multidrug transport system, ATPase component",,,,
PMM0450,PMED4_04971,429207,430031,+,Core,MEG,PMM0450,putative multidrug efflux ABC transporter (NCBI),COG1682,GM,"ABC-type polysaccharide/polyol phosphate export systems, permease component",,,,
PMM0451,PMED4_04981,430039,430551,+,Flexible,MEG,PMM0451,possible Arenavirus glycoprotein (NCBI),,,,,,,
PMM0452,PMED4_04991,430556,432301,-,Core,HEG,groL,GroEL2 protein (Chaperonin cpn60 2) (NCBI),COG459,O,Chaperonin GroEL (HSP60 family),,,,
HyPMM57,PMED4_05001,432435,432614,+,Flexible,HEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0453,PMED4_05011,432615,433364,-,Core,VEG,fabG,3-oxoacyl-[acyl-carrier protein] reductase (NCBI),COG1028,IQR,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),,,,
PMM0454,PMED4_05021,433458,434129,+,Core,MEG,ispD,putative 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (NCBI),COG1211,I,4-diphosphocytidyl-2-methyl-D-erithritol synthase,,,,
PMM0455,PMED4_05031,434126,434998,-,Core,MEG,PMM0455,Putative carboxypeptidase (Katherine Huang),COG1619,V,"Uncharacterized proteins, homologs of microcin C7 resistance protein MccF",,,,
PMM0456,PMED4_05041,435011,435898,-,Core,VEG,ubiA,probable 4-hydroxybenzoate-octaprenyltransferase (NCBI),COG382,H,4-hydroxybenzoate polyprenyltransferase and related prenyltransferases,,,,
PMM0457,PMED4_05051,436020,437618,+,Core,VEG,ppx,putative exopolyphosphatase (NCBI),COG248,FP,Exopolyphosphatase,,,,
PMM0458,PMED4_05061,437615,438106,-,Flexible,VEG,PMM0458,conserved hypothetical protein (NCBI),,,,,,,
PMM0459,PMED4_05071,438164,438919,-,Core,MEG,cobM,precorrin-4 C11-methyltransferase (NCBI),COG2875,H,Precorrin-4 methylase,,,,
PMM0460,PMED4_05081,438912,439805,-,Core,MEG,lgt,putative prolipoprotein diacylglyceryl transferase (NCBI),COG682,M,Prolipoprotein diacylglyceryltransferase,,,,
PMM0461,PMED4_05091,439817,440770,-,Core,HEG,petA,Cytochrome f (NCBI),,,,,,,
PMM0462,PMED4_05101,440775,441311,-,Core,HEG,petC,Rieske iron-sulfur protein (NCBI),COG723,C,Rieske Fe-S protein,,,,
PMM0463,PMED4_05111,441435,441752,+,Flexible,MEG,PMM0463,conserved hypothetical protein (NCBI),,,,,,,
PMM0464,PMED4_05121,441721,442479,-,Core,MEG,tatC,"protein secretion component, Tat family (NCBI)",COG805,U,Sec-independent protein secretion pathway component TatC,,,,
PMM0465,PMED4_05131,442563,442823,-,Flexible,VEG,PMM0465,hypothetical (NCBI),,,,,,,
PMM0466,PMED4_05141,442853,444553,-,Core,MEG,PMM0466,possible secreted protein MPB70 precursor (NCBI),COG1293,K,Predicted RNA-binding protein homologous to eukaryotic snRNP,,,,
PMM0467,PMED4_05151,444628,445182,+,Core,VEG,gmk,Guanylate kinase (NCBI),COG194,F,Guanylate kinase,,,,
