gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,old_locus_tags
BSR22_RS01450,,BSR22_RS01450,BSR22_01450,Protein Homology,254265,254741,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805578.1,carbon storage regulator CsrA,WP_077142216.1,,,,,BSR22_01450
BSR22_RS01455,,BSR22_RS01455,BSR22_01455,Protein Homology,254939,255319,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819019.1,DoxX family protein,WP_077142215.1,GO:0005886,plasma membrane|0005886||IEA,,,BSR22_01455
BSR22_RS01460,,BSR22_RS01460,BSR22_01460,Protein Homology,255350,255544,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819020.1,hypothetical protein,WP_077142214.1,,,,,BSR22_01460
BSR22_RS01465,,BSR22_RS01465,BSR22_01465,Protein Homology,255833,256219,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807745.1,DUF3804 family protein,WP_077142213.1,,,,,BSR22_01465
BSR22_RS09430,,BSR22_RS09430,BSR22_01475,Protein Homology,257862,258071,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863518.1,hypothetical protein,WP_077142212.1,,,,,BSR22_01475
BSR22_RS01480,,BSR22_RS01480,BSR22_01480,Protein Homology,258398,258601,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819026.1,hypothetical protein,WP_077142211.1,,,,,BSR22_01480
BSR22_RS09435,,BSR22_RS09435,BSR22_RS09435,Protein Homology,258678,258833,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019478647.1,hypothetical protein,WP_198025647.1,,,,,
BSR22_RS09440,,BSR22_RS09440,BSR22_RS09440,Protein Homology,259098,259238,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806251.1,hypothetical protein,WP_002806251.1,,,,,
BSR22_RS01485,,BSR22_RS01485,BSR22_01485,GeneMarkS-2+,259593,259850,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_077142210.1,,,,,BSR22_01485
BSR22_RS09445,,BSR22_RS09445,BSR22_RS09445,Protein Homology,260053,260199,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819032.1,hypothetical protein,WP_198025648.1,,,,,
BSR22_RS01490,,BSR22_RS01490,BSR22_01490,Protein Homology,260279,260797,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819033.1,hemagglutinin,WP_077142209.1,,,,,BSR22_01490
BSR22_RS01495,,BSR22_RS01495,BSR22_01495,Protein Homology,260799,261653,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819034.1,LOG family protein,WP_077142208.1,"GO:0009691,GO:0016799",,hydrolase activity%2C hydrolyzing N-glycosyl compounds|0016799||IEA,cytokinin biosynthetic process|0009691||IEA,BSR22_01495
BSR22_RS01500,,BSR22_RS01500,BSR22_01500,Protein Homology,261682,261999,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132355.1,hypothetical protein,WP_025940904.1,,,,,BSR22_01500
BSR22_RS01505,,BSR22_RS01505,BSR22_01505,Protein Homology,262115,263137,-,,,COORDINATES: protein motif:HMM:NF012575.6,aromatic ring-hydroxylating oxygenase subunit alpha,WP_077142207.1,"GO:0005506,GO:0016705,GO:0051537",,"iron ion binding|0005506||IEA,oxidoreductase activity%2C acting on paired donors%2C with incorporation or reduction of molecular oxygen|0016705||IEA,2 iron%2C 2 sulfur cluster binding|0051537||IEA",,BSR22_01505
BSR22_RS01510,,BSR22_RS01510,BSR22_01510,Protein Homology,263141,263902,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011364056.1,ABC transporter ATP-binding protein,WP_077142206.1,"GO:0006810,GO:0005215,GO:0005524,GO:0016887,GO:0042626,GO:0140359",,"transporter activity|0005215||IEA,ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",transport|0006810||IEA,BSR22_01510
BSR22_RS01515,,BSR22_RS01515,BSR22_01515,Protein Homology,263903,264721,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_010871923.1,ABC transporter permease,WP_083703284.1,"GO:0005524,GO:0022857",,"ATP binding|0005524||IEA,transmembrane transporter activity|0022857||IEA",,BSR22_01515
BSR22_RS01520,,BSR22_RS01520,BSR22_01520,Protein Homology,264738,265736,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011364058.1,ABC transporter substrate-binding protein,WP_077142205.1,,,,,BSR22_01520
hypB,hypB,BSR22_RS01525,BSR22_01525,Protein Homology,265838,266521,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009632199.1,hydrogenase nickel incorporation protein HypB,WP_077142204.1,"GO:0036211,GO:0051604,GO:0000166,GO:0003924,GO:0016151,GO:0016530",,"nucleotide binding|0000166||IEA,GTPase activity|0003924||IEA,nickel cation binding|0016151||IEA,metallochaperone activity|0016530||IEA","protein modification process|0036211||IEA,protein maturation|0051604||IEA",BSR22_01525
BSR22_RS01530,,BSR22_RS01530,BSR22_01530,Protein Homology,266562,266918,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011364060.1,hydrogenase maturation nickel metallochaperone HypA,WP_025972507.1,,,,,BSR22_01530
speB,speB,BSR22_RS01535,BSR22_01535,Protein Homology,266925,268058,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_010871927.1,agmatinase,WP_079337231.1,"GO:0008295,GO:0008783",,agmatinase activity|0008783||IEA,spermidine biosynthetic process|0008295||IEA,BSR22_01535
BSR22_RS09230,,BSR22_RS09230,BSR22_RS09230,GeneMarkS-2+,268841,268999,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_156860742.1,,,,,
BSR22_RS09450,,BSR22_RS09450,BSR22_RS09450,Protein Homology,269071,269241,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805967.1,hypothetical protein,WP_198025649.1,,,,,
BSR22_RS09455,,BSR22_RS09455,BSR22_RS09455,Protein Homology,269539,269709,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007976.1,hypothetical protein,WP_198025650.1,,,,,
BSR22_RS01540,,BSR22_RS01540,BSR22_01540,Protein Homology,269737,270045,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806611.1,hypothetical protein,WP_025882229.1,,,,,BSR22_01540
BSR22_RS01545,,BSR22_RS01545,BSR22_01545,Protein Homology,270365,271084,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863526.1,dienelactone hydrolase family protein,WP_077142203.1,GO:0016787,,hydrolase activity|0016787||IEA,,BSR22_01545
BSR22_RS01550,,BSR22_RS01550,BSR22_01550,Protein Homology,271270,271695,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863527.1,cupin domain-containing protein,WP_225866741.1,,,,,BSR22_01550
BSR22_RS09460,,BSR22_RS09460,BSR22_RS09460,Protein Homology,271925,272080,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818675.1,hypothetical protein,WP_198025651.1,,,,,
BSR22_RS01555,,BSR22_RS01555,BSR22_01555,Protein Homology,272077,272502,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806870.1,hypothetical protein,WP_077142201.1,,,,,BSR22_01555
BSR22_RS01560,,BSR22_RS01560,BSR22_01560,GeneMarkS-2+,273026,274612,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_077142200.1,,,,,BSR22_01560
BSR22_RS01565,,BSR22_RS01565,BSR22_01565,Protein Homology,274754,276208,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012308463.1,type I restriction-modification system subunit M,WP_077142199.1,"GO:0003677,GO:0008170",,"DNA binding|0003677||IEA,N-methyltransferase activity|0008170||IEA",,BSR22_01565
BSR22_RS01570,,BSR22_RS01570,BSR22_01570,Protein Homology,276208,277395,+,,,COORDINATES: protein motif:HMM:NF013579.6,restriction endonuclease subunit S,WP_077142198.1,"GO:0006304,GO:0003677",,DNA binding|0003677||IEA,DNA modification|0006304||IEA,BSR22_01570
hsdR,hsdR,BSR22_RS01575,BSR22_01575,Protein Homology,277401,279731,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012308466.1,EcoAI/FtnUII family type I restriction enzme subunit R,WP_077142197.1,"GO:0009307,GO:0003678,GO:0015666",,"DNA helicase activity|0003678||IEA,restriction endodeoxyribonuclease activity|0015666||IEA",DNA restriction-modification system|0009307||IEA,BSR22_01575
BSR22_RS01580,,BSR22_RS01580,BSR22_01580,Protein Homology,279774,279953,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819752.1,hypothetical protein,WP_077142196.1,,,,,BSR22_01580
BSR22_RS01585,,BSR22_RS01585,BSR22_01585,Protein Homology,279956,280288,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019476043.1,hypothetical protein,WP_225866690.1,,,,,BSR22_01585
BSR22_RS01590,,BSR22_RS01590,BSR22_01590,Protein Homology,280654,280974,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863540.1,hypothetical protein,WP_077142195.1,,,,,BSR22_01590
BSR22_RS01595,,BSR22_RS01595,BSR22_01595,Protein Homology,281036,281263,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011133056.1,hypothetical protein,WP_072014707.1,,,,,BSR22_01595
BSR22_RS01600,,BSR22_RS01600,BSR22_01600,Protein Homology,281598,282056,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819043.1,EVE domain-containing protein,WP_077142194.1,GO:0003723,,RNA binding|0003723||IEA,,BSR22_01600
BSR22_RS01605,,BSR22_RS01605,BSR22_01605,Protein Homology,282064,282315,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808012.1,DUF2811 domain-containing protein,WP_077142193.1,,,,,BSR22_01605
BSR22_RS01610,,BSR22_RS01610,BSR22_01610,Protein Homology,282629,283000,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819045.1,DUF1818 family protein,WP_077142192.1,,,,,BSR22_01610
BSR22_RS01615,,BSR22_RS01615,BSR22_01615,Protein Homology,283003,283239,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377067.1,DNA-directed RNA polymerase subunit omega,WP_025894961.1,"GO:0006351,GO:0003677,GO:0003899",,"DNA binding|0003677||IEA,DNA-directed 5'-3' RNA polymerase activity|0003899||IEA",DNA-templated transcription|0006351||IEA,BSR22_01615
BSR22_RS01620,,BSR22_RS01620,BSR22_01620,Protein Homology,283336,284904,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377068.1,Hsp70 family protein,WP_077142191.1,"GO:0005524,GO:0140662",,"ATP binding|0005524||IEA,ATP-dependent protein folding chaperone|0140662||IEA",,BSR22_01620
pyrR,pyrR,BSR22_RS01625,BSR22_01625,Protein Homology,284912,285448,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806071.1,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR,WP_077142190.1,GO:0009116,,,nucleoside metabolic process|0009116||IEA,BSR22_01625
gpmI,gpmI,BSR22_RS01630,BSR22_01630,Protein Homology,285586,287208,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863547.1,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,WP_077142189.1,"GO:0006096,GO:0004619",,phosphoglycerate mutase activity|0004619||IEA,glycolytic process|0006096||IEA,BSR22_01630
secG,secG,BSR22_RS01635,BSR22_01635,Protein Homology,287232,287459,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808402.1,preprotein translocase subunit SecG,WP_011863548.1,"GO:0015739,GO:0015136,GO:0016020",membrane|0016020||IEA,sialic acid transmembrane transporter activity|0015136||IEA,sialic acid transport|0015739||IEA,BSR22_01635
groL,groL,BSR22_RS01640,BSR22_01640,Protein Homology,287527,289164,-,60 kDa chaperone family%3B promotes refolding of misfolded polypeptides especially under stressful conditions%3B forms two stacked rings of heptamers to form a barrel-shaped 14mer%3B ends can be capped by GroES%3B misfolded proteins enter the barrel where they are refolded when GroES binds,,COORDINATES: similar to AA sequence:RefSeq:WP_006851861.1,chaperonin GroEL,WP_077142188.1,"GO:0042026,GO:0140662",,ATP-dependent protein folding chaperone|0140662||IEA,protein refolding|0042026||IEA,BSR22_01640
groES,groES,BSR22_RS01645,BSR22_01645,Protein Homology,289216,289527,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011130818.1,co-chaperone GroES,WP_002806275.1,"GO:0006457,GO:0005524,GO:0016887",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",protein folding|0006457||IEA,BSR22_01645
atpD,atpD,BSR22_RS01650,BSR22_01650,Protein Homology,289746,291206,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863550.1,F0F1 ATP synthase subunit beta,WP_011863550.1,"GO:0015986,GO:0046933,GO:0045259",proton-transporting ATP synthase complex|0045259||IEA,proton-transporting ATP synthase activity%2C rotational mechanism|0046933||IEA,proton motive force-driven ATP synthesis|0015986||IEA,BSR22_01650
atpC,atpC,BSR22_RS01655,BSR22_01655,Protein Homology,291245,291649,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820920.1,ATP synthase F1 subunit epsilon,WP_025933956.1,"GO:0015986,GO:0046933,GO:0045259",proton-transporting ATP synthase complex|0045259||IEA,proton-transporting ATP synthase activity%2C rotational mechanism|0046933||IEA,proton motive force-driven ATP synthesis|0015986||IEA,BSR22_01655
BSR22_RS01660,,BSR22_RS01660,BSR22_01660,Protein Homology,291653,292129,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819055.1,30S ribosomal protein PSRP-3,WP_077142187.1,,,,,BSR22_01660
BSR22_RS09465,,BSR22_RS09465,BSR22_RS09465,Protein Homology,292236,292394,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377077.1,hypothetical protein,WP_198025652.1,,,,,
BSR22_RS01665,,BSR22_RS01665,BSR22_01665,Protein Homology,292449,293774,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377078.1,aminopeptidase P N-terminal domain-containing protein,WP_077142186.1,"GO:0030145,GO:0070006",,"manganese ion binding|0030145||IEA,metalloaminopeptidase activity|0070006||IEA",,BSR22_01665
BSR22_RS01670,,BSR22_RS01670,BSR22_01670,Protein Homology,293849,294832,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819058.1,CNNM domain-containing protein,WP_077142185.1,,,,,BSR22_01670
BSR22_RS01675,,BSR22_RS01675,BSR22_01675,Protein Homology,294829,296070,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008347.1,GTP-binding protein,WP_077142184.1,,,,,BSR22_01675
BSR22_RS01680,,BSR22_RS01680,BSR22_01680,Protein Homology,296079,296657,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008348.1,nicotinate-nucleotide adenylyltransferase,WP_077142183.1,,,,,BSR22_01680
BSR22_RS01685,,BSR22_RS01685,BSR22_01685,Protein Homology,296654,298351,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863558.1,NAD+ synthase,WP_077142182.1,"GO:0009435,GO:0003952,GO:0005524",,"NAD+ synthase (glutamine-hydrolyzing) activity|0003952||IEA,ATP binding|0005524||IEA",NAD biosynthetic process|0009435||IEA,BSR22_01685
BSR22_RS01690,,BSR22_RS01690,BSR22_01690,Protein Homology,298345,299406,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819062.1,DUF3326 domain-containing protein,WP_077142181.1,,,,,BSR22_01690
BSR22_RS01695,,BSR22_RS01695,BSR22_01695,Protein Homology,299434,299625,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863560.1,hypothetical protein,WP_077142180.1,,,,,BSR22_01695
BSR22_RS01700,,BSR22_RS01700,BSR22_01700,Protein Homology,299622,299948,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863561.1,2Fe-2S iron-sulfur cluster-binding protein,WP_077142179.1,GO:0051536,,iron-sulfur cluster binding|0051536||IEA,,BSR22_01700
BSR22_RS01705,,BSR22_RS01705,BSR22_01705,Protein Homology,299965,300915,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377086.1,F0F1 ATP synthase subunit gamma,WP_077142178.1,"GO:0015986,GO:0046933,GO:0045259",proton-transporting ATP synthase complex|0045259||IEA,proton-transporting ATP synthase activity%2C rotational mechanism|0046933||IEA,proton motive force-driven ATP synthesis|0015986||IEA,BSR22_01705
atpA,atpA,BSR22_RS01710,BSR22_01710,Protein Homology,300934,302451,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863563.1,F0F1 ATP synthase subunit alpha,WP_011863563.1,"GO:0015986,GO:0046933,GO:0045259",proton-transporting ATP synthase complex|0045259||IEA,proton-transporting ATP synthase activity%2C rotational mechanism|0046933||IEA,proton motive force-driven ATP synthesis|0015986||IEA,BSR22_01710
atpH,atpH,BSR22_RS01715,BSR22_01715,Protein Homology,302482,303024,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863564.1,ATP synthase F1 subunit delta,WP_025930851.1,"GO:0015986,GO:0046933,GO:0045259",proton-transporting ATP synthase complex|0045259||IEA,proton-transporting ATP synthase activity%2C rotational mechanism|0046933||IEA,proton motive force-driven ATP synthesis|0015986||IEA,BSR22_01715
BSR22_RS01720,,BSR22_RS01720,BSR22_01720,Protein Homology,303024,303536,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820934.1,F0F1 ATP synthase subunit B,WP_077142177.1,,,,,BSR22_01720
BSR22_RS01725,,BSR22_RS01725,BSR22_01725,Protein Homology,303533,303994,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377090.1,F0F1 ATP synthase subunit B',WP_025933968.1,,,,,BSR22_01725
atpE,atpE,BSR22_RS01730,BSR22_01730,Protein Homology,304063,304308,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009790499.1,ATP synthase F0 subunit C,WP_002805169.1,"GO:0015986,GO:0015078,GO:0045259",proton-transporting ATP synthase complex|0045259||IEA,proton transmembrane transporter activity|0015078||IEA,proton motive force-driven ATP synthesis|0015986||IEA,BSR22_01730
atpB,atpB,BSR22_RS01735,BSR22_01735,Protein Homology,304473,305198,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008357.1,F0F1 ATP synthase subunit A,WP_011863567.1,"GO:0015986,GO:0046933,GO:0045259",proton-transporting ATP synthase complex|0045259||IEA,proton-transporting ATP synthase activity%2C rotational mechanism|0046933||IEA,proton motive force-driven ATP synthesis|0015986||IEA,BSR22_01735
BSR22_RS01740,,BSR22_RS01740,BSR22_01740,Protein Homology,305223,305699,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863568.1,ATP synthase,WP_025933969.1,,,,,BSR22_01740
BSR22_RS01745,,BSR22_RS01745,BSR22_01745,Protein Homology,305967,307202,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863569.1,FtsW/RodA/SpoVE family cell cycle protein,WP_077142176.1,"GO:0008360,GO:0009252,GO:0051301,GO:0071555,GO:0008955,GO:0015648",,"peptidoglycan glycosyltransferase activity|0008955||IEA,lipid-linked peptidoglycan transporter activity|0015648||IEA","regulation of cell shape|0008360||IEA,peptidoglycan biosynthetic process|0009252||IEA,cell division|0051301||IEA,cell wall organization|0071555||IEA",BSR22_01745
BSR22_RS01750,,BSR22_RS01750,BSR22_01750,Protein Homology,307285,307941,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008360.1,cytochrome c biogenesis CcdA family protein,WP_077142175.1,"GO:0017004,GO:0016020",membrane|0016020||IEA,,cytochrome complex assembly|0017004||IEA,BSR22_01750
BSR22_RS01755,,BSR22_RS01755,BSR22_01755,Protein Homology,307942,309228,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807103.1,cytochrome c biogenesis protein ResB,WP_077142174.1,,,,,BSR22_01755
queF,queF,BSR22_RS01760,BSR22_01760,Protein Homology,309225,309635,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377096.1,preQ(1) synthase,WP_025889331.1,"GO:0008616,GO:0033739,GO:0046857,GO:0005737",cytoplasm|0005737||IEA,"preQ1 synthase activity|0033739||IEA,oxidoreductase activity%2C acting on other nitrogenous compounds as donors%2C with NAD or NADP as acceptor|0046857||IEA",queuosine biosynthetic process|0008616||IEA,BSR22_01760
BSR22_RS01765,,BSR22_RS01765,BSR22_01765,Protein Homology,309825,310070,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807027.1,hypothetical protein,WP_077142173.1,,,,,BSR22_01765
BSR22_RS01770,,BSR22_RS01770,BSR22_01770,Protein Homology,310095,310433,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011133091.1,P-II family nitrogen regulator,WP_011377098.1,"GO:0006808,GO:0030234",,enzyme regulator activity|0030234||IEA,regulation of nitrogen utilization|0006808||IEA,BSR22_01770
BSR22_RS01775,,BSR22_RS01775,BSR22_01775,Protein Homology,310435,311247,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008364.1,TlyA family RNA methyltransferase,WP_077142172.1,"GO:0032259,GO:0003723,GO:0008168",,"RNA binding|0003723||IEA,methyltransferase activity|0008168||IEA",methylation|0032259||IEA,BSR22_01775
purB,purB,BSR22_RS01780,BSR22_01780,Protein Homology,311528,312823,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863575.1,adenylosuccinate lyase,WP_077142171.1,"GO:0009152,GO:0004018",,N6-(1%2C2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity|0004018||IEA,purine ribonucleotide biosynthetic process|0009152||IEA,BSR22_01780
BSR22_RS01785,,BSR22_RS01785,BSR22_01785,Protein Homology,312872,314257,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819079.1,class II fumarate hydratase,WP_077142170.1,"GO:0006099,GO:0006106,GO:0006108,GO:0004333",,fumarate hydratase activity|0004333||IEA,"tricarboxylic acid cycle|0006099||IEA,fumarate metabolic process|0006106||IEA,malate metabolic process|0006108||IEA",BSR22_01785
BSR22_RS01790,,BSR22_RS01790,BSR22_01790,Protein Homology,314268,316994,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820948.1,DEAD/DEAH box helicase,WP_077142169.1,"GO:0003676,GO:0004386,GO:0005524,GO:0016887",,"nucleic acid binding|0003676||IEA,helicase activity|0004386||IEA,ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,BSR22_01790
BSR22_RS01795,,BSR22_RS01795,BSR22_01795,Protein Homology,317134,318273,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008368.1,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,WP_077142168.1,"GO:0016747,GO:0030170",,"acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA,pyridoxal phosphate binding|0030170||IEA",,BSR22_01795
BSR22_RS01800,,BSR22_RS01800,BSR22_01800,Protein Homology,318270,318974,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819082.1,hypothetical protein,WP_077142167.1,,,,,BSR22_01800
BSR22_RS01805,,BSR22_RS01805,BSR22_01805,Protein Homology,318976,319734,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819083.1,methyltransferase domain-containing protein,WP_077142166.1,,,,,BSR22_01805
bioD,bioD,BSR22_RS01810,BSR22_01810,Protein Homology,319731,320396,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819084.1,dethiobiotin synthase,WP_077142165.1,"GO:0009102,GO:0000287,GO:0004141,GO:0005524",,"magnesium ion binding|0000287||IEA,dethiobiotin synthase activity|0004141||IEA,ATP binding|0005524||IEA",biotin biosynthetic process|0009102||IEA,BSR22_01810
bioA,bioA,BSR22_RS01815,BSR22_01815,Protein Homology,320397,321698,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819085.1,adenosylmethionine--8-amino-7-oxononanoate transaminase,WP_077142164.1,"GO:0009102,GO:0004015",,adenosylmethionine-8-amino-7-oxononanoate transaminase activity|0004015||IEA,biotin biosynthetic process|0009102||IEA,BSR22_01815
BSR22_RS01820,,BSR22_RS01820,BSR22_01820,Protein Homology,321707,321964,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863583.1,DUF3143 domain-containing protein,WP_025889355.1,,,,,BSR22_01820
BSR22_RS01825,,BSR22_RS01825,BSR22_01825,Protein Homology,321981,322421,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008374.1,J domain-containing protein,WP_077142163.1,GO:0006457,,,protein folding|0006457||IEA,BSR22_01825
rsmG,rsmG,BSR22_RS01830,BSR22_01830,Protein Homology,322512,323225,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008375.1,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,WP_077142162.1,"GO:0031167,GO:0046118,GO:0008168",,methyltransferase activity|0008168||IEA,"rRNA methylation|0031167||IEA,7-methylguanosine biosynthetic process|0046118||IEA",BSR22_01830
BSR22_RS01835,,BSR22_RS01835,BSR22_01835,Protein Homology,323228,324421,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819089.1,aldo/keto reductase,WP_077142161.1,,,,,BSR22_01835
BSR22_RS01840,,BSR22_RS01840,BSR22_01840,Protein Homology,324432,324791,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863587.1,ferredoxin,WP_077142160.1,"GO:0005506,GO:0009055,GO:0051536",,"iron ion binding|0005506||IEA,electron transfer activity|0009055||IEA,iron-sulfur cluster binding|0051536||IEA",,BSR22_01840
BSR22_RS01845,,BSR22_RS01845,BSR22_01845,Protein Homology,324801,325193,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807650.1,DUF1257 domain-containing protein,WP_025933987.1,,,,,BSR22_01845
BSR22_RS01850,,BSR22_RS01850,BSR22_01850,Protein Homology,325180,325395,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008379.1,DUF2997 domain-containing protein,WP_025933988.1,,,,,BSR22_01850
BSR22_RS01855,,BSR22_RS01855,BSR22_01855,Protein Homology,325544,326311,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819093.1,HEAT repeat domain-containing protein,WP_077142159.1,GO:0005515,,protein binding|0005515||IEA,,BSR22_01855
BSR22_RS09470,,BSR22_RS09470,BSR22_RS09470,Protein Homology,326329,326475,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819094.1,hypothetical protein,WP_198025653.1,,,,,
rlmN,rlmN,BSR22_RS01860,BSR22_01860,Protein Homology,326524,327570,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377116.1,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,WP_077142158.1,"GO:0030488,GO:0070475,GO:0008757,GO:0016433",,"S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,rRNA (adenine) methyltransferase activity|0016433||IEA","tRNA methylation|0030488||IEA,rRNA base methylation|0070475||IEA",BSR22_01860
BSR22_RS01865,,BSR22_RS01865,BSR22_01865,Protein Homology,327600,327752,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806723.1,high light inducible protein,WP_011863593.1,,,,,BSR22_01865
BSR22_RS01870,,BSR22_RS01870,BSR22_01870,Protein Homology,327807,331907,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824419.1,DNA-directed RNA polymerase subunit beta',WP_077142157.1,,,,,BSR22_01870
BSR22_RS01875,,BSR22_RS01875,BSR22_01875,Protein Homology,331940,333844,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011933952.1,DNA-directed RNA polymerase subunit gamma,WP_025937604.1,,,,,BSR22_01875
