gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags
sspA,sspA,ALT831_RS03985,MIT1002_00817,Protein Homology,902264,902896,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982750.1,stringent starvation protein SspA,WP_012517332.1,"GO:0006749,GO:0005515",,protein binding|0005515||IEA,glutathione metabolic process|0006749||IEA,,MIT1002_00817
ALT831_RS03990,,ALT831_RS03990,MIT1002_00818,Protein Homology,902893,903366,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066278.1,ClpXP protease specificity-enhancing factor,WP_014948334.1,,,,,,MIT1002_00818
ALT831_RS03995,,ALT831_RS03995,MIT1002_00819,Protein Homology,903552,904400,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978392.1,spondin domain-containing protein,WP_049586162.1,,,,,,MIT1002_00819
ALT831_RS04000,,ALT831_RS04000,MIT1002_00820,Protein Homology,904413,905228,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978393.1,spondin domain-containing protein,WP_039224560.1,,,,,,MIT1002_00820
ALT831_RS04005,,ALT831_RS04005,MIT1002_00821,Protein Homology,905451,906203,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978394.1,response regulator transcription factor,WP_049586163.1,"GO:0000160,GO:0006355,GO:0000156,GO:0003677",,"phosphorelay response regulator activity|0000156||IEA,DNA binding|0003677||IEA","phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA",,MIT1002_00821
mgtE,mgtE,ALT831_RS04010,MIT1002_00822,Protein Homology,906255,907613,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517334.1,magnesium transporter,WP_014948338.1,"GO:0015693,GO:0015095,GO:0016020",membrane|0016020||IEA,magnesium ion transmembrane transporter activity|0015095||IEA,magnesium ion transport|0015693||IEA,,MIT1002_00822
ALT831_RS04015,,ALT831_RS04015,MIT1002_00823,Protein Homology,907788,908060,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997387.1,HPr family phosphocarrier protein,WP_014948339.1,GO:0008982,,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|0008982||IEA,,,MIT1002_00823
rapZ,rapZ,ALT831_RS04020,MIT1002_00824,Protein Homology,908060,908905,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008844882.1,RNase adapter RapZ,WP_014948340.1,GO:0005524,,ATP binding|0005524||IEA,,,MIT1002_00824
ptsN,ptsN,ALT831_RS04025,MIT1002_00825,Protein Homology,908990,909433,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517337.1,PTS IIA-like nitrogen regulatory protein PtsN,WP_014975727.1,"GO:0006355,GO:0009401,GO:0008982",,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|0008982||IEA,"regulation of DNA-templated transcription|0006355||IEA,phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA",,MIT1002_00825
hpf,hpf,ALT831_RS04030,MIT1002_00826,Protein Homology,909447,909734,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007378299.1,ribosome hibernation promoting factor,WP_012517338.1,GO:0044238,,,primary metabolic process|0044238||IEA,,MIT1002_00826
ALT831_RS04035,,ALT831_RS04035,MIT1002_00827,Protein Homology,909765,911246,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997390.1,RNA polymerase factor sigma-54,WP_049586165.1,"GO:0006352,GO:0001216,GO:0003677,GO:0016987",,"DNA-binding transcription activator activity|0001216||IEA,DNA binding|0003677||IEA,sigma factor activity|0016987||IEA",DNA-templated transcription initiation|0006352||IEA,,MIT1002_00827
lptB,lptB,ALT831_RS04040,MIT1002_00828,Protein Homology,911320,912045,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007990185.1,LPS export ABC transporter ATP-binding protein,WP_014948343.1,"GO:0055085,GO:0005524,GO:0043190",ATP-binding cassette (ABC) transporter complex|0043190||IEA,ATP binding|0005524||IEA,transmembrane transport|0055085||IEA,,MIT1002_00828
lptA,lptA,ALT831_RS04045,MIT1002_00829,Protein Homology,912048,912602,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948344.1,lipopolysaccharide transport periplasmic protein LptA,WP_049586166.1,"GO:0015920,GO:0001530,GO:0042597",periplasmic space|0042597||IEA,lipopolysaccharide binding|0001530||IEA,lipopolysaccharide transport|0015920||IEA,,MIT1002_00829
lptC,lptC,ALT831_RS04050,MIT1002_00830,Protein Homology,912571,913149,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948345.1,LPS export ABC transporter periplasmic protein LptC,WP_014948345.1,"GO:0015920,GO:0015221,GO:0005886",plasma membrane|0005886||IEA,lipopolysaccharide transmembrane transporter activity|0015221||IEA,lipopolysaccharide transport|0015920||IEA,,MIT1002_00830
kdsC,kdsC,ALT831_RS04055,MIT1002_00831,Protein Homology,913146,913694,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948346.1,3-deoxy-manno-octulosonate-8-phosphatase KdsC,WP_049586167.1,GO:0016788,,hydrolase activity%2C acting on ester bonds|0016788||IEA,,,MIT1002_00831
ALT831_RS04060,,ALT831_RS04060,MIT1002_00832,Protein Homology,913695,914675,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997394.1,KpsF/GutQ family sugar-phosphate isomerase,WP_049586168.1,"GO:0005975,GO:0016853",,isomerase activity|0016853||IEA,carbohydrate metabolic process|0005975||IEA,,MIT1002_00832
ALT831_RS04065,,ALT831_RS04065,MIT1002_00833,Protein Homology,914678,915634,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517345.1,calcium/sodium antiporter,WP_014948348.1,"GO:0055085,GO:0016020",membrane|0016020||IEA,,transmembrane transport|0055085||IEA,,MIT1002_00833
mlaF,mlaF,ALT831_RS04070,MIT1002_00834,Protein Homology,916483,917283,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948349.1,phospholipid ABC transporter ATP-binding protein MlaF,WP_049586169.1,GO:0005524,,ATP binding|0005524||IEA,,,MIT1002_00834
mlaE,mlaE,ALT831_RS04075,MIT1002_00835,Protein Homology,917280,918056,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013785352.1,lipid asymmetry maintenance ABC transporter permease subunit MlaE,WP_014948350.1,GO:0043190,ATP-binding cassette (ABC) transporter complex|0043190||IEA,,,,MIT1002_00835
mlaD,mlaD,ALT831_RS04080,MIT1002_00836,Protein Homology,918066,918539,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948351.1,outer membrane lipid asymmetry maintenance protein MlaD,WP_014948351.1,GO:0015914,,,phospholipid transport|0015914||IEA,,MIT1002_00836
ALT831_RS04085,,ALT831_RS04085,MIT1002_00837,Protein Homology,918658,919323,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948352.1,MlaC/ttg2D family ABC transporter substrate-binding protein,WP_049586171.1,"GO:0042626,GO:0140359,GO:0055052",ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,,MIT1002_00837
ALT831_RS04090,,ALT831_RS04090,MIT1002_00838,Protein Homology,919320,919628,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978399.1,STAS domain-containing protein,WP_049586172.1,,,,,,MIT1002_00838
ALT831_RS04095,,ALT831_RS04095,MIT1002_00839,Protein Homology,919658,919915,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517351.1,BolA family protein,WP_012517351.1,"GO:0051604,GO:0051536,GO:1990229",iron-sulfur cluster assembly complex|1990229||IEA,iron-sulfur cluster binding|0051536||IEA,protein maturation|0051604||IEA,,MIT1002_00839
murA,murA,ALT831_RS04100,MIT1002_00840,Protein Homology,919928,921190,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066281.1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,WP_014948355.1,"GO:0019277,GO:0008760",,UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity|0008760||IEA,UDP-N-acetylgalactosamine biosynthetic process|0019277||IEA,,MIT1002_00840
ALT831_RS04105,,ALT831_RS04105,MIT1002_00841,Protein Homology,921336,922406,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517353.1,trypsin-like peptidase domain-containing protein,WP_014948356.1,,,,,,MIT1002_00841
ALT831_RS04110,,ALT831_RS04110,MIT1002_00842,Protein Homology,922826,924187,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997404.1,DegQ family serine endoprotease,WP_014948357.1,,,,,,MIT1002_00842
ALT831_RS04115,,ALT831_RS04115,MIT1002_00843,Protein Homology,924276,924710,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948358.1,ZapG family protein,WP_014948358.1,,,,,,MIT1002_00843
zapE,zapE,ALT831_RS04120,MIT1002_00844,Protein Homology,924966,926063,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997405.1,cell division protein ZapE,WP_049586173.1,"GO:0051301,GO:0005524,GO:0016887",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",cell division|0051301||IEA,,MIT1002_00844
ALT831_RS04125,,ALT831_RS04125,MIT1002_00845,Protein Homology,926394,927116,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997406.1,YebC/PmpR family DNA-binding transcriptional regulator,WP_014948360.1,"GO:0006355,GO:0003677",,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA,,MIT1002_00845
ALT831_RS04130,,ALT831_RS04130,MIT1002_00846,Protein Homology,927328,927984,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975732.1,nitroreductase family protein,WP_014975732.1,,,,,,MIT1002_00846
ALT831_RS04135,,ALT831_RS04135,MIT1002_00847,Protein Homology,928027,928302,-,,,COORDINATES: protein motif:HMM:NF016086.6,alpha-E domain-containing protein,WP_049586174.1,,,,,,MIT1002_00847
ALT831_RS04140,,ALT831_RS04140,MIT1002_00848,Protein Homology,928554,928868,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997413.1,hypothetical protein,WP_231506408.1,,,,,,MIT1002_00848
secD,secD,ALT831_RS04145,MIT1002_00849,Protein Homology,928954,931521,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997414.1,protein translocase subunit SecD,WP_049586176.1,"GO:0006886,GO:0043952,GO:0015450,GO:0031522",cell envelope Sec protein transport complex|0031522||IEA,protein-transporting ATPase activity|0015450||IEA,"intracellular protein transport|0006886||IEA,protein transport by the Sec complex|0043952||IEA",,MIT1002_00849
ALT831_RS04150,,ALT831_RS04150,MIT1002_00850,Protein Homology,931683,933146,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948373.1,potassium/proton antiporter,WP_049586178.1,,,,,,MIT1002_00850
ALT831_RS04160,,ALT831_RS04160,MIT1002_00853,Protein Homology,933603,935999,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997416.1,TonB-dependent receptor,WP_197047966.1,"GO:0055085,GO:0009279",cell outer membrane|0009279||IEA,,transmembrane transport|0055085||IEA,,MIT1002_00853
ALT831_RS04165,,ALT831_RS04165,MIT1002_00854,Protein Homology,936400,937344,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978426.1,DMT family transporter,WP_049586181.1,"GO:0055085,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,,MIT1002_00854
ALT831_RS04170,,ALT831_RS04170,MIT1002_00855,Protein Homology,937364,938128,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975737.1,substrate-binding periplasmic protein,WP_049586183.1,,,,,,MIT1002_00855
ALT831_RS04175,,ALT831_RS04175,MIT1002_00856,Protein Homology,938152,941031,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066292.1,ATP-binding protein,WP_197047967.1,,,,,,MIT1002_00856
ALT831_RS04180,,ALT831_RS04180,MIT1002_00857,Protein Homology,941028,942206,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948379.1,ABC transporter substrate-binding protein,WP_049586185.1,,,,,,MIT1002_00857
ALT831_RS04185,,ALT831_RS04185,MIT1002_00858,Protein Homology,942543,943040,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978429.1,3'-5' exonuclease,WP_014948380.1,"GO:0003677,GO:0008408",,"DNA binding|0003677||IEA,3'-5' exonuclease activity|0008408||IEA",,,MIT1002_00858
ALT831_RS04190,,ALT831_RS04190,MIT1002_00859,Protein Homology,943113,943583,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975740.1,hypothetical protein,WP_014948381.1,,,,,,MIT1002_00859
metK,metK,ALT831_RS04195,MIT1002_00860,Protein Homology,943824,944969,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997423.1,methionine adenosyltransferase,WP_049586187.1,"GO:0006556,GO:0004478,GO:0005524",,"methionine adenosyltransferase activity|0004478||IEA,ATP binding|0005524||IEA",S-adenosylmethionine biosynthetic process|0006556||IEA,,MIT1002_00860
tkt,tkt,ALT831_RS04200,MIT1002_00861,Protein Homology,945397,947388,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517371.1,transketolase,WP_049586189.1,GO:0004802,,transketolase activity|0004802||IEA,,,MIT1002_00861
epd,epd,ALT831_RS04205,MIT1002_00862,Protein Homology,947407,948417,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517372.1,erythrose-4-phosphate dehydrogenase,WP_049586190.1,"GO:0042823,GO:0048001,GO:0051287",,"erythrose-4-phosphate dehydrogenase activity|0048001||IEA,NAD binding|0051287||IEA",pyridoxal phosphate biosynthetic process|0042823||IEA,,MIT1002_00862
ALT831_RS04210,,ALT831_RS04210,MIT1002_00863,Protein Homology,948534,949709,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011576064.1,phosphoglycerate kinase,WP_049586192.1,"GO:0006094,GO:0006096,GO:0000166,GO:0004618",,"nucleotide binding|0000166||IEA,phosphoglycerate kinase activity|0004618||IEA","gluconeogenesis|0006094||IEA,glycolytic process|0006096||IEA",,MIT1002_00863
ALT831_RS04215,,ALT831_RS04215,MIT1002_00864,Protein Homology,950011,950910,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517374.1,fructose bisphosphate aldolase,WP_049586194.1,"GO:0006096,GO:0004332",,fructose-bisphosphate aldolase activity|0004332||IEA,glycolytic process|0006096||IEA,,MIT1002_00864
ALT831_RS04220,,ALT831_RS04220,MIT1002_00865,Protein Homology,951133,951447,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975748.1,hypothetical protein,WP_230633693.1,,,,,,MIT1002_00865
ALT831_RS04225,,ALT831_RS04225,MIT1002_00866,Protein Homology,951643,952728,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975749.1,efflux RND transporter periplasmic adaptor subunit,WP_049586225.1,"GO:0055085,GO:0022857,GO:0042802,GO:0016020",membrane|0016020||IEA,"transmembrane transporter activity|0022857||IEA,identical protein binding|0042802||IEA",transmembrane transport|0055085||IEA,,MIT1002_00866
ALT831_RS04230,,ALT831_RS04230,MIT1002_00867,Protein Homology,952738,955923,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997433.1,efflux RND transporter permease subunit,WP_049586195.1,"GO:0042908,GO:0015562,GO:0022857,GO:0016020",membrane|0016020||IEA,"efflux transmembrane transporter activity|0015562||IEA,transmembrane transporter activity|0022857||IEA",xenobiotic transport|0042908||IEA,,MIT1002_00867
ALT831_RS04235,,ALT831_RS04235,MIT1002_00868,Protein Homology,955913,957391,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997434.1,TolC family protein,WP_049586197.1,"GO:0055085,GO:0015562",,efflux transmembrane transporter activity|0015562||IEA,transmembrane transport|0055085||IEA,,MIT1002_00868
ALT831_RS04240,,ALT831_RS04240,MIT1002_00869,Protein Homology,957498,957947,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948394.1,hypothetical protein,WP_049586200.1,,,,,,MIT1002_00869
ALT831_RS04245,,ALT831_RS04245,MIT1002_00870,Protein Homology,958182,960308,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948395.1,S9 family peptidase,WP_049586201.1,"GO:0006508,GO:0008236",,serine-type peptidase activity|0008236||IEA,proteolysis|0006508||IEA,,MIT1002_00870
ppx,ppx,ALT831_RS04250,MIT1002_00871,Protein Homology,960439,962001,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978440.1,exopolyphosphatase,WP_049586202.1,"GO:0006798,GO:0000287,GO:0004309",,"magnesium ion binding|0000287||IEA,exopolyphosphatase activity|0004309||IEA",polyphosphate catabolic process|0006798||IEA,,MIT1002_00871
ppk1,ppk1,ALT831_RS04255,MIT1002_00872,Protein Homology,962018,964090,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066305.1,polyphosphate kinase 1,WP_014948398.1,"GO:0006799,GO:0008976,GO:0009358",polyphosphate kinase complex|0009358||IEA,polyphosphate kinase activity|0008976||IEA,polyphosphate biosynthetic process|0006799||IEA,,MIT1002_00872
ALT831_RS04260,,ALT831_RS04260,MIT1002_00873,Protein Homology,964278,964784,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948399.1,glycine cleavage system protein R,WP_014975755.1,,,,,,MIT1002_00873
ALT831_RS04265,,ALT831_RS04265,MIT1002_00874,Protein Homology,964994,967171,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997440.1,ABC transporter permease subunit,WP_049586203.1,"GO:0055085,GO:0016020",membrane|0016020||IEA,,transmembrane transport|0055085||IEA,,MIT1002_00874
pstA,pstA,ALT831_RS04270,MIT1002_00875,Protein Homology,967164,968723,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975757.1,phosphate ABC transporter permease PstA,WP_049586204.1,"GO:0006817,GO:0015415,GO:0005886,GO:0055052","plasma membrane|0005886||IEA,ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA",ATPase-coupled phosphate ion transmembrane transporter activity|0015415||IEA,phosphate ion transport|0006817||IEA,,MIT1002_00875
pstB,pstB,ALT831_RS04275,MIT1002_00876,Protein Homology,968739,969545,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013785312.1,phosphate ABC transporter ATP-binding protein PstB,WP_049586205.1,"GO:0006817,GO:0005524,GO:0015415,GO:0009898,GO:0055052","cytoplasmic side of plasma membrane|0009898||IEA,ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA","ATP binding|0005524||IEA,ATPase-coupled phosphate ion transmembrane transporter activity|0015415||IEA",phosphate ion transport|0006817||IEA,,MIT1002_00876
phoU,phoU,ALT831_RS04280,MIT1002_00877,Protein Homology,969696,970412,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517383.1,phosphate signaling complex protein PhoU,WP_014948403.1,"GO:0006817,GO:0030643,GO:0045936",,,"phosphate ion transport|0006817||IEA,intracellular phosphate ion homeostasis|0030643||IEA,negative regulation of phosphate metabolic process|0045936||IEA",,MIT1002_00877
ALT831_RS04285,,ALT831_RS04285,MIT1002_00878,Protein Homology,970753,972024,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066310.1,inorganic phosphate transporter,WP_039224609.1,"GO:0006817,GO:0005315,GO:0016020",membrane|0016020||IEA,phosphate transmembrane transporter activity|0005315||IEA,phosphate ion transport|0006817||IEA,,MIT1002_00878
ALT831_RS04290,,ALT831_RS04290,MIT1002_00879,Protein Homology,972121,973098,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978445.1,universal stress protein,WP_014975760.1,,,,,,MIT1002_00879
ALT831_RS04295,,ALT831_RS04295,MIT1002_00881,Protein Homology,973433,974341,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948406.1,hydrogen peroxide-inducible genes activator,WP_014948406.1,,,,,,MIT1002_00881
ALT831_RS04300,,ALT831_RS04300,MIT1002_00882,Protein Homology,974599,975129,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975762.1,RNA polymerase sigma factor,WP_049586206.1,"GO:0006352,GO:0003677,GO:0016987",,"DNA binding|0003677||IEA,sigma factor activity|0016987||IEA",DNA-templated transcription initiation|0006352||IEA,,MIT1002_00882
ALT831_RS04305,,ALT831_RS04305,MIT1002_00883,Protein Homology,975129,975887,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978447.1,hypothetical protein,WP_049586208.1,,,,,,MIT1002_00883
ALT831_RS04310,,ALT831_RS04310,MIT1002_00884,Protein Homology,975905,976846,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975764.1,hypothetical protein,WP_014975764.1,,,,,,MIT1002_00884
ALT831_RS04315,,ALT831_RS04315,MIT1002_00885,Protein Homology,976947,977474,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975765.1,protein-tyrosine phosphatase family protein,WP_049586212.1,,,,,,MIT1002_00885
trhA,trhA,ALT831_RS04320,MIT1002_00886,Protein Homology,977521,978195,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975766.1,PAQR family membrane homeostasis protein TrhA,WP_080986383.1,GO:0019835,,,cytolysis|0019835||IEA,,MIT1002_00886
ALT831_RS04325,,ALT831_RS04325,MIT1002_00888,Protein Homology,978544,978987,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978451.1,MarR family winged helix-turn-helix transcriptional regulator,WP_049586214.1,"GO:0006355,GO:0003700",,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA,,MIT1002_00888
ALT831_RS04330,,ALT831_RS04330,MIT1002_00889,Protein Homology,979126,979554,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948414.1,organic hydroperoxide resistance protein,WP_049586215.1,,,,,,MIT1002_00889
ALT831_RS04335,,ALT831_RS04335,MIT1002_00890,Protein Homology,979775,981706,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948415.1,M1 family metallopeptidase,WP_049586216.1,"GO:0006508,GO:0004177,GO:0008237,GO:0008270",,"aminopeptidase activity|0004177||IEA,metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA",proteolysis|0006508||IEA,,MIT1002_00890
ALT831_RS04340,,ALT831_RS04340,MIT1002_00891,Protein Homology,982027,982563,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975770.1,redoxin domain-containing protein,WP_014975770.1,"GO:0016209,GO:0016491",,"antioxidant activity|0016209||IEA,oxidoreductase activity|0016491||IEA",,,MIT1002_00891
ALT831_RS04345,,ALT831_RS04345,MIT1002_00892,Protein Homology,982657,983682,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978185.1,IS110 family RNA-guided transposase,WP_049589221.1,GO:0004803,,transposase activity|0004803||IEA,,,MIT1002_00892
ALT831_RS04350,,ALT831_RS04350,MIT1002_00893,Protein Homology,984058,984660,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948417.1,YigZ family protein,WP_049589027.1,,,,,,MIT1002_00893
ALT831_RS04355,,ALT831_RS04355,MIT1002_00894,Protein Homology,984983,985306,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975772.1,DUF3718 domain-containing protein,WP_049589028.1,,,,,,MIT1002_00894
ALT831_RS20895,,ALT831_RS20895,MIT1002_00895,Protein Homology,985432,986730,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975773.1,methyl-accepting chemotaxis protein,WP_049589029.1,"GO:0007165,GO:0016020",membrane|0016020||IEA,,signal transduction|0007165||IEA,,MIT1002_00895
ALT831_RS04365,,ALT831_RS04365,MIT1002_00896,Protein Homology,986940,988232,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517394.1,TMEM143 family protein,WP_049589030.1,,,,,,MIT1002_00896
sbcD,sbcD,ALT831_RS04370,MIT1002_00897,Protein Homology,988495,990045,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975779.1,exonuclease subunit SbcD,WP_049589039.1,"GO:0006260,GO:0006310,GO:0004527",,exonuclease activity|0004527||IEA,"DNA replication|0006260||IEA,DNA recombination|0006310||IEA",,MIT1002_00897
ALT831_RS04375,,ALT831_RS04375,MIT1002_00898,Protein Homology,990050,993787,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978462.1,AAA family ATPase,WP_049589031.1,"GO:0006302,GO:0016887",,ATP hydrolysis activity|0016887||IEA,double-strand break repair|0006302||IEA,,MIT1002_00898
ALT831_RS04380,,ALT831_RS04380,MIT1002_00899,Protein Homology,993912,995333,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997463.1,S41 family peptidase,WP_049589032.1,"GO:0006508,GO:0008236",,serine-type peptidase activity|0008236||IEA,proteolysis|0006508||IEA,,MIT1002_00899
sstT,sstT,ALT831_RS04385,MIT1002_00900,Protein Homology,995448,996668,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948432.1,serine/threonine transporter SstT,WP_014948432.1,"GO:0015826,GO:0032329,GO:0015293,GO:0016020",membrane|0016020||IEA,symporter activity|0015293||IEA,"threonine transport|0015826||IEA,serine transport|0032329||IEA",,MIT1002_00900
hutG,hutG,ALT831_RS04390,MIT1002_00901,Protein Homology,996703,997671,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997465.1,formimidoylglutamase,WP_049589033.1,"GO:0019556,GO:0050415",,formimidoylglutamase activity|0050415||IEA,L-histidine catabolic process to glutamate and formamide|0019556||IEA,,MIT1002_00901
hutI,hutI,ALT831_RS04395,MIT1002_00902,Protein Homology,997664,998923,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066325.1,imidazolonepropionase,WP_049589040.1,"GO:0019556,GO:0016812,GO:0050480,GO:0005737",cytoplasm|0005737||IEA,"hydrolase activity%2C acting on carbon-nitrogen (but not peptide) bonds%2C in cyclic amides|0016812||IEA,imidazolonepropionase activity|0050480||IEA",L-histidine catabolic process to glutamate and formamide|0019556||IEA,,MIT1002_00902
ALT831_RS04400,,ALT831_RS04400,MIT1002_00903,Protein Homology,999116,999940,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948435.1,UTRA domain-containing protein,WP_049589034.1,"GO:0006355,GO:0003677",,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA,,MIT1002_00903
hutU,hutU,ALT831_RS04405,MIT1002_00904,Protein Homology,1000046,1001785,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997468.1,urocanate hydratase,WP_049589035.1,"GO:0006548,GO:0016153",,urocanate hydratase activity|0016153||IEA,L-histidine catabolic process|0006548||IEA,,MIT1002_00904
hutH,hutH,ALT831_RS04410,MIT1002_00905,Protein Homology,1001788,1003371,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978469.1,histidine ammonia-lyase,WP_049589036.1,"GO:0006548,GO:0004397,GO:0005737",cytoplasm|0005737||IEA,histidine ammonia-lyase activity|0004397||IEA,L-histidine catabolic process|0006548||IEA,,MIT1002_00905
ALT831_RS04415,,ALT831_RS04415,MIT1002_00906,Protein Homology,1003503,1003997,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517403.1,CreA family protein,WP_230962271.1,,,,,,MIT1002_00906
ALT831_RS04420,,ALT831_RS04420,MIT1002_00907,Protein Homology,1004109,1004873,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978471.1,MipA/OmpV family protein,WP_049589038.1,"GO:0009252,GO:0030674,GO:0009279",cell outer membrane|0009279||IEA,protein-macromolecule adaptor activity|0030674||IEA,peptidoglycan biosynthetic process|0009252||IEA,,MIT1002_00907
