Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light + 100 nM 1,Light + 100 nM 2,Light + 100 nM 3,Light + 5mM 1,Light + 5mM 2,Light + 5mM 3,Darkness 1,Darkness 2,Darkness 3,Dark + 100 nM 1,Dark + 100 nM 2,Dark + 100 nM 3,Dark + 5mM 1,Dark + 5mM 2,Dark + 5mM 3,Light1,Light2,Light3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Description.1,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D,resolved_locus_tag,resolution_method
E4PFQ8,2,2,6.67051506,Malonyl CoA-acyl carrier protein transacylase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2214 PE=3 SV=1,18992.98844,21563.45484,10685.24979,8939.783713,80468.11548,8322.531494,32696.74632,184358.8059,34019.29457,22459.52772,4509.502171,2711.979858,7248.701704,4024.139027,12357.98401,14113.26343,757.6221279,18420.20503,0.00029,0.00019,0.00018,4.9e-05,0.0003,4.7e-05,0.00018,0.00077,9.7e-05,0.00035,3.1e-05,4.4e-05,5.9e-05,1.9e-05,5e-05,0.00013,6.2e-06,6.9e-05,Malonyl CoA-acyl carrier protein transacylase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2214 PE=3 SV=1,0.00021919,0.0001318,0.00034798,0.00014058,4.29e-05,6.7e-05,0.6,1.59,0.31,0.48,0.24,0.312,0.206,0.216,-0.7369655941662062,0.6690267655096307,-1.6896598793878497,-1.0588936890535685,HP15_2214,locus_tag:Description
E4PKC3,3,3,17.09061134,"Extracellular solute-binding protein, family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1456 PE=4 SV=1",596735.2853,1315399.144,616741.8648,743792.9691,4139441.239,627331.3097,249135.005,11069473.6,346510.1711,692984.6397,1105818.421,155385.5148,384766.1641,558441.607,3199493.182,104466.1533,431451.5246,638706.2126,0.00903,0.01177,0.01022,0.0041,0.01537,0.00356,0.00134,0.04629,0.00099,0.0107,0.00766,0.0025,0.00314,0.0027,0.01297,0.00093,0.00352,0.00239,"Extracellular solute-binding protein, family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1456 PE=4 SV=1",0.01034157,0.0076777,0.01620725,0.00695474,0.00626936,0.00228296,0.74,1.57,0.9,0.33,0.245,0.361,0.457,0.119,-0.4344028241457749,0.6507645591169023,-0.1520030934450499,-1.5994620704162712,HP15_1456,locus_tag:Description
E4PH82,4,4,14.0371058,Secreted protein containing DUF1329 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2421 PE=4 SV=1,421163.5052,116969.3284,61652.92391,659671.4308,1351262.945,5416633.261,1394097.303,1011472.202,474634.9093,1127487.542,176503.5858,396569.783,553586.0076,5479938.376,687912.3879,361329.6099,254911.4322,496357.6882,0.00638,0.00105,0.00102,0.00364,0.00502,0.0307,0.00748,0.00423,0.00136,0.01742,0.00122,0.00637,0.00452,0.02646,0.00279,0.00322,0.00208,0.00186,Secreted protein containing DUF1329 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2421 PE=4 SV=1,0.00281494,0.0131204,0.00435761,0.00833638,0.01125652,0.00238639,4.66,1.55,1.35,0.29,0.203,0.106,0.411,0.155,2.2203299548795554,0.632268215499513,0.4329594072761062,-1.7858751946471527,HP15_2421,locus_tag:Description
E4PQG7,2,2,5.371153831,"Two component transcriptional regulator, winged helix family OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_746 PE=4 SV=1",16169.40407,14391.14689,18534.01956,39635.00997,34917.06159,1277.080398,8697.695607,144157.6704,120621.9066,39499.81265,254490.1468,5690.596707,23745.68748,49473.43279,48799.57738,141001.3331,19400.20024,51696.57221,0.00024,0.00013,0.00031,0.00022,0.00013,7.2e-06,4.7e-05,0.0006,0.00035,0.00061,0.00176,9.1e-05,0.00019,0.00024,0.0002,0.00125,0.00016,0.00019,"Two component transcriptional regulator, winged helix family OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_746 PE=4 SV=1",0.00022692,0.0001185,0.00033167,0.00082178,0.00021019,0.00053574,0.52,1.46,0.26,0.65,0.188,0.324,0.166,0.357,-0.9434164716336324,0.5459683691052925,-1.9434164716336324,-0.6214883767462701,HP15_746,locus_tag:Description
E4PHD6,3,3,8.865444422,Ferrichrome outer membrane transporter OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3673 PE=3 SV=1,82804.05395,66475.01113,42017.82879,7021.115626,240195.7679,5306.487104,356826.6366,396883.2699,28597.19943,14171.33514,67974.77313,4295.049069,37232.60922,9261.056136,57589.43664,137336.1275,17140.26795,37572.02809,0.00125,0.00059,0.0007,3.9e-05,0.00089,3e-05,0.00192,0.00166,8.2e-05,0.00022,0.00047,6.9e-05,0.0003,4.5e-05,0.00023,0.00122,0.00014,0.00014,Ferrichrome outer membrane transporter OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3673 PE=3 SV=1,0.00084827,0.0003203,0.00121903,0.000253,0.00019404,0.00050106,0.38,1.44,0.77,1.98,0.177,0.27,0.39,0.297,-1.3959286763311392,0.5260688116675876,-0.3770696490798233,0.9855004303048848,HP15_3673,locus_tag:Description
E4PEY7,3,3,13.71274662,Extracellular ligand-binding receptor OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_928 PE=4 SV=1,48359.30511,222218.8594,138520.929,511406.0447,1466724.563,103220.1501,52177.14114,1123499.719,709579.0356,114783.5286,321830.5393,51902.73053,187893.0311,445545.5953,550114.9383,51805.87854,32432.72148,564542.2151,0.00073,0.00199,0.0023,0.00282,0.00545,0.00059,0.00028,0.0047,0.00203,0.00177,0.00223,0.00083,0.00153,0.00215,0.00223,0.00046,0.00026,0.00212,Extracellular ligand-binding receptor OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_928 PE=4 SV=1,0.00167204,0.0029513,0.00233694,0.00161241,0.0019718,0.00094761,1.77,1.4,1.22,0.59,0.248,0.291,0.281,0.286,0.8237493603082727,0.4854268271702416,0.2868811477881615,-0.7612131404128835,HP15_928,locus_tag:Description
E4PF97,2,2,5.635339975,Succinic semialdehyde dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3404 PE=3 SV=1,11667.84084,4381.247996,48688.6992,3922.597139,82924.75918,24418.03915,45512.5204,274325.439,7745.462985,5936.664827,22347.41463,14636.11195,5877.252966,24078.52416,49143.09854,28436.85663,55358.16154,39118.97477,0.00018,3.9e-05,0.00081,2.2e-05,0.00031,0.00014,0.00024,0.00115,2.2e-05,9.2e-05,0.00015,0.00024,4.8e-05,0.00012,0.0002,0.00025,0.00045,0.00015,Succinic semialdehyde dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3404 PE=3 SV=1,0.00034096,0.000156,0.00047124,0.00016056,0.00012116,0.00028398,0.46,1.38,0.75,1.77,0.283,0.417,0.002,0.194,-1.1202942337177118,0.4646682670034442,-0.4150374992788438,0.8237493603082727,HP15_3404,locus_tag:Description
E4PF63,2,2,5.43145895,Glucose-6-phosphate 1-dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=zwf PE=3 SV=1,50081.98278,88174.55823,42981.78482,29785.46858,594882.5316,31764.09733,69146.03708,546267.6082,91881.4443,44977.60184,137491.3141,9550.981067,26956.89452,42609.92155,192906.0237,90026.44008,21514.38546,118409.5777,0.00076,0.00079,0.00071,0.00016,0.00221,0.00018,0.00037,0.00228,0.00026,0.00069,0.00095,0.00015,0.00022,0.00021,0.00078,0.0008,0.00018,0.00044,Glucose-6-phosphate 1-dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=zwf PE=3 SV=1,0.00075316,0.0008512,0.00097293,0.00060036,0.00040261,0.00047365,1.13,1.29,0.67,0.79,0.448,0.382,0.342,0.369,0.1763227726404628,0.3673710656485294,-0.5777669993169522,-0.3400754415976217,HP15_2179,tier1:Description
E4PHT9,2,2,7.59559679,Sulfate adenylyltransferase subunit 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=cysN PE=3 SV=1,29908.607,12158.80262,46918.74732,30555.97224,266173.3437,92617.65362,201833.9182,43923.13859,159520.3369,29126.9106,41552.76357,51367.66187,24971.42214,81398.46873,31487.11975,77000.86347,129248.0538,94458.99187,0.00045,0.00011,0.00078,0.00017,0.00099,0.00052,0.00108,0.00018,0.00046,0.00045,0.00029,0.00083,0.0002,0.00039,0.00013,0.00069,0.00106,0.00035,Sulfate adenylyltransferase subunit 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=cysN PE=3 SV=1,0.00044643,0.0005607,0.00057467,0.00052101,0.00024152,0.00069841,1.26,1.29,0.46,1.34,0.397,0.344,0.176,0.335,0.3334237337251918,0.3673710656485294,-1.1202942337177118,0.4222330006830478,HP15_2463,tier1:Description
E4PQI2,2,2,5.373226881,50S ribosomal protein L19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplS PE=3 SV=1,46750.35335,43091.23574,15560.05457,47769.40071,236741.3963,76352.67731,140429.7101,200459.5748,46546.04333,10665.66193,19974.08875,47858.44771,126148.6037,64040.16338,69264.18538,136733.8927,93248.26533,129477.6048,0.00071,0.00039,0.00026,0.00026,0.00088,0.00043,0.00075,0.00084,0.00013,0.00016,0.00014,0.00077,0.00103,0.00031,0.00028,0.00122,0.00076,0.00049,50S ribosomal protein L19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplS PE=3 SV=1,0.0004504,0.0005252,0.00057515,0.00035732,0.00053993,0.00082137,1.17,1.28,1.51,2.3,0.406,0.271,0.343,0.18,0.2265085298086797,0.3561438102252753,0.5945485495503542,1.2016338611696504,HP15_761,tier1:Description
E4PLX4,9,9,38.43534732,Elongation factor Tu OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=tuf PE=3 SV=1,2703103.265,8165432.375,2167847.713,15790752.41,15795553.2,8659360.415,5291368.583,12990008.22,35965139.55,2633749.838,4389025.733,1388036.677,6360922.159,16588150.83,31557276.86,2617897.644,9373911.915,20487570.94,0.04093,0.07305,0.03593,0.08713,0.05866,0.04908,0.0284,0.05432,0.10301,0.04068,0.03042,0.0223,0.05193,0.0801,0.12793,0.0233,0.07657,0.07682,Elongation factor Tu OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=tuf PE=3 SV=1,0.04996825,0.0649578,0.06191182,0.03113253,0.08665265,0.05889642,1.3,1.24,2.78,1.89,0.241,0.354,0.09,0.173,0.3785116232537298,0.3103401206121505,1.4750848829487826,0.918386234446348,HP15_366,tier1:Description
E4PPA8,4,4,11.43908668,Aspartate-semialdehyde dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=asd PE=3 SV=1,165389.9118,138353.7347,135201.326,182302.6009,2021401.436,59559.48209,508745.4526,782242.5245,123082.8361,531025.5488,179140.6906,89232.37775,504998.924,84521.92268,310372.6977,441132.561,375093.8068,152618.5649,0.0025,0.00124,0.00224,0.00101,0.00751,0.00034,0.00273,0.00327,0.00035,0.0082,0.00124,0.00143,0.00412,0.00041,0.00126,0.00393,0.00306,0.00057,Aspartate-semialdehyde dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=asd PE=3 SV=1,0.00199424,0.0029502,0.00211826,0.00362579,0.00192959,0.00252073,1.48,1.06,0.53,0.7,0.377,0.461,0.148,0.298,0.5655971758542251,0.0840642647884745,-0.9159357352115256,-0.5145731728297583,HP15_1831,tier1:Description
E4PF80,6,6,21.66069865,"Glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2196 PE=4 SV=1",666740.0108,2990699.663,537410.3166,1142063.164,10755682.63,464582.4671,1715652.752,8286052.008,877106.1455,620737.6451,4985189.169,431151.8284,883185.2988,408759.3039,1982412.643,934718.4871,872035.6433,1109150.823,0.01009,0.02675,0.00891,0.0063,0.03994,0.00263,0.00921,0.03465,0.00251,0.00959,0.03455,0.00693,0.00721,0.00197,0.00804,0.00832,0.00712,0.00416,"Glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2196 PE=4 SV=1",0.0152522,0.0162932,0.01545786,0.01702161,0.00573999,0.00653363,1.07,1.01,0.34,0.38,0.44,0.483,0.201,0.171,0.0976107966264223,0.01435529297707,-1.5563933485243853,-1.3959286763311392,HP15_2196,locus_tag:Description
E4PMR4,5,5,17.30283475,Glutamine synthetase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_428 PE=3 SV=1,508871.4299,791522.2527,690898.3097,4495171.86,2505200.81,4225826.858,2606209.775,1082560.691,2782017.106,579813.0529,1222948.932,558718.0217,1364967.059,5079766.469,6387878.392,1267905.107,1412598.202,1746457.303,0.0077,0.00708,0.01145,0.0248,0.0093,0.02395,0.01399,0.00453,0.00797,0.00896,0.00848,0.00897,0.01114,0.02453,0.0259,0.01128,0.01154,0.00655,Glutamine synthetase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_428 PE=3 SV=1,0.00874569,0.0193533,0.00882844,0.00880228,0.02052263,0.00979046,2.21,1.01,2.33,1.11,0.069,0.491,0.067,0.312,1.144046369616707,0.01435529297707,1.2203299548795556,0.1505596765753813,HP15_428,locus_tag:Description
E4PQB5,3,3,11.13663745,Inorganic pyrophosphatase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppa PE=3 SV=1,107060.7429,108739.7729,74451.18377,27181.47889,417736.873,25732.66072,55832.6057,741706.3974,153821.7659,20049.05762,24787.08151,206133.9847,25397.48009,30682.90681,179727.5867,56894.75575,38016.1712,88832.85029,0.00162,0.00097,0.00123,0.00015,0.00155,0.00015,0.0003,0.0031,0.00044,0.00031,0.00017,0.00331,0.00021,0.00015,0.00073,0.00051,0.00031,0.00033,Inorganic pyrophosphatase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppa PE=3 SV=1,0.00127591,0.0006157,0.00128068,0.00126424,0.00036136,0.00038333,0.48,1.0,0.29,0.3,0.202,0.498,0.197,0.245,-1.0588936890535685,0.0,-1.7858751946471527,-1.7369655941662063,HP15_3216,tier1:Description
E4PNY0,2,2,7.701312542,Pyruvate dehydrogenase E1 component OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3046 PE=4 SV=1,193486.1408,209806.8902,203139.408,289954.4157,782523.1078,239940.9696,283902.8328,1086050.292,469016.568,147458.5119,220363.6072,345669.4035,264024.1807,195801.6106,432126.4187,306124.5732,570362.8493,289387.7875,0.00293,0.00188,0.00337,0.0016,0.00291,0.00136,0.00152,0.00454,0.00134,0.00228,0.00153,0.00555,0.00216,0.00095,0.00175,0.00272,0.00466,0.00109,Pyruvate dehydrogenase E1 component OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3046 PE=4 SV=1,0.00272447,0.0019554,0.0024697,0.00311921,0.00161753,0.00282283,0.72,0.91,0.52,0.9,0.246,0.439,0.162,0.453,-0.4739311883324124,-0.1360615495760283,-0.9434164716336324,-0.1520030934450499,HP15_3046,locus_tag:Description
E4PG91,2,2,5.893087387,"TRAP transporter solute receptor, TAXI family protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1069 PE=4 SV=1",139792.1102,254753.17,406625.2704,203615.5284,1728235.826,748640.6168,570624.8238,1402832.167,397992.4087,204917.7737,577425.2672,88220.55572,468877.3915,397525.3858,812932.9738,491683.453,571487.9068,516010.9501,0.00212,0.00228,0.00674,0.00112,0.00642,0.00424,0.00306,0.00587,0.00114,0.00317,0.004,0.00142,0.00383,0.00192,0.0033,0.00438,0.00467,0.00193,"TRAP transporter solute receptor, TAXI family protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1069 PE=4 SV=1",0.0037118,0.0039285,0.00335653,0.00286144,0.00301423,0.00365963,1.06,0.9,1.05,1.28,0.462,0.454,0.454,0.032,0.0840642647884745,-0.1520030934450499,0.070389327891398,0.3561438102252753,HP15_1069,locus_tag:Description
E4PI65,4,4,13.95491385,L-ectoine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ectC PE=3 SV=1,142650.9333,883482.714,236312.3989,157521.5435,1873681.904,70418.76598,287819.3677,2059030.358,777892.79,376004.9911,882133.8029,113406.2478,79651.881,74031.85848,704867.3449,216008.2202,56364.74891,336562.8202,0.00216,0.0079,0.00392,0.00087,0.00696,0.0004,0.00155,0.00861,0.00223,0.00581,0.00611,0.00182,0.00065,0.00036,0.00286,0.00192,0.00046,0.00126,L-ectoine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ectC PE=3 SV=1,0.00466006,0.0027423,0.00412791,0.00458114,0.00128839,0.00121495,0.59,0.89,0.28,0.27,0.07,0.261,0.134,0.076,-0.7612131404128835,-0.1681227588083269,-1.8365012677171204,-1.888968687611256,HP15_3787,tier1:Description
E4PLY1,5,5,16.18615246,DNA-directed RNA polymerase subunit beta OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpoB PE=3 SV=1,1872275.769,1755276.329,1348299.555,1745407.829,875874.933,2469031.211,1702335.243,861231.8931,15231200.37,1660975.137,1745898.47,781396.4059,1486896.637,2761735.311,10311694.21,1027623.371,1085874.66,10135208.48,0.02835,0.0157,0.02235,0.00963,0.00325,0.014,0.00914,0.0036,0.04362,0.02566,0.0121,0.01255,0.01214,0.01334,0.0418,0.00915,0.00887,0.038,DNA-directed RNA polymerase subunit beta OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpoB PE=3 SV=1,0.02213249,0.0089595,0.01878783,0.01676942,0.02242556,0.01867302,0.4,0.85,1.34,1.11,0.024,0.407,0.348,0.446,-1.3219280948873622,-0.2344652536370229,0.4222330006830478,0.1505596765753813,HP15_373,tier1:Description
E4PIM0,3,3,8.566770792,Pyruvate carboxylase subunit B OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pycB PE=4 SV=1,119266.5661,229560.0368,175909.7104,122944.235,424216.9935,304981.9029,456423.4301,398162.2183,436465.0846,133538.5577,257229.874,161897.6371,96257.91127,403228.8673,728312.5998,111344.0039,144712.6821,284290.0631,0.00181,0.00205,0.00292,0.00068,0.00158,0.00173,0.00245,0.00167,0.00125,0.00206,0.00178,0.0026,0.00079,0.00195,0.00295,0.00099,0.00118,0.00107,Pyruvate carboxylase subunit B OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pycB PE=4 SV=1,0.00225836,0.0013275,0.00178842,0.0021487,0.00189514,0.00107967,0.59,0.79,0.88,0.5,0.027,0.277,0.335,0.029,-0.7612131404128835,-0.3400754415976217,-0.1844245711374274,-1.0,HP15_1331,tier1:Description
E4PF66,4,4,26.38353181,Histone-like bacterial DNA-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2182 PE=3 SV=1,606254.0888,900140.0717,818654.1355,1528808.251,4891404.067,2068965.718,1039559.524,2499438.534,2785877.733,509403.944,1290399.913,401549.1045,705755.2426,1934291.043,5498518.448,316125.0896,497808.438,2506061.5,0.00918,0.00805,0.01357,0.00844,0.01817,0.01173,0.00558,0.01045,0.00798,0.00787,0.00894,0.00645,0.00576,0.00934,0.02229,0.00281,0.00407,0.0094,Histone-like bacterial DNA-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2182 PE=3 SV=1,0.01026691,0.0127763,0.00800397,0.00775403,0.01246407,0.00542553,1.24,0.78,1.61,0.7,0.289,0.223,0.245,0.235,0.3103401206121505,-0.3584539709124763,0.6870606883398924,-0.5145731728297583,HP15_2182,locus_tag:Description
E4PF75,2,2,4.130199552,Peptidyl-prolyl cis-trans isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppiB PE=3 SV=1,6562.685233,5647.923985,9852.353344,20978.87953,125916.1029,87392.7231,10395.42129,28378.75698,17660.04867,11433.54836,31058.63151,29781.35653,20171.28752,37754.86154,37766.06486,3092.419372,20084.10506,12996.60157,9.9e-05,5.1e-05,0.00016,0.00012,0.00047,0.0005,5.6e-05,0.00012,5.1e-05,0.00018,0.00022,0.00048,0.00016,0.00018,0.00015,2.8e-05,0.00016,4.9e-05,Peptidyl-prolyl cis-trans isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppiB PE=3 SV=1,0.0001044,0.0003596,7.5e-05,0.00029009,0.00016669,8.01e-05,3.44,0.72,0.57,0.28,0.086,0.317,0.173,0.103,1.782408564927373,-0.4739311883324124,-0.8109661756099832,-1.8365012677171204,HP15_2190,tier1:Description
E4PPH4,8,8,28.22736299,Chaperone protein DnaK OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dnaK PE=2 SV=1,424785.6788,1112945.621,613960.8504,342397.058,2071694.267,269191.9696,516109.6001,3417936.319,656354.1727,258610.3152,1658311.354,369680.7868,290557.8675,705484.0958,998343.217,385966.4351,212328.3952,570230.6174,0.00643,0.00996,0.01018,0.00189,0.00769,0.00153,0.00277,0.01429,0.00188,0.00399,0.01149,0.00594,0.00237,0.00341,0.00405,0.00344,0.00173,0.00214,Chaperone protein DnaK OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dnaK PE=2 SV=1,0.00885471,0.003703,0.00631466,0.00714207,0.00327525,0.00243587,0.42,0.71,0.46,0.34,0.055,0.281,0.104,0.111,-1.2515387669959646,-0.4941090702700427,-1.1202942337177118,-1.5563933485243853,HP15_3081,tier1:Description
E4PPA9,5,5,16.85615444,3-isopropylmalate dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuB PE=3 SV=1,423266.0314,784238.5123,303642.3118,297657.1914,2768585.901,511052.4931,418872.4853,2307236.54,425055.4013,275579.1399,626574.9848,737109.7013,182798.604,606183.2387,391838.1294,247991.219,295025.6834,275496.0245,0.00641,0.00702,0.00503,0.00164,0.01028,0.0029,0.00225,0.00965,0.00122,0.00426,0.00434,0.01184,0.00149,0.00293,0.00159,0.00221,0.00241,0.00103,3-isopropylmalate dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuB PE=3 SV=1,0.00615232,0.0049404,0.00437155,0.00681328,0.00200262,0.00188332,0.8,0.71,0.29,0.28,0.33,0.252,0.111,0.118,-0.3219280948873623,-0.4941090702700427,-1.7858751946471527,-1.8365012677171204,HP15_817,tier1:Description
E4PNH9,4,4,16.86194873,Ketol-acid reductoisomerase (NADP(+)) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ilvC PE=3 SV=1,418329.0625,889630.5084,147502.7799,302417.4566,1390003.07,458639.7412,376336.3277,2084257.922,273681.2122,277459.6232,973070.6161,267944.9147,263762.3943,539635.9827,727690.465,175633.2843,294466.9608,507269.7832,0.00633,0.00796,0.00244,0.00167,0.00516,0.0026,0.00202,0.00872,0.00078,0.00429,0.00674,0.0043,0.00215,0.00261,0.00295,0.00156,0.00241,0.0019,Ketol-acid reductoisomerase (NADP(+)) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ilvC PE=3 SV=1,0.00557899,0.0031435,0.00384009,0.00511131,0.00256965,0.00195683,0.56,0.69,0.5,0.38,0.112,0.178,0.046,0.017,-0.8365012677171204,-0.5353317329965558,-1.0,-1.3959286763311392,HP15_533,tier1:Description
E4PNT6,2,2,6.381928205,TonB-dependent receptor OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3002 PE=3 SV=1,33958.42147,68212.88949,2697.875305,2692.159196,151710.9963,9185.865426,84372.39226,69340.29691,13917.08928,7280.651245,69830.25855,7209.988886,18571.41057,2983.391408,13546.67249,28756.66442,4303.06465,39059.75788,0.00051,0.00061,4.5e-05,1.5e-05,0.00056,5.2e-05,0.00045,0.00029,4e-05,0.00011,0.00048,0.00012,0.00015,1.4e-05,5.5e-05,0.00026,3.5e-05,0.00015,TonB-dependent receptor OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3002 PE=3 SV=1,0.00038969,0.0002101,0.00026092,0.00023742,7.36e-05,0.00014585,0.54,0.67,0.31,0.61,0.19,0.158,0.201,0.332,-0.888968687611256,-0.5777669993169522,-1.6896598793878497,-0.7131188522118385,HP15_3002,locus_tag:Description
E4PN90,3,3,19.58752203,"Porin, LamB type OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2959 PE=3 SV=1",850523.5736,508243.1761,938859.1305,595219.7177,4546583.558,552988.7603,401343.7962,4449196.436,344948.8906,569661.2944,256067.226,830419.993,586447.0588,627848.7148,3937798.091,889865.1983,546775.4706,689628.1537,0.01288,0.00455,0.01556,0.00328,0.01689,0.00313,0.00215,0.01861,0.00099,0.0088,0.00177,0.01334,0.00479,0.00303,0.01596,0.00792,0.00447,0.00259,"Porin, LamB type OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2959 PE=3 SV=1",0.0109952,0.007768,0.00724956,0.00797112,0.00792754,0.00499061,0.71,0.66,0.99,0.63,0.36,0.358,0.492,0.268,-0.4941090702700427,-0.5994620704162712,-0.014499569695115,-0.6665762662748083,HP15_2959,locus_tag:Description
E4PNW5,2,2,7.436836004,"Extracellular solute-binding protein, family 3 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3031 PE=3 SV=1",109119.7233,33026.08888,93893.33391,63884.53332,657302.3489,681266.9434,236635.7406,85224.23613,191885.7017,32662.18288,490201.3438,315216.4409,77527.33472,464700.2751,143552.5582,41804.69277,208104.8385,80608.51401,0.00165,0.0003,0.00156,0.00035,0.00244,0.00386,0.00127,0.00036,0.00055,0.0005,0.0034,0.00506,0.00063,0.00224,0.00058,0.00037,0.0017,0.0003,"Extracellular solute-binding protein, family 3 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3031 PE=3 SV=1",0.00116795,0.0022184,0.00072541,0.00298848,0.00115293,0.00079139,1.9,0.62,0.39,0.26,0.233,0.145,0.157,0.124,0.925999418556223,-0.6896598793878495,-1.3584539709124763,-1.9434164716336324,HP15_3031,locus_tag:Description
