Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1,Light 3,Light 5,Light Glu nM 1,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 3,Darkness 5,Darkness Glu nM 1,Darkness Glu nM 3,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Marinobacter_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,FC G nM/L,FC GmM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O
E4PP01,3,3,12.4488,Translation initiation factor IF-2 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=infB PE=3 SV=1,58716.1,29606,129077,42367.3,57225.7,198127,443997,45112.4,152969,2013645,323793,662873,1463189,16538.3,61120.5,14193.2,36008.2,14975.2,270909,35865.6,127254,36563,96706.2,47992.5,358273,204713,259263,7.20E-05,7.70E-05,3.60E-05,0.0002,4.30E-05,4.00E-05,0.00149,0.00021,0.00062,1.80E-05,3.00E-05,2.70E-05,4.20E-05,4.40E-05,3.70E-05,0.00034,0.00033,0.00042,Translation initiation factor IF-2 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=infB PE=3 SV=1,6.20E-05,9.30E-05,0.00077,2.50E-05,4.10E-05,0.00036,1.51,12.51,1.62,14.37,0.29,0.07,0.01,0
E4PL80,9,9,32.6237,Succinate--CoA ligase [ADP-forming] subunit beta OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=sucC PE=3 SV=1,465421,733776,433120,316934,538870,851340,2512375,399047,929067,8927833,4065191,8622727,1.10E+07,208248,696904,179810,416040,293400,636788,286173,1687524,392132,744226,474639,7573455,3419319,2388358,0.00057,0.00026,0.00034,0.00084,0.00038,0.00025,0.00661,0.00268,0.00472,0.00023,0.00038,0.00053,0.00034,0.00047,0.00037,0.00729,0.00546,0.00385,Succinate--CoA ligase [ADP-forming] subunit beta OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=sucC PE=3 SV=1,0.00039,0.00049,0.00467,0.00038,0.00039,0.00553,1.25,11.98,1.02,14.47,0.33,0.01,0.47,0
E4PLZ1,2,2,13.3408,50S ribosomal protein L2 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplB PE=3 SV=1,271717,781141,1112662,278769,1603526,490763,2455499,566416,1219686,4348280,1.20E+07,5.70E+07,7732859,247668,2289811,123478,376616,486400,487765,561932,319349,385534,903486,599763,5342084,1116913,1266606,0.00033,0.00066,0.00101,0.00049,0.00053,0.00032,0.00322,0.01754,0.00327,0.00028,0.00026,0.00088,0.00066,0.00046,0.00046,0.00514,0.00178,0.00204,50S ribosomal protein L2 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplB PE=3 SV=1,0.00067,0.00045,0.00801,0.00047,0.00053,0.00299,0.67,11.96,1.12,6.31,0.17,0.1,0.4,0.04
E4PH84,7,7,35.3876,Acyl-CoA thiolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2423 PE=3 SV=1,69842,116219,13128.7,31445.7,195846,71849.8,276906,48691.2,290855,1603820,333313,614790,2797608,13360.9,105403,10222.6,108495,31128.3,133735,27941.5,175799,34274.4,158121,42241.8,138666,519847,659720,8.60E-05,7.80E-06,0.00012,7.10E-05,4.60E-05,7.70E-05,0.00119,0.00019,0.00118,1.50E-05,2.20E-05,5.60E-05,3.30E-05,4.10E-05,3.30E-05,0.00013,0.00083,0.00106,Acyl-CoA thiolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2423 PE=3 SV=1,7.20E-05,6.50E-05,0.00085,3.10E-05,3.60E-05,0.00068,0.89,11.78,1.15,21.77,0.42,0.04,0.37,0.04
E4PK67,8,8,36.5653,Transcription termination factor Rho OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rho PE=3 SV=1,162983,310553,184744,121533,100030,295620,623054,231161,517518,2814907,451600,1923050,2923771,52229.6,225082,98760.6,271725,85046.7,223220,115310,276669,58011.2,121211,218428,808474,587556,177792,0.0002,0.00011,6.30E-05,0.00029,0.00022,0.00014,0.00208,0.0006,0.00124,5.80E-05,0.00021,0.00015,0.00014,6.90E-05,0.00017,0.00078,0.00094,0.00029,Transcription termination factor Rho OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rho PE=3 SV=1,0.00012,0.00022,0.00131,0.00014,0.00012,0.00067,1.74,10.49,0.88,4.73,0.1,0.03,0.39,0.03
E4PN86,4,4,18.455,ATP-binding component of ABC transporter OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2955 PE=4 SV=1,339987,223082,438443,86645.4,171177,870516,1687136,312394,407329,9149227,1101127,1905567,1833046,66720.7,347855,68704.9,96966.6,91350.4,528218,480288,178814,109755,76775.7,389955,895440,425927,1036532,0.00042,0.00026,0.00011,0.00086,0.00029,0.00011,0.00677,0.00059,0.00077,7.40E-05,0.00015,0.00017,0.00057,0.00013,0.0003,0.00086,0.00068,0.00167,ATP-binding component of ABC transporter OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2955 PE=4 SV=1,0.00026,0.00042,0.00271,0.00013,0.00033,0.00107,1.61,10.35,2.59,8.32,0.27,0.15,0.1,0.02
E4PGE5,3,3,16.7446,Purine-binding chemotaxis protein CheW OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2292 PE=4 SV=1,186205,430973,744285,296332,257873,159231,374285,48160.9,110705,5012536,2430666,5348928,7705473,114154,157091,39534.3,58277.4,76612.2,1073217,66231.8,179264,26637.4,224703,536543,2046277,2220278,680611,0.00023,0.00044,0.00016,0.00016,4.50E-05,2.90E-05,0.00371,0.00166,0.00326,0.00013,8.40E-05,0.00014,7.80E-05,3.20E-05,0.00041,0.00197,0.00354,0.0011,Purine-binding chemotaxis protein CheW OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2292 PE=4 SV=1,0.00028,7.70E-05,0.00288,0.00012,0.00017,0.0022,0.28,10.34,1.5,18.87,0.05,0.01,0.33,0.02
E4PRA8,4,4,17.9024,PrpE protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2053 PE=3 SV=1,18908.7,105673,84947.3,46434.6,59611.8,106174,373515,62864.9,45829.2,1142404,96062.4,168098,569198,19100.1,33455.9,28895.8,29841.3,23394,295532,64789.1,108856,61117.7,78723.6,28817.4,180233,482822,252875,2.30E-05,5.10E-05,3.80E-05,0.00011,5.90E-05,1.20E-05,0.00085,5.20E-05,0.00024,2.10E-05,6.20E-05,4.20E-05,7.70E-05,7.30E-05,2.20E-05,0.00017,0.00077,0.00041,PrpE protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2053 PE=3 SV=1,3.70E-05,5.90E-05,0.00038,4.20E-05,5.70E-05,0.00045,1.58,10.22,1.37,10.79,0.24,0.11,0.25,0.04
E4PF62,2,2,5.82816,6-phosphogluconolactonase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pgl PE=3 SV=1,16819,8976.17,20387.9,5296.27,27492.9,60807.8,88866.1,4969.1,67674.2,455485,12030.2,36286.6,346985,5127.52,19083.2,4423.71,20049.6,8056.45,361576,21685.2,116154,9382.13,17463.6,14822.5,28590.2,26305.6,508139,2.10E-05,1.20E-05,1.70E-05,6.00E-05,4.70E-06,1.80E-05,0.00034,1.10E-05,0.00015,5.70E-06,9.40E-06,1.50E-05,2.60E-05,1.10E-05,1.10E-05,2.80E-05,4.20E-05,0.00082,6-phosphogluconolactonase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pgl PE=3 SV=1,1.70E-05,2.80E-05,0.00017,9.90E-06,1.60E-05,0.0003,1.65,9.87,1.62,29.89,0.28,0.1,0.16,0.17
E4PJH3,9,9,33.9222,Chaperone protein HtpG OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=htpG PE=3 SV=1,167800,343747,320708,209586,583616,206714,3521284,236640,1397554,3496517,2572398,1.10E+07,3437994,409964,654825,66708.1,315752,116071,714978,303229,3256026,189676,734481,504839,2757187,1185600,2303012,0.00021,0.00019,0.00037,0.0002,0.00022,0.00037,0.00259,0.00344,0.00145,0.00046,0.00014,0.00021,0.00036,0.00023,0.00039,0.00265,0.00189,0.00372,Chaperone protein HtpG OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=htpG PE=3 SV=1,0.00026,0.00027,0.00249,0.00027,0.00033,0.00275,1.04,9.77,1.21,10.21,0.45,0.01,0.32,0
E4PFZ8,8,8,33.2198,Phosphoenolpyruvate carboxykinase (ATP) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pckA PE=3 SV=1,198068,137839,218149,113785,132461,186859,632795,146982,479521,1665188,797987,2370136,5636990,100769,196359,98888.9,127211,106280,589134,152475,284743,116826,133762,153456,508961,388030,486125,0.00024,0.00013,8.40E-05,0.00019,0.00014,0.00013,0.00123,0.00074,0.00238,0.00011,0.00021,0.00019,0.00018,0.00014,0.00012,0.00049,0.00062,0.00078,Phosphoenolpyruvate carboxykinase (ATP) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pckA PE=3 SV=1,0.00015,0.00015,0.00145,0.00017,0.00015,0.00063,0.99,9.53,0.85,3.67,0.49,0.03,0.25,0
E4PKB8,4,4,21.3412,"ABC-type uncharacterized transport system, periplasmic component OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1451 PE=4 SV=1",179163,292949,376978,96090.5,528389,243719,844291,297356,960188,5900078,1655359,2995496,4538026,54709.2,552289,71813.1,205421,158075,1519377,176901,1501025,174913,354078,137099,1705924,1337959,1671068,0.00022,0.00022,0.00033,0.00024,0.00028,0.00025,0.00437,0.00093,0.00192,6.10E-05,0.00015,0.00029,0.00021,0.00021,0.00011,0.00164,0.00213,0.0027,"ABC-type uncharacterized transport system, periplasmic component OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1451 PE=4 SV=1",0.00026,0.00026,0.0024,0.00017,0.00017,0.00216,1,9.27,1.05,12.93,0.49,0.05,0.46,0
E4PLZ3,2,2,11.086,50S ribosomal protein L22 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplV PE=3 SV=1,74984.2,112793,41000.3,12021.1,107420,122659,706142,13922.6,85544.2,1617374,312431,504702,833817,17693.9,60089.5,11773.5,94717.6,11066.5,189377,24885.1,98938.7,40755.4,91176.9,15161.6,206010,535598,437000,9.20E-05,2.40E-05,6.80E-05,0.00012,1.30E-05,2.30E-05,0.0012,0.00016,0.00035,2.00E-05,2.50E-05,2.00E-05,2.90E-05,4.90E-05,1.20E-05,0.0002,0.00085,0.00071,50S ribosomal protein L22 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplV PE=3 SV=1,6.10E-05,5.20E-05,0.00057,2.20E-05,3.00E-05,0.00059,0.85,9.26,1.39,27.09,0.42,0.09,0.24,0.02
E4PRL6,2,2,5.64786,FAD-dependent pyridine nucleotide-disulfide oxidoreductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3349 PE=3 SV=1,6386.55,3503.89,5809.24,1926.99,1517.52,4422.21,26633,168.26,0.07835,266.497,56502.4,286251,55460.9,1398.22,1955.22,712.469,84396.7,267.788,8855.44,1618.59,106798,823.704,87.0884,1169.74,75502.2,115820,33440.7,7.80E-06,3.50E-06,9.60E-07,4.40E-06,1.60E-07,2.10E-11,2.00E-07,8.90E-05,2.30E-05,1.60E-06,1.50E-06,4.90E-07,1.90E-06,9.90E-07,9.00E-07,7.30E-05,0.00018,5.40E-05,FAD-dependent pyridine nucleotide-disulfide oxidoreductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3349 PE=3 SV=1,4.10E-06,1.50E-06,3.70E-05,1.20E-06,1.30E-06,0.0001,0.37,9.18,1.07,87.41,0.18,0.14,0.44,0.03
E4PQI2,2,2,4.78823,50S ribosomal protein L19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplS PE=3 SV=1,16185.4,33817,43613.9,30081.5,22719.6,10384.5,40148.1,47600.8,11913.6,70798.3,84720.4,1130911,304678,14166.7,25957.1,10807.8,17583.7,21355.2,35783.2,20638.4,12675.1,30363,30710.7,57002.5,833322,2203187,375532,2.00E-05,2.60E-05,1.40E-05,1.00E-05,4.50E-05,3.20E-06,5.20E-05,0.00035,0.00013,1.60E-05,2.30E-05,3.90E-05,2.40E-05,3.60E-05,4.40E-05,0.0008,0.00352,0.00061,50S ribosomal protein L19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplS PE=3 SV=1,2.00E-05,1.90E-05,0.00018,2.60E-05,3.50E-05,0.00164,0.97,8.84,1.35,63.48,0.48,0.08,0.18,0.08
E4PH91,3,3,14.4334,UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=murA PE=3 SV=1,23235.6,14006,61935,7683.03,120845,1117279,175611,22749.2,214287,1094391,49243.7,251301,854245,12027,30459.3,7077.71,13420.6,4011.79,2730687,19863,2481317,10841.5,25381.4,12846.4,14644.8,62391.9,99237.6,2.90E-05,3.70E-05,7.60E-05,0.00111,2.10E-05,5.70E-05,0.00081,7.80E-05,0.00036,1.30E-05,1.50E-05,7.30E-06,2.30E-05,1.30E-05,9.90E-06,1.40E-05,1.00E-04,0.00016,UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=murA PE=3 SV=1,4.70E-05,0.00039,0.00042,1.20E-05,1.50E-05,9.10E-05,8.36,8.81,1.3,7.65,0.19,0.08,0.25,0.07
E4PF75,4,4,24.6831,Peptidyl-prolyl cis-trans isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppiB PE=3 SV=1,52050.4,47552.6,64353,50155.7,161136,28416,213767,73669.9,218190,1698423,65349,790953,544082,30275,178257,44285.6,39205.7,73303,171585,83031.7,161188,60746.8,164328,76122.1,153543,380005,421688,6.40E-05,3.80E-05,0.0001,2.80E-05,7.00E-05,5.80E-05,0.00126,0.00025,0.00023,3.40E-05,9.50E-05,0.00013,9.80E-05,7.30E-05,5.90E-05,0.00015,0.00061,0.00068,Peptidyl-prolyl cis-trans isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppiB PE=3 SV=1,6.80E-05,5.20E-05,0.00058,8.70E-05,7.70E-05,0.00048,0.76,8.49,0.88,5.49,0.25,0.1,0.38,0.04
E4PRD1,3,3,13.2308,Thioredoxin reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2076 PE=3 SV=1,54995.6,138598,63569.1,54960.6,114291,137383,553733,43580.9,193954,162666,372669,798633,2653127,22194.1,965869,19327,43796.3,33031.5,133538,29079.5,86225,31058.8,190230,42414.5,284234,466807,180027,6.70E-05,3.80E-05,7.20E-05,0.00014,4.10E-05,5.10E-05,0.00012,0.00025,0.00112,2.50E-05,4.10E-05,6.00E-05,3.40E-05,3.70E-05,3.30E-05,0.00027,0.00074,0.00029,Thioredoxin reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2076 PE=3 SV=1,5.90E-05,7.60E-05,0.0005,4.20E-05,3.50E-05,0.00044,1.29,8.39,0.83,10.4,0.31,0.12,0.26,0.03
E4PHL2,2,2,8.53287,Short chain dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1213 PE=4 SV=1,29789.1,75059.3,142282,51649.5,137465,102628,437082,80421.9,143249,145732,1146221,3062162,1447303,1546.59,52736.9,20668.3,83124,25745.2,44858.3,63472.8,49598,69619.3,244550,31910.9,1682137,417515,518893,3.70E-05,8.50E-05,8.70E-05,0.0001,7.60E-05,3.80E-05,0.00011,0.00095,0.00061,1.70E-06,4.40E-05,4.70E-05,7.50E-05,8.30E-05,2.50E-05,0.00162,0.00067,0.00084,Short chain dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1213 PE=4 SV=1,6.90E-05,7.20E-05,0.00056,3.10E-05,6.10E-05,0.00104,1.04,8.02,1.98,33.75,0.46,0.06,0.13,0.01
E4PNX6,2,2,5.11735,Acetylornithine aminotransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=argD PE=3 SV=1,19489.3,32616.6,17178,8672.6,13653.2,21868.5,130135,10196.1,36508.3,15899.7,48862.4,849207,160145,7850.24,55303.7,3686.59,6372.57,7369.86,48228.1,9998.77,17447,14928.3,13292.2,13450.7,257710,196927,12386.4,2.40E-05,1.00E-05,8.60E-06,2.20E-05,9.60E-06,9.70E-06,1.20E-05,0.00026,6.80E-05,8.70E-06,7.90E-06,1.30E-05,1.20E-05,1.80E-05,1.00E-05,0.00025,0.00031,2.00E-05,Acetylornithine aminotransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=argD PE=3 SV=1,1.40E-05,1.40E-05,0.00011,1.00E-05,1.30E-05,0.00019,0.96,8.02,1.34,19.43,0.46,0.13,0.15,0.05
E4PF84,2,2,10.1238,Ferredoxin--NADP reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2200 PE=3 SV=1,1554.39,1471.29,41102.2,549.482,70775.9,2701.89,801.773,33907.2,7627.15,45772,82772.3,441397,938664,9929.88,10.8853,821.439,10964.8,25606,159231,1441.45,208817,9515.72,10325.9,677.972,59731.9,289366,87114.5,1.90E-06,2.40E-05,4.50E-05,2.70E-06,3.20E-05,2.00E-06,3.40E-05,0.00014,0.0004,1.10E-05,1.80E-06,4.60E-05,1.70E-06,1.10E-05,5.20E-07,5.70E-05,0.00046,0.00014,Ferredoxin--NADP reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2200 PE=3 SV=1,2.40E-05,1.20E-05,0.00019,2.00E-05,4.50E-06,0.00022,0.52,7.98,0.23,11.14,0.25,0.1,0.17,0.09
E4PL78,5,5,23.4501,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1522 PE=3 SV=1,84458.8,187322,199993,79541.8,495226,273126,893590,90204.9,965401,1978630,934963,5960333,2157616,30089.5,39989,29254.5,466587,40899,1747077,199379,830697,128787,284864,84678,1482278,668164,173997,0.0001,0.00012,0.00031,0.00027,8.50E-05,0.00026,0.00146,0.00185,0.00091,3.30E-05,6.20E-05,7.40E-05,0.00024,0.00015,6.50E-05,0.00143,0.00107,0.00028,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1522 PE=3 SV=1,0.00018,0.0002,0.00141,5.70E-05,0.00015,0.00092,1.14,7.89,2.68,16.31,0.4,0.01,0.07,0.03
E4PRA9,2,2,14.8554,"Cold shock, CspA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2054 PE=4 SV=1",590844,637369,101921,88056.5,134444,499780,1368364,68399.2,657725,4953509,1365448,2837968,5307459,79833.8,126932,29986,237131,25448.5,1252132,29712.6,321141,52307.2,201218,257392,1545056,406655,115486,0.00073,6.10E-05,8.50E-05,0.00049,6.50E-05,0.00017,0.00367,0.00088,0.00224,8.90E-05,6.40E-05,4.60E-05,3.50E-05,6.30E-05,0.0002,0.00149,0.00065,0.00019,"Cold shock, CspA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2054 PE=4 SV=1",0.00029,0.00024,0.00226,6.60E-05,9.90E-05,0.00077,0.84,7.8,1.49,11.67,0.43,0.04,0.28,0.07
E4PRB3,3,3,10.0934,Proline--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=proS PE=3 SV=1,37191.8,24294.8,28984.7,25763.1,68497.5,38781.5,77507.5,35971.8,93460.9,363843,141325,1108322,442811,31108.7,102277,8772.07,130357,12554.2,262705,34194.3,113135,23475.4,28387,23840.1,90082.1,189864,56601.2,4.60E-05,1.70E-05,4.30E-05,3.80E-05,3.40E-05,2.50E-05,0.00027,0.00034,0.00019,3.50E-05,1.90E-05,2.30E-05,4.00E-05,2.80E-05,1.80E-05,8.70E-05,0.0003,9.10E-05,Proline--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=proS PE=3 SV=1,3.50E-05,3.20E-05,0.00027,2.50E-05,2.90E-05,0.00016,0.91,7.54,1.14,6.32,0.39,0,0.34,0.07
E4PLX8,4,4,11.7251,50S ribosomal protein L1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplA PE=3 SV=1,26973.8,50975.3,17468.6,31021.8,41705.6,42448.6,537255,122729,140590,29632.5,104838,394444,864083,19051.9,15749.1,10054.3,8820.62,68433.4,28988,31673,31029.2,9972.27,8889.98,61549.9,68702,174299,701674,3.30E-05,1.00E-05,2.60E-05,4.20E-05,0.00012,3.70E-05,2.20E-05,0.00012,0.00037,2.10E-05,2.10E-05,0.00012,3.70E-05,1.20E-05,4.80E-05,6.60E-05,0.00028,0.00113,50S ribosomal protein L1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplA PE=3 SV=1,2.30E-05,6.50E-05,0.00017,5.60E-05,3.20E-05,0.00049,2.79,7.29,0.58,8.86,0.09,0.11,0.28,0.13
E4PLQ3,2,2,13.6388,"TRAP dicarboxylate transporter, DctP subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_4076 PE=4 SV=1",115919,1941876,287130,186967,536860,1214854,5019022,174777,1141440,1938031,650891,1747727,6504577,387615,1141841,66619.3,477394,132522,984960,363188,1034702,367594,1145536,242228,613864,1125731,1227416,0.00014,0.00017,0.00034,0.0012,0.00016,0.0003,0.00143,0.00054,0.00275,0.00043,0.00014,0.00024,0.00043,0.00044,0.00019,0.00059,0.0018,0.00198,"TRAP dicarboxylate transporter, DctP subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_4076 PE=4 SV=1",0.00022,0.00056,0.00158,0.00027,0.00035,0.00146,2.56,7.24,1.3,5.37,0.18,0.05,0.27,0.03
E4PH20,4,4,27.7363,10 kDa chaperonin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=groS PE=3 SV=1,799921,190956,506680,172097,392574,338776,416310,448920,384921,1.10E+07,1048109,5412541,2272220,84253.8,498616,53873.4,158606,173294,649544,296602,424598,267184,603288,325747,1388850,887355,2461019,0.00098,0.0003,0.00025,0.00034,0.00042,0.0001,0.00801,0.00168,0.00096,9.40E-05,0.00011,0.00031,0.00035,0.00032,0.00025,0.00134,0.00142,0.00397,10 kDa chaperonin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=groS PE=3 SV=1,0.00051,0.00029,0.00355,0.00017,0.00031,0.00224,0.56,6.96,1.76,12.86,0.22,0.12,0.08,0.04
E4PMG2,2,2,5.53235,"Fructose-1,6-bisphosphate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2910 PE=3 SV=1",12907.5,3679.49,16133.8,11811.5,5724.96,14280.1,288406,12136.2,8.28539,6170.32,27863.9,209563,306608,758.989,22449.4,8092.42,19272.6,5381.16,17113.1,1074.98,34789,13840.4,50599.3,7679.11,115825,156064,246070,1.60E-05,9.60E-06,3.60E-06,1.40E-05,1.10E-05,2.20E-09,4.60E-06,6.50E-05,0.00013,8.40E-07,1.70E-05,9.80E-06,1.30E-06,1.70E-05,5.90E-06,0.00011,0.00025,0.0004,"Fructose-1,6-bisphosphate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2910 PE=3 SV=1",9.70E-06,8.50E-06,6.60E-05,9.30E-06,7.90E-06,0.00025,0.88,6.85,0.85,27.18,0.42,0.1,0.42,0.02
E4PHX0,3,3,10.3345,Adenylosuccinate synthetase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purA PE=3 SV=1,51287,53459.1,39340.6,30994.4,139199,51366.4,159386,21689.3,175530,519265,371248,869098,1260474,15871.7,257474,15091.3,19562.6,21174,109301,46253.8,71313.2,16573.2,43870.8,44675.2,480640,213756,333747,6.30E-05,2.30E-05,8.80E-05,5.10E-05,2.00E-05,4.60E-05,0.00038,0.00027,0.00053,1.80E-05,3.20E-05,3.80E-05,5.50E-05,2.00E-05,3.50E-05,0.00046,0.00034,0.00054,Adenylosuccinate synthetase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purA PE=3 SV=1,5.80E-05,3.90E-05,0.0004,2.90E-05,3.60E-05,0.00045,0.68,6.81,1.23,15.21,0.21,0.01,0.29,0
E4PP40,2,2,5.62408,DEAD/DEAH box helicase domain protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_588 PE=3 SV=1,250042,458403,401598,290929,458766,436067,1183871,349755,387677,610037,1676375,6061663,7933154,156729,242325,121889,73773.5,91812.2,163572,205309,72431.4,155589,51285.7,244223,1238157,2492546,852704,0.00031,0.00024,0.00029,0.00043,0.00033,0.0001,0.00045,0.00188,0.00335,0.00017,0.00026,0.00017,0.00024,0.00019,0.00019,0.00119,0.00398,0.00138,DEAD/DEAH box helicase domain protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_588 PE=3 SV=1,0.00028,0.00029,0.00189,0.0002,0.00021,0.00218,1.03,6.8,1.03,10.89,0.46,0.06,0.44,0.05
E4PPH4,13,13,77.3003,Chaperone protein DnaK OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dnaK PE=2 SV=1,1493124,2136809,4105147,863872,4080465,2643369,9538223,2364168,6937250,2.90E+07,3745735,4.30E+07,2.80E+07,718536,3389684,445342,1511799,828263,4941194,2088121,3877926,1554716,3263964,2397261,1.70E+07,6317629,5371543,0.00183,0.00244,0.00258,0.00262,0.00223,0.00184,0.02148,0.0134,0.01171,0.0008,0.00095,0.0015,0.00247,0.00186,0.00185,0.01637,0.01008,0.00867,Chaperone protein DnaK OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dnaK PE=2 SV=1,0.00228,0.00223,0.01553,0.00108,0.00206,0.01171,0.98,6.8,1.9,10.8,0.43,0.01,0.01,0.01
