Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description,log2FC.L.LGnM,log2FC.L.LGmM,log2FC.D.LGnM,log2FC.D.LGmM,extracted_gn,resolved_locus_tag,resolution_method
Q7V0C4,PMM1342,6,6,0.00106153,0.000914735,0.000893676,0.001735701,0.000974282,0.001190234,0.001129527,0.000839543,0.000550616,0.000730466,0.000582715,0.000851868,0.000878406,0.000528974,0.001181476,0.000546656,0.001113204,0.000945734,0.000956647,0.001300073,0.000839895,0.000721683,0.000862952,0.000868531,0.106956796,1.358988989,0.270877865,0.877957492,0.165054443,1.19574928,0.236088302,1.203479734,Circadian clock protein kinase KaiC OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=kaiC PE=3 SV=1,0.4425337669372026,-0.1877770042900367,0.2579149226303091,0.2672118477501988,kaiC,PMM1342,locus_tag:KEGG
Q7V0V5,PMM1147,6,6,0.000113941,0.000155852,0.000558175,0.000203522,9.0947e-05,0.000615406,0.000237513,0.000232861,0.000237841,0.000377705,0.000125868,0.000663063,6.53045e-05,0.000152789,0.00080683,9.03234e-05,0.000458401,0.000433331,0.000275989,0.000303292,0.000236072,0.000388879,0.000341641,0.000327352,0.452145616,1.098925723,0.396014931,0.855366088,0.381404167,0.878528306,0.384292771,0.841783575,"Putative nicotinamide nucleotide transhydrogenase, subunit alpha 1 (A1) OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=pntA-1 PE=4 SV=1",0.1360938770233218,-0.2253860838901511,-0.1868393245695428,-0.2484787350031523,pntA-1,PMM1147,locus_tag:KEGG
Q7V2D1,PMM0549,6,6,0.113085239,0.112026016,0.065305151,0.098284669,0.122592072,0.054446271,0.074834025,0.059588528,0.093368444,0.147845593,0.19672656,0.058329049,0.130678937,0.177125772,0.05923142,0.129157566,0.067520912,0.081218246,0.096805469,0.091774337,0.075930332,0.134300401,0.122345376,0.092632241,0.426355257,0.94802844,0.161528536,0.784359947,0.102879131,0.910982959,0.201637928,0.689739129,Carbon dioxide-concentrating mechanism protein CcmK OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ccmK PE=3 SV=2,-0.076997755561801,-0.3504122280720018,-0.1345040279029952,-0.5358772814913196,ccmK,PMM0549,locus_tag:KEGG
Q7V025,PMM1463,6,6,0.009919453,0.011051592,0.006754046,0.010003238,0.011527497,0.007909032,0.004275946,0.005431383,0.009259039,0.006810185,0.008545053,0.006443804,0.012376242,0.007913878,0.007213246,0.008410714,0.004024254,0.005090838,0.009241697,0.009813256,0.006322123,0.007266347,0.009167788,0.005841935,0.373941675,1.061845658,0.107204758,0.684086789,0.208772352,1.261677715,0.193885569,0.803971392,Nitrogen regulatory protein P-II OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=glnB PE=3 SV=1,0.086574081942507,-0.547748725745535,0.3353434330216239,-0.3147839285006089,glnB,PMM1463,locus_tag:KEGG
Q7V267,PMM0619,6,6,0.001270049,0.000563839,0.003022,0.001107194,0.000632453,0.002486115,0.001234116,0.000818265,0.000982999,0.000949471,0.000497186,0.002224907,0.000750924,0.000466033,0.002802718,0.000301111,0.000890617,0.001979153,0.001618629,0.001408587,0.001011793,0.001223855,0.001339892,0.00105696,0.415133691,0.870234429,0.22929982,0.625092568,0.335736145,1.094812648,0.413274605,0.863632055,Acetyl-coenzyme A synthetase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=acs PE=3 SV=1,-0.2005239996763592,-0.6778582451034388,0.1306840068793313,-0.2115113027412936,acs,PMM0619,locus_tag:KEGG
Q7V1T5,PMM0770,6,6,0.000576455,0.000446558,0.000797024,0.000663854,0.000519485,0.001028523,0.000305336,0.000400285,0.000426711,0.000416924,0.000385492,0.000909355,0.000345422,0.000319288,0.000926292,0.000297638,0.000989697,0.000405649,0.000606679,0.000737287,0.000377444,0.00057059,0.000530334,0.000564328,0.257172,1.215284479,0.051342732,0.622147632,0.14751398,0.929447846,0.491424773,0.989024887,"6-phosphogluconate dehydrogenase, decarboxylating OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=gnd PE=3 SV=1",0.2812940656028819,-0.6846711307985608,-0.1055541812521857,-0.0159212706676423,gnd,PMM0770,locus_tag:KEGG
Q7V0Y1,PMM1113,6,6,0.00223727,0.001058035,0.004520168,0.002316648,0.001102483,0.004540158,0.001232595,0.001352198,0.00090253,0.002237532,0.000634936,0.004420946,0.001288045,0.00069027,0.005192849,0.000700665,0.001134584,0.00279566,0.002605158,0.002653096,0.001162441,0.002431138,0.002390388,0.001543637,0.487434457,1.018401327,0.11602737,0.446207511,0.471189307,0.983238218,0.261492794,0.634943994,Two-component response regulator OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=PMM1113 PE=4 SV=1,0.0263062042174545,-1.1642132962509613,-0.0243871012196213,-0.6552987520448695,PMM1113,PMM1113,locus_tag:KEGG
Q7V0B5,PMM1354,6,6,0.000677117,0.000580275,0.001152488,0.001046673,0.000593136,0.001442997,0.000146479,0.000615488,0.000146473,0.000616474,0.000421773,0.000978472,0.000299181,0.000620962,0.001462264,0.00018614,0.000728659,0.000323463,0.000803293,0.001027602,0.000302813,0.000672239,0.000794136,0.000412754,0.249820568,1.27923589,0.050644392,0.376964725,0.327476017,1.181328436,0.161609495,0.613998454,D-3-phosphoglycerate dehydrogenase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=serA PE=3 SV=1,0.3552823204776848,-1.4074985672782885,0.2404101223254218,-0.7036930718804113,serA,PMM1354,locus_tag:KEGG
Q7V390,PMM0195,6,6,0.001758178,0.00127718,0.003820591,0.002103298,0.001231649,0.003776512,0.00073829,0.001066638,0.000478816,0.001179957,0.000505233,0.003069428,0.001253617,0.000535317,0.003517434,0.000372737,0.000934956,0.001075729,0.002285316,0.002370486,0.000761248,0.001584873,0.001768789,0.000794474,0.470461464,1.037268282,0.064457783,0.33310399,0.149954805,1.11604483,0.188705657,0.501285612,Phosphoglycerate kinase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=pgk PE=3 SV=1,0.0527890851375475,-1.5859554598221486,0.1583949794248891,-0.99629526869477,pgk,PMM0195,locus_tag:KEGG
Q7V3M7,PMM0048,5,5,0.000100999,0.000117588,0.000218473,0.000120909,0.000123628,0.000264876,0.000143237,0.000449844,0.000734143,7.25014e-05,0.000158874,0.000141057,9.5439e-05,0.000148884,0.000299414,0.000156013,8.55731e-05,9.71897e-05,0.000145686,0.000169804,0.000442408,0.000124144,0.000181246,0.000112925,0.354275894,1.165546786,0.082160584,3.036713525,0.191547741,1.459962454,0.379617109,0.90963116,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=gatB PE=3 SV=1,0.2210069165864306,1.602510815138294,0.5459312676501461,-0.1366464193648809,gatB,PMM0048,locus_tag:KEGG
Q7V2N7,PMM0436,5,5,9.17784e-05,5.93076e-05,0.000125094,0.000226493,8.08325e-05,0.000327059,0.000150703,0.000118072,0.000160178,8.47922e-05,4.14593e-05,0.000221559,7.63332e-05,2.70355e-05,0.000336936,6.2883e-05,0.000147614,0.000100354,9.206e-05,0.000211461,0.000142984,0.000115937,0.000146768,0.000103617,0.090859823,2.296994435,0.045000841,1.553159702,0.270971099,1.26593125,0.423105213,0.893736021,DNA topoisomerase 1 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=topA PE=3 SV=1,1.1997473614578358,0.6352061809406876,0.3401990572328561,-0.1620793232465348,topA,PMM0436,locus_tag:KEGG
Q7TU97,PMM0878,5,5,0.000526958,0.00099688,0.001464865,0.000628071,0.001070946,0.001653897,0.00087026,0.001341261,0.002179501,0.000371582,0.00064984,0.001916896,0.000480904,0.000835969,0.001477077,0.000683324,0.001138203,0.001694238,0.000996234,0.001117638,0.001463674,0.000979439,0.000931316,0.001171922,0.38883189,1.121862738,0.187633589,1.469206501,0.414936469,0.950866972,0.373799667,1.19652321,Branched-chain-amino-acid aminotransferase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ilvE PE=3 SV=1,0.1658961703132764,0.5550371848874291,-0.0726845753158964,0.2588483823566698,ilvE,PMM0878,locus_tag:KEGG
Q7V3B3,PMM0169,5,5,0.002050176,0.001806841,0.002186294,0.001520296,0.001424694,0.002116959,0.001861301,0.002483105,0.003936249,0.000956191,0.002135831,0.001833865,0.002307527,0.002200004,0.002155118,0.002649455,0.002785783,0.003592585,0.002014437,0.001687317,0.002760218,0.001641962,0.002220883,0.003009274,0.125038052,0.837612064,0.149266544,1.37021841,0.139433457,1.352578583,0.020548749,1.832730717,Two-component response regulator OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=PMM0169 PE=4 SV=1,-0.2556458735503097,0.4544058741416251,0.4357124151322931,0.8739948263644646,PMM0169,PMM0169,locus_tag:KEGG
Q7TUF9,PMM0288,5,5,0.000139907,0.000147675,0.000509301,0.000166562,0.000238442,0.000548739,0.000177764,0.00024532,0.000587473,9.40952e-05,0.000195482,0.000385426,0.000217393,0.000166098,0.000514456,0.000129161,0.000105697,0.000267328,0.000265628,0.000317914,0.000336852,0.000225001,0.000299316,0.000167395,0.3863108,1.19684128,0.353110209,1.268137249,0.144176631,1.330284555,0.296225754,0.743976111,Mg-protoporphyrin IX chelatase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=chlD PE=3 SV=1,0.2592318408865127,0.3427108951115235,0.4117348789425276,-0.4266717976066798,chlD,PMM0288,locus_tag:KEGG
Q9RC07,PMM1523,5,5,0.000287161,0.000303638,3.57488e-05,0.0003748,0.000256859,3.91676e-05,0.000392849,0.000278015,0.000119595,0.000277952,0.000853111,4.27992e-05,0.000226895,0.000948214,5.9636e-05,0.000267784,0.000512273,8.66004e-05,0.00020885,0.000223609,0.000263486,0.000391287,0.000411582,0.000288886,0.457881246,1.070669973,0.332963808,1.261607407,0.339122443,1.051865566,0.362096101,0.738295932,Photosystem I P700 chlorophyll a apoprotein A2 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=psaB PE=3 SV=1,0.0985138473239887,0.335263035446196,0.0729503323314096,-0.437728885577224,psaB,PMM1523,locus_tag:KEGG
Q7V0H7,PMM1280,5,5,0.001449191,0.001461958,0.001308322,0.001353593,0.002349186,0.000819448,0.001250665,0.001616807,0.002315821,0.001535252,0.002371082,0.001048681,0.001520936,0.002940136,0.000912669,0.001987304,0.000792328,0.001620716,0.00140649,0.001507409,0.001727764,0.001651672,0.001791247,0.001466783,0.416940519,1.071752148,0.1836029,1.228422448,0.293465847,1.084505464,0.370887618,0.888059526,Multifunctional fusion protein OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=trmD PE=3 SV=1,0.0999713085995718,0.2968067812512143,0.1170373216739448,-0.1712717122457946,trmD,PMM1280,locus_tag:KEGG
Q7V0W0,PMM1142,5,5,0.00028368,0.000152157,0.000440821,0.000142991,0.00016307,0.000359417,0.000190822,0.0003629,0.000384435,0.000252561,0.000286174,0.000393934,0.000242812,0.000259425,0.000451615,0.000198975,0.000605698,0.000137546,0.000292219,0.000221826,0.000312719,0.000310889,0.00031795,0.000314073,0.275570432,0.759108987,0.426336486,1.070152828,0.40493398,1.022712531,0.4921943,1.010241556,1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=dxr PE=3 SV=1,-0.3976210633749634,0.0978168419099169,0.0324006823438249,0.0147002929538527,dxr,PMM1142,locus_tag:KEGG
Q7V276,PMM0608,5,5,0.000800093,0.000836009,0.000554716,0.0006612,0.000769877,0.000514987,0.000901079,0.00082358,0.000381316,0.0007324,0.000827467,0.000543041,0.000682788,0.001003756,0.000557686,0.000687876,0.000900586,0.001389422,0.000730273,0.000648688,0.000701992,0.00070097,0.000748077,0.000992628,0.258914273,0.888281776,0.442781892,0.961273232,0.277947544,1.067202422,0.131296558,1.416077863,"1,4-dihydroxy-2-naphthoyl-CoA synthase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=menB PE=3 SV=1",-0.1709107016965836,-0.05698153441506,0.0938338458137563,0.5019005941466241,menB,PMM0608,locus_tag:KEGG
Q7V3M8,PMM0046,5,5,0.018885286,0.020449936,0.011679887,0.01353772,0.021552523,0.012292946,0.016983115,0.015124128,0.01618953,0.020687774,0.025232073,0.008454235,0.022991778,0.02411734,0.010325849,0.02359288,0.016956904,0.011868581,0.017005037,0.015794396,0.016098924,0.018124694,0.019144989,0.017472788,0.387637702,0.928806951,0.379315563,0.946715062,0.221332194,1.056293085,0.459700655,0.964032196,Nucleoside diphosphate kinase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ndk PE=3 SV=1,-0.1065493258108158,-0.0789978196642896,0.0790101884936449,-0.0528467656168828,ndk,PMM0046,locus_tag:KEGG
Q7V3F2,PMM0123,5,5,0.000706973,0.000596457,0.000565329,0.000717987,0.000669317,0.000596065,0.000445176,0.000365672,0.000723061,0.000667281,0.000570935,0.000506025,0.00067282,0.000618724,0.000560198,0.000563376,0.000538758,0.000479957,0.000622919,0.000661123,0.000511303,0.000581414,0.000617247,0.000527364,0.26523886,1.061330037,0.196231848,0.82081698,0.071673301,1.061631683,0.182653919,0.907036969,Cysteine synthase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=cysK2 PE=3 SV=1,0.0858733543710166,-0.2848675190247395,0.0862833317974892,-0.1407667415910746,cysK2,PMM0123,locus_tag:KEGG
Q7V215,PMM0676,5,5,0.000504687,0.000402636,0.000760081,0.000434923,0.000423734,0.000634288,0.000310315,0.000322066,0.000728701,0.000253193,0.000247441,0.000730614,0.000329361,0.000245618,0.000620742,0.000275546,0.000188004,0.000711766,0.000555801,0.000497648,0.000453694,0.000410416,0.000398574,0.000391772,0.334688641,0.895371269,0.294253408,0.816287947,0.423295874,0.971145924,0.469345535,0.954573323,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ispG PE=3 SV=1,-0.1594420696280865,-0.2928499397122732,-0.0422400041721008,-0.06707207623597,ispG,PMM0676,locus_tag:KEGG
Q7UZQ1,PMM1607,5,5,0.001619985,0.000739643,0.000642564,0.001684927,0.000846354,0.000612224,0.001068094,0.000715488,0.00053925,0.002016507,0.001474777,0.000480439,0.001153755,0.001303505,0.000492855,0.000698067,0.000695957,0.000411091,0.00100073,0.001047835,0.000774278,0.001323908,0.000983372,0.000601705,0.46085434,1.047070028,0.275136471,0.77371249,0.16474842,0.74277976,0.095666574,0.454491638,Photosystem I iron-sulfur center OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=psaC PE=3 SV=3,0.0663579328798377,-0.3701305315009922,-0.4289935910645687,-1.1376743437615109,psaC,PMM1607,locus_tag:KEGG
Q7V153,PMM1033,5,5,0.000343246,0.000348126,0.000751218,0.000294821,0.000343679,0.000834513,0.000528745,0.000329413,0.000216658,0.000319766,0.000462315,0.000939633,0.000287587,0.000430923,0.000734421,0.000351656,0.000419775,0.000240648,0.000480863,0.000491004,0.000358272,0.000573905,0.00048431,0.00033736,0.482645118,1.021089314,0.247032209,0.745060529,0.130657807,0.843886234,0.145464668,0.587832048,Cobalamin synthesis protein/P47K OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=PMM1033 PE=4 SV=1,0.0301090633061948,-0.4245704594590324,-0.2448795754653857,-0.766524079500887,PMM1033,PMM1033,locus_tag:KEGG
Q7V0H0,PMM1288,5,5,0.000970196,0.000774131,0.001366419,0.000892356,0.000921395,0.001667256,0.000576836,0.000723595,0.000806007,0.000735689,0.000513728,0.001665935,0.000795057,0.000436484,0.001736849,0.000506125,0.000610337,0.001327352,0.001036915,0.001160336,0.000702146,0.000971784,0.000989463,0.000814605,0.354407925,1.119026571,0.073668899,0.677148882,0.372938696,1.018192646,0.368711746,0.838257032,Pyruvate dehydrogenase E1 component subunit alpha OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=pdhA PE=4 SV=1,0.1622442931461337,-0.5624550266577034,0.0260105507402539,-0.2545354142867638,pdhA,PMM1288,locus_tag:KEGG
Q7V380,PMM0205,5,5,0.001605476,0.000702519,0.001608742,0.001016906,0.000644822,0.001864301,0.001076761,0.000811278,0.000759798,0.001068029,0.00088515,0.001412164,0.000692028,0.000976569,0.001368068,0.001041908,0.000772596,0.000581013,0.001305579,0.001175343,0.000882612,0.001121781,0.001012222,0.000798506,0.397767941,0.900246587,0.126578363,0.676031294,0.256376591,0.902334157,0.094364065,0.711819434,Transcription termination/antitermination protein NusG OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=nusG PE=3 SV=1,-0.1516078699830625,-0.5648380633893216,-0.1482662962499866,-0.4904167732328567,nusG,PMM0205,locus_tag:KEGG
Q7UZY5,PMM1510,5,5,0.001543981,0.001516559,0.001970308,0.001243506,0.002004162,0.002308706,0.000531082,0.002429218,0.000393585,0.000593242,0.000526274,0.002199411,0.000729701,0.000692131,0.002421173,0.000184572,0.001449462,0.000962495,0.001676949,0.001852125,0.001117962,0.001106309,0.001281002,0.000865509,0.321114214,1.104460866,0.226469371,0.666664217,0.009949768,1.157905681,0.366728261,0.782339541,30S ribosomal protein S7 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=rpsG PE=3 SV=1,0.1433423010580995,-0.5849678019138236,0.2115177411549109,-0.3541332113938805,rpsG,PMM1510,locus_tag:KEGG
Q7UZW6,PMM1535,5,5,0.004521224,0.003571872,0.005226039,0.004580716,0.00476312,0.00645484,0.001599174,0.00309303,0.00295086,0.003620462,0.002782959,0.006005061,0.003893743,0.002491413,0.005415771,0.001630736,0.003147719,0.004381766,0.004439712,0.005266225,0.002547688,0.004136161,0.003933642,0.003053407,0.170454291,1.186163816,0.024381869,0.573840835,0.253671347,0.951037145,0.217760917,0.738222587,DNA-directed RNA polymerase subunit alpha OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=rpoA PE=3 SV=1,0.2463032680713993,-0.8012774597263844,-0.0724264048417343,-0.437872215263238,rpoA,PMM1535,locus_tag:KEGG
Q7UZW8,PMM1532,5,5,0.006694787,0.006157405,0.004331381,0.006559762,0.008561747,0.004017038,0.00155987,0.006951566,0.000761066,0.004886517,0.005699867,0.003640888,0.004711151,0.005345862,0.003213049,0.001621563,0.006856428,0.001936533,0.005727857,0.006379516,0.003090834,0.004742424,0.004423354,0.003471508,0.3428955,1.113769974,0.135985448,0.539614334,0.025495387,0.932720041,0.259280807,0.732011246,50S ribosomal protein L13 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=rplM PE=3 SV=1,0.1554513048177724,-0.8899994231837366,-0.1004839785157587,-0.4500622818646578,rplM,PMM1532,locus_tag:KEGG
Q7UZV2,PMM1552,5,5,0.000562676,0.000474006,0.001470608,0.000836926,0.000459589,0.000893679,0.000373039,0.000253643,0.000672171,0.000477467,0.000253499,0.000949817,0.000437411,0.000274956,0.001226417,0.000301871,0.000534939,0.000867655,0.000835763,0.000730065,0.000432951,0.000560261,0.000646261,0.000568155,0.387730504,0.873530175,0.152028847,0.518030658,0.234297588,1.15350006,0.488738769,1.014089367,30S ribosomal protein S3 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=rpsC PE=3 SV=1,-0.1950705548009105,-0.9488906131227774,0.2060180790635487,0.0201847959769338,rpsC,PMM1552,locus_tag:KEGG
Q7UZG0,PMM1707,5,5,0.000335735,0.000227342,0.00044385,0.000284037,0.000250447,0.000390808,0.00013594,0.000290332,5.31133e-05,0.000111827,0.000181021,0.00050029,0.000233494,0.000180996,0.000565465,0.000112711,0.000238452,0.000124787,0.000335642,0.00030843,0.000159795,0.000264379,0.000326652,0.00015865,0.3683426,0.918926466,0.066549994,0.476087402,0.109275567,1.235540613,0.22457959,0.600084185,Argininosuccinate synthase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=argG PE=3 SV=1,-0.1219786755728965,-1.0707016414028847,0.3051424337429451,-0.7367631862289388,argG,PMM1707,locus_tag:KEGG
Q7V384,PMM0201,5,5,0.027535546,0.009251606,0.022139166,0.012862833,0.01304713,0.016327849,0.005506228,0.007998149,0.013368805,0.004812283,0.007743152,0.016391687,0.01577875,0.005806383,0.013839706,0.00563221,0.006298897,0.008912961,0.019642106,0.014079271,0.008957727,0.009649041,0.01180828,0.006948022,0.186041673,0.716790264,0.07217359,0.456047191,0.336325481,1.223777592,0.248365896,0.72007392,50S ribosomal protein L7/L12 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=rplL PE=3 SV=1,-0.4803770531591304,-1.1327449751047227,0.2913413880355572,-0.4737830792443507,rplL,PMM0201,locus_tag:KEGG
Q7UZS7,PMM1578,5,5,0.002241114,0.001237481,0.003619404,0.002124606,0.001126991,0.003766062,0.000687215,0.000981253,0.001328917,0.001173069,0.00146515,0.003317204,0.001125938,0.001563154,0.002687197,0.000705054,0.000651972,0.000696124,0.002365999,0.00233922,0.000999128,0.001985141,0.001792096,0.000684383,0.490286645,0.988681416,0.064227803,0.422285852,0.238502523,0.902755207,0.062406676,0.344752954,Photosystem I protein PsaD OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=psaD PE=4 SV=1,-0.0164223803750032,-1.243708182087142,-0.1475932583715326,-1.5363651814283312,psaD,PMM1578,locus_tag:KEGG
Q7V0F1,PMM1314,5,5,0.000470206,9.16752e-05,0.000815291,0.000190754,0.000115883,0.00059677,0.000102068,0.000172054,0.000277314,0.000820552,0.000447611,0.000935337,0.000168678,0.000301527,0.000623983,0.000204315,0.000154724,0.000235966,0.000459057,0.000301135,0.000183812,0.0007345,0.000364729,0.000198335,0.285972324,0.655986317,0.134912458,0.400412194,0.065515083,0.496567739,0.011421561,0.270026677,ATP-dependent Clp protease proteolytic subunit 2 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=clpP2 PE=3 SV=1,-0.6082623724252872,-1.3204421847607777,-1.009937559302082,-1.888826151039356,clpP2,PMM1314,locus_tag:KEGG
Q7V0W4,PMM1138,5,5,0.000195073,0.000134162,0.000475382,0.000107475,0.000188427,0.000290353,4.99831e-05,0.000108534,0.000131752,0.000155406,0.000198369,0.000403367,0.000151112,0.000181855,0.00032283,4.8071e-05,0.000160437,0.000254988,0.000268205,0.000195418,9.67564e-05,0.00025238,0.000218599,0.000154499,0.284794305,0.728614885,0.093552674,0.36075499,0.144631256,0.866149815,0.185244782,0.612166492,Ribosome-binding ATPase YchF OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ychF PE=3 SV=1,-0.4567716264381127,-1.470908744527189,-0.207311510276933,-0.7080040162891078,ychF,PMM1138,locus_tag:KEGG
Q7V1T7,PMM0768,5,5,0.000209229,0.000318271,0.000171366,0.000235519,0.000632194,0.000172802,5.13003e-05,9.06978e-05,4.47296e-05,0.000300479,0.000391173,0.00018125,0.000286674,0.00040957,0.000163088,7.30226e-05,0.000148474,3.46496e-05,0.000232955,0.000346838,6.22426e-05,0.000290967,0.000286444,8.5382e-05,0.245559423,1.488860609,0.010548066,0.267186611,0.366349546,0.984455785,0.020706457,0.293441838,Glutamyl-tRNA reductase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=hemA PE=3 SV=1,0.5742086913828454,-1.904080380218634,-0.0226016832691044,-1.7688535143600894,hemA,PMM0768,locus_tag:KEGG
Q7UZW1,PMM1541,4,4,4.6254e-05,5.63329e-05,0.000164023,1.61622e-05,3.39522e-05,0.000220085,7.43336e-05,4.68235e-05,0.000589054,1.51553e-05,1.93011e-05,0.000132185,2.94609e-05,2.4864e-05,0.000225959,0.000101392,0.000192661,0.000186226,8.887e-05,9.00665e-05,0.000236737,5.55472e-05,9.34279e-05,0.000160093,0.494042881,1.013464217,0.229126718,2.663857466,0.154755833,1.681955829,0.048245384,2.882105291,50S ribosomal protein L15 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=rplO PE=3 SV=1,0.0192951515892254,1.4135168907439253,0.7501398184828251,1.527123041976508,rplO,PMM1541,locus_tag:KEGG
Q7V3B0,PMM0172,4,4,0.000100285,0.000236886,0.000164014,0.000193529,0.000144659,0.000207211,0.000351887,0.000426722,0.000314485,0.000124,6.00581e-05,0.000153337,8.83197e-05,7.90696e-05,0.000218385,0.000377027,0.00016817,0.000423189,0.000167062,0.0001818,0.000364365,0.000112465,0.000128591,0.000322795,0.376687939,1.088219463,0.009264155,2.181018885,0.317648227,1.14339083,0.032344023,2.870184749,NAD(P)H-quinone oxidoreductase subunit H OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ndhH PE=3 SV=1,0.1219695366003467,1.125002262036385,0.193318625009479,1.5211436037607788,ndhH,PMM0172,locus_tag:KEGG
Q7V3J0,PMM0085,4,4,0.000132656,6.5128e-05,0.000190955,0.000165042,4.51448e-05,0.000162533,0.000256588,0.00020743,0.000228243,6.31961e-05,2.88326e-05,0.00026042,6.16837e-05,1.67712e-05,0.000254423,2.86753e-05,9.63434e-05,0.000157339,0.00012958,0.00012424,0.000230754,0.000117483,0.000110959,9.41192e-05,0.462805694,0.958793149,0.030307706,1.780786852,0.083197451,0.944471781,0.393872026,0.801131319,"Putative potassium channel, VIC family OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=PMM0085 PE=4 SV=1",-0.0607084945559666,0.8325148460492362,-0.0824204025823908,-0.3198893507029084,PMM0085,PMM0085,locus_tag:KEGG
