Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light1,Light2,Light3,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Marinobacter_MED4,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D
E4PLZ5,5.0,5.0,14.9651949,50S ribosomal protein L16 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplP PE=3 SV=1,50811.0441,90162.9608,56979.4891,47816.2391,51691.4694,35639.8187,355642.835,760594.685,324848.543,173619.07,66511.0133,27938.0343,47383.8526,60192.6788,63502.4016,184390.596,521163.483,265618.423,0.000767506,0.000452259,0.000327026,0.000540582,0.000715677,0.000206381,0.000883881,0.00195997,0.000604312,0.001287204,0.000806072,0.000278871,0.000649586,0.000759074,0.000579321,0.00057617,0.001354988,0.00094683,50S ribosomal protein L16 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplP PE=3 SV=1,0.000515597,0.000487547,0.001149388,0.000790716,0.00066266,0.000959329,0.95,2.23,0.84,1.21,0.434,0.143,0.343,0.37,-0.07400058144377693,1.15704371014558,-0.25153876699596445,0.27500704749986976
E4PNR7,4.0,4.0,17.7598937,"Quinone oxidoreductase, YhdH/YhfP family OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1797 PE=4 SV=1",786.423353,68983.8019,51830.2546,18907.0058,6544.67484,45914.9575,224565.023,172012.72,244911.867,58964.2244,8216.25696,12083.8231,5481.84025,7223.24873,22644.7469,134873.679,96161.7218,282285.613,1.19e-05,0.000346024,0.000297472,0.000213751,9.06e-05,0.000265881,0.000558112,0.000443258,0.000455607,0.000437158,9.96e-05,0.000120618,7.52e-05,9.11e-05,0.000206584,0.000421444,0.000250014,0.001006242,"Quinone oxidoreductase, YhdH/YhfP family OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1797 PE=4 SV=1",0.000218459,0.000190082,0.000485659,0.000219117,0.000124275,0.000559233,0.87,2.22,0.57,2.55,0.425,0.099,0.279,0.172,-0.2009126939259964,1.1505596765753814,-0.8109661756099832,1.3504972470841332
E4PF97,7.0,7.0,31.9567125,Succinic semialdehyde dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3404 PE=3 SV=1,8608.84423,91193.2988,89530.128,13833.2529,46076.228,106411.742,254947.437,333520.427,503078.248,8617.14743,142400.13,6698.76284,42710.5321,57572.6119,10067.9422,163381.564,152042.121,120910.937,0.000130037,0.000457427,0.000513846,0.00015639,0.000637933,0.000616202,0.000633622,0.000859446,0.000935871,6.39e-05,0.0017258,6.69e-05,0.000585519,0.000726033,9.18e-05,0.000510523,0.000395299,0.000431002,Succinic semialdehyde dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3404 PE=3 SV=1,0.000367104,0.000470175,0.000809646,0.000618851,0.0004678,0.000445608,1.28,2.21,0.76,0.72,0.073,0.002,0.384,0.397,0.35614381022527536,1.144046369616707,-0.3959286763311392,-0.4739311883324124
E4PQU1,21.0,21.0,95.590482,Isocitrase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3234 PE=4 SV=1,178234.409,1416808.03,1050801.03,121069.247,204605.038,940534.182,5213414.84,3499582.95,6718786.42,295803.332,267332.143,263684.301,190445.738,217818.854,257268.714,4806399.04,4246695.98,3032224.34,0.002692249,0.007106738,0.006030924,0.001368737,0.00283279,0.005446386,0.012956923,0.009018047,0.012498882,0.002193073,0.003239898,0.002632038,0.002610823,0.002746854,0.002347017,0.015018689,0.011041111,0.010808738,Isocitrase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3234 PE=4 SV=1,0.005276637,0.003215971,0.011491284,0.002688336,0.002568231,0.012289513,0.61,2.18,0.96,4.57,0.104,0.062,0.353,0.014,-0.7131188522118385,1.1243281350022019,-0.058893689053568565,2.192194165283345
E4PF58,17.0,17.0,88.8023691,Phosphogluconate dehydratase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=edd PE=3 SV=1,305045.541,1598778.16,142425.776,145424.94,119123.474,190574.366,2862295.93,5600404.16,4013068.84,300190.251,172330.054,162156.377,139189.159,173302.693,137333.783,2115516.58,4297623.3,2677473.37,0.004607744,0.008019504,0.000817433,0.001644087,0.001649284,0.001103566,0.007113677,0.014431637,0.007465466,0.002225597,0.002088532,0.001618609,0.001908146,0.002185473,0.001252872,0.006610414,0.011173518,0.009544184,Phosphogluconate dehydratase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=edd PE=3 SV=1,0.00448156,0.001465646,0.00967026,0.001977579,0.001782164,0.009109372,0.33,2.16,0.9,4.61,0.129,0.03,0.157,0.019,-1.5994620704162712,1.1110313123887439,-0.15200309344504995,2.2047667506546134
E4PPW7,2.0,2.0,9.04044581,Ribosome-binding ATPase YchF OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ychF PE=3 SV=1,1256.67723,23210.2646,10321.4294,2600.98743,6394.33436,14945.4371,28158.2174,105941.691,41261.5304,7403.93093,5408.35146,4771.34187,1287.53316,3557.22237,14753.3335,12816.3526,56140.9214,118081.138,1.9e-05,0.000116423,5.92e-05,2.94e-05,8.85e-05,8.65e-05,7e-05,0.000273,7.68e-05,5.49e-05,6.55e-05,4.76e-05,1.77e-05,4.49e-05,0.000134592,4e-05,0.000145962,0.000420915,Ribosome-binding ATPase YchF OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ychF PE=3 SV=1,6.49e-05,6.82e-05,0.000139913,5.6e-05,6.57e-05,0.000202308,1.05,2.16,1.17,3.61,0.43,0.108,0.413,0.168,0.070389327891398,1.1110313123887439,0.22650852980867975,1.8519988371124463
E4PFS3,13.0,13.0,49.8414767,Phosphoenolpyruvate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppsA PE=3 SV=1,46493.5156,232832.566,137461.136,79781.6505,37391.0965,174568.658,518333.577,835576.944,1226017.51,141728.401,53501.2698,92591.3698,45138.9165,48365.1474,85871.7975,422407.688,774450.893,579444.015,0.000702289,0.001167893,0.000788939,0.000901964,0.000517686,0.001010881,0.001288217,0.002153192,0.002280746,0.001050768,0.000648402,0.000924226,0.00061881,0.00060992,0.000783393,0.001319909,0.002013518,0.0020655,Phosphoenolpyruvate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppsA PE=3 SV=1,0.000886374,0.000810177,0.001907385,0.000874465,0.000670708,0.001799642,0.91,2.15,0.77,2.06,0.408,0.03,0.113,0.055,-0.13606154957602837,1.1043366598147355,-0.3770696490798233,1.0426443374084937
E4PQV4,12.0,12.0,50.202306,Twin-arginine translocation pathway signal OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3247 PE=3 SV=1,151603.652,3210789.44,1040616.26,195727.093,198818.077,993370.058,7504317.33,7469753.46,7778831.59,650057.883,276376.416,231410.637,267371.249,252526.178,185375.509,6186414.41,7996108.01,3221897.69,0.002289989,0.016105386,0.00597247,0.002212774,0.002752669,0.005752345,0.018650513,0.019248748,0.014470871,0.0048195,0.003349509,0.002309889,0.003665396,0.003184539,0.001691148,0.019330861,0.020789318,0.011484852,Twin-arginine translocation pathway signal OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3247 PE=3 SV=1,0.008122615,0.003572596,0.017456711,0.003492966,0.002847028,0.017201677,0.44,2.15,0.82,4.92,0.205,0.068,0.076,0.015,-1.1844245711374275,1.1043366598147355,-0.2863041851566411,2.298658315564515
E4PMN9,3.0,3.0,8.54433012,30S ribosomal protein S4 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsD PE=3 SV=1,6865.00448,41539.7698,40983.5262,14058.5364,29269.2428,44013.0456,90250.6905,350420.311,26134.1199,30642.6701,33079.1349,28889.4351,21493.6455,29692.5612,8539.84408,23741.5116,299345.064,95952.3643,0.000103697,0.000208364,0.000235219,0.000158937,0.000405237,0.000254868,0.0002243,0.000902995,4.86e-05,0.000227183,0.000400898,0.000288368,0.000294657,0.000374445,7.79e-05,7.42e-05,0.000778276,0.000342034,30S ribosomal protein S4 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsD PE=3 SV=1,0.000182427,0.000273014,0.000391971,0.000305483,0.000249003,0.000398165,1.5,2.15,0.82,1.3,0.118,0.251,0.28,0.305,0.5849625007211562,1.1043366598147355,-0.2863041851566411,0.37851162325372983
E4PQB5,11.0,11.0,54.3087425,Inorganic pyrophosphatase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppa PE=3 SV=1,44367.5596,1686411.27,343091.579,112241.51,57326.3858,297830.824,2206248.63,2889700.91,5733715.86,142226.494,126620.149,189757.882,49521.6504,159782.91,184560.647,2571705.94,2746061.66,2825105.69,0.000670177,0.008459074,0.001969126,0.001268935,0.000793693,0.00172466,0.005483199,0.007446447,0.010666366,0.001054461,0.001534557,0.001894121,0.000678893,0.002014979,0.001683714,0.008035881,0.007139567,0.010070438,Inorganic pyrophosphatase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppa PE=3 SV=1,0.003699459,0.00126243,0.007865338,0.001494379,0.001459195,0.008415295,0.34,2.13,0.98,5.63,0.226,0.139,0.453,0.006,-1.5563933485243853,1.0908534304511135,-0.029146345659516508,2.493134922305505
E4PNU3,4.0,4.0,11.0695875,Imidazole glycerol phosphate synthase subunit HisF OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisF PE=3 SV=1,6122.18337,9539.78834,11841.7914,29322.5041,2744.19103,9755.93379,50844.0051,43382.8394,108817.071,8503.17971,7322.73306,14168.6125,6597.92596,10826.1665,7433.52008,34865.4129,49470.4397,23593.8369,9.25e-05,4.79e-05,6.8e-05,0.000331503,3.8e-05,5.65e-05,0.000126363,0.000111793,0.000202431,6.3e-05,8.87e-05,0.000141428,9.05e-05,0.000136526,6.78e-05,0.000108945,0.00012862,8.41e-05,Imidazole glycerol phosphate synthase subunit HisF OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisF PE=3 SV=1,6.94e-05,0.000141997,0.000146862,9.77e-05,9.83e-05,0.000107223,2.05,2.12,1.01,1.1,0.238,0.061,0.495,0.402,1.0356239097307212,1.0840642647884746,0.014355292977070054,0.13750352374993502
E4PQ94,3.0,3.0,13.102442,Phosphoribosyl-ATP pyrophosphatase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisE PE=3 SV=1,13248.9378,61291.093,18963.3354,17087.0878,19383.9523,23503.1177,163335.724,172932.775,239177.42,64830.9231,9132.50222,9964.26939,7677.09561,11172.7561,25305.0257,125877.505,157718.224,134285.535,0.000200127,0.000307437,0.000108837,0.000193176,0.000268374,0.0001361,0.000405939,0.000445629,0.000444939,0.000480654,0.00011068,9.95e-05,0.000105245,0.000140897,0.000230853,0.000393333,0.000410056,0.000478677,Phosphoribosyl-ATP pyrophosphatase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisE PE=3 SV=1,0.000205467,0.000199217,0.000432169,0.000230265,0.000158998,0.000427356,0.97,2.1,0.69,1.86,0.388,0.03,0.345,0.152,-0.043943347587597055,1.070389327891398,-0.5353317329965558,0.8953026213333067
E4PPH5,3.0,3.0,10.6336801,Protein GrpE OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=grpE PE=3 SV=1,48318.4885,267603.063,193008.959,371400.403,70466.4223,258932.06,1028562.55,488905.416,1543378.56,331378.699,81393.4654,109364.018,93165.7656,121311.831,230016.129,640555.76,871930.761,617415.799,0.000729856,0.001342303,0.001107748,0.004198831,0.000975619,0.001499408,0.002556291,0.001259856,0.002871129,0.002456827,0.000986438,0.001091647,0.001277211,0.001529831,0.002098396,0.002001562,0.002266959,0.002200855,Protein GrpE OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=grpE PE=3 SV=1,0.001059969,0.002224619,0.002229092,0.001511637,0.001635146,0.002156459,2.1,2.1,1.08,1.43,0.213,0.101,0.435,0.182,1.070389327891398,1.070389327891398,0.11103131238874395,0.5160151470036647
E4PNR6,2.0,2.0,5.98627257,Uncharacterized conserved protein UCP030820 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1796 PE=4 SV=1,2501.5493,67025.8701,14060.5686,3695.51426,7859.65302,19759.544,64985.2298,232594.267,100394.346,4705.54255,24818.5165,14577.1347,2013.46131,23632.8945,25148.5093,29893.9186,165176.746,243925.663,3.78e-05,0.000336203,8.07e-05,4.18e-05,0.000108818,0.000114422,0.000161508,0.00059937,0.000186762,3.49e-05,0.000300785,0.000145506,2.76e-05,0.000298028,0.000229425,9.34e-05,0.000429448,0.000869503,Uncharacterized conserved protein UCP030820 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1796 PE=4 SV=1,0.000151563,8.83e-05,0.00031588,0.000160392,0.000185019,0.00046412,0.58,2.08,1.15,2.89,0.262,0.04,0.247,0.143,-0.7858751946471527,1.0565835283663676,0.2016338611696504,1.5310694927259543
E4PRJ2,3.0,3.0,14.7161288,Thiol:disulfide interchange protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3325 PE=3 SV=1,19205.7395,86606.571,26642.6442,13053.093,27772.5093,29594.5123,200219.066,255834.766,356768.312,38687.7711,21392.801,25393.3915,8531.44338,12982.1095,18733.3801,140155.563,157074.331,43986.296,0.000290105,0.00043442,0.000152912,0.00014757,0.000384515,0.000171374,0.000497605,0.000659259,0.000663692,0.000286829,0.000259267,0.000253471,0.000116958,0.000163714,0.000170901,0.000437948,0.000408382,0.000156795,Thiol:disulfide interchange protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3325 PE=3 SV=1,0.000292479,0.000234486,0.000606852,0.000266523,0.000150524,0.000334375,0.8,2.07,0.56,1.25,0.17,0.043,0.025,0.248,-0.3219280948873623,1.0496307677246004,-0.8365012677171204,0.32192809488736235
E4PQL0,4.0,4.0,14.2941718,Cysteine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=cysM PE=3 SV=1,18286.0099,90247.1871,47347.4197,50777.4709,17142.0468,31838.0716,291306.859,268981.276,348411.979,83726.2957,29197.1741,40499.5951,15296.8727,35195.8155,39091.1662,179367.787,311082.477,214933.358,0.000276212,0.000452682,0.000271744,0.00057406,0.000237334,0.000184366,0.000723986,0.000693136,0.000648147,0.000620743,0.000353851,0.000404258,0.000209705,0.000443845,0.000356622,0.000560476,0.000808793,0.000766156,Cysteine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=cysM PE=3 SV=1,0.000333546,0.00033192,0.000688423,0.000459617,0.000336724,0.000711808,1.0,2.06,0.73,1.55,0.496,0.014,0.249,0.126,0.0,1.0426443374084937,-0.4540316308947075,0.632268215499513
E4PKY3,2.0,2.0,6.91054106,"Hydrolase, alpha/beta fold family protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_260 PE=4 SV=1",3867.49554,18447.4094,6333.12044,7955.91134,15975.244,2979.77449,24314.3457,102977.983,28897.1804,5856.45134,7904.50542,15146.3763,6662.20346,13136.6411,5515.9167,26036.6327,62238.2173,84208.9834,5.84e-05,9.25e-05,3.63e-05,8.99e-05,0.00022118,1.73e-05,6.04e-05,0.000265363,5.38e-05,4.34e-05,9.58e-05,0.000151188,9.13e-05,0.000165663,5.03e-05,8.14e-05,0.000161815,0.000300173,"Hydrolase, alpha/beta fold family protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_260 PE=4 SV=1",6.24e-05,0.00010946,0.000126516,9.68e-05,0.000102439,0.000181115,1.75,2.03,1.06,1.87,0.196,0.181,0.463,0.064,0.8073549220576041,1.0214797274104515,0.08406426478847455,0.903038270112912
E4PNU6,4.0,4.0,22.5800114,Imidazoleglycerol-phosphate dehydratase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisB PE=3 SV=1,59012.6231,145188.702,116646.907,62489.6175,48831.2071,88398.448,626279.484,497456.014,932754.677,61498.8084,77522.6214,35079.5727,41997.9432,78930.4894,78647.2911,586969.486,612818.132,292533.535,0.000891392,0.00072827,0.000669478,0.00070647,0.000676076,0.000511892,0.001556495,0.00128189,0.001735193,0.000455949,0.000939526,0.000350156,0.00057575,0.000995371,0.000717485,0.00183412,0.001593284,0.001042772,Imidazoleglycerol-phosphate dehydratase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisB PE=3 SV=1,0.000763047,0.00063148,0.001524526,0.000581877,0.000762869,0.001490059,0.83,2.0,1.31,2.56,0.041,0.02,0.098,0.031,-0.2688167584278,1.0,0.3895668117627256,1.3561438102252754
E4PF98,2.0,2.0,10.0809805,Histone deacetylase superfamily OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3405 PE=3 SV=1,3834.92721,25772.133,27406.8845,9450.84089,1624.4518,38542.0274,7347.65717,87601.6521,236593.315,5990.58279,1439.59336,5677.41329,1497.83573,2256.0383,3122.53507,69495.2269,99275.2807,65024.0073,5.79e-05,0.000129274,0.000157298,0.000106846,2.25e-05,0.000223187,1.83e-05,0.00022574,0.000440132,4.44e-05,1.74e-05,5.67e-05,2.05e-05,2.85e-05,2.85e-05,0.000217154,0.000258109,0.000231786,Histone deacetylase superfamily OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3405 PE=3 SV=1,0.000114833,0.000117508,0.000228044,3.95e-05,2.58e-05,0.000235683,1.02,1.99,0.65,5.97,0.483,0.175,0.192,0.006,0.02856915219677092,0.9927684307689242,-0.6214883767462701,2.5777309314900805
E4PPF5,2.0,2.0,5.79026914,"von Willebrand factor, type A OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1878 PE=4 SV=1",0.0,1578.27755,4254.58429,1805.85422,30.6846802,7337.38428,750.545377,11870.0652,16675.317,0.82129696,524.972508,0.77162084,375.8639,981.648259,14677.649,16314.5917,44713.7919,737.559441,0.0,7.92e-06,2.44e-05,2.04e-05,4.25e-07,4.25e-05,1.87e-06,3.06e-05,3.1e-05,6.09e-09,6.36e-06,7.7e-09,5.15e-06,1.24e-05,0.000133902,5.1e-05,0.000116253,2.63e-06,"von Willebrand factor, type A OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1878 PE=4 SV=1",1.08e-05,2.11e-05,2.12e-05,2.13e-06,5.05e-05,5.66e-05,1.96,1.96,23.75,26.64,0.184,0.121,0.188,0.11,0.9708536543404835,0.9708536543404835,4.569855608330948,4.735522177296538
E4PMW4,3.0,3.0,9.46035767,Type 4 fimbrial biogenesis protein PilQ OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_478 PE=3 SV=1,17511.9744,100812.586,25506.9077,42117.4779,12708.3819,28801.6744,281862.059,236176.63,261724.325,33899.3738,4631.94002,20556.4884,21427.8161,6743.5265,28022.1579,150743.653,139618.44,175485.59,0.00026452,0.000505678,0.000146393,0.000476155,0.00017595,0.000166783,0.000700513,0.000608602,0.000486883,0.000251328,5.61e-05,0.00020519,0.000293754,8.5e-05,0.000255641,0.000471033,0.000362998,0.00062554,Type 4 fimbrial biogenesis protein PilQ OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_478 PE=3 SV=1,0.00030553,0.000272963,0.000598666,0.000170885,0.000211479,0.000486524,0.89,1.96,1.24,2.85,0.428,0.049,0.012,0.016,-0.16812275880832692,0.9708536543404835,0.3103401206121505,1.5109619192773793
E4PN47,5.0,5.0,16.2958796,Adenosylhomocysteinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ahcY PE=3 SV=1,12480.2955,130708.701,20017.7915,2734.06811,8912.9631,26079.9713,97568.85,497879.323,178834.564,63248.2362,47399.5777,1179.7075,6163.65487,55899.3147,4332.76195,23849.5163,144526.637,218074.58,0.000188516,0.000655638,0.000114889,3.09e-05,0.000123401,0.000151022,0.000242488,0.001282981,0.000332684,0.00046892,0.000574453,1.18e-05,8.45e-05,0.000704931,3.95e-05,7.45e-05,0.000375759,0.000777354,Adenosylhomocysteinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ahcY PE=3 SV=1,0.000319681,0.000101778,0.000619384,0.000351716,0.000276319,0.000409212,0.32,1.94,0.79,1.16,0.161,0.11,0.34,0.444,-1.6438561897747246,0.9560566524124029,-0.3400754415976217,0.21412480535284734
E4PJZ2,2.0,2.0,6.25471091,D-isomer specific 2-hydroxyacid dehydrogenase family protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3938 PE=4 SV=1,646.312281,20703.3226,240.803007,7372.7192,9302.89695,303.980467,31565.4835,31746.366,33449.0947,5487.91062,24731.5075,21739.3858,1610.32594,32987.1275,469.575278,21874.8131,36840.9622,13252.0113,9.76e-06,0.000103848,1.38e-06,8.34e-05,0.0001288,1.76e-06,7.84e-05,8.18e-05,6.22e-05,4.07e-05,0.00029973,0.000216998,2.21e-05,0.000415992,4.28e-06,6.84e-05,9.58e-05,4.72e-05,D-isomer specific 2-hydroxyacid dehydrogenase family protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3938 PE=4 SV=1,3.83e-05,7.13e-05,7.42e-05,0.000185805,0.000147451,7.05e-05,1.86,1.93,0.79,0.38,0.133,0.171,0.363,0.126,0.8953026213333067,0.9486008474933557,-0.3400754415976217,-1.3959286763311392
E4PF72,24.0,24.0,121.237474,Malate synthase G OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=glcB PE=3 SV=1,155057.045,2456442.68,881585.446,346225.738,323909.871,818910.624,4793709.26,5887020.64,5902855.88,489914.056,324041.377,688402.052,201915.875,272684.105,584152.276,3094128.03,6500543.01,2736733.72,0.002342152,0.012321567,0.005059735,0.003914221,0.004484585,0.004742096,0.011913827,0.015170217,0.010981015,0.003632201,0.003927178,0.006871475,0.002768068,0.003438745,0.005329117,0.009668308,0.016900955,0.009755425,Malate synthase G OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=glcB PE=3 SV=1,0.006574485,0.004380301,0.012688353,0.004810285,0.00384531,0.012108229,0.67,1.93,0.8,2.52,0.262,0.044,0.044,0.067,-0.5777669993169522,0.9486008474933557,-0.3219280948873623,1.3334237337251917
E4PL71,3.0,3.0,9.93719506,6-phosphogluconate dehydrogenase domain protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1515 PE=4 SV=1,10287.6542,85978.8421,26254.6234,7201.93449,26560.5737,44837.4219,86094.5089,263375.218,283238.045,7604.49866,51113.9155,319910.002,14419.6402,42269.6685,43760.7889,152212.023,120965.597,117009.999,0.000155396,0.000431272,0.000150685,8.14e-05,0.000367736,0.000259642,0.000213971,0.000678689,0.000526904,5.64e-05,0.000619469,0.00319327,0.000197679,0.000533051,0.000399222,0.000475621,0.000314502,0.000417097,6-phosphogluconate dehydrogenase domain protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1515 PE=4 SV=1,0.000245784,0.000236266,0.000473188,0.001289706,0.000376651,0.000402407,0.96,1.93,0.29,0.31,0.444,0.066,0.217,0.228,-0.058893689053568565,0.9486008474933557,-1.7858751946471527,-1.6896598793878495
E4PNU5,4.0,4.0,11.4979503,Imidazole glycerol phosphate synthase subunit HisH OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisH PE=3 SV=1,10522.9748,32427.7694,16573.3019,10892.4271,17102.8176,14500.83,98292.7842,84859.0523,178461.94,22569.1017,20907.393,10028.6011,7239.12574,19047.3464,8491.10799,53091.228,85298.9705,93170.2434,0.000158951,0.000162658,9.51e-05,0.000123143,0.000236791,8.4e-05,0.000244287,0.000218673,0.000331991,0.000167326,0.000253384,0.000100103,9.92e-05,0.000240201,7.75e-05,0.000165896,0.000221771,0.000332117,Imidazole glycerol phosphate synthase subunit HisH OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisH PE=3 SV=1,0.00013891,0.000147968,0.000264984,0.000173605,0.000138968,0.000239928,1.07,1.91,0.8,1.38,0.406,0.077,0.089,0.255,0.09761079662642233,0.9335726382610239,-0.3219280948873623,0.46466826700344427
E4PHT4,8.0,8.0,34.4598048,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gatB PE=3 SV=1,30942.8442,114776.7,25625.1179,7890.07423,37874.4445,20739.6984,276760.807,396412.368,294117.195,11325.9776,33993.4815,9516.72532,27484.6479,23916.0907,4764.99682,168583.598,117380.245,207121.259,0.000467395,0.000575722,0.000147072,8.92e-05,0.000524378,0.000120098,0.000687835,0.001021512,0.000547143,8.4e-05,0.00041198,9.5e-05,0.000376787,0.000301599,4.35e-05,0.000526778,0.00030518,0.000738309,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gatB PE=3 SV=1,0.00039673,0.000244559,0.000752163,0.000196981,0.000240619,0.000523423,0.62,1.9,1.22,2.66,0.156,0.018,0.381,0.141,-0.6896598793878495,0.925999418556223,0.28688114778816154,1.411426245726465
E4PR26,8.0,8.0,24.4864681,Adenylate kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=adk PE=3 SV=1,94822.9259,1322015.08,408258.802,133454.502,148750.954,416498.64,3683478.41,1720735.82,3263257.65,197869.001,226627.811,146834.744,122796.368,173398.418,271016.798,2134011.9,2946530.53,818928.797,0.00143231,0.006631255,0.002343144,0.001508757,0.002059481,0.002411834,0.009154565,0.00443415,0.006070601,0.001466992,0.002746587,0.001465671,0.001683417,0.00218668,0.002472438,0.006668206,0.007660772,0.002919173,Adenylate kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=adk PE=3 SV=1,0.003468903,0.001993357,0.006553105,0.001893083,0.002114179,0.005749384,0.57,1.89,1.12,3.04,0.221,0.198,0.337,0.043,-0.8109661756099832,0.9183862344463479,0.16349873228287956,1.6040713236688608
