Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description,Unnamed: 37,log2FC.L.LGnM,log2FC.L.LGmM,log2FC.D.LGnM,log2FC.D.LGmM
Q7U3T1,SYNW2348,14.0,14.0,0.000322239,0.00081426,0.000496146,0.000370924,0.000583931,0.00032027,0.001131881,0.003184624,0.000780945,0.000374801,0.000479527,0.00043641,0.000874246,0.001487256,0.000204823,0.000899886,0.001079943,0.000798427,0.000544215,0.000425042,0.00169915,0.000430246,0.000855442,0.000926085,0.148789461,0.781018293,0.103245739,3.12220435,0.179326113,1.988260901,0.009772725,2.152453998,Enolase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=eno PE=3 SV=1,,-0.3565717553404493,1.6425649655936891,0.9915070807845089,1.105982404838631
Q7U8X4,SYNW0485,14.0,14.0,0.007968536,0.007240999,0.013386839,0.008810032,0.010520574,0.013308305,0.011294792,0.010145543,0.010689542,0.009376806,0.010815383,0.013315464,0.007249719,0.006938476,0.013779018,0.008343923,0.009624977,0.010745486,0.009532125,0.010879637,0.010709959,0.011169218,0.009322404,0.009571462,0.15542504,1.141365394,0.302873975,1.123564738,0.14028989,0.834651481,0.041023848,0.85695007,Allophycocyanin alpha chain OS=Synechococcus sp. (strain WH8102) OX=84588 GN=apcA PE=3 SV=1,,0.19076072652769324,0.16808325268943314,-0.26075418663587807,-0.22271694639773912
Q7U839,SYNW0785,14.0,14.0,0.00043048,0.00020002,0.000870704,0.000857671,0.001212631,0.00070397,0.001523468,0.001403502,0.000878659,0.000402345,0.000608976,0.000510454,0.000549012,0.000852475,0.000523438,0.000574982,0.001047741,0.00077437,0.000500401,0.000924757,0.001268543,0.000507258,0.000641642,0.000799031,0.169394983,1.84803178,0.090815676,2.535051876,0.091012058,1.264921166,0.032365606,1.575194883,Phosphoribulokinase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=cbbP PE=3 SV=1,,0.8859895665235448,1.3420152701012704,0.3390474742753971,0.6555303297837226
Q7U715,SYNW1171,14.0,14.0,0.000257389,0.000432398,0.000218471,0.000269732,0.000264048,0.00022472,0.000364203,0.000516199,0.000331608,0.00029725,0.000254259,0.00017757,0.000354954,0.000407392,0.000371814,0.000396509,0.000534461,0.000213135,0.000302752,0.000252833,0.000404003,0.000243026,0.000378053,0.000381368,0.244068333,0.835115845,0.003830568,1.334435094,0.039598754,1.555607274,0.099818452,1.569246433,Aminotransferase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=aspC PE=3 SV=1,,-0.2599517566843431,0.41622913549743745,0.6374778859243527,0.6500719295843298
Q7U9S3,SYNW0180,14.0,14.0,0.000185713,0.000280746,0.000271532,0.000216306,0.000263851,0.000289832,0.000282603,0.000205147,0.000341095,0.000186419,0.000252087,0.0001925,0.000111983,0.000179809,0.000120119,0.000182302,0.000311022,0.000216365,0.000245997,0.000256663,0.000276282,0.000210335,0.000137304,0.000236563,0.265851399,1.04335922,0.31427502,1.123110531,4.63118e-05,0.652785794,0.143517242,1.124694644,2-dehydro-3-deoxyphosphooctonate aldolase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=kdsA PE=3 SV=1,,0.06123595142298714,0.16749991765707994,-0.6153184333327879,0.16953336110055678
Q7U5L3,SYNW1690,14.0,14.0,0.000157933,0.000141754,0.000137446,0.000163099,0.000132553,0.000163488,0.000196871,0.000148391,0.000160003,0.000162646,0.000125328,0.000132666,0.00012886,0.000196078,5.73955e-05,0.00014739,0.000192026,0.000197041,0.000145711,0.000153047,0.000168422,0.000140213,0.000127445,0.000178819,0.273904555,1.050345543,0.067605928,1.155863129,0.398255786,0.908932653,0.144113592,1.275332875,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=murE PE=3 SV=1",,0.07086402423712335,0.20897057188380655,-0.13775469241780305,0.3508738544824619
Q7U794,SYNW1091,14.0,14.0,0.000550945,0.000708104,0.000346715,0.000542461,0.000381907,0.000487497,0.000380404,0.00058648,0.000803808,0.000245484,0.000490792,0.000190688,0.000237032,0.000426086,0.000118545,0.000262237,0.000350976,0.000753739,0.000535255,0.000470622,0.00059023,0.000308988,0.000260554,0.000455651,0.342496093,0.879247631,0.405310014,1.102709326,0.068812583,0.843251036,0.28115906,1.47465585,Elongation factor Ts OS=Synechococcus sp. (strain WH8102) OX=84588 GN=tsf PE=3 SV=1,,-0.18565855215552468,0.14105254686377006,-0.24596590917892147,0.5603783026575729
Q7U5B0,SYNW1797,14.0,14.0,0.000201064,0.000232806,0.000600334,0.00014961,0.000496215,0.000398527,0.000194305,0.000803099,0.000671064,0.000530575,0.000376565,0.000794131,0.000288015,0.000622594,0.000167995,0.000245276,0.000555165,0.001076182,0.000344735,0.000348117,0.000556156,0.00056709,0.000359535,0.000625541,0.491276024,1.009812338,0.181406899,1.613286836,0.248650003,0.633999399,0.384730443,1.103071267,"Putative iron ABC transporter, substrate binding protein OS=Synechococcus sp. (strain WH8102) OX=84588 GN=futA,sfuA PE=4 SV=1",,0.014087209618582843,0.6900029667546024,-0.6574466221254093,0.1415260032829061
Q7U645,SYNW1495,13.0,13.0,0.001534962,0.001829498,0.001074755,0.002018358,0.002279397,0.001645054,0.001905351,0.004069445,0.001989791,0.002221385,0.002346004,0.002269897,0.001964149,0.004020575,0.00132115,0.00241907,0.002593346,0.003087423,0.001479738,0.001980936,0.002654862,0.002279095,0.002435291,0.002699946,0.002542638,1.338707193,0.084248169,1.794143245,0.430336938,1.068534274,0.08427414,1.184657075,Uroporphyrinogen decarboxylase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=hemE PE=3 SV=1,,0.4208404435589155,0.8432950801128356,0.09563318421372771,0.24446949980191787
Q7U7W9,SYNW0860,13.0,13.0,0.000274871,0.000243158,0.000198768,0.000312588,0.000270543,0.000244681,0.000227823,0.000266726,0.000243949,0.000264482,0.000216267,0.000224209,0.000414064,0.000382235,0.000138893,0.000362117,0.000324803,0.000309562,0.000238932,0.000275937,0.000246166,0.000234986,0.000311731,0.000332161,0.010172474,1.154876287,0.409673632,1.030275975,0.22210231,1.326592999,0.002357557,1.413533782,Putative glucosylglycerolphosphate phosphatase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=stpA PE=4 SV=1,,0.20773831511245583,0.04303083685917089,0.40772581728777213,0.4993063625051217
Q7U984,SYNW0374,13.0,12.0,0.000395787,0.000273483,0.000265443,0.000475831,0.000375607,0.000321795,0.000417669,0.000810421,0.000438986,0.000377963,0.000319089,0.000347415,0.000653795,0.000694188,0.00022856,0.000553271,0.000504195,0.00057046,0.000311571,0.000391078,0.000555692,0.000348155,0.000525515,0.000542642,0.013267809,1.255180124,0.12562247,1.783516161,0.180358168,1.509426245,0.002777692,1.558620915,Putative urea binding protein OS=Synechococcus sp. (strain WH8102) OX=84588 GN=urtA2 PE=4 SV=1,,0.327894412267542,0.8347242885767584,0.5940002642564055,0.6402700809845766
Q7U9U3,SYNW0160,13.0,13.0,0.001277189,0.000935088,0.000812887,0.001629139,0.001083744,0.001091881,0.00160308,0.001593512,0.001477085,0.001245006,0.000900468,0.000984999,0.00268809,0.002218002,0.000571548,0.002125642,0.001555534,0.001794519,0.001008388,0.001268255,0.001557892,0.001043491,0.00182588,0.001825231,0.02428543,1.257705481,0.019501083,1.544933905,0.160762887,1.749780607,0.003588037,1.74915877,Uncharacterized protein OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW0160 PE=4 SV=1,,0.3307941234518872,0.6275451184089866,0.8071740437517541,0.8066612476904771
Q7U6H1,SYNW1367,13.0,13.0,0.000433662,0.000262644,0.000275039,0.000473749,0.000308953,0.000358781,0.000321561,0.001269659,0.000514332,0.000382532,0.000199581,0.00031783,0.000629549,0.000505892,0.0001631,0.00053794,0.000449904,0.000744184,0.000323782,0.000380494,0.000701851,0.000299981,0.000432847,0.000577343,0.026610274,1.175156756,0.185510926,2.167665754,0.227869224,1.442912976,0.036519649,1.924596172,Carotenoid binding protein OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW1367 PE=3 SV=1,,0.23285321297736777,1.1161423156296952,0.528984291596832,0.9445557643681991
Q7U9E4,SYNW0314,13.0,13.0,0.000155093,0.000281235,0.000372837,0.000301404,0.000496152,0.000739483,0.000351751,0.000597633,0.000453107,0.000179178,0.00042264,0.000862894,0.000202218,0.000425146,0.00083171,0.000280019,0.000828296,0.001076683,0.000269722,0.000512346,0.000467497,0.000488237,0.000486358,0.000728333,0.032520784,1.899534934,0.050549816,1.733255893,0.458108063,0.996150628,0.057128622,1.491759785,Phycobilisome rod-core linker polypeptide cpcG (L-RC 28.5) OS=Synechococcus sp. (strain WH8102) OX=84588 GN=cpcG1 PE=3 SV=1,,0.9256462445878868,0.7934846656398822,-0.005564186089948846,0.5770152400901829
Q7U9Q6,SYNW0197,13.0,13.0,8.03558e-05,8.92281e-05,7.12528e-05,0.000254766,0.000196665,6.86036e-05,0.000575973,0.000982456,0.000204745,7.54125e-05,0.000162631,7.89134e-05,0.000616374,0.000921191,4.95029e-05,0.000671469,0.000861036,0.000292978,8.02789e-05,0.000173345,0.000587725,0.000105652,0.000529023,0.000608494,0.106577561,2.159280316,0.073421721,7.321036591,0.106665724,5.007211812,0.038106968,5.759408901,Histidine--tRNA ligase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=hisS PE=3 SV=1,,1.1105505450055435,2.8720479352329162,2.324007484712397,2.5259207527517087
Q7U5D6,SYNW1771,13.0,13.0,6.66672e-05,4.61744e-05,0.000121652,0.000152909,0.00017814,0.000101445,0.000160734,0.000168052,0.000167642,8.10061e-05,8.1241e-05,5.76745e-05,0.000180481,0.000150212,4.42417e-05,0.000122808,6.38988e-05,0.000117971,7.81645e-05,0.000144165,0.000165476,7.33072e-05,0.000124978,0.000101559,0.140372719,1.844379893,0.029410423,2.117018718,0.132576238,1.704855722,0.175466359,1.38538889,Proline--tRNA ligase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=proS PE=3 SV=1,,0.8831358430229057,1.0820340252483807,0.769649652467951,0.4702910094307556
Q7U9W2,SYNW0140,13.0,13.0,0.000262339,0.000229632,0.000171453,0.000228072,0.000161244,0.000179398,0.000305112,0.00031037,0.00034767,0.000204157,0.000149777,0.00011221,0.000215092,0.000210145,3.8172e-05,0.000314348,0.000319603,0.000259313,0.000221141,0.000189571,0.000321051,0.000155382,0.00015447,0.000297754,0.144488407,0.857240095,0.064101694,1.451788918,0.491786692,0.99413116,0.007285843,1.916279194,Phosphomethylpyrimidine synthase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=thiC PE=3 SV=1,,-0.222228765282517,0.5378317087800775,-0.00849188958022973,0.9383077711238146
Q7U5L4,SYNW1689,13.0,13.0,0.000336404,0.000402875,0.000412971,0.00041746,0.000461662,0.000382563,0.000375245,0.000632712,0.000678003,0.000374997,0.000394472,0.000322406,0.00032442,0.000841478,0.000266305,0.00050531,0.000588203,0.000770264,0.000384083,0.000420562,0.000561987,0.000363958,0.000477401,0.000621259,0.198113452,1.09497469,0.063485854,1.463189237,0.283288673,1.311692375,0.058811106,1.706950458,Putative L-cysteine/cystine lyase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW1689 PE=4 SV=1,,0.13089752276389738,0.5491163679905227,0.39142941119067337,0.7714211866404458
Q7U920,SYNW0439,13.0,13.0,0.001063086,0.001057489,0.000788835,0.001072113,0.000667917,0.000762484,0.000861562,0.000852189,0.001052454,0.000889436,0.000785816,0.000742041,0.000751059,0.000917974,0.000338815,0.000933619,0.000834236,0.001104027,0.000969804,0.000834171,0.000922068,0.000805764,0.000669283,0.000957294,0.199255199,0.860144738,0.394053737,0.950778258,0.235177826,0.830618625,0.143277255,1.188057486,Uncharacterized protein OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW0439 PE=4 SV=1,,-0.2173486499270421,-0.0728191821772932,-0.2677418731440638,0.2486046448597432
Q7U5Q6,SYNW1644,13.0,13.0,0.000631837,0.002253562,0.00057296,0.000160654,0.000230048,0.000930115,0.000266571,0.000596859,0.000418831,0.000429355,0.001348841,0.00037069,0.000212513,0.00026802,0.000347875,0.000250256,0.000402131,0.000765303,0.001152786,0.000440273,0.00042742,0.000716295,0.000276136,0.000472564,0.207296413,0.381920393,0.131233753,0.370771425,0.154279758,0.385505811,0.297270518,0.659732879,Cell division protein FtsZ OS=Synechococcus sp. (strain WH8102) OX=84588 GN=ftsZ PE=3 SV=1,,-1.388656138806283,-1.4313980337700318,-1.3751754878269566,-0.6000460888239538
Q7U4P7,SYNW2020,13.0,13.0,0.000804833,0.000806211,0.00046982,0.000888692,0.000762442,0.00056643,0.000561681,0.000827339,0.000867195,0.000753127,0.00079942,0.000605167,0.000816567,0.000611216,0.000481814,0.000658082,0.000634148,0.000952161,0.000693621,0.000739188,0.000752072,0.000719238,0.000636532,0.00074813,0.208141102,1.065693984,0.391454401,1.084268448,0.193643738,0.885009213,0.436801756,1.040170775,"15,16-dihydrobiliverdin:ferredoxin oxidoreductase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=pebA PE=3 SV=1",,0.09179322501399224,0.11672198976472123,-0.17623562107000004,0.056820409154351145
Q7U7B1,SYNW1074,13.0,13.0,0.002195168,0.002245182,0.002000812,0.002117185,0.002329556,0.002635697,0.001612673,0.001899133,0.001730358,0.002940758,0.002123065,0.001983481,0.002120485,0.002042631,0.002555759,0.002917282,0.002134351,0.002402096,0.002147054,0.002360813,0.001747388,0.002349101,0.002239625,0.002484576,0.213079539,1.099558978,0.025548256,0.813853684,0.405512343,0.953396542,0.220271725,1.057670989,Phycobilisome core component-allophycocyanin beta-18 subunit OS=Synechococcus sp. (strain WH8102) OX=84588 GN=apcF PE=3 SV=1,,0.13692498935534647,-0.2971586472526809,-0.06885170217171738,0.08089091633911237
Q7U790,SYNW1095,13.0,13.0,0.000182228,0.000178535,5.92697e-05,0.000352194,0.000177747,4.70681e-05,0.000598907,0.000706973,0.002104164,3.99499e-05,0.000104575,6.55118e-05,0.000486968,0.000498927,0.000119394,0.000545728,0.000364656,0.002180435,0.000140011,0.000192336,0.001136681,7.00123e-05,0.000368429,0.001030273,0.234073815,1.373723876,0.099057042,8.118517455,0.068215977,5.262353812,0.120279328,14.71560318,Ferredoxin-sulfite reductase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=sir PE=3 SV=1,,0.4580920458161005,3.0212162969179492,2.3957082507192573,3.879274773214603
Q7U8R1,SYNW0552,13.0,13.0,0.000309456,0.000354668,0.000246653,0.000339761,0.000303977,0.000199714,0.000323532,0.000694771,0.000573231,0.000375204,0.000321962,0.000251086,0.000390701,0.000727629,8.1882e-05,0.000459728,0.000594905,0.000766521,0.000303592,0.000281151,0.000530511,0.000316084,0.000400071,0.000607052,0.242376582,0.926079011,0.0834038,1.747446315,0.334624103,1.265709411,0.072424627,1.92053852,Phosphoribosylamine--glycine ligase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=purD PE=3 SV=1,,-0.1107928086209619,0.8052481338422092,0.3399462203820936,0.9415109001124901
Q7U7X8,SYNW0850,13.0,13.0,0.000225249,0.000257116,0.000200444,0.000347895,0.00024847,0.00018627,0.000302635,0.00038012,0.000320284,0.000316526,0.000240289,0.000159283,0.000287697,0.00026195,5.16129e-05,0.000306271,0.000275853,0.000235167,0.000227603,0.000260878,0.000334346,0.000238699,0.00020042,0.00027243,0.267159698,1.14620031,0.00922932,1.468989616,0.208045834,0.839633904,0.154012105,1.141310714,Homoserine O-acetyltransferase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=metA PE=3 SV=1,,0.1968591915560282,0.5548241978014405,-0.2521676717719341,0.1906916089121242
Q7U9Q4,SYNW0199,13.0,13.0,3.79911e-05,0.000199821,3.0038e-05,5.32481e-05,4.25037e-05,5.05956e-05,5.41027e-05,8.03558e-05,0.000132942,2.21401e-05,4.91587e-05,3.1678e-05,2.93784e-05,5.44691e-05,5.75614e-06,4.8544e-05,4.8239e-05,0.000131358,8.92833e-05,4.87825E-05,8.91336e-05,3.43256e-05,2.98679e-05,7.60471e-05,0.279939165,0.546378853,0.499182407,0.998324081,0.359271531,0.870133621,0.14962069,2.215460727,UDP-glucose dehydrogenase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=Ugd PE=3 SV=1,,-0.8720264481232399,-0.0024198683487695245,-0.200691131222867,1.1476067527031053
Q7U5D4,SYNW1773,13.0,13.0,3.90491e-05,8.97546e-05,7.09382e-05,2.86467e-05,5.18434e-05,8.70041e-05,4.65569e-05,0.000198776,8.17581e-05,3.13599e-05,3.64707e-05,9.04352e-05,4.4875e-05,7.18636e-05,4.13038e-06,7.91737e-05,7.66017e-05,7.20412e-05,6.65807e-05,5.58314E-05,0.00010903,5.27553e-05,4.02897e-05,7.59389e-05,0.280799771,0.838553032,0.165229437,1.637569577,0.385463696,0.763709119,0.1914787,1.439456069,Adenylosuccinate synthetase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=purA PE=3 SV=1,,-0.2540260688985091,0.7115562051297172,-0.38890484469510206,0.5255237597224873
Q7U8D4,SYNW0687,13.0,13.0,0.000216649,9.46218e-05,0.000846929,0.000555111,0.000578837,0.000484377,0.001078739,0.001221125,0.000871266,0.000277918,0.000144297,0.000393642,0.000341251,0.00052089,0.000269056,0.00046188,0.000645553,0.000634472,0.000386067,0.000539442,0.001057044,0.000271952,0.000377066,0.000580635,0.308373765,1.397276024,0.090420847,2.737982457,0.273380517,1.386514205,0.043613157,2.135060635,Thioredoxin reductase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW0687 PE=3 SV=1,,0.4826170451714782,1.4531132028850078,0.4714623970323332,1.094277042478844
Q7U5B9,SYNW1788,13.0,13.0,0.000336232,0.000287915,0.000730342,0.000505208,0.000574401,0.000526652,0.00081895,0.001102306,0.000814602,0.000328241,0.000309453,0.000253556,0.000494261,0.00051923,0.000251116,0.000522674,0.000761215,0.000859614,0.000451497,0.000535421,0.000911953,0.000297083,0.000421535,0.000714501,0.313650491,1.185879444,0.080442659,2.019844313,0.097141162,1.418912088,0.036850003,2.405051238,Putative inorganic pyrophosphatase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW1788 PE=4 SV=1,,0.24595735357392653,1.0142440961855406,0.5047852066392086,1.2660676299708196
Q7U4W0,SYNW1953,13.0,13.0,0.000112776,0.000114259,0.000217554,0.00018384,0.000192963,0.000138073,0.000273754,0.000310877,0.000298459,0.000158013,0.000109031,0.000142103,0.000158438,0.000194048,6.83001e-05,0.000241654,0.000236087,0.000237471,0.000148196,0.000171625,0.000294363,0.000136382,0.000140262,0.000238404,0.34689068,1.158094849,0.025331928,1.986306753,0.470156473,1.028446865,0.007886386,1.748053565,Putative glycerol kinase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW1953 PE=3 SV=1,,0.2117534161753325,0.9900884410222227,0.04046725853836282,0.805749393520349
Q7U6N7,SYNW1301,13.0,13.0,0.00184772,0.002348592,0.001009679,0.001778864,0.001541709,0.001482554,0.00125971,0.001488189,0.001401115,0.001526844,0.0022682,0.001469532,0.001870519,0.002112387,0.001684799,0.001769142,0.001259506,0.001826867,0.00173533,0.001601042,0.001383004,0.001754859,0.001889235,0.001618505,0.375985651,0.922615271,0.22591084,0.796969002,0.232124057,1.076573958,0.392375906,0.922299387,ATP-dependent Clp protease proteolytic subunit 2 OS=Synechococcus sp. (strain WH8102) OX=84588 GN=clpP2 PE=3 SV=1,,-0.1161989229979513,-0.32740448300607977,0.10644743253327058,-0.1166929559146212
Q7U8Z7,SYNW0462,12.0,12.0,0.000208226,0.003127935,0.002663857,0.001585738,0.003992556,0.003772347,0.001653043,0.00399943,0.003085532,0.000742485,0.001747071,0.004172649,0.000628369,0.00211736,0.005625448,0.001014728,0.004948661,0.005462171,0.002000006,0.00311688,0.002912668,0.002220735,0.002790392,0.00380852,0.008568441,1.558435119,0.04554415,1.456329554,0.171891924,1.256517531,0.102841234,1.714981822,Nitrogen regulatory protein P-II OS=Synechococcus sp. (strain WH8102) OX=84588 GN=glnB PE=3 SV=1,,0.6400980937214599,0.5423368611155411,0.3294307999175929,0.7781932845908335
Q7U9T2,SYNW0171,12.0,12.0,0.000411129,0.00066986,0.000462298,0.000591882,0.001006364,0.000792843,0.000311356,0.00134871,0.0004731,0.000204851,0.000341121,0.000203184,0.000491653,0.00083239,6.60075e-05,0.000430656,0.00071833,0.000433849,0.000514429,0.00079703,0.000711055,0.000249719,0.00046335,0.000527612,0.015502011,1.549349071,0.251856069,1.382222054,0.183832328,1.85548894,0.015251516,2.112824851,Heme oxygenase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=ho1 PE=4 SV=1,,0.6316622224135031,0.4669894033315379,0.8917994015987872,1.0791731756651695
Q7U9M4,SYNW0230,12.0,12.0,0.000104959,0.000105977,0.000154023,0.000139625,0.000177778,0.000211643,0.000157515,0.000265038,0.000225436,0.000118614,8.4728e-05,0.000117995,0.000168033,0.000225483,6.35989e-05,0.000188893,0.000241621,0.000263345,0.000121653,0.000176348,0.000215996,0.000107112,0.000152372,0.000231286,0.018485762,1.449598261,0.051337738,1.77550929,0.253154802,1.422540572,0.022318697,2.159286565,Putative sarcosine oxidase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=solA PE=4 SV=1,,0.5356531297792215,0.8282329089941234,0.5084697999402836,1.1105547201875237
Q7U711,SYNW1175,12.0,12.0,0.000119637,0.000132105,0.000203432,0.000142067,0.000165037,0.000209094,0.000155526,0.000275463,0.000286117,9.91472e-05,0.00016332,0.000117392,0.000144042,0.000238022,0.000202009,0.00014174,0.000244448,0.000280468,0.000151724,0.000172066,0.000239035,0.00012662,0.000194691,0.000222219,0.062279141,1.134070073,0.053484655,1.575456583,0.014699755,1.537604939,0.057397866,1.755010305,Carboxyl-terminal processing protease OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW1175 PE=3 SV=1,,0.18150978564724113,0.6557699965936782,0.6206848753680073,0.8114795017143083
Q7U3W6,SYNW2311,12.0,12.0,0.000201541,0.000271612,0.000243924,0.001831436,0.002633929,0.000244897,0.005689681,0.022950375,0.000959856,0.000260692,0.000192514,0.000230606,0.005225631,0.012517018,0.000136193,0.002855645,0.00976363,0.000835739,0.000239026,0.001570087,0.009866637,0.000227937,0.005959614,0.004485005,0.098355732,6.568690757,0.142836181,41.2785264,0.126427537,26.14584274,0.128918873,19.67647991,Peptide chain release factor 2 OS=Synechococcus sp. (strain WH8102) OX=84588 GN=prfB PE=3 SV=1,,2.715605847471736,5.367319563871422,4.708509667165223,4.298400242870431
Q7U4R5,SYNW1999,12.0,12.0,0.000150565,0.000277275,0.000150555,0.000253539,0.000542043,0.000153932,0.000265523,0.000326905,0.000226792,0.000228398,0.000310789,0.000156227,0.000192811,0.000219116,7.33428e-05,0.000269075,0.000282886,0.000211441,0.000192799,0.000316505,0.000273073,0.000231805,0.000161757,0.000254468,0.122915541,1.641633617,0.025772546,1.416364866,0.028309697,0.697813467,0.234916646,1.097766704,Phycobilisome linker polypeptide OS=Synechococcus sp. (strain WH8102) OX=84588 GN=cpeC PE=3 SV=1,,0.7151321795411633,0.5021929621454528,-0.5190866547259003,0.13457148718102424
Q7U4U1,SYNW1972,12.0,12.0,0.001501169,0.001359455,0.00082316,0.000643972,0.000740396,0.000941319,0.000644343,0.000992069,0.000656104,0.001151407,0.001575036,0.000877542,0.000948853,0.001155363,0.000436489,0.000976549,0.000974701,0.000644273,0.001227928,0.000775229,0.000764172,0.001201328,0.000846901,0.000865174,0.131514384,0.631330893,0.075950579,0.622326513,0.021616052,0.704970888,0.063787647,0.720181536,Cell division topological specificity factor OS=Synechococcus sp. (strain WH8102) OX=84588 GN=minE PE=3 SV=1,,-0.6635317464675549,-0.684256384161319,-0.504364412702477,-0.4735674826720032
Q7U9H9,SYNW0279,12.0,12.0,0.000127015,0.000120417,0.000167613,0.000181635,0.0001741,0.000151038,0.00021907,0.000238306,0.000191411,0.000170512,0.000170425,0.000137278,0.000136088,0.000173508,0.000102991,0.000188258,0.000257361,0.000309725,0.000138349,0.000168924,0.000216262,0.000159405,0.000137529,0.000251781,0.162072027,1.221004877,0.054482261,1.563169647,0.110852272,0.862763817,0.087489846,1.579503518,Alternative thymidylate synthase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=thyX PE=4 SV=1,,0.28806896282299227,0.6444743590183967,-0.21296242155226042,0.6594711503772848
Q7U3D2,SYNW2500,12.0,12.0,2.04673e-05,6.78246e-05,4.98405e-05,6.03069e-05,0.000346841,4.57294e-05,0.000101053,0.001197987,0.000893709,1.78751e-05,2.69408e-05,2.69022e-05,0.000167589,0.000997207,1.35164e-05,0.000173853,0.00097094,0.002553924,4.60441e-05,0.000150959,0.000730916,2.3906e-05,0.000392771,0.001232906,0.17766333,3.278572874,0.080170033,15.87425664,0.174645344,16.42976214,0.112513504,51.57295392,Aconitate hydratase B OS=Synechococcus sp. (strain WH8102) OX=84588 GN=acnB PE=3 SV=1,,1.71306796251177,3.988617129802379,4.038239688874288,5.688542775361236
Q7U9W0,SYNW0142,12.0,12.0,0.000426817,0.000839672,0.000158057,8.62454e-05,0.00011854,0.000321132,0.00013092,0.000305087,0.000223748,8.16325e-05,0.000689625,0.000188922,8.08173e-05,0.000126765,0.000464442,8.15725e-05,0.000216547,0.000215881,0.000474849,0.000175306,0.000219918,0.00032006,0.000224008,0.000171334,0.18131683,0.369182549,0.140741768,0.463133098,0.367262414,0.699893598,0.228179444,0.535317217,3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Synechococcus sp. (strain WH8102) OX=84588 GN=fabF PE=3 SV=1,,-1.4375937354740602,-1.1105012313586595,-0.514792483266288,-0.9015340411862999
Q7U7Z9,SYNW0829,12.0,12.0,0.001740255,0.001586283,0.000940709,0.001688282,0.001700093,0.001327593,0.001473528,0.002517629,0.001681117,0.00164365,0.001364402,0.000903051,0.002867856,0.003127413,0.000817905,0.002253951,0.002192536,0.002316297,0.001422416,0.00157199,0.001890758,0.001303701,0.002271058,0.002254261,0.181429639,1.105154785,0.167360051,1.329258115,0.109993161,1.742008822,0.029059021,1.729124867,Uncharacterized protein OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW0829 PE=4 SV=1,,0.14424844374634227,0.41062127396976295,0.800751930149994,0.7900420555024733
Q7U807,SYNW0819,12.0,12.0,0.000129029,8.72094e-05,0.000198672,0.000308714,0.000320886,0.000121184,0.000998553,0.001704267,0.000927553,0.000161481,8.55389e-05,0.000130189,0.000585684,0.000861868,9.10318e-05,0.000465173,0.001103634,0.001115142,0.000138303,0.000250261,0.001210124,0.000125736,0.000512861,0.00089465,0.181882746,1.809507647,0.030108875,8.749775517,0.121403042,4.07886104,0.040363676,7.115280116,4-hydroxy-tetrahydrodipicolinate reductase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=dapB PE=3 SV=1,,0.8555972045690681,3.129246003840362,2.0281663577512252,2.8309205542231823
