Accession,Peptide count,Unique peptides,Confidence score,Description,Control Light 1,Control Light 2,Control Light 3,Light+100 nM glucose 1,Light+100 nM glucose 2,Light+100 nM glucose 3,Light+5 mM glucose 1,Light+5 mM glucose 2,Light+5 mM glucose 3,Control Dark 1,Control Dark 2,Control Dark 3,Dark + 100 nM glucose 1,Dark + 100 nM glucose 2,Dark + 100 nM glucose 3,Dark + 5 mM glucose 1,Dark + 5 mM glucose 2,Dark + 5 mM glucose 3,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Alteromonas_8102,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness avg,Darkness Glu nM avg,Darkness Glu mM avg,t.test G nM/L,FC G nM/L,t.test G mM/L,FC G mM/L,t.test G nM/D,FC G nM/D,t.test G mM/D,FC G mM/D,Alteromonas_8102.1,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose
A0A359K7S7,3,3,11.09052014,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,6306121.141685129,748527.529057351,437007.415092466,33935226.5004516,59691166.2429589,3486834.24662258,21856048.9148035,59443782.6626443,5108389.39450544,1289761.20006134,3042062.92885893,4811376.09020598,51631485.5819174,69746138.4880873,2035.832952,43365100.1732856,34309706.300233,5217490.84598238,0.006715993,0.000964037,0.000258039,0.019729924,0.02594881,0.002812827,0.010268551,0.016908906,0.007011301,0.001183956,0.00298489,0.004277128,0.026903485,0.025672165,2.56262e-05,0.022340255,0.010530253,0.007293101,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,0.002646023,0.016163854,0.011396253,0.002815325,0.017533759,0.01338787,0.086,6.11,0.071,4.31,0.131,6.23,0.096,4.76,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,,2.611172380044005,2.1076878693143732,2.6392321632492775,2.250961573533219,0.086,0.071,0.131,0.096
A0A359JZI0,2,2,10.52428794,50S ribosomal protein L20 (Fragment) OS=Alteromonas sp. OX=232 GN=rplT PE=4 SV=1,37353.17748,541788.8671,81117.34621,2707849.206,3521105.84,82631.45353,1569422.658,5295339.239,135071.3836,157360.7416,212600.183,61465.8576,4294796.734,4136055.491,674.6762469,4343382.564,1281594.708,257596.9837,3.9781e-05,0.000697776,4.78972e-05,0.001574342,0.001530687,6.66587e-05,0.000737356,0.00150627,0.000185386,0.000144452,0.000208605,5.46408e-05,0.002237879,0.0015224,8.49254e-06,0.002237566,0.000393344,0.000360074,50S ribosomal protein L20 (Fragment) OS=Alteromonas sp. OX=232 GN=rplT PE=4 SV=1,0.000261818,0.001057229,0.000809671,0.000135899,0.001256257,0.000996995,0.106,4.04,0.059,3.09,0.107,9.24,0.149,7.34,50S ribosomal protein L20 (Fragment) OS=Alteromonas sp. OX=232 GN=rplT PE=4 SV=1,,2.01435529297707,1.6276068381296498,3.2078928516413328,2.875780063068488,0.106,0.059,0.107,0.149
A0A359K2W9,2,2,5.776107788,50S ribosomal protein L21 OS=Alteromonas sp. OX=232 GN=rplU PE=3 SV=1,96560.71715,196341.8149,239501.5493,813579.6878,1589638.465,179319.9003,192273.1373,864375.6405,170173.7529,177644.1259,83682.79823,134807.3235,2108911.409,744919.516,2976.035544,1238702.096,452183.423,155178.3257,0.000102837,0.000252871,0.000141418,0.000473015,0.000691044,0.000144657,9.0335e-05,0.000245873,0.000233565,0.000163071,8.21101e-05,0.000119839,0.001098885,0.00027419,3.74611e-05,0.000638138,0.000138783,0.000216911,50S ribosomal protein L21 OS=Alteromonas sp. OX=232 GN=rplU PE=3 SV=1,0.000165709,0.000436239,0.000189924,0.000121673,0.000470179,0.000331277,0.092,2.63,0.275,1.15,0.185,3.86,0.128,2.72,50S ribosomal protein L21 OS=Alteromonas sp. OX=232 GN=rplU PE=3 SV=1,,1.3950627995175775,0.2016338611696504,1.9486008474933556,1.4436066514756147,0.092,0.275,0.185,0.128
A0A359K3M8,2,2,15.03112316,50S ribosomal protein L27 OS=Alteromonas sp. OX=232 GN=rpmA PE=3 SV=1,1501299.428,1244917.691,1841835.634,9718067.673,12100521.72,1021706.675,6799606.628,21539501.7,1074245.783,1037661.441,1319464.837,1179836.869,15158793.51,18373734.55,10341.30996,10714740.28,12735255.0,2138870.649,0.001598878,0.001603343,0.001087546,0.00565008,0.005260312,0.00082421,0.003194635,0.006126956,0.00147441,0.000952537,0.001294667,0.00104883,0.007898754,0.006763006,0.000130172,0.005519877,0.003908674,0.002989751,50S ribosomal protein L27 OS=Alteromonas sp. OX=232 GN=rpmA PE=3 SV=1,0.001429922,0.003911534,0.003598667,0.001098678,0.004930644,0.004139434,0.107,2.74,0.11,2.52,0.127,4.49,0.031,3.77,50S ribosomal protein L27 OS=Alteromonas sp. OX=232 GN=rpmA PE=3 SV=1,,1.4541758931858022,1.3334237337251917,2.1667154449664223,1.9145645234939397,0.107,0.11,0.127,0.031
A0A359JZE8,3,3,10.44300413,50S ribosomal protein L28 OS=Alteromonas sp. OX=232 GN=rpmB PE=3 SV=1,449726.3115,1626538.809,1002703.233,3214000.074,9785651.395,917394.5648,3265918.13,11114925.99,4120130.401,796322.6971,1022197.49,729202.2316,5048778.708,15539797.43,7960.633078,3793757.482,9494497.206,6657672.609,0.000478957,0.002094837,0.000592065,0.001868618,0.004253996,0.000740062,0.001534415,0.003161664,0.005654908,0.000730996,0.001002986,0.000648233,0.002630754,0.00571989,0.000100205,0.001954417,0.002914028,0.009306213,50S ribosomal protein L28 OS=Alteromonas sp. OX=232 GN=rpmB PE=3 SV=1,0.001055286,0.002287559,0.003450329,0.000794072,0.00281695,0.004724886,0.085,2.17,0.107,3.27,0.157,3.55,0.12,5.95,50S ribosomal protein L28 OS=Alteromonas sp. OX=232 GN=rpmB PE=3 SV=1,,1.1176950426697545,1.709290635723358,1.8278190246173196,2.572889668420581,0.085,0.107,0.157,0.12
A0A359K8B9,10,10,62.572065,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1,1367489.49805785,9854262.3113224,3599672.7256276,5767305.108709,15518243.7115104,2272686.87160019,11696645.3106237,32127702.262791,4721578.1172609,1559860.02181658,1848689.4996401,1845149.11577072,10359621.1494,23918999.1578654,33319.29538826,10269553.162731,32114138.685362,4557918.8856472,0.001456371,0.012691414,0.002125493,0.003353108,0.006746056,0.001833375,0.005495394,0.009138791,0.0064804,0.001431897,0.001813945,0.001640267,0.005398061,0.008804108,0.000419409,0.005290532,0.009856395,0.00637114,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1,0.005424426,0.003977513,0.007038195,0.001628703,0.004873859,0.007172689,0.299,0.73,0.298,1.3,0.154,2.99,0.024,4.4,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1,,-0.4540316308947075,0.37851162325372983,1.5801454844233804,2.137503523749935,0.299,0.298,0.154,0.024
A0A359K6N6,2,2,13.17251992,"6,7-dimethyl-8-ribityllumazine synthase OS=Alteromonas sp. OX=232 GN=ribH PE=3 SV=1",654993.94243054,17125.70591676,28429.9125926,802480.5137421,2829538.04547304,15134.40255465,1606734.63840525,2849775.70635877,106410.042136993,58529.36455117,35793.3913005,27842.6078365,2317540.37335115,2662494.72281195,314.5265897743,1384273.98951458,1756685.85679965,268935.994446013,0.000697566,2.20564e-05,1.6787e-05,0.000466562,0.00123005,1.22089e-05,0.000754887,0.000810625,0.000146049,5.37279e-05,3.51207e-05,2.4751e-05,0.001207595,0.000980011,3.95913e-06,0.000713132,0.000539158,0.000375924,"6,7-dimethyl-8-ribityllumazine synthase OS=Alteromonas sp. OX=232 GN=ribH PE=3 SV=1",0.00024547,0.000569607,0.00057052,3.78665e-05,0.000730522,0.000542738,0.272,2.32,0.149,2.32,0.098,19.29,0.015,14.33,"6,7-dimethyl-8-ribityllumazine synthase OS=Alteromonas sp. OX=232 GN=ribH PE=3 SV=1",,1.2141248053528473,1.2141248053528473,4.269781238274379,3.840966704487421,0.272,0.149,0.098,0.015
A0A359K381,2,2,6.446767569,60 kDa chaperonin (Fragment) OS=Alteromonas sp. OX=232 GN=groEL PE=3 SV=1,3059958.567,8789821.392,4180313.218,3981882.557,8334765.1,4370550.64,6043240.464,13613167.23,3163485.72,2888575.403,6608250.566,152329.7656,9585389.489,12057393.2,65524.22687,10459549.31,15342977.98,5315649.883,0.003258843,0.011320509,0.002468343,0.002315065,0.00362327,0.00352572,0.002839275,0.003872293,0.004341907,0.002651611,0.006484055,0.000135415,0.004994634,0.004438086,0.000824791,0.005388411,0.00470903,0.00743031,60 kDa chaperonin (Fragment) OS=Alteromonas sp. OX=232 GN=groEL PE=3 SV=1,0.005682565,0.003154685,0.003684492,0.00309036,0.003419171,0.005842584,0.22,0.56,0.275,0.65,0.411,1.11,0.202,1.89,60 kDa chaperonin (Fragment) OS=Alteromonas sp. OX=232 GN=groEL PE=3 SV=1,,-0.8365012677171204,-0.6214883767462701,0.15055967657538138,0.9183862344463479,0.22,0.275,0.411,0.202
A0A359KD18,5,5,25.26417136,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21380 PE=3 SV=1,340436.9487075,193170.9187401,309905.1715728,915964.98193927,2311938.4717424,149598.611218,2873922.8699232,3432939.822869,319005.54699298,391640.2378729,386165.4120981,277460.6415848,1390828.9495198,1760196.9835262,1772.249344145,2068628.8145416,2318391.9979403,661501.47984381,0.000362564,0.000248787,0.000182989,0.000532542,0.001005041,0.000120681,0.001350245,0.000976507,0.000437837,0.000359512,0.000378908,0.000246652,0.000724716,0.000647893,2.23083e-05,0.001065689,0.000711555,0.000924658,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21380 PE=3 SV=1,0.00026478,0.000552754,0.00092153,0.000328357,0.000464972,0.000900634,0.179,2.09,0.046,3.48,0.266,1.42,0.021,2.74,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21380 PE=3 SV=1,DEH24_21380,1.063502942306158,1.7990873060740036,0.5058909297299573,1.4541758931858022,0.179,0.046,0.266,0.021
A0A359KAW1,3,3,10.96657324,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21385 PE=3 SV=1,91172.88777,185304.5848,156687.7631,1000825.116,1408955.133,370337.175,3010314.851,3751086.04,455156.6095,29760.53382,122664.4138,329862.9439,673008.9316,1652874.007,5796.841045,1332346.599,1851657.178,152265.0277,9.70987e-05,0.000238656,9.25192e-05,0.000581879,0.000612498,0.000298751,0.001414326,0.001067004,0.000624706,2.73191e-05,0.000120359,0.000293235,0.000350683,0.00060839,7.29682e-05,0.000686381,0.000568306,0.000212839,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21385 PE=3 SV=1,0.000142758,0.000497709,0.001035345,0.000146971,0.000344014,0.000489175,0.024,3.49,0.03,7.25,0.227,2.34,0.13,3.33,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21385 PE=3 SV=1,DEH24_21385,1.8032270364349277,2.8579809951275723,1.2265085298086797,1.7355221772965375,0.024,0.03,0.227,0.13
A0A359K1M2,9,9,49.40417624,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1,1961947.777,2979809.472,3414724.711,5916821.3,13126918.13,2556390.622,10330860.66,18230913.88,7524496.692,2103315.581,3303924.63,1205706.218,12163245.01,15230281.34,22475.59946,9641708.285,15444585.85,15468144.83,0.002089466,0.00383773,0.002016287,0.003440037,0.005706504,0.002062238,0.004853712,0.005185821,0.010327425,0.00193077,0.00324183,0.001071826,0.006337871,0.005605963,0.000282913,0.004967087,0.004740216,0.021621647,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1,0.002647828,0.00373626,0.006788986,0.002081476,0.004075583,0.010442983,0.091,1.41,0.095,2.56,0.159,1.96,0.152,5.02,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1,,0.49569516262406876,1.3561438102252754,0.9708536543404835,2.327687364176047,0.091,0.095,0.159,0.152
A0A359KBC6,2,2,7.100719452,Aconitate hydratase (Fragment) OS=Alteromonas sp. OX=232 GN=acnD PE=4 SV=1,1728519.3064525,4940756.420136,1413425.25245442,1568317.1125329,1440922.95064937,1820708.25586545,504126.61438977,454215.952166338,929558.80244737,218713.3800737,3411355.3916019,549426.64437436,190564.05349851,469128.04635609,43515.2601232109,159788.79190262,1052517.40444585,406775.86866282,0.001840866,0.006363255,0.000834583,0.000911819,0.000626395,0.001468764,0.000236852,0.000129203,0.001275826,0.000200771,0.003347242,0.000488419,9.92967e-05,0.000172677,0.000547752,8.23179e-05,0.000323036,0.000568599,Aconitate hydratase (Fragment) OS=Alteromonas sp. OX=232 GN=acnD PE=4 SV=1,0.003012901,0.001002326,0.000547294,0.001345478,0.000273242,0.000324651,0.202,0.33,0.169,0.18,0.208,0.2,0.208,0.24,Aconitate hydratase (Fragment) OS=Alteromonas sp. OX=232 GN=acnD PE=4 SV=1,,-1.5994620704162712,-2.473931188332412,-2.321928094887362,-2.0588936890535687,0.202,0.169,0.208,0.208
A0A359K084,8,8,42.32279265,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1,11426352.5450411,9031362.63515005,3302682.71134399,2678068.15961345,31311098.2511867,5447996.81058168,4012797.3301626,29682712.4243976,20871497.9160728,2601633.38802303,2605066.82648916,3333236.09971867,3319960.4545109,37474736.3439837,98418.2196302311,5796034.78033028,31587307.8218456,36780365.5426982,0.012169018,0.011631592,0.00195013,0.001557028,0.01361149,0.004394895,0.001885319,0.008443309,0.02864628,0.002388209,0.002556107,0.002963119,0.001729923,0.013793705,0.001238847,0.002985924,0.009694701,0.051412247,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1,0.00858358,0.006521138,0.012991636,0.002635811,0.005587492,0.021364291,0.339,0.76,0.367,1.51,0.276,2.12,0.169,8.11,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1,,-0.3959286763311392,0.5945485495503542,1.0840642647884746,3.0197019144425483,0.339,0.367,0.276,0.169
A0A2D5LGS0,6,6,46.59847379,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,7309757.04254026,10323104.9604657,6055528.60437268,87840986.7806529,126942273.397659,6096851.5843559,126278280.855232,164394338.85197,15933305.2998098,9013519.505157,7609348.548168781,6135265.8417409295,122478182.546189,142820497.948685,148134.3368,121842874.553084,196658019.571511,11932672.7749288,0.007784861,0.013295241,0.003575598,0.051070707,0.05518406,0.004918326,0.059328882,0.046762308,0.021868575,0.008274096,0.007466338,0.005454015,0.063819392,0.052569383,0.001864652,0.062769389,0.060357811,0.016679702,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,0.008218567,0.037057698,0.042653255,0.007064817,0.039417809,0.046602301,0.085,4.51,0.035,5.19,0.109,5.58,0.054,6.6,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,,2.1731274334806563,2.3757345385831563,2.4802651220544627,2.722466024471091,0.085,0.035,0.109,0.054
A0A359K020,5,5,16.32097507,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,241445.1008,355574.3525,292039.6235,3824378.201,4970037.907,211498.5366,8079292.464,11085063.58,2967740.332,649966.3273,639304.0504,289131.4874,6990668.492,8383088.529,12324.20675,7118423.314,10216030.3,4329439.348,0.000257138,0.000457948,0.00017244,0.002223492,0.002160564,0.000170616,0.003795866,0.003153169,0.004073245,0.000596646,0.000627289,0.000257027,0.00364261,0.003085648,0.000155132,0.003667174,0.00313548,0.006051767,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,0.000295842,0.001518224,0.003674093,0.000493654,0.002294463,0.004284807,0.093,5.13,0.005,12.42,0.102,4.65,0.032,8.68,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,DEH24_02300,2.3589588258323295,3.634593268445757,2.2172307162206693,3.1176950426697547,0.093,0.005,0.102,0.032
A0A359K825,4,4,11.97275853,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,5773781.0928333,3946073.21691666,2328088.4638834,6061682.75208923,7042778.77988494,2639804.71760552,6654803.82092173,17414574.1699726,3234361.7827437,12642502.6591522,1747812.21590382,1875832.86017832,5376951.63194318,9434643.434721,74850.447569056,5290210.79985417,20033956.4539459,3026403.42336678,0.006149053,0.005082192,0.001374663,0.003524259,0.003061621,0.002129529,0.003126603,0.004953611,0.004439185,0.011605376,0.001714964,0.001667543,0.002801754,0.003472704,0.000942186,0.00272534,0.006148774,0.00423036,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,0.004201969,0.002905136,0.004173133,0.004995961,0.002405548,0.004368158,0.169,0.69,0.494,0.99,0.251,0.48,0.447,0.87,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,DEH24_15900,-0.5353317329965558,-0.014499569695115089,-1.0588936890535685,-0.2009126939259964,0.169,0.494,0.251,0.447
A0A359K1T7,4,4,18.00094414,Adenylosuccinate synthetase OS=Alteromonas sp. OX=232 GN=purA PE=3 SV=1,32524.52169,1488317.896,141551.8462,652994.2014,1879468.621,134337.8215,2932321.433,5203853.569,527654.2712,35674.88976,199766.6342,146227.8709,771954.1195,1737868.581,2980.03649,1165454.076,3809884.007,459728.0555,3.46385e-05,0.001916821,8.35819e-05,0.000379651,0.000817038,0.00010837,0.001377682,0.001480247,0.000724209,3.27483e-05,0.000196012,0.000129991,0.00040224,0.000639675,3.75114e-05,0.000600403,0.001169321,0.000642616,Adenylosuccinate synthetase OS=Alteromonas sp. OX=232 GN=purA PE=3 SV=1,0.000678347,0.00043502,0.001194046,0.000119584,0.000359809,0.000804113,0.317,0.64,0.212,1.76,0.144,3.01,0.021,6.72,Adenylosuccinate synthetase OS=Alteromonas sp. OX=232 GN=purA PE=3 SV=1,,-0.6438561897747247,0.8155754288625726,1.5897634869849773,2.7484612330040354,0.317,0.212,0.144,0.021
A0A359JZV2,2,2,7.357955217,AIRS (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_01790 PE=4 SV=1,2331745.563,7043648.159,3202654.514,1271237.234,2144178.009,1752101.139,911503.1802,1025061.212,897951.6378,2990606.528,5140399.945,1221108.8,583432.5198,992487.1008,18879.02178,710560.4904,1815189.57,701228.6491,0.002483299,0.009071593,0.001891066,0.000739097,0.000932112,0.001413419,0.000428248,0.000291581,0.001232445,0.002745272,0.005043791,0.001085519,0.000304008,0.000365315,0.000237641,0.000366057,0.000557114,0.00098019,AIRS (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_01790 PE=4 SV=1,0.004481986,0.001028209,0.000650758,0.002958194,0.000302321,0.000634454,0.141,0.23,0.133,0.15,0.07,0.1,0.104,0.21,AIRS (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_01790 PE=4 SV=1,DEH24_01790,-2.1202942337177118,-2.736965594166206,-3.321928094887362,-2.2515387669959646,0.141,0.133,0.07,0.104
A0A359K3R5,2,2,16.66331244,Alanine dehydrogenase OS=Alteromonas sp. OX=232 GN=ald PE=3 SV=1,2973199.99798723,2541086.80152449,898080.128401113,2478662.91493214,2106909.3057325,1064923.28833496,11128075.385618,11525554.8912903,822425.72144195,2044433.54504525,2554241.37977661,905149.031236531,2948733.7745957,1441938.0913658,35239.3429161384,4083900.931035,6447976.2471045,1582360.59763391,0.003166446,0.003272694,0.000530288,0.001441093,0.000915911,0.000859073,0.005228265,0.003278468,0.001128785,0.001876719,0.002506237,0.000804643,0.001536489,0.000530749,0.000443578,0.00210389,0.001978998,0.002211852,Alanine dehydrogenase OS=Alteromonas sp. OX=232 GN=ald PE=3 SV=1,0.002323142,0.001072026,0.003211839,0.001729199,0.000836939,0.002098246,0.131,0.46,0.142,1.38,0.121,0.48,0.29,1.21,Alanine dehydrogenase OS=Alteromonas sp. OX=232 GN=ald PE=3 SV=1,,-1.1202942337177118,0.46466826700344427,-1.0588936890535685,0.27500704749986976,0.131,0.142,0.121,0.29
A0A359K3B3,4,4,19.65635633,Alanine--tRNA ligase OS=Alteromonas sp. OX=232 GN=alaS PE=3 SV=1,711489.2077,482051.848,511566.6949,1206462.783,2354287.221,486037.6879,2318399.416,4752032.885,1198357.483,484438.1802,574057.6838,884044.4134,2421376.116,4386372.514,7704.02942,2403193.827,5546272.279,2005671.589,0.000757733,0.00062084,0.000302064,0.000701437,0.00102345,0.000392086,0.001089245,0.001351726,0.001644754,0.000444697,0.000563269,0.000785881,0.0012617,0.001614536,9.69751e-05,0.001238045,0.001702249,0.002803563,Alanine--tRNA ligase OS=Alteromonas sp. OX=232 GN=alaS PE=3 SV=1,0.000560212,0.000705658,0.001361908,0.000597949,0.000991071,0.001914619,0.197,1.26,0.056,2.43,0.273,1.66,0.034,3.2,Alanine--tRNA ligase OS=Alteromonas sp. OX=232 GN=alaS PE=3 SV=1,,0.3334237337251918,1.2809563138310562,0.7311832415721999,1.6780719051126378,0.197,0.056,0.273,0.034
A0A359K919,3,3,15.39962602,Aldehyde dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_18290 PE=4 SV=1,2277795.892,2667229.861,1815805.856,1417409.331,2977345.742,2503440.423,833786.654,3371600.493,4391570.079,1173624.458,3959079.111,1774211.553,1527384.344,5132394.451,46682.40405,1302096.566,5138518.051,12199272.98,0.002425843,0.003435155,0.001072176,0.000824081,0.001294305,0.002019524,0.000391735,0.000959059,0.006027461,0.001077346,0.003884672,0.001577206,0.00079587,0.001889132,0.000587618,0.000670797,0.001577102,0.01705236,Aldehyde dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_18290 PE=4 SV=1,0.002311058,0.001379303,0.002459418,0.002179741,0.001090874,0.00643342,0.216,0.6,0.478,1.06,0.08,0.5,0.265,2.95,Aldehyde dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_18290 PE=4 SV=1,DEH24_18290,-0.7369655941662062,0.08406426478847455,-1.0,1.560714954474479,0.216,0.478,0.08,0.265
A0A359K159,4,4,19.57790315,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1,2766472.177,1326023.131,213143.7686,23469670.58,32345130.32,270164.9673,41316583.95,75179478.41,2878708.324,1615806.503,1231853.512,292502.4793,46317116.76,49086889.53,6935.786299,41225621.08,75239054.37,1850854.546,0.002946281,0.0017078,0.000125855,0.013645255,0.014061002,0.000217942,0.019411626,0.021384958,0.003951048,0.001483254,0.001208702,0.000260023,0.024134341,0.018067907,8.73047e-05,0.021238066,0.023092191,0.002587157,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1,0.001593312,0.009308067,0.014915877,0.000983993,0.014096518,0.015639138,0.091,5.84,0.055,9.36,0.098,14.33,0.071,15.89,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1,DEH24_01620,2.5459683691052923,3.2265085298086795,3.840966704487421,3.9900472195737944,0.091,0.055,0.098,0.071
A0A359KBT9,3,3,11.39570212,"Alpha-1,4 glucan phosphorylase OS=Alteromonas sp. OX=232 GN=DEH24_19170 PE=3 SV=1",198748.4368,717249.2881,127518.7512,279386.7636,625493.9626,243219.3982,680163.3969,1191159.525,197673.5348,212610.1561,269992.1044,162442.7325,103802.4088,199768.0288,2304.770889,167177.4684,913985.1806,178589.5837,0.000211666,0.000923753,7.52958e-05,0.000162435,0.000271913,0.000196205,0.000319559,0.000338828,0.000271308,0.000195169,0.000264918,0.000144405,5.40881e-05,7.35306e-05,2.90115e-05,8.61243e-05,0.000280518,0.000249636,"Alpha-1,4 glucan phosphorylase OS=Alteromonas sp. OX=232 GN=DEH24_19170 PE=3 SV=1",0.000403572,0.000210185,0.000309898,0.000201497,5.22101e-05,0.000205426,0.248,0.52,0.37,0.77,0.011,0.26,0.478,1.02,"Alpha-1,4 glucan phosphorylase OS=Alteromonas sp. OX=232 GN=DEH24_19170 PE=3 SV=1",DEH24_19170,-0.9434164716336325,-0.3770696490798233,-1.9434164716336324,0.02856915219677092,0.248,0.37,0.011,0.478
A0A359K7Z8,2,2,6.07758069,Aminotransferase OS=Alteromonas sp. OX=232 GN=DEH24_16445 PE=3 SV=1,33569.02464,15932.76661,29507.35952,859108.0078,2164625.522,60629.54957,2169411.492,5444541.518,189359.3982,146103.3292,59217.68444,40160.27242,2079717.689,2965277.16,1135.381171,2065293.318,5173225.805,183268.7128,3.57509e-05,2.052e-05,1.74232e-05,0.000499485,0.000941001,4.89098e-05,0.001019247,0.001548711,0.000259897,0.000134118,5.81047e-05,3.57009e-05,0.001083673,0.00109146,1.42917e-05,0.00106397,0.001587754,0.000256176,Aminotransferase OS=Alteromonas sp. OX=232 GN=DEH24_16445 PE=3 SV=1,2.45647e-05,0.000496465,0.000942618,7.59745e-05,0.000729808,0.0009693,0.104,20.21,0.066,38.37,0.097,9.61,0.071,12.76,Aminotransferase OS=Alteromonas sp. OX=232 GN=DEH24_16445 PE=3 SV=1,DEH24_16445,4.33699741660501,5.261906859828068,3.2645364309990255,3.673556423990145,0.104,0.066,0.097,0.071
A0A359JZQ6,3,3,17.01186299,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1,1221777.617,1199096.247,315071.4761,2322894.921,2461668.246,296122.6759,5401691.746,7340009.621,4003019.049,826169.7961,988751.3441,299535.7128,4137777.678,7861232.511,46233.93818,4114281.254,9272100.891,881029.7917,0.001301188,0.001544329,0.00018604,0.00135053,0.001070131,0.000238882,0.002537858,0.002087881,0.005494172,0.000758395,0.000970169,0.000266276,0.002156061,0.002893563,0.000581973,0.002119541,0.002845771,0.001231519,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1,0.001010519,0.000886514,0.003373304,0.000664946,0.001877199,0.00206561,0.276,0.88,0.126,3.34,0.062,2.82,0.017,3.11,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1,,-0.18442457113742744,1.7398481026993275,1.4956951626240689,1.6369145803558778,0.276,0.126,0.062,0.017
