Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light1,Light2,Light3,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Alteromonas_MED4,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose
A0A359JZQ6,2.0,2.0,8.592723608,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1,16167.94163,8282.45071,33921.09791,121.155074,3294.581706,11879.81538,141761.0591,9087.191434,252233.5896,10255.34935,5826.249586,7980.886279,4566.999754,6908.336371,12346.43762,98938.38885,2201.014105,91852.61775,0.00087958,0.0003,0.00092,4.8e-06,0.00015,0.00035,0.00259,0.00026,0.00217,0.00023,0.00025,0.00034,0.0002,0.00028,0.00046,0.00199,5.8e-05,0.00115,Arginine--tRNA ligase OS=Alteromonas sp. OX=232 GN=argS PE=3 SV=1,0.00069726,0.00017,0.0016752,0.00027523,0.00031479,0.00106635,0.2,2.4,1.1,3.9,0.065,0.101,0.225,0.147,,-2.321928094887362,1.2630344058337937,0.13750352374993502,1.9634741239748859,0.065,0.101,0.225,0.147
A0A2D5LJN7,2.0,2.0,6.092041969,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,25265.3391,10575.15672,93666.06182,37302.56633,8993.629308,83058.32897,187154.0309,53535.29341,533252.5391,38778.19296,4329.730013,45632.41617,13993.78716,9759.653238,50879.64044,161654.905,66203.0526,1878582.839,0.0013745,0.00038,0.00253,0.00149,0.00041,0.00247,0.00342,0.00155,0.00459,0.00088,0.00018,0.00197,0.00062,0.0004,0.0019,0.00325,0.00174,0.02358,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,0.0014273,0.00145708,0.0031872,0.00101146,0.00097142,0.00952223,1.0,2.2,1.0,9.4,0.3,0.013,0.4,0.162,,0.0,1.1375035237499351,0.0,3.232660756790275,0.3,0.013,0.4,0.162
A0A359K7S7,2.0,2.0,10.82051229,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,65095.99314,36392.11938,135190.57,87818.79496,19339.60108,104823.8222,636566.7745,100343.8118,107041.9913,157617.8325,60084.58629,42289.21379,45088.18673,47399.17626,37660.7327,336770.2218,57658.64544,1562602.805,0.00354139,0.0013,0.00365,0.0035,0.00089,0.00312,0.01164,0.00291,0.00092,0.00358,0.00256,0.00183,0.00199,0.00194,0.0014,0.00677,0.00151,0.01961,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,0.00283117,0.00250202,0.0051562,0.00265478,0.00177729,0.0092985,0.9,1.8,0.7,3.5,0.076,0.268,0.067,0.182,,-0.15200309344504995,0.8479969065549501,-0.5145731728297583,1.8073549220576042,0.076,0.268,0.067,0.182
A0A359KA81,3.0,3.0,19.89300871,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,17736.18647,36700.2519,29379.27282,13411.43509,19047.1877,15423.65908,151038.101,76105.13816,51748.44468,42052.45998,13848.06216,14386.43956,14332.64392,10113.0298,27510.21854,98431.66203,117958.6714,3186153.043,0.00096489,0.00131,0.00079,0.00053,0.00088,0.00046,0.00276,0.00221,0.00045,0.00095,0.00059,0.00062,0.00063,0.00041,0.00103,0.00198,0.0031,0.03999,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,0.00102367,0.00062301,0.0018041,0.00072193,0.00069068,0.01502248,0.6,1.8,1.0,20.8,0.003,0.168,0.45,0.186,,-0.7369655941662062,0.8479969065549501,0.0,4.37851162325373,0.003,0.168,0.45,0.186
A0A359K4J1,2.0,2.0,7.288661242,Succinate--CoA ligase [ADP-forming] subunit beta OS=Alteromonas sp. OX=232 GN=sucC PE=3 SV=1,26048.14753,99921.1298,60734.40712,97959.90258,9533.316899,64032.20459,77407.67284,257143.3304,268187.6858,44690.41998,5388.24396,5707.800478,24193.46916,6181.415836,3353.127275,53301.8133,149574.3271,324539.2399,0.00141709,0.00357,0.00164,0.0039,0.00044,0.00191,0.00142,0.00745,0.00231,0.00101,0.00023,0.00025,0.00107,0.00025,0.00013,0.00107,0.00393,0.00407,Succinate--CoA ligase [ADP-forming] subunit beta OS=Alteromonas sp. OX=232 GN=sucC PE=3 SV=1,0.00221046,0.00208148,0.0037248,0.00049674,0.00048196,0.00302432,0.9,1.7,1.0,6.1,0.472,0.167,0.405,0.089,,-0.15200309344504995,0.765534746362977,0.0,2.608809242675524,0.472,0.167,0.405,0.089
A0A359K084,3.0,3.0,12.4875071,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1,74504.93907,################,402571.1502,178023.7898,51775.59073,590129.9067,581201.9481,1693958.978,822863.5616,199378.1884,174944.414,191140.2468,62762.59409,168793.7512,254862.3762,344684.8664,533399.8193,1168706.538,0.00405326,0.02692,0.01087,0.00709,0.00238,0.01757,0.01063,0.04909,0.00708,0.00452,0.00746,0.00825,0.00277,0.0069,0.00951,0.00693,0.01401,0.01467,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1,0.01394851,0.00901209,0.0222648,0.00674526,0.00639078,0.01186831,0.6,1.6,0.9,1.8,0.333,0.193,0.362,0.032,,-0.7369655941662062,0.6780719051126377,-0.15200309344504995,0.8479969065549501,0.333,0.193,0.362,0.032
A0A359K6X5,2.0,2.0,8.05146265,Phosphoribosylamine--glycine ligase OS=Alteromonas sp. OX=232 GN=purD PE=3 SV=1,61628.42898,################,145305.3012,60708.97374,73016.12786,132477.2636,261550.0263,333532.6206,624443.5389,130503.7326,55920.72853,170074.2092,67427.2275,62359.43989,77906.27711,236031.3877,221480.8569,299063.634,0.00335274,0.0054,0.00392,0.00242,0.00336,0.00394,0.00478,0.00967,0.00537,0.00296,0.00238,0.00734,0.00298,0.00255,0.00291,0.00474,0.00582,0.00375,Phosphoribosylamine--glycine ligase OS=Alteromonas sp. OX=232 GN=purD PE=3 SV=1,0.00422448,0.00323952,0.0066068,0.00422923,0.00281016,0.00477133,0.8,1.6,0.7,1.1,0.12,0.064,0.223,0.411,,-0.3219280948873623,0.6780719051126377,-0.5145731728297583,0.13750352374993502,0.12,0.064,0.223,0.411
A0A359K482,6.0,6.0,28.12420917,Polyribonucleotide nucleotidyltransferase OS=Alteromonas sp. OX=232 GN=pnp PE=3 SV=1,198698.1867,193122.2701,331456.9607,396253.8796,263094.8232,264734.4565,925026.4517,76102.65621,1946938.926,602604.6356,181956.051,110643.4567,336092.5228,173179.1879,227800.3846,731556.5291,76429.26302,916047.5386,0.01080968,0.00691,0.00895,0.01577,0.0121,0.00788,0.01691,0.00221,0.01675,0.01367,0.00776,0.00478,0.01484,0.00707,0.0085,0.0147,0.00201,0.0115,Polyribonucleotide nucleotidyltransferase OS=Alteromonas sp. OX=232 GN=pnp PE=3 SV=1,0.00888927,0.01191844,0.0119571,0.00873647,0.01013718,0.0094024,1.3,1.3,1.2,1.1,0.139,0.258,0.194,0.435,,0.37851162325372983,0.37851162325372983,0.2630344058337938,0.13750352374993502,0.139,0.258,0.194,0.435
A0A359K1M2,6.0,6.0,26.29504323,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1,169077.5058,################,392520.7737,103251.8232,119217.8482,236445.6201,495411.5384,################,443704.7506,24888.93616,121471.2545,125741.8158,174929.6613,94130.33163,123751.8937,343386.9329,941454.1929,601503.4137,0.00919824,0.0241,0.0106,0.00411,0.00548,0.00704,0.00906,0.04332,0.00382,0.00056,0.00518,0.00543,0.00772,0.00385,0.00462,0.0069,0.02473,0.00755,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1,0.01463203,0.00554402,0.018731,0.00372433,0.00539507,0.01305875,0.4,1.3,1.4,3.5,0.099,0.326,0.303,0.109,,-1.3219280948873622,0.37851162325372983,0.48542682717024166,1.8073549220576042,0.099,0.326,0.303,0.109
A0A359K162,3.0,3.0,9.250632524,Elongation factor G (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_03810 PE=4 SV=1,5500.36718,5625.325083,19285.7628,7752.874827,5496.290617,31874.60008,21766.11749,7253.658418,66242.99039,14115.16149,6588.777386,3690.30703,7092.89964,6169.065708,39923.56009,13059.52633,2007.83291,376939.004,0.00029923,0.0002,0.00052,0.00031,0.00025,0.00095,0.0004,0.00021,0.00057,0.00032,0.00028,0.00016,0.00031,0.00025,0.00149,0.00026,5.3e-05,0.00473,Elongation factor G (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_03810 PE=4 SV=1,0.0003404,0.00050344,0.0003927,0.00025352,0.00068474,0.00168213,1.5,1.2,2.7,6.6,0.173,0.091,0.219,0.23,DEH24_03810,0.5849625007211562,0.2630344058337938,1.4329594072761063,2.722466024471091,0.173,0.091,0.219,0.23
A0A359K358,2.0,2.0,6.567899704,Dihydrolipoyl dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07870 PE=4 SV=1,76565.28415,36319.69038,113380.5265,43590.33928,97561.31239,109984.3882,293629.3285,96431.26889,84497.44581,53611.32212,66788.20139,128731.8133,80417.56543,37025.9462,105078.032,390021.3413,52590.63024,587388.3781,0.00416535,0.0013,0.00306,0.00174,0.00449,0.00327,0.00537,0.00279,0.00073,0.00122,0.00285,0.00556,0.00355,0.00151,0.00392,0.00784,0.00138,0.00737,Dihydrolipoyl dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07870 PE=4 SV=1,0.002842,0.00316542,0.0029635,0.00320725,0.0029942,0.0055307,1.1,1.0,0.9,1.7,0.43,0.465,0.441,0.213,DEH24_07870,0.13750352374993502,0.0,-0.15200309344504995,0.765534746362977,0.43,0.465,0.441,0.213
A0A359K7X6,2.0,2.0,7.053440332,Two-component system response regulator ArcA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_12445 PE=4 SV=1,1952.045929,6186.070124,12371.67174,4485.772948,2365.49687,8212.464945,8741.933671,3722.587867,34327.13612,7607.212639,12298.90343,4117.393227,5800.373947,4172.012193,6515.865688,7782.627888,16559.65098,169883.3333,0.0001062,0.00022,0.00033,0.00018,0.00011,0.00024,0.00016,0.00011,0.0003,0.00017,0.00052,0.00018,0.00026,0.00017,0.00024,0.00016,0.00043,0.00213,Two-component system response regulator ArcA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_12445 PE=4 SV=1,0.00022051,0.00017728,0.0001877,0.00029162,0.00022319,0.00090787,0.8,0.9,0.8,3.1,0.267,0.284,0.34,0.227,DEH24_12445,-0.3219280948873623,-0.15200309344504995,-0.3219280948873623,1.632268215499513,0.267,0.284,0.34,0.227
A0A359K053,5.0,5.0,22.57481551,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,361962.1902,157286.1771,1719255.436,592453.0139,188700.0485,2472015.005,769811.6733,526121.2105,1948198.258,634268.0257,130183.0332,1095000.362,247534.3561,131733.0008,1282365.157,577200.3064,374638.504,1028586.584,0.01969166,0.00563,0.04642,0.02359,0.00868,0.07359,0.01408,0.01525,0.01676,0.01439,0.00555,0.04727,0.01093,0.00538,0.04783,0.0116,0.00984,0.01291,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,0.02391339,0.03528502,0.0153615,0.02240404,0.02137989,0.01144983,1.5,0.6,1.0,0.5,0.143,0.266,0.247,0.227,,0.5849625007211562,-0.7369655941662062,0.0,-1.0,0.143,0.266,0.247,0.227
A0A359K919,3.0,3.0,15.47012711,Aldehyde dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_18290 PE=4 SV=1,230474.4677,539980.9886,3533275.164,315815.7988,333919.3813,2993161.871,572434.5029,939648.0413,1514056.321,911449.7544,551701.6155,348698.9344,501152.3687,565072.3851,454680.1613,487038.9805,905531.1841,822729.8769,0.0125384,0.01932,0.0954,0.01257,0.01536,0.08911,0.01047,0.02723,0.01303,0.02068,0.02353,0.01505,0.02213,0.02308,0.01696,0.00979,0.02378,0.01033,Aldehyde dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_18290 PE=4 SV=1,0.04241916,0.03901167,0.0169077,0.01975393,0.02072373,0.01463217,0.9,0.4,1.0,0.7,0.103,0.233,0.155,0.127,DEH24_18290,-0.15200309344504995,-1.3219280948873622,0.0,-0.5145731728297583,0.103,0.233,0.155,0.127
A0A359KBQ3,3.0,3.0,9.562964439,Dihydroxy-acid dehydratase OS=Alteromonas sp. OX=232 GN=ilvD PE=3 SV=1,182456.2697,202894.5197,115859.3483,127037.6465,278404.8268,70406.62251,99937.96121,137304.6169,250235.1077,413013.6414,470583.5506,95393.58652,379312.2639,429437.1573,96128.52181,78800.79547,148522.7022,197140.0944,0.00992608,0.00726,0.00313,0.00506,0.0128,0.0021,0.00183,0.00398,0.00215,0.00937,0.02007,0.00412,0.01675,0.01754,0.00359,0.00158,0.0039,0.00247,Dihydroxy-acid dehydratase OS=Alteromonas sp. OX=232 GN=ilvD PE=3 SV=1,0.00677079,0.00665227,0.0026531,0.01118602,0.01262583,0.00265291,1.0,0.4,1.1,0.2,0.486,0.094,0.34,0.09,,0.0,-1.3219280948873622,0.13750352374993502,-2.321928094887362,0.486,0.094,0.34,0.09
A0A359K381,2.0,2.0,6.333188772,60 kDa chaperonin (Fragment) OS=Alteromonas sp. OX=232 GN=groEL PE=3 SV=1,500331.7586,707987.5787,5053426.293,451750.65,302924.31,1758876.097,1044579.07,957936.48,1508912.235,340983.172,237136.3053,3636963.439,415432.7306,187169.3888,1971839.339,1120460.013,1946799.952,666506.3699,0.02721932,0.02533,0.13645,0.01798,0.01393,0.05236,0.0191,0.02776,0.01298,0.00774,0.01011,0.157,0.01834,0.00765,0.07354,0.02252,0.05113,0.00837,60 kDa chaperonin (Fragment) OS=Alteromonas sp. OX=232 GN=groEL PE=3 SV=1,0.06299811,0.02809223,0.0199473,0.05828285,0.03317775,0.02733743,0.4,0.3,0.6,0.5,0.146,0.199,0.242,0.327,,-1.3219280948873622,-1.7369655941662063,-0.7369655941662062,-1.0,0.146,0.199,0.242,0.327
A0A359K340,6.0,6.0,23.61630845,GMP synthase [glutamine-hydrolyzing] OS=Alteromonas sp. OX=232 GN=guaA PE=3 SV=1,484325.6874,310274.4271,1235075.503,605606.043,312541.968,1512828.388,142407.0743,323045.7829,114526.4858,526039.5766,40354.12407,1027338.043,382765.1062,38271.27259,1216385.637,141034.8871,145676.0443,734175.2874,0.02634854,0.0111,0.03335,0.02411,0.01437,0.04504,0.0026,0.00936,0.00099,0.01194,0.00172,0.04435,0.0169,0.00156,0.04537,0.00283,0.00383,0.00922,GMP synthase [glutamine-hydrolyzing] OS=Alteromonas sp. OX=232 GN=guaA PE=3 SV=1,0.02359876,0.02783973,0.0043168,0.01933489,0.0212774,0.00529178,1.2,0.2,1.1,0.3,0.202,0.084,0.168,0.165,,0.2630344058337938,-2.321928094887362,0.13750352374993502,-1.7369655941662063,0.202,0.084,0.168,0.165
A0A359K568,2.0,2.0,7.688580275,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1,305578.5896,80995.89744,4809411.168,507668.1776,100743.501,3547971.278,77479.94981,126373.0309,95712.15975,287741.7652,32841.83315,2766507.149,117523.8829,41794.89518,3653493.666,49666.45076,73182.2651,703207.3539,0.01662425,0.0029,0.12986,0.02021,0.00463,0.10562,0.00142,0.00366,0.00082,0.00653,0.0014,0.11942,0.00519,0.00171,0.13626,0.001,0.00192,0.00883,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1,0.04979393,0.0434886,0.0019674,0.0424509,0.04771996,0.0039155,0.9,0.0,1.1,0.1,0.278,0.181,0.23,0.199,,-0.15200309344504995,,0.13750352374993502,-3.321928094887362,0.278,0.181,0.23,0.199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
