 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SputW3181_1428,fliG,269.8,125.6,223.4,0.47,0.83,1.78,flagellar motor switching and energizing component FliG,Cellular processes,Motility,Flagellar motility,Cytoplasm,,Sputw3181_1428,tier1:Gene abbreviation
SputW3181_1430,fliI,138.6,68.9,32.8,0.5,0.24,0.48,flagellar protein export ATPase FliI,Transport and binding proteins,Secretion systems,Flagellar motility,Cytoplasm,,Sputw3181_1430,tier1:Gene abbreviation
SputW3181_0473,flgD,0.9,2.7,20.0,2.9,21.51,7.41,lateral flagellar hook capping protein FlgD,Cell envelope,Surface structures,Flagellar motility (Swarming),Surface structure,,Sputw3181_1408,tier1:Gene abbreviation
SputW3181_0459,fliN,11.2,4.1,0.0,0.36,0.01,0.03,lateral flagellar motor switch protein FliN,Cellular processes,Motility,Flagellar motility (Swarming),Cytoplasm,,Sputw3181_1435,tier1:Gene abbreviation
SputW3181_0692,galK,134.0,43.2,50.4,0.32,0.38,1.17,galactokinase GalK,Central intermediary metabolism,Sugars,Galactose degradation,Cytoplasm,,Sputw3181_0692,tier1:Gene abbreviation
SputW3181_0691,galM,89.3,33.8,19.2,0.38,0.22,0.57,aldose 1-epimerase GalM,Central intermediary metabolism,Sugars,Galactose degradation,Cytoplasm,,Sputw3181_0691,locus_tag_ci: Locus tag
SputW3181_0890,glpD,112.6,51.3,37.6,0.46,0.33,0.73,aerobic glycerol-3-phosphate dehydrogenase GlpD,Central intermediary metabolism,Polyol,Glycerol degradation,Cytoplasm,,Sputw3181_0890,locus_tag_ci: Locus tag
SputW3181_0997,gldA,34.4,71.6,5.6,2.08,0.16,0.08,glycerol dehydrogenase GldA,Central intermediary metabolism,Polyol,Glycogen degradation,Cytoplasm,,Sputw3181_0997,locus_tag_ci: Locus tag
SputW3181_0996,,10.2,35.1,4.8,3.43,0.47,0.14,aldehyde dehydrogenase,Central intermediary metabolism,Polyol,Glycogen degradation,Cytoplasm,,Sputw3181_0996,locus_tag_ci: Locus tag
SputW3181_2856,glgB,5.6,25.7,0.8,4.6,0.14,0.03,"1,4-alpha-glucan branching enzyme GlgB",Energy metabolism,Biosynthesis and degradation of polysaccharides,Glycogen metabolism,Cytoplasm,,Sputw3181_2856,tier1:Gene abbreviation
SputW3181_2857,malQ,6.5,82.4,5.6,12.65,0.86,0.07,4-alpha-glucanotransferase MalQ,Energy metabolism,Biosynthesis and degradation of polysaccharides,Glycogen metabolism,Cytoplasm,,Sputw3181_2857,tier1:Gene abbreviation
SputW3181_2866,aceB,24.2,51.3,1240.3,2.12,51.27,24.16,malate synthase A AceB,Energy metabolism,TCA cycle,Glyoxylate bypass,Cytoplasm,"HexR, LiuR, PsrA, TyrR, and PdhR",Sputw3181_2866,tier1:Gene abbreviation
SputW3181_1871,ibpA,77.2,198.6,30.4,2.57,0.39,0.15,16 kDa heat shock protein A IbpA,Cellular processes,Adaptations to atypical conditions,Heat shock response,Cytoplasm,,Sputw3181_1871,locus_tag_ci: Locus tag
SputW3181_0901,cysG,32.6,86.4,12.0,2.65,0.37,0.14,uroporphyrin-III C-methyltransferase CysG,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme and Siroheme biosynthesis,Cytoplasm,,Sputw3181_0901,locus_tag_ci: Locus tag
SputW3181_1328,hemH,482.9,140.5,159.3,0.29,0.33,1.13,ferrochelatase HemH,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme and Siroheme biosynthesis,Cytoplasm,,Sputw3181_1328,tier1:Gene abbreviation
SputW3181_1830,hisD,30.7,110.8,301.1,3.61,9.81,2.72,histidinol dehydrogenase HisD,Amino acid biosynthesis,Histidine family,Histidine biosynthesis,Cytoplasm,His attenuator,Sputw3181_1830,tier1:Gene abbreviation
SputW3181_1831,hisG,14.9,63.5,203.4,4.26,13.66,3.2,ATP phosphoribosyltransferase HisG,Amino acid biosynthesis,Histidine family,Histidine biosynthesis,Cytoplasm,His attenuator,Sputw3181_1831,tier1:Gene abbreviation
SputW3181_4000,hutI,8.4,4.1,0.0,0.48,0.01,0.03,imidazolonepropionase HutI,Central intermediary metabolism,Amino acids and amines,Histidine degradation,Cytoplasm,HutC,Sputw3181_4000,tier1:Gene abbreviation
SputW3181_2177,hypA,6.5,14.9,19.2,2.28,2.95,1.29,NiFe hydrogenase nickel incorporation protein HypA,Protein fate,Protein modification and repair,Hydrogen respiration,Cytoplasm,,Sputw3181_2177,tier1:Gene abbreviation
SputW3181_2173,hypB,8.4,18.9,8.0,2.26,0.96,0.42,Ni2+-binding GTPase involved in regulation of NiFe hydrogenase expression and maturation HypB,Regulatory functions,Protein interactions,Hydrogen respiration,Cytoplasm,,Sputw3181_2173,tier1:Gene abbreviation
SputW3181_2174,hypC,8.4,29.7,0.0,3.55,0.01,0.0,NiFe hydrogenase assembly chaperone HypC,Protein fate,Protein modification and repair,Hydrogen respiration,Cytoplasm,,Sputw3181_2174,locus_tag_ci: Locus tag
SputW3181_2175,hypD,6.5,17.6,8.8,2.7,1.35,0.5,NiFe hydrogenase expression/formation protein HypD,Protein fate,Protein modification and repair,Hydrogen respiration,Cytoplasm,,Sputw3181_2175,tier1:Gene abbreviation
SputW3181_2176,hypE,11.2,33.8,20.0,3.02,1.79,0.59,NiFe hydrogenase accessory/formation protein HypE,Protein fate,Protein modification and repair,Hydrogen respiration,Cytoplasm,,Sputw3181_2176,tier1:Gene abbreviation
SputW3181_3203,exbB,9.3,2.7,4.0,0.29,0.43,1.48,TonB1 energy transduction system for heme uptake inner membrane component ExbB,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (3 transmembrane spans),Fur,Sputw3181_3203,locus_tag_ci: Locus tag
SputW3181_3201,hmuA,21.4,4.1,1.6,0.19,0.07,0.4,TonB-dependent heme/hemoglobin receptor HmuA,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,Fur,Sputw3181_3201,locus_tag_ci: Locus tag
SputW3181_3200,hmuX,29.8,8.1,0.0,0.27,0.0,0.02,heme iron utilization protein HmuX,Unknown function,General,Iron homeostasis,Cytoplasm,Fur,Sputw3181_3200,locus_tag_ci: Locus tag
SputW3181_3199,hmuZ,53.0,21.6,0.0,0.41,0.0,0.01,FMN binding heme iron utilization protein HmuZ,Unknown function,Enzymes of unknown specificity,Iron homeostasis,Cytoplasm,Fur,Sputw3181_3199,locus_tag_ci: Locus tag
SputW3181_0403,irgA,25.1,8.1,13.6,0.32,0.54,1.68,iron-responsive TonB-dependent enterobactin receptor IrgA,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,Fur,Sputw3181_0403,locus_tag_ci: Locus tag
SputW3181_3202,tonB,26.1,5.4,20.0,0.21,0.77,3.71,TonB1 energy transduction system for heme uptake energy transducer component TonB,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Periplasm,Fur,Sputw3181_3202,locus_tag_ci: Locus tag
SputW3181_1022,,16.7,8.1,20.8,0.48,1.24,2.57,TonB-dependent siderophore receptor,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,,Sputw3181_1022,locus_tag_ci: Locus tag
SputW3181_2795,,8.4,2.7,0.8,0.32,0.1,0.3,TonB-dependent haem/haemoglobin receptor,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,Fur,Sputw3181_2795,locus_tag_ci: Locus tag
SputW3181_0546,,6.5,2.7,12.8,0.41,1.97,4.74,iron-regulated inner membrane protein,Unknown function,General,Iron homeostasis,Inner Membrane (3 transmembrane spans),Fur,Sputw3181_0546,locus_tag_ci: Locus tag
SputW3181_2834,,482.9,114.8,175.4,0.24,0.36,1.53,lactate transport protein LctP family,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Lactate metabolism,Inner Membrane (14 transmembrane spans),,Sputw3181_2834,locus_tag_ci: Locus tag
SputW3181_2835,dld,468.0,125.6,109.7,0.27,0.23,0.87,respiratory FAD-dependent D-lactate dehydrogenase Dld,Energy metabolism,Electron transport,Lactate utilization,Cytoplasm,,Sputw3181_2835,locus_tag_ci: Locus tag
SputW3181_2836,lldE,515.5,239.1,92.1,0.46,0.18,0.39,L-lactate dehydrogenase complex protein LldE,Energy metabolism,Electron transport,Lactate utilization,Cytoplasm,LldR,Sputw3181_2836,locus_tag_ci: Locus tag
SputW3181_2837,lldF,392.7,175.6,41.6,0.45,0.11,0.24,L-lactate dehydrogenase iron-sulfur cluster-binding protein LldF,Energy metabolism,Electron transport,Lactate utilization,Cytoplasm,LldR,Sputw3181_2837,locus_tag_ci: Locus tag
SputW3181_0062,wcvA,5.6,2.7,3.2,0.48,0.57,1.19,UDP-glucuronate 4-epimerase WcvA,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Lipopolysaccharide biosynthesis,Cytoplasm,,Sputw3181_0062,locus_tag_ci: Locus tag
SputW3181_0063,wcvB,12.1,5.4,14.4,0.45,1.19,2.67,UDP-glucose dehydrogenase WcvB,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Lipopolysaccharide biosynthesis,Cytoplasm,,Sputw3181_0063,locus_tag_ci: Locus tag
SputW3181_0132,coxA,36.3,74.3,28.0,2.05,0.77,0.38,aa3 type cytochrome c oxidase subunit I CoxA,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (12 transmembrane spans),Crp,Sputw3181_0132,locus_tag_ci: Locus tag
SputW3181_0127,ctaA,9.3,20.3,28.0,2.18,3.01,1.38,heme A synthase CtaA,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (8 transmembrane spans),,Sputw3181_0127,locus_tag_ci: Locus tag
SputW3181_0131,ctaG,85.6,202.6,24.0,2.37,0.28,0.12,aa3 type cytochrome c oxidase assembly protein CtaG,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (1 transmembrane span),Crp,Sputw3181_0131,locus_tag_ci: Locus tag
SputW3181_1565,asd,1214.3,347.1,422.8,0.29,0.35,1.22,aspartate semialdehyde dehydrogenese Asd,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,,Sputw3181_0652,tier1:Gene abbreviation
SputW3181_3722,lysA,195.4,72.9,74.5,0.37,0.38,1.02,diaminopimelate decarboxylase LysA,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,,Sputw3181_3722,tier1:Gene abbreviation
SputW3181_3491,lysC,23.3,51.3,72.9,2.21,3.13,1.42,lysine-sensitive aspartokinase III LysC,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,lysine riboswitch,Sputw3181_3491,tier1:Gene abbreviation
SputW3181_1499,lysW,53.0,109.4,142.5,2.06,2.69,1.3,lysine transporter LysW,Transport and binding proteins,"Amino acids, peptides and amines",Lysine biosynthesis,Inner Membrane (13 transmembrane spans),Lysine riboswitch,Sputw3181_1499,locus_tag_ci: Locus tag
SputW3181_0629,,42.8,18.9,39.2,0.44,0.92,2.07,ABC-type zinc uptake system zinc chaperone,Cellular processes,Non-protein molecular trafficking,Metal homeostasis,Periplasm,,Sputw3181_0629,locus_tag_ci: Locus tag
SputW3181_2706,metA,1023.5,125.6,82.5,0.12,0.08,0.66,homoserine O-succinyltransferase MetA,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,Sputw3181_2706,tier1:Gene abbreviation
SputW3181_3554,metB,241.0,14.9,11.2,0.06,0.05,0.75,cystathionine gamma-synthase MetB,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,Sputw3181_3554,tier1:Gene abbreviation
SputW3181_2289,metC,64.2,16.2,11.2,0.25,0.17,0.69,cystathionine beta-lyase MetC,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetR,Sputw3181_2289,locus_tag_ci: Locus tag
SputW3181_0771,metE,94.0,5.4,13.6,0.06,0.14,2.52,B12-independent 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase MetE,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ and MetR,Sputw3181_0771,tier1:Gene abbreviation
SputW3181_3552,metF,733.2,28.4,42.4,0.04,0.06,1.5,"5,10-methylenetetrahydrofolate reductase MetF",Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,Sputw3181_3552,tier1:Gene abbreviation
SputW3181_0982,metH,131.2,12.2,16.8,0.09,0.13,1.38,B12-dependent 5-methyltetrahydrofolate--homocysteine methyltransferase MetH,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,Sputw3181_0982,tier1:Gene abbreviation
SputW3181_3553,metL,388.9,44.6,11.2,0.11,0.03,0.25,bifunctional aspartokinase II/homoserine dehydrogenase methionine-sensitive MetL,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,Sputw3181_3553,locus_tag_ci: Locus tag
SputW3181_0770,metR,189.8,5.4,11.2,0.03,0.06,2.07,homocysteine-dependent transcriptional activator of methionine biosynthesis MetR,Regulatory functions,DNA interactions,Methionine biosynthesis,Cytoplasm,MetJ and MetR,Sputw3181_0770,locus_tag_ci: Locus tag
SputW3181_3252,metT,197.3,16.2,21.6,0.08,0.11,1.33,methionine:proton antiporter MetT,Transport and binding proteins,"Amino acids, peptides and amines",Methionine biosynthesis,Inner Membrane (11 transmembrane spans),MetJ,Sputw3181_3252,locus_tag_ci: Locus tag
SputW3181_3244,metY,528.5,47.3,68.9,0.09,0.13,1.46,O-acetylhomoserine (thiol)-lyase MetY,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,Sputw3181_3244,locus_tag_ci: Locus tag
SputW3181_0088,mmuM,59.5,12.2,3.2,0.2,0.05,0.26,homocysteine S-methyltransferase MmuM,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,Sputw3181_0088,locus_tag_ci: Locus tag
SputW3181_3302,metK,472.7,224.2,110.5,0.47,0.23,0.49,S-adenosylmethionine synthetase MetK,Central intermediary metabolism,General,Methionine degradation and salvage,Cytoplasm,MetJ,Sputw3181_3302,tier1:Gene abbreviation
SputW3181_3783,prpR,4.7,10.8,44.8,2.32,9.64,4.15,methycitrate-responsive transcriptional regulator of methylisocitrate utilization PrpR,Regulatory functions,DNA interactions,Methylcitrate degradation,Cytoplasm,PrpR,Sputw3181_3783,locus_tag_ci: Locus tag
SputW3181_0920,lrgA,185.2,4.1,31.2,0.02,0.17,7.71,inner membrane protein LrgA,Cellular processes,Toxin production and resistance,Murein hydrolase regulation and cell death,Inner Membrane (4 transmembrane spans),,Sputw3181_0920,locus_tag_ci: Locus tag
SputW3181_0921,lrgB,143.3,6.8,18.4,0.05,0.13,2.73,inner membrane protein LrgB,Cellular processes,Toxin production and resistance,Murein hydrolase regulation and cell death,Inner Membrane (6 transmembrane spans),,Sputw3181_0921,locus_tag_ci: Locus tag
SputW3181_3487,narQ,9.3,23.0,11.2,2.47,1.2,0.49,nitrate/nitrite-responsive two component signal transduction system histidine kinase NarQ,Signal transduction,Two-component systems,Nitrate and nitrite respiration,Inner Membrane (2 transmembrane spans),NarP,Sputw3181_3487,tier1:Gene abbreviation
SputW3181_3486,nrfA,57.7,136.4,68.1,2.36,1.18,0.5,ammonia-forming nitrite reductase NrfA,Energy metabolism,Electron transport,Nitrate and nitrite respiration,Periplasm,NarP,Sputw3181_3486,tier1:Gene abbreviation
SputW3181_3895,nrfB,1.9,4.1,7.2,2.18,3.87,1.78,respiratory nitrite reductase cytochrome c NrfB,Energy metabolism,Electron transport,Nitrate and nitrite respiration,Periplasm,,Sputw3181_3895,locus_tag_ci: Locus tag
SputW3181_1578,,5.6,12.2,0.0,2.18,0.02,0.01,flavocytochrome c heme submit,Energy metabolism,Electron transport,Nitrate and nitrite respiration,Periplasm,NarP,Sputw3181_1578,locus_tag_ci: Locus tag
SputW3181_0266,glnA,78.2,402.5,251.4,5.15,3.22,0.62,glutamine synthetase GlnA,Amino acid biosynthesis,Glutamate family,Nitrogen assimilation,Cytoplasm,NtrC,Sputw3181_0266,tier1:Gene abbreviation
SputW3181_0700,glnK,15.8,402.5,50.4,25.45,3.19,0.13,regulatory protein for nitrogen assimilation GlnK,Regulatory functions,Protein interactions,Nitrogen assimilation,Cytoplasm,NtrC,Sputw3181_0700,locus_tag_ci: Locus tag
SputW3181_0701,,27.0,229.6,57.7,8.51,2.14,0.25,ammonium transporter channel family protein,Transport and binding proteins,Cations and iron carrying compounds,Nitrogen assimilation,Inner Membrane (11 transmembrane spans),NtrC,Sputw3181_0701,locus_tag_ci: Locus tag
SputW3181_2873,bamE,105.1,245.8,236.2,2.34,2.25,0.96,beta barrel protein translocation component BamE,Protein fate,Protein and peptide secretion and trafficking,Outer membrane protein trafficking,Outer Membrane Lipoprotein,,Sputw3181_2873,locus_tag_ci: Locus tag
SputW3181_3148,azr,16.7,8.1,0.0,0.48,0.01,0.02,NADPH-dependent azoreductase Azr,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,AzR,Sputw3181_3148,locus_tag_ci: Locus tag
SputW3181_2325,bcp,464.3,170.2,191.4,0.37,0.41,1.12,thioredoxin-dependent thiol peroxidase Bcp,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,,Sputw3181_2325,tier1:Gene abbreviation
SputW3181_2249,gloB,11.2,5.4,16.8,0.48,1.51,3.11,hydroxyacylglutathione hydrolase GloB,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,,Sputw3181_2249,tier1:Gene abbreviation
SputW3181_2125,msrA,79.1,20.3,6.4,0.26,0.08,0.32,peptide methionine sulfoxide reductase MsrA,Protein fate,Protein modification and repair,Oxidative stress,Cytoplasm,MetJ,Sputw3181_2125,tier1:Gene abbreviation
SputW3181_0888,ohrA,14.9,4.1,0.0,0.27,0.01,0.03,peroxiredoxin OhrA,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,,Sputw3181_0888,locus_tag_ci: Locus tag
SputW3181_0712,,205.6,48.6,40.0,0.24,0.19,0.82,glutathione S-transferase family protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,Oxidative stress,Cytoplasm,,Sputw3181_0712,locus_tag_ci: Locus tag
SputW3181_1327,,818.8,282.3,286.7,0.34,0.35,1.02,periplasmic glutathione peroxidase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,Oxidative stress,Periplasm,,Sputw3181_1327,locus_tag_ci: Locus tag
SputW3181_1297,,53.0,23.0,6.4,0.43,0.12,0.28,transcriptional activator of singlet oxygen protection,Regulatory functions,DNA interactions,Oxidative stress,Cytoplasm,,Sputw3181_1297,locus_tag_ci: Locus tag
SputW3181_1303,cfaS,560.1,135.1,120.1,0.24,0.21,0.89,cyclopropane-fatty-acyl-phospholipid synthase CfaS,Fatty acid and phospholipid metabolism,Biosynthesis,Oxidative stress - singlet oxygen,Cytoplasm,,Sputw3181_1303,locus_tag_ci: Locus tag
SputW3181_1301,,500.6,143.2,112.1,0.29,0.22,0.78,amine oxidase,Central intermediary metabolism,Amino acids and amines,Oxidative stress - singlet oxygen,Cytoplasm,,Sputw3181_1301,locus_tag_ci: Locus tag
SputW3181_1300,,770.4,198.6,165.7,0.26,0.22,0.83,oxidoreductase short-chain dehydrogenase/reductase family,Unknown function,Enzymes of unknown specificity,Oxidative stress - singlet oxygen,Cytoplasm,,Sputw3181_1300,locus_tag_ci: Locus tag
SputW3181_1296,,93.0,37.8,24.8,0.41,0.27,0.66,bifunctional protein of unknown functions DUF523 and DUF1722,Unknown function,General,Oxidative stress - singlet oxygen,Cytoplasm,,Sputw3181_1296,locus_tag_ci: Locus tag
SputW3181_1299,,587.1,128.3,204.2,0.22,0.35,1.59,protein of unknown function DUF2358,Unknown function,General,Oxidative stress - singlet oxygen,Cytoplasm,,Sputw3181_1299,locus_tag_ci: Locus tag
SputW3181_1302,,599.2,121.6,135.3,0.2,0.23,1.11,protein of unknown function DUF1365,Unknown function,General,Oxidative stress - singlet oxygen,Cytoplasm,,Sputw3181_1302,locus_tag_ci: Locus tag
SputW3181_1304,,366.6,89.1,94.5,0.24,0.26,1.06,membrane protein of unknown function DUF2878,Unknown function,General,Oxidative stress - singlet oxygen,Inner Membrane (5 transmembrane spans),,Sputw3181_1304,locus_tag_ci: Locus tag
SputW3181_1305,,272.6,63.5,65.7,0.23,0.24,1.03,conserved hypothetical periplasmic protein,Unknown function,General,Oxidative stress - singlet oxygen,Periplasm,,Sputw3181_1305,locus_tag_ci: Locus tag
SputW3181_1306,,447.6,155.3,68.9,0.35,0.15,0.44,conserved lipoprotein,Unknown function,General,Oxidative stress - singlet oxygen,Outer Membrane Lipoprotein,,Sputw3181_1306,locus_tag_ci: Locus tag
SputW3181_3354,ampG,14.9,6.8,9.6,0.45,0.65,1.42,GlcNAc-anhMurNAc permease AmpG,Transport and binding proteins,General,Peptidoglycan biosynthesis,Inner Membrane (12 transmembrane spans),,Sputw3181_3354,locus_tag_ci: Locus tag
SputW3181_0786,blaA,20.5,6.8,109.7,0.33,5.36,16.24,class D carbapenem-hydrolyzing beta-lactamase BlaA,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Periplasm,,Sputw3181_0786,locus_tag_ci: Locus tag
SputW3181_3153,mipA,119.1,39.2,15.2,0.33,0.13,0.39,outer membrane MltA-interaction protein MipA,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Outer Membrane,,Sputw3181_3153,locus_tag_ci: Locus tag
SputW3181_1753,phoP,100.5,29.7,15.2,0.3,0.15,0.51,two component signal transduction system response regulator PhoP,Signal transduction,Two-component systems,Phosphate homeostasis,Cytoplasm,,Sputw3181_1753,locus_tag_ci: Locus tag
SputW3181_1395,licC,14.9,31.1,0.0,2.09,0.01,0.0,phosphocholine cytidylyltransferase LicC,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Phosphocholine biosynthesis,Cytoplasm,,Sputw3181_1395,locus_tag_ci: Locus tag
SputW3181_3749,,78.2,36.5,116.1,0.47,1.49,3.18,polymorphic toxin IMM11 family immunity protein,Cellular processes,Toxin production and resistance,Polymorphic toxin system,Cytoplasm,,Sputw3181_3749,locus_tag_ci: Locus tag
SputW3181_2727,,40.9,176.9,96.9,4.32,2.37,0.55,polymorphic toxin IMM17 family immunity protein,Cellular processes,Toxin production and resistance,Polymorphic toxins and immunity,Cytoplasm,,Sputw3181_2727,locus_tag_ci: Locus tag
SputW3181_2350,,9.3,4.1,0.0,0.44,0.01,0.03,polysaccharide flippase,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Polysaccharide biosynthesis,Inner Membrane (12 transmembrane spans),,Sputw3181_2350,locus_tag_ci: Locus tag
SputW3181_3909,fimA,153.5,18.9,44.8,0.12,0.29,2.37,P pilus component FimA,Cell envelope,Surface structures,P-type pilus,Surface structure,,Sputw3181_3909,locus_tag_ci: Locus tag
SputW3181_3908,,13.0,2.7,8.8,0.21,0.68,3.26,pili assembly chaperone,Protein fate,Protein and peptide secretion and trafficking,P-type pilus,Periplasm,,Sputw3181_3908,locus_tag_ci: Locus tag
SputW3181_1215,,49.3,105.4,164.1,2.14,3.33,1.56,adenylosuccinate synthetase,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,Purine biosynthesis,Cytoplasm,,Sputw3181_1215,locus_tag_ci: Locus tag
SputW3181_1659,acsA,124.7,255.3,568.5,2.05,4.56,2.23,acetyl-coenzyme A synthetase AcsA,Energy metabolism,Glycolysis/gluconeogenesis,Pyruvate metabolism,Cytoplasm,,Sputw3181_1659,locus_tag_ci: Locus tag
SputW3181_3135,oadA,118.2,283.7,61.7,2.4,0.52,0.22,sodium ion-translocating oxaloacetate decarboxylase alpha subunit OadA,Transport and binding proteins,Cations and iron carrying compounds,Pyruvate metabolism - anaplerotic reactions,Cytoplasm,PdhR and ArgR,Sputw3181_3135,tier1:Gene abbreviation
SputW3181_3750,agxT,79.1,23.0,112.1,0.29,1.42,4.88,serine-pyruvate aminotransferase AgxT,Amino acid biosynthesis,Serine family,Pyruvate-alanine-serine interconversions,Cytoplasm,,Sputw3181_3750,locus_tag_ci: Locus tag
SputW3181_3315,aaiD,10.2,44.6,26.4,4.35,2.58,0.59,acyl-homoserine lactone acylase AaiD,Protein fate,"Degradation of proteins, peptides, and glycopeptides",Quorum signal disruption,Outer Membrane Lipoprotein,,Sputw3181_3315,locus_tag_ci: Locus tag
SputW3181_3276,ahpC,5.6,2.7,5.6,0.48,1.0,2.07,alkyl hydroperoxide reductase peroxiredoxin component AhpC,Cellular processes,Detoxification,Redox regulation,Cytoplasm,,Sputw3181_3276,tier1:Gene abbreviation
SputW3181_0339,rpmB,849.5,2317.8,3657.6,2.73,4.31,1.58,50S ribosomal protein L28 RpmB,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,Sputw3181_0339,tier1:Gene abbreviation
SputW3181_2444,rpmF,4230.8,9469.9,3398.2,2.24,0.8,0.36,50S ribosomal protein L32 RpmF,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,Sputw3181_2444,tier1:Gene abbreviation
SputW3181_0340,rpmG,1331.5,3468.6,3736.9,2.61,2.81,1.08,50S ribosomal protein L33 RpmG,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,Sputw3181_0340,tier1:Gene abbreviation
SputW3181_3109,rpsT,2165.2,5839.1,4848.3,2.7,2.24,0.83,30S ribosomal protein S20 RpsT,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,Sputw3181_3109,tier1:Gene abbreviation
SputW3181_3057,rpsU,1385.5,3407.9,4974.8,2.46,3.59,1.46,30S ribosomal protein S21 RpsU,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,Sputw3181_3057,tier1:Gene abbreviation
SputW3181_3339,rluA,0.9,2.7,14.4,2.9,15.49,5.34,23S rRNA pseudouridine746 synthase RluA,Protein synthesis,tRNA and rRNA base modification,Ribosome biogenesis,Cytoplasm,,Sputw3181_3339,tier1:Gene abbreviation
SputW3181_0804,serA,289.4,72.9,94.5,0.25,0.33,1.3,D-3-phosphoglycerate dehydrogenase SerA,Amino acid biosynthesis,Serine family,Serine biosynthesis,Cytoplasm,Crp,Sputw3181_0804,tier1:Gene abbreviation
SputW3181_2864,,5.6,44.6,8.8,7.98,1.58,0.2,4-hydroxybenzoyl-CoA thioesterase family protein,Unknown function,Enzymes of unknown specificity,Serine-glyoxylate cycle,Cytoplasm,,Sputw3181_2864,locus_tag_ci: Locus tag
SputW3181_1263,rpoS,126.5,705.1,325.9,5.57,2.58,0.46,RNA polymerase sigma-38 factor RpoS,Transcription,Transcription factors,Sigma factors,Cytoplasm,,Sputw3181_1263,tier1:Gene abbreviation
SputW3181_1685,chrR,270.8,75.6,111.3,0.28,0.41,1.47,anti-ECFsigma factor ChrR,Regulatory functions,Protein interactions,Singlet oxygen stress,Cytoplasm,,Sputw3181_1685,locus_tag_ci: Locus tag
