 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,Unnamed: 14,resolved_locus_tag,resolution_method
SputW3181_1779,icd,124.7,178.3,310.7,1.43,2.49,1.74,isocitrate dehydrogenase NADP-dependent Icd,Energy metabolism,TCA cycle,TCA cycle,Cytoplasm,,,,unresolved
SputW3181_4017,icfE,29.8,43.2,156.9,1.45,5.27,3.63,long-chain-fatty-acid--CoA ligase IcfE,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,FabR,,,unresolved
SputW3181_3361,ifcR,5.6,8.1,0.0,1.45,0.02,0.02,Fe(III)-induced transcriptional regulator IfcR,Regulatory functions,DNA interactions,Fe respiration,Cytoplasm,,,,unresolved
SputW3181_3790,ilvE,108.9,116.2,299.5,1.07,2.75,2.58,branched-chain-amino-acid transaminase IlvE,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosyntheiss,Cytoplasm,,,,unresolved
SputW3181_1872,ilvH,791.8,279.6,96.9,0.35,0.12,0.35,acetolactate synthase III small subunit IlvH,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosyntheiss,Cytoplasm,MetR,,,unresolved
SputW3181_1873,ilvI,857.0,263.4,104.1,0.31,0.12,0.4,acetolactate synthase III large subunit IlvI,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosyntheiss,Cytoplasm,MetR,,,unresolved
SputW3181_1783,infA,127.5,306.6,741.5,2.41,5.82,2.42,translation initiation factor IF-1 InfA,Protein synthesis,Translation factors,,Cytoplasm,,,,unresolved
SputW3181_1077,int,7.4,4.1,0.0,0.54,0.02,0.03,ICESpuPO1 integrase Int,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,,,,unresolved
SputW3181_1869,iscX,54.9,35.1,0.0,0.64,0.0,0.0,FeS assembly protein IscX,"Biosynthesis of cofactors, prosthetic groups, and carriers",Iron sulfur clusters,FeS cluster biogenesis and repair,Cytoplasm,,,,unresolved
SputW3181_2702,ivdC,21.4,17.6,8.8,0.82,0.41,0.5,2-methylbutanoyl-CoA dehydrogenase IvdC,Central intermediary metabolism,Amino acids and amines,Branched-chain amino acid degradation,Cytoplasm,LiuR and TyrR,,,unresolved
SputW3181_2698,ivdG,83.7,105.4,204.2,1.26,2.44,1.94,3-hydroxyacyl-CoA dehydrogenase IvdG,Central intermediary metabolism,Amino acids and amines,Branched-chain amino acid degradation,Cytoplasm,LiuR and TyrR,,,unresolved
SputW3181_2456,J,21.4,10.8,8.8,0.5,0.41,0.82,LambdaSo-like tail fiber protein J,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_0269,katG,30.7,40.5,78.5,1.32,2.56,1.94,bifunctional catalase/peroxidase HPI KatG,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,,,,unresolved
SputW3181_0053,kdkA,28.8,24.3,8.8,0.84,0.31,0.36,3-deoxy-D-manno-oct-2-ulosonic acid (KDO) kinase KdkA,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Lipopolysaccharide biosynthesis,Cytoplasm,,,,unresolved
SputW3181_2937,kil,8.4,6.8,32.0,0.81,3.82,4.74,prophage Mu protein Kil,Mobile and extrachromosomal element functions,Prophage functions,,Cytoplasm,,,,unresolved
SputW3181_4032,ktrB,6.5,4.1,0.0,0.62,0.02,0.03,sodium-dependent potassium uptake protein integral membrane component KtrB,Transport and binding proteins,Cations and iron carrying compounds,Potassium homeostasis,Inner Membrane (10 transmembrane spans),,,,unresolved
SputW3181_0260,kynA,15.8,20.3,37.6,1.28,2.38,1.86,"tryptophan 2,3-dioxygenase KynA",Central intermediary metabolism,Amino acids and amines,Tyrosine and phenylalanine degradation,Cytoplasm,TyrR,,,unresolved
SputW3181_2463,L,32.6,12.2,4.0,0.37,0.12,0.33,LambdaSo-like minor tail protein L,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_1395,licC,14.9,31.1,0.0,2.09,0.01,0.0,phosphocholine cytidylyltransferase LicC,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Flagella modification,Cytoplasm,,,,unresolved
SputW3181_2307,liuB,14.0,10.8,6.4,0.77,0.46,0.59,methylcrotonyl-CoA carboxylase carboxyl transferase subunit LiuB,Central intermediary metabolism,Amino acids and amines,Branched-chain amino acid degradation,Cytoplasm,LiuR and TyrR,,,unresolved
SputW3181_2311,liuF,16.7,10.8,48.8,0.65,2.92,4.52,acetyl-CoA:acetoacetate-CoA transferase alpha subunit LiuF,Central intermediary metabolism,Amino acids and amines,Branched-chain amino acid degradation,Cytoplasm,LiuR and TyrR,,,unresolved
SputW3181_2312,liuG,13.0,9.5,31.2,0.73,2.4,3.3,acetyl-CoA:acetoacetate-CoA transferase beta subunit LiuG,Central intermediary metabolism,Amino acids and amines,Branched-chain amino acid degradation,Cytoplasm,LiuR and TyrR,,,unresolved
SputW3181_2305,liuR,16.7,24.3,8.0,1.45,0.48,0.33,transcriptional repressor of branched chain amino acid degradation LiuR,Regulatory functions,DNA interactions,Branched-chain amino acid degradation,Cytoplasm,LiuR and TyrR,,,unresolved
SputW3181_2836,lldE,515.5,239.1,92.1,0.46,0.18,0.39,L-lactate dehydrogenase complex protein LldE,Energy metabolism,Electron transport,Lactate utilization,Cytoplasm,LldR,,,unresolved
SputW3181_2837,lldF,392.7,175.6,41.6,0.45,0.11,0.24,L-lactate dehydrogenase iron-sulfur cluster-binding protein LldF,Energy metabolism,Electron transport,Lactate utilization,Cytoplasm,LldR,,,unresolved
SputW3181_2838,lldG,792.8,538.9,126.5,0.68,0.16,0.23,L-lactate dehydrogenase complex protein LldG,Energy metabolism,Electron transport,Lactate utilization,Cytoplasm,LldR,,,unresolved
SputW3181_1243,lldR,29.8,35.1,3.2,1.18,0.11,0.09,L-lactate-responsive transcriptional regulator of lactate utilization LldR,Regulatory functions,DNA interactions,Lactate utilization,Cytoplasm,,,,unresolved
SputW3181_3376,lolB,34.4,21.6,16.0,0.63,0.47,0.74,outer membrane lipoprotein LolB,Protein fate,Protein and peptide secretion and trafficking,Lipoprotein biosynthesis and sorting,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_2609,lon,252.2,231.0,87.3,0.92,0.35,0.38,ATP-dependent protease La Lon,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,,,unresolved
SputW3181_3050,lpp,21802.6,37318.9,6697.1,1.71,0.31,0.18,murein lipoprotein Lpp,Unknown function,General,,Outer Membrane Lipoprotein pep anchored,,,,unresolved
SputW3181_2616,lpxH,14.9,16.2,47.2,1.09,3.17,2.91,UDP-23-diacylglucosamine hydrolase LpxH,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Lipopolysaccharide Biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0920,lrgA,185.2,4.1,31.2,0.02,0.17,7.71,inner membrane protein LrgA,Cellular processes,Toxin production and resistance,Murein hydrolase regulation and cell death,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_0921,lrgB,143.3,6.8,18.4,0.05,0.13,2.73,inner membrane protein LrgB,Cellular processes,Toxin production and resistance,Murein hydrolase regulation and cell death,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_1388,luxC,93.0,87.8,31.2,0.94,0.34,0.36,acyl-CoA reductase LuxC,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,,,,unresolved
SputW3181_1389,luxD,110.7,145.9,20.0,1.32,0.18,0.14,acyltransferase LuxD,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,,,,unresolved
SputW3181_1387,luxE,75.4,70.2,19.2,0.93,0.25,0.27,acyl-protein synthetase LuxE,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,,,,unresolved
SputW3181_3722,lysA,195.4,72.9,74.5,0.37,0.38,1.02,diaminopimelate decarboxylase LysA,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,,,,unresolved
SputW3181_3491,lysC,23.3,51.3,72.9,2.21,3.13,1.42,lysine-sensitive aspartokinase III LysC,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,lysine riboswitch,,,unresolved
SputW3181_1499,lysW,53.0,109.4,142.5,2.06,2.69,1.3,lysine transporter LysW,Transport and binding proteins,"Amino acids, peptides and amines",Lysine biosynthesis,Inner Membrane (13 transmembrane spans),Lysine riboswitch,,,unresolved
SputW3181_2468,M,26.1,9.5,9.6,0.36,0.37,1.02,LambdaSo-like minor tail protein M,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_3618,maeB,28.8,25.7,118.5,0.89,4.11,4.62,NADP-dependent malate dehydrogenase (oxaloacetate-decarboxylating) MaeB,Energy metabolism,TCA cycle,Pyruvate metabolism - anaplerotic reactions,Cytoplasm,,,,unresolved
SputW3181_0431,manY,8.4,9.5,0.0,1.13,0.01,0.01,phosphotransferase system (PTS) mannose-specific IIC component ManY,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Mannose degradation,Inner Membrane (7 transmembrane spans),,,,unresolved
SputW3181_2756,map,33.5,37.8,107.3,1.13,3.2,2.84,methionine aminopeptidase Map,Protein fate,Protein modification and repair,,Cytoplasm,,,,unresolved
SputW3181_2594,mdeA,7.4,6.8,31.2,0.91,4.2,4.62,methionine gamma-lyase MdeA,Central intermediary metabolism,Amino acids and amines,Methionine degradation,Cytoplasm,TyrR,,,unresolved
SputW3181_1672,mdoG,32.6,21.6,14.4,0.66,0.44,0.67,periplasmic glucan biosynthesis protein MdoG,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Periplasmic glucans,Periplasm,,,,unresolved
SputW3181_3444,megL,6.5,5.4,2.4,0.83,0.37,0.44,methionine gamma-lyase MegL,Central intermediary metabolism,Amino acids and amines,Methionine degradation,Cytoplasm,MetJ,,,unresolved
SputW3181_0080,menF,53.0,47.3,17.6,0.89,0.33,0.37,menaquinone-specific isochorismate synthase MenF,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Menaquinone (vitamin K) biosynthesis,Cytoplasm,,,,unresolved
SputW3181_3206,merT,13.0,13.5,29.6,1.04,2.27,2.19,Hg(II) uptake system permease component MerT,Transport and binding proteins,Cations and iron carrying compounds,Metal homeostasis,Inner Membrane (3 transmembrane spans),,,,unresolved
SputW3181_2706,metA,1023.5,125.6,82.5,0.12,0.08,0.66,homoserine O-succinyltransferase MetA,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,,,unresolved
SputW3181_3554,metB,241.0,14.9,11.2,0.06,0.05,0.75,cystathionine gamma-synthase MetB,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,,,unresolved
SputW3181_2289,metC,64.2,16.2,11.2,0.25,0.17,0.69,cystathionine beta-lyase MetC,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetR,,,unresolved
SputW3181_1250,metE,123.8,12.2,0.0,0.1,0.0,0.01,B12-independent methonine synthase C-terminal domain protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_0771,metE,94.0,5.4,13.6,0.06,0.14,2.52,B12-independent 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase MetE,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ and MetR,,,unresolved
SputW3181_3552,metF,733.2,28.4,42.4,0.04,0.06,1.5,"5,10-methylenetetrahydrofolate reductase MetF",Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,,,unresolved
SputW3181_0982,metH,131.2,12.2,16.8,0.09,0.13,1.38,B12-dependent 5-methyltetrahydrofolate--homocysteine methyltransferase MetH,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,,,unresolved
SputW3181_3302,metK,472.7,224.2,110.5,0.47,0.23,0.49,S-adenosylmethionine synthetase MetK,Central intermediary metabolism,General,Methionine degradation and salvage,Cytoplasm,MetJ,,,unresolved
SputW3181_3553,metL,388.9,44.6,11.2,0.11,0.03,0.25,bifunctional aspartokinase II/homoserine dehydrogenase methionine-sensitive MetL,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,,,unresolved
SputW3181_0770,metR,189.8,5.4,11.2,0.03,0.06,2.07,homocysteine-dependent transcriptional activator of methionine biosynthesis MetR,Regulatory functions,DNA interactions,Methionine biosynthesis,Cytoplasm,MetJ and MetR,,,unresolved
SputW3181_3252,metT,197.3,16.2,21.6,0.08,0.11,1.33,methionine:proton antiporter MetT,Transport and binding proteins,"Amino acids, peptides and amines",Methionine biosynthesis,Inner Membrane (11 transmembrane spans),MetJ,,,unresolved
SputW3181_3244,metY,528.5,47.3,68.9,0.09,0.13,1.46,O-acetylhomoserine (thiol)-lyase MetY,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,,,unresolved
SputW3181_1049,miaB,47.5,74.3,110.5,1.57,2.33,1.49,tRNA-N(6)-(isopentenyl)adenosine-37 thiotransferase enzyme MiaB,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_2617,miaE,25.1,20.3,12.0,0.81,0.48,0.59,tRNA-(MS(2)IO(6)A)-hydroxylase MiaE,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_3153,mipA,119.1,39.2,15.2,0.33,0.13,0.39,outer membrane MltA-interaction protein MipA,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Outer Membrane,,,,unresolved
SputW3181_3448,mlaB,94.9,56.7,36.0,0.6,0.38,0.64,ABC-type phospholipid uptake (salvage) system anti-anti-sigma factor MlaB,Regulatory functions,Protein interactions,Phopholipid salvage,Cytoplasm,,,,unresolved
SputW3181_0088,mmuM,59.5,12.2,3.2,0.2,0.05,0.26,homocysteine S-methyltransferase MmuM,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ,,,unresolved
SputW3181_0069,moaA,49.3,55.4,16.8,1.12,0.34,0.3,tungsten cofactor biosynthesis protein MoaA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungsten,Tungstate biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0245,moaD,114.4,89.1,40.8,0.78,0.36,0.46,molybdenum cofactor biosynthesis protein D MoaD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungsten,Molybdopterin biosynthesis,Cytoplasm,"MOCO riboswitch, NarP and Crp",,,unresolved
SputW3181_1582,mocA,59.5,59.4,20.0,1.0,0.34,0.34,CTP:molybdopterin cytidylyltransferase MocA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungsten,Molybdopterin biosynthesis,Cytoplasm,,,,unresolved
SputW3181_3941,moeA,20.5,21.6,46.4,1.06,2.27,2.15,molybdenum cofactor biosynthesis protein MoeA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungsten,Molybdopterin biosynthesis,Cytoplasm,,,,unresolved
SputW3181_4025,mogA,20.5,25.7,76.9,1.25,3.76,3.0,molybdenum cofactor biosynthesis protein MogA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungsten,Molybdopterin biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0491,motA,10.2,12.2,0.0,1.19,0.01,0.01,lateral flagellar motor rotation protein MotA,Cellular processes,Motility,Flagellar motility (Swarming),Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_0492,motB,8.4,8.1,3.2,0.97,0.38,0.4,lateral flagellar motor rotation protein MotB,Cellular processes,Motility,Flagellar motility (Swarming),Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_2421,motY,54.0,71.6,141.7,1.33,2.63,1.98,smf-dependent flagellar motor protein MotY,Cellular processes,Motility,Flagellar motility,Outer Membrane,,,,unresolved
SputW3181_0602,mscL,56.8,85.1,133.7,1.5,2.36,1.57,large conductance mechanosensitive ion channel protein MscL,Transport and binding proteins,Unknown substrate,,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_3603,mshC,10.2,10.8,0.0,1.06,0.01,0.01,MSHA minor pilin protein MshC,Transport and binding proteins,Secretion systems,Msh-type pilus,Periplasm,,,,unresolved
SputW3181_3602,mshD,9.3,13.5,0.0,1.45,0.01,0.01,MshA minor pilin protein MshD,Transport and binding proteins,Secretion systems,Msh-type pilus,Periplasm,,,,unresolved
SputW3181_3609,mshE,29.8,32.4,13.6,1.09,0.46,0.42,MSHA pilus assembly ATPase MshE,Transport and binding proteins,Secretion systems,Msh-type pilus,Cytoplasm,,,,unresolved
SputW3181_3607,mshF,29.8,29.7,6.4,1.0,0.22,0.22,MshA biogenesis protein MshF,Transport and binding proteins,Secretion systems,Msh-type pilus,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_3608,mshG,36.3,44.6,8.0,1.23,0.22,0.18,MSHA biogenesis protein MshG,Transport and binding proteins,Secretion systems,Msh-type pilus,Inner Membrane (3 transmembrane spans),,,,unresolved
SputW3181_3616,mshI1,17.7,29.7,7.2,1.68,0.41,0.24,MSHA biogenesis protein MshI1,Transport and binding proteins,Secretion systems,Msh-type pilus,Cytoplasm,,,,unresolved
SputW3181_3615,mshI2,15.8,25.7,5.6,1.62,0.35,0.22,MSHA biogenesis protein MshI2,Transport and binding proteins,Secretion systems,Msh-type pilus,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_3611,mshM,28.8,33.8,10.4,1.17,0.36,0.31,MSHA biogenesis protein MshM,Transport and binding proteins,Secretion systems,Msh-type pilus,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_2125,msrA,79.1,20.3,6.4,0.26,0.08,0.32,peptide methionine sulfoxide reductase MsrA,Protein fate,Protein modification and repair,Oxidative stress,Cytoplasm,MetJ,,,unresolved
SputW3181_4008,mtnC,47.5,59.4,136.1,1.25,2.87,2.29,"2,3-diketo-5-methylthio-1-phosphopentane phosphatase MtnC",Energy metabolism,Sulfur metabolism,Methionine salvage,Cytoplasm,,,,unresolved
SputW3181_0510,mutT,43.7,27.0,8.0,0.62,0.18,0.3,"7,8-dihydro-8-oxoguanine-triphosphatase MutT",DNA metabolism,"DNA replication, recombination, and repair",,Cytoplasm,,,,unresolved
SputW3181_2120,nadA,104.2,78.3,50.4,0.75,0.48,0.64,quinolinate synthetase NadA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_1037,nadD,10.2,9.5,20.8,0.92,2.03,2.2,nicotinate-nucleotide adenylyltransferase NadD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_1681,nadR,7.4,4.1,3.2,0.54,0.43,0.79,ribose phosphate pyrophosphokinase NadR,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,NrtR,,,unresolved
SputW3181_3087,nagA,7.4,5.4,2.4,0.73,0.32,0.44,N-acetylglucosamine-6-phosphate deacetylase NagA,Central intermediary metabolism,Amino sugars,N-acetylglucosamine degradation,Cytoplasm,NagR,,,unresolved
SputW3181_3092,nagR,24.2,40.5,60.9,1.67,2.52,1.5,transcriptional repressor of N-acetylglucosamine utilization NagR,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_2103,napC,5.6,4.1,11.2,0.73,2.01,2.77,periplasmic nitrate reductase membrane anchored tetracytochrome c component NapC,Energy metabolism,Electron transport,Nitrate and nitrite respiration,Inner Membrane (1 transmembrane span),NarP,,,unresolved
SputW3181_0793,napH,4.7,4.1,0.0,0.87,0.03,0.03,quinol dehydrogenase ferredoxin subunit NapH,Energy metabolism,Electron transport,Nitrate and nitrite respiration,Inner Membrane (4 transmembrane spans),NarP and Crp,,,unresolved
SputW3181_4022,natA,2.8,2.7,8.8,0.97,3.16,3.26,ABC-type sodium efflux system ATPase component NatA,Transport and binding proteins,Cations and iron carrying compounds,,Cytoplasm,,,,unresolved
SputW3181_4023,natB,3.7,4.1,12.0,1.09,3.23,2.96,ABC-type sodium efflux system permease component NatB,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_1870,ndk,93.0,140.5,478.0,1.51,5.14,3.4,nucleoside diphosphate kinase Ndk,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide and nucleoside interconversions,,Cytoplasm,,,,unresolved
SputW3181_2931,ner,8.4,6.8,0.0,0.81,0.01,0.02,prophage Mu transcriptional regulator Ner,Mobile and extrachromosomal element functions,Prophage functions,,Cytoplasm,,,,unresolved
SputW3181_0911,nfnB,13.0,16.2,4.8,1.24,0.37,0.3,bifunctional oxygen-insensitive NAD(P)H nitroreductase/dihydropteridine reductase NfnB,Energy metabolism,Nitrogen metabolism,,Cytoplasm,,,,unresolved
SputW3181_3296,nhaD,18.6,17.6,0.0,0.94,0.01,0.01,sodium:proton antiporter NhaD,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (14 transmembrane spans),,,,unresolved
SputW3181_1481,nlpE,133.1,32.4,61.7,0.24,0.46,1.9,Cpx pathway activator NlpE,Regulatory functions,Protein interactions,Cpx pathway envelope stress response,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_3742,nnrS,30.7,27.0,13.6,0.88,0.44,0.5,heme-copper-containing inner membrane protein NnrS,Cellular processes,Protein and prosthetic group repair,FeS cluster biogenesis and repair,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_0873,norZ,5.6,6.8,0.8,1.21,0.14,0.12,nitric oxide reductase NorZ,Cellular processes,Detoxification,Nitrosative stress response,Inner Membrane (14 transmembrane spans),NorR,,,unresolved
SputW3181_3322,nqrC,19.5,28.4,8.0,1.45,0.41,0.28,Na-translocating NADH-quinone reductase subunit C NqrC,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_2558,nrdG,63.3,58.1,29.6,0.92,0.47,0.51,anaerobic ribonucleoside-triphosphate reductase activating protein NrdG,"Purines, pyrimidines, nucleosides, and nucleotides",2'-Deoxyribonucleotide metabolism,Deoxyribonucleotide biosynthesis,Cytoplasm,NrdR,,,unresolved
SputW3181_3895,nrfB,1.9,4.1,7.2,2.18,3.87,1.78,respiratory nitrite reductase cytochrome c NrfB,Energy metabolism,Electron transport,Nitrate and nitrite respiration,Periplasm,,,,unresolved
SputW3181_1344,nrfJ,1365.0,1558.7,398.0,1.14,0.29,0.26,periplasmic protein of unknown function NrfJ,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_3686,nudE,102.4,77.0,49.6,0.75,0.49,0.64,ADP ribose diphosphatase NudE,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,Oxidative stress,Cytoplasm,,,,unresolved
SputW3181_1238,nusB,113.5,102.7,382.7,0.9,3.37,3.73,transcription antitermination factor NusB,Transcription,Transcription factors,,Cytoplasm,,,,unresolved
SputW3181_0144,nusG,237.3,297.2,829.5,1.25,3.5,2.79,transcription antitermination protein NusG,Transcription,Transcription factors,,Cytoplasm,,,,unresolved
SputW3181_3679,oel1,75.4,139.1,795.9,1.85,10.56,5.72,fatty acid desaturase Ole1,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Inner Membrane (4 transmembrane spans),FabR,,,unresolved
SputW3181_0888,ohrA,14.9,4.1,0.0,0.27,0.01,0.03,peroxiredoxin OhrA,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,,,,unresolved
SputW3181_2709,ompW,69.8,14.9,25.6,0.21,0.37,1.72,outer membrane protein OmpW,Transport and binding proteins,Porins and secretins,,Outer Membrane,NarP,,,unresolved
SputW3181_3357,panE,20.5,17.6,42.4,0.86,2.07,2.42,2-dehydropantoate 2-reductase PanE,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Coenzyme A biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0813,pcnB,34.4,40.5,89.7,1.18,2.6,2.21,polyA polymerase PcnB,Transcription,RNA processing,RNA degradation,Cytoplasm,,,,unresolved
SputW3181_0425,pduF,3.7,2.7,24.8,0.73,6.67,9.19,glycerol uptake facilitator protein PduF,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Glycerol degradation,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_0424,pduJ,11.2,8.1,0.0,0.73,0.01,0.02,propanediol utilization polyhedral body protein PduJ,Central intermediary metabolism,Polyol,Glycerol degradation,Microcompartment,,,,unresolved
SputW3181_0423,pduK,13.0,8.1,27.2,0.62,2.09,3.36,propanediol utilization polyhedral body protein PduK,Central intermediary metabolism,Polyol,Glycerol degradation,Microcompartment,,,,unresolved
SputW3181_0420,pduN,10.2,9.5,0.0,0.92,0.01,0.01,propanediol utilization polyhedral body protein PduN,Central intermediary metabolism,Polyol,Glycerol degradation,Microcompartment,,,,unresolved
SputW3181_0419,pduO,5.6,5.4,0.0,0.97,0.02,0.02,cob(I)alamin adenosyltransferase PduO,Central intermediary metabolism,Polyol,Glycerol degradation,Cytoplasm,,,,unresolved
SputW3181_0417,pduQ,14.0,13.5,5.6,0.97,0.4,0.41,propanol dehydrogenase PduQ,Central intermediary metabolism,Polyol,Glycerol degradation,Cytoplasm,,,,unresolved
SputW3181_0817,pepB,21.4,14.9,52.8,0.69,2.47,3.56,aminopeptidase PepB,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,,,unresolved
SputW3181_3384,pepO,33.5,40.5,88.9,1.21,2.65,2.19,outer membrane M13 family zinc endopeptidase PepO,Protein fate,"Degradation of proteins, peptides, and glycopeptides",Amino acid utilization,Extracellular Lipoprotein,TyrR,,,unresolved
SputW3181_0531,pepO,58.6,44.6,137.7,0.76,2.35,3.09,cell surface zinc endopeptidase PepO,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_2778,pfaB,7.4,5.4,0.8,0.73,0.11,0.15,omega-3 polyunsaturated fatty acid synthase PfaB,Fatty acid and phospholipid metabolism,Biosynthesis,EPA biosynthesis,Cytoplasm,,,,unresolved
SputW3181_2780,pfaD,7.4,5.4,0.0,0.73,0.02,0.02,omega-3 polyunsaturated fatty acid synthase subunit PfaD,Fatty acid and phospholipid metabolism,Biosynthesis,EPA biosynthesis,Cytoplasm,,,,unresolved
SputW3181_2776,pfaR,7.4,9.5,19.2,1.27,2.58,2.03,transcriptional regulator of eicosapentaenoic acid synthesis PfaR,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
