Table S1. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance under all co-culture conditions (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_G0145,atpCN,142.97,61.28,29.82,0.43,0.21,0.49,N-type Na+ translocating ATPase F1 complex epsilon subunit AtpCN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,
SYNPCC7002_G0152,atpGN,12.95,0.12,4.71,0.01,0.36,38.28,N-type Na+ translocating ATPase F1 complex gamma subunit AtpGN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,
SYNPCC7002_G0090,tonB,169.41,15.32,17.27,0.09,0.10,1.13,outer membrane transport energizing sytem component TonB,Energy metabolism,TonB energy transduction system,Iron homeostasis,Inner Membrane (1 transmembrane span),Fur
SYNPCC7002_G0136,exbD,100.35,20.43,17.27,0.20,0.17,0.85,outer membrane transport energizing sytem membrane anchored component ExbD,Energy metabolism,TonB energy transduction system,Iron homeostasis,Inner Membrane (1 transmembrane span),Fur
SYNPCC7002_G0137,exbB,65.82,0.12,7.85,0.00,0.12,63.81,outer membrane transport energizing sytem permease component ExbB,Energy metabolism,TonB energy transduction system,Iron homeostasis,Inner Membrane (3 transmembrane span),Fur
SYNPCC7002_A0250,ppsA,120.85,35.74,34.53,0.30,0.29,0.97,phosphoenolpyruvate synthase PpsA,Energy metabolism,Glycolysis/gluconeogenesis,Pyruvate dehydrogenase anaplerotic reactions,Cytoplasm,
SYNPCC7002_A0957,psbT,13443.94,4010.97,5721.43,0.30,0.43,1.43,photosystem II reaction center protein PsbT,Energy metabolism,Electron transport,Photosystem II,Thylakoid Membrane (1 transmembrane span),
SYNPCC7002_A0172,ndhF3,126.25,416.16,280.97,3.33,2.22,0.68,proton-translocating NADH-quinone dehydrogenase subunit 5 NdhF,Energy metabolism,CO2 fixation,CO2 fixation,Thylakoid Membrane (16 transmembrane spans),CcmR
SYNPCC7002_A2547,ndhB,147.29,321.69,318.64,2.17,2.17,0.99,proton-translocating NADH-quinone dehydrogenase subunit B NdhB,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (14 transmembrane spans),
SYNPCC7002_A2000,ndhD1,183.98,81.7,81.62,0.44,0.44,1.00,proton-translocating NADH-quinone dehydrogenase subunit D1 NdhD1,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (13 transmembrane spans),
SYNPCC7002_A2327,ndhD2,8.63,22.98,29.82,2.63,3.45,1.30,proton-translocating NADH-quinone dehydrogenase subunit D2 NdhD2,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (13 transmembrane spans),
SYNPCC7002_A2541,ndhH,240.63,1044.23,569.79,4.35,2.38,0.55,proton-translocating NADH-quinone dehydrogenase subunit H NdhH,Energy metabolism,Electron transport,Oxidative phosphorylation,Cytoplasm,
SYNPCC7002_A1591,ndhP,5060.23,1628.9,1590.07,0.32,0.31,0.98,proton-translocating NADH-quinone dehydrogenase subunit P NdhP,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (1 transmembrane span),
SYNPCC7002_A0655,pdhB,49.64,148.08,106.74,2.94,2.13,0.72,pyruvate dehydrogenase E1 component beta subunit PdhB,Energy metabolism,Pyruvate dehydrogenase,Pyruvate dehydrogenase anaplerotic reactions,Cytoplasm,
SYNPCC7002_A1443,nifJ,32.91,10.21,10.99,0.31,0.33,1.08,pyruvate:ferredoxin oxidoreductase NifJ,Energy metabolism,Pyruvate dehydrogenase,,Cytoplasm,"Fur, SufR, and NtcA"
SYNPCC7002_A1796,rbcS,3366.11,18645.53,7805.95,5.56,2.33,0.42,ribulose bisphosphate carboxylase small subunit RbcS,Energy metabolism,Photosynthesis,CO2 fixation,Carboxysome Lumen,
SYNPCC7002_A1094,sdhB,341.52,165.95,142.84,0.49,0.42,0.86,succinate dehydrogenase iron-sulfur subunit SdhB,Energy metabolism,TCA cycle,,Cytoplasm,
SYNPCC7002_A1460,talA,146.21,48.51,48.66,0.33,0.33,1.00,transaldolase TalA,Energy metabolism,Pentose phosphate pathway,,Cytoplasm,
SYNPCC7002_A2496,cagA,11.87,28.08,23.54,2.38,2.00,0.84,zinc-dependent gamma carbonic anhydrase CagA,Energy metabolism,CO2 fixation,CO2 fixation,Cytoplasm,
SYNPCC7002_A1002,fabB,2.16,5.11,4.71,2.38,2.17,0.92,3-oxoacyl-(acyl carrier protein) synthase II FabB,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,
SYNPCC7002_A1023,fabF,60.43,158.29,133.42,2.63,2.22,0.84,3-oxoacyl-(acyl carrier protein) synthase II FabF,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,
SYNPCC7002_A0070,fabZ,3.78,28.08,9.42,7.69,2.50,0.34,beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,
SYNPCC7002_A1763,dgk,11.87,51.06,42.38,4.35,3.57,0.83,diacylglycerol kinase Dgk,Fatty acid and phospholipid metabolism,Biosynthesis,Glycerophospholipid metabolism,Inner Membrane (3 transmembrane span),
SYNPCC7002_A1877,,7.01,142.98,83.19,20.00,12.50,0.58,bacteriophage holin,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage,Inner Membrane (2 transmembrane span),
SYNPCC7002_A1771,,25.9,7.66,9.42,0.30,0.36,1.23,CRISPR-associated helicase Cas3,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_A1778,cas2,66.9,10.21,29.82,0.15,0.45,2.92,CRISPR-associated protein Cas2,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_F0048,,305.37,58.72,50.23,0.19,0.16,0.86,CRISPR-associated RAMP protein Cmr2 family,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_F0047,,40.46,10.21,10.99,0.25,0.27,1.08,CRISPR-associated RAMP protein Cmr3 family,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_F0046,,43.16,5.11,14.13,0.12,0.33,2.77,CRISPR-associated RNA binding protein RAMP Cmr4 family,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_F0031,,7.55,48.51,31.39,6.25,4.17,0.65,DEAD/H helicase,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
SYNPCC7002_G0027,,5.93,2.55,1.57,0.43,0.26,0.61,phage integrase family protein,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
SYNPCC7002_D0001,parA,12.95,2.55,6.28,0.20,0.49,2.46,plasmid partitioning protein ParA,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
SYNPCC7002_A0194,hypE,55.57,15.32,15.7,0.28,0.28,1.02,[NiFe] hydrogenase expression/formation protein HypE,Protein fate,Protein modification and repair,Electron transfer - hydrogenase,Cytoplasm,
SYNPCC7002_A0203,hypB,21.58,2.55,6.28,0.12,0.29,2.46,[NiFe] hydrogenase nickel incorporation-associated protein HypB,Protein fate,Protein modification and repair,Electron transfer - hydrogenase,Cytoplasm,
SYNPCC7002_A2352,phoA,6.47,43.4,34.53,6.67,5.26,0.80,alkaline phosphatase PhoA,Protein fate,"Degradation of proteins, peptides, and glycopeptides",Phosphate homeostasis,Periplasm,SphR
SYNPCC7002_A1458,opcA,38.85,12.77,17.27,0.33,0.44,1.35,allosteric effector of glucose-6-phosphate dehydrogenase OpcA,Protein fate,Protein folding and stabilization,pentose phosphate pathway,Cytoplasm,
SYNPCC7002_A0216,ycf39,14.03,68.93,29.82,5.00,2.13,0.43,chaperone-like protein for quinone binding in Photosystem II Ycf39,Protein fate,Protein folding and stabilization,Photosystem II,Cytoplasm,
SYNPCC7002_A2635,,140.82,38.3,67.5,0.27,0.48,1.76,co-chaperone GrpE,Protein fate,Protein folding and stabilization,,Cytoplasm,
SYNPCC7002_A0763,,8.63,30.64,18.84,3.57,2.17,0.61,family S33 unassigned peptidase,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A1537,,11.87,28.08,29.82,2.38,2.50,1.06,intramembrane metalloprotease family M50,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Inner Membrane (8 transmembrane span),
SYNPCC7002_A2764,nlpD,101.97,204.25,233.88,2.00,2.27,1.15,M23 family aminopeptidase NlpD,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A0540,,21.58,5.11,9.42,0.24,0.44,1.84,membrane protein with DnaJ domain,Protein fate,Protein folding and stabilization,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1654,hhoA,33.45,79.15,70.63,2.38,2.13,0.89,periplasmic stress-inducible serine protease HhoA,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Periplasm,
SYNPCC7002_A0425,pratA,8.09,17.87,21.98,2.22,2.70,1.23,periplasmic tetratricopeptide repeat protein involved in photosystem II biogenesis PratA,Protein fate,Protein folding and stabilization,Photosystem II,Thylakoid Lumen,
SYNPCC7002_A1821,nblA,23.74,0.12,9.42,0.01,0.40,76.57,phycobilisome degradation protein NblA,Protein fate,General,Phycobilisome,Cytoplasm,
SYNPCC7002_A2596,,189.37,48.51,67.5,0.26,0.36,1.39,P-like pilus periplasmic chaperone PapD-like,Protein fate,Protein and peptide secretion and trafficking,P-type pilus,Periplasm,
SYNPCC7002_A1562,lgt,17.8,43.4,42.38,2.44,2.38,0.98,prolipoprotein diacylglyceryl transferase Lgt,Protein fate,Protein modification and repair,Lipoprotein biosynthesis,Inner Membrane (7 transmembrane span),
SYNPCC7002_A0899,pip,46.4,20.43,21.98,0.44,0.47,1.08,prolyl aminopeptidase Pip,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A1439,pcp,37.23,107.23,81.62,2.86,2.17,0.76,pyrrolidone-carboxylate peptidase Pcp,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A1797,rbcX,914.5,4153.95,4526.92,4.55,5.00,1.09,rubisco chaperone RbcX,Protein fate,Protein and peptide secretion and trafficking,CO2 fixation,Carboxysome Lumen,
SYNPCC7002_A2235,,32.91,232.34,97.32,7.14,2.94,0.42,Zn-dependent protease,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0224,,631.79,33017.11,13401.81,50.00,20.00,0.41,Zn-dependent protease with chaperone function,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A1677,rsmH,8.09,2.55,3.14,0.32,0.39,1.23,16S rRNA (cytosine1402-N4)-methyltransferase RsmH,Protein synthesis,tRNA and rRNA base modification,Ribosome biogenesis,Cytoplasm,
SYNPCC7002_A2357,rsuA,15.65,250.21,117.72,16.67,7.69,0.47,16S rRNA pseudouridylate 516 synthase RsuA,Protein synthesis,tRNA and rRNA base modification,Ribosome biogenesis,Cytoplasm,
SYNPCC7002_A1048,rplO,365.8,1608.47,860.18,4.35,2.33,0.53,50S ribosomal protein L15 RplO,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_A1033,rplS,570.82,1922.51,1232.19,3.33,2.17,0.64,50S ribosomal protein L19 RplS,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_A0490,rplU,250.34,599.99,552.52,2.38,2.22,0.92,50S ribosomal protein L21 RplU,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_A0988,rpmH,1372.56,245.1,627.87,0.18,0.46,2.56,50S ribosomal protein L34 RpmH,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_A1051,rplF,241.17,656.16,560.37,2.70,2.33,0.85,50S ribosomal protein L6 RplF,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_A0422,aspS,26.98,99.57,64.36,3.70,2.38,0.65,aspartyl-tRNA synthetase AspS,Protein synthesis,tRNA aminoacylation,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1495,pcnB,6.47,0.12,3.14,0.02,0.49,25.52,CC-adding tRNA nucleotidyltransferase PcnB,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A2079,fus,208.8,61.28,84.76,0.29,0.41,1.38,elongation factor G Fus,Protein synthesis,Translation factors,Elongation factors,Cytoplasm,
SYNPCC7002_A1563,queF,7.55,20.43,29.82,2.70,4.00,1.46,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1656,proS,15.65,91.91,37.67,5.88,2.38,0.41,prolyl-tRNA synthetase ProS,Protein synthesis,tRNA aminoacylation,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A2762,,21.04,148.08,45.52,7.14,2.17,0.31,ribosome-associated protein YbcJ,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome biogenesis,Cytoplasm,
SYNPCC7002_A1200,queA,7.01,30.64,18.84,4.35,2.70,0.61,S-adenosylmethionine:tRNA ribosyltransferase-isomerase QueA,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1238,selU,6.47,2.55,3.14,0.39,0.49,1.23,selenophosphate-dependent tRNA 2-selenouridine synthase SelU,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A2328,serS,15.11,66.38,61.22,4.35,4.00,0.92,seryl-tRNA synthetase SerS,Protein synthesis,tRNA aminoacylation,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A2062,fusA,586.47,2951.42,1459.79,5.00,2.50,0.49,translation elongation factor G FusA,Protein synthesis,Translation factors,Elongation factors,Cytoplasm,
SYNPCC7002_A2061,tufA,718.65,3201.63,1561.82,4.55,2.17,0.49,translation elongation factor Tu TufA,Protein synthesis,Translation factors,Elongation factors,Cytoplasm,
SYNPCC7002_A1045,infA,216.35,94.47,94.18,0.44,0.43,1.00,translation initiation factor IF-1 InfA,Protein synthesis,Translation factors,Initiation factors,Cytoplasm,
SYNPCC7002_A2407,trmD,4.32,15.32,12.56,3.57,2.94,0.82,tRNA (Guanine37-N1) -methyltransferase TrmD,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A0903,trmB,10.25,33.19,20.41,3.23,2.00,0.61,tRNA (guanine-N(7)-)-methyltransferase TrmB,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1170,trmE,32.91,89.36,70.63,2.70,2.13,0.79,tRNA modification GTPase TrmE,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1007,ygjD,7.01,17.87,14.13,2.56,2.00,0.79,tRNA threonylcarbamoyl adenosine modification protein YgjD,Protein synthesis,tRNA and rRNA base modification,,Cytoplasm,
SYNPCC7002_A1242,,13.49,28.08,28.25,2.08,2.08,1.01,tRNA threonylcarbamoyladenosine biosynthesis protein,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A0064,ushA,45.32,15.32,21.98,0.34,0.49,1.43,5'-nucleotidase UshA,"Purines, pyrimidines, nucleosides, and nucleotides",Sugar-nucleotide biosynthesis and conversions,,Periplasm,
SYNPCC7002_A2653,purB,47.48,127.66,100.46,2.70,2.13,0.79,adenylosuccinate lyase PurB,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,,Cytoplasm,
SYNPCC7002_A0012,nudF,346.92,74.04,97.32,0.21,0.28,1.31,ADP-ribose pyrophosphatase NudF,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,Protection against ADP-ribose accumulation,Cytoplasm,
SYNPCC7002_A0122,nudF,19.96,191.48,186.79,10.00,9.09,0.98,ADP-ribose pyrophosphatase NudF,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,,Cytoplasm,
SYNPCC7002_A0610,pyrFE,11.87,35.74,34.53,3.03,2.94,0.97,bifunctional orotidine 5'-phosphate decarboxylase/orotate phosphoribosyltransferase protein PyrFE,"Purines, pyrimidines, nucleosides, and nucleotides",Pyrimidine ribonucleotide biosynthesis,,Cytoplasm,
SYNPCC7002_A1309,thyX,81.47,33.19,31.39,0.41,0.38,0.95,flavin-dependent thymidylate synthase ThyX,"Purines, pyrimidines, nucleosides, and nucleotides",2'-Deoxyribonucleotide metabolism,,Cytoplasm,
SYNPCC7002_A1006,purU,4.32,10.21,21.98,2.38,5.00,2.15,formyltetrahydrofolate deformylase PurU,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,,Cytoplasm,
SYNPCC7002_G0007,,71.76,10.21,14.13,0.14,0.20,1.38,AraC family transcriptional regulator,Regulatory functions,DNA interactions,,Cytoplasm,
SYNPCC7002_G0096,,306.45,79.15,47.09,0.26,0.15,0.59,AraC family transcriptional regulator,Regulatory functions,DNA interactions,,Cytoplasm,
SYNPCC7002_G0099,,28.06,2.55,3.14,0.09,0.11,1.23,AraC family transcriptional regulator,Regulatory functions,DNA interactions,Iron homeostasis,Cytoplasm,Fur
SYNPCC7002_A2461,,67.98,28.08,18.84,0.41,0.28,0.67,bifunctional diguanylate cyclase/phosphodiesterase with PAS sensory domain and extracellular solute-binding domain,Regulatory functions,Small molecule interactions,c-di-GMP turnover,Inner Membrane (1 transmembrane span),
SYNPCC7002_A2816,,59.35,20.43,28.25,0.34,0.48,1.38,"bifunctional GTP pyrophosphokinase/ guanosine-3',5'-bisdiphosphate 3'-pyrophosphohydrolase",Regulatory functions,Small molecule interactions,Stringent response,Cytoplasm,
SYNPCC7002_A0852,,529.28,4115.65,2224.22,7.69,4.17,0.54,class II cyanobacteriochrome,Regulatory functions,General,Photoreceptor,Cytoplasm,
SYNPCC7002_A2477,,54.49,750.62,237.02,14.29,4.35,0.32,diguanylate cyclase,Regulatory functions,Small molecule interactions,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1849,lexA,47.48,15.32,21.98,0.32,0.46,1.43,DNA damage-responsive transcriptional repressor LexA,Regulatory functions,DNA interactions,DNA repair - Translesion DNA synthesis,Cytoplasm,
SYNPCC7002_A1993,,7.55,30.64,25.11,4.00,3.33,0.82,oxygen-responsive transcriptional regulator HxlR family,Regulatory functions,DNA interactions,,Cytoplasm,
SYNPCC7002_A1682,,15.11,84.25,39.24,5.56,2.63,0.47,serine/threonine protein kinase,Regulatory functions,Protein interactions,,Inner Membrane (3 transmembrane span),
SYNPCC7002_G0104,pchR,61.51,0.12,1.57,0.00,0.03,12.76,transcriptional regulator PchR,Regulatory functions,DNA interactions,Iron homeostasis,Cytoplasm,Fur
SYNPCC7002_A0289,kaiA,30.75,15.32,9.42,0.50,0.31,0.61,circadian clock protein KaiA,Signal transduction,General,Circadian clock,Cytoplasm,
SYNPCC7002_A0900,cikA,23.74,10.21,9.42,0.43,0.40,0.92,class II cyanobacteriochrome controlling circadium rythym CikA,Signal transduction,Two-component systems,Circadian clock,Cytoplasm,
SYNPCC7002_A2534,pixG,35.61,15.32,12.56,0.43,0.35,0.82,light-responsive two component signal transduction system response regulator PixG,Signal transduction,Two-component systems,Phototaxis,Cytoplasm,
SYNPCC7002_A0047,pixI,268.68,625.52,640.42,2.33,2.38,1.02,positive phototaxis adaptor protein PixI,Signal transduction,Taxis,Phototaxis,Cytoplasm,
SYNPCC7002_A0865,,11.87,0.12,4.71,0.01,0.40,38.28,two component signal transduction system histidine kinase with PAS domain,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A2365,,199.63,58.72,59.65,0.29,0.30,1.02,two component signal transduction system histidine kinase with PAS sensory domain,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A1261,,28.06,2.55,10.99,0.09,0.39,4.30,two component signal transduction system hybrid histidine kinase with PAS sensory domain,Signal transduction,Two-component systems,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A0997,,29.13,2.55,14.13,0.09,0.49,5.53,two component signal transduction system phosphotransferase,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A1110,,21.58,2.55,1.57,0.12,0.07,0.61,two component signal transduction system response regulator,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A1224,,231.46,45.96,17.27,0.20,0.07,0.38,two component signal transduction system response regulator,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A1452,,3.24,7.66,12.56,2.38,3.85,1.64,two component signal transduction system response regulator,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_G0058,,5.4,25.53,14.13,4.76,2.63,0.55,two component signal transduction system response regulator,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A0486,rpaB,2.7,15.32,9.42,5.56,3.45,0.61,two component signal transduction system response regulator RpaB,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A2869,,62.59,635.73,155.4,10.00,2.50,0.24,two component signal transduction system response regulator with diguanylate cyclase/phosphodiesterase activity,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A0618,deaD,60.43,158.29,158.54,2.63,2.63,1.00,ATP-dependent RNA helicase DeaD,Transcription,Degradation of RNA,RNA degradation,Cytoplasm,
SYNPCC7002_A2542,rnc,7.55,25.53,18.84,3.33,2.50,0.74,ribonuclease III Rnc,Transcription,RNA processing,Ribosome biogenesis,Cytoplasm,
SYNPCC7002_A2242,,17.26,86.81,43.95,5.00,2.56,0.51,ABC-2 transport system permease component,Transport and binding proteins,Unknown substrate,,Inner Membrane (6 transmembrane span),
SYNPCC7002_A2182,,5.93,28.08,21.98,4.76,3.70,0.78,ABC-2 type transport system permease component,Transport and binding proteins,Unknown substrate,,Inner Membrane (6 transmembrane span),
SYNPCC7002_A1748,agmB,25.9,2.55,12.56,0.10,0.49,4.92,ABC-type agmatine uptake system substrate-binding component AgmB,Transport and binding proteins,General,Agmatine uptake,Inner Membrane Lipoprotein,
SYNPCC7002_A1648,btuD,8.63,40.85,18.84,4.76,2.17,0.46,ABC-type B12/cobalamin uptake system ATPase component BtuD,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A0634,btuC,8.63,35.74,17.27,4.17,2.00,0.48,ABC-type B12/cobalamin uptake system permease component BtuC,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Inner Membrane (8 transmembrane span),cobalamine riboswitch
SYNPCC7002_A0635,btuF,11.33,25.53,25.11,2.27,2.22,0.98,ABC-type B12/cobalamin uptake system substrate-binding component BtuF,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Inner Membrane Lipoprotein,cobalamine riboswitch
SYNPCC7002_A1722,,35.07,10.21,12.56,0.29,0.36,1.23,ABC-type efflux pump ATPase component,Transport and binding proteins,Unknown substrate,,Cytoplasm,
SYNPCC7002_A0871,futC,121.93,20.43,29.82,0.17,0.24,1.46,ABC-type FeII uptake system ATPase component FutC,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,Fur
SYNPCC7002_A2507,futA,536.29,40.85,37.67,0.08,0.07,0.92,ABC-type FeII uptake system substrate-binding component FutA,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Periplasm,
SYNPCC7002_A1627,urtE,50.72,22.98,25.11,0.45,0.50,1.09,ABC-type high affinity urea uptake system ATPase component UrtE,Transport and binding proteins,"Amino acids, peptides and amines",Nitrogen assimilation - urea,Cytoplasm,
SYNPCC7002_G0080,,26.44,0.12,0.12,0.00,0.00,1.00,ABC-type iron chelate uptake system ATPase component,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,
SYNPCC7002_G0079,,32.37,5.11,10.99,0.16,0.34,2.15,ABC-type iron chelate uptake system permease component,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (8 transmembrane span),
SYNPCC7002_G0083,,27.52,0.12,1.57,0.00,0.06,12.76,ABC-type iron chelate uptake system substrate-binding component,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane Lipoprotein,
SYNPCC7002_G0086,fecE,90.64,15.32,14.13,0.17,0.16,0.92,ABC-type iron(III) dicitrate uptake system ATPase component FecE,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,Fur
SYNPCC7002_G0087,fecD,46.94,10.21,17.27,0.22,0.37,1.69,ABC-type iron(III) dicitrate uptake system permease component FecD,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (9 transmembrane span),Fur
SYNPCC7002_G0139,fecB,41,0.12,1.57,0.00,0.04,12.76,ABC-type iron(III) dicitrate uptake system substrate-binding component FecB,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane Lipoprotein,Fur
SYNPCC7002_A0770,lptA,22.12,120,78.48,5.56,3.57,0.65,ABC-type lipopolysaccharide export porin system periplasmic chaperone LptA,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Lipopolysaccharide export,Periplasm,
SYNPCC7002_A0825,oppB,5.4,12.77,12.56,2.38,2.33,0.98,ABC-type oligopeptide uptake system permease component OppB,Transport and binding proteins,"Amino acids, peptides and amines",Amino acid utilization,Inner Membrane (5 transmembrane span),
SYNPCC7002_A2148,oppB,7.01,20.43,15.7,2.94,2.22,0.77,ABC-type oligopeptide uptake system permease component OppB,Transport and binding proteins,"Amino acids, peptides and amines",Amino acid utilization,Inner Membrane (6 transmembrane span),
SYNPCC7002_A0759,phnE,2.16,10.21,4.71,4.76,2.17,0.46,ABC-type phosphonate uptake system permease component PhnE,Transport and binding proteins,Anions,Phosphate homeostasis,Inner Membrane (11 transmembrane span),
SYNPCC7002_G0142,phnE,20.5,7.66,9.42,0.37,0.46,1.23,ABC-type phosphonate uptake system permease component PhnE,Transport and binding proteins,Anions,Phosphate homeostasis,Inner Membrane (6 transmembrane span),
SYNPCC7002_G0100,,5.4,2.55,1.57,0.47,0.29,0.61,ABC-type siderophore uptake system permease and ATPase components,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (6 transmembrane span),
SYNPCC7002_G0102,,18.88,117.44,103.6,6.25,5.56,0.88,ABC-type siderophore uptake system substrate-binding component,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Periplasm,Fur
SYNPCC7002_A2721,,34.53,206.8,98.89,5.88,2.86,0.48,ABC-type transport system ATPase component,Transport and binding proteins,Unknown substrate,,Cytoplasm,
