Table S2. List of Shewanella W3-18-1 genes displaying ≥2-fold change in relative mRNA abundance under all co-culture conditions (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SputW3181_1831,hisG,14.9,63.5,203.4,4.26,13.66,3.2,ATP phosphoribosyltransferase HisG,Amino acid biosynthesis,Histidine family,Histidine biosynthesis,Cytoplasm,His attenuator
SputW3181_0459,fliN,11.2,4.1,0,0.36,0.01,0.03,lateral flagellar motor switch protein FliN,Cellular processes,Motility,Flagellar motility (Swarming),Cytoplasm,
SputW3181_1858,suhB,125.6,540.3,547.7,4.3,4.36,1.01,inositol-phosphate phosphatase SuhB,Central intermediary metabolism,Phosphorus compounds,,Cytoplasm,
SputW3181_0890,glpD,112.6,51.3,37.6,0.46,0.33,0.73,aerobic glycerol-3-phosphate dehydrogenase GlpD,Central intermediary metabolism,Polyol,Glycerol degradation,Cytoplasm,
SputW3181_3201,hmuA,21.4,4.1,1.6,0.19,0.07,0.4,TonB-dependent heme/hemoglobin receptor HmuA,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,Fur
SputW3181_2709,ompW,69.8,14.9,25.6,0.21,0.37,1.72,outer membrane protein OmpW,Transport and binding proteins,Porins and secretins,,Outer Membrane,NarP
SputW3181_1106,traK,27.9,9.5,11.2,0.34,0.4,1.19,IncJ-type conjugative transfer system secretin TraK,Transport and binding proteins,Porins and secretins,Conjugation,Outer Membrane,
SputW3181_0103,,64.2,12.2,7.2,0.19,0.11,0.59,putative bifunctional autotransporter / extracellular effector,Transport and binding proteins,Porins and secretins,,Outer Membrane & Extracellular,
SputW3181_1636,,143.3,47.3,37.6,0.33,0.26,0.8,TonB-dependent receptor,Transport and binding proteins,Porins and secretins,,Outer Membrane,
SputW3181_2584,,739.7,3453.8,6725.9,4.67,9.09,1.95,TonB-dependent receptor,Transport and binding proteins,Porins and secretins,,Outer Membrane,
SputW3181_2795,,8.4,2.7,0.8,0.32,0.1,0.3,TonB-dependent haem/haemoglobin receptor,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,
SputW3181_2481,B,50.2,21.6,18.4,0.43,0.37,0.85,LambdaSo-like portal protein B,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,
SputW3181_2522,dam,17.7,5.4,3.2,0.31,0.18,0.59,LambdaSo-like type II restriction-modification system DNA N-6-adenine-methyltransferase Dam,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,
SputW3181_2456,J,21.4,10.8,8.8,0.5,0.41,0.82,LambdaSo-like tail fiber protein J,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,
SputW3181_2463,L,32.6,12.2,4,0.37,0.12,0.33,LambdaSo-like minor tail protein L,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,
SputW3181_2475,,26.1,5.4,7.2,0.21,0.28,1.33,LambdaSo-like protein HK97-gp10 family,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,,
SputW3181_2477,,60.5,20.3,0,0.33,0,0.01,LambdaSo-like head-tail connector protein HK97-gp6 family,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,
SputW3181_2485,,26.1,9.5,0,0.36,0,0.01,LambdaSo-like endonuclease HNH family,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,
SputW3181_2495,,8.4,4.1,2.4,0.48,0.29,0.59,LambdaSo-like integrase,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,
SputW3181_2916,,3.7,10.8,9.6,2.9,2.58,0.89,HP1-like phage integrase,Mobile and extrachromosomal element functions,Prophage functions,,Cytoplasm,
SputW3181_2873,bamE,105.1,245.8,236.2,2.34,2.25,0.96,beta barrel protein translocation component BamE,Protein fate,Protein and peptide secretion and trafficking,Outer membrane protein trafficking,Outer Membrane Lipoprotein,
SputW3181_3706,hslR,9.3,31.1,120.9,3.34,12.99,3.89,heat shock protein HslR,Protein fate,Protein folding and stabilization,Stress respone - Heat shock,Cytoplasm,
SputW3181_2612,tig,156.3,313.4,530.1,2,3.39,1.69,trigger factor peptidyl-prolyl cis-trans isomerase Tig,Protein fate,Protein folding and stabilization,Cell division,Cytoplasm,
SputW3181_1685,chrR,270.8,75.6,111.3,0.28,0.41,1.47,anti-ECFsigma factor ChrR,Regulatory functions,Protein interactions,Singlet oxygen stress,Cytoplasm,
SputW3181_0700,glnK,15.8,402.5,50.4,25.45,3.19,0.13,regulatory protein for nitrogen assimilation GlnK,Regulatory functions,Protein interactions,Nitrogen assimilation,Cytoplasm,NtrC
SputW3181_1481,nlpE,133.1,32.4,61.7,0.24,0.46,1.9,Cpx pathway activator NlpE,Regulatory functions,Protein interactions,Cpx pathway envelope stress response,Outer Membrane Lipoprotein,
SputW3181_2177,hypA,6.5,14.9,19.2,2.28,2.95,1.29,NiFe hydrogenase nickel incorporation protein HypA,Protein fate,Protein modification and repair,Hydrogen respiration,Cytoplasm,
SputW3181_2125,msrA,79.1,20.3,6.4,0.26,0.08,0.32,peptide methionine sulfoxide reductase MsrA,Protein fate,Protein modification and repair,Oxidative stress,Cytoplasm,MetJ
SputW3181_3102,pilV,81,460.6,161.7,5.69,2,0.35,type IV pilin modification protein PilV,Protein fate,Protein modification and repair,T2bSS,Periplasm,
SputW3181_1215,,49.3,105.4,164.1,2.14,3.33,1.56,adenylosuccinate synthetase,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,Purine biosynthesis,Cytoplasm,
SputW3181_1872,ilvH,791.8,279.6,96.9,0.35,0.12,0.35,acetolactate synthase III small subunit IlvH,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosyntheiss,Cytoplasm,MetR
SputW3181_1873,ilvI,857,263.4,104.1,0.31,0.12,0.4,acetolactate synthase III large subunit IlvI,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosyntheiss,Cytoplasm,MetR
SputW3181_0339,rpmB,849.5,2317.8,3657.6,2.73,4.31,1.58,50S ribosomal protein L28 RpmB,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SputW3181_0340,rpmG,1331.5,3468.6,3736.9,2.61,2.81,1.08,50S ribosomal protein L33 RpmG,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SputW3181_3109,rpsT,2165.2,5839.1,4848.3,2.7,2.24,0.83,30S ribosomal protein S20 RpsT,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SputW3181_3057,rpsU,1385.5,3407.9,4974.8,2.46,3.59,1.46,30S ribosomal protein S21 RpsU,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SputW3181_1430,fliI,138.6,68.9,32.8,0.5,0.24,0.48,flagellar protein export ATPase FliI,Transport and binding proteins,Secretion systems,Flagellar motility,Cytoplasm,
SputW3181_3854,pilM,41.9,268.8,92.1,6.42,2.2,0.34,type IV pilus biogenesis protein PilM,Transport and binding proteins,Secretion systems,T2bSS,Cytoplasm,
SputW3181_3101,pilW,31.6,175.6,104.9,5.55,3.32,0.6,type IV minor pilin protein PilW,Transport and binding proteins,Secretion systems,T2bSS,Periplasm,
SputW3181_3100,pilX,43.7,239.1,142.5,5.47,3.26,0.6,type IV minor pilin protein PilX,Transport and binding proteins,Secretion systems,T2bSS,Periplasm,
SputW3181_3097,,50.2,151.3,116.1,3.01,2.31,0.77,type IV pilin system protein,Transport and binding proteins,Secretion systems,T2bSS,Periplasm,
SputW3181_0804,serA,289.4,72.9,94.5,0.25,0.33,1.3,D-3-phosphoglycerate dehydrogenase SerA,Amino acid biosynthesis,Serine family,Serine biosynthesis,Cytoplasm,Crp
SputW3181_3385,relV,58.6,8.1,4,0.14,0.07,0.49,(p)ppGpp synthetase RelV,Regulatory functions,Small molecule interactions,Stringent response,Inner Membrane (1 transmembrane span),
SputW3181_0692,galK,134,43.2,50.4,0.32,0.38,1.17,galactokinase GalK,Central intermediary metabolism,Sugars,Galactose degradation,Cytoplasm,
SputW3181_0691,galM,89.3,33.8,19.2,0.38,0.22,0.57,aldose 1-epimerase GalM,Central intermediary metabolism,Sugars,Galactose degradation,Cytoplasm,
SputW3181_2965,,183.3,27,16.8,0.15,0.09,0.62,ROK family protein,Central intermediary metabolism,Sugars,,Cytoplasm,
SputW3181_0010,,379.6,90.5,37.6,0.24,0.1,0.42,MOSC domain protein,Energy metabolism,Sulfur metabolism,Sulfur metabolism,Cytoplasm,
SputW3181_0807,csgA,16.7,663.2,36.8,39.6,2.2,0.06,major curlin subunit CsgA,Cell envelope,Surface structures,Curli amyloid fibers,Surface structure,
SputW3181_3909,fimA,153.5,18.9,44.8,0.12,0.29,2.37,P pilus component FimA,Cell envelope,Surface structures,P-type pilus,Surface structure,
SputW3181_0473,flgD,0.9,2.7,20,2.9,21.51,7.41,lateral flagellar hook capping protein FlgD,Cell envelope,Surface structures,Flagellar motility (Swarming),Surface structure,
SputW3181_0517,pilA,142.4,768.6,405.2,5.4,2.85,0.53,type IV pilin protein PilA,Cell envelope,Surface structures,T2bSS,Surface structure,
SputW3181_1286,,8.4,20.3,16.8,2.42,2.01,0.83,methyl accepting sensory transducer with PAS sensory domain,Signal transduction,Taxis,,Inner Membrane (1 transmembrane span),
SputW3181_2182,,7.4,28.4,24.8,3.81,3.33,0.88,chemotaxis signal transduction system methyl accepting sensory transducer,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),
SputW3181_3885,,115.4,48.6,51.2,0.42,0.44,1.05,methyl-accepting chemotaxis protein with Cache sensory domain,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),HexR
SputW3181_2866,aceB,24.2,51.3,1240.3,2.12,51.27,24.16,malate synthase A AceB,Energy metabolism,TCA cycle,Glyoxylate bypass,Cytoplasm,"HexR, LiuR, PsrA, TyrR, and PdhR"
SputW3181_2085,thiDE,492.2,243.1,32.8,0.49,0.07,0.14,bifunctional hydroxy-(phospho)methylpyrimidine kinase/thiamine-phosphate pyrophosphorylase ThiDE,"Biosynthesis of cofactors, prosthetic groups, and carriers",Thiamine,Thiamine (B1) biosynthesis and salvage,Cytoplasm,Tpp riboswitch
SputW3181_2082,thiG,206.6,104,12.8,0.5,0.06,0.12,thiazole-phosphate synthase ThiG,"Biosynthesis of cofactors, prosthetic groups, and carriers",Thiamine,Thiamine (B1) biosynthesis and salvage,Cytoplasm,Tpp riboswitch
SputW3181_3542,tonB,9.3,24.3,30.4,2.61,3.27,1.25,TonB mediated energy transduction system energy transducer component TonB,Energy metabolism,TonB energy transduction system,TonB energy transduction system,Periplasm,
SputW3181_0920,lrgA,185.2,4.1,31.2,0.02,0.17,7.71,inner membrane protein LrgA,Cellular processes,Toxin production and resistance,Murein hydrolase regulation and cell death,Inner Membrane (4 transmembrane spans),
SputW3181_0921,lrgB,143.3,6.8,18.4,0.05,0.13,2.73,inner membrane protein LrgB,Cellular processes,Toxin production and resistance,Murein hydrolase regulation and cell death,Inner Membrane (6 transmembrane spans),
SputW3181_2727,,40.9,176.9,96.9,4.32,2.37,0.55,polymorphic toxin IMM17 family immunity protein,Cellular processes,Toxin production and resistance,Polymorphic toxins and immunity,Cytoplasm,
SputW3181_0815,dksA,202.8,494.4,605.3,2.44,2.98,1.22,RNA polymerase-binding protein DksA,Transcription,Transcription factors,,Cytoplasm,
SputW3181_1263,rpoS,126.5,705.1,325.9,5.57,2.58,0.46,RNA polymerase sigma-38 factor RpoS,Transcription,Transcription factors,Sigma factors,Cytoplasm,
SputW3181_1686,,539.7,127,113.7,0.24,0.21,0.9,RNA polymerase sigma factor ECF family 11,Transcription,Transcription factors,,Cytoplasm,
SputW3181_2133,efp,431.7,1045.5,957.6,2.42,2.22,0.92,translation elongation factor P Efp,Protein synthesis,Translation factors,,Cytoplasm,
SputW3181_1783,infA,127.5,306.6,741.5,2.41,5.82,2.42,translation initiation factor IF-1 InfA,Protein synthesis,Translation factors,,Cytoplasm,
SputW3181_0496,dusB,108.9,272.8,529.3,2.51,4.86,1.94,tRNA-dihydrouridine synthase DusB,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,
SputW3181_3339,rluA,0.9,2.7,14.4,2.9,15.49,5.34,23S rRNA pseudouridine746 synthase RluA,Protein synthesis,tRNA and rRNA base modification,Ribosome biogenesis,Cytoplasm,
SputW3181_1753,phoP,100.5,29.7,15.2,0.3,0.15,0.51,two component signal transduction system response regulator PhoP,Signal transduction,Two-component systems,,Cytoplasm,
SputW3181_1752,phoQ,40,17.6,17.6,0.44,0.44,1,two component signal transduction system histidine kinase PhoQ,Signal transduction,Two-component systems,,Inner Membrane (3 transmembrane spans),
SputW3181_0101,,71.6,35.1,14.4,0.49,0.2,0.41,two component signal transduction system OmpR family response regulator,Signal transduction,Two-component systems,,Cytoplasm,
SputW3181_0802,,205.6,82.4,56.9,0.4,0.28,0.69,two component signal transduction system response regulator with HD domain,Signal transduction,Two-component systems,,Cytoplasm,
SputW3181_0799,attE,100.5,28.4,25.6,0.28,0.25,0.9,ABC-type export system ATPase component AttE,Transport and binding proteins,Unknown substrate,,Cytoplasm,
SputW3181_0798,attFG,51.2,14.9,25.6,0.29,0.5,1.72,ABC-type export system permease component AttFG,Transport and binding proteins,Unknown substrate,,Inner Membrane (10 transmembrane spans),
SputW3181_0686,,22.3,2.7,0,0.12,0.01,0.05,HAE1 family effllux pump MFP component,Transport and binding proteins,Unknown substrate,,Periplasm,
SputW3181_0687,,35.4,5.4,4,0.15,0.11,0.74,HAE1 family effllux pump permease component,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane spans),
SputW3181_1005,,8.4,18.9,30.4,2.26,3.63,1.61,periplasmic substrate binding protein family 3,Transport and binding proteins,Unknown substrate,,Periplasm,
SputW3181_1280,,6.5,13.5,24,2.07,3.69,1.78,periplasmic solute binding protein,Transport and binding proteins,Unknown substrate,,Periplasm,
SputW3181_1372,,16.7,37.8,40,2.26,2.39,1.06,RND superfamily efflux pump MFP component,Transport and binding proteins,Unknown substrate,,Inner Membrane Lipoprotein,
SputW3181_1732,,4.7,14.9,11.2,3.19,2.41,0.75,RND superfamily efflux pump permease component 2,Transport and binding proteins,Unknown substrate,,Inner Membrane (14 transmembrane spans),
SputW3181_1813,,37.2,78.3,104.9,2.1,2.82,1.34,MMPL family efflux pump,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane spans),
SputW3181_3239,,28.8,63.5,71.3,2.2,2.47,1.12,TRAP transporter substrate-binding component,Transport and binding proteins,Unknown substrate,,Inner Membrane Lipoprotein,
SputW3181_3540,,254,90.5,111.3,0.36,0.44,1.23,10 TMS drug/metabolite efflux pump (DME) family,Transport and binding proteins,Unknown substrate,,Inner Membrane (10 transmembrane spans),
SputW3181_3576,,0.9,4.1,4,4.35,4.3,0.99,ABC-type transport system substrate-binding component,Transport and binding proteins,Unknown substrate,,Periplasm,
,,,,,,,,,,,,,
"1 RPKM is defined as a number of reads per kilobase of transcript per million of mapped reads. If the number of reads that map to a given transcript t is Mt, the length of that transcript is Lt, and the total number of mapped reads is M, such that M= ΣMt, then RPKM = (109*Mt)/(Lt*M)",,,,,,,,,,,,,
