NATL2_03901,PMN2A_RS01875,PMN2A_1694,-0.207,1.537***,1.008***,-0.46,-0.653,-0.707,,thioesterase,4-hydroxybenzoyl-CoA thioesterase family active site,
NATL2_03911,PMN2A_RS01880,PMN2A_1695,-0.457,-1.868***,-7.358***,-0.118,0.131,-1.492***,hemK,N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase,"Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2",
NATL2_03921,PMN2A_RS01885,PMN2A_1696,-0.656,-4.978***,-7.217***,-1.08***,-1.441***,-2.648***,sua5,translation factor,putative translation factor (SUA5),
NATL2_03931,PMN2A_RS01895,PMN2A_1697,-0.088,-4.064***,-5.751***,-0.689,-2.498***,-3.576***,minE,cell division topological specificity factor MinE,Cell division topological specificity factor MinE,
NATL2_03941,PMN2A_RS01900,PMN2A_1698,-0.083,-4.246***,0.101,-0.088,-2.662***,-3.116***,minD,septum site-determining protein MinD,Septum site-determining protein MinD,
NATL2_03951,PMN2A_RS01905,PMN2A_1699,0.512,-1.996***,-3.488***,0.381,1.201,2.72***,minC,septum site-determining protein MinC,Septum site-determining protein MinC,
NATL2_03961,PMN2A_RS01910,PMN2A_1700,-0.674,-0.429,-2.422***,-0.901,-0.322,-0.73,,HD family phosphohydrolase,"dNTP triphosphohydrolase, putative",
NATL2_03971,PMN2A_RS01915,PMN2A_1701,0.205,1.631***,0.941***,0.182,0.395,0.462,,peptidase S41,Periplasmic protease,
NATL2_03981,PMN2A_RS01920,PMN2A_1702,0.285,2.005***,2.428***,0.381,0.949***,1.452***,petB,cytochrome B6,"Cytochrome b6-f complex subunit, cytochrome b6",
NATL2_03991,PMN2A_RS01925,PMN2A_1703,0.321,0.982***,1.873***,0.103,0.975***,2.232***,petD,cytochrome b6-f complex subunit 4,Cytochrome b6-f complex subunit IV (PetD),
NATL2_04001,PMN2A_RS01930,PMN2A_1704,-0.492,-1.261,1.382***,-0.306,-0.573,-1.572***,,alkaline invertase,putative neutral invertase-like protein,
NATL2_04011,PMN2A_RS01960,PMN2A_1705,0.485,2.458***,2.239***,0.543,1.668***,2.82***,mutM,formamidopyrimidine-DNA glycosylase,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),
NATL2_04021,PMN2A_RS01965,PMN2A_1706,0.26,2.082***,-4.046***,0.482,0.613,2.37***,psaE,photosystem I reaction center subunit IV,photosystem I subunit IV (PsaE),
NATL2_04031,PMN2A_RS01970,PMN2A_1707,-0.451,-0.384,-5.938***,0.242,0.549,0.923***,,hypothetical protein,FIG00940522: hypothetical protein,
NATL2_04041,PMN2A_RS01975,PMN2A_1708,1.503,1.595***,4.993***,0.877,3.012***,1.965***,,peptidoglycan-binding protein LysM,possible LysM domain,
NATL2_04051,PMN2A_RS01980,PMN2A_1709,1.545***,3.547***,5.036***,1.459***,2.697***,4.607***,,aldehyde dehydrogenase,Aldehyde dehydrogenase (EC 1.2.1.3),
NATL2_04061,PMN2A_RS01985,PMN2A_1710,3.308***,6.932***,3.906***,3.827***,4.026***,2.491***,,hypothetical protein,FIG00942275: hypothetical protein,
NATL2_04081,PMN2A_RS01995,PMN2A_1922,2.16***,3.366***,6.335***,1.976***,3.902***,4.174***,,hypothetical protein,FIG00940822: hypothetical protein,
NATL2_04091,PMN2A_RS02005,PMN2A_1712,0.45,6.984***,-6.35***,-0.013,1.101,-1.475***,,hypothetical protein,FIG00941540: hypothetical protein,
NATL2_04101,PMN2A_RS02010,PMN2A_1713,-0.107,-1.316***,-3.209***,0.046,0.687,-0.798,,hypothetical protein,hypothetical protein,
NATL2_04111,PMN2A_RS02015,PMN2A_1714,2.303***,1.683***,6.521***,1.226,2.026***,6.297***,,hypothetical protein,hypothetical protein,
NATL2_04121,PMN2A_RS02020,PMN2A_1715,2.303***,-0.154,4.909***,2.999***,-2.018***,3.18***,,high light inducible protein,FIG00940767: hypothetical protein,
NATL2_04141,PMN2A_RS02025,PMN2A_1925,1.484***,0.276,4.352***,1.398,-2.261***,5.189***,,high light inducible protein,hypothetical protein,
NATL2_04151,PMN2A_RS02030,PMN2A_1716,1.073,-1.164,2.408***,0.694,-2.89***,4.049***,,high light inducible protein,possible high light inducible protein,
NATL2_04161,,PMN2A_1717,0.883,-0.491,6.806***,2.086,-2.409***,4.772***,,,FIG00940228: hypothetical protein,
NATL2_04171,,PMN2A_1718,1.041,0.502,3.24***,-0.001,-2.353***,3.432***,,,possible high light inducible protein,
NATL2_04181,,PMN2A_1926,-2.997***,-7.768***,-5.57***,-1.271,-3.777***,0.763,,,hypothetical protein,
NATL2_04191,PMN2A_RS02045,PMN2A_1719,0.289,0.108,1.5***,0.079,1.369,1.516***,,hypothetical protein,Translation elongation factor P,
NATL2_04201,PMN2A_RS02050,PMN2A_1720,-0.078,-3.881***,2.943***,-0.548,-0.436,0.026,,hypothetical protein,hypothetical protein,
NATL2_04211,PMN2A_RS02065,PMN2A_1721,0.161,-2.371***,-6.077***,-0.111,-0.051,-1.978***,aroQ,3-dehydroquinate dehydratase,3-dehydroquinate dehydratase II (EC 4.2.1.10),Synpcc7942_0915; decreased
NATL2_04221,PMN2A_RS02070,PMN2A_1722,-0.063,-1.636***,-6.841***,0.24,-0.317,-2.301***,miaE,hydroxylase,tRNA-(ms[2]io[6]A)-hydroxylase (EC 1.-.-.-),
NATL2_04231,PMN2A_RS02075,PMN2A_1723,-0.522,-4.555***,-0.094,-0.578,-1.269***,-3.16***,cobI/cbiL,precorrin-2 C20-methyltransferase,Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130),
NATL2_04241,PMN2A_RS02080,PMN2A_1724,-0.662,-1.116***,-5.586***,-0.2,-1.251***,-2.63***,,tRNA-dihydrouridine synthase,tRNA dihydrouridine synthase B (EC 1.-.-.-),
NATL2_04261,PMN2A_RS02085,PMN2A_1725,0.093,-1.647***,-4.853***,-0.421,-0.896,-0.761,,hypothetical protein,FIG00942835: hypothetical protein,
NATL2_04271,PMN2A_RS02090,PMN2A_1726,-1.182***,-0.822***,-6.587***,-0.962***,-1.786***,-3.231***,,GTPase Der,GTP-binding protein EngA,
NATL2_04281,PMN2A_RS02095,PMN2A_1727,-0.849,-2.826***,-6.37***,-0.729,-0.584,-3.508***,cbiQ,cobalt ABC transporter permease,Transmembrane component of general energizing module of ECF transporters,
NATL2_04291,PMN2A_RS02100,PMN2A_1728,-2.085***,-3.865***,-6.329***,-0.62,-2.813***,-4.197***,,hypothetical protein,FIG023675: hypothetical protein,
NATL2_04301,PMN2A_RS02105,PMN2A_1729,-0.492,-3.968***,-6.734***,-0.086,-0.47,-1.431***,,hypothetical protein,"Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC",
NATL2_04311,PMN2A_RS02110,PMN2A_1730,-0.681,-2.499***,-6.361***,-0.65,-1.183***,-5.589***,,cell division protein SepF,CBSS-74546.3.peg.720: hypothetical protein,
NATL2_04321,PMN2A_RS02115,PMN2A_1731,-1.505***,-5.01***,-6.479***,-1.663***,-2.665***,-6.126***,proC,pyrroline-5-carboxylate reductase,Pyrroline-5-carboxylate reductase (EC 1.5.1.2),
NATL2_04341,PMN2A_RS02125,PMN2A_1733,0.666,-0.021,1.592***,0.975,0.833,-0.47,recO,DNA repair protein RecO,DNA recombination and repair protein RecO,
NATL2_04351,PMN2A_RS02130,PMN2A_1734,1.056,2.091***,0.768,0.922,1.594***,0.092,deoC,deoxyribose-phosphate aldolase,Deoxyribose-phosphate aldolase (EC 4.1.2.4),
NATL2_04361,PMN2A_RS02135,PMN2A_1735,0.893,2.216***,0.097,0.839,0.663,-0.455,hpf,ribosome-associated inhibitor A/sigma 54 modulation protein,Ribosomal subunit interface protein,Synpcc7942_2352; increased
NATL2_04371,PMN2A_RS02140,PMN2A_1736,0.212,-2.598***,-6.415***,0.256,0.089,-2.57***,lipB,octanoyltransferase,Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase,
NATL2_04381,PMN2A_RS02145,PMN2A_1737,0.689,1.232***,1.801***,0.544,1.206***,0.035,fadD,long-chain fatty acid--CoA ligase,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),
NATL2_04391,PMN2A_RS02150,PMN2A_1738,-0.025,-1.369,3.061***,-0.011,-3.141***,-2.078***,,hypothetical protein,FIG00940799: hypothetical protein,Synpcc7942_0919; decreased
NATL2_04401,PMN2A_RS02155,PMN2A_1739,0.439,0.353,-6.361***,0.556,-0.557,-4.051***,aceF,branched-chain alpha-keto acid dehydrogenase subunit E2,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12),
NATL2_04411,PMN2A_RS02160,PMN2A_1740,0.306,-4.085***,-6.492***,-0.167,-0.684,-4.089***,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-),
NATL2_04421,PMN2A_RS02165,PMN2A_1741,0.602,0.255,-2.71***,0.51,-0.274,-4.079***,,cysteine synthase,Cysteine synthase (EC 2.5.1.47),
NATL2_04431,PMN2A_RS02170,PMN2A_1742,-0.705,0.157,-3.766***,-1.605,-0.062,-3.395***,,cystathionine gamma-synthase,Cystathionine gamma-synthase (EC 2.5.1.48) / Cystathionine gamma-synthase (EC 2.5.1.48) fungal type,
NATL2_04441,PMN2A_RS02175,PMN2A_1743,-0.624***,-5.746***,-7.385***,-0.682***,-1.716***,-4.134***,metB,cystathionine gamma-synthase,Cystathionine beta-lyase (EC 4.4.1.8),
NATL2_04451,PMN2A_RS02180,PMN2A_1744,-0.622,-0.204,-1.555***,-0.711,-1.377***,-1.16***,rpsD,30S ribosomal protein S4,SSU ribosomal protein S4p (S9e),
NATL2_04461,PMN2A_RS02185,PMN2A_1745,-0.362,1.461***,-5.562***,-0.029,-0.462,-0.813,,hypothetical protein,Protein YidD,
NATL2_04471,PMN2A_RS02190,PMN2A_1746,-1.545,-0.14,-5.638***,-0.762,-1.176,-0.507,,thioredoxin,Thioredoxin family protein,
NATL2_04481,PMN2A_RS02195,PMN2A_1747,-0.361,1.005***,2.437***,0.068,0.321,-1.121***,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2 6-diaminopimelate ligase,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)",
NATL2_04491,PMN2A_RS02200,PMN2A_1748,-1.057,-5.515***,-6.445***,-1.681***,-1.853***,-4.339***,,L-cysteine/cystine lyase,Cysteine desulfurase (EC 2.8.1.7),
NATL2_04501,,PMN2A_1928,-2.101***,2.429***,0,-0.234,-0.855,-0.578,,,Conserved hypothetical protein,
NATL2_04511,PMN2A_RS02205,PMN2A_1749,-1.211,-3.303***,-5.746***,-0.418,-2.096***,0.821,,hypothetical protein,FIG00941297: hypothetical protein,
NATL2_04521,PMN2A_RS02210,PMN2A_1750,-1.168***,-1.176***,-6.383***,-0.638,-0.445,-1.719***,,hydantoin utilization protein A,Nickel transporter UreH,
NATL2_04531,,PMN2A_1929,-0.987,-6.482***,-4.888***,-1.873,-2.466,0.306,,,hypothetical protein,
NATL2_04541,PMN2A_RS02215,PMN2A_1751,0.332,-5.586***,-5.675***,-0.291,-0.397,-1.584,,hypothetical protein,FIG00940485: hypothetical protein,
NATL2_04551,PMN2A_RS02220,PMN2A_1752,-0.876***,-1.593***,-5.79***,-0.058,-0.942***,-2.505***,,nitrogen-fixing protein NifU,NifU-like domain protein,
NATL2_04561,PMN2A_RS02225,PMN2A_1753,-0.592,-2.422***,-7.548***,-0.139,-0.172,-0.684***,mqo,malate:quinone oxidoreductase,Malate:quinone oxidoreductase (EC 1.1.5.4),
NATL2_04571,,PMN2A_1930,-0.652,-5.973***,-2.442***,-0.422,-0.701,0.476,,,FIG00940900: hypothetical protein,
NATL2_04581,PMN2A_RS02230,PMN2A_1754,-0.401,0.345,-6.141***,-0.172,-0.186,-1.413***,lepA,elongation factor 4,Translation elongation factor LepA,
NATL2_04601,PMN2A_RS02240,PMN2A_1755,-0.639,-1.312***,-6.636***,0.299,-1.464***,-4.275***,oppC,peptide ABC transporter,Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1),
NATL2_04611,PMN2A_RS02245,PMN2A_1756,-0.269,-8.841***,-7.235***,-0.517,-4.658***,-3.379***,,RNA methyltransferase,tRNA (Guanosine18-2'-O-) -methyltransferase (EC 2.1.1.34),
NATL2_04621,PMN2A_RS02250,PMN2A_1757,-1.168***,-4.531***,-3.561***,-1.294***,-6.912***,-4.812***,,porin,porin homolog,
NATL2_04631,PMN2A_RS02255,PMN2A_1758,-0.127,-3.022***,-5.975***,0.038,-0.843,0.601,sun,16S rRNA methyltransferase,Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-),
NATL2_04641,PMN2A_RS02260,PMN2A_1759,-0.811***,-0.693***,-5.027***,-1.068***,-1.753***,-1.163***,chlG,chitin-binding protein,Chlorophyll a synthase ChlG (EC 2.5.1.62),
NATL2_04651,PMN2A_RS02265,PMN2A_1760,-0.845,-2.169***,3.076***,-0.524,-1.792***,-0.405,,hypothetical protein,FIG00940133: hypothetical protein,
NATL2_04661,PMN2A_RS02270,PMN2A_1761,-0.363,-1.92***,1.21***,-0.358,-1.155***,-1.791***,hisF,imidazole glycerol phosphate synthase subunit HisF,Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-),
NATL2_04671,PMN2A_RS02275,PMN2A_1762,-0.229,-7.265***,-5.219***,0.533,0.084,-0.29,ubiE,SAM-dependent methyltransferase,"2-heptaprenyl-1,4-naphthoquinone methyltransferase (EC 2.1.1.163)",
NATL2_04681,PMN2A_RS02280,PMN2A_1763,-0.125,-4.217***,-5.166***,0.331,-0.284,-1.769***,,hypothetical protein,FIG00940877: hypothetical protein,
NATL2_04691,PMN2A_RS02285,PMN2A_1764,-1.032***,-0.258,-6.207***,-0.513,-1.801***,-2.07***,pspA,membrane protein,Phage shock protein A,
NATL2_04701,PMN2A_RS02290,PMN2A_1765,-0.684,-3.727***,-1.921***,0.04,0.164,-1.045***,birA,biotin--[acetyl-CoA-carboxylase] synthetase,Biotin-protein ligase (EC 6.3.4.15),
NATL2_04711,PMN2A_RS02295,PMN2A_1766,-0.099,-0.845,-6.527***,-0.284,-0.953,-1.109***,salX,macrolide ABC transporter ATP-binding protein,Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-),
NATL2_04721,PMN2A_RS02300,PMN2A_1767,-0.767***,-2.535***,-7.069***,-0.543,-1.937***,-4.375***,ndhB,NAD(P)H-quinone oxidoreductase subunit 2,NADH dehydrogenase subunit 2,
NATL2_04731,PMN2A_RS02305,PMN2A_1768,-0.28,-0.852***,-5.802***,-0.073,-0.711,-2.471***,topA,DNA topoisomerase I,DNA topoisomerase I (EC 5.99.1.2),
NATL2_04741,PMN2A_RS02310,PMN2A_1769,0.133,-4.692***,-7.57***,0.703,0.795,-1.376***,,hypothetical protein,FIG00940380: hypothetical protein,
NATL2_04751,PMN2A_RS02315,PMN2A_1770,-1.211,-5.135***,-6.316***,-0.124,-1.991***,-2.535***,,hypothetical protein,FIG00940675: hypothetical protein,
NATL2_04761,PMN2A_RS02320,PMN2A_1771,-1.202,-2.721***,-6.698***,-0.975,-1.052***,-3.149***,cobT,hypothetical protein,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21),
NATL2_04771,PMN2A_RS02325,PMN2A_1772,-0.846,2.575***,-5.525***,-2.317***,-2.26***,-3.757***,,hypothetical protein,Periplasmic binding protein-like II superfamily,
NATL2_04781,PMN2A_RS02330,PMN2A_1773,-0.65,-4.947***,-5.554***,0.441,-1.845***,-4.56***,ribE,riboflavin synthase subunit alpha,Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9),
NATL2_04791,PMN2A_RS02335,PMN2A_1774,-0.227,-1.856***,-6.069***,-0.357,-1.937***,-6.04***,,transcriptional regulator,AbrB family transciptional regulator,
NATL2_04801,PMN2A_RS02340,PMN2A_1775,-0.948***,-5.004***,-6.623***,-0.28,-1.845***,-5.321***,ctaE,cytochrome B6,Cytochrome c oxidase polypeptide III (EC 1.9.3.1),
NATL2_04811,PMN2A_RS02345,PMN2A_1776,-0.33,-3.318***,-1.891***,-0.61,-1.64***,-5.681***,ctaD,cytochrome C oxidase subunit I,Cytochrome c oxidase polypeptide I (EC 1.9.3.1),Synpcc7942_2603; increased
NATL2_04821,PMN2A_RS02350,PMN2A_1777,-0.218,-1.522***,-6.028***,0.301,-1.91***,-6.255***,ctaC,cytochrome C oxidase subunit II,Cytochrome c oxidase polypeptide II (EC 1.9.3.1),Synpcc7942_2602; increased
NATL2_04831,PMN2A_RS02355,PMN2A_1778,-0.468,-2.627***,-6.335***,-0.742,-3.058***,-7.698***,ctaA,cytochrome C oxidase assembly protein,"Heme A synthase, cytochrome oxidase biogenesis protein Cox15-CtaA",Synpcc7942_2601; increased
NATL2_04841,PMN2A_RS02360,PMN2A_1779,-1.059***,-3.774***,-6.798***,-0.758,-3.242***,-7.566***,cyoE,protoheme IX farnesyltransferase,"Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB",Synpcc7942_2600; increased
NATL2_04851,PMN2A_RS02365,PMN2A_1780,-0.551,-2.869***,-6.373***,-0.14,-2.362***,-3.827***,ccmA,lysozyme,ABC-type multidrug transport system ATPase component,
NATL2_04861,PMN2A_RS02370,PMN2A_1781,-0.331,-4.933***,-7.249***,-0.421,-2.894***,-4.383***,,transporter,putative multidrug efflux ABC transporter,
NATL2_04871,PMN2A_RS02375,PMN2A_1782,-0.044,-0.449,-0.667,-0.116,0.762,-1.422***,,hypothetical protein,possible Arenavirus glycoprotein,
NATL2_04881,PMN2A_RS02380,PMN2A_1783,1.723***,0.711***,5.015***,1.754***,-0.379,3.696***,groEL,molecular chaperone GroEL,Heat shock protein 60 family chaperone GroEL,
NATL2_04891,,PMN2A_1784,0.128,-1.625***,-4.453***,-0.015,-1.073,1.272,,,FIG00940639: hypothetical protein,
NATL2_04901,PMN2A_RS02385,PMN2A_1785,1.522***,2.212***,-0.712,1.314,1.737***,0.716,gdh,glucose dehydrogenase,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),
NATL2_04911,PMN2A_RS02390,PMN2A_1786,-0.541,3.983***,-0.464,-0.688,-0.931,-1.443***,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60),
NATL2_04921,PMN2A_RS02395,PMN2A_1787,-0.258,-0.365,-7.079***,-0.21,0.621,-0.517,,peptidase S66,Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13),
NATL2_04931,PMN2A_RS02400,PMN2A_1788,-0.118,-5***,-7.518***,-0.26,-0.621***,-2.515***,ubiA,prenyltransferase,Cyanobacterial polyprenyltransferase (UbiA homolog),
NATL2_04941,PMN2A_RS02405,PMN2A_1789,0.65,3.88***,4.778***,0.985,2.024***,1.794***,ppx,exopolyphosphatase,Exopolyphosphatase (EC 3.6.1.11),
NATL2_04961,PMN2A_RS02415,PMN2A_1791,-0.79***,-3.108***,-6.656***,-0.6,-0.342,-0.379,cobM,precorrin methylase,Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133),
NATL2_04971,PMN2A_RS02420,PMN2A_1792,-0.929,-1.215***,-7.41***,-1.223***,-1.148***,-0.543,lgt,diacylglyceryl transferase,Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-),
NATL2_04981,PMN2A_RS02425,PMN2A_1793,-0.201,1.111***,3.92***,-0.117,0.811***,2.798***,petA,apocytochrome f,"Cytochrome b6-f complex subunit, apocytochrome f",
NATL2_04991,PMN2A_RS02430,PMN2A_1794,0.169,1.33***,3.221***,0.316,1.148***,2.741***,petC,cytochrome b6-f complex iron-sulfur subunit,Cytochrome b6-f complex iron-sulfur subunit PetC1 (Rieske iron sulfur protein EC 1.10.99.1),
NATL2_05001,PMN2A_RS02435,PMN2A_1795,-0.945,-5.611***,-7.001***,-0.967,-0.024,-1.764***,,hypothetical protein,FIG00941026: hypothetical protein,
NATL2_05011,PMN2A_RS02440,PMN2A_1796,-0.672,-3.175***,-6.073***,-0.379,-0.164,-1.275***,tatC,preprotein translocase subunit TatC,Twin-arginine translocation protein TatC,
NATL2_05021,PMN2A_RS02445,PMN2A_1797,0.216,-0.51,2.726***,-0.143,0.636,2.259***,,hypothetical protein,hypothetical protein,
NATL2_05031,PMN2A_RS02450,PMN2A_1798,0.897,2.157***,4.855***,0.673,2.43***,4.409***,,fibronectin-binding protein,possible secreted protein MPB70 precursor,
NATL2_05041,PMN2A_RS02455,PMN2A_1799,-0.459,0.208,1.129***,0.306,-0.3,-0.624,gmk,guanylate kinase,Guanylate kinase (EC 2.7.4.8),
NATL2_05051,,PMN2A_1800,0.968***,1.879***,3.363***,0.616,1.455***,3.88***,psaJ,,photosystem I subunit IX (PsaJ),
NATL2_05061,PMN2A_RS02460,PMN2A_1801,0.571***,2.41***,2.766***,0.252,1.001***,1.706***,psaF,photosystem I PsaF protein (subunit III),"photosystem I subunit III precursor, plastocyanin (cyt c553) docking protein (PsaF)",
NATL2_05071,PMN2A_RS02465,PMN2A_1802,-0.791,-1.907***,-6.236***,-0.758,-0.467,-0.24,qri7,tRNA N6-adenosine threonylcarbamoyltransferase,"YgjD/Kae1/Qri7 family, required for N6-threonylcarbamoyl adenosine t(6)A37 modification in tRNA",
NATL2_05081,PMN2A_RS02470,PMN2A_1803,0.47,-0.509,5.984***,-0.879,0.914,5.168***,,high light inducible protein,possible high light inducible protein,
NATL2_05091,PMN2A_RS02475,PMN2A_1804,0.293,-1.032,1.732***,-0.282,1.323,2.28***,,hypothetical protein,FIG00941614: hypothetical protein,
NATL2_05101,PMN2A_RS02480,PMN2A_1805,0.135,3.599***,-5.644***,0.822,0.842***,-0.656,nhaP,sodium:proton antiporter,"putative Na+/H+ antiporter, CPA1 family",
NATL2_05111,PMN2A_RS02485,PMN2A_1806,0.172,0.414,3.265***,0.426,0.529,1.74***,gltX,glutamate--tRNA ligase,Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24),
NATL2_05131,PMN2A_RS02505,PMN2A_1808,-0.752***,0.859***,2.003***,-0.167,0.051,1.07***,rplS,50S ribosomal protein L19,LSU ribosomal protein L19p,
NATL2_05141,,PMN2A_1933,-2.201,0,0,0.558,0.927,1.579***,,,hypothetical protein,
NATL2_05151,PMN2A_RS02510,PMN2A_1809,0.302,-0.07,1.524***,0.67,0.411,0.492,map,methionine aminopeptidase,Methionine aminopeptidase (EC 3.4.11.18),
NATL2_05161,PMN2A_RS02515,PMN2A_1810,0.326,-5.672***,-6.854***,0.078,-0.089,-2.566***,,short-chain dehydrogenase,FIG00940106: hypothetical protein,
NATL2_05171,PMN2A_RS02520,PMN2A_1811,-0.174,-2.182***,-5.603***,0.594,-0.994,-2.859***,pta,hypothetical protein,BioD-like N-terminal domain of phosphotransacetylase,
NATL2_05181,PMN2A_RS02525,PMN2A_1812,-0.422,-6.351***,-6.399***,-1.726***,-3.38***,-5.813***,,hypothetical protein,cyanobacteria-specific protein,
NATL2_05191,PMN2A_RS02530,PMN2A_1813,-0.417,-2.786***,-6.447***,-0.052,-0.813,-3.039***,,nucleotide-binding protein,hypothetical protein,
NATL2_05201,PMN2A_RS02535,PMN2A_1814,-1.308,-1.451***,-6.338***,1.022,-1.524,-3.115***,,hypothetical protein,FIG00940253: hypothetical protein,
NATL2_05211,PMN2A_RS02540,PMN2A_1815,-0.189,-6.265***,-2.355***,-0.504,-3.139***,-4.939***,hflC,hypothetical protein,Band 7 protein,
NATL2_05221,PMN2A_RS02545,PMN2A_1816,-0.757,-1.138***,-1.99***,-0.944,-2.074***,-1.557***,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8),
NATL2_05231,PMN2A_RS02550,PMN2A_1817,-0.191,-2.438***,-0.77,-0.131,-0.142,-0.887,xthA,exonuclease III,Exodeoxyribonuclease III (EC 3.1.11.2),
NATL2_05241,PMN2A_RS02555,PMN2A_1818,-0.959,-2.258***,-4.452***,-0.297,-0.771,-0.286,,hypothetical protein,FIG00941245: hypothetical protein,
NATL2_05251,PMN2A_RS02560,PMN2A_1819,-0.474,-1.167***,-6.946***,-0.289,-0.585,0.474,,hypothetical protein,FIG00941087: hypothetical protein,
NATL2_05261,PMN2A_RS02565,PMN2A_1820,-1.373***,-3.282***,-6.275***,-0.039,-1.432***,-0.107,,hypothetical protein,FIG00940789: hypothetical protein,
NATL2_05271,PMN2A_RS02570,PMN2A_1821,-0.862,-4.099***,-5.86***,0.649,-1.19,-1.005,,hypothetical protein,Putative transmembrane protein HieC,
NATL2_05281,PMN2A_RS02575,PMN2A_1822,-0.307,1.286***,-7.459***,-0.023,-0.032,-1.448***,thiP,iron ABC transporter,"Ferric iron ABC transporter, permease protein",
NATL2_05291,PMN2A_RS02580,PMN2A_1823,0.332,0.812,-4.229***,-0.225,0.738,-0.721,,cobalamin biosynthesis protein CobW,"Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family",
NATL2_05301,PMN2A_RS02585,PMN2A_1824,0.303,0.353,-3.019***,0.886,0.989,0.375,,pterin-4-alpha-carbinolamine dehydratase,Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96),
NATL2_05311,PMN2A_RS02590,PMN2A_1825,-0.487,-1.909***,-6.141***,0.473,1.094,0.9,,hypothetical protein,FIG00008365: hypothetical protein,
NATL2_05321,PMN2A_RS02595,PMN2A_1826,-0.147,0.169,-6.792***,-0.199,-0.164,-2.368***,,peptidase M32,Thermostable carboxypeptidase 1 (EC 3.4.17.19),
NATL2_05331,PMN2A_RS02600,PMN2A_1827,0.695***,1.56***,3.06***,0.4,1.35***,1.249***,,inorganic pyrophosphatase,Inorganic pyrophosphatase (EC 3.6.1.1),
NATL2_05341,PMN2A_RS02605,PMN2A_1828,0.405,1.051***,2.086***,0.165,1.261***,1.178***,hemC,porphobilinogen deaminase,Porphobilinogen deaminase (EC 2.5.1.61),
NATL2_05351,PMN2A_RS02610,PMN2A_1829,0.882***,2.484***,1.253***,0.619***,2.122***,0.466***,rpoD,RNA polymerase sigma factor RpoD,Group 2 RNA polymerase sigma factor @ RNA polymerase sigma factor RpoD,
NATL2_05361,,PMN2A_1934,-0.386,-2.449***,-4.634***,0.201,-1.856,-2.584***,,,FIG00941577: hypothetical protein,
NATL2_05371,PMN2A_RS02615,PMN2A_1830,-0.177,-2.54***,-7.073***,-0.266,-0.6,-2.765***,priA,primosomal protein N',Helicase PriA essential for oriC/DnaA-independent DNA replication,
NATL2_05381,PMN2A_RS02620,PMN2A_1831,-0.745,-2.915***,-6.483***,-0.807,-2.676***,-2.719***,,membrane protein,FIG00940831: hypothetical protein,
NATL2_05391,PMN2A_RS02625,PMN2A_1832,-0.436,-2.537***,-1.069***,-0.815,-2.217***,-2.67***,,acetylglutamate kinase,Acetylglutamate kinase (EC 2.7.2.8),
NATL2_05401,PMN2A_RS02630,PMN2A_1833,0.175,-1.421***,-6.234***,-0.006,-1.757***,-2.432***,,hypothetical protein,Cyanobacterial protein slr0575,
NATL2_05411,PMN2A_RS02635,PMN2A_1834,-0.026,5.256***,-3.415***,0.611,0.506,0.582,,hypothetical protein,FIG00940769: hypothetical protein,
NATL2_05421,PMN2A_RS02640,PMN2A_1835,0.488,-2.67***,-6.33***,0.125,-0.72,-3.465***,,single-stranded DNA-binding protein,Single-stranded DNA-binding protein,
