RAST annotation gene number,Locus ID,RAST RegionID (Chromosome_start_stop),RAST Annotation,"Periodic in co-cultured, L:D cultures","Periodic in co-cultured, extended darkness cultures",periodicity_cluster,resolved_locus_tag,resolution_method
1340,MIT1002_1329 ,contig00010_61750_61274,Putative regulatory protein associated with the ectoine operon,Y,,coculture_LD,MIT1002_01809,tier1:Locus ID
1341,MIT1002_1330 ,contig00010_63751_61781,High-affinity choline uptake protein BetT,Y,,coculture_LD,MIT1002_01810,tier1:Locus ID
1345,MIT1002_1334 ,contig00010_69836_70549,hypothetical protein,Y,,coculture_LD,MIT1002_01814,tier1:Locus ID
1372,MIT1002_1362 ,contig00011_7987_6581,Mannose-6-phosphate isomerase (EC 5.3.1.8) / Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22),Y,,coculture_LD,MIT1002_03581,tier1:Locus ID
1401,MIT1002_1391 ,contig00011_33959_34240,hypothetical protein,Y,,coculture_LD,MIT1002_03611,tier1:Locus ID
1402,MIT1002_1392 ,contig00011_34342_34905,Cytochrome b561 family protein,Y,,coculture_LD,MIT1002_03612,tier1:Locus ID
1408,MIT1002_1398 ,contig00011_38870_40288,Leucine aminopeptidase-related protein,Y,,coculture_LD,MIT1002_03617,tier1:Locus ID
1412,MIT1002_1402 ,contig00011_45350_46723,Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-),Y,,coculture_LD,MIT1002_03621,tier1:Locus ID
1413,MIT1002_1403 ,contig00011_46735_47742,Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-),Y,,coculture_LD,MIT1002_03622,tier1:Locus ID
1424,MIT1002_1414 ,contig00011_58289_56253,Oligopeptidase A (EC 3.4.24.70),Y,,coculture_LD,MIT1002_03633,tier1:Locus ID
1449,MIT1002_1439 ,contig00011_91983_90655,ATP-dependent hsl protease ATP-binding subunit HslU,Y,,coculture_LD,MIT1002_03659,tier1:Locus ID
1458,MIT1002_1447 ,contig00012_3470_2271,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",Y,,coculture_LD,MIT1002_01481,tier1:Locus ID
1461,MIT1002_1450 ,contig00012_6317_6793,FIG000233: metal-dependent hydrolase,Y,,coculture_LD,MIT1002_01478,tier1:Locus ID
1493,MIT1002_1482 ,contig00012_51700_50513,Alcohol dehydrogenase (EC 1.1.1.1),Y,,coculture_LD,MIT1002_01447,tier1:Locus ID
1496,MIT1002_1485 ,contig00012_55479_55988,Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1),Y,,coculture_LD,MIT1002_01444,tier1:Locus ID
1505,MIT1002_1494 ,contig00012_64053_63250,"Methylglyoxal reductase, acetol producing (EC 1.1.1.-) / 2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)",Y,,coculture_LD,MIT1002_01436,tier1:Locus ID
1509,MIT1002_1498 ,contig00012_67508_66888,FIG137268: Possible translation factor Sua5/YciO/YrdC/YwlC family,Y,,coculture_LD,MIT1002_01432,tier1:Locus ID
1510,MIT1002_1499 ,contig00012_67716_67591,hypothetical protein,Y,,coculture_LD,,unresolved
1520,MIT1002_1509 ,contig00012_77433_77702,"Propeptide, PepSY amd peptidase M4",Y,,coculture_LD,MIT1002_01422,tier1:Locus ID
1523,MIT1002_1512 ,contig00012_81025_79985,transport protein,Y,,coculture_LD,MIT1002_01419,tier1:Locus ID
1524,MIT1002_1513 ,contig00012_81099_81467,Dihydroneopterin triphosphate epimerase,Y,,coculture_LD,MIT1002_01418,tier1:Locus ID
1525,MIT1002_1514 ,contig00012_81491_82387,Cell division inhibitor,Y,,coculture_LD,MIT1002_01417,tier1:Locus ID
1526,MIT1002_1515 ,contig00012_85238_82716,"ABC-type transport system, permease component",Y,,coculture_LD,MIT1002_01416,tier1:Locus ID
1527,MIT1002_1516 ,contig00012_85937_85239,"ABC transporter, ATP-binding protein",Y,,coculture_LD,MIT1002_01415,tier1:Locus ID
1528,MIT1002_1517 ,contig00012_85954_86610,Arylesterase( EC:3.1.1.2 ),Y,,coculture_LD,MIT1002_01414,tier1:Locus ID
1545,MIT1002_1533 ,contig00013_12609_12181,hypothetical protein,Y,,coculture_LD,MIT1002_02511,tier1:Locus ID
1560,MIT1002_1547 ,contig00013_27467_26808,hypothetical protein,Y,,coculture_LD,MIT1002_02496,tier1:Locus ID
1562,MIT1002_1549 ,contig00013_29584_27920,Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-),Y,,coculture_LD,MIT1002_02495,tier1:Locus ID
1564,MIT1002_1551 ,contig00013_30525_31382,FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-),Y,,coculture_LD,MIT1002_02493,tier1:Locus ID
1565,MIT1002_1552 ,contig00013_32408_31569,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,Y,,coculture_LD,MIT1002_02492,tier1:Locus ID
1590,MIT1002_1576 ,contig00013_57019_55517,Catalase (EC 1.11.1.6),Y,,coculture_LD,MIT1002_02464,tier1:Locus ID
1593,MIT1002_1580 ,contig00013_61204_60098,NADH-flavin oxidoreductase/NADH oxidase( EC:1.6.99.1 ),Y,,coculture_LD,MIT1002_02461,tier1:Locus ID
1633,MIT1002_1619 ,contig00014_19004_20011,"transcriptional regulator, LacI family",Y,,coculture_LD,MIT1002_03475,tier1:Locus ID
1634,MIT1002_1620 ,contig00014_21080_20190,beta-lactamase-like,Y,,coculture_LD,MIT1002_03476,tier1:Locus ID
1637,MIT1002_1623 ,contig00014_22971_23177,hypothetical protein,Y,,coculture_LD,MIT1002_03479,tier1:Locus ID
1640,MIT1002_1626 ,contig00014_26220_24988,Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-),Y,,coculture_LD,MIT1002_03483,tier1:Locus ID
1646,MIT1002_1632 ,contig00014_32487_31309,short-chain alcohol dehydrogenase,Y,,coculture_LD,MIT1002_03489,tier1:Locus ID
1652,MIT1002_1638 ,contig00014_38791_38108,ThiJ/PfpI family protein,Y,,coculture_LD,MIT1002_03494,tier1:Locus ID
1660,MIT1002_1646 ,contig00014_48799_49305,"Sensory subunit of low CO2-induced protein complex, putative",Y,,coculture_LD,MIT1002_03502,tier1:Locus ID
1677,MIT1002_1664 ,contig00014_70189_69137,Tas protein,Y,,coculture_LD,MIT1002_03519,tier1:Locus ID
1709,MIT1002_1695 ,contig00015_24251_22299,TonB-dependent receptor,Y,,coculture_LD,MIT1002_00716,tier1:Locus ID
1717,MIT1002_1703 ,contig00015_33849_32665,putative MR-MLE-family protein,Y,,coculture_LD,MIT1002_00725,tier1:Locus ID
1725,MIT1002_1711 ,contig00015_45619_43787,RNA polymerase sigma factor RpoD,Y,,coculture_LD,MIT1002_00733,tier1:Locus ID
1732,MIT1002_1719 ,contig00015_52609_52028,Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY,Y,,coculture_LD,MIT1002_00740,tier1:Locus ID
1764,MIT1002_1749 ,contig00016_1484_621,hypothetical protein,Y,,coculture_LD,MIT1002_00183,tier1:Locus ID
1768,MIT1002_1753 ,contig00016_4738_7569,Excinuclease ABC subunit A,Y,,coculture_LD,MIT1002_00179,tier1:Locus ID
1769,MIT1002_1754 ,contig00016_7773_7940,hypothetical protein,Y,,coculture_LD,MIT1002_00178,tier1:Locus ID
1780,MIT1002_1764 ,contig00016_15897_14920,"Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)",Y,,coculture_LD,MIT1002_00169,tier1:Locus ID
1788,MIT1002_1772 ,contig00016_21863_22870,Glycosyltransferase (EC 2.4.1.-),Y,,coculture_LD,MIT1002_00162,tier1:Locus ID
1791,MIT1002_1775 ,contig00016_24426_25235,Diaminopimelate epimerase (EC 5.1.1.7),Y,,coculture_LD,MIT1002_00159,tier1:Locus ID
1792,MIT1002_1776 ,contig00016_25232_25927,Protein of unknown function DUF484,Y,,coculture_LD,MIT1002_00158,tier1:Locus ID
1794,MIT1002_1778 ,contig00016_26874_27614,2-haloalkanoic acid dehalogenase (EC 3.8.1.2),Y,,coculture_LD,MIT1002_00156,tier1:Locus ID
1796,MIT1002_1780 ,contig00016_30096_29284,Serine acetyltransferase (EC 2.3.1.30),Y,,coculture_LD,MIT1002_00154,tier1:Locus ID
1797,MIT1002_1781 ,contig00016_30560_32731,ATP-dependent DNA helicase UvrD/PcrA,Y,,coculture_LD,MIT1002_00153,tier1:Locus ID
1803,MIT1002_1787 ,contig00016_40007_39339,Glutathione S-transferase (EC 2.5.1.18),Y,,coculture_LD,MIT1002_00147,tier1:Locus ID
1806,MIT1002_1790 ,contig00016_43498_44112,GTP cyclohydrolase II (EC 3.5.4.25),Y,,coculture_LD,MIT1002_00144,tier1:Locus ID
1815,MIT1002_1799 ,contig00016_56397_53299,"RND efflux system, inner membrane transporter CmeB",Y,,coculture_LD,MIT1002_00135,tier1:Locus ID
1816,MIT1002_1800 ,contig00016_57564_56419,"RND efflux system, membrane fusion protein CmeA",Y,,coculture_LD,MIT1002_00134,tier1:Locus ID
1852,MIT1002_1835 ,contig00017_4526_4993,hypothetical protein,Y,,coculture_LD,MIT1002_02916,tier1:Locus ID
1860,MIT1002_1842 ,contig00017_12680_11028,Choline dehydrogenase (EC 1.1.99.1),Y,,coculture_LD,MIT1002_02909,tier1:Locus ID
1861,MIT1002_1843 ,contig00017_14165_12699,Betaine aldehyde dehydrogenase (EC 1.2.1.8),Y,,coculture_LD,MIT1002_02908,tier1:Locus ID
1876,MIT1002_1858 ,contig00017_27821_28450,Uracil phosphoribosyltransferase (EC 2.4.2.9),Y,,coculture_LD,MIT1002_02893,tier1:Locus ID
1884,MIT1002_1866 ,contig00017_43368_41119,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",Y,,coculture_LD,MIT1002_02885,tier1:Locus ID
1886,MIT1002_1868 ,contig00017_44439_44696,hypothetical protein,Y,,coculture_LD,MIT1002_02883,tier1:Locus ID
1891,MIT1002_1873 ,contig00017_49847_50752,hypothetical protein,Y,,coculture_LD,MIT1002_02878,tier1:Locus ID
1907,MIT1002_1889 ,contig00017_68620_68417,hypothetical protein,Y,,coculture_LD,,unresolved
1924,MIT1002_1906 ,contig00018_8169_7906,hypothetical protein,Y,,coculture_LD,MIT1002_02347,tier1:Locus ID
1927,MIT1002_1909 ,contig00018_10971_9796,Saccharopine dehydrogenase,Y,,coculture_LD,MIT1002_02345,tier1:Locus ID
1940,MIT1002_1922 ,contig00018_22667_23074,FIG00968909: hypothetical protein,Y,,coculture_LD,MIT1002_02333,tier1:Locus ID
1965,MIT1002_1946 ,contig00018_45902_45243,FIG001196: putative membrane protein,Y,,coculture_LD,MIT1002_02310,tier1:Locus ID
1966,MIT1002_1947 ,contig00018_47007_46000,Putative sulfite oxidase subunit YedY,Y,,coculture_LD,MIT1002_02309,tier1:Locus ID
1970,MIT1002_1951 ,contig00018_50674_51468,"Putative cytochrome c oxidase, subunit I",Y,,coculture_LD,MIT1002_02305,tier1:Locus ID
1982,MIT1002_1963 ,contig00018_65931_67937,Methyl-accepting chemotaxis protein I (serine chemoreceptor protein),Y,,coculture_LD,MIT1002_02293,tier1:Locus ID
1987,MIT1002_1968 ,contig00018_71962_70313,Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1),Y,,coculture_LD,MIT1002_02288,tier1:Locus ID
2012,MIT1002_1993 ,contig00019_17910_15136,TPR domain protein,Y,,coculture_LD,MIT1002_00667,tier1:Locus ID
2013,MIT1002_1994 ,contig00019_18216_20006,Cold-shock DEAD-box protein A,Y,,coculture_LD,MIT1002_00666,tier1:Locus ID
2032,MIT1002_2013 ,contig00019_45011_42693,"FIG001592: Phosphocarrier protein kinase/phosphorylase, nitrogen regulation associated",Y,,coculture_LD,MIT1002_00648,tier1:Locus ID
2033,MIT1002_2014 ,contig00019_45596_45108,Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-),Y,,coculture_LD,MIT1002_00647,tier1:Locus ID
2036,MIT1002_2017 ,contig00019_49134_47629,Adenylate cyclase (EC 4.6.1.1),Y,,coculture_LD,MIT1002_00644,tier1:Locus ID
2043,MIT1002_2024 ,contig00019_62290_58493,Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12),Y,,coculture_LD,MIT1002_00637,tier1:Locus ID
2055,MIT1002_2036 ,contig00019_72220_72104,Lipoprotein NlpD,Y,,coculture_LD,MIT1002_00626,tier1:Locus ID
2057,MIT1002_2037 ,contig00019_73026_74021,RNA polymerase sigma factor RpoS,Y,,coculture_LD,MIT1002_00625,tier1:Locus ID
2079,MIT1002_2059 ,contig00020_8712_8527,hypothetical protein,Y,,coculture_LD,MIT1002_04182,tier1:Locus ID
2103,MIT1002_2083 ,contig00020_30270_27796,FIG01036808: hypothetical protein,Y,,coculture_LD,MIT1002_04156,tier1:Locus ID
2104,MIT1002_2084 ,contig00020_30718_32283,Ferredoxin reductase,Y,,coculture_LD,MIT1002_04155,tier1:Locus ID
2105,MIT1002_2085 ,contig00020_33196_32393,hypothetical protein,Y,,coculture_LD,MIT1002_04154,tier1:Locus ID
2107,MIT1002_2087 ,contig00020_36032_33525,Cytochrome c oxidase polypeptide I (EC 1.9.3.1) / Cytochrome c oxidase polypeptide III (EC 1.9.3.1),Y,,coculture_LD,MIT1002_04152,tier1:Locus ID
2108,MIT1002_2088 ,contig00020_36727_36029,Cytochrome c oxidase polypeptide II (EC 1.9.3.1),Y,,coculture_LD,MIT1002_04151,tier1:Locus ID
2110,MIT1002_2090 ,contig00020_37691_37245,hypothetical protein,Y,,coculture_LD,MIT1002_04149,tier1:Locus ID
2114,MIT1002_2094 ,contig00020_42851_42729,hypothetical protein,Y,,coculture_LD,,unresolved
2143,MIT1002_2122 ,contig00020_72007_74568,sensory box histidine kinase/response regulator,Y,,coculture_LD,MIT1002_04214,tier1:Locus ID
2144,MIT1002_2123 ,contig00020_74584_77526,two-component hybrid sensor and regulator,Y,,coculture_LD,MIT1002_04213,tier1:Locus ID
2168,MIT1002_2148 ,contig00021_25703_24522,Probable Co/Zn/Cd efflux system membrane fusion protein,Y,,coculture_LD,MIT1002_00297,tier1:Locus ID
2169,MIT1002_2149 ,contig00021_26986_25706,"Heavy metal RND efflux outer membrane protein, CzcC family",Y,,coculture_LD,MIT1002_00296,tier1:Locus ID
2195,MIT1002_2175 ,contig00021_52031_50103,Flavodoxin reductases (ferredoxin-NADPH reductases) family 1,Y,,coculture_LD,MIT1002_00268,tier1:Locus ID
2198,MIT1002_2179 ,contig00021_53768_53337,hypothetical protein,Y,,coculture_LD,MIT1002_00265,tier1:Locus ID
2215,MIT1002_2197 ,contig00021_69293_69415,hypothetical protein,Y,,coculture_LD,,unresolved
2216,MIT1002_2198 ,contig00021_69741_70424,Copper-sensing two-component system response regulator CusR,Y,,coculture_LD,MIT1002_00247,tier1:Locus ID
2245,MIT1002_2228 ,contig00022_25665_28109,diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s),,Y,coculture_darkness,MIT1002_00062,tier1:Locus ID
2252,MIT1002_2235 ,contig00022_32991_33848,4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-),Y,Y,coculture_LD+coculture_darkness,MIT1002_00069,tier1:Locus ID
2260,MIT1002_2243 ,contig00022_43135_44904,putative choline-glycine betaine transporter,Y,,coculture_LD,MIT1002_00078,tier1:Locus ID
2282,MIT1002_2264 ,contig00022_68755_67583,Homolog of E. coli HemX protein,Y,,coculture_LD,MIT1002_00100,tier1:Locus ID
2283,MIT1002_2265 ,contig00022_69487_68756,Uroporphyrinogen-III synthase (EC 4.2.1.75),Y,,coculture_LD,MIT1002_00101,tier1:Locus ID
2287,MIT1002_2269 ,contig00023_519_1118,Conserved domain protein,Y,,coculture_LD,MIT1002_02414,tier1:Locus ID
2292,MIT1002_2274 ,contig00023_6046_4610,Pyruvate kinase (EC 2.7.1.40),Y,,coculture_LD,MIT1002_02409,tier1:Locus ID
2306,MIT1002_2287 ,contig00023_24085_24513,Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12),Y,,coculture_LD,MIT1002_02396,tier1:Locus ID
2307,MIT1002_2288 ,contig00023_25567_24686,hypothetical protein,Y,,coculture_LD,MIT1002_02395,tier1:Locus ID
2308,MIT1002_2289 ,contig00023_25763_27208,NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13),Y,,coculture_LD,MIT1002_02394,tier1:Locus ID
2314,MIT1002_2294 ,contig00023_31217_34102,hypothetical protein,Y,,coculture_LD,MIT1002_02389,tier1:Locus ID
2317,MIT1002_2297 ,contig00023_34818_34642,protein of unknown function DUF1328,Y,,coculture_LD,MIT1002_02386,tier1:Locus ID
2319,MIT1002_2299 ,contig00023_36913_36335,hypothetical protein,Y,,coculture_LD,MIT1002_02384,tier1:Locus ID
2320,MIT1002_2300 ,contig00023_37195_36938,hypothetical protein,Y,,coculture_LD,MIT1002_02383,tier1:Locus ID
2321,MIT1002_2301 ,contig00023_37787_37248,hypothetical protein,Y,,coculture_LD,MIT1002_02382,tier1:Locus ID
2322,MIT1002_2302 ,contig00023_38121_37792,hypothetical protein,Y,,coculture_LD,MIT1002_02381,tier1:Locus ID
2323,MIT1002_2303 ,contig00023_40436_38352,Signal transduction histidine kinase,Y,,coculture_LD,MIT1002_02380,tier1:Locus ID
2324,MIT1002_2304 ,contig00023_40977_40525,response regulator receiver protein,Y,,coculture_LD,MIT1002_02379,tier1:Locus ID
2325,MIT1002_2305 ,contig00023_42481_40967,"Phytochrome, two-component sensor histidine kinase (EC 2.7.3.-); cyanobacterial phytochrome 1",Y,,coculture_LD,MIT1002_02378,tier1:Locus ID
2327,MIT1002_2307 ,contig00023_44058_42727,Response regulator of zinc sigma-54-dependent two-component system,Y,,coculture_LD,MIT1002_02376,tier1:Locus ID
2329,MIT1002_2308 ,contig00023_44602_45207,"Exopolysaccharide synthesis, ExoD",Y,,coculture_LD,MIT1002_02375,tier1:Locus ID
2332,MIT1002_2311 ,contig00023_46767_47042,"transcriptional regulator, ArsR family protein",Y,,coculture_LD,MIT1002_02372,tier1:Locus ID
2333,MIT1002_2312 ,contig00023_47888_47139,hypothetical protein,Y,,coculture_LD,MIT1002_02371,tier1:Locus ID
2338,MIT1002_2317 ,contig00023_50508_50741,hypothetical protein,Y,,coculture_LD,MIT1002_02366,tier1:Locus ID
2339,MIT1002_2318 ,contig00023_50810_52198,"Metallo-beta-lactamase family protein, RNA-specific",Y,,coculture_LD,MIT1002_02365,tier1:Locus ID
2352,MIT1002_2331 ,contig00023_72024_71857,DNA-3-methyladenine glycosylase II (EC 3.2.2.21),Y,,coculture_LD,MIT1002_02355,tier1:Locus ID
2352,MIT1002_2352,contig00023_72024_71857,DNA-3-methyladenine glycosylase II (EC 3.2.2.21),Y,,coculture_LD,MIT1002_01139,tier1:Locus ID
2353,MIT1002_2333 ,contig00023_72271_72053,hypothetical protein,Y,,coculture_LD,MIT1002_02354,tier1:Locus ID
2355,MIT1002_2335 ,contig00024_3374_2487,Transcriptional activator MetR,Y,,coculture_LD,MIT1002_01119,tier1:Locus ID
2376,MIT1002_2355 ,contig00024_29288_28167,Psp operon transcriptional activator,Y,,coculture_LD,MIT1002_01142,tier1:Locus ID
2380,MIT1002_2359 ,contig00024_31110_30949,hypothetical protein,Y,,coculture_LD,,unresolved
2397,MIT1002_2377 ,contig00024_52938_53699,TonB system biopolymer transport component; Chromosome segregation ATPase,Y,,coculture_LD,MIT1002_01163,tier1:Locus ID
2398,MIT1002_2378 ,contig00024_53706_55064,MotA/TolQ/ExbB proton channel family protein,Y,,coculture_LD,MIT1002_01164,tier1:Locus ID
2399,MIT1002_2379 ,contig00024_55066_55590,MotA/TolQ/ExbB proton channel family protein,Y,,coculture_LD,MIT1002_01165,tier1:Locus ID
2400,MIT1002_2380 ,contig00024_55602_56000,Biopolymer transport protein ExbD/TolR,Y,,coculture_LD,MIT1002_01166,tier1:Locus ID
2402,MIT1002_2382 ,contig00024_56616_57881,"TPR domain protein, putative component of TonB system",Y,,coculture_LD,MIT1002_01168,tier1:Locus ID
2422,MIT1002_2404 ,contig00025_6052_5246,EAL domain protein,Y,,coculture_LD,MIT1002_02595,tier1:Locus ID
2426,MIT1002_2408 ,contig00025_9689_9982,hypothetical protein,Y,,coculture_LD,MIT1002_02591,tier1:Locus ID
2428,MIT1002_2410 ,contig00025_11078_11917,"hydrolase, alpha/beta fold family",Y,,coculture_LD,MIT1002_02589,tier1:Locus ID
2475,MIT1002_2457 ,contig00025_65207_63144,5-methylaminomethyl-2-thiouridine-forming enzyme mnmC,Y,,coculture_LD,MIT1002_02542,tier1:Locus ID
2479,MIT1002_2461 ,contig00025_68568_69782,"3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)",Y,,coculture_LD,MIT1002_02538,tier1:Locus ID
2481,MIT1002_2465 ,contig00026_2343_988,NADP-specific glutamate dehydrogenase (EC 1.4.1.4),Y,,coculture_LD,MIT1002_01876,tier1:Locus ID
2482,MIT1002_2466 ,contig00026_3979_2351,Methylglyoxal synthase (EC 4.2.3.3),Y,,coculture_LD,MIT1002_01877,tier1:Locus ID
2483,MIT1002_2467 ,contig00026_4226_4660,hypothetical protein,Y,,coculture_LD,MIT1002_01878,tier1:Locus ID
2484,MIT1002_2468 ,contig00026_4681_5385,20-beta-hydroxysteroid dehydrogenase,Y,,coculture_LD,MIT1002_01879,tier1:Locus ID
2487,MIT1002_2471 ,contig00026_7642_8688,"Hypothetical protein PA2244 (similar to DNA topoisomerase IB, but possibly involved in glycosyl-transfer)",Y,,coculture_LD,MIT1002_01882,tier1:Locus ID
2489,MIT1002_2473 ,contig00026_10586_11695,Glutamate 5-kinase (EC 2.7.2.11),Y,,coculture_LD,MIT1002_01884,tier1:Locus ID
2490,MIT1002_2474 ,contig00026_11692_12939,Gamma-glutamyl phosphate reductase (EC 1.2.1.41),Y,,coculture_LD,MIT1002_01885,tier1:Locus ID
2495,MIT1002_2479 ,contig00026_17193_17486,protein of unknown function DUF1244,Y,,coculture_LD,MIT1002_01889,tier1:Locus ID
2528,MIT1002_2512 ,contig00026_39797_39324,Cytidine deaminase (EC 3.5.4.5),Y,,coculture_LD,MIT1002_01918,tier1:Locus ID
2533,MIT1002_2517 ,contig00026_47030_48607,Cell division protein ZipA,Y,,coculture_LD,MIT1002_01923,tier1:Locus ID
2534,MIT1002_2518 ,contig00026_48899_50935,DNA ligase (EC 6.5.1.2),Y,,coculture_LD,MIT1002_01924,tier1:Locus ID
2536,MIT1002_2520 ,contig00026_51687_51160,FIG00950806: hypothetical protein,Y,,coculture_LD,MIT1002_01925,tier1:Locus ID
2537,MIT1002_2521 ,contig00026_51649_54492,"Predicted hydrolase of the metallo-beta-lactamase superfamily, clustered with KDO2-Lipid A biosynthesis genes",Y,,coculture_LD,MIT1002_01926,tier1:Locus ID
2542,MIT1002_2526 ,contig00026_58600_59259,Short-chain dehydrogenase/reductase SDR,Y,,coculture_LD,MIT1002_01931,tier1:Locus ID
2548,MIT1002_2532 ,contig00026_64236_65201,"Glutathione S-transferase, omega (EC 2.5.1.18)",Y,,coculture_LD,MIT1002_01937,tier1:Locus ID
2549,MIT1002_2533 ,contig00026_65286_66149,Pirin-related protein,Y,,coculture_LD,MIT1002_01938,tier1:Locus ID
2552,MIT1002_2536 ,contig00027_615_64,hypothetical protein,Y,,coculture_LD,MIT1002_02920,tier1:Locus ID
2553,MIT1002_2537 ,contig00027_1694_633,hypothetical protein,Y,,coculture_LD,MIT1002_02921,tier1:Locus ID
2554,MIT1002_2538 ,contig00027_1947_2522,hypothetical protein,Y,,coculture_LD,MIT1002_02922,tier1:Locus ID
2556,MIT1002_2540 ,contig00027_3527_5512,Adenylate cyclase (EC 4.6.1.1),Y,,coculture_LD,MIT1002_02924,tier1:Locus ID
2561,MIT1002_2545 ,contig00027_12539_11991,Lactoylglutathione lyase (EC 4.4.1.5),Y,,coculture_LD,MIT1002_02929,tier1:Locus ID
2563,MIT1002_2547 ,contig00027_13603_14112,"Periplasmic aromatic aldehyde oxidoreductase, iron-sulfur subunit YagT",Y,,coculture_LD,MIT1002_02931,tier1:Locus ID
2564,MIT1002_2548 ,contig00027_14220_15137,"Periplasmic aromatic aldehyde oxidoreductase, FAD binding subunit YagS",Y,,coculture_LD,MIT1002_02932,tier1:Locus ID
2565,MIT1002_2549 ,contig00027_15124_17337,"Periplasmic aromatic aldehyde oxidoreductase, molybdenum binding subunit YagR",Y,,coculture_LD,MIT1002_02933,tier1:Locus ID
2574,MIT1002_2558 ,contig00027_25530_26483,Ribonuclease BN (EC 3.1.-.-),Y,,coculture_LD,MIT1002_02941,tier1:Locus ID
2598,MIT1002_2582 ,contig00027_54504_51850,"Phytochrome, two-component sensor histidine kinase (EC 2.7.3.-)",Y,,coculture_LD,MIT1002_02965,tier1:Locus ID
2599,MIT1002_2583 ,contig00027_55889_54693,"PQQ-dependent oxidoreductase, gdhB family",Y,,coculture_LD,MIT1002_02966,tier1:Locus ID
2613,MIT1002_2597 ,contig00028_3760_4971,FIG137776: Glycosyltransferase,Y,,coculture_LD,MIT1002_02847,tier1:Locus ID
2623,MIT1002_2607 ,contig00028_15608_16516,HPr kinase,Y,,coculture_LD,MIT1002_02837,tier1:Locus ID
2631,MIT1002_2615 ,contig00028_26731_28209,Alkaline phosphatase (EC 3.1.3.1),Y,,coculture_LD,MIT1002_02829,tier1:Locus ID
2633,MIT1002_2617 ,contig00028_30625_29261,AttH component of AttEFGH ABC transport system,Y,,coculture_LD,MIT1002_02827,tier1:Locus ID
2634,MIT1002_2618 ,contig00028_33480_30622,AttF component of AttEFGH ABC transport system / AttG component of AttEFGH ABC transport system,Y,,coculture_LD,MIT1002_02826,tier1:Locus ID
2636,MIT1002_2620 ,contig00028_34352_33630,AttE component of AttEFGH ABC transport system,Y,,coculture_LD,MIT1002_02825,tier1:Locus ID
2638,MIT1002_2622 ,contig00028_35977_35438,hypothetical protein,Y,,coculture_LD,MIT1002_02823,tier1:Locus ID
2659,MIT1002_2643 ,contig00028_55711_56196,Iron-sulfur cluster regulator IscR,Y,,coculture_LD,MIT1002_02802,tier1:Locus ID
2660,MIT1002_2644 ,contig00028_56215_57381,Cysteine desulfurase (EC 2.8.1.7),Y,,coculture_LD,MIT1002_02801,tier1:Locus ID
2661,MIT1002_2645 ,contig00028_57775_59211,Iron-sulfur cluster assembly protein SufB,Y,,coculture_LD,MIT1002_02800,tier1:Locus ID
2662,MIT1002_2646 ,contig00028_59245_59976,Iron-sulfur cluster assembly ATPase protein SufC,Y,,coculture_LD,MIT1002_02799,tier1:Locus ID
2664,MIT1002_2648 ,contig00028_61226_62443,"Cysteine desulfurase (EC 2.8.1.7), SufS subfamily",Y,,coculture_LD,MIT1002_02797,tier1:Locus ID
2705,MIT1002_2688 ,contig00029_38686_39687,"UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)",Y,,coculture_LD,MIT1002_01079,tier1:Locus ID
2706,MIT1002_2689 ,contig00029_39684_40880,Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE; 4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase,Y,,coculture_LD,MIT1002_01078,tier1:Locus ID
2749,MIT1002_2732 ,contig00030_27507_27911,putative phage shock protein E,Y,,coculture_LD,MIT1002_03146,tier1:Locus ID
2751,MIT1002_2734 ,contig00030_28446_29051,"Acetyltransferase, GNAT family",Y,,coculture_LD,MIT1002_03148,tier1:Locus ID
