NCBI ID,NCBI ID_2,NCBI ID_3,Gene Name,Annotation,"Consistently in extended darkness axenic cultures, 72-144 hours","Consistently in extended darkness co-cultures, 72-144 hours",Unique to axenic cultures,Unique to co-cultures,darkness_cluster,resolved_locus_tag,resolution_method
NATL2_14071,PMN2A_RS06350,PMN2A_0637,,Two-component response regulator,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0637,tier1:NCBI ID_2
NATL2_14301,PMN2A_RS06465,PMN2A_0660,clpC,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0660,tier1:NCBI ID_2
NATL2_14311,PMN2A_RS06470,PMN2A_0661,gldA,Glycerol dehydrogenase (EC 1.1.1.6),X,,X,,darkness_axenic+unique_axenic,PMN2A_0661,tier1:NCBI ID_2
NATL2_14361,PMN2A_RS06495,PMN2A_0666,,Ubiquinone biosynthesis monooxygenase UbiB,X,,X,,darkness_axenic+unique_axenic,PMN2A_0666,tier1:NCBI ID_2
NATL2_14421,PMN2A_RS06515,PMN2A_0670,prsA,Ribose-phosphate pyrophosphokinase (EC 2.7.6.1),,X,,X,darkness_coculture+unique_coculture,PMN2A_0670,tier1:NCBI ID_2
NATL2_14431,PMN2A_RS06520,PMN2A_0671,pepN,Membrane alanine aminopeptidase N (EC 3.4.11.2),X,,X,,darkness_axenic+unique_axenic,PMN2A_0671,tier1:NCBI ID_2
NATL2_14471,PMN2A_RS06545,PMN2A_0675,petH,Ferredoxin-NADP(+) reductase (EC 1.18.1.2),X,,X,,darkness_axenic+unique_axenic,PMN2A_0675,tier1:NCBI ID_2
NATL2_14521,PMN2A_RS06565,PMN2A_0679,,DNA helicase related to phage enzyme,,X,,X,darkness_coculture+unique_coculture,PMN2A_0679,tier1:NCBI ID_2
NATL2_14581,PMN2A_RS06595,PMN2A_0685,,FIG00940954: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0685,tier1:NCBI ID_2
NATL2_14591,PMN2A_RS06600,PMN2A_0686,leuA,2-isopropylmalate synthase (EC 2.3.3.13),,X,,X,darkness_coculture+unique_coculture,PMN2A_0686,tier1:NCBI ID_2
NATL2_14641,PMN2A_RS06625,PMN2A_0691,,Thioredoxin,,X,,X,darkness_coculture+unique_coculture,PMN2A_0691,tier1:NCBI ID_2
NATL2_14711,PMN2A_RS06645,PMN2A_0696,lasT,tRNA:Cm32/Um32 methyltransferase,X,,X,,darkness_axenic+unique_axenic,PMN2A_0696,tier1:NCBI ID_2
NATL2_14941,PMN2A_RS06755,PMN2A_0717,pcbH,chlorophyll a/b binding light harvesting protein PcbH,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0717,tier1:NCBI ID_2
NATL2_14951,PMN2A_RS06760,PMN2A_0718,,"Iron starvation-induced chlorophyll a(b) binding protein IsiA, photosystem II CP43 protein (PsbC) homolog",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0718,tier1:NCBI ID_2
NATL2_14961,PMN2A_RS06765,PMN2A_0719,,"Iron starvation-induced chlorophyll a(b) binding protein IsiA, photosystem II CP43 protein (PsbC) homolog",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0719,tier1:NCBI ID_2
NATL2_14991,PMN2A_RS06775,PMN2A_0721,,Predicted protein family PM-20,X,,X,,darkness_axenic+unique_axenic,PMN2A_0721,tier1:NCBI ID_2
NATL2_15001,PMN2A_RS06780,PMN2A_0722,,"Iron starvation-induced chlorophyll a(b) binding protein IsiA, photosystem II CP43 protein (PsbC) homolog",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0722,tier1:NCBI ID_2
NATL2_15011,PMN2A_RS06785,PMN2A_0723,,"Iron starvation-induced chlorophyll a(b) binding protein IsiA, photosystem II CP43 protein (PsbC) homolog",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0723,tier1:NCBI ID_2
NATL2_15121,PMN2A_RS06840,PMN2A_0734,,hypothetical protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0734,tier1:NCBI ID_2
NATL2_15131,PMN2A_RS06845,PMN2A_0735,psbA,photosystem II protein D1 (PsbA),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0735,tier1:NCBI ID_2
NATL2_15141,PMN2A_RS06850,PMN2A_0736,,Methionyl-tRNA synthetase-related protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0736,tier1:NCBI ID_2
NATL2_15291,PMN2A_RS06920,PMN2A_0750,,"putative sodium-dependent transporter, NSS family",,X,,X,darkness_coculture+unique_coculture,PMN2A_0750,tier1:NCBI ID_2
NATL2_15321,PMN2A_RS06935,PMN2A_0753,pntB,NAD(P) transhydrogenase subunit beta (EC 1.6.1.2),X,,X,,darkness_axenic+unique_axenic,PMN2A_0753,tier1:NCBI ID_2
NATL2_15351,PMN2A_RS06950,PMN2A_0756,,Possible 7kD DNA-binding domain,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0756,tier1:NCBI ID_2
NATL2_15401,PMN2A_RS06975,PMN2A_0761,,Putative chaperon-like protein Ycf39 for quinone binding in Photosystem II,X,,X,,darkness_axenic+unique_axenic,PMN2A_0761,tier1:NCBI ID_2
NATL2_15461,PMN2A_RS07005,PMN2A_0767,psbD,photosystem II protein D2 (PsbD),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0767,tier1:NCBI ID_2
NATL2_15471,PMN2A_RS07010,PMN2A_0768,psbC,Photosystem II CP43 protein (PsbC),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0768,tier1:NCBI ID_2
NATL2_15561,PMN2A_RS07060,PMN2A_0777,,porin-like protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0777,tier1:NCBI ID_2
NATL2_15571,PMN2A_RS07065,PMN2A_0778,glyQ,Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14),X,,X,,darkness_axenic+unique_axenic,PMN2A_0778,tier1:NCBI ID_2
NATL2_15581,PMN2A_RS07070,PMN2A_0779,,FIG00943095: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0779,tier1:NCBI ID_2
NATL2_15791,PMN2A_RS07155,PMN2A_0792,psbF,Cytochrome b559 beta chain (PsbF),X,,X,,darkness_axenic+unique_axenic,PMN2A_0792,tier1:NCBI ID_2
NATL2_15801,PMN2A_RS07160,PMN2A_0793,,FIG00942004: hypothetical protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0793,tier1:NCBI ID_2
NATL2_15821,PMN2A_RS07165,PMN2A_0794,isiB,Flavodoxin 1,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0794,tier1:NCBI ID_2
NATL2_15921,PMN2A_RS07210,PMN2A_0804,,FIG137771: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0804,tier1:NCBI ID_2
NATL2_15951,PMN2A_RS07225,PMN2A_0807,serS,Seryl-tRNA synthetase (EC 6.1.1.11),X,,X,,darkness_axenic+unique_axenic,PMN2A_0807,tier1:NCBI ID_2
NATL2_15961,PMN2A_RS07230,PMN2A_0808,,Membrane-associated zinc metalloprotease,X,,X,,darkness_axenic+unique_axenic,PMN2A_0808,tier1:NCBI ID_2
NATL2_15981,PMN2A_RS07240,PMN2A_0810,,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8),,X,,X,darkness_coculture+unique_coculture,PMN2A_0810,tier1:NCBI ID_2
NATL2_16121,PMN2A_RS07315,PMN2A_0823,,hypothetical protein,X,,X,,darkness_axenic+unique_axenic,PMN2A_0823,tier1:NCBI ID_2
NATL2_16131,PMN2A_RS07320,PMN2A_0824,,putative Uncharacterized conserved protein,X,,X,,darkness_axenic+unique_axenic,PMN2A_0824,tier1:NCBI ID_2
NATL2_16211,PMN2A_RS07340,PMN2A_0828,lexA,SOS-response repressor and protease LexA (EC 3.4.21.88),,X,,X,darkness_coculture+unique_coculture,PMN2A_0828,tier1:NCBI ID_2
NATL2_16221,PMN2A_RS07345,PMN2A_0829,argF,Ornithine carbamoyltransferase (EC 2.1.3.3),X,,X,,darkness_axenic+unique_axenic,PMN2A_0829,tier1:NCBI ID_2
NATL2_16241,PMN2A_RS07350,PMN2A_0830,ftsH,Cell division protein FtsH (EC 3.4.24.-),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0830,tier1:NCBI ID_2
NATL2_16451,PMN2A_RS07440,PMN2A_0850,,FIG00940766: hypothetical protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0850,tier1:NCBI ID_2
NATL2_16471,PMN2A_RS07450,PMN2A_0852,rpsP,SSU ribosomal protein S16p,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0852,tier1:NCBI ID_2
NATL2_16481,PMN2A_RS07455,PMN2A_0853,,"Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)",X,,X,,darkness_axenic+unique_axenic,PMN2A_0853,tier1:NCBI ID_2
NATL2_16491,PMN2A_RS07460,PMN2A_0854,,"Cell division protein ZipN/Ftn2/Arc6, specific for cyanobacteria and chloroplast",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0854,tier1:NCBI ID_2
NATL2_16551,PMN2A_RS07490,PMN2A_0860,,"peptidylprolyl isomerase, FKBP-type( EC:5.2.1.8 )",,X,,X,darkness_coculture+unique_coculture,PMN2A_0860,tier1:NCBI ID_2
NATL2_16561,PMN2A_RS07495,PMN2A_0861,,Nickel-dependent superoxide dismutase (EC 1.15.1.1),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0861,tier1:NCBI ID_2
NATL2_16631,PMN2A_RS07530,PMN2A_0867,,Acetylornithine aminotransferase (EC 2.6.1.11),,X,,X,darkness_coculture+unique_coculture,PMN2A_0867,tier1:NCBI ID_2
NATL2_16761,PMN2A_RS07595,PMN2A_0879,,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),,X,,X,darkness_coculture+unique_coculture,PMN2A_0879,tier1:NCBI ID_2
NATL2_16891,PMN2A_RS07660,PMN2A_0892,himA,Bacterial histone-like DNA-binding protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0892,tier1:NCBI ID_2
NATL2_17201,PMN2A_RS07810,PMN2A_0921,,"Putative lumenal protein, contains 8 pentapeptide repeats, sll0577 homolog",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0921,tier1:NCBI ID_2
NATL2_17341,PMN2A_RS07880,PMN2A_0934,cikA,Circadian input kinase A,X,,X,,darkness_axenic+unique_axenic,PMN2A_0934,tier1:NCBI ID_2
NATL2_17471,PMN2A_RS07935,PMN2A_0944,,possible Hemagglutinin-neuraminidase,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0944,tier1:NCBI ID_2
NATL2_17791,PMN2A_RS08075,PMN2A_0968,groEL,Heat shock protein 60 family chaperone GroEL,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0968,tier1:NCBI ID_2
NATL2_17801,PMN2A_RS08080,PMN2A_0969,groES,Heat shock protein 60 family co-chaperone GroES,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0969,tier1:NCBI ID_2
NATL2_17811,PMN2A_RS08085,PMN2A_0970,atpD,ATP synthase beta chain (EC 3.6.3.14),,X,,X,darkness_coculture+unique_coculture,PMN2A_0970,tier1:NCBI ID_2
NATL2_17831,PMN2A_RS08095,PMN2A_0972,,Plastid and cyanobacterial ribosome-associated protein PSRP-3,X,,X,,darkness_axenic+unique_axenic,PMN2A_0972,tier1:NCBI ID_2
NATL2_17911,PMN2A_RS08135,PMN2A_0980,atpG,ATP synthase gamma chain (EC 3.6.3.14),X,,X,,darkness_axenic+unique_axenic,PMN2A_0980,tier1:NCBI ID_2
NATL2_17921,PMN2A_RS08140,PMN2A_0981,atpA,ATP synthase alpha chain (EC 3.6.3.14),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0981,tier1:NCBI ID_2
NATL2_17931,PMN2A_RS08145,PMN2A_0982,atpH,ATP synthase delta chain (EC 3.6.3.14),X,,X,,darkness_axenic+unique_axenic,PMN2A_0982,tier1:NCBI ID_2
NATL2_17951,PMN2A_RS08155,PMN2A_0984,,ATP synthase B' chain (EC 3.6.3.14),,X,,X,darkness_coculture+unique_coculture,PMN2A_0984,tier1:NCBI ID_2
NATL2_17971,PMN2A_RS08165,PMN2A_0986,atpB,ATP synthase A chain (EC 3.6.3.14),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0986,tier1:NCBI ID_2
NATL2_18261,PMN2A_RS08305,PMN2A_1014,rpoC2,DNA-directed RNA polymerase delta (= beta'') subunit (EC 2.7.7.6),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1014,tier1:NCBI ID_2
NATL2_18281,PMN2A_RS08315,PMN2A_1016,rpoB,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1016,tier1:NCBI ID_2
NATL2_18321,PMN2A_RS08335,PMN2A_1020,rpi,Ribose 5-phosphate isomerase A (EC 5.3.1.6),X,,X,,darkness_axenic+unique_axenic,PMN2A_1020,tier1:NCBI ID_2
NATL2_18331,PMN2A_RS08340,PMN2A_1021,,"Serine proteases, trypsin family:Chymotrypsin serine protease...",,X,,X,darkness_coculture+unique_coculture,PMN2A_1021,tier1:NCBI ID_2
NATL2_18341,PMN2A_RS08345,PMN2A_1022,,FIG000325: clustered with transcription termination protein NusA,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1022,tier1:NCBI ID_2
NATL2_18351,PMN2A_RS08350,PMN2A_1023,nusA,Transcription termination protein NusA,X,,X,,darkness_axenic+unique_axenic,PMN2A_1023,tier1:NCBI ID_2
NATL2_18371,PMN2A_RS08360,PMN2A_1025,infB,Translation initiation factor 2,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1025,tier1:NCBI ID_2
NATL2_18391,PMN2A_RS08375,PMN2A_1027,folE,GTP cyclohydrolase I (EC 3.5.4.16) type 1,,X,,X,darkness_coculture+unique_coculture,PMN2A_1027,tier1:NCBI ID_2
NATL2_18491,PMN2A_RS08425,PMN2A_1037,,"Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family",X,,X,,darkness_axenic+unique_axenic,PMN2A_1037,tier1:NCBI ID_2
NATL2_18501,PMN2A_RS08430,PMN2A_1038,,High-affnity carbon uptake protein Hat/HatR,X,,X,,darkness_axenic+unique_axenic,PMN2A_1038,tier1:NCBI ID_2
NATL2_18671,PMN2A_RS08510,PMN2A_1055,ureC,Urease alpha subunit (EC 3.5.1.5),,X,,X,darkness_coculture+unique_coculture,PMN2A_1055,tier1:NCBI ID_2
NATL2_18801,PMN2A_RS08550,PMN2A_1063,,"SAM radical protein, elongator protein",X,,X,,darkness_axenic+unique_axenic,PMN2A_1063,tier1:NCBI ID_2
NATL2_18831,PMN2A_RS08565,PMN2A_1066,,"L,L-diaminopimelate aminotransferase (EC 2.6.1.83)",X,,X,,darkness_axenic+unique_axenic,PMN2A_1066,tier1:NCBI ID_2
NATL2_18841,PMN2A_RS08570,PMN2A_1067,rne,Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-) @ Ribonuclease E (EC 3.1.26.12),,X,,X,darkness_coculture+unique_coculture,PMN2A_1067,tier1:NCBI ID_2
NATL2_18861,PMN2A_RS08580,PMN2A_1069,,"Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)",,X,,X,darkness_coculture+unique_coculture,PMN2A_1069,tier1:NCBI ID_2
NATL2_18911,PMN2A_RS08605,PMN2A_1074,tufA,Translation elongation factor Tu,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1074,tier1:NCBI ID_2
NATL2_18921,PMN2A_RS08610,PMN2A_1075,fusA,Translation elongation factor G,,X,,X,darkness_coculture+unique_coculture,PMN2A_1075,tier1:NCBI ID_2
NATL2_18991,PMN2A_RS08645,PMN2A_1082,psaA,photosystem I P700 chlorophyll a apoprotein subunit Ia (PsaA),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1082,tier1:NCBI ID_2
NATL2_19001,PMN2A_RS08650,PMN2A_1083,psaB,photosystem I P700 chlorophyll a apoprotein subunit Ib (PsaB),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1083,tier1:NCBI ID_2
NATL2_19011,PMN2A_RS08655,PMN2A_1084,psaL,photosystem I subunit XI (PsaL),X,,X,,darkness_axenic+unique_axenic,PMN2A_1084,tier1:NCBI ID_2
NATL2_19231,PMN2A_RS08765,PMN2A_1101,rpmE,LSU ribosomal protein L31p,,X,,X,darkness_coculture+unique_coculture,PMN2A_1101,tier1:NCBI ID_2
NATL2_19251,PMN2A_RS08775,PMN2A_1103,rplM,LSU ribosomal protein L13p (L13Ae),,X,,X,darkness_coculture+unique_coculture,PMN2A_1103,tier1:NCBI ID_2
NATL2_19271,PMN2A_RS08785,PMN2A_1105,rplQ,LSU ribosomal protein L17p,,X,,X,darkness_coculture+unique_coculture,PMN2A_1105,tier1:NCBI ID_2
NATL2_19281,PMN2A_RS08790,PMN2A_1106,rpoA,DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6),,X,,X,darkness_coculture+unique_coculture,PMN2A_1106,tier1:NCBI ID_2
NATL2_19301,PMN2A_RS08800,PMN2A_1108,rpsM,SSU ribosomal protein S13p (S18e),,X,,X,darkness_coculture+unique_coculture,PMN2A_1108,tier1:NCBI ID_2
NATL2_19361,PMN2A_RS08830,PMN2A_1115,rplF,LSU ribosomal protein L6p (L9e),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1115,tier1:NCBI ID_2
NATL2_19431,PMN2A_RS08860,PMN2A_1122,rplP,LSU ribosomal protein L16p (L10e),,X,,X,darkness_coculture+unique_coculture,PMN2A_1122,tier1:NCBI ID_2
NATL2_19441,PMN2A_RS08865,PMN2A_1123,rpsC,SSU ribosomal protein S3p (S3e),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1123,tier1:NCBI ID_2
NATL2_19471,PMN2A_RS08880,PMN2A_1126,rplB,LSU ribosomal protein L2p (L8e),,X,,X,darkness_coculture+unique_coculture,PMN2A_1126,tier1:NCBI ID_2
NATL2_19491,PMN2A_RS08890,PMN2A_1128,rplD,LSU ribosomal protein L4p (L1e),X,,X,,darkness_axenic+unique_axenic,PMN2A_1128,tier1:NCBI ID_2
NATL2_19501,PMN2A_RS08895,PMN2A_1129,rplC,LSU ribosomal protein L3p (L3e),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1129,tier1:NCBI ID_2
NATL2_19601,PMN2A_RS08950,PMN2A_1139,,"Hypothetical membrane protein, PMM1568 homolog",X,X,,,darkness_axenic+darkness_coculture,PMN2A_1139,tier1:NCBI ID_2
NATL2_19701,PMN2A_RS09005,PMN2A_1149,,"Anthranilate synthase, aminase component (EC 4.1.3.27)",X,,X,,darkness_axenic+unique_axenic,PMN2A_1149,tier1:NCBI ID_2
NATL2_19711,PMN2A_RS09010,PMN2A_1150,psaD,photosystem I subunit II (PsaD),,X,,X,darkness_coculture+unique_coculture,PMN2A_1150,tier1:NCBI ID_2
NATL2_19721,PMN2A_RS09015,PMN2A_1151,,Signal transduction histidine kinase,,X,,X,darkness_coculture+unique_coculture,PMN2A_1151,tier1:NCBI ID_2
NATL2_19961,PMN2A_RS09135,PMN2A_1174,,"Possible alpha/beta hydrolase superfamily, slr1235 homolog",X,,X,,darkness_axenic+unique_axenic,PMN2A_1174,tier1:NCBI ID_2
NATL2_19991,PMN2A_RS09150,PMN2A_1177,,FIG00941479: hypothetical protein,X,,X,,darkness_axenic+unique_axenic,PMN2A_1177,tier1:NCBI ID_2
NATL2_20081,PMN2A_RS09200,PMN2A_1186,fabF,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)",,X,,X,darkness_coculture+unique_coculture,PMN2A_1186,tier1:NCBI ID_2
NATL2_20091,PMN2A_RS09205,PMN2A_1187,tktA,Transketolase (EC 2.2.1.1),,X,,X,darkness_coculture+unique_coculture,PMN2A_1187,tier1:NCBI ID_2
NATL2_20101,PMN2A_RS09210,PMN2A_1188,thiC,Thiamin biosynthesis protein ThiC,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1188,tier1:NCBI ID_2
NATL2_20181,PMN2A_RS09250,PMN2A_1196,,"two component transcriptional regulator, winged helix family",,X,,X,darkness_coculture+unique_coculture,PMN2A_1196,tier1:NCBI ID_2
NATL2_20211,PMN2A_RS09265,PMN2A_1199,mreB,Rod shape-determining protein MreB,,X,,X,darkness_coculture+unique_coculture,PMN2A_1199,tier1:NCBI ID_2
NATL2_20241,PMN2A_RS09280,PMN2A_1202,sam1,Adenosylhomocysteinase (EC 3.3.1.1),X,,X,,darkness_axenic+unique_axenic,PMN2A_1202,tier1:NCBI ID_2
NATL2_20291,PMN2A_RS09305,PMN2A_1207,,"Cyanobacteria-specific RpoD-like sigma factor, type-6",X,X,,,darkness_axenic+darkness_coculture,PMN2A_1207,tier1:NCBI ID_2
NATL2_20301,PMN2A_RS09310,PMN2A_1208,mgtE,Magnesium transporter,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1208,tier1:NCBI ID_2
NATL2_20351,PMN2A_RS09335,PMN2A_1213,gyrB,DNA gyrase subunit B (EC 5.99.1.3),,X,,X,darkness_coculture+unique_coculture,PMN2A_1213,tier1:NCBI ID_2
NATL2_20431,PMN2A_RS09375,PMN2A_1221,gmd,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)",X,X,,,darkness_axenic+darkness_coculture,PMN2A_1221,tier1:NCBI ID_2
NATL2_20491,PMN2A_RS09405,PMN2A_1226,yapH,YapH protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1226,tier1:NCBI ID_2
NATL2_20501,PMN2A_RS09410,PMN2A_1227,,FIG00943251: hypothetical protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1227,tier1:NCBI ID_2
NATL2_20751,PMN2A_RS09535,PMN2A_1250,,"Zn-dependent hydrolase, RNA-metabolising",X,X,,,darkness_axenic+darkness_coculture,PMN2A_1250,tier1:NCBI ID_2
NATL2_20861,PMN2A_RS09585,PMN2A_1260,rplT,LSU ribosomal protein L20p,X,,X,,darkness_axenic+unique_axenic,PMN2A_1260,tier1:NCBI ID_2
NATL2_20901,PMN2A_RS09605,PMN2A_1264,sqdB,Sulfolipid (UDP-sulfoquinovose) biosynthesis protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1264,tier1:NCBI ID_2
NATL2_20961,PMN2A_RS09635,PMN2A_1270,,FIG00940361: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_1270,tier1:NCBI ID_2
NATL2_20981,PMN2A_RS09645,PMN2A_1272,rplI,LSU ribosomal protein L9p,,X,,X,darkness_coculture+unique_coculture,PMN2A_1272,tier1:NCBI ID_2
NATL2_20991,PMN2A_RS09650,PMN2A_1273,dnaB,Replicative DNA helicase (EC 3.6.1.-),X,,X,,darkness_axenic+unique_axenic,PMN2A_1273,tier1:NCBI ID_2
NATL2_21081,PMN2A_RS09690,PMN2A_1281,valS,Valyl-tRNA synthetase (EC 6.1.1.9),X,,X,,darkness_axenic+unique_axenic,PMN2A_1281,tier1:NCBI ID_2
NATL2_21181,PMN2A_RS09745,PMN2A_1291,pyrG,CTP synthase (EC 6.3.4.2),,X,,X,darkness_coculture+unique_coculture,PMN2A_1291,tier1:NCBI ID_2
NATL2_21331,PMN2A_RS09820,PMN2A_1305,,"Cyanobacteria-specific RpoD-like sigma factor, type-13",X,,X,,darkness_axenic+unique_axenic,PMN2A_1305,tier1:NCBI ID_2
NATL2_21361,PMN2A_RS09835,PMN2A_1308,acnB,Aconitate hydratase 2 (EC 4.2.1.3),X,,X,,darkness_axenic+unique_axenic,PMN2A_1308,tier1:NCBI ID_2
NATL2_21421,PMN2A_RS09860,PMN2A_1313,dnaK,Chaperone protein DnaK,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1313,tier1:NCBI ID_2
NATL2_21431,PMN2A_RS09865,PMN2A_1314,aroE,Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25),X,,X,,darkness_axenic+unique_axenic,PMN2A_1314,tier1:NCBI ID_2
NATL2_21451,PMN2A_RS09875,PMN2A_1316,rpsF,SSU ribosomal protein S6p,X,,X,,darkness_axenic+unique_axenic,PMN2A_1316,tier1:NCBI ID_2
NATL2_21551,PMN2A_RS09925,PMN2A_1325,ubiB,Ubiquinone biosynthesis monooxygenase UbiB,,X,,X,darkness_coculture+unique_coculture,PMN2A_1325,tier1:NCBI ID_2
(unannotated),,,rnpB,rnpB: catalytic subunit of Rnase P,X,X,,,darkness_axenic+darkness_coculture,,empty
