gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanoak,gene_names_cyanorak,Ontology_term,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description
neuC,neuC,TX72_RS02195,SYNW0449,Protein Homology,453004.0,454176.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127323.1,UDP-N-acetylglucosamine 2-epimerase,WP_011127323.1,SYNW0449,453004.0,454176.0,+,CK_Syn_WH8102_00449,legG,"GO:0006047,GO:0004553,GO:0008761",CK_00002268,"E.1,M.6","Amino sugars,Sugar-nucleotide biosynthesis and conversions","COG0381,bactNOG02517,cyaNOG06165","COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",3.2.1.184,UDP-N%2CN'-diacetylbacillosamine 2-epimerase (hydrolysing)%3B UDP-Bac2Ac4Ac 2-epimerase%3B NeuC,"UDP-N-acetylglucosamine metabolic process,UDP-N-acetylglucosamine metabolic process,hydrolase activity%2C hydrolyzing O-glycosyl compounds,UDP-N-acetylglucosamine 2-epimerase activity",UDP-N%2CN'-diacetylbacillosamine 2-epimerase (hydrolysing),"TIGR03568,PF02350,IPR003331,IPR020004,IPR029767","UDP-N-acetyl-D-glucosamine 2-epimerase%2C UDP-hydrolysing,UDP-N-acetylglucosamine 2-epimerase,UDP-N-acetylglucosamine 2-epimerase domain,UDP-N-acetylglucosamine 2-epimerase%2CUDP-hydrolysing,UDP-N-acetylglucosamine 2-epimerase WecB-like","100,128","Central intermediary metabolism / Amino sugars,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Sugar-nucleotide biosynthesis and conversions"
TX72_RS02200,,TX72_RS02200,SYNW0450,Protein Homology,455312.0,456370.0,+,,,COORDINATES: protein motif:HMM:NF012695.6,nucleotidyltransferase family protein,WP_011127324.1,SYNW0450,455312.0,456370.0,+,CK_Syn_WH8102_00450,SYNW0450,"GO:0009058,GO:0016779",CK_00002266,,,"COG0517,COG1208,bactNOG01806,cyaNOG06473","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: MJ,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",,,"biosynthetic process,biosynthetic process,nucleotidyltransferase activity",mobA-like NTP transferase domain protein,"PF00483,PS51371,IPR005835","Nucleotidyl transferase,CBS domain profile.,Nucleotidyl transferase domain",703,Unknown function / Enzymes of unknown specificity
TX72_RS14350,,TX72_RS14350,SYNW0451,Protein Homology,456616.0,456978.0,+,,,COORDINATES: protein motif:HMM:NF012360.6,acyltransferase,WP_011127325.1,SYNW0451,456616.0,456978.0,+,CK_Syn_WH8102_00451,SYNW0451,GO:0016740,CK_00057207,R.3,Enzymes of unknown specificity,"COG0110,bactNOG39805,cyaNOG02993","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",2.3.1.18,Description not found.,transferase activity,acetyltransferase,"PF14602,PF00132,PS00101,IPR001451,IPR011004","Hexapeptide repeat of succinyl-transferase,Bacterial transferase hexapeptide (six repeats),Hexapeptide-repeat containing-transferases signature.,Hexapeptide repeat,Trimeric LpxA-like superfamily",703,Unknown function / Enzymes of unknown specificity
TX72_RS13755,,TX72_RS13755,SYNW0452,GeneMarkS-2+,456975.0,457904.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011127326.1,SYNW0452,456975.0,457904.0,+,CK_Syn_WH8102_00452,SYNW0452,,CK_00039541,,,,,,,,hypothetical protein,,,,
TX72_RS14960,,TX72_RS14960,SYNW0453,Protein Homology,457909.0,458811.0,+,,,COORDINATES: protein motif:HMM:NF021616.6,glycosyltransferase family 2 protein,WP_011127327.1,SYNW0453,457909.0,458811.0,+,CK_Syn_WH8102_00453,SYNW0453,GO:0016740,CK_00004923,,,"COG0463,bactNOG37060,cyaNOG04776","COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",2.4.1.-,,transferase activity,possible beta-glycosyltransferase%2C family 2,"PF00535,PF00534,IPR001173,IPR001296","Glycosyl transferase family 2,Glycosyl transferases group 1,Glycosyltransferase 2-like,Glycosyl transferase%2C family 1",90,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TX72_RS13070,,TX72_RS13070,SYNW0454,Protein Homology,458804.0,459688.0,+,,,COORDINATES: protein motif:HMM:NF012745.7,glycosyltransferase family 2 protein,WP_011127328.1,SYNW0454,458804.0,459688.0,+,CK_Syn_WH8102_00454,SYNW0454,,CK_00049912,C.3,Surface polysaccharides and lipopolysaccharides,,,2.4.1.-,,,nucleotide-diphospho-sugar transferase,"PF00535,IPR001173,IPR029044","Glycosyl transferase family 2,Glycosyltransferase 2-like,Nucleotide-diphospho-sugar transferases",90,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TX72_RS13760,,TX72_RS13760,SYNW0455,Protein Homology,459685.0,460461.0,+,,,COORDINATES: protein motif:HMM:NF012745.7,glycosyltransferase,WP_011127329.1,SYNW0455,459685.0,460461.0,+,CK_Syn_WH8102_00455,SYNW0455,,CK_00039543,,,,,,,,Possible glycosyltransferase,"PF00535,IPR001173","Glycosyl transferase family 2,Glycosyltransferase 2-like",,
TX72_RS13450,,TX72_RS13450,SYNW0456,Protein Homology,460448.0,461476.0,+,,,COORDINATES: protein motif:HMM:NF012744.6,glycosyltransferase,WP_011127330.1,SYNW0456,460448.0,461476.0,+,CK_Syn_WH8102_00456,SYNW0456,GO:0009058,CK_00050213,,,,,,,biosynthetic process,Possible glycosyltransferase,"PF00534,IPR001296","Glycosyl transferases group 1,Glycosyl transferase%2C family 1",,
TX72_RS13765,,TX72_RS13765,SYNW0457,GeneMarkS-2+,461473.0,462735.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011127331.1,SYNW0457,461473.0,462735.0,+,CK_Syn_WH8102_00457,SYNW0457,,CK_00039545,,,,,,,,hypothetical protein,,,,
TX72_RS13455,,TX72_RS13455,SYNW0458,Protein Homology,462728.0,463843.0,+,,,COORDINATES: protein motif:HMM:NF012744.6,glycosyltransferase family 4 protein,WP_011127332.1,SYNW0458,462728.0,463843.0,+,CK_Syn_WH8102_00458,SYNW0458,GO:0009058,CK_00039544,,,,,,,biosynthetic process,possible glycosyltransferase group I,"PF00534,IPR001296","Glycosyl transferases group 1,Glycosyl transferase%2C family 1",,
TX72_RS13085,,TX72_RS13085,SYNW0459,Protein Homology,463850.0,464791.0,+,,,COORDINATES: protein motif:HMM:NF013530.6,NAD-dependent epimerase/dehydratase family protein,WP_011127333.1,SYNW0459,463850.0,464791.0,+,CK_Syn_WH8102_00459,SYNW0459,"GO:0003824,GO:0050662",CK_00041152,,,,,,,"catalytic activity,coenzyme binding",NAD dependent epimerase/dehydratase family protein,"PF01370,IPR001509","NAD dependent epimerase/dehydratase family,NAD-dependent epimerase/dehydratase",119,Energy metabolism / Sugars
TX72_RS02210,,TX72_RS02210,SYNW0460,Protein Homology,464903.0,465883.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127334.1,MraY family glycosyltransferase,WP_011127334.1,SYNW0460,464903.0,465883.0,+,CK_Syn_WH8102_00460,SYNW0460,"GO:0008963,GO:0016021",CK_00056172,,,,,,,"phospho-N-acetylmuramoyl-pentapeptide-transferase activity,phospho-N-acetylmuramoyl-pentapeptide-transferase activity,integral component of membrane",glycosyl transferase 4 family protein,"PF00953,IPR000715","Glycosyl transferase family 4,Glycosyl transferase%2C family 4",89,Cell envelope / Biosynthesis and degradation of murein sacculus and peptidoglycan
TX72_RS02215,,TX72_RS02215,SYNW0461,Protein Homology,465892.0,467796.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127335.1,polysaccharide biosynthesis protein,WP_042504130.1,SYNW0461,465880.0,467796.0,+,CK_Syn_WH8102_00461,SYNW0461,GO:0009058,CK_00044481,C.3,Surface polysaccharides and lipopolysaccharides,"COG1086,bactNOG02752,cyaNOG00906","COG: MG,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",,,biosynthetic process,polysaccharide biosynthesis family protein,"PF13727,PF02719,IPR003869","CoA-binding domain,Polysaccharide biosynthesis protein,Polysaccharide biosynthesis protein%2C CapD-like domain","119,90","Energy metabolism / Sugars,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides"
TX72_RS02220,,TX72_RS02220,SYNW0462,Protein Homology,467913.0,468251.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127336.1,P-II family nitrogen regulator,WP_011127336.1,SYNW0462,467913.0,468251.0,-,CK_Syn_WH8102_00462,glnB,"GO:0006355,GO:0006808,GO:0006351,GO:0000166,GO:0042802,GO:0030234",CK_00000186,"D.1.3,E.4,N.1","Nitrogen,Nitrogen metabolism, DNA interactions","COG0347,bactNOG23811,bactNOG23875,cyaNOG03075","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",,,"regulation of transcription%2C DNA-templated,regulation of nitrogen utilization,transcription%2C DNA-templated,regulation of transcription%2C DNA-templated,regulation of nitrogen utilization,transcription%2C DNA-templated,nucleotide binding,identical protein binding,enzyme regulator activity",nitrogen regulatory protein P-II,"PF00543,PS00638,PS51343,IPR002187,IPR017918","Nitrogen regulatory protein P-II,P-II protein C-terminal region signature.,P-II protein family profile.,Nitrogen regulatory protein PII,Nitrogen regulatory protein PII%2C conserved site","160,261","Central intermediary metabolism / Nitrogen metabolism,Regulatory functions / DNA interactions"
queF,queF,TX72_RS02225,SYNW0463,Protein Homology,468397.0,468786.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011365144.1,preQ(1) synthase,WP_042504131.1,SYNW0463,468385.0,468786.0,+,CK_Syn_WH8102_00463,queF,"GO:0008616,GO:0055114,GO:0033739,GO:0046857,GO:0005737",CK_00001127,B.10.3,Folic acid (b9),"COG0780,bactNOG37835,bactNOG13929,bactNOG98574,cyaNOG02675","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",1.7.1.13,preQ1 synthase%3B YkvM%3B QueF%3B preQ0 reductase%3B preQ0 oxidoreductase%3B 7-cyano-7-deazaguanine reductase%3B queuine synthase (incorrect as queuine is not the product)%3B queuine:NADP+ oxidoreductase (incorrect as queuine is not the product),"queuosine biosynthetic process,oxidation-reduction process,queuosine biosynthetic process,oxidation-reduction process,preQ1 synthase activity,oxidoreductase activity%2C acting on other nitrogenous compounds as donors%2C with NAD or NADP as acceptor,queuosine biosynthetic process,oxidation-reduction process,preQ1 synthase activity,oxidoreductase activity%2C acting on other nitrogenous compounds as donors%2C with NAD or NADP as acceptor,cytoplasm",7-cyano-7-deazaguanine reductase,"TIGR03139,PF14489,IPR016856,IPR029500","7-cyano-7-deazaguanine reductase,QueF-like protein,NADPH-dependent 7-cyano-7-deazaguanine reductase%2C QueF type 1,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF",78,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Folic acid
TX72_RS02230,,TX72_RS02230,SYNW0464,Protein Homology,468802.0,469020.0,+,,,COORDINATES: protein motif:HMM:TIGR01439.1,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,WP_158305714.1,SYNW0464,468796.0,469020.0,+,CK_Syn_WH8102_00464,SYNW0464,,CK_00055292,,,,,,,,conserved hypothetical protein,"TIGR01439,PF04014,IPR007159","transcriptional regulator%2C AbrB family,Antidote-toxin recognition MazE%2C bacterial antitoxin,SpoVT-AbrB domain",156,Hypothetical proteins / Conserved
TX72_RS02235,,TX72_RS02235,SYNW0465,Protein Homology,469039.0,469521.0,-,,,COORDINATES: protein motif:HMM:NF044627.3,ribonuclease toxin HepT-like protein,WP_011127339.1,SYNW0465,469039.0,469521.0,-,CK_Syn_WH8102_00465,SYNW0465,,CK_00036838,,,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved
TX72_RS12800,,TX72_RS12800,SYNW0466,Protein Homology,469521.0,469892.0,-,,,COORDINATES: protein motif:HMM:NF037100.6,nucleotidyltransferase family protein,WP_011127340.1,SYNW0466,469521.0,469892.0,-,CK_Syn_WH8102_00466,SYNW0466,GO:0016779,CK_00047824,,,,,,,nucleotidyltransferase activity,nucleotidyltransferase domain protein,"PF01909,IPR002934","Nucleotidyltransferase domain,Polymerase%2C nucleotidyl transferase domain",703,Unknown function / Enzymes of unknown specificity
TX72_RS02245,,TX72_RS02245,SYNW0467,Protein Homology,469906.0,470307.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127341.1,HEPN domain-containing protein,WP_011127341.1,SYNW0467,469906.0,470307.0,-,CK_Syn_WH8102_00467,SYNW0467,,CK_00045838,,,,,,,,conserved hypothetical protein,"PF05168,PS50910,IPR007842","HEPN domain,HEPN domain profile.,HEPN domain",856,Not Found
TX72_RS02250,,TX72_RS02250,SYNW0468,Protein Homology,470304.0,470654.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127342.1,nucleotidyltransferase domain-containing protein,WP_011127342.1,SYNW0468,470304.0,470654.0,-,CK_Syn_WH8102_00468,SYNW0468,GO:0016779,CK_00002435,,,COG1708,COG: POORLY CHARACTERIZED [R] General function prediction only,,,nucleotidyltransferase activity,nucleotidyltransferase domain protein,"PF01909,IPR002934","Nucleotidyltransferase domain,Polymerase%2C nucleotidyl transferase domain",703,Unknown function / Enzymes of unknown specificity
TX72_RS02255,,TX72_RS02255,SYNW0469,Protein Homology,470651.0,471034.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127343.1,HEPN domain-containing protein,WP_011127343.1,SYNW0469,470651.0,471034.0,-,CK_Syn_WH8102_00469,SYNW0469,,CK_00053823,,,,,,,,conserved hypothetical protein,"PF05168,IPR007842","HEPN domain,HEPN domain",156,Hypothetical proteins / Conserved
TX72_RS02260,,TX72_RS02260,SYNW0470,Protein Homology,471021.0,471428.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127344.1,nucleotidyltransferase domain-containing protein,WP_042504136.1,SYNW0470,471021.0,471467.0,-,CK_Syn_WH8102_00470,SYNW0470,GO:0016779,CK_00002843,,,COG1708,COG: POORLY CHARACTERIZED [R] General function prediction only,,,nucleotidyltransferase activity,conserved hypothetical protein,"PF01909,IPR002934","Nucleotidyltransferase domain,Polymerase%2C nucleotidyl transferase domain",156,Hypothetical proteins / Conserved
TX72_RS02270,,TX72_RS02270,SYNW0471,Protein Homology,471846.0,473144.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127345.1,cytochrome c biogenesis protein ResB,WP_011127345.1,SYNW0471,471846.0,473144.0,-,CK_Syn_WH8102_00471,ccsB,"GO:0017004,GO:0016021,GO:0042651",CK_00001126,B.11,Other,"COG1333,bactNOG29500,bactNOG99947,bactNOG09023,bactNOG87091,bactNOG42494,bactNOG22782,cyaNOG01282","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",,,"cytochrome complex assembly,cytochrome complex assembly,integral component of membrane,thylakoid membrane",cytochrome c biogenesis protein,"PF05140,IPR007816","ResB-like family,ResB-like domain",76,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Other
TX72_RS02275,,TX72_RS02275,SYNW0472,Protein Homology,473149.0,473802.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011359292.1,cytochrome c biogenesis CcdA family protein,WP_404824903.1,SYNW0472,473149.0,473865.0,-,CK_Syn_WH8102_00472,ccsC1,"GO:0017004,GO:0055114,GO:0016020",CK_00001125,"D.1.4,D.1.7","Oxidative stress,Trace metals","COG0785,bactNOG47104,bactNOG98447,bactNOG99641,bactNOG100365,cyaNOG05866,cyaNOG01711","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",,,"cytochrome complex assembly,oxidation-reduction process,cytochrome complex assembly,oxidation-reduction process,membrane",cytochrome c-type biogenesis protein,"PF02683,IPR003834","Cytochrome C biogenesis protein transmembrane region,Cytochrome C biogenesis protein%2C transmembrane domain",149,Cellular processes / Adaptations to atypical conditions
TX72_RS02280,,TX72_RS02280,SYNW0473,Protein Homology,473929.0,474255.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127347.1,HI0074 family nucleotidyltransferase substrate-binding subunit,WP_011127347.1,SYNW0473,473929.0,474255.0,+,CK_Syn_WH8102_00473,SYNW0473,GO:0016779,CK_00039695,M.2,Nucleotide and nucleoside interconversions,,,,,nucleotidyltransferase activity,nucleotidyltransferase substrate binding%2C HI0074 family protein,"TIGR01987,PF08780,IPR010235","nucleotidyltransferase substrate binding protein%2C HI0074 family,Nucleotidyltransferase substrate binding protein like,Nucleotidyltransferase substrate binding protein%2C HI0074",124,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Nucleotide and nucleoside interconversions
TX72_RS02285,,TX72_RS02285,SYNW0474,Protein Homology,474352.0,474654.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127348.1,nucleotidyltransferase domain-containing protein,WP_011127348.1,SYNW0474,474352.0,474654.0,+,CK_Syn_WH8102_00474,SYNW0474,"GO:0016779,GO:0016740",CK_00040768,,,,,,,"nucleotidyltransferase activity,transferase activity",putative nucleotidyltransferase domain protein,"PF01909,IPR002934","Nucleotidyltransferase domain,Polymerase%2C nucleotidyl transferase domain",703,Unknown function / Enzymes of unknown specificity
TX72_RS02290,,TX72_RS02290,SYNW0475,Protein Homology,474640.0,475887.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127349.1,FtsW/RodA/SpoVE family cell cycle protein,WP_011127349.1,SYNW0475,474640.0,475887.0,-,CK_Syn_WH8102_00475,ftsW,"GO:0007049,GO:0051301,GO:0016021",CK_00001124,D.2,Cell division,"COG0772,bactNOG00021,cyaNOG01895","COG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,cyaNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning",,,"cell cycle,cell division,cell cycle,cell division,integral component of membrane",cell division protein FtsW,"PF01098,PS00428,IPR001182,IPR018365","Cell cycle protein,Cell cycle proteins ftsW / rodA / spoVE signature.,Probable peptidoglycan glycosyltransferase FtsW/RodA,Cell cycle%2C FtsW / RodA / SpoVE%2C conserved site",93,Cellular processes / Cell division
TX72_RS02295,,TX72_RS02295,SYNW0476,Protein Homology,475956.0,476156.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127350.1,hypothetical protein,WP_011127350.1,SYNW0476,475956.0,476156.0,-,CK_Syn_WH8102_00476,SYNW0476,,CK_00001523,R.2,Conserved hypothetical proteins,"NOG43505,bactNOG76137,cyaNOG08011","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved
TX72_RS02300,,TX72_RS02300,SYNW0477,Protein Homology,476339.0,477241.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011932033.1,peptidoglycan recognition protein family protein,WP_042502967.1,SYNW0477,476339.0,477241.0,+,CK_Syn_WH8102_00477,SYNW0477,"GO:0009253,GO:0008745",CK_00056319,C.2,Murein sacculus and peptidoglycan,,,,,"peptidoglycan catabolic process,peptidoglycan catabolic process,N-acetylmuramoyl-L-alanine amidase activity",N-acetylmuramoyl-L-alanine amidase,"PF01510,IPR036505","N-acetylmuramoyl-L-alanine amidase,N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily",89,Cell envelope / Biosynthesis and degradation of murein sacculus and peptidoglycan
TX72_RS02310,,TX72_RS02310,SYNW0478,Protein Homology,477752.0,481420.0,+,,,COORDINATES: protein motif:HMM:NF024831.6,glycosyltransferase,WP_011127352.1,SYNW0478,477752.0,481420.0,+,CK_Syn_WH8102_00478,SYNW0478,GO:0016740,CK_00002236,,,"COG0457,COG0438,NOG326643,bactNOG00966,cyaNOG05261","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",2.4.1.-,,transferase activity,possible alpha-glycosyltransferase%2C family 4,"PF00534,PF13692,PS50293,IPR001296,IPR013026","Glycosyl transferases group 1,Glycosyl transferases group 1,TPR repeat region circular profile.,Glycosyl transferase%2C family 1,Tetratricopeptide repeat-containing domain",856,Not Found
TX72_RS02315,,TX72_RS02315,SYNW0479,Protein Homology,481417.0,482538.0,+,,,COORDINATES: protein motif:HMM:NF016464.6,glycosyltransferase 61 family protein,WP_011127353.1,SYNW0479,481417.0,482538.0,+,CK_Syn_WH8102_00479,SYNW0479,GO:0016757,CK_00044167,,,,,,,transferase activity%2C transferring glycosyl groups,conserved hypothetical protein,"PF04577,IPR007657","Protein of unknown function (DUF563),Glycosyltransferase 61",156,Hypothetical proteins / Conserved
TX72_RS02320,,TX72_RS02320,SYNW0480,Protein Homology,482543.0,482950.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127354.1,HEPN domain-containing protein,WP_011127354.1,SYNW0480,482543.0,482950.0,+,CK_Syn_WH8102_00480,SYNW0480,,CK_00048708,,,,,,,,conserved hypothetical protein,"PF05168,PS50910,IPR007842","HEPN domain,HEPN domain profile.,HEPN domain",156,Hypothetical proteins / Conserved
TX72_RS02325,,TX72_RS02325,SYNW0481,Protein Homology,482907.0,483257.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007100983.1,nucleotidyltransferase domain-containing protein,WP_225867753.1,SYNW0481,482901.0,483257.0,+,CK_Syn_WH8102_00481,SYNW0481,GO:0016779,CK_00036947,,,,,,,nucleotidyltransferase activity,conserved hypothetical protein,"PF01909,IPR002934","Nucleotidyltransferase domain,Polymerase%2C nucleotidyl transferase domain",703,Unknown function / Enzymes of unknown specificity
TX72_RS02330,,TX72_RS02330,SYNW0482,Protein Homology,483260.0,484075.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127356.1,TlyA family RNA methyltransferase,WP_011127356.1,SYNW0482,483260.0,484075.0,+,CK_Syn_WH8102_00482,SYNW0482,"GO:0032259,GO:0008168,GO:0003723",CK_00041292,K.3,tRNA and rRNA base modification,"COG1189,bactNOG04430,cyaNOG00445","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",2.1.1.-,,"methylation,methylation,methyltransferase activity,RNA binding",ribosomal RNA methyltransferase FtsJ family,"TIGR00478,PF01728,PF01479,PS50889,IPR002877,IPR002942,IPR004538","TlyA family rRNA methyltransferase/putative hemolysin,FtsJ-like methyltransferase,S4 domain,S4 RNA-binding domain profile.,Ribosomal RNA methyltransferase FtsJ domain,RNA-binding S4 domain,Haemolysin A /rRNA methyltransferase TlyA",168,Protein synthesis / tRNA and rRNA base modification
TX72_RS02335,,TX72_RS02335,SYNW0483,Protein Homology,484135.0,484335.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007098856.1,phycobilisome linker polypeptide,WP_007098856.1,SYNW0483,484135.0,484335.0,-,CK_Syn_WH8102_00483,apcC,"GO:0016038,GO:0031992,GO:0030089",CK_00001646,J.5.1,Allophycocyanin,"NOG14273,bactNOG43190,cyaNOG03783","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"absorption of visible light,absorption of visible light,energy transducer activity,absorption of visible light,energy transducer activity,phycobilisome",phycobilisome core linker polypeptide (Lc)%2C allophycocyanin-associated,"PF01383,PS51441,IPR008213","CpcD/allophycocyanin linker domain,CpcD-like domain profile.,CpcD-like domain",164,Energy metabolism / Photosynthesis
