function category,Gene Name,Gene ID,Score,Log2 fold change,resolved_locus_tag,resolution_method
Conserved hypothetical and hypothetical ORFs,SYNW0855,conserved hypothetical protein,3.86,0.18,SYNW0855,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1382,conserved hypothetical,3.84,0.48,SYNW1382,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2482,conserved hypothetical protein,3.83,0.77,SYNW2482,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2024,conserved hypothetical protein,3.79,0.45,SYNW2024,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1493,conserved hypothetical,3.79,0.26,SYNW1493,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1655,hypothetical,3.78,0.24,SYNW1655,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0311,conserved hypothetical protein,3.78,0.27,SYNW0311,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0434,conserved hypothetical protein,3.76,0.78,SYNW0434,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1088,conserved hypothetical protein,3.75,0.96,SYNW1088,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0409,hypothetical,3.74,0.42,SYNW0409,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1437,conserved hypothetical protein,3.73,0.28,SYNW1437,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1304,conserved hypothetical protein,3.71,0.7,SYNW1304,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1155,conserved hypothetical protein,3.71,0.3,SYNW1155,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2466,hypothetical,3.71,0.54,SYNW2466,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1776,conserved hypothetical protein,3.7,0.67,SYNW1776,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1294,conserved hypothetical protein,3.7,0.22,SYNW1294,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1580,hypothetical,3.68,0.43,SYNW1580,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0466,hypothetical,3.65,0.18,SYNW0466,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2244,hypothetical,3.65,1.65,SYNW2244,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1577,hypothetical,3.62,0.44,SYNW1577,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1991,conserved hypothetical protein,3.58,0.49,SYNW1991,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2408,hypothetical,3.56,0.26,SYNW2408,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0477,hypothetical,3.53,0.18,SYNW0477,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1559,hypothetical,3.52,0.72,SYNW1559,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1654,conserved hypothetical protein,3.52,0.59,SYNW1654,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0068,conserved hypothetical protein,3.46,0.33,SYNW0068,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1727,conserved hypothetical protein,3.43,0.37,SYNW1727,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1352,hypothetical,3.42,0.48,SYNW1352,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1777,conserved hypothetical protein,3.42,0.51,SYNW1777,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1565,conserved hypothetical protein,3.42,0.55,SYNW1565,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1067,conserved hypothetical protein,3.42,0.27,SYNW1067,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1136,hypothetical,3.4,0.32,SYNW1136,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1515,conserved hypothetical,3.38,0.71,SYNW1515,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2006,hypothetical,3.35,0.39,SYNW2006,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2296,hypothetical,3.35,0.32,SYNW2296,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0601,conserved hypothetical protein,3.35,0.25,SYNW0601,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0479,conserved hypothetical protein,3.34,0.31,SYNW0479,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1951,conserved hypothetical,3.32,0.32,SYNW1951,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1145,conserved hypothetical protein,3.32,0.25,SYNW1145,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2521,conserved hypothetical protein,3.31,0.55,SYNW2521,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1030,conserved hypothetical protein,3.29,0.55,SYNW1030,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0977,conserved hypothetical protein,3.22,0.25,SYNW0977,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1594,conserved hypothetical protein,3.22,0.32,SYNW1594,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1531,conserved hypothetical protein,3.21,0.22,SYNW1531,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0717,conserved hypothetical protein,3.21,0.25,SYNW0717,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1926,conserved hypothetical protein,3.21,0.53,SYNW1926,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0351,hypothetical,3.2,0.23,SYNW0351,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0390,conserved hypothetical protein,3.2,0.42,SYNW0390,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2335,conserved hypothetical protein,3.2,0.18,SYNW2335,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0881,conserved hypothetical protein,3.18,0.27,SYNW0881,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0397,conserved hypothetical protein,3.17,0.25,SYNW0397,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1137,conserved hypothetical protein,3.12,0.34,SYNW1137,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0428,hypothetical,3.12,0.33,SYNW0428,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1699,hypothetical,3.12,0.35,SYNW1699,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0395,conserved hypothetical protein,3.11,0.19,SYNW0395,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2355,conserved hypothetical protein,3.11,0.25,SYNW2355,locus_tag:Gene Name
