Name,gene,locus_tag,old_locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,gene_length,path_id,main,sub,path,ecpath,Category,Membrane transport,kegg_gene1,kegg_gene2
fabD,fabD,TX50_RS00720,PMM0137,Protein Homology,135371,136267,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805490.1,ACP S-malonyltransferase,WP_011131776.1,896,K00645,09100 Metabolism;09180 Brite Hierarchies,09103 Lipid metabolism;09110 Biosynthesis of other secondary metabolites;09181 Protein families: metabolism,00061 Fatty acid biosynthesis [PATH:ko00061];00333 Prodigiosin biosynthesis [PATH:ko00333];01004 Lipid biosynthesis proteins [BR:ko01004],"K00645  fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]",Metabolism,,"fabD, MCAT, MCT1",(fabD)
TX50_RS00725,(plsC),TX50_RS00725,PMM0138,Protein Homology,136272,136892,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819489.1,1-acyl-sn-glycerol-3-phosphate acyltransferase,WP_011131777.1,620,K00655,09100 Metabolism;09180 Brite Hierarchies,09103 Lipid metabolism;09181 Protein families: metabolism,00561 Glycerolipid metabolism [PATH:ko00561];00564 Glycerophospholipid metabolism [PATH:ko00564];01004 Lipid biosynthesis proteins [BR:ko01004],K00655  plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51],Metabolism,,plsC,(plsC)
TX50_RS00730,,TX50_RS00730,PMM0139,Protein Homology,136897,137547,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819490.1,hypothetical protein,WP_011131778.1,650,K14742,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K14742  tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,Genetic Info,,nan,nan
TX50_RS00735,,TX50_RS00735,PMM0140,Protein Homology,137554,137805,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862185.1,Ycf34 family protein,WP_011131779.1,251,,,,,,Other,,,
TX50_RS00740,(cca),TX50_RS00740,PMM0141,Protein Homology,137792,139039,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819492.1,CCA tRNA nucleotidyltransferase,WP_011131780.1,1247,K00974,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K00974  cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-],Genetic Info,,cca,(cca)
TX50_RS00745,,TX50_RS00745,PMM0142,Protein Homology,139098,139517,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006957.1,RNA-binding protein,WP_011131781.1,419,,,,,,Other,,,
TX50_RS00750,(crtB),TX50_RS00750,PMM0143,Protein Homology,139518,140426,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006958.1,phytoene synthase,WP_011131782.1,908,K02291,09100 Metabolism;09180 Brite Hierarchies,09109 Metabolism of terpenoids and polyketides;09181 Protein families: metabolism,00906 Carotenoid biosynthesis [PATH:ko00906];01006 Prenyltransferases [BR:ko01006],K02291  crtB; 15-cis-phytoene synthase [EC:2.5.1.32],Metabolism,,crtB,(crtB)
pds,pds,TX50_RS00755,PMM0144,Protein Homology,140446,141867,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819495.1,15-cis-phytoene desaturase,WP_011131783.1,1421,K02293,09100 Metabolism,09109 Metabolism of terpenoids and polyketides,00906 Carotenoid biosynthesis [PATH:ko00906],"K02293  PDS, crtP; 15-cis-phytoene desaturase [EC:1.3.5.5]",Metabolism,,"PDS, crtP",(crtP)
TX50_RS00760,(ndhM),TX50_RS00760,PMM0145,Protein Homology,141958,142305,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819496.1,NAD(P)H-quinone oxidoreductase subunit M,WP_011131784.1,347,K05584,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K05584  ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2],Energy/Carbohydrate/Glycan,,ndhM,(ndhM)
TX50_RS00765,,TX50_RS00765,PMM0146,Protein Homology,142302,142919,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805190.1,DUF3172 domain-containing protein,WP_011131785.1,617,,,,,,Other,,,
TX50_RS00770,,TX50_RS00770,PMM0147,Protein Homology,142916,143869,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819498.1,LysR family transcriptional regulator,WP_011131786.1,953,,,,,,Other,,,
TX50_RS00775,,TX50_RS00775,PMM0148,Protein Homology,143954,144682,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806750.1,membrane protein,WP_011131787.1,728,,,,,,Other,,,
TX50_RS00780,(ndhF),TX50_RS00780,PMM0149,Protein Homology,144716,146728,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862194.1,NAD(P)H-quinone oxidoreductase subunit 5,WP_011131788.1,2012,K05577,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K05577  ndhF; NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2],Energy/Carbohydrate/Glycan,,ndhF,(ndhF)
TX50_RS00785,(ndhD),TX50_RS00785,PMM0150,Protein Homology,146813,148453,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131789.1,NAD(P)H-quinone oxidoreductase subunit 4,WP_011131789.1,1640,K05575,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K05575  ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2],Energy/Carbohydrate/Glycan,,ndhD,(ndhD)
TX50_RS00790,(scpA),TX50_RS00790,PMM0151,Protein Homology,148525,149397,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019476910.1,segregation/condensation protein A,WP_042115982.1,872,K05896,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],K05896  scpA; segregation and condensation protein A,Genetic Info,,scpA,(scpA)
TX50_RS00795,,TX50_RS00795,PMM0152,Protein Homology,149447,150625,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805259.1,NDP-sugar synthase,WP_011131791.1,1178,K00966,09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ko00051];00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],K00966  GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13],Energy/Carbohydrate/Glycan,,GMPP,
TX50_RS00800,(metF),TX50_RS00800,PMM0153,Protein Homology,150609,151499,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819504.1,methylenetetrahydrofolate reductase,WP_011131792.1,890,K00297,09100 Metabolism,09102 Energy metabolism;09108 Metabolism of cofactors and vitamins,00670 One carbon pool by folate [PATH:ko00670];00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],"K00297  metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]",Photosynthesis/Carbon fixation,,"metF, MTHFR",(metF)
TX50_RS00805,,TX50_RS00805,PMM0154,Protein Homology,151577,151855,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131793.1,helix-turn-helix transcriptional regulator,WP_011131793.1,278,,,,,,Other,,,
TX50_RS00810,,TX50_RS00810,PMM0155,Protein Homology,152080,152556,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817648.1,CYTH domain-containing protein,WP_011131794.1,476,K01768,09100 Metabolism;09140 Cellular Processes,09104 Nucleotide metabolism;09143 Cell growth and death;09145 Cellular community - prokaryotes,00230 Purine metabolism [PATH:ko00230];02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025];04113 Meiosis - yeast [PATH:ko04113],K01768  E4.6.1.1; adenylate cyclase [EC:4.6.1.1],AA/Nucleotide,,E4.6.1.1,
TX50_RS00815,(ppnK),TX50_RS00815,PMM0156,Protein Homology,152557,153471,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375724.1,NAD(+) kinase,WP_036930370.1,914,K00858,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00760 Nicotinate and nicotinamide metabolism [PATH:ko00760],"K00858  ppnK, NADK; NAD+ kinase [EC:2.7.1.23]",Metabolism,,"ppnK, NADK",(ppnK)
nuoK,nuoK,TX50_RS00820,PMM0157,Protein Homology,153482,153802,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131796.1,NADH-quinone oxidoreductase subunit NuoK,WP_011131796.1,320,K05576,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K05576  ndhE; NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2],Energy/Carbohydrate/Glycan,,ndhE,(ndhE)
TX50_RS00825,(ndhG),TX50_RS00825,PMM0158,Protein Homology,153804,154403,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805463.1,NADH-quinone oxidoreductase subunit J,WP_011131797.1,599,K05578,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K05578  ndhG; NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2],Energy/Carbohydrate/Glycan,,ndhG,(ndhG)
ndhI,ndhI,TX50_RS00830,PMM0159,Protein Homology,154417,155043,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131798.1,NAD(P)H-quinone oxidoreductase subunit I,WP_011131798.1,626,K05580,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K05580  ndhI; NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2],Energy/Carbohydrate/Glycan,,ndhI,(ndhI)
nuoH,nuoH,TX50_RS00835,PMM0160,Protein Homology,155113,156231,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862205.1,NADH-quinone oxidoreductase subunit NuoH,WP_011131799.1,1118,K05572,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K05572  ndhA; NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2],Energy/Carbohydrate/Glycan,,ndhA,(ndhA)
TX50_RS00840,(gltA),TX50_RS00840,PMM0161,Protein Homology,156307,157452,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806076.1,citrate synthase,WP_011131800.1,1145,K01647,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020];00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],"K01647  CS, gltA; citrate synthase [EC:2.3.3.1]",Energy/Carbohydrate/Glycan,,"CS, gltA",(gltA)
TX50_RS00845,,TX50_RS00845,PMM0162,Protein Homology,157532,158989,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819514.1,hypothetical protein,WP_011131801.1,1457,,,,,,Uncharacterized,,,
TX50_RS00850,,TX50_RS00850,PMM0163,Protein Homology,159071,159421,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819515.1,rhodanese,WP_011131802.1,350,,,,,,Other,,,
trpB,trpB,TX50_RS00855,PMM0164,Protein Homology,159422,160666,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131803.1,tryptophan synthase subunit beta,WP_011131803.1,1244,K01696,09100 Metabolism,09105 Amino acid metabolism,"00260 Glycine, serine and threonine metabolism [PATH:ko00260];00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]",K01696  trpB; tryptophan synthase beta chain [EC:4.2.1.20],AA/Nucleotide,,trpB,(trpB)
TX50_RS00860,,TX50_RS00860,PMM0165,Protein Homology,160714,161025,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806301.1,translation initiation factor SUI1,WP_011131804.1,311,K03113,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03012 Translation factors [BR:ko03012],"K03113  EIF1, SUI1; translation initiation factor 1",Genetic Info,,"EIF1, SUI1",
cysC,cysC,TX50_RS00865,PMM0166,Protein Homology,161069,161695,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375734.1,adenylyl-sulfate kinase,WP_011131805.1,626,K00860,09100 Metabolism,09102 Energy metabolism;09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230];00920 Sulfur metabolism [PATH:ko00920],K00860  cysC; adenylylsulfate kinase [EC:2.7.1.25],AA/Nucleotide;Energy/Carbohydrate/Glycan,,cysC,(cysC)
purE,purE,TX50_RS00870,PMM0167,Protein Homology,161711,162202,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819519.1,5-(carboxyamino)imidazole ribonucleotide mutase,WP_011131806.1,491,K01588,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K01588  purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18],AA/Nucleotide,,purE,(purE)
bchM,bchM,TX50_RS00875,PMM0168,Protein Homology,162339,163040,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375736.1,magnesium protoporphyrin IX methyltransferase,WP_011131807.1,701,K03428,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00860 Porphyrin metabolism [PATH:ko00860],"K03428  bchM, chlM; magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]",Metabolism,,"bchM, chlM","(bchM,chlM)"
TX50_RS00880,,TX50_RS00880,PMM0169,Protein Homology,163042,163770,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817662.1,response regulator transcription factor,WP_011131808.1,728,,,,,,Other,,,
TX50_RS00885,(iscS),TX50_RS00885,PMM0170,Protein Homology,163830,164975,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817663.1,cysteine desulfurase,WP_036930362.1,1145,K04487,09100 Metabolism;09120 Genetic Information Processing;09180 Brite Hierarchies,"09108 Metabolism of cofactors and vitamins;09123 Folding, sorting and degradation;09182 Protein families: genetic information processing;09183 Protein families: signaling and cellular processes",00730 Thiamine metabolism [PATH:ko00730];02048 Prokaryotic defense system [BR:ko02048];03016 Transfer RNA biogenesis [BR:ko03016];03029 Mitochondrial biogenesis [BR:ko03029];04122 Sulfur relay system [PATH:ko04122],"K04487  iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]",Genetic Info,,"iscS, NFS1",(iscS)
rsmH,rsmH,TX50_RS00890,PMM0171,Protein Homology,164984,165886,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131810.1,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,WP_011131810.1,902,K03438,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],"K03438  mraW, rsmH; 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]",Genetic Info,,"mraW, rsmH","(mraW,rsmH)"
TX50_RS00895,(ndhH),TX50_RS00895,PMM0172,Protein Homology,165925,167112,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129152.1,NAD(P)H-quinone oxidoreductase subunit H,WP_011131811.1,1187,K05579,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K05579  ndhH; NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2],Energy/Carbohydrate/Glycan,,ndhH,(ndhH)
TX50_RS00900,,TX50_RS00900,PMM0173,Protein Homology,167121,167573,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006980.1,acyl-CoA thioesterase,WP_011131812.1,452,,,,,,Other,,,
TX50_RS00905,(menE),TX50_RS00905,PMM0174,Protein Homology,167587,168792,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862219.1,AMP-binding protein,WP_036930409.1,1205,K01911,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],K01911  menE; o-succinylbenzoate---CoA ligase [EC:6.2.1.26],Metabolism,,menE,(menE)
TX50_RS00910,(menC),TX50_RS00910,PMM0175,Protein Homology,168789,169754,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817668.1,o-succinylbenzoate synthase,WP_011131814.1,965,K02549,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],K02549  menC; o-succinylbenzoate synthase [EC:4.2.1.113],Metabolism,,menC,(menC)
menA,menA,TX50_RS00915,PMM0176,Protein Homology,169751,170668,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862221.1,2-carboxy-1%2C4-naphthoquinone phytyltransferase,WP_011131815.1,917,K23094,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],"K23094  ABC4, menA; 2-carboxy-1,4-naphthoquinone phytyltransferase [EC:2.5.1.130]",Metabolism,,nan,nan
TX50_RS00920,(menF),TX50_RS00920,PMM0177,Protein Homology,170770,172167,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131816.1,isochorismate synthase,WP_011131816.1,1397,K02552,09100 Metabolism,09108 Metabolism of cofactors and vitamins;09109 Metabolism of terpenoids and polyketides,00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053],K02552  menF; menaquinone-specific isochorismate synthase [EC:5.4.4.2],Metabolism,,menF,(menF)
gshB,gshB,TX50_RS00925,PMM0178,Protein Homology,172160,173083,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817671.1,glutathione synthase,WP_011131817.1,923,K01920,09100 Metabolism,09105 Amino acid metabolism;09106 Metabolism of other amino acids,00270 Cysteine and methionine metabolism [PATH:ko00270];00480 Glutathione metabolism [PATH:ko00480],K01920  gshB; glutathione synthase [EC:6.3.2.3],AA/Nucleotide,,gshB,(gshB)
grxC,grxC,TX50_RS00930,PMM0179,Protein Homology,173089,173343,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375747.1,glutaredoxin 3,WP_011131818.1,254,K03676,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],"K03676  grxC, GLRX, GLRX2; glutaredoxin 3",Genetic Info,,"grxC, GLRX, GLRX2",(grxC)
prfB,prfB,TX50_RS00935,PMM0180,Protein Homology,173420,173494,+,programmed frameshift,ribosomal slippage,COORDINATES: similar to AA sequence:RefSeq:WP_011131819.1,peptide chain release factor 2,WP_011131819.1,74,K02836,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03012 Translation factors [BR:ko03012],K02836  prfB; peptide chain release factor 2,Genetic Info,,prfB,(prfB)
TX50_RS00940,,TX50_RS00940,PMM0181,Protein Homology,174547,174729,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006988.1,DUF3285 domain-containing protein,WP_011131820.1,182,,,,,,Other,,,
ybeY,ybeY,TX50_RS00945,PMM0182,Protein Homology,174737,175279,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006989.1,rRNA maturation RNase YbeY,WP_011131821.1,542,K07042,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],"K07042  ybeY, yqfG; probable rRNA maturation factor",Genetic Info,,"ybeY, yqfG","(ybeY,yqfG)"
TX50_RS00950,(dgkA),TX50_RS00950,PMM0183,Protein Homology,175302,175718,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019478014.1,diacylglycerol kinase family protein,WP_011131822.1,416,K00901,09100 Metabolism;09130 Environmental Information Processing,09103 Lipid metabolism;09132 Signal transduction,00561 Glycerolipid metabolism [PATH:ko00561];00564 Glycerophospholipid metabolism [PATH:ko00564];04070 Phosphatidylinositol signaling system [PATH:ko04070];04072 Phospholipase D signaling pathway [PATH:ko04072],"K00901  dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]",Env. Info/Cellular Process,,"dgkA, DGK",(dgkA)
TX50_RS00955,(trpG),TX50_RS00955,PMM0184,Protein Homology,175726,176322,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806098.1,aminodeoxychorismate/anthranilate synthase component II,WP_011131823.1,596,K01658,09100 Metabolism;09140 Cellular Processes,09105 Amino acid metabolism;09110 Biosynthesis of other secondary metabolites;09145 Cellular community - prokaryotes,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400];00405 Phenazine biosynthesis [PATH:ko00405];02024 Quorum sensing [PATH:ko02024];02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]",K01658  trpG; anthranilate synthase component II [EC:4.1.3.27],AA/Nucleotide,,trpG,(trpG)
TX50_RS00960,,TX50_RS00960,PMM0185,Protein Homology,176344,177072,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819537.1,MBL fold metallo-hydrolase,WP_011131824.1,728,,,,,,Other,,,
TX50_RS00965,(hisC),TX50_RS00965,PMM0186,Protein Homology,177069,178178,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006993.1,histidinol-phosphate aminotransferase family protein,WP_011131825.1,1109,K00817,09100 Metabolism;09180 Brite Hierarchies,09105 Amino acid metabolism;09110 Biosynthesis of other secondary metabolites;09181 Protein families: metabolism,"00340 Histidine metabolism [PATH:ko00340];00350 Tyrosine metabolism [PATH:ko00350];00360 Phenylalanine metabolism [PATH:ko00360];00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400];00401 Novobiocin biosynthesis [PATH:ko00401];00960 Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960];01007 Amino acid related enzymes [BR:ko01007]",K00817  hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9],AA/Nucleotide,,hisC,(hisC)
argS,argS,TX50_RS00970,PMM0187,Protein Homology,178178,179989,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375755.1,arginine--tRNA ligase,WP_011131826.1,1811,K01887,09120 Genetic Information Processing;09180 Brite Hierarchies,09122 Translation;09181 Protein families: metabolism;09182 Protein families: genetic information processing,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970];01007 Amino acid related enzymes [BR:ko01007];03016 Transfer RNA biogenesis [BR:ko03016];03029 Mitochondrial biogenesis [BR:ko03029],"K01887  RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]",AA/Nucleotide,,"RARS, argS",(argS)
nadC,nadC,TX50_RS00975,PMM0188,Protein Homology,180017,180883,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817681.1,carboxylating nicotinate-nucleotide diphosphorylase,WP_011131827.1,866,K00767,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00760 Nicotinate and nicotinamide metabolism [PATH:ko00760],"K00767  nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]",Metabolism,,"nadC, QPRT",(nadC)
mnmE,mnmE,TX50_RS00980,PMM0189,Protein Homology,180959,182341,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817682.1,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,WP_011131828.1,1382,K03650,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],"K03650  mnmE, trmE, MSS1; tRNA modification GTPase [EC:3.6.-.-]",Genetic Info,,"mnmE, trmE, MSS1","(mnmE,trmE)"
TX50_RS00985,,TX50_RS00985,PMM0190,Protein Homology,182408,182860,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019475519.1,DUF2062 domain-containing protein,WP_011131829.1,452,K09928,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09928  K09928; uncharacterized protein,Uncharacterized,,K09928,
TX50_RS00990,(spoT),TX50_RS00990,PMM0191,Protein Homology,182880,185189,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375759.1,bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase,WP_011131830.1,2309,K01139,09100 Metabolism;09180 Brite Hierarchies,09104 Nucleotide metabolism;09182 Protein families: genetic information processing,00230 Purine metabolism [PATH:ko00230];03009 Ribosome biogenesis [BR:ko03009],"K01139  spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]",AA/Nucleotide,,spoT,(spoT)
TX50_RS00995,(ddpD);(ddpF),TX50_RS00995,PMM0192,Protein Homology,185245,186840,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019475060.1,ABC transporter ATP-binding protein,WP_011131831.1,1595,K02031;K02032,09140 Cellular Processes;09180 Brite Hierarchies,09145 Cellular community - prokaryotes;09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000];02024 Quorum sensing [PATH:ko02024],K02031  ddpD; peptide/nickel transport system ATP-binding protein;K02032  ddpF; peptide/nickel transport system ATP-binding protein,Membrane transport,Membrane transport,ddpD;ddpF,(ddpD);(ddpF)
TX50_RS01000,(rluD),TX50_RS01000,PMM0193,Protein Homology,186826,187794,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817686.1,RluA family pseudouridine synthase,WP_011131832.1,968,K06180,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K06180  rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23],Genetic Info,,rluD,(rluD)
ylqF,ylqF,TX50_RS01005,PMM0194,Protein Homology,187791,188657,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131833.1,ribosome biogenesis GTPase YlqF,WP_011131833.1,866,K14540,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K14540  rbgA; ribosome biogenesis GTPase A,Genetic Info,,nan,nan
TX50_RS01010,(pgk),TX50_RS01010,PMM0195,Protein Homology,188883,190091,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806351.1,phosphoglycerate kinase,WP_011131834.1,1208,K00927,09100 Metabolism;09130 Environmental Information Processing;09180 Brite Hierarchies,09101 Carbohydrate metabolism;09102 Energy metabolism;09132 Signal transduction;09183 Protein families: signaling and cellular processes,00010 Glycolysis / Gluconeogenesis [PATH:ko00010];00710 Carbon fixation in photosynthetic organisms [PATH:ko00710];04066 HIF-1 signaling pathway [PATH:ko04066];04147 Exosome [BR:ko04147],"K00927  PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",Photosynthesis/Carbon fixation,,"PGK, pgk",(pgk)
TX50_RS01015,,TX50_RS01015,PMM0196,Protein Homology,190093,190824,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819548.1,hypothetical protein,WP_011131835.1,731,,,,,,Uncharacterized,,,
TX50_RS01020,(murG),TX50_RS01020,PMM0197,Protein Homology,190852,191946,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131836.1,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,WP_011131836.1,1094,K02563,09100 Metabolism;09140 Cellular Processes;09180 Brite Hierarchies,09107 Glycan biosynthesis and metabolism;09143 Cell growth and death;09181 Protein families: metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550];01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011];04112 Cell cycle - Caulobacter [PATH:ko04112],K02563  murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227],Energy/Carbohydrate/Glycan,,murG,(murG)
TX50_RS01025,,TX50_RS01025,PMM0198,Protein Homology,191925,193049,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862243.1,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,WP_011131837.1,1124,,,,,,Other,,,
