Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 .1,Expression med 4.1,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3,resolved_locus_tag,resolution_method
AMHOT1A3_single_00015,recombinational DNA repair ATPase,123.0,73.0,123.01,73.01,1.0,1.684837693,,unresolved
AMHOT1A3_single_00766,ATPase,122.0,215.0,122.01,215.01,0.180074178,0.567461979,,unresolved
AMHOT1A3_single_00099,LysR family transcriptional regulator,122.0,111.0,122.01,111.01,0.459717266,1.099090172,,unresolved
AMHOT1A3_single_00213,TonB-dependent receptor,122.0,104.0,122.01,104.01,0.491708409,1.173060283,,unresolved
AMHOT1A3_single_03825,maturase,121.0,79.0,121.01,79.01,0.809897835,1.531578281,,unresolved
AMHOT1A3_single_00265,type I restriction-modification system restriction subunit,121.0,74.0,121.01,74.01,1.0,1.635049318,,unresolved
AMHOT1A3_single_01504,D-alanyl-D-alanine carboxypeptidase,120.0,40.0,120.01,40.01,0.133979576,2.999500125,,unresolved
AMHOT1A3_single_02646,pilus assembly protein PilZ,120.0,104.0,120.01,104.01,0.569352073,1.153831362,,unresolved
AMHOT1A3_single_01732,oxidoreductase,120.0,78.0,120.01,78.01,0.971995376,1.538392514,,unresolved
AMHOT1A3_single_01306,hypothetical protein,119.0,87.0,119.01,87.01,0.618669589,1.367773819,,unresolved
AMHOT1A3_single_00769,hypothetical protein,118.0,230.0,118.01,230.01,0.02670846,0.513064649,,unresolved
AMHOT1A3_single_00051,hypothetical protein,118.0,188.0,118.01,188.01,0.084673835,0.627679379,,unresolved
AMHOT1A3_single_00534,soluble lytic murein transglycosylase,118.0,118.0,118.01,118.01,0.357483836,1.0,,unresolved
AMHOT1A3_single_02874,hypothetical protein,118.0,96.0,118.01,96.01,0.486688843,1.229142798,,unresolved
AMHOT1A3_single_01438,phosphate acetyltransferase,118.0,75.0,118.01,75.01,0.603580539,1.573256899,,unresolved
AMHOT1A3_single_01721,3-oxoacyl-ACP synthase,117.0,72.0,117.01,72.01,1.0,1.624913206,,unresolved
AMHOT1A3_single_00529,hypothetical protein,117.0,73.0,117.01,73.01,1.0,1.60265717,,unresolved
AMHOT1A3_single_00599,hypothetical protein,116.0,194.0,116.01,194.01,0.059185887,0.597958868,,unresolved
AMHOT1A3_single_01967,"dihydrolipoyltranssuccinate transferase, component of the 2-oxoglutarate dehydrogenase complex",116.0,95.0,116.01,95.01,0.466897142,1.221029365,,unresolved
AMHOT1A3_single_02569,Nucleoid-associated protein YbaB,116.0,92.0,116.01,92.01,0.473919819,1.260841213,,unresolved
AMHOT1A3_single_01386,"propeptide, pepSY amd peptidase M4",116.0,85.0,116.01,85.01,0.5080453,1.364662981,,unresolved
AMHOT1A3_single_00158,"Secreted protein, containing thioredoxin-like domain",116.0,104.0,116.01,104.01,0.547771112,1.115373522,,unresolved
AMHOT1A3_single_00804,exopolyphosphatase,115.0,154.0,115.01,154.01,0.238929196,0.74676969,,unresolved
AMHOT1A3_single_01655,"acyl-CoA thioesterase, TesB family protein",115.0,128.0,115.01,128.01,0.276517919,0.898445434,,unresolved
AMHOT1A3_single_00221,mannose-sensitive agglutinin biogenesis protein MshJ,115.0,106.0,115.01,106.01,0.539585779,1.084897651,,unresolved
AMHOT1A3_single_01334,hypothetical protein,115.0,76.0,115.01,76.01,0.743262807,1.513090383,,unresolved
AMHOT1A3_single_01618,glycosyltransferase,115.0,64.0,115.01,64.01,1.0,1.796750508,,unresolved
AMHOT1A3_single_00641,4Fe-4S ferredoxin,115.0,59.0,115.01,59.01,1.0,1.948991696,,unresolved
AMHOT1A3_single_00237,rod shape-determining protein MreC,115.0,68.0,115.01,68.01,1.0,1.691074842,,unresolved
AMHOT1A3_single_01802,response regulator,114.0,44.0,114.01,44.01,0.404806702,2.590547603,,unresolved
AMHOT1A3_single_02881,RecQ domain-containing protein,114.0,116.0,114.01,116.01,0.417672554,0.982760107,,unresolved
AMHOT1A3_single_01514,hypothetical protein,114.0,88.0,114.01,88.01,0.517933747,1.295420975,,unresolved
AMHOT1A3_single_01952,hypothetical protein,114.0,56.0,114.01,56.01,1.0,2.03552937,,unresolved
AMHOT1A3_single_01711,winged helix family two component transcriptional regulator protein,113.0,202.0,113.01,202.01,0.035362218,0.559427751,,unresolved
AMHOT1A3_single_00581,hypothetical protein,113.0,96.0,113.01,96.01,0.451013801,1.177064889,,unresolved
AMHOT1A3_single_01929,major facilitator superfamily transporter,113.0,88.0,113.01,88.01,0.612539031,1.28405863,,unresolved
AMHOT1A3_single_01124,tRNA(Met) cytidine acetyltransferase TmcA,112.0,169.0,112.01,169.01,0.173073107,0.66274185,,unresolved
AMHOT1A3_single_00378,sensor protein BarA,112.0,112.0,112.01,112.01,0.346003038,1.0,,unresolved
AMHOT1A3_single_00856,hypothetical protein,111.0,153.0,111.01,153.01,0.191317138,0.725508137,,unresolved
AMHOT1A3_single_01899,3-oxoacyl-(acyl-carrier-protein) reductase,111.0,144.0,111.01,144.01,0.287417392,0.770849247,,unresolved
AMHOT1A3_single_01552,hypothetical protein,111.0,120.0,111.01,120.01,0.374466085,0.925006249,,unresolved
AMHOT1A3_single_00133,mechanosensitive ion channel family protein,111.0,146.0,111.01,146.01,0.379364678,0.760290391,,unresolved
AMHOT1A3_single_02609,riboflavin synthase subunit alpha,111.0,106.0,111.01,106.01,0.424784282,1.047165362,,unresolved
AMHOT1A3_single_01842,ferredoxin/oxidoreductase,111.0,90.0,111.01,90.01,0.570813857,1.23330741,,unresolved
AMHOT1A3_single_00519,hypothetical protein,111.0,70.0,111.01,70.01,0.877597033,1.585630624,,unresolved
AMHOT1A3_single_00172,serine acetyltransferase,111.0,74.0,111.01,74.01,1.0,1.499932442,,unresolved
AMHOT1A3_single_00425,tRNA/rRNA methyltransferase,110.0,153.0,110.01,153.01,0.19246174,0.718972616,,unresolved
AMHOT1A3_single_01179,hypothetical protein,110.0,139.0,110.01,139.01,0.267941289,0.791381915,,unresolved
AMHOT1A3_single_01798,CDP-alcohol phosphatidyltransferase,110.0,131.0,110.01,131.01,0.282419214,0.839706893,,unresolved
AMHOT1A3_single_00415,acetylglutamate kinase,110.0,92.0,110.01,92.01,0.465346758,1.19563091,,unresolved
AMHOT1A3_single_00040,hemoglobin-like oxygen-binding protein,110.0,106.0,110.01,106.01,0.510144417,1.037732289,,unresolved
AMHOT1A3_single_01927,hypothetical protein,110.0,85.0,110.01,85.01,0.613507819,1.294083049,,unresolved
AMHOT1A3_single_01831,marR family transcriptional regulator,110.0,63.0,110.01,63.01,0.995767059,1.745913347,,unresolved
AMHOT1A3_single_03712,beta-glucosidase,110.0,55.0,110.01,55.01,1.0,1.999818215,,unresolved
AMHOT1A3_single_02006,PRS2 protein,109.0,143.0,109.01,143.01,0.216945154,0.762254388,,unresolved
AMHOT1A3_single_03779,hypothetical protein,108.0,213.0,108.01,213.01,0.017691699,0.507065396,,unresolved
AMHOT1A3_single_02023,succinyl-CoA transferase subunit alpha,108.0,256.0,108.01,256.01,0.05025823,0.421897582,,unresolved
AMHOT1A3_single_03638,ROK family transcriptional regulator,108.0,125.0,108.01,125.01,0.325929334,0.864010879,,unresolved
AMHOT1A3_single_03592,Fe(II)-dependent oxygenase superfamily protein,108.0,123.0,108.01,123.01,0.369423972,0.878058694,,unresolved
AMHOT1A3_single_01200,lactoylglutathione lyase,107.0,80.0,107.01,80.01,0.516749129,1.337457818,,unresolved
AMHOT1A3_single_01500,HIT family hydrolase,107.0,92.0,107.01,92.01,0.55904556,1.163025758,,unresolved
AMHOT1A3_single_00597,molecular chaperone DnaK,106.0,156.0,106.01,156.01,0.165856295,0.679507724,,unresolved
AMHOT1A3_single_01846,50S ribosomal protein L16 arginine hydroxylase,106.0,139.0,106.01,139.01,0.184543614,0.762607007,,unresolved
AMHOT1A3_single_00716,MazG protein,106.0,85.0,106.01,85.01,0.51303809,1.247029761,,unresolved
AMHOT1A3_single_03321,sterol desaturase,106.0,71.0,106.01,71.01,0.603360089,1.492888326,,unresolved
AMHOT1A3_single_00250,Signal transduction histidine kinase,106.0,77.0,106.01,77.01,0.603684791,1.376574471,,unresolved
AMHOT1A3_single_01116,PEP-CTERM system TPR-repeat lipoprotein,106.0,69.0,106.01,69.01,0.87283523,1.536154181,,unresolved
AMHOT1A3_single_00363,membrane protein,105.0,158.0,105.01,158.01,0.161624173,0.664578191,,unresolved
AMHOT1A3_single_01946,tetraacyldisaccharide 4'-kinase,105.0,137.0,105.01,137.01,0.197151947,0.766440406,,unresolved
AMHOT1A3_single_01530,restriction endonuclease subunit R,105.0,155.0,105.01,155.01,0.283265421,0.677440165,,unresolved
AMHOT1A3_single_01876,nicotinic acid mononucleotide adenylyltransferase,105.0,106.0,105.01,106.01,0.337852549,0.990566928,,unresolved
AMHOT1A3_single_04006,cation transport ATPase,105.0,108.0,105.01,108.01,0.36437938,0.972224794,,unresolved
AMHOT1A3_single_00398,type IV pilus biogenesis protein PilP,105.0,91.0,105.01,91.01,0.491473984,1.15382925,,unresolved
AMHOT1A3_single_01577,hypothetical protein,105.0,53.0,105.01,53.01,0.86236152,1.980946991,,unresolved
AMHOT1A3_single_01300,Outer membrane protein assembly factor BamD,104.0,35.0,104.01,35.01,0.294447183,2.970865467,,unresolved
AMHOT1A3_single_00179,hypothetical protein,104.0,74.0,104.01,74.01,0.634923911,1.405350628,,unresolved
AMHOT1A3_single_03622,mechanosensitive ion channel family protein,104.0,53.0,104.01,53.01,0.647495921,1.962082626,,unresolved
AMHOT1A3_single_00569,diguanylate cyclase,104.0,62.0,104.01,62.01,1.0,1.677310111,,unresolved
AMHOT1A3_single_00674,phosphate regulon sensor protein PhoR,103.0,139.0,103.01,139.01,0.243203625,0.741025825,,unresolved
AMHOT1A3_single_01372,Zn-dependent enzyme from deacylase/carboxypeptidase superfamily protein,103.0,100.0,103.01,100.01,0.376758447,1.029997,,unresolved
AMHOT1A3_single_00690,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,103.0,74.0,103.01,74.01,0.594494773,1.391838941,,unresolved
AMHOT1A3_single_01336,hypothetical protein,103.0,76.0,103.01,76.01,0.628241214,1.355216419,,unresolved
AMHOT1A3_single_02001,nucleoid-associated protein NdpA,103.0,72.0,103.01,72.01,0.628383486,1.430495764,,unresolved
AMHOT1A3_single_02021,ATP-dependent RNA helicase,103.0,50.0,103.01,50.01,0.924723848,2.059788042,,unresolved
AMHOT1A3_single_00748,RNA polymerase sigma-54 factor,103.0,56.0,103.01,56.01,0.972977716,1.839135869,,unresolved
AMHOT1A3_single_01160,hypothetical protein,102.0,49.0,102.01,49.01,0.540561986,2.081411957,,unresolved
AMHOT1A3_single_00592,esterase,102.0,64.0,102.01,64.01,0.587041936,1.593657241,,unresolved
AMHOT1A3_single_01567,diguanylate cyclase/phosphodiesterase/response regulator,101.0,20.0,101.01,20.01,0.161003877,5.047976012,,unresolved
AMHOT1A3_single_00518,hypothetical protein,101.0,101.0,101.01,101.01,0.356410761,1.0,,unresolved
AMHOT1A3_single_03876,general secretion pathway protein I,101.0,93.0,101.01,93.01,0.539803232,1.086012257,,unresolved
AMHOT1A3_single_01132,ribosomal-protein-alanine N-acetyltransferase,101.0,89.0,101.01,89.01,0.5570424,1.134816313,,unresolved
AMHOT1A3_single_00258,hypothetical protein,101.0,82.0,101.01,82.01,0.578267502,1.231679064,,unresolved
AMHOT1A3_single_01419,heat shock protein GrpE,101.0,68.0,101.01,68.01,0.748354793,1.485222761,,unresolved
AMHOT1A3_single_01325,transcriptional regulator,101.0,51.0,101.01,51.01,0.834340855,1.980199961,,unresolved
AMHOT1A3_single_04106,hydrogenase expression/formation protein HypE,100.0,110.0,100.01,110.01,0.29638023,0.909099173,,unresolved
AMHOT1A3_single_00042,carbonic anhydrase/acetyltransferase,100.0,69.0,100.01,69.01,0.657003968,1.449210259,,unresolved
AMHOT1A3_single_00966,flavodoxin,100.0,54.0,100.01,54.01,0.748158075,1.851694131,,unresolved
AMHOT1A3_single_00952,isocitrate dehydrogenase,99.0,73.0,99.01,73.01,0.591894868,1.356115601,,unresolved
AMHOT1A3_single_01860,thioredoxin reductase protein,99.0,49.0,99.01,49.01,0.93856401,2.020199959,,unresolved
AMHOT1A3_single_03612,dimethylmenaquinone methyltransferase,98.0,43.0,98.01,43.01,0.328095768,2.278772379,,unresolved
AMHOT1A3_single_01395,PHP domain-containing protein,97.0,121.0,97.01,121.01,0.389060007,0.801669284,,unresolved
AMHOT1A3_single_00185,aromatic acid decarboxylase,97.0,63.0,97.01,63.01,0.559576332,1.539596889,,unresolved
AMHOT1A3_single_01554,diguanylate cyclase/phosphodiesterase,97.0,69.0,97.01,69.01,0.567960001,1.405738299,,unresolved
AMHOT1A3_single_00235,mannose-sensitive agglutinin biogenesis protein MshQ,97.0,64.0,97.01,64.01,0.869890516,1.515544446,,unresolved
AMHOT1A3_single_00429,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,96.0,102.0,96.01,102.01,0.361493629,0.941182237,,unresolved
AMHOT1A3_single_01041,flagellar motor switch protein G,96.0,102.0,96.01,102.01,0.452729665,0.941182237,,unresolved
AMHOT1A3_single_01229,sulfate adenylyltransferase subunit 2,96.0,92.0,96.01,92.01,0.518778902,1.043473535,,unresolved
AMHOT1A3_single_00843,hypothetical protein,96.0,58.0,96.01,58.01,0.663473285,1.655059473,,unresolved
AMHOT1A3_single_00089,AAA-like domain protein,96.0,66.0,96.01,66.01,0.669442869,1.454476594,,unresolved
AMHOT1A3_single_00192,thioesterase family protein,96.0,51.0,96.01,51.01,0.978996063,1.882179965,,unresolved
AMHOT1A3_single_01384,sensor histidine kinase,95.0,151.0,95.01,151.01,0.096302683,0.629163632,,unresolved
AMHOT1A3_single_00287,phage integrase family protein site-specific recombinase,95.0,156.0,95.01,156.01,0.212137632,0.608999423,,unresolved
AMHOT1A3_single_00783,drug/metabolite transporter permease,95.0,95.0,95.01,95.01,0.375481108,1.0,,unresolved
AMHOT1A3_single_00278,hypothetical protein,95.0,92.0,95.01,92.01,0.507163039,1.032605152,,unresolved
AMHOT1A3_single_03953,hypothetical protein,95.0,80.0,95.01,80.01,0.576739365,1.187476565,,unresolved
AMHOT1A3_single_00162,GTP cyclohydrolase II,94.0,175.0,94.01,175.01,0.030383512,0.537169305,,unresolved
AMHOT1A3_single_00093,hypothetical protein,94.0,147.0,94.01,147.01,0.104063053,0.639480307,,unresolved
AMHOT1A3_single_00896,hypothetical protein,94.0,101.0,94.01,101.01,0.366838486,0.930699931,,unresolved
AMHOT1A3_single_01400,"2,5-diketo-D-gluconate reductase B",93.0,97.0,93.01,97.01,0.372927126,0.958767137,,unresolved
AMHOT1A3_single_02656,short chain dehydrogenase,93.0,83.0,93.01,83.01,0.433083266,1.120467414,,unresolved
AMHOT1A3_single_01245,sensory box protein,93.0,80.0,93.01,80.01,0.456031649,1.16247969,,unresolved
AMHOT1A3_single_01209,electron transport complex protein RnfD,93.0,78.0,93.01,78.01,0.47237959,1.192283041,,unresolved
AMHOT1A3_single_03126,response regulator receiver ATP-binding protein,93.0,70.0,93.01,70.01,0.515168109,1.328524497,,unresolved
AMHOT1A3_single_00663,dihydroneopterin aldolase FolB,93.0,70.0,93.01,70.01,0.526252067,1.328524497,,unresolved
AMHOT1A3_single_02417,hypothetical protein,93.0,33.0,93.01,33.01,0.658742703,2.817631021,,unresolved
AMHOT1A3_single_00024,"cytochrome c4 cytochrome C, class I in atlantica",93.0,44.0,93.01,44.01,0.828871873,2.113383322,,unresolved
AMHOT1A3_single_00536,ZIP zinc transporter family protein,92.0,119.0,92.01,119.01,0.267941289,0.773128309,,unresolved
AMHOT1A3_single_00098,acyl-CoA dehydrogenase,92.0,103.0,92.01,103.01,0.351273425,0.893214251,,unresolved
AMHOT1A3_single_00743,magnesium transporter,92.0,63.0,92.01,63.01,0.672879221,1.460244406,,unresolved
AMHOT1A3_single_01070,B12-dependent methionine synthase,92.0,49.0,92.01,49.01,0.982690699,1.877371965,,unresolved
AMHOT1A3_single_01110,"tryptophan 2,3-dioxygenase",91.0,107.0,91.01,107.01,0.423935837,0.850481263,,unresolved
AMHOT1A3_single_01599,pteridine reductase,91.0,38.0,91.01,38.01,0.444084339,2.394369903,,unresolved
AMHOT1A3_single_01754,Entericidin EcnA/B family protein,91.0,73.0,91.01,73.01,0.585462348,1.24654157,,unresolved
AMHOT1A3_single_00932,heme exporter protein CcmD,91.0,73.0,91.01,73.01,0.599011982,1.24654157,,unresolved
AMHOT1A3_single_01660,permease of the major facilitator superfamily protein,91.0,46.0,91.01,46.01,0.663569699,1.97804825,,unresolved
AMHOT1A3_single_00802,hypothetical protein,91.0,53.0,91.01,53.01,1.0,1.716845878,,unresolved
AMHOT1A3_single_00552,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,90.0,114.0,90.01,114.01,0.380543697,0.78949215,,unresolved
AMHOT1A3_single_02029,"NTP pyrophosphohydrolase, NUDIX family protein",90.0,64.0,90.01,64.01,0.547713192,1.406186533,,unresolved
AMHOT1A3_single_00847,mechanosensitive ion channel protein MscS,90.0,60.0,90.01,60.01,0.75359765,1.499916681,,unresolved
AMHOT1A3_single_00184,S1/P1 Nuclease,90.0,48.0,90.01,48.01,1.0,1.874817746,,unresolved
AMHOT1A3_single_00311,major facilitator superfamily transporter,89.0,123.0,89.01,123.01,0.317063983,0.723599707,,unresolved
AMHOT1A3_single_01936,cytidine deaminase,89.0,34.0,89.01,34.01,0.47327489,2.61717142,,unresolved
AMHOT1A3_single_02403,NADPH2 dehydrogenase,89.0,34.0,89.01,34.01,0.758290425,2.61717142,,unresolved
AMHOT1A3_single_01819,transposase/integrase,89.0,55.0,89.01,55.01,0.958754726,1.618069442,,unresolved
AMHOT1A3_single_00224,mannose-sensitive agglutinin biogenesis protein MshM,89.0,49.0,89.01,49.01,1.0,1.816159967,,unresolved
AMHOT1A3_single_01025,hypothetical protein,88.0,176.0,88.01,176.01,0.070815908,0.500028407,,unresolved
AMHOT1A3_single_00386,signal transduction protein,88.0,93.0,88.01,93.01,0.357675712,0.94624234,,unresolved
AMHOT1A3_single_01649,exodeoxyribonuclease III,88.0,75.0,88.01,75.01,0.471239005,1.173310225,,unresolved
AMHOT1A3_single_00954,SmpA/OmlA family lipoprotein,88.0,77.0,88.01,77.01,0.555547657,1.142838592,,unresolved
AMHOT1A3_single_01394,anthranilate synthase component I,88.0,43.0,88.01,43.01,0.631649953,2.04626831,,unresolved
AMHOT1A3_single_00504,hypothetical protein,88.0,47.0,88.01,47.01,1.0,1.872154861,,unresolved
AMHOT1A3_single_01712,histidine kinase,87.0,166.0,87.01,166.01,0.020300923,0.524125053,,unresolved
AMHOT1A3_single_01068,homoserine O-succinyltransferase,87.0,107.0,87.01,107.01,0.267554761,0.813101579,,unresolved
AMHOT1A3_single_01637,hypothetical protein,87.0,39.0,87.01,39.01,0.495401078,2.23045373,,unresolved
AMHOT1A3_single_00157,glutaredoxin,87.0,66.0,87.01,66.01,0.506361367,1.318133616,,unresolved
AMHOT1A3_single_00554,hypothetical protein,87.0,61.0,87.01,61.01,0.559576332,1.426159646,,unresolved
AMHOT1A3_single_03143,hypothetical protein,87.0,50.0,87.01,50.01,1.0,1.73985203,,unresolved
AMHOT1A3_single_00011,ribonuclease P protein component,86.0,87.0,86.01,87.01,0.400988757,0.988507068,,unresolved
AMHOT1A3_single_00231,mannose-sensitive agglutinin biogenesis protein MshC,86.0,93.0,86.01,93.01,0.441714418,0.924739275,,unresolved
AMHOT1A3_single_00444,hypothetical protein,85.0,86.0,85.01,86.01,0.381999623,0.988373445,,unresolved
AMHOT1A3_single_00351,methyl-accepting chemotaxis protein,85.0,84.0,85.01,84.01,0.39814967,1.011903345,,unresolved
AMHOT1A3_single_01410,fatty acid cistrans isomerase,85.0,81.0,85.01,81.01,0.408863433,1.04937662,,unresolved
AMHOT1A3_single_00501,GNAT family acetyltransferase,84.0,145.0,84.01,145.01,0.043974723,0.579339356,,unresolved
AMHOT1A3_single_00566,prolipoprotein diacylglyceryl transferase,84.0,55.0,84.01,55.01,0.694668966,1.527176877,,unresolved
AMHOT1A3_single_00627,Anthranilate phosphoribosyltransferase,84.0,41.0,84.01,41.01,0.858759429,2.04852475,,unresolved
AMHOT1A3_single_00062,50S ribosomal protein L28,84.0,53.0,84.01,53.01,0.907362969,1.584795322,,unresolved
AMHOT1A3_single_03570,sensor histidine kinase,83.0,35.0,83.01,35.01,0.85636332,2.371036847,,unresolved
AMHOT1A3_single_01498,sensory box/GGDEF domain/EAL domain-containing protein,82.0,148.0,82.01,148.01,0.071076967,0.554084184,,unresolved
AMHOT1A3_single_00165,glutathione S-transferase,82.0,110.0,82.01,110.01,0.321951455,0.745477684,,unresolved
AMHOT1A3_single_01974,pullulanase,82.0,88.0,82.01,88.01,0.357675712,0.931825929,,unresolved
AMHOT1A3_single_03358,membrane protein,82.0,84.0,82.01,84.01,0.378337305,0.97619331,,unresolved
AMHOT1A3_single_01479,response regulator,82.0,68.0,82.01,68.01,0.452093241,1.205852081,,unresolved
AMHOT1A3_single_00233,pilus assembly protein PilW,82.0,61.0,82.01,61.01,0.495556436,1.344205868,,unresolved
AMHOT1A3_single_00946,hypothetical protein,82.0,58.0,82.01,58.01,0.553884073,1.413721772,,unresolved
AMHOT1A3_single_00033,Peptidoglycan-binding LysM,82.0,67.0,82.01,67.01,0.600834932,1.223847187,,unresolved
AMHOT1A3_single_02437,AsnC family transcriptional regulator,82.0,65.0,82.01,65.01,0.605463716,1.261498231,,unresolved
AMHOT1A3_single_00391,hypothetical protein,82.0,47.0,82.01,47.01,0.624995164,1.744522442,,unresolved
AMHOT1A3_single_00517,hypothetical protein,82.0,39.0,82.01,39.01,0.93222221,2.102281466,,unresolved
AMHOT1A3_single_01651,hypothetical protein,81.0,86.0,81.01,86.01,0.305019927,0.941867225,,unresolved
AMHOT1A3_single_01865,hypothetical protein,81.0,35.0,81.01,35.01,0.36437938,2.313910311,,unresolved
AMHOT1A3_single_00146,diguanylate cyclase,81.0,79.0,81.01,79.01,0.512472991,1.025313251,,unresolved
AMHOT1A3_single_00310,LacI family transcriptional regulator,81.0,43.0,81.01,43.01,0.764804693,1.883515462,,unresolved
AMHOT1A3_single_00842,N-acetylglucosamine-6-phosphate deacetylase,81.0,52.0,81.01,52.01,0.787724626,1.55758508,,unresolved
AMHOT1A3_single_01299,peptidoglycan-associated lipoprotein,80.0,85.0,80.01,85.01,0.312052058,0.94118339,,unresolved
AMHOT1A3_single_02905,NAD(FAD)-dependent dehydrogenase,80.0,76.0,80.01,76.01,0.400948562,1.052624655,,unresolved
AMHOT1A3_single_00125,hypothetical protein,80.0,69.0,80.01,69.01,0.478937827,1.159397189,,unresolved
AMHOT1A3_single_02033,subtilase family serine protease,80.0,60.0,80.01,60.01,0.530746401,1.333277787,,unresolved
AMHOT1A3_single_00590,cytoplasmic protein,79.0,68.0,79.01,68.01,0.437309971,1.16174092,,unresolved
AMHOT1A3_single_01424,hypothetical protein,79.0,24.0,79.01,24.01,0.588484578,3.290712203,,unresolved
AMHOT1A3_single_01201,3-ketoacyl-ACP reductase,79.0,43.0,79.01,43.01,0.819965932,1.837014648,,unresolved
AMHOT1A3_single_01050,flagellar biosynthesis protein FliP,78.0,73.0,78.01,73.01,0.557592185,1.068483769,,unresolved
AMHOT1A3_single_01915,hypothetical protein,77.0,63.0,77.01,63.01,0.442964143,1.222186954,,unresolved
AMHOT1A3_single_01747,transcriptional regulator,77.0,66.0,77.01,66.01,0.469372769,1.166641418,,unresolved
AMHOT1A3_single_01439,amidohydrolase,77.0,57.0,77.01,57.01,0.516472346,1.350815646,,unresolved
AMHOT1A3_single_00456,Signaling protein with a acyltransferase and GGDEF domains,77.0,57.0,77.01,57.01,0.552782134,1.350815646,,unresolved
AMHOT1A3_single_01643,transcription-repair coupling factor,77.0,51.0,77.01,51.01,0.560836741,1.50970398,,unresolved
AMHOT1A3_single_01405,thiopurine S-methyltransferase family protein,77.0,41.0,77.01,41.01,1.0,1.877834674,,unresolved
AMHOT1A3_single_00937,cytochrome c-type biogenesis protein,76.0,25.0,76.01,25.01,0.120081708,3.039184326,,unresolved
AMHOT1A3_single_01246,"peptidase, M16 family protein",76.0,105.0,76.01,105.01,0.272757425,0.723835825,,unresolved
AMHOT1A3_single_00609,poxB regulator PoxA,76.0,57.0,76.01,57.01,0.601170141,1.333274864,,unresolved
AMHOT1A3_single_01497,hypothetical protein,76.0,37.0,76.01,37.01,0.886516353,2.053769252,,unresolved
AMHOT1A3_single_01162,lipoprotein,76.0,43.0,76.01,43.01,0.902647411,1.767263427,,unresolved
AMHOT1A3_single_00252,ribosomal RNA small subunit methyltransferase C,76.0,46.0,76.01,46.01,1.0,1.652032167,,unresolved
AMHOT1A3_single_00806,ACT domain-containing protein,75.0,88.0,75.01,88.01,0.254915562,0.852289513,,unresolved
AMHOT1A3_single_00382,succinyldiaminopimelate aminotransferase,75.0,64.0,75.01,64.01,0.479070322,1.171848149,,unresolved
AMHOT1A3_single_00996,Smr domain-containing protein,75.0,60.0,75.01,60.01,0.491432066,1.24995834,,unresolved
AMHOT1A3_single_01328,multidrug resistance protein,75.0,57.0,75.01,57.01,0.509478154,1.315734082,,unresolved
AMHOT1A3_single_00527,hypothetical protein,75.0,54.0,75.01,54.01,0.539356817,1.388816886,,unresolved
AMHOT1A3_single_02818,MerR family transcriptional regulator,75.0,46.0,75.01,46.01,0.63850807,1.630297761,,unresolved
AMHOT1A3_single_00701,CO2+/MG2+ efflux protein ApaG,75.0,48.0,75.01,48.01,0.990721232,1.562382837,,unresolved
AMHOT1A3_single_00266,hypothetical protein,74.0,83.0,74.01,83.01,0.305831836,0.891579328,,unresolved
AMHOT1A3_single_00462,"peptidase M20D, amidohydrolase",74.0,19.0,74.01,19.01,0.315485213,3.893214098,,unresolved
AMHOT1A3_single_00155,bifunctional 4-hydroxybutyrate CoA-transferase/acetyltransferase,74.0,82.0,74.01,82.01,0.324986824,0.902450921,,unresolved
AMHOT1A3_single_02940,dephospho-CoA kinase,74.0,78.0,74.01,78.01,0.354434108,0.948724522,,unresolved
AMHOT1A3_single_02340,hypothetical protein,74.0,22.0,74.01,22.01,0.408708648,3.362562472,,unresolved
AMHOT1A3_single_00751,Lipopolysaccharide export system protein LptC,74.0,53.0,74.01,53.01,0.54913486,1.396151669,,unresolved
AMHOT1A3_single_01093,peptide ABC transporter ATP-binding protein,74.0,49.0,74.01,49.01,0.81147154,1.51009998,,unresolved
AMHOT1A3_single_01431,transcription elongation factor GreA,73.0,86.0,73.01,86.01,0.237365262,0.848854784,,unresolved
AMHOT1A3_single_02716,response regulator receiver domain-containing protein,73.0,64.0,73.01,64.01,0.457219526,1.140603031,,unresolved
AMHOT1A3_single_01628,glycosyl transferase,73.0,61.0,73.01,61.01,0.482776867,1.196689067,,unresolved
AMHOT1A3_single_03897,nucleic acid-binding protein,73.0,59.0,73.01,59.01,0.483585837,1.237247924,,unresolved
AMHOT1A3_single_00369,gamma-glutamyltransferase,73.0,53.0,73.01,53.01,0.510649262,1.377287304,,unresolved
AMHOT1A3_single_01199,glycerophosphoryl diester phosphodiesterase,73.0,45.0,73.01,45.01,0.95137945,1.622083981,,unresolved
AMHOT1A3_single_00549,protein-L-isoaspartate O-methyltransferase,72.0,20.0,72.01,20.01,0.074723175,3.59870065,,unresolved
AMHOT1A3_single_00465,phosphoribosylaminoimidazole carboxylase catalytic subunit,72.0,112.0,72.01,112.01,0.087068001,0.642889028,,unresolved
AMHOT1A3_single_00578,PhoH family protein,72.0,54.0,72.01,54.01,0.564928325,1.333271616,,unresolved
AMHOT1A3_single_00757,mce family protein,72.0,52.0,72.01,52.01,0.619561382,1.384541434,,unresolved
