Synonym,Product,Expression 9313 t=20 + 0.01,Expression t=20 9313+1A3 + 0.01,q Value,log 2 fold change coculture/axenic,
PMT0797,"Fatty acid desaturase, type 2",82.01,102.01,0.0055377,0.314838843,
PMT0359,hypothetical protein,165.01,205.01,0.01377904,0.313140825,
PMT0571,permease,29.01,36.01,0.01306556,0.311847304,
PMT1548,DnaJ3 protein,25.01,31.01,0.019246256,0.310228468,
PMT1260,photosystem II reaction center Psb27 protein,1473.01,1825.01,0.188393874,0.309137145,
PMT0201,hypothetical protein,143.01,177.01,0.00578222,0.307714835,
PMT2139,aspartyl/glutamyl-tRNA amidotransferase subunit B,55.01,68.01,0.005919559,0.306052989,
PMT1804,hypothetical protein,202.01,249.01,0.011171706,0.301776969,
PMT1173,chaperon-like protein for quinone binding in photosystem II,82.01,101.01,0.006943784,0.300626384,
PMT1162,hypothetical protein,22.01,27.01,0.062978598,0.295334495,
PMT1289,hypothetical protein,22.01,27.01,0.019629354,0.295334495,
PMT0021,heat shock protein GrpE,150.01,184.01,0.006625503,0.294725494,
PMT0885,"guanylate-binding protein, C-terminal",40.01,49.01,0.058359091,0.292715518,
PMT0507,hypothetical protein,211.01,258.01,0.009466216,0.290115611,
PMT2231,urease accessory protein ureF,9.01,11.01,1,0.289215458,
PMT2161,TRAP-T family tripartite transporter substrate-binding protein,155.01,189.01,0.006632356,0.286101276,
PMT0844,hypothetical protein,23.01,28.01,0.050411196,0.283681,
PMT1778,hypothetical protein,60.01,73.01,0.007453681,0.28289115,
PMT0777,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,134.01,163.01,0.006566454,0.28261981,
PMT2034,hypothetical protein,37.01,45.01,0.014916709,0.282330429,
PMT1158,hypothetical protein,125.01,152.01,0.007484851,0.282122729,
PMT1345,hypothetical protein,116.01,141.01,0.00670159,0.281548308,
PMT0724,excinuclease ABC subunit C,28.01,34.01,0.009282035,0.280017023,
PMT0356,"bifuntional enzyme: tRNA methyltransferase; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",14.01,17.01,0.034245259,0.279926185,
PMT0733,hypothetical protein,14.01,17.01,0.156065651,0.279926185,
PMT1688,low molecular weight phosphotyrosine protein phosphatase,75.01,91.01,0.016701998,0.278942132,
PMT0087,glycosyltransferase,38.01,46.01,0.009198013,0.275568431,
PMT0722,phosphopantetheine adenylyltransferase,29.01,35.01,0.047507575,0.271216766,
PMT1673,hypothetical protein,34.01,41.01,0.022723806,0.270016738,
PMT2064,hypothetical protein,44.01,53.01,0.065521875,0.268433169,
PMT2159,hypothetical protein,44.01,53.01,0.017179566,0.268433169,
PMT2194,hypothetical protein,74.01,89.01,0.021062726,0.266247211,
PMT0091,hypothetical protein,114.01,137.01,0.013189238,0.265120825,
PMT1137,SAM-binding motif-containing protein,40.01,48.01,0.020992794,0.262974307,
PMT1521,hypothetical protein,40.01,48.01,0.008022018,0.262974307,
PMT0593,hypothetical protein,25.01,30.01,0.108219003,0.262938261,
PMT0165,RibD/RibG domain-containing protein,15.01,18.01,0.053047389,0.262874204,
PMT0538,hypothetical protein,15.01,18.01,0.048904695,0.262874204,
PMT1558,NAD binding site,15.01,18.01,0.041322437,0.262874204,
PMT0255,malate:quinone oxidoreductase,10.01,12.01,1,0.262794177,
PMT2104,glutathione S-transferase,10.01,12.01,1,0.262794177,
PMT0188,hypothetical protein,26.01,31.01,0.019509335,0.253667127,
PMT1854,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,382.01,455.01,0.234383522,0.252287848,
PMT1125,hypothetical protein,173.01,206.01,0.012318566,0.251858941,
PMT0428,phosphofructokinase,37.01,44.01,0.009295273,0.249916236,
PMT1863,photosystem II reaction center protein K,1055.01,1253.01,0.008027371,0.248141255,
PMT0743,methionyl-tRNA synthetase,48.01,57.01,0.009280156,0.247880065,
PMT0666,hypothetical protein,16.01,19.01,0.042276065,0.247785224,
PMT0056,50S ribosomal protein L35,1697.01,2014.01,0.174427526,0.24707578,
PMT1119,HAMP domain-containing protein,75.01,89.01,0.020464567,0.246884485,
PMT1282,CopG family protein,43.01,51.01,0.043792712,0.246107969,
PMT0675,Thf1-like protein,346.01,410.01,0.019021345,0.244845363,
PMT1585,hypothetical protein,141.01,167.01,0.008472021,0.244137011,
PMT1642,exodeoxyribonuclease small subunit,49.01,58.01,0.045303834,0.243225473,
PMT2196,magnesium-protoporphyrin IX monomethyl ester cyclase,458.01,542.01,0.236362745,0.242940371,
PMT2166,rubredoxin:rubrerythrin:rubredoxin-type Fe(Cys)4 protein,137.01,162.01,0.008971915,0.24180167,
PMT0874,hypothetical protein,143.01,169.01,0.008967939,0.240992579,
PMT0492,peptide methionine sulfoxide reductase,99.01,117.01,0.008300827,0.240985682,
PMT0004,amidophosphoribosyltransferase,22.01,26.01,0.024675135,0.240907254,
PMT2176,DnaB replicative helicase,61.01,72.01,0.009282035,0.239151536,
PMT0162,"regulatory proteins, Crp fa",201.01,237.01,0.009684899,0.237680656,
PMT1346,riboflavin synthase subunit alpha,23.01,27.01,0.052955571,0.231232656,
PMT1753,30S ribosomal protein S13,1294.01,1518.01,0.240539518,0.230332528,
PMT1725,hypothetical protein,134.01,157.01,0.012810796,0.228515787,
PMT0591,Zn-dependent peptidase,47.01,55.01,0.012151791,0.226726222,
PMT1537,aspartoacylase,47.01,55.01,0.016404082,0.226726222,
PMT1209,hypothetical protein,136.01,159.01,0.011177563,0.22540477,
PMT0506,NADH-flavin reductase,276.01,322.01,0.012335752,0.222384954,
PMT0155,SsrA-binding protein,84.01,98.01,0.018656109,0.222367888,
PMT1918,hypothetical protein,72.01,84.01,0.00993395,0.2223638,
PMT1319,secreted protein MPB70 precursor,30.01,35.01,0.013716937,0.222323743,
PMT2126,Phage integrase,12.01,14.01,0.040464477,0.222220805,
PMT0295,TPR repeat-containing protein,6.01,7.01,1,0.222049453,
PMT1284,hypothetical protein,115.01,134.01,0.010556464,0.220581353,
PMT1151,hypothetical protein,43.01,50.01,0.052844888,0.217544474,
PMT0526,hypothetical protein,44.01,51.01,0.034303804,0.212948729,
PMT0331,acetylornithine aminotransferase,57.01,66.01,0.011913142,0.211469597,
PMT1378,3'-phosphoadenosine-5'-phosphosulfate (PAPS) 3'-phosphatase,38.01,44.01,0.025742724,0.211452347,
PMT0903,glucose-methanol-choline oxidoreductase,19.01,22.01,0.026352846,0.211400613,
PMT1917,UvrD/REP helicase,19.01,22.01,0.013302116,0.211400613,
PMT1342,cytochrome c oxidase subunit I,231.01,267.01,0.244604724,0.20893847,
PMT0023,hypothetical protein,90.01,104.01,0.03305182,0.208565045,
PMT0908,hypothetical protein,246.01,284.01,0.016908983,0.207224767,
PMT2019,NADH dehydrogenase subunit I,117.01,135.01,0.011549488,0.206434438,
PMT0163,shikimate kinase,52.01,60.01,0.025821797,0.206413892,
PMT1121,2-isopropylmalate synthase,39.01,45.01,0.012168232,0.206401566,
PMT1018,hypothetical protein,13.01,15.01,0.181605321,0.206303015,
PMT1551,FAD-dependent pyridine nucleotide-disulfide oxidoreductase,364.01,419.01,0.212191563,0.203006591,
PMT1869,hypothetical protein,73.01,84.01,0.013716937,0.202466987,
PMT1058,hypothetical protein,40.01,46.01,0.024974324,0.201586828,
PMT1974,CPA1 family Na+/H+ antiporter,47.01,54.01,0.011098991,0.200258868,
PMT2007,Rubisco transcriptional regulator,47.01,54.01,0.017489476,0.200258868,
PMT0447,plastocyanin,373.01,428.01,0.011695014,0.198430196,
PMT0978,multidrug ABC transporter,89.01,102.01,0.017418018,0.196671253,
PMT1267,hypothetical protein,286.01,327.01,0.010799039,0.193269164,
PMT1701,hypothetical protein,70.01,80.01,0.011912065,0.192619319,
PMT1496,16S rRNA methyltransferase GidB,49.01,56.01,0.026176,0.192608282,
PMT0701,phosphate ABC transporter,35.01,40.01,0.026344117,0.192593567,
PMT0890,Sec7 domain-containing protein,21.01,24.01,0.12433003,0.192559242,
PMT1842,pentapeptide repeat-containing protein,7.01,8.01,1,0.192387798,
PMT2127,pancreatic hormone peptide,7.01,8.01,1,0.192387798,
PMT1009,7S seed storage protein,85.01,97.01,0.030629342,0.190500911,
PMT1056,biotin synthase,57.01,65.01,0.014154003,0.189446653,
PMT1646,serum resistance locus BrkB-like protein,29.01,33.01,0.028137913,0.186352843,
PMT1964,beta-N-acetylglucosaminidase,29.01,33.01,0.016678103,0.186352843,
PMT0774,Rieske iron-sulfur protein 2Fe-2S subunit,73.01,83.01,0.012288392,0.185191065,
PMT0018,pili biogenesis protein,22.01,25.01,0.02784498,0.184345912,
PMT0612,methyltransferase,59.01,67.01,0.013638636,0.183416949,
PMT0006,hypothetical protein,90.01,102.01,0.014275457,0.180553389,
PMT0796,early protein (E6),45.01,51.01,0.044303862,0.180534536,
PMT1553,sodium/solute symporter family protein,45.01,51.01,0.01753661,0.180534536,
PMT0482,hypothetical protein,30.01,34.01,0.031447938,0.180515687,
PMT0806,hypothetical protein,15.01,17.01,0.104540678,0.180459164,
PMT0117,Serine acetyltransferase,83.01,94.01,0.015288643,0.179529082,
PMT0525,hypothetical protein,91.01,103.01,0.013174061,0.178687418,
PMT1908,sugar transferase,99.01,112.01,0.013817816,0.177981389,
PMT0111,SecA-type protein translocase,46.01,52.01,0.139624264,0.176841581,
PMT0231,esterase/lipase/thioesterase family protein,23.01,26.01,0.043563564,0.176805416,
PMT0909,DAACS family glutamate/aspartate/dicarboxylate symporter,23.01,26.01,0.019057888,0.176805416,
PMT0033,4-hydroxythreonine-4-phosphate dehydrogenase,54.01,61.01,0.015483403,0.175819182,
PMT0349,signal recognition particle protein (SRP54),70.01,79.01,0.012592375,0.174474255,
PMT0190,LysM domain-containing protein,257.01,290.01,0.248455236,0.174278153,
PMT1035,hypothetical protein,423.01,477.01,0.013336074,0.173327742,
PMT0152,hypothetical protein,47.01,53.01,0.017694816,0.17329686,
PMT1612,hypothetical protein,110.01,124.01,0.020064293,0.17282179,
PMT1971,hypothetical protein,55.01,62.01,0.015801463,0.172806987,
PMT0362,hypothetical protein,63.01,71.01,0.067860894,0.172441397,
PMT0311,galactosyl-1-phosphate transferase,64.01,72.01,0.018706624,0.169899958,
PMT1883,hypothetical protein,64.01,72.01,0.023216739,0.169899958,
PMT0629,hypothetical protein,32.01,36.01,0.073606581,0.169874923,
PMT2145,multidrug ABC transporter,32.01,36.01,0.015217855,0.169874923,
PMT0810,adenine phosphoribosyltransferase,16.01,18.01,0.108995924,0.169824873,
PMT0973,vinculin family protein,16.01,18.01,0.162853941,0.169824873,
PMT1229,acetyl-CoA carboxylase carboxyltransferase subunit alpha,81.01,91.01,0.014899515,0.167925067,
PMT1984,hypothetical protein,49.01,55.01,2.34E-04,0.166617756,
PMT1556,transthyretin precursor,254.01,285.01,0.014236946,0.166127244,
PMT2183,hypothetical protein,331.01,371.01,0.014056939,0.164583271,
PMT1100,hypothetical protein,58.01,65.01,0.032990263,0.164360035,
PMT2017,NADH dehydrogenase subunit K,50.01,56.01,0.055062536,0.163467823,
PMT1973,cell division inhibitor,67.01,75.01,0.016701998,0.162706535,
PMT0555,glycine betaine/proline ABC transporter substrate-binding protein,109.01,122.01,0.01399589,0.16253891,
PMT0391,hypothetical protein,42.01,47.01,0.032303872,0.162234895,
PMT0135,adenine glycosylase,17.01,19.01,0.049162284,0.160375391,
PMT0253,Galanin,43.01,48.01,0.023672101,0.158662805,
PMT1752,50S ribosomal protein L36,863.01,963.01,0.013957707,0.158173503,
PMT2179,hypothetical protein,26.01,29.01,0.066473822,0.157483896,
PMT0079,DNA mismatch repair protein MutS,35.01,39.01,0.012618238,0.156076937,
PMT0342,Zn-finger in Ran binding protein and,35.01,39.01,0.030790866,0.156076937,
PMT2225,ATP-binding subunit of urea ABC transport system,53.01,59.01,0.02925503,0.154694918,
PMT1864,glycosyl transferase family protein,18.01,20.01,0.061546005,0.151922986,
PMT0222,amino acid permease,9.01,10.01,1,0.151842963,
PMT0504,endonuclease,9.01,10.01,1,0.151842963,
PMT1343,cytochrome c oxidase subunit III,272.01,302.01,0.014041504,0.150936629,
PMT0031,elongation factor P,191.01,212.01,0.015372996,0.150484145,
PMT1690,rare lipoprotein A,73.01,81.01,0.022872536,0.150005928,
PMT0521,ferric uptake regulator family protein,138.01,153.01,0.018762985,0.148853137,
PMT0472,hypothetical protein,46.01,51.01,0.039061983,0.148832644,
PMT1234,hypothetical protein,195.01,216.01,0.015213162,0.147549996,
PMT0191,aldehyde dehydrogenase,65.01,72.01,0.016154372,0.147535613,
PMT0787,hypothetical protein,28.01,31.01,0.075047231,0.146791543,
PMT2247,hypothetical protein,94.01,104.01,0.019534313,0.14583611,
PMT2164,metallo-beta-lactamase domain-containing protein,76.01,84.01,0.016556089,0.144371833,
PMT0059,DNA polymerase III subunits gamma/tau,38.01,42.01,0.019509335,0.144353761,
PMT0757,50S ribosomal protein L32,86.01,95.01,0.06703158,0.143574963,
PMT1207,HAM1 family protein,48.01,53.01,0.030976514,0.142929605,
PMT0626,hypothetical protein,308.01,340.01,0.014894859,0.142599987,
PMT1258,resolvase,39.01,43.01,0.057696401,0.140828133,
PMT1987,ABC transporter ATP-binding protein,88.01,97.01,0.019894314,0.140466014,
PMT1559,hypothetical protein,69.01,76.01,0.054919443,0.139383801,
PMT1965,TPR repeat-containing glycosyl transferase,70.01,77.01,0.016512716,0.13748479,
PMT2165,flavodoxin:flavin reductase-like domain-containing protein,72.01,79.01,0.016262786,0.133837994,
PMT0659,Sodium:sulfate symporter transmembrane,21.01,23.01,0.105698865,0.131184822,
PMT0661,quinolinate synthetase,21.01,23.01,0.049357929,0.131184822,
PMT0994,"two-component response regulator, phosphate",21.01,23.01,0.059215071,0.131184822,
PMT0314,ATP-dependent Clp protease proteolytic subunit,200.01,219.01,0.017256802,0.130924612,
PMT2185,hypothetical protein,180.01,197.01,0.036338638,0.130191807,
PMT1094,BolA-like protein,322.01,352.01,0.01881808,0.128510922,
PMT0408,hypothetical protein,526.01,575.01,0.019000952,0.128496819,
PMT0665,hypothetical protein,140.01,153.01,0.018146152,0.12809607,
PMT1142,hypothetical protein,239.01,261.01,0.017217633,0.127034101,
PMT2162,TRAP-T family tripartite transporter,99.01,108.01,0.023161904,0.125518739,
PMT0697,"ferredoxin, 4Fe-4S",77.01,84.01,0.062616608,0.12551527,
PMT1942,hypothetical protein,11.01,12.01,1,0.125421682,
PMT2046,hypothetical protein,167.01,182.01,0.017876016,0.124083228,
PMT0318,3-methyl-2-oxobutanoate hydroxymethyltransferase,67.01,73.01,0.024166215,0.123717673,
PMT0327,FAD/FMN-containing dehydrogenase,34.01,37.01,0.023910882,0.12195613,
PMT0252,hypothetical protein,23.01,25.01,0.082856189,0.120244074,
PMT0699,"inositol phosphatase/fructose-1,6-bisphosphatase",35.01,38.01,0.041652927,0.118611963,
PMT0455,hypothetical protein,317.01,344.01,0.016820876,0.117922153,
PMT0364,riboflavin kinase/FAD synthase,48.01,52.01,0.026674276,0.115454102,
PMT1813,hypothetical protein,12.01,13.01,0.06845311,0.115384811,
PMT1892,NADH dehydrogenase subunit B,199.01,215.01,0.017489476,0.111562834,
PMT1192,multidrug efflux ABC transporter,75.01,81.01,0.019476354,0.111017065,
PMT1418,circadian clock protein KaiC,50.01,54.01,0.021574241,0.111009943,
PMT1110,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",25.01,27.01,0.038301644,0.110988582,
PMT0964,hypothetical protein,326.01,352.01,0.018850419,0.110700196,
PMT1133,beta-lactamase,51.01,55.01,0.027281945,0.108913802,
PMT0220,branched-chain alpha-keto acid dehydrogenase subunit E2,192.01,207.01,0.035231966,0.108519012,
PMT1116,hypothetical protein,65.01,70.01,0.059075985,0.106899352,
PMT1063,alpha/beta fold family hydrolase,159.01,171.01,0.018417629,0.104963193,
PMT0704,DnaJ2 protein,40.01,43.01,0.041878611,0.104311503,
PMT0197,methionine salvage pathway protein E-2/E-2',27.01,29.01,0.083934722,0.103056656,
PMT1241,phage integrase family protein,27.01,29.01,0.044969333,0.103056656,
PMT0749,cobinamide kinase,41.01,44.01,0.043649857,0.101855628,
PMT1096,hypothetical protein,56.01,60.01,0.080339268,0.099518502,
PMT0157,hypothetical protein,28.01,30.01,0.04445347,0.099501336,
PMT0062,Clp protease proteolytic subunit,310.01,332.01,0.028212943,0.098911942,
PMT1448,hypothetical protein,85.01,91.01,0.035847067,0.098392514,
PMT0876,homoserine O-succinyltransferase,71.01,76.01,0.023823054,0.098167028,
PMT0539,phosphoribosylformylglycinamidine synthase I,86.01,92.01,0.025943879,0.097286262,
PMT0998,porin,382.01,408.01,0.269642034,0.094994107,
PMT1032,hypothetical protein,162.01,173.01,0.01974852,0.094772563,
PMT1449,chaperonin GroEL,2790.01,2976.01,0.982076544,0.093109081,
PMT0145,substrate-binding family 1 protein,30.01,32.01,0.040069631,0.093079358,
PMT0727,cobalamin biosynthetic protein CobN,15.01,16.01,0.023296401,0.093049331,
PMT0329,hypothetical protein,92.01,98.01,0.028357157,0.091138288,
PMT0051,high light inducible protein,187.01,199.01,0.003136273,0.089725509,
PMT1051,carotenoid isomerase,63.01,67.01,0.020414001,0.088795597,
PMT0795,hypothetical protein,32.01,34.01,0.128364642,0.087436329,
PMT0146,two-component response regulator,357.01,379.01,0.151452541,0.086271428,
PMT1555,Serine/threonine specific protein phosphatase,65.01,69.01,0.028732883,0.086143779,
PMT0136,carbohydrate kinase,33.01,35.01,0.041194291,0.084863923,
PMT0063,trigger factor,397.01,421.01,0.270152036,0.084679154,
PMT2250,chloride channel,50.01,53.01,0.027516366,0.084047936,
PMT1217,protochlorophyllide reductase iron-sulfur ATP-binding protein,459.01,486.01,0.296021974,0.082460414,
PMT0225,cystathionine gamma-synthase,34.01,36.01,0.031656508,0.082438593,
PMT0963,hypothetical protein,17.01,18.01,0.17878921,0.08241504,
PMT1960,hypothetical protein,17.01,18.01,0.173768613,0.08241504,
PMT0011,signal recognition particle protein,35.01,37.01,0.02926841,0.080148074,
PMT0854,MscS family mechanosensitive ion channel,35.01,37.01,0.02714919,0.080148074,
PMT1898,photosystem II reaction center L,11614.01,12276.01,0.24789846,0.079975545,
PMT1170,pseudouridine synthase,88.01,93.01,0.03042258,0.079718379,
PMT1306,50S ribosomal protein L19,666.01,703.01,0.176209712,0.078001372,
PMT1459,hypothetical protein,72.01,76.01,0.02394367,0.077991967,
PMT1321,hypothetical protein,36.01,38.01,0.112634332,0.077981426,
PMT1095,glutaredoxin-like protein,726.01,766.01,0.031128654,0.077373806,
PMT1266,hypothetical protein,55.01,58.01,0.097362871,0.076607716,
PMT0346,type II alternative sigma-70 family RNA polymerase sigma factor,184.01,194.01,0.02084452,0.076346845,
PMT1600,hypothetical protein,74.01,78.01,0.028183836,0.075938857,
PMT2178,DNA polymerase III subunit beta,56.01,59.01,0.035245079,0.07527503,
PMT1692,Hpt domain-containing protein,114.01,120.01,0.025909249,0.073994254,
PMT1986,hypothetical protein,77.01,81.01,0.049502723,0.073054211,
PMT2198,pentapeptide repeat-containing protein,116.01,122.01,0.02714919,0.072750226,
PMT0682,hypothetical protein,233.01,245.01,0.027938778,0.072448762,
PMT1893,NADH dehydrogenase subunit A,140.01,147.01,0.030033608,0.070384421,
PMT0267,hypothetical protein,20.01,21.01,0.180352675,0.070354995,
PMT0972,DNA polymerase N-terminal dom,20.01,21.01,0.191836368,0.070354995,
PMT1840,photosystem II reaction center I protein I,647.01,679.01,0.026865209,0.069644811,
PMT0340,nickel-containing superoxide dismutase (NISOD),1443.01,1514.01,0.285101414,0.069293437,
PMT1622,bacterioferritin comigratory (BCP) protein,61.01,64.01,0.043020807,0.069251578,
PMT0694,sugar ABC transporter substrate-binding protein,41.01,43.01,0.025943879,0.068696388,
PMT1367,hypothetical protein,482.01,505.01,0.065657666,0.067248878,
PMT0285,M20/M25/M40 family peptidase,21.01,22.01,0.142884604,0.067082983,
PMT2106,phosphoglycerate kinase,172.01,180.01,0.032124819,0.065584614,
PMT0134,Iron/ascorbate oxidoreductase,43.01,45.01,0.04371427,0.065573433,
PMT1115,"transcription initiation factor IIA, gam",43.01,45.01,0.095378647,0.065573433,
PMT1257,inorganic pyrophosphatase,108.01,113.01,0.0336956,0.06528555,
PMT1716,S-adenosylmethionine decarboxylase,197.01,206.01,0.024820448,0.064445508,
PMT0141,single-stranded DNA-binding protein,66.01,69.01,0.047197973,0.064120835,
PMT2044,hypothetical protein,22.01,23.01,0.111174538,0.064101838,
PMT1632,hypothetical protein,910.01,951.01,0.256983467,0.063578112,
PMT1518,hypothetical protein,45.01,47.01,0.085708217,0.062722116,
PMT1880,imidazoleglycerol-phosphate dehydratase,184.01,192.01,0.024548091,0.061397278,
PMT0303,kelch motif-containing protein,23.01,24.01,0.157568133,0.06137442,
PMT1062,glycerol dehydrogenase,70.01,73.01,0.029478333,0.060533073,
PMT0361,hypothetical protein,216.01,225.01,0.033421678,0.058891018,
PMT0715,leucyl-tRNA synthetase,48.01,50.01,0.025962523,0.058881669,
PMT0736,DnaJ domain-containing protein,48.01,50.01,0.032593806,0.058881669,
PMT1474,methyltransferase,24.01,25.01,0.049553056,0.058869654,
PMT0467,hypothetical protein,123.01,128.01,0.041829623,0.057480913,
PMT1608,hypothetical protein,443.01,461.01,0.298915726,0.05745878,
PMT2062,glutaredoxin,74.01,77.01,0.071060504,0.05732558,
PMT0703,molecular chaperone DnaK,28.01,29.01,0.034365701,0.050608312,
PMT1584,SMC ATPase superfamily chromosome segregation protein,59.01,61.01,0.034824045,0.048086272,
PMT1664,ferredoxin,240.01,248.01,0.026865209,0.047303776,
PMT0262,pilin,60.01,62.01,0.048025818,0.04729796,
PMT0747,hypothetical protein,286.01,295.01,0.031663614,0.044698269,
PMT1522,hypothetical protein,65.01,67.01,0.028290132,0.043714753,
PMT0453,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase,67.01,69.01,0.04089304,0.042429026,
PMT0657,hypothetical protein,303.01,312.01,0.027237482,0.042226862,
PMT0309,hypothetical protein,172.01,177.01,0.046459878,0.041338426,
PMT2263,hypothetical protein,519.01,534.01,0.024442976,0.041104423,
PMT2120,hypothetical protein,70.01,72.01,0.083934722,0.04063626,
PMT2187,"FAD linked oxidase, N-terminal",35.01,36.01,0.036832014,0.040630538,
PMT2054,hypothetical protein,36.01,37.01,0.047859932,0.039517536,
PMT2258,hypothetical protein,220.01,226.01,0.026865209,0.038817508,
PMT1963,ribosome-binding factor A,111.01,114.01,0.038434161,0.038470728,
PMT0254,NifU-like protein,465.01,477.01,0.027010771,0.03675777,
PMT1498,3Fe-4S ferredoxin,395.01,405.01,0.025746325,0.036068353,
PMT1610,SAP domain-containing protein,40.01,41.01,0.105927759,0.035615115,
PMT2251,hypothetical protein,40.01,41.01,0.036385949,0.035615115,
PMT1450,co-chaperonin GroES,3150.01,3228.01,0.275455427,0.035288639,
PMT1052,aminopeptidase N,42.01,43.01,0.025533369,0.033939345,
PMT1439,hypothetical protein,43.01,44.01,0.067860894,0.03315924,
PMT0022,chaperone protein DnaJ,92.01,94.01,0.026639239,0.031023559,
PMT0775,transcriptional-repair coupling factor,47.01,48.01,0.027996806,0.030367255,
PMT0560,dihydroxy-acid dehydratase,147.01,150.01,0.042705957,0.029144383,
PMT1596,HIT (histidine triad) family protein,100.01,102.01,0.05338224,0.028566324,
PMT1315,DNA-binding/iron metalloprotein/AP endonuclease,51.01,52.01,0.035302997,0.028008937,
PMT0729,methionine synthase,56.01,57.01,0.039448351,0.025530573,
PMT0649,hypothetical protein,227.01,231.01,0.035085785,0.025199454,
PMT1887,protoporphyrin IX magnesium chelatase subunit ChlD,57.01,58.01,0.029267817,0.025086618,
PMT0728,branched-chain amino acid aminotransferase,60.01,61.01,0.037698548,0.023842801,
PMT1975,hypothetical protein,129.01,131.01,0.055925188,0.022194039,
PMT0215,long-chain-fatty-acid--CoA ligase,66.01,67.01,0.02971248,0.021691809,
PMT0030,cyclophilin type peptidyl-prolyl cis-trans isomerase,157.01,159.01,0.028473822,0.018261051,
PMT0552,glycine-sarcosine methyltransferase,686.01,693.01,0.292757752,0.014646564,
PMT0179,hypothetical protein,103.01,104.01,0.035092362,0.013937844,
PMT1093,hypothetical protein,298.01,300.01,0.028876737,0.009649847,
PMT0083,preprotein translocase subunit SecA,166.01,167.01,0.320444468,0.008664341,
PMT1447,preprotein translocase subunit SecG,346.01,348.01,0.038161172,0.008315029,
PMT0015,tRNA-dihydrouridine synthase A,28.01,28.01,0.058847327,0,
PMT0074,DNA polymerase III subunit delta,27.01,27.01,0.05344374,0,
PMT0158,zinc metallopeptidase,19.01,19.01,0.062076138,0,
PMT0192,glycoside hydrolase family protein,4.01,4.01,1,0,
PMT0217,VIC family potassium channel protein,12.01,12.01,1,0,
PMT0251,replication protein,93.01,93.01,0.061594195,0,
PMT0281,resolvase domain-containing protein,0.01,0.01,1,0,
PMT0289,ComEC/Rec2-like protein,2.01,2.01,1,0,
PMT0301,hypothetical protein,21.01,21.01,0.108685197,0,
PMT0324,hypothetical protein,93.01,93.01,0.069884117,0,
PMT0326,cytosine deaminase,24.01,24.01,0.057372422,0,
PMT0372,hemolysin-type calcium-binding protein,0.01,0.01,1,0,
PMT0373,hypothetical protein,11.01,11.01,1,0,
PMT0381,M protein-like,3.01,3.01,1,0,
PMT0414,hypothetical protein,18.01,18.01,0.114244931,0,
PMT0421,hypothetical protein,277.01,277.01,0.031677489,0,
PMT0458,hypothetical protein,126.01,126.01,0.05660146,0,
PMT0561,hypothetical protein,17.01,17.01,0.173664006,0,
PMT0608,hypothetical protein,12.01,12.01,1,0,
PMT0635,SOS mutagenesis protein UmuD,24.01,24.01,0.114739203,0,
PMT0760,CbbY-like protein,35.01,35.01,0.053251085,0,
PMT0798,glutamine amidotransferase,8.01,8.01,1,0,
PMT0804,two-component sensor histidine kinase,17.01,17.01,0.065084582,0,
PMT0892,hypothetical protein,0.01,0.01,1,0,
PMT0918,hypothetical protein,9.01,9.01,1,0,
PMT0920,hypothetical protein,0.01,0.01,1,0,
PMT0933,hypothetical protein,0.01,0.01,1,0,
PMT0934,hypothetical protein,0.01,0.01,1,0,
PMT0952,hemolysin-type calcium-binding protei,7.01,7.01,1,0,
PMT0995,"two component sensor histidine kinase fragment, likely pseudogene",0.01,0.01,1,0,
PMT1019,hypothetical protein,34.01,34.01,0.056390489,0,
PMT1023,hypothetical protein,0.01,0.01,1,0,
PMT1044,major facilitator superfamily proline/betaine transporter,45.01,45.01,0.044651061,0,
PMT1055,hypothetical protein,15.01,15.01,0.117761592,0,
PMT1071,4-alpha-glucanotransferase,21.01,21.01,0.060292352,0,
PMT1075,hypothetical protein,47.01,47.01,0.059340852,0,
PMT1107,hypothetical protein,9.01,9.01,1,0,
PMT1123,lycopene beta cyclase,38.01,38.01,0.050306917,0,
PMT1174,"N2,N2-dimethylguanosine tRNA methyltransferase-like protein",13.01,13.01,0.103639366,0,
PMT1190,hypothetical protein,17.01,17.01,0.089376047,0,
PMT1246,NAD binding site,26.01,26.01,0.059394863,0,
PMT1247,short-chain dehydrogenase/reductase,14.01,14.01,0.128223325,0,
PMT1311,hypothetical protein,19.01,19.01,0.11159292,0,
PMT1326,hypothetical protein,72.01,72.01,0.042272021,0,
PMT1335,N-acetylmannosamine-6-phosphate 2-epimerase,18.01,18.01,0.118685649,0,
PMT1379,tetrapyrrole methylase family protein,20.01,20.01,0.090078217,0,
PMT1385,hypothetical protein,0.01,0.01,1,0,
PMT1397,isoamylase,64.01,64.01,0.031524251,0,
PMT1493,diaminopelargonic acid synthase,27.01,27.01,0.013334165,0,
PMT1563,hypothetical protein,0.01,0.01,1,0,
PMT1574,membrane permease or ABC transporter component,12.01,12.01,1,0,
