Synonym,Product,Expression med4 t=20+0.01,Expression med4+1a3 t=20 +0.01,q Value,log 2 fold change coculture/axenic,locus_tag
PMM1219,nucleoside-diphosphate sugar epimerase,0.01,60.01,0.0,-12.55098721,PMM1219
PMM0895,hypothetical protein,0.01,61.01,0.0,-12.57483002,PMM0895
PMM1493,hypothetical protein,0.01,61.01,0.0,-12.57483002,PMM1493
PMM0377,hypothetical protein,0.01,65.01,0.0,-12.66644594,PMM0377
PMM0379,hypothetical protein,0.01,65.01,0.0,-12.66644594,PMM0379
PMM1272,hypothetical protein,0.01,65.01,0.0,-12.66644594,PMM1272
PMM1482,high light inducible protein,0.01,68.01,0.0,-12.73153118,PMM1482
PMM0387,3-dehydroquinate dehydratase,0.01,69.01,0.0,-12.75258972,PMM0387
PMM1131,hypothetical protein,0.01,70.01,0.0,-12.77334529,PMM1131
PMM0826,hypothetical protein,0.01,74.01,0.0,-12.8535045,PMM0826
PMM0411,hypothetical protein,0.01,76.01,0.0,-12.89197352,PMM0411
PMM0622,hypothetical protein,0.01,78.01,0.0,-12.92944336,PMM0622
PMM1616,SsrA-binding protein,0.01,80.01,0.0,-12.96596461,PMM1616
PMM0124,hypothetical protein,0.01,81.01,0.0,-12.98388429,PMM0124
PMM0166,adenylylsulfate kinase,0.01,82.01,0.0,-13.00158412,PMM0166
PMM1276,hypothetical protein,0.01,83.01,0.0,-13.01906943,PMM1276
PMM0252,photosystem II reaction center protein N,0.01,84.01,0.0,-13.03634535,PMM0252
PMM1448,hypothetical protein,0.01,85.01,0.0,-13.05341684,PMM1448
PMM0356,"2-hydroxy-6-oxohepta-2,4-dienoate hydrolase",0.01,89.01,0.0,-13.11975171,PMM0356
PMM0467,guanylate kinase,0.01,91.01,0.0,-13.15180936,PMM0467
PMM1402,hypothetical protein,0.01,93.01,0.0,-13.18317012,PMM1402
PMM0974,ATP-binding subunit of urea ABC transport system,0.01,94.01,0.0,-13.19859851,PMM0974
PMM1633,hypothetical protein,0.01,99.01,0.0,-13.27335853,PMM1633
PMM0540,photosystem I reaction center subunit XII,0.01,105.01,0.0,-13.3582391,PMM0540
PMM0373,cyanate hydratase,0.01,110.01,0.0,-13.42534705,PMM0373
PMM0020,hypothetical protein,0.01,137.01,0.0,-13.74199358,PMM0020
PMM1151,translation initiation factor IF-1,0.01,137.01,0.0,-13.74199358,PMM1151
PMM0471,high light inducible protein,0.01,223.01,0.0,-14.44482078,PMM0471
PMM0910,hypothetical protein,0.01,247.01,0.0,-14.59228183,PMM0910
PMM1110,BolA-like protein,0.01,429.01,0.0,-15.38872366,PMM1110
PMM0004,amidophosphoribosyltransferase,4.01,23.01,0.264221337,-2.520586842,PMM0004
PMM0007,hypothetical protein,0.01,7.01,1.0,-9.453270634,PMM0007
PMM0008,hypothetical protein,426.01,955.01,0.970149211,-1.164628544,PMM0008
PMM0009,transcription antitermination protein NusB,44.01,120.01,0.703339972,-1.447251349,PMM0009
PMM0010,signal recognition particle docking protein FtsY,17.01,64.01,0.541938041,-1.911914168,PMM0010
PMM0012,argininosuccinate lyase,30.01,43.01,1.0,-0.519228812,PMM0012
PMM0013,RNA recognition motif-containing protein,46.01,29.01,0.488973301,0.665397161,PMM0013
PMM0016,heat shock protein GrpE,218.01,228.01,1.0,-0.064702787,PMM0016
PMM0018,hypothetical protein,55.01,33.01,0.903696571,0.736790764,PMM0018
PMM0019,hypothetical protein,6.01,25.01,0.636407362,-2.057068161,PMM0019
PMM0022,UDP-N-acetylmuramate-alanine ligase,14.01,23.01,0.700854057,-0.715804028,PMM0022
PMM0023,glyceraldehyde 3-phosphate dehydrogenase,108.01,133.01,1.0,-0.300369826,PMM0023
PMM0024,thiamine-monophosphate kinase,20.01,58.01,0.503192951,-1.535580452,PMM0024
PMM0025,cyclophilin type peptidyl-prolyl cis-trans isomerase,142.01,294.01,0.969295148,-1.049872701,PMM0025
PMM0026,elongation factor P,128.01,166.01,1.0,-0.375013632,PMM0026
PMM0027,biotin / lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit,61.01,103.01,0.870719975,-0.755666762,PMM0027
PMM0028,4-hydroxythreonine-4-phosphate dehydrogenase,9.01,8.01,1.0,0.169724863,PMM0028
PMM0029,hypothetical protein,15.01,23.01,0.615273267,-0.616337007,PMM0029
PMM0030,transcription factor TFIID (or TATA-b,34.01,84.01,0.537266904,-1.304602061,PMM0030
PMM0031,HNH endonuclease:HNH nuclease,201.01,128.01,0.343542601,0.651010759,PMM0031
PMM0032,type II secretion system pr,174.01,249.01,1.0,-0.517033463,PMM0032
PMM0035,soluble hydrogenase small subunit,83.01,195.01,0.844331642,-1.232191057,PMM0035
PMM0036,cobalt-precorrin-6A synthase,6.01,14.01,0.560746329,-1.22102006,PMM0036
PMM0037,GMP synthase,33.01,41.01,1.0,-0.313072605,PMM0037
PMM0038,hypothetical protein,0.01,0.01,1.0,0.0,PMM0038
PMM0040,penicillin-binding protein,3.01,4.01,1.0,-0.41383875,PMM0040
PMM0041,reductase,15.01,17.01,0.6817805,-0.180459164,PMM0041
PMM0042,flavoprotein,0.01,10.01,1.0,-9.967226259,PMM0042
PMM0043,flavoprotein,4.01,25.01,0.127037137,-2.640830916,PMM0043
PMM0044,alanyl-tRNA synthetase,13.01,25.01,0.886341032,-0.942884095,PMM0044
PMM0045,arginine decarboxylase,6.01,26.01,0.384584263,-2.113629503,PMM0045
PMM0046,nucleoside diphosphate kinase,124.01,186.01,1.0,-0.584923721,PMM0046
PMM0047,thiamine biosynthesis oxidoreductase,13.01,25.01,0.554069135,-0.942884095,PMM0047
PMM0049,dephospho-CoA kinase,31.01,68.01,0.557580964,-1.133013366,PMM0049
PMM0050,bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein,12.01,10.01,1.0,0.262794177,PMM0050
PMM0052,aldo/keto reductase,3.01,11.01,1.0,-1.870979077,PMM0052
PMM0053,RNA methylase,5.01,4.01,1.0,0.321208367,PMM0053
PMM0054,hypothetical protein,86.01,129.01,0.984421486,-0.584906588,PMM0054
PMM0055,hypothetical protein,113.01,119.01,1.0,-0.074632364,PMM0055
PMM0056,hypothetical protein,129.01,183.01,1.0,-0.504439584,PMM0056
PMM0057,SMC ATPase superfamily chromosome segregation protein,41.01,70.01,0.629541964,-0.771585263,PMM0057
PMM0058,hypothetical protein,40.01,29.01,0.605710636,0.463810333,PMM0058
PMM0059,hypothetical protein,22.01,49.01,0.730574913,-1.154917002,PMM0059
PMM0060,acetyl-CoA carboxylase biotin carboxylase subunit,32.01,37.01,1.0,-0.209392459,PMM0060
PMM0061,hypothetical protein,23.01,44.01,0.575523612,-0.935570388,PMM0061
PMM0062,photosystem II PsbX protein,218.01,366.01,0.871665694,-0.747488754,PMM0062
PMM0063,hypothetical protein,112.01,322.01,0.422193732,-1.523477953,PMM0063
PMM0065,ABC transporter ATP binding protein,31.01,81.01,0.528296391,-1.385366482,PMM0065
PMM0066,hypothetical protein,0.01,13.01,1.0,-10.34540525,PMM0066
PMM0068,peptide deformylase,32.01,111.01,0.480717963,-1.794095061,PMM0068
PMM0069,esterase,0.01,5.01,1.0,-8.968666793,PMM0069
PMM0070,cysteine desulfurase or selenocysteine lyase,52.01,44.01,0.579110218,0.240957666,PMM0070
PMM0071,"ABC transporter, membrane component",0.01,5.01,1.0,-8.968666793,PMM0071
PMM0072,ABC transporter ATP binding component,87.01,81.01,0.693605053,0.103081211,PMM0072
PMM0073,cysteine desulfurase,55.01,192.01,0.301152014,-1.803415641,PMM0073
PMM0074,hypothetical protein,0.01,2.01,1.0,-7.651051691,PMM0074
PMM0075,hypothetical protein,81.01,103.01,1.0,-0.346612485,PMM0075
PMM0076,phosphoglucomutase,19.01,23.01,1.0,-0.275502452,PMM0076
PMM0077,recombination factor protein RarA,7.01,6.01,1.0,0.222049453,PMM0077
PMM0078,4'-phosphopantetheinyl transferase,0.01,10.01,1.0,-9.967226259,PMM0078
PMM0079,bacterioferritin comigratory (BCP) protein,147.01,230.01,1.0,-0.645782291,PMM0079
PMM0080,hypothetical protein,12.01,44.01,1.0,-1.873595221,PMM0080
PMM0081,phosphoadenosine phosphosulfate reductase,101.01,206.01,0.795902425,-1.028216242,PMM0081
PMM0082,NADH dehydrogenase,0.01,6.01,1.0,-9.231221181,PMM0082
PMM0083,DASS family sodium/sulfate transporter,17.01,42.01,0.772728421,-1.304349645,PMM0083
PMM0084,Trk family sodium transporter,2.01,7.01,1.0,-1.802218943,PMM0084
PMM0085,VIC family potassium channel protein,44.01,70.01,0.930035079,-0.669729635,PMM0085
PMM0086,hypothetical protein,136.01,518.01,0.306702419,-1.929267221,PMM0086
PMM0088,hypothetical protein,154.01,120.01,0.847553918,0.359869404,PMM0088
PMM0089,ABC transporter ATP binding component,4.01,16.01,0.944696327,-1.997299166,PMM0089
PMM0091,hypothetical protein,177.01,118.01,0.474586217,0.58492175,PMM0091
PMM0092,hypothetical protein,19.01,83.01,0.361058435,-2.126526613,PMM0092
PMM0093,high light inducible protein,245.01,546.01,0.842723367,-1.15608674,PMM0093
PMM0094,hypothetical protein,80.01,58.01,0.891643464,0.463878706,PMM0094
PMM0095,serum resistance locus BrkB-like protein,15.01,21.01,0.678897188,-0.485152185,PMM0095
PMM0096,inositol monophosphatase,36.01,102.01,0.710967287,-1.502241081,PMM0096
PMM0097,RND family outer membrane efflux protein,49.01,111.01,0.589159745,-1.179541591,PMM0097
PMM0098,Fe-S oxidoreductase,22.01,88.01,0.332479568,-1.999508312,PMM0098
PMM0099,hypothetical protein,0.01,13.01,1.0,-10.34540525,PMM0099
PMM0100,L-aspartate oxidase,7.01,16.01,0.544587267,-1.191486959,PMM0100
PMM0101,hypothetical protein,56.01,101.01,1.0,-0.850741794,PMM0101
PMM0105,RibD/RibG domain-containing protein,29.01,37.01,0.84771951,-0.35136484,PMM0105
PMM0106,6-pyruvoyl tetrahydrobiopterin synthase,108.01,267.01,0.529680395,-1.305728885,PMM0106
PMM0107,shikimate kinase,13.01,10.01,0.959846181,0.378178988,PMM0107
PMM0108,hypothetical protein,18.01,0.01,1.0,10.81458247,PMM0108
PMM0110,glutathione S-transferase,35.01,60.01,0.769093827,-0.777435868,PMM0110
PMM0111,hypothetical protein,0.01,0.01,1.0,0.0,PMM0111
PMM0115,zeta-carotene desaturase,35.01,104.01,0.473982691,-1.570883275,PMM0115
PMM0116,hypothetical protein,174.01,162.01,0.693641143,0.103087352,PMM0116
PMM0117,hypothetical protein,147.01,249.01,1.0,-0.760289386,PMM0117
PMM0118,hypothetical protein,0.01,5.01,1.0,-8.968666793,PMM0118
PMM0119,hypothetical protein,0.01,1.01,1.0,-6.658211483,PMM0119
PMM0120,cell division inhibitor,7.01,23.01,0.527438785,-1.714774634,PMM0120
PMM0121,hypothetical protein,173.01,171.01,1.0,0.016774737,PMM0121
PMM0122,heat shock protein DnaJ,0.01,9.01,1.0,-9.815383296,PMM0122
PMM0123,O-acetylserine (thiol)-lyase A,5.01,18.01,1.0,-1.845915673,PMM0123
PMM0127,signal peptide binding domain-containing protein,59.01,141.01,0.556292036,-1.256766114,PMM0127
PMM0128,two-component response regulator,215.01,257.01,1.0,-0.257420734,PMM0128
PMM0129,DNA polymerase III subunit delta',0.01,5.01,1.0,-8.968666793,PMM0129
PMM0130,thymidylate kinase,13.01,16.01,0.678100182,-0.299352346,PMM0130
PMM0131,P-type ATPase transporter for copper,30.01,35.01,1.0,-0.222323743,PMM0131
PMM0132,photosystem I assembly protein Ycf3,91.01,73.01,0.671898808,0.317930995,PMM0132
PMM0133,DNA repair protein RadA,14.01,22.01,0.700516352,-0.651702189,PMM0133
PMM0134,two-component response regulator,41.01,187.01,0.23262979,-2.189067769,PMM0134
PMM0135,glycerol-3-phosphate acyltransferase PlsX,27.01,54.01,0.928545937,-0.999732908,PMM0135
PMM0139,hypothetical protein,5.01,12.01,1.0,-1.261353643,PMM0139
PMM0140,Ycf34,0.01,6.01,1.0,-9.231221181,PMM0140
PMM0141,poly A polymerase family protein,0.01,10.01,1.0,-9.967226259,PMM0141
PMM0142,RNA recognition motif-containing protein,946.01,1955.01,0.926955055,-1.047248648,PMM0142
PMM0143,squalene and phytoene synthase,26.01,75.01,0.584092661,-1.528016543,PMM0143
PMM0144,phytoene desaturase,15.01,52.01,0.495910122,-1.792865061,PMM0144
PMM0145,NADH dehydrogenase I subunit M,369.01,497.01,1.0,-0.429614966,PMM0145
PMM0146,hypothetical protein,100.01,441.01,0.114634657,-2.140667107,PMM0146
PMM0147,Rubisco transcriptional regulator,99.01,266.01,0.487416561,-1.425834332,PMM0147
PMM0148,hypothetical protein,31.01,35.01,1.0,-0.175033536,PMM0148
PMM0149,NAD(P)H-quinone oxidoreductase subunit F,26.01,60.01,1.0,-1.206136531,PMM0149
PMM0150,NAD(P)H-quinone oxidoreductase subunit 4,55.01,134.01,0.778020561,-1.284574852,PMM0150
PMM0151,hypothetical protein,24.01,44.01,0.579873931,-0.874195968,PMM0151
PMM0152,sugar-phosphate nucleotidyl transferase,17.01,48.01,0.515679055,-1.496951795,PMM0152
PMM0153,methylenetetrahydrofolate reductase,63.01,137.01,1.0,-1.120628481,PMM0153
PMM0154,LuxR family transcriptional regulator,240.01,224.01,0.710967287,0.09953138,PMM0154
PMM0156,inorganic polyphosphate/ATP-NAD kinase,0.01,9.01,1.0,-9.815383296,PMM0156
PMM0157,NADH dehydrogenase subunit K,9.01,32.01,1.0,-1.828923666,PMM0157
PMM0158,NADH dehydrogenase subunit J,22.01,52.01,0.532733171,-1.240629893,PMM0158
PMM0159,NADH dehydrogenase subunit I,189.01,520.01,0.60633017,-1.460076802,PMM0159
PMM0160,NADH dehydrogenase subunit H,36.01,69.01,0.974395965,-0.938407833,PMM0160
PMM0161,citrate synthase,43.01,140.01,0.413734875,-1.702785837,PMM0161
PMM0162,hypothetical protein,0.01,0.01,1.0,0.0,PMM0162
PMM0163,hypothetical protein,0.01,8.01,1.0,-9.645658432,PMM0163
PMM0164,tryptophan synthase subunit beta,71.01,153.01,0.985993926,-1.107531832,PMM0164
PMM0165,translation initiation factor SUI1,0.01,3.01,1.0,-8.233619677,PMM0165
PMM0167,phosphoribosylaminoimidazole carboxylase,14.01,26.01,0.579993949,-0.892609444,PMM0167
PMM0168,Mg-protoporphyrin IX methyl transferase,71.01,65.01,0.84204515,0.127360553,PMM0168
PMM0169,two-component response regulator,48.01,109.01,0.830516993,-1.183053645,PMM0169
PMM0170,NifS-like aminotransferase class-V,26.01,39.01,0.962137918,-0.584777599,PMM0170
PMM0172,NAD(P)H-quinone oxidoreductase subunit H,94.01,177.01,0.636407362,-0.912944734,PMM0172
PMM0173,hypothetical protein,37.01,65.01,0.594713728,-0.812746519,PMM0173
PMM0174,O-succinylbenzoic acid--CoA ligase,0.01,1.01,1.0,-6.658211483,PMM0174
PMM0175,O-succinylbenzoate synthase,0.01,4.01,1.0,-8.647458426,PMM0175
PMM0177,isochorismate synthase,0.01,13.01,1.0,-10.34540525,PMM0177
PMM0178,glutathione synthetase,8.01,34.01,0.94852849,-2.086084858,PMM0178
PMM0179,glutaredoxin,77.01,76.01,1.0,0.018856562,PMM0179
PMM0180,peptide chain release factor 2,20.01,9.01,0.218447953,1.151122156,PMM0180
PMM0182,hypothetical protein,0.01,2.01,1.0,-7.651051691,PMM0182
PMM0183,diacylglycerol kinase,0.01,0.01,1.0,0.0,PMM0183
PMM0185,hypothetical protein,30.01,17.01,0.424158921,0.819060178,PMM0185
PMM0186,aminotransferase class-I,0.01,5.01,1.0,-8.968666793,PMM0186
PMM0188,nicotinate-nucleotide pyrophosphorylase:quinolinate phosphoriobsyl transferase,0.01,11.01,1.0,-10.10459875,PMM0188
PMM0189,tRNA modification GTPase TrmE,23.01,34.01,1.0,-0.563698022,PMM0189
PMM0190,hypothetical protein,0.01,2.01,1.0,-7.651051691,PMM0190
PMM0191,"guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",20.01,30.01,1.0,-0.584722152,PMM0191
PMM0192,ABC transporter ATP-binding protein,6.01,3.01,1.0,0.997601504,PMM0192
PMM0193,pseudouridylate synthase specific to ribosomal large subunit,14.01,46.01,0.489039001,-1.715490501,PMM0193
PMM0194,ribosomal biogenesis GTPase,0.01,10.01,1.0,-9.967226259,PMM0194
PMM0196,hypothetical protein,0.01,12.01,1.0,-10.23002044,PMM0196
PMM0198,aminotransferase class-I,2.01,4.01,1.0,-0.996406735,PMM0198
PMM0199,dihydroorotate dehydrogenase 2,0.01,10.01,1.0,-9.967226259,PMM0199
PMM0200,ribonuclease HI,33.01,110.01,0.56260273,-1.736659628,PMM0200
PMM0201,50S ribosomal protein L7/L12,535.01,2272.01,0.099714908,-2.086331422,PMM0201
PMM0202,50S ribosomal protein L10,708.01,1943.01,0.34582649,-1.456451684,PMM0202
PMM0203,50S ribosomal protein L1,414.01,1142.01,0.531411665,-1.463837764,PMM0203
PMM0204,50S ribosomal protein L11,244.01,727.01,0.391372234,-1.575034935,PMM0204
PMM0205,transcription antitermination protein NusG,204.01,437.01,0.979885974,-1.099026422,PMM0205
PMM0206,preprotein translocase subunit SecE,152.01,128.01,0.950615148,0.247909718,PMM0206
PMM0207,"ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB",40.01,50.01,1.0,-0.321855976,PMM0207
PMM0208,phosphopyruvate hydratase,98.01,184.01,0.626220606,-0.908783311,PMM0208
PMM0209,kinase,20.01,56.01,0.86869105,-1.484963261,PMM0209
PMM0210,hypothetical protein,42.01,64.01,0.615273267,-0.607564523,PMM0210
PMM0211,FAD-dependent pyridine nucleotide-disulfide oxidoreductase,101.01,262.01,0.50051916,-1.375123748,PMM0211
PMM0213,sodium-dependent bicarbonate transporter,73.01,246.01,0.329679896,-1.752550975,PMM0213
PMM0214,sulfate transporter,185.01,561.01,0.332796698,-1.600423235,PMM0214
PMM0215,delta-aminolevulinic acid dehydratase,130.01,160.01,1.0,-0.299539475,PMM0215
PMM0216,glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein,25.01,34.01,0.67567014,-0.443453949,PMM0216
PMM0217,DNA mismatch repair protein MutS family protein,2.01,4.01,1.0,-0.996406735,PMM0217
PMM0219,hypothetical protein,408.01,538.01,1.0,-0.399028476,PMM0219
PMM0220,hypothetical protein,66.01,95.01,0.666511633,-0.52539477,PMM0220
PMM0221,glutathione S-transferase C terminus,0.01,0.01,1.0,0.0,PMM0221
PMM0223,photosystem II PsbA protein (D1),1937.01,8732.01,0.577762596,-2.172482381,PMM0223
PMM0224,chorismate synthase,39.01,129.01,0.428028043,-1.725566995,PMM0224
PMM0225,2-keto-3-deoxy-6-phosphogluconate aldolase,15.01,7.01,0.830685661,1.098437628,PMM0225
PMM0226,cell division protein FtsH2,161.01,382.01,0.916200696,-1.246460111,PMM0226
PMM0227,ATP-sulfurylase,161.01,338.01,0.962137918,-1.069915635,PMM0227
PMM0228,photosystem II manganese-stabilizing protein,1157.01,2684.01,0.401370642,-1.213988713,PMM0228
PMM0229,p-pantothenate cysteine ligase and p-pantothenenoylcysteine decarboxylase,11.01,31.01,0.501547243,-1.493919057,PMM0229
PMM0233,aspartate carbamoyltransferase,20.01,48.01,0.542025665,-1.262613769,PMM0233
PMM0235,aspartyl/glutamyl-tRNA amidotransferase subunit C,199.01,477.01,1.0,-1.261178585,PMM0235
PMM0237,hypothetical protein,36.01,16.01,0.285042365,1.169424292,PMM0237
PMM0238,isoleucyl-tRNA synthetase,14.01,46.01,0.43930487,-1.715490501,PMM0238
PMM0240,tRNA (guanine-N(7)-)-methyltransferase,0.01,1.01,1.0,-6.658211483,PMM0240
PMM0241,phosphotransferase superclass,47.01,56.01,1.0,-0.252716748,PMM0241
PMM0243,FAD-dependent thymidylate synthase,73.01,307.01,0.208710267,-2.072119663,PMM0243
PMM0244,deoxycytidine triphosphate deaminase,19.01,91.01,0.295412868,-2.259266543,PMM0244
PMM0245,cob(I)alamin adenosyltransferase,76.01,53.01,0.521874909,0.519924694,PMM0245
PMM0247,hypothetical protein,9.01,22.01,0.544587267,-1.288560134,PMM0247
PMM0248,hypothetical protein,0.01,11.01,1.0,-10.10459875,PMM0248
PMM0253,photosystem II reaction center I protein I,92.01,79.01,1.0,0.219755406,PMM0253
PMM0254,hypothetical protein,45.01,74.01,1.0,-0.717474652,PMM0254
PMM0255,3-isopropylmalate dehydratase small subunit,18.01,36.01,0.554069135,-0.999599418,PMM0255
PMM0256,isopropylmalate isomerase large subunit,83.01,209.01,0.864024823,-1.332214919,PMM0256
PMM0257,molybdenum cofactor biosynthesis protein,28.01,29.01,1.0,-0.050608312,PMM0257
PMM0258,serine hydroxymethyltransferase,57.01,225.01,0.202843291,-1.980702213,PMM0258
PMM0259,hypothetical protein,0.01,9.01,1.0,-9.815383296,PMM0259
PMM0260,hypothetical protein,0.01,5.01,1.0,-8.968666793,PMM0260
PMM0262,sugar fermentation stimulation protein A,0.01,6.01,1.0,-9.231221181,PMM0262
PMM0263,ammonium transporter,2269.01,10042.01,0.782864205,-2.145913194,PMM0263
PMM0264,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,29.01,30.01,1.0,-0.048893023,PMM0264
PMM0266,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,89.01,106.01,1.0,-0.252161029,PMM0266
PMM0267,esterase,17.01,5.01,0.197287656,1.763500632,PMM0267
PMM0268,hypothetical protein,654.01,951.01,0.689578978,-0.540147816,PMM0268
PMM0269,two-component sensor histidine kinase,0.01,12.01,1.0,-10.23002044,PMM0269
PMM0271,queuine tRNA-ribosyltransferase,0.01,2.01,1.0,-7.651051691,PMM0271
PMM0272,photosystem II reaction center protein K,158.01,445.01,0.523409375,-1.493821891,PMM0272
PMM0273,oxidoreductase,86.01,65.01,0.472898613,0.403842751,PMM0273
PMM0274,hypothetical protein,13.01,38.01,0.496116221,-1.546758063,PMM0274
PMM0277,nuclease,34.01,16.01,0.178379957,1.086985698,PMM0277
PMM0278,phosphotransferase superclass,0.01,8.01,1.0,-9.645658432,PMM0278
PMM0279,deoxyribonucleotide triphosphate pyrophosphatase,5.01,28.01,0.127844698,-2.483059475,PMM0279
PMM0282,enoyl-ACP reductase,166.01,242.01,0.915037076,-0.543796513,PMM0282
PMM0283,hypothetical protein,14.01,13.01,0.82359067,0.106835994,PMM0283
PMM0284,pleiotropic regulatory protein,9.01,32.01,0.492934629,-1.828923666,PMM0284
PMM0285,DNA photolyase,0.01,8.01,1.0,-9.645658432,PMM0285
PMM0286,NUDIX hydrolase,0.01,6.01,1.0,-9.231221181,PMM0286
PMM0288,protoporphyrin IX magnesium chelatase subunit ChlD,18.01,91.01,0.106959701,-2.337226893,PMM0288
PMM0289,ABC transporter,71.01,172.01,0.720506344,-1.276398328,PMM0289
PMM0290,ABC transporter ATP-binding protein,37.01,56.01,0.928963538,-0.597769293,PMM0290
PMM0291,hypothetical protein,20.01,46.01,0.67567014,-1.201226289,PMM0291
PMM0292,NADH dehydrogenase subunit J,97.01,78.01,0.618301912,0.314474398,PMM0292
PMM0293,NADH dehydrogenase subunit B,323.01,873.01,0.460914839,-1.43441935,PMM0293
PMM0294,NADH dehydrogenase subunit A,80.01,146.01,0.790086176,-0.86781495,PMM0294
PMM0295,rubredoxin,142.01,92.01,0.393977163,0.626129952,PMM0295
PMM0296,hypothetical protein,65.01,125.01,1.0,-0.943309947,PMM0296
PMM0297,cytochrome b559 subunit alpha,362.01,1156.01,0.34582649,-1.675052423,PMM0297
PMM0298,cytochrome b559 subunit beta,744.01,2519.01,0.270480451,-1.759462932,PMM0298
PMM0299,photosystem II reaction center L,247.01,595.01,0.750436938,-1.268344466,PMM0299
PMM0300,photosystem II reaction center protein J,811.01,2421.01,0.572715813,-1.57781743,PMM0300
PMM0301,5'-methylthioadenosine phosphorylase,68.01,138.01,1.0,-1.020954009,PMM0301
PMM0302,"selenide,water dikinase",9.01,19.01,0.636953051,-1.077159521,PMM0302
PMM0304,UvrD/REP helicase,25.01,53.01,1.0,-1.083759483,PMM0304
PMM0305,phycobilisome protein,105.01,244.01,1.0,-1.216413553,PMM0305
PMM0306,phycoerythrin linker protein CpeS-like protein,52.01,109.01,0.721326871,-1.067599543,PMM0306
PMM0307,hypothetical protein,60.01,57.01,0.990568898,0.073987928,PMM0307
PMM0309,Pollen allergen,0.01,4.01,1.0,-8.647458426,PMM0309
PMM0310,carbohydrate kinase,30.01,81.01,0.950859007,-1.432656689,PMM0310
PMM0311,S-adenosylmethionine synthetase,150.01,375.01,1.0,-1.32187039,PMM0311
PMM0312,30S ribosomal protein S1,284.01,590.01,1.0,-1.054797679,PMM0312
PMM0313,transcriptional regulator NrdR,123.01,312.01,0.542025665,-1.342816665,PMM0313
PMM0314,photosystem II reaction center protein T,133.01,301.01,0.537266904,-1.178276701,PMM0314
PMM0315,photosystem II PsbB protein (CP47),1238.01,3348.01,1.0,-1.435280869,PMM0315
PMM0316,ferredoxin,52.01,99.01,0.5904093,-0.928785207,PMM0316
PMM0317,photosystem II reaction center protein M,138.01,109.01,1.0,0.34031232,PMM0317
PMM0319,hypothetical protein,17.01,41.01,0.540872767,-1.269592603,PMM0319
PMM0320,cell division topological specificity factor MinE,81.01,140.01,0.47501499,-0.789357961,PMM0320
PMM0321,septum site-determining protein MinD,78.01,70.01,0.666511633,0.156098066,PMM0321
PMM0322,septum site-determining protein,14.01,48.01,0.503042577,-1.77687798,PMM0322
PMM0323,hypothetical protein,9.01,24.01,0.516798532,-1.414036392,PMM0323
PMM0324,carboxyl-terminal protease,165.01,323.01,0.957314365,-0.969025372,PMM0324
PMM0325,cytochrome b6,939.01,2613.01,0.205690041,-1.476500219,PMM0325
PMM0327,neutral invertase-like protein,105.01,127.01,1.0,-0.27441537,PMM0327
PMM0328,formamidopyrimidine-DNA glycosylase,75.01,131.01,1.0,-0.80452209,PMM0328
PMM0329,photosystem I reaction center subunit IV,968.01,1914.01,0.957697809,-0.983504511,PMM0329
PMM0330,LysM domain-containing protein,80.01,192.01,1.0,-1.262929219,PMM0330
PMM0332,rhomboid family protein,0.01,0.01,1.0,0.0,PMM0332
PMM0333,GCN5-like N-acetyltransferase,16.01,6.01,0.236291809,1.413536412,PMM0333
PMM0334,hypothetical protein,45.01,101.01,0.541938041,-1.166180657,PMM0334
PMM0335,NADH-plastoquinone oxidoreductase chain 5,44.01,40.01,1.0,0.137470743,PMM0335
PMM0336,plastoquinol terminal oxidase,254.01,140.01,0.167340851,0.859355422,PMM0336
PMM0337,hypothetical protein,0.01,3.01,1.0,-8.233619677,PMM0337
PMM0338,hypothetical protein,327.01,140.01,0.064228107,1.223804881,PMM0338
PMM0339,phytoene dehydrogenase,10.01,8.01,1.0,0.321567826,PMM0339
PMM0340,hypothetical protein,0.01,1.01,1.0,-6.658211483,PMM0340
PMM0342,helper component proteinase,0.01,4.01,1.0,-8.647458426,PMM0342
PMM0343,twin-arginine translocation protein TatA,31.01,106.01,1.0,-1.773394931,PMM0343
PMM0346,hypothetical protein,73.01,56.01,1.0,0.382409652,PMM0346
PMM0347,hypothetical protein,0.01,7.01,1.0,-9.453270634,PMM0347
PMM0348,spectrin repeat-containing protein,255.01,259.01,0.875349121,-0.022453977,PMM0348
PMM0350,TIR domain-containing protein,0.01,4.01,1.0,-8.647458426,PMM0350
PMM0351,"small, acid-soluble spore proteins, a",0.01,3.01,1.0,-8.233619677,PMM0351
PMM0352,abortive infection protein,0.01,5.01,1.0,-8.968666793,PMM0352
PMM0353,glycosyl transferase family protein,3.01,4.01,1.0,-0.41383875,PMM0353
PMM0354,glycosyl transferase,0.01,10.01,1.0,-9.967226259,PMM0354
PMM0355,hypothetical protein,198.01,321.01,1.0,-0.697044949,PMM0355
