gene_names,gene,locus_tag_ncbi,source,start,end,strand,Note,exception,inference,product,protein_id,gene_synonym,locus_tag,ec_numbers
DEH24_12670,,DEH24_12670,Protein Homology,5431,6444,+,,,COORDINATES: protein motif:HMM:PF12625.5,hypothetical protein,HBY40269.1,,DEH24_12670,
DEH24_12675,,DEH24_12675,Protein Homology,6554,8179,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019950535.1,lactate permease,HBY40270.1,,DEH24_12675,
DEH24_12680,,DEH24_12680,Protein Homology,8204,9139,-,,,COORDINATES: protein motif:HMM:PF01738.16,esterase,HBY40271.1,,DEH24_12680,
DEH24_12685,,DEH24_12685,Protein Homology,9268,9912,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977444.1,MBL fold metallo-hydrolase,HBY40272.1,,DEH24_12685,
DEH24_12690,,DEH24_12690,Protein Homology,10028,10393,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_005435480.1,hypothetical protein,HBY40273.1,,DEH24_12690,
DEH24_12695,,DEH24_12695,Protein Homology,10679,11887,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008842622.1,MFS transporter,HBY40274.1,,DEH24_12695,
DEH24_12700,,DEH24_12700,Protein Homology,12090,13172,+,,,COORDINATES: protein motif:HMM:PF04966.10,hypothetical protein,HBY40275.1,,DEH24_12700,
DEH24_12705,,DEH24_12705,Protein Homology,13246,13678,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008989060.1,arsenical-resistance protein,HBY40276.1,,DEH24_12705,
DEH24_08415,,DEH24_08415,Protein Homology,1,90,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_005464874.1,YebC/PmpR family DNA-binding transcriptional regulator,HBY39426.1,,DEH24_08415,
DEH24_08420,,DEH24_08420,Protein Homology,164,1267,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997405.1,cell division protein ZapE,HBY39427.1,,DEH24_08420,
DEH24_08425,,DEH24_08425,Protein Homology,1567,2007,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948358.1,DUF1043 domain-containing protein,HBY39428.1,,DEH24_08425,
DEH24_08430,,DEH24_08430,Protein Homology,2088,3452,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011573462.1,DegQ family serine endoprotease,HBY39429.1,,DEH24_08430,
DEH24_08435,,DEH24_08435,Protein Homology,3615,4673,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517353.1,PDZ domain-containing protein,HBY39430.1,,DEH24_08435,
murA,murA,DEH24_08440,Protein Homology,5412,6674,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006009516.1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,HBY39431.1,,DEH24_08440,
DEH24_08445,,DEH24_08445,Protein Homology,6693,6950,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011573465.1,BolA family transcriptional regulator,HBY39432.1,,DEH24_08445,
DEH24_08450,,DEH24_08450,Protein Homology,6956,7267,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982732.1,STAS domain-containing protein,HBY39433.1,,DEH24_08450,
DEH24_08455,,DEH24_08455,Protein Homology,7264,7902,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013785350.1,toluene tolerance protein,HBY39434.1,,DEH24_08455,
mlaD,mlaD,DEH24_08460,Protein Homology,7999,8469,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948351.1,outer membrane lipid asymmetry maintenance protein MlaD,HBY39435.1,,DEH24_08460,
DEH24_08465,,DEH24_08465,Protein Homology,8484,8634,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011573469.1,ABC transporter permease,HBY39436.1,,DEH24_08465,
DEH24_00400,,DEH24_00400,Protein Homology,1,465,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007106160.1,pseudaminic acid synthase,HBY37840.1,,DEH24_00400,
pseF,pseF,DEH24_00405,Protein Homology,471,1160,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006008482.1,pseudaminic acid cytidylyltransferase,HBY37841.1,,DEH24_00405,
pseC,pseC,DEH24_00410,Protein Homology,1157,2302,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007623171.1,UDP-4-amino-4%2C6-dideoxy-N-acetyl-beta-L-altrosamine transaminase,HBY37842.1,,DEH24_00410,
DEH24_00415,,DEH24_00415,Protein Homology,2299,2818,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007637845.1,UDP-N-acetylglucosamine 4%2C6-dehydratase (inverting),HBY37843.1,,DEH24_00415,
DEH24_19300,,DEH24_19300,Protein Homology,1,1770,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012518306.1,choline transporter,HBY41585.1,,DEH24_19300,
DEH24_19305,,DEH24_19305,Protein Homology,2051,4771,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014998208.1,TonB-dependent receptor,HBY41586.1,,DEH24_19305,
DEH24_19310,,DEH24_19310,Protein Homology,4847,6847,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018981940.1,hypothetical protein,HBY41587.1,,DEH24_19310,
DEH24_19315,,DEH24_19315,Protein Homology,6858,7670,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012518191.1,kinase/pyrophosphorylase,HBY41588.1,,DEH24_19315,
DEH24_19320,,DEH24_19320,Protein Homology,7862,9181,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007991658.1,phosphoenolpyruvate synthase,HBY41589.1,,DEH24_19320,
DEH24_19325,,DEH24_19325,Protein Homology,9427,9649,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007991658.1,hypothetical protein,HBY41590.1,,DEH24_19325,
DEH24_19330,,DEH24_19330,Protein Homology,9970,10236,+,catalyzes the formation of phosphoenolpyruvate from pyruvate,,COORDINATES: similar to AA sequence:RefSeq:WP_007991658.1,phosphoenolpyruvate synthase,HBY41591.1,,DEH24_19330,2.7.9.2
DEH24_19335,,DEH24_19335,Protein Homology,10623,10805,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006003392.1,hypothetical protein,HBY41592.1,,DEH24_19335,
DEH24_02420,,DEH24_02420,Protein Homology,1,825,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012518653.1,hypothetical protein,HBY38240.1,,DEH24_02420,
DEH24_02425,,DEH24_02425,Protein Homology,825,1661,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008844683.1,ATP-binding protein,HBY38241.1,,DEH24_02425,
cysK,cysK,DEH24_02430,Protein Homology,1854,2819,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011575299.1,cysteine synthase A,HBY38242.1,,DEH24_02430,
DEH24_02435,,DEH24_02435,Protein Homology,2946,3398,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015067356.1,hypothetical protein,HBY38243.1,,DEH24_02435,
DEH24_02440,,DEH24_02440,Protein Homology,3426,4268,-,,,COORDINATES: protein motif:HMM:PF07285.9,DUF1444 domain-containing protein,HBY38244.1,,DEH24_02440,
DEH24_02445,,DEH24_02445,GeneMarkS+,4281,5351,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY38245.1,,DEH24_02445,
DEH24_02450,,DEH24_02450,Protein Homology,5348,5833,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018997651.1,cupin,HBY38246.1,,DEH24_02450,
DEH24_02455,,DEH24_02455,Protein Homology,5929,6282,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019575801.1,cytochrome C552,HBY38247.1,,DEH24_02455,
DEH24_01350,,DEH24_01350,Protein Homology,1,470,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014107894.1,magnesium transporter,HBY38029.1,,DEH24_01350,
DEH24_01355,,DEH24_01355,Protein Homology,771,1216,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014107894.1,magnesium transporter,HBY38030.1,,DEH24_01355,
DEH24_01360,,DEH24_01360,GeneMarkS+,1467,3461,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY38031.1,,DEH24_01360,
DEH24_01365,,DEH24_01365,Protein Homology,3458,4189,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008301969.1,XRE family transcriptional regulator,HBY38032.1,,DEH24_01365,
DEH24_17400,,DEH24_17400,Protein Homology,1,163,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014950105.1,hypothetical protein,HBY41207.1,,DEH24_17400,
lepB,lepB,DEH24_17405,Protein Homology,163,1065,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007637689.1,signal peptidase I,HBY41208.1,,DEH24_17405,
DEH24_17410,,DEH24_17410,Protein Homology,1065,1748,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007637691.1,ribonuclease III,HBY41209.1,,DEH24_17410,
DEH24_17415,,DEH24_17415,Protein Homology,1741,2676,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014108094.1,GTPase Era,HBY41210.1,,DEH24_17415,
pdxH,pdxH,DEH24_17420,Protein Homology,2697,3335,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517528.1,pyridoxamine 5'-phosphate oxidase,HBY41211.1,,DEH24_17420,
DEH24_03260,,DEH24_03260,Protein Homology,1,456,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012519734.1,porin family protein,HBY38408.1,,DEH24_03260,
DEH24_03265,,DEH24_03265,Protein Homology,766,1590,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007642336.1,endonuclease VIII,HBY38409.1,,DEH24_03265,
DEH24_03270,,DEH24_03270,Protein Homology,1612,2193,-,,,COORDINATES: protein motif:HMM:PF04338.10,hypothetical protein,HBY38410.1,,DEH24_03270,
DEH24_03275,,DEH24_03275,Protein Homology,2310,3197,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006758655.1,LysR family transcriptional regulator,HBY38411.1,,DEH24_03275,
DEH24_03280,,DEH24_03280,GeneMarkS+,3369,3506,+,,,COORDINATES: ab initio prediction:GeneMarkS+,membrane-bound O-acyltransferase family protein,HBY38412.1,,DEH24_03280,
DEH24_16630,,DEH24_16630,Protein Homology,1,335,-,catalyzes the formation of 3-phosphonooxypyruvate from 3-phospho-D-glycerate in serine biosynthesis%3B can also reduce alpha ketoglutarate to form 2-hydroxyglutarate,,COORDINATES: similar to AA sequence:RefSeq:WP_008165902.1,phosphoglycerate dehydrogenase,HBY41054.1,,DEH24_16630,
DEH24_16635,,DEH24_16635,Protein Homology,507,1160,-,catalyzes D-ribose 5-phosphate --> D-ribulose 5-phosphate in the nonoxidative branch of the pentose phosphate pathway,,COORDINATES: similar to AA sequence:RefSeq:WP_010181230.1,ribose-5-phosphate isomerase RpiA,HBY41055.1,,DEH24_16635,5.3.1.6
DEH24_16640,,DEH24_16640,Protein Homology,1234,1836,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_005347801.1,5-formyltetrahydrofolate cyclo-ligase,HBY41056.1,,DEH24_16640,
DEH24_16645,,DEH24_16645,Protein Homology,1894,2838,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013782977.1,nucleoside hydrolase,HBY41057.1,,DEH24_16645,
DEH24_16650,,DEH24_16650,Protein Homology,2867,3763,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006994281.1,ribokinase,HBY41058.1,,DEH24_16650,
DEH24_16660,,DEH24_16660,Protein Homology,4222,4788,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013782979.1,YecA family protein,HBY41059.1,,DEH24_16660,
DEH24_16665,,DEH24_16665,Protein Homology,4801,6064,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014950377.1,Xaa-Pro aminopeptidase,HBY41060.1,,DEH24_16665,
DEH24_14110,,DEH24_14110,Protein Homology,1,1688,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977638.1,DNA ligase-associated DEXH box helicase,HBY40554.1,,DEH24_14110,
pdeM,pdeM,DEH24_14115,Protein Homology,1705,2433,+,,,COORDINATES: protein motif:HMM:TIGR04123,ligase-associated DNA damage response endonuclease PdeM,HBY40555.1,,DEH24_14115,
DEH24_14120,,DEH24_14120,Protein Homology,2437,2819,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007984411.1,acyltransferase,HBY40556.1,,DEH24_14120,
DEH24_07820,,DEH24_07820,Protein Homology,1,255,+,catalyzes the formation of 3-phosphonooxypyruvate from 3-phospho-D-glycerate in serine biosynthesis%3B can also reduce alpha ketoglutarate to form 2-hydroxyglutarate,,COORDINATES: similar to AA sequence:RefSeq:WP_008073471.1,phosphoglycerate dehydrogenase,HBY39307.1,,DEH24_07820,
DEH24_07825,,DEH24_07825,Protein Homology,598,768,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082978.1,phosphoglycerate dehydrogenase,HBY39308.1,,DEH24_07825,
DEH24_07830,,DEH24_07830,Protein Homology,1072,1452,+,catalyzes the formation of 3-phosphonooxypyruvate from 3-phospho-D-glycerate in serine biosynthesis%3B can also reduce alpha ketoglutarate to form 2-hydroxyglutarate,,COORDINATES: similar to AA sequence:RefSeq:WP_008073471.1,phosphoglycerate dehydrogenase,HBY39309.1,,DEH24_07830,
DEH24_07835,,DEH24_07835,Protein Homology,1763,1921,+,catalyzes the formation of 3-phosphonooxypyruvate from 3-phospho-D-glycerate in serine biosynthesis%3B can also reduce alpha ketoglutarate to form 2-hydroxyglutarate,,COORDINATES: similar to AA sequence:RefSeq:WP_012519409.1,phosphoglycerate dehydrogenase,HBY39310.1,,DEH24_07835,
DEH24_07840,,DEH24_07840,Protein Homology,2044,2781,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006994453.1,DUF481 domain-containing protein,HBY39311.1,,DEH24_07840,
DEH24_07845,,DEH24_07845,Protein Homology,2891,3700,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015067798.1,DUF481 domain-containing protein,HBY39312.1,,DEH24_07845,
DEH24_07850,,DEH24_07850,Protein Homology,3739,4557,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013782970.1,HDOD domain-containing protein,HBY39313.1,,DEH24_07850,
DEH24_07855,,DEH24_07855,Protein Homology,4672,4950,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012519413.1,DUF1289 domain-containing protein,HBY39314.1,,DEH24_07855,
DEH24_07860,,DEH24_07860,Protein Homology,5026,5736,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015067801.1,hypothetical protein,HBY39315.1,,DEH24_07860,
DEH24_07865,,DEH24_07865,Protein Homology,5804,6751,-,,,COORDINATES: protein motif:HMM:PF13673.5,MarR family transcriptional regulator,HBY39316.1,,DEH24_07865,
DEH24_07870,,DEH24_07870,Protein Homology,6906,7818,-,E3 component of pyruvate and 2-oxoglutarate dehydrogenase complex%3B catalyzes the oxidation of dihydrolipoamide to lipoamide,,COORDINATES: similar to AA sequence:RefSeq:WP_012519420.1,dihydrolipoyl dehydrogenase,HBY39317.1,,DEH24_07870,1.8.1.4
bamB,bamB,DEH24_07640,Protein Homology,1,786,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018983039.1,outer membrane protein assembly factor BamB,HBY39271.1,,DEH24_07640,
der,der,DEH24_07645,Protein Homology,884,2329,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011575866.1,ribosome biogenesis GTPase Der,HBY39272.1,,DEH24_07645,
DEH24_07650,,DEH24_07650,GeneMarkS+,2429,3403,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY39273.1,,DEH24_07650,
DEH24_07655,,DEH24_07655,Protein Homology,3520,4893,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007105353.1,exodeoxyribonuclease VII large subunit,HBY39274.1,,DEH24_07655,
DEH24_07660,,DEH24_07660,Protein Homology,4997,6466,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007990108.1,IMP dehydrogenase,HBY39275.1,,DEH24_07660,
DEH24_07665,,DEH24_07665,Protein Homology,6538,8115,+,,,COORDINATES: similar to AA sequence:RefSeq:YP_856521.1,glutamine-hydrolyzing GMP synthase,HBY39276.1,,DEH24_07665,
DEH24_07670,,DEH24_07670,Protein Homology,8340,10325,+,,,COORDINATES: protein motif:HMM:PF01757.20,acyltransferase,HBY39277.1,,DEH24_07670,
DEH24_07675,,DEH24_07675,Protein Homology,10486,12105,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014950156.1,chemotaxis protein,HBY39278.1,,DEH24_07675,
DEH24_07680,,DEH24_07680,Protein Homology,12157,12855,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007642067.1,histone deacetylase,HBY39279.1,,DEH24_07680,
DEH24_20890,,DEH24_20890,Protein Homology,1,1225,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018984256.1,beta-glucosidase,HBY41898.1,,DEH24_20890,
DEH24_20895,,DEH24_20895,Protein Homology,1495,2490,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018984156.1,aldo/keto reductase,HBY41899.1,,DEH24_20895,
DEH24_20900,,DEH24_20900,Protein Homology,2483,3157,-,catalyzes the formation of ribose 5-phosphate and xylulose 5-phosphate from sedoheptulose 7-phosphate and glyceraldehyde 3-phosphate%3B can transfer ketol groups between several groups%3B in Escherichia coli there are two tkt genes%2C tktA expressed during exponential growth and the tktB during stationary phase,,COORDINATES: similar to AA sequence:RefSeq:WP_016706884.1,transketolase,HBY41900.1,,DEH24_20900,2.2.1.1
DEH24_20905,,DEH24_20905,Protein Homology,3401,3532,-,,,COORDINATES: similar to AA sequence:RefSeq:NP_716559.1,hypothetical protein,HBY41901.1,,DEH24_20905,
DEH24_20910,,DEH24_20910,Protein Homology,3869,4480,-,catalyzes the formation of ribose 5-phosphate and xylulose 5-phosphate from sedoheptulose 7-phosphate and glyceraldehyde 3-phosphate%3B can transfer ketol groups between several groups%3B in Escherichia coli there are two tkt genes%2C tktA expressed during exponential growth and the tktB during stationary phase,,COORDINATES: similar to AA sequence:RefSeq:WP_008846277.1,transketolase,HBY41902.1,,DEH24_20910,2.2.1.1
DEH24_16050,,DEH24_16050,Protein Homology,1,806,-,,,COORDINATES: protein motif:HMM:PF01497.16,hemin ABC transporter substrate-binding protein,HBY40938.1,,DEH24_16050,
DEH24_16055,,DEH24_16055,Protein Homology,865,1914,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015067984.1,hypothetical protein,HBY40939.1,,DEH24_16055,
DEH24_16060,,DEH24_16060,Protein Homology,1978,3933,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015067985.1,TonB-dependent receptor,HBY40940.1,,DEH24_16060,
hypF,hypF,DEH24_02505,Protein Homology,1,2247,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013032393.1,carbamoyltransferase HypF,HBY38257.1,,DEH24_02505,
DEH24_02510,,DEH24_02510,Protein Homology,2505,3581,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007019928.1,uptake hydrogenase small subunit,HBY38258.1,,DEH24_02510,
DEH24_02515,,DEH24_02515,Protein Homology,3578,4222,+,,,COORDINATES: similar to AA sequence:RefSeq:YP_353568.1,hydrogenase 1 large subunit,HBY38259.1,,DEH24_02515,
DEH24_10345,,DEH24_10345,Protein Homology,1,1165,+,,,COORDINATES: protein motif:HMM:PF00989.23,hypothetical protein,HBY39808.1,,DEH24_10345,
DEH24_10350,,DEH24_10350,Protein Homology,1162,1761,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006992644.1,peptidylprolyl isomerase,HBY39809.1,,DEH24_10350,
DEH24_10355,,DEH24_10355,Protein Homology,1771,2946,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948223.1,23S rRNA (guanine(1835)-N(2))-methyltransferase,HBY39810.1,,DEH24_10355,
DEH24_10360,,DEH24_10360,Protein Homology,2976,3626,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982861.1,alpha-ketoglutarate-dependent dioxygenase AlkB,HBY39811.1,,DEH24_10360,
DEH24_10365,,DEH24_10365,Protein Homology,3593,3910,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013785476.1,transcriptional regulator,HBY39812.1,,DEH24_10365,
DEH24_10370,,DEH24_10370,Protein Homology,3918,4862,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006006348.1,transporter,HBY39813.1,,DEH24_10370,
DEH24_10380,,DEH24_10380,Protein Homology,6416,6706,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007020208.1,antibiotic biosynthesis monooxygenase,HBY39814.1,,DEH24_10380,
DEH24_10385,,DEH24_10385,GeneMarkS+,6703,7191,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY39815.1,,DEH24_10385,
DEH24_10390,,DEH24_10390,Protein Homology,7181,8746,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007107302.1,SulP family inorganic anion transporter,HBY39816.1,,DEH24_10390,
DEH24_10395,,DEH24_10395,GeneMarkS+,8820,9080,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY39817.1,,DEH24_10395,
DEH24_10400,,DEH24_10400,Protein Homology,9303,10313,-,,,COORDINATES: protein motif:HMM:PF00144.22,hypothetical protein,HBY39818.1,,DEH24_10400,
DEH24_10405,,DEH24_10405,Protein Homology,10502,12853,-,,,COORDINATES: protein motif:HMM:TIGR00976,hypothetical protein,HBY39819.1,,DEH24_10405,
DEH24_10410,,DEH24_10410,Protein Homology,12967,13872,+,,,COORDINATES: protein motif:HMM:PF00486.26,hypothetical protein,HBY39820.1,,DEH24_10410,
DEH24_10415,,DEH24_10415,GeneMarkS+,14169,15337,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY39821.1,,DEH24_10415,
DEH24_10420,,DEH24_10420,Protein Homology,15434,16060,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997294.1,thiol:disulfide interchange protein DsbA/DsbL,HBY39822.1,,DEH24_10420,
DEH24_10425,,DEH24_10425,Protein Homology,16167,18080,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982845.1,TonB-dependent receptor,HBY39823.1,,DEH24_10425,
DEH24_10430,,DEH24_10430,Protein Homology,18421,19398,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_010365401.1,serine/threonine protein kinase,HBY39824.1,,DEH24_10430,
ccoG,ccoG,DEH24_10435,Protein Homology,19410,20843,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006994203.1,cytochrome c oxidase accessory protein CcoG,HBY39825.1,,DEH24_10435,
DEH24_10440,,DEH24_10440,GeneMarkS+,21281,21673,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY39826.1,,DEH24_10440,
DEH24_10445,,DEH24_10445,Protein Homology,21811,22350,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997299.1,DUF3016 domain-containing protein,HBY39827.1,,DEH24_10445,
DEH24_10450,,DEH24_10450,GeneMarkS+,22781,26428,+,,,COORDINATES: ab initio prediction:GeneMarkS+,endonuclease/exonuclease/phosphatase,HBY39828.1,,DEH24_10450,
DEH24_10455,,DEH24_10455,Protein Homology,26545,27450,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997300.1,acyl-CoA dehydrogenase,HBY39829.1,,DEH24_10455,
DEH24_09020,,DEH24_09020,Protein Homology,1,471,-,,,COORDINATES: protein motif:HMM:PF04191.11,isoprenylcysteine carboxylmethyltransferase family protein,HBY39547.1,,DEH24_09020,
DEH24_09025,,DEH24_09025,Protein Homology,592,945,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018981883.1,Fis family transcriptional regulator,HBY39548.1,,DEH24_09025,
DEH24_09030,,DEH24_09030,Protein Homology,958,2310,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008844379.1,MATE family efflux transporter,HBY39549.1,,DEH24_09030,
DEH24_09035,,DEH24_09035,Protein Homology,2313,2561,-,,,COORDINATES: protein motif:HMM:PF03454.13,hypothetical protein,HBY39550.1,,DEH24_09035,
DEH24_21480,,DEH24_21480,Protein Homology,60,317,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019675011.1,TIGR03643 family protein,HBY42013.1,,DEH24_21480,
DEH24_21485,,DEH24_21485,Protein Homology,381,1853,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011573089.1,deoxyribodipyrimidine photolyase,HBY42014.1,,DEH24_21485,
DEH24_21490,,DEH24_21490,Protein Homology,1863,2354,-,,,COORDINATES: protein motif:HMM:PF13975.4,hypothetical protein,HBY42015.1,,DEH24_21490,
DEH24_21495,,DEH24_21495,GeneMarkS+,2651,3016,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY42016.1,,DEH24_21495,
DEH24_21500,,DEH24_21500,Protein Homology,3321,4160,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014949455.1,patatin family protein,HBY42017.1,,DEH24_21500,
DEH24_21505,,DEH24_21505,Protein Homology,4181,5578,-,,,COORDINATES: protein motif:HMM:PF02321.16,TolC family protein,HBY42018.1,,DEH24_21505,
DEH24_19965,,DEH24_19965,Protein Homology,224,1408,-,,,COORDINATES: protein motif:HMM:PF12833.5,AraC family transcriptional regulator,HBY41717.1,,DEH24_19965,
DEH24_19970,,DEH24_19970,Protein Homology,1436,4153,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015067966.1,beta-galactosidase,HBY41718.1,,DEH24_19970,
DEH24_19975,,DEH24_19975,Protein Homology,4343,5335,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305009.1,gfo/Idh/MocA family oxidoreductase,HBY41719.1,,DEH24_19975,
ileS,ileS,DEH24_16570,Protein Homology,1,1424,-,IleRS%3B catalyzes the formation of isoleucyl-tRNA(Ile) from isoleucine and tRNA(Ile)%3B since isoleucine and other amino acids such as valine are similar%2C there are additional editing function in this enzyme%3B one is involved in hydrolysis of activated valine-AMP and the other is involved in deacylation of mischarged Val-tRNA(Ile)%3B there are two active sites%2C one for aminoacylation and one for editing%3B class-I aminoacyl-tRNA synthetase family type 1 subfamily%3B some organisms carry two different copies of this enzyme,,COORDINATES: similar to AA sequence:RefSeq:WP_013753167.1,isoleucine--tRNA ligase,HBY41042.1,,DEH24_16570,6.1.1.5
DEH24_16575,,DEH24_16575,Protein Homology,1475,2410,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007105296.1,bifunctional riboflavin kinase/FAD synthetase,HBY41043.1,,DEH24_16575,
DEH24_16580,,DEH24_16580,GeneMarkS+,2486,2692,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41044.1,,DEH24_16580,
DEH24_20150,,DEH24_20150,Protein Homology,1,261,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011235144.1,30S ribosomal protein S17,HBY41754.1,,DEH24_20150,
DEH24_20155,,DEH24_20155,Protein Homology,398,1819,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011235143.1,hypothetical protein,HBY41755.1,,DEH24_20155,
DEH24_20160,,DEH24_20160,Protein Homology,1870,2244,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006956450.1,Na+/H+ antiporter subunit G,HBY41756.1,,DEH24_20160,
DEH24_20165,,DEH24_20165,Protein Homology,2257,2526,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006956449.1,K+/H+ antiporter subunit F,HBY41757.1,,DEH24_20165,
DEH24_20170,,DEH24_20170,Protein Homology,2520,3008,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011235140.1,Na+/H+ antiporter subunit E,HBY41758.1,,DEH24_20170,
DEH24_20175,,DEH24_20175,Protein Homology,3001,4533,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011235139.1,monovalent cation/H+ antiporter subunit D,HBY41759.1,,DEH24_20175,
