Accession,Protein Name,log2_fold_change,adjusted_p_value,n_measurements,COG group,Cellular location,sources
PMM1578,psaD Photosystem I protein PsaD 1508460:1508882 reverse,0.45890690685086627,0.0987,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM1581,CDS MRP protein homolog 1511636:1512703 reverse,-0.036969850498809846,0.7339,1,D,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM1588,CDS possible Conserved carboxylase domain 1517428:1518042 reverse,0.3756233439289034,0.1181,1,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115
PMM1596,icd Isocitrate dehydrogenase 1524255:1525679 forward,0.10165204341057608,0.5014,2,C,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM1610,"tktA, cbbT Transketolase 1539744:1541750 forward",-0.07567203831089962,0.404,1,G,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM1619,CDS two-component response regulator 1548994:1549740 reverse,-0.18508049069448126,0.3434,1,T&K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115
PMM1622,mreB Rod shape determining protein 1551207:1552259 reverse,-0.04455110250470909,0.4567,2,D,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM1634,"gyrB DNA gyrase, subunit B 1560853:1562820 reverse",0.060864763688298525,0.9689,2,L,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM1637,CDS possible transcriptional regulator 1564595:1565566 forward,0.11756206925697886,0.5783,1,K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115
PMM1639,secA Preprotein translocase SecA subunit 1566315:1569146 reverse,0.00657496247777143,0.559,2,R,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM1643,"ribH Putative 6,7-dimethyl-8-ribityllumazine synthase 1570887:1571363 reverse",-0.08024042414495867,0.8829,1,H,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM1645,"mutS,fdv putative DNA mismatch repair protein 1571753:1574500 forward",0.0692897127155347,0.7647,1,L,unknown,iTRAQ2 protein list :: Ratio 115:114
PMM1650,CDS conserved hypothetical protein 1580095:1580904 reverse,0.1742012476830584,0.0878,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM1655,CDS FKBP-type peptidyl-prolyl cis-trans isomerase 1586108:1587529 forward,0.02856915219677092,0.8926,1,O,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM1665,sqdB sulfolipid (UDP-sulfoquinovose) biosynthesis 1596609:1597802 forward,-0.0676450917468032,0.1354,2,M&G,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM1666,sqdX SqdX 1597831:1598964 forward,-0.12752580294878768,0.2714,1,M,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM1673,"rpl9, rplI 50S ribosomal protein L9 1605752:1606207 forward",0.03563545806449652,0.8578,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM1682,valS Valyl-tRNA synthetase 1614148:1616904 reverse,0.18345475417494217,0.0722,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115
PMM1689,pyrG Glutamine amidotransferase class-I:CTP synthase 1623197:1624807 forward,0.011576035401746213,0.8629,2,F,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM1700,acnB Aconitate hydratase B 1635543:1638116 forward,-0.19429481516148867,0.1525,1,C,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM1704,"dnaK2 Molecular chaperone DnaK2, heat shock protein 1641476:1643380 reverse",0.24972020189312588,0.2062,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM1706,"rps6, rpsF 30S ribosomal protein S6 1644465:1644929 forward",0.42932136994144154,0.2756,1,J,unknown,iTRAQ1 protein list :: Ratio 116:115
