Accession,Protein Name,log2_fold_change,adjusted_p_value,n_measurements,COG group,Cellular location,sources,resolved_locus_tag,resolution_method
PMM1158,psbC Photosystem II PsbC protein (CP43) 1108673:1110055 forward,-0.6270021574616954,0.1292,4,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1158,locus_tag:Accession
PMM1164,"futA,sfuA, idiA putative iron ABC transporter, substrate binding 1116122:1117144 reverse",0.8300915623099541,0.0632,2,P,periplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1164,locus_tag:Accession
PMM1166,CDS conserved hypothetical protein 1118243:1118632 reverse,-0.2793050590143189,,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1166,locus_tag:Accession
PMM1171,isiB Flavodoxin 1121029:1121553 reverse,-0.3518571729842594,,2,C,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1171,locus_tag:Accession
PMM1180,sppA signal peptide peptidase SppA (protease IV) 1128287:1129096 forward,0.4606231789859604,0.2064,4,O&R,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1180,locus_tag:Accession
PMM1186,CDS Putative inner membrane protein; similar to 60 1131179:1132318 forward,0.2977418668981483,0.446,2,R,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1186,locus_tag:Accession
PMM1191,pnp polyribonucleotide nucleotidyltransferase 1136852:1139017 forward,-0.0587981054769564,0.45,4,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1191,locus_tag:Accession
PMM1204,"ddhA, rfbF glucose-1-phosphate cytidylyltransferase 1152143:1152910 reverse",-0.2757065574713555,0.2181,2,M&J,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1204,locus_tag:Accession
PMM1235,CDS possible N-terminal fragment of transketolase 1187097:1187927 forward,0.1862499281659929,0.5533,2,G,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1235,locus_tag:Accession
PMM1240,CDS methyltransferase 1192421:1193092 forward,-0.0741535153360588,0.8668,2,H,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1240,locus_tag:Accession
PMM1264,ftsH3 cell division protein FtsH3 1217915:1219777 reverse,0.0233083898870825,0.738,2,O,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1264,locus_tag:Accession
PMM1284,"phoH,psiH PhoH-like phosphate starvation-inducible 1233875:1234831 reverse",-0.2779258485065591,0.2521,2,T,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1284,locus_tag:Accession
PMM1294,CDS putative nickel-containing superoxide dismutase 1246173:1246643 forward,-0.0743403381970381,0.6453,2,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1294,locus_tag:Accession
PMM1301,argD Aminotransferase class-III 1253002:1254255 forward,-0.2053181142300949,0.8022,2,E,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1301,locus_tag:Accession
PMM1303,CDS conserved hypothetical protein 1255497:1256852 reverse,0.3661250164577057,0.1903,2,C,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1303,locus_tag:Accession
PMM1309,ftsZ Cell division protein FtsZ:Tubulin/FtsZ family 1262202:1263317 forward,0.834470124273297,0.0102,4,D,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1309,locus_tag:Accession
PMM1332,CDS Cytosol aminopeptidase 1282104:1283579 forward,1.0599728311570369,0.4196,2,E,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1332,locus_tag:Accession
PMM1350,CDS Pentapeptide repeats 1300763:1301341 forward,-0.4700511247017701,0.8692,4,S,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1350,locus_tag:Accession
PMM1354,serA putative D-3-phosphoglycerate dehydrogenase 1303160:1304746 reverse,0.0943514262171881,0.7659,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1354,locus_tag:Accession
PMM1401,CDS conserved hypothetical 1347131:1347412 forward,-0.3329690046560115,0.9342,4,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1401,locus_tag:Accession
PMM1405,CDS hypothetical 1350757:1350987 reverse,1.1456767184480243,0.5773,4,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1405,locus_tag:Accession
PMM1412,CDS conserved hypothetical protein 1354682:1355110 forward,0.2630162917686252,0.3292,2,S,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1412,locus_tag:Accession
PMM1416,CDS conserved hypothetical 1357735:1359819 forward,-0.0589783521682408,0.6789,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1416,locus_tag:Accession
PMM1436,groEL GroEL protein (Chaperonin cpn60) 1373640:1375274 reverse,0.7113821636051452,0.005,4,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1436,locus_tag:Accession
PMM1437,groES GroES protein (Chaperonin cpn10) 1375326:1375637 reverse,0.1617311992946861,0.8117,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1437,locus_tag:Accession
PMM1438,"atpB ATP synthase beta subunit, central region:ATP 1375858:1377318 forward",0.074903054160395,0.9788,4,C,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1438,locus_tag:Accession
PMM1451,"atpA ATP synthase alpha subunit, central region:ATP 1387064:1388581 reverse",0.1228345054658893,0.9558,4,C,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1451,locus_tag:Accession
PMM1465,purB Fumarate lyase:Adenylosuccinate lyase 1397682:1398977 forward,-0.3371124637621682,0.3416,2,F,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1465,locus_tag:Accession
PMM1483,rpoC2 RNA polymerase beta prime subunit 1413943:1418043 reverse,0.0582142322392143,0.9361,4,K,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1483,locus_tag:Accession
PMM1484,rpoC1 RNA polymerase gamma subunit 1418077:1419981 reverse,0.7273789331899319,,2,K,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1484,locus_tag:Accession
PMM1485,rpoB RNA polymerase beta subunit 1420020:1423313 reverse,0.1253640463189882,0.3296,2,K,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1485,locus_tag:Accession
PMM1492,nusA N utilization substance protein A 1428605:1430008 forward,0.1354269676239088,0.7721,2,K,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1492,locus_tag:Accession
PMM1494,infB Translation initiation factor IF-2 1430338:1433847 forward,0.0588955940548344,0.8366,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1494,locus_tag:Accession
PMM1504,pheA Chorismate mutase - Prephenate dehydratase 1443506:1444351 forward,0.2922182664477856,0.1385,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1504,locus_tag:Accession
PMM1508,tufA Elongation factor Tu 1446430:1447629 reverse,0.1106833867217836,0.9504,4,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1508,locus_tag:Accession
PMM1509,fusA Elongation factor G 1447673:1449748 reverse,0.1324260893342357,0.9383,4,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1509,locus_tag:Accession
PMM1512,"glsF, gltS Ferredoxin-dependent glutamate synthase, 1450922:1455487 forward",0.1013286548691981,0.7026,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1512,locus_tag:Accession
PMM1519,psaL Photosystem I PsaL protein (subunit XI) 1459606:1460205 reverse,-0.7391294796108399,0.5673,4,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1519,locus_tag:Accession
PMM1523,psaB Photosystem I PsaB protein 1461905:1464133 reverse,-0.8515322817156716,0.0015,2,NO COG,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1523,locus_tag:Accession
PMM1524,psaA Photosystem I PsaA protein 1464162:1466465 reverse,-0.9225799628517276,0.0002,2,NO COG,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1524,locus_tag:Accession
PMM1535,"rpoA Bacterial RNA polymerase, alpha chain 1475063:1476001 reverse",0.4571618498034741,0.4244,2,K,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1535,locus_tag:Accession
PMM1536,"rps11, rpsK 30S ribosomal protein S11 1476048:1476440 reverse",-0.2727026297638247,0.6779,2,J,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1536,locus_tag:Accession
PMM1537,"rps13, rpsM 30S ribosomal protein S13 1476489:1476854 reverse",0.9409788480871908,0.5593,4,J,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1537,locus_tag:Accession
PMM1542,"rpsE,rps5 30S ribosomal protein S5 1479422:1480042 reverse",-0.3805112569823189,0.6555,4,J,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1542,locus_tag:Accession
PMM1544,"rpl6, rplF 50S ribosomal protein L6 1480441:1480980 reverse",-0.0607758255863106,0.4007,2,J,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1544,locus_tag:Accession
PMM1548,"rpl14, rplN 50S Ribosomal protein L14 1482374:1482739 reverse",-0.2229627266654331,0.3187,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1548,locus_tag:Accession
PMM1555,"rpl2, rplB 50S ribosomal protein L2 1485158:1486021 reverse",0.1882502740112235,0.4291,2,J,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1555,locus_tag:Accession
PMM1557,"rpl4, rplD 50S ribosomal protein L4 1486333:1486965 reverse",-0.046919492336159,0.974,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1557,locus_tag:Accession
PMM1562,recA RecA bacterial DNA recombination protein 1490458:1491570 forward,0.2245766237310397,0.2815,2,L,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1562,locus_tag:Accession
PMM1570,CDS ATP:corrinoid adenosyltransferase 1498446:1499606 reverse,-0.0992260264301212,0.9343,4,H,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1570,locus_tag:Accession
PMM1575,ppc Phosphoenolpyruvate carboxylase 1502738:1505707 reverse,-0.7475261050866204,0.8612,2,C,outer membrane ,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1575,locus_tag:Accession
PMM1577,trpE Anthranilate synthase component I and chorismate 1506880:1508400 reverse,0.0773774469669008,0.9148,2,E&H,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1577,locus_tag:Accession
PMM1578,psaD Photosystem I protein PsaD 1508460:1508882 reverse,-0.0350636751623566,0.8356,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1578,locus_tag:Accession
PMM1581,CDS MRP protein homolog 1511636:1512703 reverse,0.0985333221183022,0.5144,2,D,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1581,locus_tag:Accession
PMM1588,CDS possible Conserved carboxylase domain 1517428:1518042 reverse,0.1914418190032297,0.6621,2,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1588,locus_tag:Accession
PMM1596,icd Isocitrate dehydrogenase 1524255:1525679 forward,0.313198962149128,0.3735,4,C,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1596,locus_tag:Accession
PMM1609,fabF 3-oxoacyl-[acyl-carrier-protein] synthase II 1538457:1539701 forward,-0.6572177180438722,,1,I & Q,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114,PMM1609,locus_tag:Accession
PMM1610,"tktA, cbbT Transketolase 1539744:1541750 forward",0.2278492876571211,0.0937,2,G,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1610,locus_tag:Accession
PMM1619,CDS two-component response regulator 1548994:1549740 reverse,0.664107075958376,0.5832,3,T&K,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114,PMM1619,locus_tag:Accession
PMM1622,mreB Rod shape determining protein 1551207:1552259 reverse,0.2920929710917367,0.6445,4,D,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1622,locus_tag:Accession
PMM1634,"gyrB DNA gyrase, subunit B 1560853:1562820 reverse",-0.0699150639264878,0.7955,4,L,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1634,locus_tag:Accession
PMM1637,CDS possible transcriptional regulator 1564595:1565566 forward,-0.0797113422161083,0.9226,2,K,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1637,locus_tag:Accession
PMM1639,secA Preprotein translocase SecA subunit 1566315:1569146 reverse,0.2700049549835022,0.7931,4,R,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1639,locus_tag:Accession
PMM1643,"ribH Putative 6,7-dimethyl-8-ribityllumazine synthase 1570887:1571363 reverse",-0.1680936177221004,0.7326,2,H,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1643,locus_tag:Accession
PMM1645,"mutS,fdv putative DNA mismatch repair protein 1571753:1574500 forward",0.0745029772401242,0.9589,2,L,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1645,locus_tag:Accession
PMM1650,CDS conserved hypothetical protein 1580095:1580904 reverse,0.3936099400756104,0.3729,4,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1650,locus_tag:Accession
PMM1655,CDS FKBP-type peptidyl-prolyl cis-trans isomerase 1586108:1587529 forward,0.0036066221454127,0.5515,2,O,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1655,locus_tag:Accession
PMM1665,sqdB sulfolipid (UDP-sulfoquinovose) biosynthesis 1596609:1597802 forward,-0.1543787633707219,0.9753,4,M&G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1665,locus_tag:Accession
PMM1666,sqdX SqdX 1597831:1598964 forward,0.0226828447226693,0.8768,2,M,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1666,locus_tag:Accession
PMM1673,"rpl9, rplI 50S ribosomal protein L9 1605752:1606207 forward",0.1307009210909735,0.782,4,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1673,locus_tag:Accession
PMM1682,valS Valyl-tRNA synthetase 1614148:1616904 reverse,0.1493640631201781,0.6212,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1682,locus_tag:Accession
PMM1689,pyrG Glutamine amidotransferase class-I:CTP synthase 1623197:1624807 forward,-0.0190885279706167,0.8765,4,F,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1689,locus_tag:Accession
PMM1700,acnB Aconitate hydratase B 1635543:1638116 forward,-0.1267044692642723,0.7475,2,C,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1700,locus_tag:Accession
PMM1704,"dnaK2 Molecular chaperone DnaK2, heat shock protein 1641476:1643380 reverse",0.1323862624195753,0.9944,4,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1704,locus_tag:Accession
PMM1706,"rps6, rpsF 30S ribosomal protein S6 1644465:1644929 forward",0.3444746865349519,0.3575,2,J,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1706,locus_tag:Accession
