ID,start,end,em_Preferred_name,em_BRITE,em_CAZy,em_COG_cat,em_GOs,em_KEGG_Module,em_KEGG_Pathway,em_KEGG_ko,em_PFAMs,em_Preferred_name,em_desc,product,uniprot_entry_name,uniprot_protein_name,uniprot_gene_name
2626312100,301302,301631,,,,S,,,,,MazG,,Alternative locus ID,"NTP pyrophosphatase, house-cleaning of non-canonical NTPs",A3PCU6_PROM0,Predicted pyrophosphatase,P9301_09481
2626312101,301634,301912,ycf19,"ko00000,ko02044",,S,,,,ko:K02221,YGGT,ycf19,Alternative locus ID,"Uncharacterized conserved protein YggT, Ycf19 family",A3PCU7_PROM0,Conserved hypothetical membrane protein,P9301_09491
2626312102,302165,302482,,,,,,,,,,,,hypothetical protein,A3PAL8_PROM0,Segregation and condensation protein A,P9301_01701
2626312103,302524,304065,ilvA,"ko00000,ko00001,ko00002,ko01000",,E,,M00570,"ko00260,ko00290,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00290,map01100,map01110,map01130,map01200,map01230",ko:K01754,"PALP,Thr_dehydrat_C",ilvA,"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA",L-threonine ammonia-lyase (EC 4.3.1.19),A3PCU9_PROM0,L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase),ilvA P9301_09511
2626312104,304182,306071,dxs,"ko00000,ko00001,ko00002,ko01000",,F,"GO:0003674,GO:0003824,GO:0005488,GO:0006629,GO:0006720,GO:0006721,GO:0006725,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008661,GO:0009058,GO:0009110,GO:0009228,GO:0009987,GO:0016114,GO:0016740,GO:0016744,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0034641,GO:0042364,GO:0042723,GO:0042724,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0046483,GO:0046872,GO:0052863,GO:0052865,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",M00096,"ko00730,ko00900,ko01100,ko01110,ko01130,map00730,map00900,map01100,map01110,map01130",ko:K01662,"DXP_synthase_N,Transket_pyr,Transketolase_C",dxs,Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP),1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7),DXS_PROM0,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS),dxs P9301_09521
2626312105,306091,306351,psaK,"ko00000,ko00001,ko00194",,S,"GO:0005575,GO:0005622,GO:0005623,GO:0008150,GO:0008152,GO:0009521,GO:0009522,GO:0009579,GO:0009987,GO:0015979,GO:0016020,GO:0016021,GO:0031224,GO:0032991,GO:0034357,GO:0042651,GO:0044237,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0098796",,"ko00195,ko01100,map00195,map01100",ko:K02698,PSI_PSAK,psaK,Photosystem I subunit X PsaK,photosystem I reaction center subunit PsaK,A3PCV1_PROM0,Photosystem I PsaK protein (Subunit X),psaK P9301_09531
2626312106,306418,306753,,,,S,,,,,DUF3593,,Alternative locus ID,Protein of unknown function (DUF3593),A3PCV2_PROM0,DUF3593 domain-containing protein,P9301_09541
2626312107,306746,307048,ycf49,,,S,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944",,,,DUF2499,ycf49,Alternative locus ID,Protein of unknown function (DUF2499),A3PCV3_PROM0,DUF2499 domain-containing protein,P9301_09551
2626312108,307053,307586,,"ko00000,ko01000",,O,,,,ko:K03564,AhpC-TSA,,Alkyl hydroperoxide reductase,Peroxiredoxin,A3PCV4_PROM0,thioredoxin-dependent peroxiredoxin (EC 1.11.1.24) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Q),P9301_09561
2626312109,307592,307828,rpmB,"br01610,ko00000,ko00001,ko00002,ko03011",,J,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",M00178,"ko03010,map03010",ko:K02902,Ribosomal_L28,rpmB,Belongs to the bacterial ribosomal protein bL28 family,LSU ribosomal protein L28P,RL28_PROM0,Large ribosomal subunit protein bL28 (50S ribosomal protein L28),rpmB rpl28 P9301_09571
2626312110,307868,309772,htpG,"ko00000,ko00001,ko01009,ko03029,ko03051,ko03110,ko04131,ko04147",,O,,,"ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418",ko:K04079,"HATPase_c,HATPase_c_3,HSP90",htpG,Chaperone protein HtpG,"Molecular chaperone, HSP90 family",A3PCV6_PROM0,Heat shock protein HtpG,htpG P9301_09581
2626312111,309890,311041,hisZ,"ko00000,ko00001,ko00002",,E,"GO:0000105,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009987,GO:0016053,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0046483,GO:0052803,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",M00026,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",ko:K02502,tRNA-synt_His,hisZ,Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine,Histidyl-tRNA synthetase,A3PCV7_PROM0,Possible Histidyl-tRNA synthetase,hisZ P9301_09591
2626312112,311060,311908,suhB,"ko00000,ko00001,ko00002,ko01000",,G,"GO:0003674,GO:0003824,GO:0005488,GO:0005975,GO:0006020,GO:0006066,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008934,GO:0009056,GO:0009987,GO:0016310,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019637,GO:0019751,GO:0023052,GO:0030258,GO:0042578,GO:0043167,GO:0043169,GO:0043647,GO:0044237,GO:0044238,GO:0044255,GO:0044262,GO:0044281,GO:0044282,GO:0046164,GO:0046174,GO:0046434,GO:0046486,GO:0046488,GO:0046834,GO:0046838,GO:0046854,GO:0046855,GO:0046872,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0052745,GO:0052832,GO:0052833,GO:0052834,GO:0065007,GO:0071545,GO:0071704,GO:1901575,GO:1901615,GO:1901616",M00131,"ko00521,ko00562,ko01100,ko04070,map00521,map00562,map01100,map04070",ko:K01092,Inositol_P,suhB,Belongs to the inositol monophosphatase superfamily,"Archaeal fructose-1,6-bisphosphatase or related enzyme of inositol monophosphatase family",A3PCV8_PROM0,Inositol-1-monophosphatase (EC 3.1.3.25),suhB P9301_09601
2626312113,311914,312288,,"ko00000,ko00001,ko00194",,C,,,"ko00195,map00195",ko:K02639,Fer2,,Alternative locus ID,Ferredoxin,A3PCV9_PROM0,"Ferredoxin, petF-like protein",P9301_09611
2626312114,312338,312424,,,,,,,,,,,,,,,
2626312115,312639,314636,dnaK1,"ko00000,ko00001,ko03019,ko03029,ko03110,ko04147",,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0006457,GO:0008144,GO:0008150,GO:0009987,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0051082,GO:0097159,GO:0097367,GO:1901265,GO:1901363",,"ko03018,ko04212,ko05152,map03018,map04212,map05152",ko:K04043,HSP70,dnaK1,Heat shock 70 kDa protein,Molecular chaperone DnaK (HSP70),A3PCW0_PROM0,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),dnaK P9301_09621
2626312116,314587,315546,dnaJ2,,,O,,,,,"DnaJ,DnaJ_C",dnaJ2,DnaJ-class molecular chaperone,DnaJ domain/DnaJ C terminal domain,A3PCW1_PROM0,DnaJ2 protein,P9301_09631
2626312117,315580,315963,,,,S,,,,,DUF3110,,Alternative locus ID,Protein of unknown function (DUF3110),A3PCW2_PROM0,DUF3110 domain-containing protein,P9301_09641
2626312118,316003,316440,rot,"ko00000,ko00001,ko01000,ko03110,ko04147",,G,"GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0006457,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0140096,GO:1901564",,"ko01503,ko04217,map01503,map04217","ko:K01802,ko:K03767,ko:K03768",Pro_isomerase,rot,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family,A3PCW3_PROM0,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8),P9301_09651
2626312119,316445,318169,ribBA,"ko00000,ko00001,ko00002,ko01000",,H,"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003933,GO:0003935,GO:0005488,GO:0005525,GO:0006766,GO:0006767,GO:0006771,GO:0006807,GO:0008150,GO:0008152,GO:0008686,GO:0009058,GO:0009110,GO:0009231,GO:0009987,GO:0016787,GO:0016810,GO:0016814,GO:0016829,GO:0016830,GO:0017076,GO:0017144,GO:0018130,GO:0019001,GO:0019238,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034641,GO:0035639,GO:0036094,GO:0042364,GO:0042726,GO:0042727,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046483,GO:0046872,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576","M00125,M00840","ko00740,ko00790,ko01100,ko01110,map00740,map00790,map01100,map01110",ko:K14652,"DHBP_synthase,GTP_cyclohydro2",ribBA,"Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate","3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)/GTP cyclohydrolase II (EC 3.5.4.25)",A3PCW4_PROM0,"Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]",ribB ribBA P9301_09661
2626312120,318258,319313,argC,"ko00000,ko00001,ko00002,ko01000",,E,"GO:0000166,GO:0003674,GO:0003824,GO:0003942,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016491,GO:0016620,GO:0016903,GO:0019752,GO:0036094,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0046983,GO:0048037,GO:0050662,GO:0051287,GO:0055114,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","M00028,M00845","ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230",ko:K00145,"Semialdhyde_dh,Semialdhyde_dhC",argC,Catalyzes the NADPH-dependent reduction of N-acetyl-5- glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde,N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38),ARGC_PROM0,N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase),argC P9301_09671
2626312121,319297,319953,purN,"ko00000,ko00001,ko00002,ko01000",,F,,M00048,"ko00230,ko00670,ko01100,ko01110,ko01130,map00230,map00670,map01100,map01110,map01130",ko:K11175,Formyl_trans_N,purN,"Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate","phosphoribosylglycinamide formyltransferase, formyltetrahydrofolate-dependent",A3PCW6_PROM0,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART),purN P9301_09681
2626312122,320135,321718,pgi,"ko00000,ko00001,ko00002,ko01000,ko04147",,F,"GO:0003674,GO:0003824,GO:0004347,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005996,GO:0006006,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046031,GO:0046034,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576","M00001,M00004,M00114","ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200",ko:K01810,PGI,pgi,Belongs to the GPI family,glucose-6-phosphate isomerase (EC 5.3.1.9),G6PI_PROM0,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),pgi P9301_09691
2626312123,321715,324285,leuS,"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029",,J,"GO:0000166,GO:0002161,GO:0003674,GO:0003824,GO:0004812,GO:0004823,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006429,GO:0006450,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016787,GO:0016788,GO:0016874,GO:0016875,GO:0017076,GO:0019538,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0052689,GO:0065007,GO:0065008,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0106074,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576","M00359,M00360","ko00970,map00970",ko:K01869,"Anticodon_1,tRNA-synt_1,tRNA-synt_1_2",leuS,Belongs to the class-I aminoacyl-tRNA synthetase family,leucyl-tRNA synthetase (EC 6.1.1.4),SYL_PROM0,Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS),leuS P9301_09701
2626312124,324393,325253,dapF,"ko00000,ko00001,ko00002,ko01000",,E,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008837,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009089,GO:0009987,GO:0016053,GO:0016853,GO:0016854,GO:0016855,GO:0019752,GO:0036361,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0047661,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","M00016,M00525,M00527","ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00300,map01100,map01110,map01120,map01130,map01230",ko:K01778,DAP_epimerase,dapF,"Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan",diaminopimelate epimerase (EC 5.1.1.7),A3PCW9_PROM0,Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase),dapF P9301_09711
2626312125,325253,326425,nifS,"ko00000,ko00001,ko01000,ko02048,ko03016,ko03029",,E,,,"ko00730,ko01100,ko04122,map00730,map01100,map04122",ko:K04487,Aminotran_5,nifS,Cysteine desulfurase,Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme,A3PCX0_PROM0,Possible cysteine desulfurase (Class-V aminotransferase family) (EC 2.8.1.7),P9301_09721
2626312126,326425,327051,,,,S,,,,,DUF1995,,Alternative locus ID,Domain of unknown function (DUF1995),A3PCX1_PROM0,DUF1995 domain-containing protein,P9301_09731
2626312127,327059,328276,dacB,"ko00000,ko00001,ko01000,ko01002,ko01011",,M,,,"ko00550,map00550",ko:K07259,Peptidase_S13,dacB,Alternative locus ID,D-Ala-D-Ala carboxypeptidase 3 (S13) family,A3PCX2_PROM0,Putative D-Ala-D-Ala carboxypeptidase 3 (S13) family (EC 3.4.16.4),dacB P9301_09741
2626312128,328284,328757,coaD,"ko00000,ko00001,ko00002,ko01000",,F,"GO:0000166,GO:0003674,GO:0003824,GO:0004595,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0015936,GO:0015937,GO:0016740,GO:0016772,GO:0016779,GO:0017076,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046390,GO:0046483,GO:0051186,GO:0051188,GO:0055086,GO:0070566,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",M00120,"ko00770,ko01100,map00770,map01100",ko:K00954,CTP_transf_like,coaD,"Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate",Phosphopantetheine adenylyltransferase (EC 2.7.7.3),COAD_PROM0,Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT),coaD P9301_09751
2626312129,328817,329305,,,,S,,,,,Flavin_Reduct,,DIM6 NTAB family,"NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family",A3PCX4_PROM0,"Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family",P9301_09761
2626312130,329315,331273,uvrC,"ko00000,ko00001,ko03400",,L,"GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006289,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0008152,GO:0009380,GO:0009381,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0016787,GO:0016788,GO:0031668,GO:0032991,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071496,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:1901360,GO:1901363,GO:1902494,GO:1905347,GO:1905348,GO:1990391",,"ko03420,map03420",ko:K03703,"GIY-YIG,HHH_2,HHH_5,UVR,UvrC_HhH_N",uvrC,The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision,Excinuclease ABC subunit C,A3PCX5_PROM0,UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C),uvrC P9301_09771
2626312131,331362,331928,,ko00000,,S,,,,ko:K08973,UPF0093,,Alternative locus ID,TIGR00701 family protein,A3PCX6_PROM0,Protoporphyrinogen IX oxidase (PPO) (EC 1.3.99.-),P9301_09781
2626312132,331921,332568,,,,S,,,,,PHP,,Alternative locus ID,"Predicted metal-dependent phosphoesterase TrpH, contains PHP domain",A3PCX7_PROM0,Predicted metal-dependent phosphoesterases (PHP family),P9301_09791
2626312133,332570,336307,cobN,"ko00000,ko00001,ko01000",,H,,,"ko00860,ko01100,map00860,map01100",ko:K02230,CobN-Mg_chel,cobN,CobN component of cobalt chelatase involved in B12 biosynthesis,cobaltochelatase CobN subunit (EC 6.6.1.2),A3PCX8_PROM0,Cobalamin biosynthetic protein CobN (EC 6.6.1.2),cobN P9301_09801
2626312134,336380,337294,ilvE,"ko00000,ko00001,ko00002,ko01000,ko01007",,E,"GO:0003674,GO:0003824,GO:0004084,GO:0006082,GO:0006520,GO:0006549,GO:0006551,GO:0006573,GO:0006807,GO:0008150,GO:0008152,GO:0008483,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009097,GO:0009098,GO:0009099,GO:0009987,GO:0016053,GO:0016740,GO:0016769,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0052654,GO:0052655,GO:0052656,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","M00019,M00036,M00119,M00570","ko00270,ko00280,ko00290,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00270,map00280,map00290,map00770,map01100,map01110,map01130,map01210,map01230",ko:K00826,Aminotran_4,ilvE,Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family,branched chain amino acid aminotransferase apoenzyme (EC 2.6.1.42),A3PCX9_PROM0,Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42),ilvE P9301_09811
2626312135,337308,340874,metH,"ko00000,ko00001,ko00002,ko01000",,H,"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006725,GO:0006790,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0008270,GO:0008652,GO:0008705,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016053,GO:0016740,GO:0016741,GO:0019752,GO:0019842,GO:0031419,GO:0032259,GO:0036094,GO:0042084,GO:0042558,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0071704,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",M00017,"ko00270,ko00450,ko00670,ko01100,ko01110,ko01230,map00270,map00450,map00670,map01100,map01110,map01230",ko:K00548,"B12-binding,B12-binding_2,Met_synt_B12,Pterin_bind,S-methyl_trans",metH,Alternative locus ID,methionine synthase (B12-dependent) (EC 2.1.1.13),A3PCY0_PROM0,Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase),metH P9301_09821
2626312136,340884,341102,,,,S,,,,,,,Alternative locus ID,hypothetical protein,A3PCY1_PROM0,DUF1292 domain-containing protein,P9301_09831
2626312137,341202,341585,,ko00000,,S,,,,ko:K09966,DUF2237,,Alternative locus ID,"Uncharacterized conserved protein, DUF2237 family",A3PCY2_PROM0,Uncharacterized protein conserved in bacteria,P9301_09841
2626312138,341634,342464,apa2,"ko00000,ko00001,ko01000",,F,,,"ko00230,map00230",ko:K00988,ATP_transf,apa2,ATP adenylyltransferase,"ATP adenylyltransferase (5',5'''-P-1,P-4-tetraphosphate phosphorylase II)",A3PCY3_PROM0,Possible ATP adenylyltransferase (EC 2.7.7.53),apa2 P9301_09851
2626312139,342468,342647,,,,S,,,,,,,Alternative locus ID,hypothetical protein,A3PCY4_PROM0,Protein family PM-1,P9301_09861
