species,symbol,product,logFC,PValue
EZ55,EZ55_04084,DUF3014 family protein,1.821302021,7.35E-05
EZ55,EZ55_03048,cell division-specific peptidoglycan biosynthesis,1.82260342,0.049664371
EZ55,EZ55_03703,hypothetical protein,1.826650344,0.000143373
EZ55,EZ55_00547,hypothetical protein,1.833570551,0.000666546
EZ55,EZ55_02788,phage shock protein A (PspA) family protein,1.840449844,0.015186919
EZ55,EZ55_03696,hypothetical protein,1.84102735,0.003906371
EZ55,EZ55_04139,hypothetical protein,1.8595804,2.31E-06
EZ55,EZ55_01445,hypothetical protein,1.874887782,0.008515275
EZ55,EZ55_04086,imidazolonepropionase-like amidohydrolase,1.87918129,1.42E-06
EZ55,EZ55_04239,hypothetical protein,1.885132953,1.24E-05
EZ55,EZ55_00595,nickel superoxide dismutase,1.889025055,0.000112169
EZ55,EZ55_00440,argininosuccinate lyase,1.891831408,0.021074392
EZ55,EZ55_04157,hypothetical protein,1.905229349,0.009580798
EZ55,EZ55_01929,DNA topoisomerase-1,1.909656851,8.14E-07
EZ55,EZ55_01586,lipid A 3-O-deacylase PagL,1.912283389,6.99E-07
EZ55,EZ55_04256,2-oxopent-4-enoate/cis-2-oxohex-4-enoate,1.917545937,0.006858404
EZ55,EZ55_03078,glutathione synthase,1.930985174,1.18E-10
EZ55,EZ55_04134,hypothetical protein,1.935372147,1.42E-05
EZ55,EZ55_04259,4-oxalocrotonate decarboxylase,1.948380113,0.003825084
EZ55,EZ55_03653,HslV component of HslUV peptidase,1.962267773,0.000975878
EZ55,EZ55_04257,acetaldehyde dehydrogenase,1.964856051,0.004213263
EZ55,EZ55_01041,hypothetical protein,1.976811117,9.11E-09
EZ55,EZ55_03695,hypothetical protein,1.988224088,0.00208356
EZ55,EZ55_04261,hypothetical protein,2.005074261,0.001038404
EZ55,EZ55_02490,hypothetical protein,2.010653862,0.000994995
EZ55,EZ55_02568,hypothetical protein,2.020245409,0.001565001
EZ55,EZ55_03004,putative salt-induced outer membrane protein,2.020708946,6.38E-05
EZ55,EZ55_03454,flavin reductase,2.024645751,3.00E-05
EZ55,EZ55_01479,molecular chaperone DnaK,2.034535534,1.12E-06
EZ55,EZ55_00871,DNA-binding MarR family transcriptional,2.051421946,0.001620066
EZ55,EZ55_01891,nitroreductase,2.06051484,0.002982331
EZ55,EZ55_03939,chaperonin GroES,2.070605631,6.98E-05
EZ55,EZ55_04258,4-hydroxy-2-oxovalerate aldolase,2.086858554,0.002796763
EZ55,EZ55_03797,hypothetical protein,2.088055746,0.000620352
EZ55,EZ55_02980,N-acetylglucosamine 6-phosphate deacetylase,2.089196656,0.00212563
EZ55,EZ55_01892,uncharacterized protein DUF2797,2.104787016,6.82E-07
EZ55,EZ55_02569,poly(hydroxyalkanoate) granule associated protein,2.108984876,0.001376319
EZ55,EZ55_01933,mechanosensitive ion channel-like protein,2.109862367,6.14E-10
EZ55,EZ55_03954,amidase,2.113915667,3.51E-08
EZ55,EZ55_02983,hexosaminidase,2.121256026,0.004145159
EZ55,EZ55_01268,uncharacterized protein DUF3379,2.125740853,0.017805659
EZ55,EZ55_02610,phosphoribosyl-ATP pyrophosphatase,2.131000085,0.009187587
EZ55,EZ55_04245,hypothetical protein,2.150618562,0.003256166
EZ55,EZ55_01509,transposase,2.156645481,2.98E-06
EZ55,EZ55_03414,DUF2884 family protein,2.161052971,0.000116155
EZ55,EZ55_04099,beta-glucosidase,2.170674603,0.003014377
EZ55,EZ55_00913,outer membrane protein with beta-barrel domain,2.183757102,0.001525913
EZ55,EZ55_00597,hypothetical protein,2.187276091,2.06E-05
EZ55,EZ55_02981,glutamine--fructose-6-phosphate transaminase,2.201889672,0.003666129
EZ55,EZ55_02314,membrane protein YqaA with SNARE-associated,2.217339444,0.000979684
EZ55,EZ55_01059,flagellin,2.232361591,1.47E-07
EZ55,EZ55_03097,branched-subunit amino acid transport protein,2.250929214,0.023885471
EZ55,EZ55_01932,glutamate-5-semialdehyde dehydrogenase,2.263194637,0.005510187
EZ55,EZ55_02632,hypothetical protein,2.267855368,0.015183361
EZ55,EZ55_04098,TonB-dependent receptor,2.276576202,0.020703421
EZ55,EZ55_02633,hypothetical protein,2.298757577,0.014140576
EZ55,EZ55_04260,4-oxalocrotonate tautomerase,2.314711245,0.00101865
EZ55,EZ55_02791,putative membrane protein,2.314921798,5.48E-07
EZ55,EZ55_00596,hypothetical protein,2.323673543,0.000397887
EZ55,EZ55_01508,alkylhydroperoxidase family enzyme,2.364721509,0.002615102
EZ55,EZ55_00463,glycerol 3-phosphate dehydrogenase (NAD(P)+),2.364852631,0.000687625
EZ55,EZ55_02789,voltage-gated potassium channel,2.368299824,2.54E-06
EZ55,EZ55_02117,Fe(3+) dicitrate transport protein,2.400402023,8.98E-08
EZ55,EZ55_00797,spondin N,2.407980542,0.009483064
EZ55,EZ55_01825,hypothetical protein,2.462363345,0.001585173
EZ55,EZ55_01630,putative colanic acid biosynthesis UDP-glucose,2.467770665,5.09E-07
EZ55,EZ55_01495,molecular chaperone IbpA,2.514305564,2.89E-06
EZ55,EZ55_03057,hypothetical protein,2.518313725,0.002564438
EZ55,EZ55_02876,betaine aldehyde dehydrogenase,2.531249575,0.007216907
EZ55,EZ55_00872,Ohr subfamily peroxiredoxin,2.549224725,0.025096851
EZ55,EZ55_02905,hypothetical protein,2.604853875,0.028432151
EZ55,EZ55_02790,uncharacterized protein DUF2491,2.610947155,1.60E-07
EZ55,EZ55_03449,hypothetical protein,2.652075517,0.003156625
EZ55,EZ55_00751,transposase,2.653802114,3.59E-06
EZ55,EZ55_00879,uncharacterized protein DUF3718,2.718950046,1.05E-05
EZ55,EZ55_00798,spondin N,2.83217726,0.015586105
EZ55,EZ55_00161,uncharacterized protein DUF3300,2.840005519,0.003386574
EZ55,EZ55_03864,NADPH-dependent ferric siderophore reductase,2.855057606,2.12E-07
EZ55,EZ55_03400,phage shock protein A (PspA) family protein,2.860363007,2.72E-05
EZ55,EZ55_03401,hypothetical protein,2.896934686,2.27E-05
EZ55,EZ55_04240,hypothetical protein,2.988894693,1.15E-08
EZ55,EZ55_03445,hypothetical protein,2.993323932,1.65E-10
EZ55,EZ55_03448,hypothetical protein,3.022271591,0.001771239
EZ55,EZ55_00384,hypothetical protein,3.051069973,7.00E-07
EZ55,EZ55_02567,uncharacterized protein DUF3592,3.056679382,2.43E-05
EZ55,EZ55_04250,"benzoate/toluate 1, 2-dioxygenase reductase subunit",3.072019041,8.93E-06
EZ55,EZ55_04246,hypothetical protein,3.080247224,0.000174776
EZ55,EZ55_01827,pyruvate/2-oxoglutarate dehydrogenase complex,3.145014202,0.005068497
EZ55,EZ55_01829,putative thiamine transport system,3.206130549,0.00240922
EZ55,EZ55_00873,leukotriene A-4 hydrolase/aminopeptidase,3.232617821,2.84E-06
EZ55,EZ55_04247,integrase-like protein,3.274541545,0.000193961
EZ55,EZ55_03399,phage shock protein C (PspC) family protein,3.306683352,2.03E-06
EZ55,EZ55_03098,4-azaleucine resistance transporter AzlC,3.408159145,1.69E-05
EZ55,EZ55_01828,uncharacterized protein DUF547,3.488602612,0.001682722
EZ55,EZ55_04251,"1, 2-dihydroxycyclohexa-3, 5-diene-1-carboxylate dehydrogenase",3.530212938,3.37E-05
EZ55,EZ55_03398,hypothetical protein,3.771298454,4.02E-08
EZ55,EZ55_03447,uncharacterized membrane protein YiaA,3.80829074,0.000456264
EZ55,EZ55_04248,"benzoate 1, 2-dioxygenase alpha subunit",3.846776746,1.65E-06
EZ55,EZ55_03446,hypothetical protein,3.908972301,3.31E-06
EZ55,EZ55_01060,flagellin,3.915376432,7.19E-09
EZ55,EZ55_04249,"benzoate/toluate 1, 2-dioxygenase beta subunit",3.960953568,2.47E-06
