symbol,product,logFC,PValue
EZ55_00873,leukotriene A-4 hydrolase/aminopeptidase,2.079144679,8.01E-17
EZ55_02788,phage shock protein A (PspA) family protein,2.103433343,3.22E-14
EZ55_02884,hypothetical protein,2.124657712,2.64E-10
EZ55_02787,hypothetical protein,2.128776539,1.22E-17
EZ55_02390,hypothetical protein,2.136662157,8.85E-11
EZ55_00109,alkylation response protein AidB-like acyl-CoA,2.142971229,6.86E-09
EZ55_03519,subtilisin family serine protease,2.14372648,2.63E-07
EZ55_02389,uncharacterized membrane protein YtjA (UPF0391,2.185018307,2.06E-12
EZ55_02414,transposase,2.201039362,2.24E-24
EZ55_03006,transposase,2.207182159,1.69E-82
EZ55_00433,catalase,2.247046143,4.41E-10
EZ55_01060,flagellin,2.273606063,1.61E-20
EZ55_03522,catalase,2.276991383,4.23E-09
EZ55_03400,phage shock protein A (PspA) family protein,2.288050401,3.76E-20
EZ55_03399,phage shock protein C (PspC) family protein,2.357016964,1.57E-20
EZ55_00871,DNA-binding MarR family transcriptional,2.368971771,5.42E-23
EZ55_02633,hypothetical protein,2.468891415,9.18E-13
EZ55_03278,peroxiredoxin,2.542472975,1.17E-23
EZ55_03008,hypothetical protein,2.553483903,1.44E-19
EZ55_02569,poly(hydroxyalkanoate) granule associated protein,2.598764684,2.55E-26
EZ55_02984,iron complex outermembrane receptor protein,2.632393989,9.22E-17
EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,2.716898854,1.68E-20
EZ55_03277,modulator of drug activity B,2.730746269,5.09E-24
EZ55_03398,hypothetical protein,2.781230373,4.92E-28
EZ55_03523,hypothetical protein,2.819555383,3.88E-09
EZ55_01815,alkyl hydroperoxide reductase subunit F,2.844076996,4.50E-15
EZ55_01509,transposase,2.850660885,7.24E-61
EZ55_03194,FHS family L-fucose permease-like MFS,3.135352618,2.46E-20
EZ55_01508,alkylhydroperoxidase family enzyme,3.224196974,6.22E-27
EZ55_02347,uncharacterized protein DUF1852,3.279412391,9.63E-13
EZ55_03276,HxlR family transcriptional regulator,3.431369275,3.73E-29
EZ55_02348,methionine synthase (B12-independent),3.481173904,9.09E-16
EZ55_00751,transposase,3.550565844,1.10E-57
EZ55_00872,Ohr subfamily peroxiredoxin,3.69193586,9.72E-17
EZ55_02634,hypothetical protein,4.475370071,1.25E-24
