protein_id,product,Prediction
WP_014950040.1,TonB-dependent receptor _Alteromonas macleodii_,SP
WP_014950043.1,MULTISPECIES_ adenylate kinase _Alteromonas_,OTHER
WP_014950045.1,MULTISPECIES_ recombination mediator RecR _Alteromonas_,OTHER
WP_014950046.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950049.1,MULTISPECIES_ YbaB_EbfC family nucleoid-associated protein _Alteromonas_,OTHER
WP_014950051.1,MULTISPECIES_ adenine phosphoribosyltransferase _Gammaproteobacteria_,OTHER
WP_014950059.1,MULTISPECIES_ CDP-diacylglycerol--serine O-phosphatidyltransferase _Alteromonas_,OTHER
WP_014950071.1,MULTISPECIES_ 23S rRNA pseudouridine_1911_1915_1917_ synthase RluD _Alteromonas_,OTHER
WP_014950072.1,MULTISPECIES_ outer membrane protein assembly factor BamD _Alteromonas_,LIPO
WP_014950074.1,MULTISPECIES_ sigma-70 family RNA polymerase sigma factor _Alteromonas_,OTHER
WP_014950075.1,MULTISPECIES_ LON peptidase substrate-binding domain-containing protein _Alteromonas_,OTHER
WP_014950077.1,MULTISPECIES_ SDR family NAD_P_-dependent oxidoreductase _Alteromonas_,OTHER
WP_014950082.1,MULTISPECIES_ flagellar motor protein PomA _Alteromonas_,OTHER
WP_014950085.1,MULTISPECIES_ phosphatidylglycerophosphatase A _Alteromonas_,OTHER
WP_014950086.1,MULTISPECIES_ thiamine-phosphate kinase _Alteromonas_,OTHER
WP_014950088.1,"MULTISPECIES_ 6,7-dimethyl-8-ribityllumazine synthase _Alteromonas_",OTHER
WP_014950089.1,"MULTISPECIES_ bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase_GTP cyclohydrolase II _Alteromonas_",OTHER
WP_014950090.1,MULTISPECIES_ riboflavin synthase _Alteromonas_,OTHER
WP_014950092.1,MULTISPECIES_ serine hydroxymethyltransferase _Alteromonas_,OTHER
WP_014950093.1,MULTISPECIES_ UDP-3-O-_3-hydroxymyristoyl_glucosamine N-acyltransferase _Alteromonas_,OTHER
WP_014950094.1,MULTISPECIES_ energy-dependent translational throttle protein EttA _Alteromonas_,OTHER
WP_014950099.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950102.1,MULTISPECIES_ GTPase Era _Alteromonas_,OTHER
WP_014950103.1,MULTISPECIES_ ribonuclease III _Alteromonas_,OTHER
WP_014950104.1,MULTISPECIES_ signal peptidase I _Alteromonas_,OTHER
WP_014950105.1,MULTISPECIES_ translation elongation factor 4 _Alteromonas_,OTHER
WP_014950111.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950112.1,MULTISPECIES_ succinate dehydrogenase assembly factor 2 _Alteromonas_,OTHER
WP_014950113.1,glycine cleavage system protein T _Alteromonas macleodii_,OTHER
WP_014950114.1,MULTISPECIES_ peptidylprolyl isomerase _Alteromonas_,OTHER
WP_014950115.1,MULTISPECIES_ P-II family nitrogen regulator _Alteromonas_,OTHER
WP_014950125.1,MULTISPECIES_ pilus assembly PilX N-terminal domain-containing protein _Alteromonas_,OTHER
WP_014950129.1,MULTISPECIES_ FKBP-type peptidyl-prolyl cis-trans isomerase _Alteromonas_,OTHER
WP_014950132.1,MULTISPECIES_ bifunctional riboflavin kinase_FAD synthetase _Alteromonas_,OTHER
WP_014950134.1,MULTISPECIES_ 30S ribosomal protein S20 _Alteromonas_,OTHER
WP_014950145.1,MULTISPECIES_ endopeptidase La _Alteromonas_,OTHER
WP_014950146.1,MULTISPECIES_ ATP-dependent protease ATP-binding subunit ClpX _Alteromonas_,OTHER
WP_014950147.1,MULTISPECIES_ ATP-dependent Clp endopeptidase proteolytic subunit ClpP _Alteromonas_,OTHER
WP_014950148.1,MULTISPECIES_ trigger factor _Alteromonas_,OTHER
WP_014950151.1,tRNA _N6-threonylcarbamoyladenosine_37_-N6_-methyltransferase TrmO _Alteromonas macleodii_,OTHER
WP_014950157.1,MULTISPECIES_ glutamine-hydrolyzing GMP synthase _Alteromonas_,OTHER
WP_014950158.1,MULTISPECIES_ IMP dehydrogenase _Alteromonas_,OTHER
WP_014950161.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_014950162.1,choice-of-anchor E domain-containing protein _Alteromonas macleodii_,SP
WP_014950163.1,ribosome biogenesis GTPase Der _Alteromonas macleodii_,OTHER
WP_014950164.1,MULTISPECIES_ outer membrane protein assembly factor BamB _Alteromonas_,LIPO
WP_014950165.1,MULTISPECIES_ tetratricopeptide repeat protein _Alteromonas_,OTHER
WP_014950167.1,MULTISPECIES_ flavodoxin-dependent _E_-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase _Alteromonas_,OTHER
WP_014950170.1,MULTISPECIES_ SufE family protein _Alteromonas_,OTHER
WP_014950172.1,MULTISPECIES_ iron-sulfur cluster assembly accessory protein _Alteromonas_,OTHER
WP_014950176.1,MULTISPECIES_ Fe-S cluster assembly protein SufB _Alteromonas_,OTHER
WP_014950178.1,MULTISPECIES_ Fe-S cluster assembly transcriptional regulator IscR _Alteromonas_,OTHER
WP_014950181.1,MULTISPECIES_ serine O-acetyltransferase _Alteromonas_,OTHER
WP_014950182.1,MULTISPECIES_ tRNA _cytosine_32__uridine_32_-2_-O_-methyltransferase TrmJ _Alteromonas_,OTHER
WP_014950183.1,MULTISPECIES_ inositol-1-monophosphatase _Alteromonas_,OTHER
WP_014950185.1,LytTR family transcriptional regulator _Alteromonas macleodii_,OTHER
WP_014950187.1,MULTISPECIES_ protein translocase subunit SecD _Alteromonas_,OTHER
WP_014950189.1,MULTISPECIES_ tRNA guanosine_34_ transglycosylase Tgt _Alteromonas_,OTHER
WP_014950191.1,MULTISPECIES_ DUF6471 domain-containing protein _Alteromonas_,OTHER
WP_014950192.1,MULTISPECIES_ DUF2170 family protein _Alteromonas_,OTHER
WP_014950193.1,MULTISPECIES_ PspA_IM30 family protein _Alteromonas_,OTHER
WP_014950196.1,MULTISPECIES_ DUF350 domain-containing protein _Alteromonas_,OTHER
WP_014950199.1,MULTISPECIES_ rhomboid family intramembrane serine protease _Alteromonas_,OTHER
WP_014950200.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950204.1,MULTISPECIES_ glutaminase B _Alteromonas_,OTHER
WP_014950205.1,alkaline phosphatase _Alteromonas macleodii_,LIPO
WP_014950254.1,MULTISPECIES_ LpxL_LpxP family Kdo_2_-lipid IV_A_ lauroyl_palmitoleoyl acyltransferase _Alteromonas_,OTHER
WP_014950255.1,MULTISPECIES_ DUF3081 domain-containing protein _Alteromonas_,OTHER
WP_014950257.1,MULTISPECIES_ acyl-CoA dehydrogenase _Alteromonas_,OTHER
WP_014950261.1,MULTISPECIES_ thymidine kinase _Alteromonas_,OTHER
WP_014950264.1,MULTISPECIES_ LacI family DNA-binding transcriptional regulator _Alteromonas_,OTHER
WP_014950265.1,MULTISPECIES_ uracil phosphoribosyltransferase _Alteromonas_,OTHER
WP_014950268.1,MULTISPECIES_ XRE family transcriptional regulator _Alteromonas_,OTHER
WP_014950271.1,MULTISPECIES_ ribosome biogenesis GTPase YlqF _Alteromonas_,OTHER
WP_014950273.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_014950274.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950289.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_014950296.1,MULTISPECIES_ BlaI_MecI_CopY family transcriptional regulator _Alteromonas_,OTHER
WP_014950300.1,MULTISPECIES_ lactoylglutathione lyase _Alteromonas_,OTHER
WP_014950332.1,YaeQ family protein _Alteromonas macleodii_,OTHER
WP_014950335.1,retroviral-like aspartic protease family protein _Alteromonas macleodii_,LIPO
WP_014950337.1,nitroreductase family protein _Alteromonas macleodii_,OTHER
WP_014950338.1,sugar efflux transporter _Alteromonas macleodii_,OTHER
WP_014950340.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_014950341.1,RNA polymerase-binding protein DksA _Alteromonas macleodii_,OTHER
WP_014950346.1,transposase _Alteromonas macleodii_,OTHER
WP_014950360.1,MULTISPECIES_ glycine cleavage system protein GcvH _Alteromonas_,OTHER
WP_014950370.1,MULTISPECIES_ LysR family transcriptional regulator _Alteromonas_,OTHER
WP_014950380.1,MULTISPECIES_ ribokinase _Alteromonas_,OTHER
WP_014950385.1,MULTISPECIES_ ribose-5-phosphate isomerase RpiA _Alteromonas_,OTHER
WP_014950387.1,MULTISPECIES_ DUF481 domain-containing protein _Alteromonas_,SP
WP_014950394.1,MULTISPECIES_ dihydrolipoyl dehydrogenase _Alteromonas_,OTHER
WP_014950397.1,MULTISPECIES_ pyruvate dehydrogenase complex transcriptional repressor PdhR _Alteromonas_,OTHER
WP_014950422.1,MULTISPECIES_ M23 family metallopeptidase _Alteromonas_,OTHER
WP_014950427.1,MULTISPECIES_ D-alanine--D-alanine ligase _Alteromonas_,OTHER
WP_014950428.1,UDP-N-acetylmuramate--L-alanine ligase _Alteromonas macleodii_,OTHER
WP_014950432.1,MULTISPECIES_ phospho-N-acetylmuramoyl-pentapeptide-transferase _Alteromonas_,OTHER
WP_014950436.1,MULTISPECIES_ cell division protein FtsL _Alteromonas_,OTHER
WP_014950437.1,MULTISPECIES_ 16S rRNA _cytosine_1402_-N_4__-methyltransferase RsmH _Alteromonas_,OTHER
WP_014950446.1,MULTISPECIES_ glutathione peroxidase _Alteromonas_,OTHER
WP_014950447.1,MULTISPECIES_ AAA family ATPase _Alteromonas_,OTHER
WP_014950448.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950451.1,MULTISPECIES_ PEP-CTERM-box response regulator transcription factor _Alteromonas_,OTHER
WP_014950457.1,MULTISPECIES_ mechanosensitive ion channel _Gammaproteobacteria_,OTHER
WP_014950458.1,16S rRNA _uracil_1498_-N_3__-methyltransferase _Alteromonas macleodii_,OTHER
WP_014950459.1,MULTISPECIES_ glutathione synthase _Alteromonas_,OTHER
WP_014950460.1,MULTISPECIES_ YqgE_AlgH family protein _Alteromonas_,OTHER
WP_014950461.1,Holliday junction resolvase RuvX _Alteromonas macleodii_,OTHER
WP_014950462.1,DUF2007 domain-containing protein _Alteromonas macleodii_,OTHER
WP_014950464.1,MULTISPECIES_ type IV pilus twitching motility protein PilT _Alteromonas_,OTHER
WP_014950467.1,MULTISPECIES_ YggT family protein _Alteromonas_,OTHER
WP_014950470.1,MULTISPECIES_ VOC family protein _Alteromonas_,OTHER
WP_014950476.1,MULTISPECIES_ AzlD domain-containing protein _Alteromonas_,OTHER
WP_014950486.1,MULTISPECIES_ homoserine kinase _Alteromonas_,OTHER
WP_014950490.1,MULTISPECIES_ S-_hydroxymethyl_glutathione dehydrogenase_class III alcohol dehydrogenase _Alteromonas_,OTHER
WP_014950500.1,MULTISPECIES_ response regulator _Alteromonas_,OTHER
WP_014950501.1,MULTISPECIES_ bifunctional isocitrate dehydrogenase kinase_phosphatase _Alteromonas_,OTHER
WP_014950502.1,MULTISPECIES_ response regulator transcription factor _Alteromonas_,OTHER
WP_014950505.1,MULTISPECIES_ DUF3833 domain-containing protein _Alteromonas_,LIPO
WP_014950508.1,MULTISPECIES_ DUF4282 domain-containing protein _Alteromonas_,OTHER
WP_014950514.1,MULTISPECIES_ saccharopine dehydrogenase family protein _Alteromonas_,OTHER
WP_014950522.1,MULTISPECIES_ phosphoheptose isomerase _Alteromonas_,OTHER
WP_014950523.1,MULTISPECIES_ BON domain-containing protein _Alteromonas_,LIPO
WP_014950525.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_014950537.1,MULTISPECIES_ diguanylate cyclase _Alteromonas_,OTHER
WP_014950541.1,MULTISPECIES_ aerobic respiration two-component sensor histidine kinase ArcB _Alteromonas_,OTHER
WP_014950542.1,MULTISPECIES_ N-acetylmuramoyl-L-alanine amidase _Alteromonas_,OTHER
WP_014950543.1,MULTISPECIES_ glutamate synthase large subunit _Alteromonas_,OTHER
WP_014950547.1,MULTISPECIES_ DUF2726 domain-containing protein _Alteromonas_,SP
WP_014950548.1,MULTISPECIES_ 5_-methylthioadenosine_adenosylhomocysteine nucleosidase _Alteromonas_,OTHER
WP_014950551.1,MULTISPECIES_ rhodanese-like domain-containing protein _Alteromonas_,LIPO
WP_014950553.1,MULTISPECIES_ GNAT family N-acetyltransferase _Alteromonas_,OTHER
WP_014950559.1,MULTISPECIES_ tyrosine--tRNA ligase _Alteromonas_,OTHER
WP_014950566.1,MULTISPECIES_ SRPBCC domain-containing protein _Alteromonas_,OTHER
WP_014950570.1,MULTISPECIES_ iron-sulfur cluster insertion protein ErpA _Alteromonas_,OTHER
WP_014950572.1,MULTISPECIES_ cell division topological specificity factor MinE _Alteromonas_,OTHER
WP_014950577.1,MULTISPECIES_ azurin _Alteromonas_,SP
WP_014950581.1,MULTISPECIES_ CopD family protein _Alteromonas_,OTHER
WP_014950582.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950585.1,MULTISPECIES_ PatB family C-S lyase _Alteromonas_,OTHER
WP_014950586.1,MULTISPECIES_ response regulator _Alteromonas_,OTHER
WP_014950587.1,MULTISPECIES_ translational GTPase TypA _Alteromonas_,OTHER
WP_014950588.1,MULTISPECIES_ glutamate--ammonia ligase _Alteromonas_,OTHER
WP_014950590.1,MULTISPECIES_ nitrogen regulation protein NR_II_ _Alteromonas_,OTHER
WP_014950594.1,MULTISPECIES_ ribonuclease E inhibitor RraB _Alteromonas_,OTHER
WP_014950597.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950598.1,MULTISPECIES_ SPFH domain-containing protein _Alteromonas_,OTHER
WP_014950602.1,MULTISPECIES_ leucyl aminopeptidase _Alteromonas_,OTHER
WP_014950617.1,MULTISPECIES_ hypothetical protein _Alteromonas_,LIPO
WP_014950619.1,MULTISPECIES_ lipase _Alteromonas_,OTHER
WP_014950655.1,MULTISPECIES_ manganese efflux pump MntP family protein _Alteromonas_,OTHER
WP_014950656.1,DUF1439 domain-containing protein _Alteromonas macleodii_,LIPO
WP_014950661.1,MULTISPECIES_ AEC family transporter _Alteromonas_,OTHER
WP_014950662.1,MULTISPECIES_ cytochrome c-550 PedF _Alteromonas_,SP
WP_014950672.1,pyrroloquinoline quinone biosynthesis protein PqqB _Alteromonas macleodii_,OTHER
WP_014950684.1,MULTISPECIES_ aldehyde dehydrogenase _Alteromonas_,OTHER
WP_014950697.1,MULTISPECIES_ response regulator transcription factor _Alteromonas_,OTHER
WP_014950698.1,MULTISPECIES_ transporter _Alteromonas_,LIPO
WP_014950699.1,MULTISPECIES_ curli production assembly protein CsgF _Alteromonas_,SP
WP_014950707.1,MULTISPECIES_ RNA-binding protein _Alteromonas_,OTHER
WP_014950711.1,MULTISPECIES_ fatty acid desaturase _Alteromonas_,OTHER
WP_014950712.1,MULTISPECIES_ Si-specific NAD_P____ transhydrogenase _Alteromonas_,OTHER
WP_014950713.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_014950719.1,MULTISPECIES_ assimilatory sulfite reductase _NADPH_ flavoprotein subunit _Alteromonas_,OTHER
WP_014950720.1,MULTISPECIES_ TIGR04219 family outer membrane beta-barrel protein _Alteromonas_,SP
WP_014950721.1,MULTISPECIES_ DUF2333 family protein _Alteromonas_,OTHER
WP_014950723.1,MULTISPECIES_ PspC domain-containing protein _Gammaproteobacteria_,OTHER
WP_014950724.1,MULTISPECIES_ phage shock protein PspA _Alteromonas_,OTHER
WP_014950735.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950738.1,MULTISPECIES_ sodium-dependent transporter _Alteromonas_,OTHER
WP_014950741.1,MULTISPECIES_ peptide-methionine _S_-S-oxide reductase MsrA _Alteromonas_,OTHER
WP_014950744.1,MULTISPECIES_ flavodoxin FldB _Alteromonas_,OTHER
WP_014950746.1,MULTISPECIES_ biopolymer transporter ExbD _Alteromonas_,OTHER
WP_014950752.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950755.1,MULTISPECIES_ NAD_P_H-binding protein _Alteromonas_,OTHER
WP_014950757.1,MULTISPECIES_ PH domain-containing protein _Alteromonas_,OTHER
WP_014950763.1,MULTISPECIES_ lactoylglutathione lyase family protein _Alteromonas_,OTHER
WP_014950780.1,MULTISPECIES_ pyrimidine utilization protein A _Alteromonas_,OTHER
WP_014950784.1,MULTISPECIES_ VF530 family protein _Alteromonas_,OTHER
WP_014950787.1,MULTISPECIES_ LacI family DNA-binding transcriptional regulator _Alteromonas_,OTHER
WP_014950788.1,MULTISPECIES_ MBL fold metallo-hydrolase _Alteromonas_,SP
WP_014950791.1,MULTISPECIES_ _Na__-NQR maturation NqrM _Alteromonas_,OTHER
WP_014950792.1,FAD_protein FMN transferase _Alteromonas macleodii_,LIPO
WP_014950793.1,MULTISPECIES_ NADH_ubiquinone reductase _Na___-transporting_ subunit F _Alteromonas_,OTHER
WP_014950794.1,MULTISPECIES_ NADH_ubiquinone reductase _Na___-transporting_ subunit E _Alteromonas_,OTHER
WP_014950795.1,MULTISPECIES_ NADH_ubiquinone reductase _Na___-transporting_ subunit D _Alteromonas_,OTHER
WP_014950797.1,MULTISPECIES_ NADH_ubiquinone reductase _Na___-transporting_ subunit B _Alteromonas_,OTHER
WP_014950800.1,MULTISPECIES_ FKBP-type peptidyl-prolyl cis-trans isomerase _Alteromonas_,OTHER
WP_014950802.1,MULTISPECIES_ malate dehydrogenase _Alteromonas_,OTHER
WP_014950808.1,MULTISPECIES_ uridine kinase _Alteromonas_,OTHER
WP_014950809.1,MULTISPECIES_ NupC_NupG family nucleoside CNT transporter _Alteromonas_,OTHER
WP_014950810.1,MULTISPECIES_ isopenicillin N synthase family oxygenase _Alteromonas_,OTHER
WP_014950817.1,MULTISPECIES_ DUF4212 domain-containing protein _Alteromonas_,OTHER
WP_014950819.1,MULTISPECIES_ mechanosensitive ion channel family protein _Alteromonas_,OTHER
WP_014950832.1,FHA domain-containing protein _Alteromonas macleodii_,OTHER
WP_014950835.1,MULTISPECIES_ sensor histidine kinase _Alteromonas_,OTHER
WP_014950839.1,MULTISPECIES_ ankyrin repeat domain-containing protein _Alteromonas_,SP
WP_014950852.1,MULTISPECIES_ ABC transporter ATP-binding protein_permease _Alteromonas_,OTHER
WP_014950899.1,glycosyltransferase family 2 protein _Alteromonas macleodii_,OTHER
WP_014950902.1,glycosyltransferase family 2 protein _Alteromonas macleodii_,OTHER
WP_014950903.1,mannose-1-phosphate guanylyltransferase_mannose-6-phosphate isomerase _Alteromonas macleodii_,OTHER
WP_014950904.1,phosphomannomutase_phosphoglucomutase _Alteromonas macleodii_,OTHER
WP_014950905.1,flagellin _Alteromonas macleodii_,OTHER
WP_014950906.1,MULTISPECIES_ 50S ribosomal protein L15 _Alteromonas_,OTHER
WP_014950907.1,MULTISPECIES_ 50S ribosomal protein L30 _Alteromonas_,OTHER
WP_014950908.1,MULTISPECIES_ 50S ribosomal protein L18 _Alteromonas_,OTHER
WP_014950909.1,MULTISPECIES_ 50S ribosomal protein L6 _Alteromonas_,OTHER
WP_014950910.1,MULTISPECIES_ 30S ribosomal protein S14 _Alteromonas_,OTHER
WP_014950911.1,MULTISPECIES_ 50S ribosomal protein L5 _Alteromonas_,OTHER
WP_014950912.1,MULTISPECIES_ 50S ribosomal protein L24 _Alteromonas_,OTHER
WP_014950916.1,MULTISPECIES_ 23S rRNA _guanosine_2251_-2_-O_-methyltransferase RlmB _Alteromonas_,OTHER
WP_014950922.1,MULTISPECIES_ PepSY domain-containing protein _Alteromonas_,LIPO
WP_014950924.1,MULTISPECIES_ sel1 repeat family protein _Alteromonas_,SP
WP_014950925.1,MULTISPECIES_ TIGR02647 family protein _Alteromonas_,OTHER
WP_014950926.1,MULTISPECIES_ 4-hydroxy-3-polyprenylbenzoate decarboxylase _Alteromonas_,OTHER
WP_014950934.1,cytochrome d ubiquinol oxidase subunit II _Alteromonas macleodii_,OTHER
WP_014950935.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950936.1,methyl-accepting chemotaxis protein _Alteromonas macleodii_,OTHER
WP_014950939.1,MULTISPECIES_ ubiquinone biosynthesis regulatory protein kinase UbiB _Alteromonas_,OTHER
WP_014950954.1,MULTISPECIES_ hypothetical protein _Alteromonas_,LIPO
WP_014950959.1,VWA domain-containing protein _Alteromonas macleodii_,OTHER
WP_014950963.1,MULTISPECIES_ helix-turn-helix transcriptional regulator _Alteromonas_,OTHER
WP_014950967.1,MULTISPECIES_ helix-turn-helix domain-containing protein _Alteromonas_,OTHER
WP_014950968.1,MULTISPECIES_ HslU--HslV peptidase ATPase subunit _Alteromonas_,OTHER
WP_014950969.1,MULTISPECIES_ ATP-dependent protease subunit HslV _Alteromonas_,OTHER
WP_014950978.1,MULTISPECIES_ malate dehydrogenase _Alteromonas_,OTHER
WP_014950979.1,MULTISPECIES_ met regulon transcriptional regulator MetJ _Alteromonas_,OTHER
WP_014950980.1,MULTISPECIES_ methylenetetrahydrofolate reductase _Alteromonas_,OTHER
WP_014950983.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950984.1,MULTISPECIES_ prolyl aminopeptidase _Alteromonas_,OTHER
WP_014950986.1,MULTISPECIES_ bifunctional GNAT family N-acetyltransferase_hotdog fold thioesterase _Alteromonas_,OTHER
WP_014950987.1,MULTISPECIES_ RNA polymerase sigma factor RpoH _Alteromonas_,OTHER
WP_014950991.1,MULTISPECIES_ cell division ATP-binding protein FtsE _Alteromonas_,OTHER
WP_014950994.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014950997.1,MULTISPECIES_ RNA polymerase-binding protein DksA _Alteromonas_,OTHER
WP_014950999.1,polynucleotide adenylyltransferase PcnB _Alteromonas macleodii_,OTHER
WP_014951000.1,MULTISPECIES_ 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase _Alteromonas_,OTHER
WP_014951004.1,MULTISPECIES_ EAL domain-containing protein _Alteromonas_,OTHER
WP_014951005.1,MULTISPECIES_ methyltransferase domain-containing protein _Alteromonas_,OTHER
WP_014951008.1,MULTISPECIES_ proteobacterial dedicated sortase system response regulator _Alteromonas_,OTHER
WP_014951013.1,MULTISPECIES_ CNNM domain-containing protein _Alteromonas_,OTHER
WP_014951015.1,MULTISPECIES_ carbon starvation protein A _Alteromonas_,OTHER
WP_014951021.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_014951024.1,MULTISPECIES_ biopolymer transporter ExbD _Alteromonas_,OTHER
WP_014951025.1,MULTISPECIES_ MotA_TolQ_ExbB proton channel family protein _Alteromonas_,OTHER
WP_014951030.1,MULTISPECIES_ Fe2_-dependent dioxygenase _Alteromonas_,OTHER
WP_014951035.1,MULTISPECIES_ elongation factor G _Alteromonas_,OTHER
WP_014951036.1,MULTISPECIES_ 30S ribosomal protein S7 _Alteromonas_,OTHER
WP_014951037.1,MULTISPECIES_ 30S ribosomal protein S12 _Alteromonas_,OTHER
WP_014951041.1,MULTISPECIES_ 50S ribosomal protein L10 _Alteromonas_,OTHER
WP_014951042.1,MULTISPECIES_ 50S ribosomal protein L1 _Alteromonas_,OTHER
WP_014951043.1,MULTISPECIES_ 50S ribosomal protein L11 _Alteromonas_,OTHER
WP_014951044.1,MULTISPECIES_ transcription termination_antitermination protein NusG _Alteromonas_,OTHER
WP_014951045.1,MULTISPECIES_ preprotein translocase subunit SecE _Alteromonas_,OTHER
WP_014951051.1,MULTISPECIES_ ATP-dependent RNA helicase DbpA _Alteromonas_,OTHER
WP_014951053.1,MULTISPECIES_ dihydroorotase _Alteromonas_,OTHER
WP_014951056.1,MULTISPECIES_ VOC family protein _Alteromonas_,OTHER
WP_014951071.1,MULTISPECIES_ elongation factor P-like protein YeiP _Alteromonas_,OTHER
WP_014951072.1,MULTISPECIES_ carbohydrate kinase _Alteromonas_,OTHER
WP_014951077.1,MULTISPECIES_ glutathione S-transferase N-terminal domain-containing protein _Alteromonas_,OTHER
WP_014951078.1,MULTISPECIES_ glutathione S-transferase family protein _Alteromonas_,OTHER
WP_014951082.1,MULTISPECIES_ DUF2237 domain-containing protein _Alteromonas_,OTHER
WP_014951084.1,MULTISPECIES_ acetolactate synthase large subunit _Alteromonas_,OTHER
WP_014951087.1,MULTISPECIES_ ferrochelatase _Alteromonas_,OTHER
WP_014951088.1,MULTISPECIES_ AbgT family transporter _Alteromonas_,OTHER
WP_014951089.1,MULTISPECIES_ protease modulator HflC _Alteromonas_,SP
WP_014951090.1,MULTISPECIES_ FtsH protease activity modulator HflK _Alteromonas_,OTHER
WP_014951091.1,MULTISPECIES_ GTPase HflX _Alteromonas_,OTHER
WP_014951092.1,MULTISPECIES_ RNA chaperone Hfq _Alteromonas_,OTHER
WP_014951095.1,MULTISPECIES_ N-acetylmuramoyl-L-alanine amidase _Alteromonas_,SP
WP_014951096.1,MULTISPECIES_ tRNA _adenosine_37_-N6_-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE _Alteromonas_,OTHER
WP_014951103.1,MULTISPECIES_ transcriptional repressor _Alteromonas_,OTHER
WP_014951104.1,MULTISPECIES_ chemotaxis protein CheX _Alteromonas_,OTHER
WP_014951106.1,MULTISPECIES_ OmpA family protein _Alteromonas_,SP
WP_014951107.1,MULTISPECIES_ replicative DNA helicase _Alteromonas_,OTHER
WP_014951111.1,MULTISPECIES_ RNA polymerase sigma factor _Alteromonas_,OTHER
WP_014951120.1,MULTISPECIES_ 30S ribosomal protein S6 _Alteromonas_,OTHER
WP_014951121.1,MULTISPECIES_ YebG family protein _Alteromonas_,OTHER
WP_014951126.1,MULTISPECIES_ methyl-accepting chemotaxis protein _Alteromonas_,OTHER
WP_014951129.1,MULTISPECIES_ putative sulfate exporter family transporter _Alteromonas_,OTHER
WP_014951130.1,MULTISPECIES_ TauD_TfdA family dioxygenase _Alteromonas_,OTHER
WP_014951132.1,MULTISPECIES_ GntR family transcriptional regulator _Alteromonas_,OTHER
WP_014951135.1,MULTISPECIES_ solute_sodium symporter family transporter _Alteromonas_,OTHER
WP_014951136.1,MULTISPECIES_ TonB-dependent receptor _Alteromonas_,SP
WP_014951138.1,glycoside hydrolase family 16 protein _Alteromonas macleodii_,LIPO
WP_014951144.1,GH1 family beta-glucosidase _Alteromonas macleodii_,OTHER
WP_014951145.1,LacI family transcriptional regulator _Alteromonas macleodii_,OTHER
WP_014951146.1,sugar porter family MFS transporter _Alteromonas macleodii_,OTHER
WP_014951147.1,ATP-binding cassette domain-containing protein _Alteromonas macleodii_,OTHER
WP_014951154.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_014951158.1,MULTISPECIES_ DUF4440 domain-containing protein _Alteromonas_,OTHER
WP_014951177.1,MULTISPECIES_ CsbD family protein _Alteromonas_,OTHER
WP_014951182.1,outer membrane beta-barrel protein _Alteromonas macleodii_,SP
WP_014951184.1,hypothetical protein _Alteromonas macleodii_,SP
WP_014951185.1,MULTISPECIES_ aminoacyl-tRNA hydrolase _Alteromonas_,OTHER
WP_014951187.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014951188.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014951189.1,MULTISPECIES_ CBS domain-containing protein _Alteromonas_,OTHER
WP_014951192.1,MULTISPECIES_ YceI family protein _Alteromonas_,SP
WP_014951195.1,MULTISPECIES_ DUF2721 domain-containing protein _Alteromonas_,OTHER
WP_014951198.1,MULTISPECIES_ outer membrane protein transport protein _Alteromonas_,SP
WP_014951200.1,GGDEF domain-containing protein _Alteromonas macleodii_,OTHER
WP_014951234.1,MULTISPECIES_ glutamine--fructose-6-phosphate transaminase _isomerizing_ _Alteromonas_,OTHER
