seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,ec_numbers
NZ_JNAX01000010.1,EV03_RS02915,,EV03_RS02915,EV03_0711,Protein Homology,9536.0,11374.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824215.1,ArnT family glycosyltransferase,WP_036905198.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,EV03_0711,493236.0,495074.0,-,CK_Pro_PAC1_00711,,GO:0016740,CK_00008113,"C.3,E.6","Surface polysaccharides and lipopolysaccharides,Polysaccharides and glycoproteins biosynthesis",COG1807,COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,2.4.1.-,,transferase activity,4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferase of PMT family,PF13231,Dolichyl-phosphate-mannose-protein mannosyltransferase,"105,90","Energy metabolism / Biosynthesis and degradation of polysaccharides,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides",2.4.-.-
NZ_JNAX01000010.1,EV03_RS02920,,EV03_RS02920,EV03_0712,Protein Homology,11375.0,12484.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824216.1,glycosyltransferase family 4 protein,WP_036905201.1,"GO:0006486,GO:0016757",,glycosyltransferase activity|0016757||IEA,protein glycosylation|0006486||IEA,EV03_0712,495075.0,496184.0,-,CK_Pro_PAC1_00712,,GO:0016740,CK_00006850,"C.3,E.6","Surface polysaccharides and lipopolysaccharides,Polysaccharides and glycoproteins biosynthesis",COG0438,COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,2.4.1.-,,transferase activity,glycosyl transferase family GT1,"PF00534,IPR001296","Glycosyl transferases group 1,Glycosyl transferase%2C family 1","105,90","Energy metabolism / Biosynthesis and degradation of polysaccharides,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides",2.4.-.-
NZ_JNAX01000010.1,EV03_RS02925,,EV03_RS02925,EV03_0713,Protein Homology,12490.0,13440.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824217.1,DMT family transporter,WP_036905204.1,"GO:0055085,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,EV03_0713,496190.0,497140.0,-,CK_Pro_PAC1_00713,,GO:0016021,CK_00000602,Q.9, Unknown substrate,"COG0697,bactNOG26584,bactNOG06114,bactNOG09091,bactNOG99769,cyaNOG00493","COG: GER,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: G,bactNOG: G,bactNOG: G,cyaNOG: G",,,integral component of membrane,eamA-like transporter family protein,"PF00892,IPR000620","EamA-like transporter family,EamA domain",141,Transport and binding proteins / Unknown substrate,
NZ_JNAX01000010.1,sppA,sppA,EV03_RS02930,EV03_0715,Protein Homology,13494.0,14303.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807939.1,signal peptide peptidase SppA,WP_036905207.1,"GO:0006465,GO:0004252",,serine-type endopeptidase activity|0004252||IEA,signal peptide processing|0006465||IEA,EV03_0715,497206.0,498003.0,+,CK_Pro_PAC1_00715,sppA,"GO:0006508,GO:0008233",CK_00000601,L.4,Degradation of proteins%2C peptides%2C and glycopeptides,"COG0616,bactNOG00724,cyaNOG05755,cyaNOG00901,cyaNOG02295","COG: OU,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",3.4.21.-,,"proteolysis,proteolysis,peptidase activity",signal peptide peptidase SppA (protease IV),"TIGR00706,PF01343,IPR004635,IPR002142,IPR029045","signal peptide peptidase SppA%2C 36K type,Peptidase family S49,Peptidase S49%2C SppA,Peptidase S49,ClpP/crotonase-like domain superfamily",138,Protein fate / Degradation of proteins%2C peptides%2C and glycopeptides,
NZ_JNAX01000010.1,aroH,aroH,EV03_RS02935,EV03_0716,Protein Homology,14300.0,14677.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294888.1,chorismate mutase,WP_011294888.1,"GO:0009073,GO:0004106",,chorismate mutase activity|0004106||IEA,aromatic amino acid family biosynthetic process|0009073||IEA,EV03_0716,498000.0,498377.0,+,CK_Pro_PAC1_00716,aroH,"GO:0009073,GO:0004106",CK_00000600,A.1,Aromatic amino acids family (Phe%2C Trp%2C Tyr),"COG4401,bactNOG37030,bactNOG50525,cyaNOG03401","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",5.4.99.5,chorismate mutase%3B hydroxyphenylpyruvate synthase,"aromatic amino acid family biosynthetic process,aromatic amino acid family biosynthetic process,chorismate mutase activity",chorismate mutase,"TIGR01796,PF07736,PS51167,IPR008243","chorismate mutase,Chorismate mutase type I,Chorismate mutase domain profile.,Chorismate mutase%2C AroH class",70,Amino acid biosynthesis / Aromatic amino acid family,5.4.99.5
NZ_JNAX01000010.1,EV03_RS02940,,EV03_RS02940,EV03_0717,Protein Homology,14775.0,15350.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294889.1,DUF2808 domain-containing protein,WP_036905210.1,,,,,EV03_0717,498475.0,499050.0,+,CK_Pro_PAC1_00717,,,CK_00053268,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved lipoprotein (DUF2808),"PF10989,IPR021256","Protein of unknown function (DUF2808),Protein of unknown function DUF2808",156,Hypothetical proteins / Conserved,
NZ_JNAX01000010.1,rpmH,rpmH,EV03_RS10235,EV03_0718,Protein Homology,15398.0,15535.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011128745.1,50S ribosomal protein L34,WP_011294890.1,"GO:0006412,GO:0003735,GO:0000315,GO:0022625","organellar large ribosomal subunit|0000315||IEA,cytosolic large ribosomal subunit|0022625||IEA",structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,EV03_0718,499098.0,499235.0,+,CK_Pro_PAC1_00718,rpmH,"GO:0006412,GO:0000049,GO:0003723,GO:0003735,GO:0019843,GO:0030529,GO:0005840,GO:0022625",CK_00007751,K.2,Ribosomal proteins: synthesis and modification,"NOG317298,NOG300414,NOG273082,COG0230,bactNOG96711,bactNOG91219,bactNOG99317,cyaNOG09009,cyaNOG04707,cyaNOG04553","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",,,"translation,translation,tRNA binding,RNA binding,structural constituent of ribosome,rRNA binding,translation,tRNA binding,RNA binding,structural constituent of ribosome,rRNA binding,ribonucleoprotein complex,ribosome,cytosolic large ribosomal subunit",50S ribosomal protein L34,"TIGR01030,PF00468,PS00784,IPR020939,IPR000271","ribosomal protein bL34,Ribosomal protein L34,Ribosomal protein L34 signature.,Ribosomal protein L34%2C conserved site,Ribosomal protein L34",158,Protein synthesis / Ribosomal proteins: synthesis and modification,
NZ_JNAX01000010.1,rnpA,rnpA,EV03_RS02945,EV03_0719,Protein Homology,15581.0,15967.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294891.1,ribonuclease P protein component,WP_036905214.1,"GO:0008033,GO:0000049,GO:0004526",,"tRNA binding|0000049||IEA,ribonuclease P activity|0004526||IEA",tRNA processing|0008033||IEA,EV03_0719,499281.0,499667.0,+,CK_Pro_PAC1_00719,rnpA,"GO:0001682,GO:0004526,GO:0000049",CK_00000599,P.4,RNA processing,"NOG47167,COG0594,bactNOG69978,cyaNOG07788,cyaNOG04004","COG: POORLY CHARACTERIZED [S] Function unknown,COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",3.1.26.5,ribonuclease P%3B RNase P,"tRNA 5'-leader removal,tRNA 5'-leader removal,ribonuclease P activity,tRNA binding",ribonuclease P protein component,"TIGR00188,PF00825,IPR000100","ribonuclease P protein component,Ribonuclease P,Ribonuclease P",166,Transcription / RNA processing,3.1.26.5
NZ_JNAX01000010.1,EV03_RS02950,,EV03_RS02950,EV03_0720,Protein Homology,15964.0,16374.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824221.1,PH domain-containing protein,WP_036905217.1,GO:0005515,,protein binding|0005515||IEA,,EV03_0720,499664.0,500074.0,+,CK_Pro_PAC1_00720,,,CK_00000598,"D.1.9,R.1"," Other,Conserved hypothetical domains","NOG12260,bactNOG28197,cyaNOG03369,cyaNOG02607",cyaNOG: POORLY CHARACTERIZED [S] Function unknown,,,,bacterial PH domain-containing protein,"PF03703,IPR005182","Bacterial PH domain,Domain of unknown function DUF304",156,Hypothetical proteins / Conserved,
NZ_JNAX01000010.1,yidC,yidC,EV03_RS02955,EV03_0721,Protein Homology,16459.0,17607.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132820.1,membrane protein insertase YidC,WP_036905220.1,,,,,EV03_0721,500159.0,501307.0,+,CK_Pro_PAC1_00721,ALB3,"GO:0051205,GO:0031224,GO:0016021",CK_00000597,"D.1.7,J.8","Trace metals,Photosystem II","COG0706,bactNOG03371,cyaNOG00865","COG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,bactNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,cyaNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport",,,"protein insertion into membrane,protein insertion into membrane,intrinsic component of membrane,integral component of membrane",photosystem II assembly factor,"TIGR03592,PF02096,IPR028055,IPR001708","membrane protein insertase%2C YidC/Oxa1 family,60Kd inner membrane protein,Membrane insertase YidC/Oxa1%2C C-terminal,Membrane insertase YidC/ALB3/OXA1/COX18",164,Energy metabolism / Photosynthesis,
NZ_JNAX01000010.1,EV03_RS02960,,EV03_RS02960,EV03_0722,Protein Homology,17665.0,19143.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294894.1,AAA family ATPase,WP_036905223.1,"GO:0005524,GO:0016887",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,EV03_0722,501365.0,502843.0,+,CK_Pro_PAC1_00722,ycf46,GO:0005524,CK_00000596,"J.2,N.5","CO2 fixation,Other","COG0464,bactNOG09330,bactNOG00958,cyaNOG00907","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",,,ATP binding,ATPase potentially involved in the regulation of CO2 uptake,"PF00004,IPR003959","ATPase family associated with various cellular activities (AAA),ATPase%2C AAA-type%2C core",164,Energy metabolism / Photosynthesis,
NZ_JNAX01000010.1,serS,serS,EV03_RS02965,EV03_0723,Protein Homology,19266.0,20546.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825278.1,serine--tRNA ligase,WP_036905225.1,"GO:0006434,GO:0000166,GO:0004828,GO:0005524",,"nucleotide binding|0000166||IEA,serine-tRNA ligase activity|0004828||IEA,ATP binding|0005524||IEA",seryl-tRNA aminoacylation|0006434||IEA,EV03_0723,502966.0,504246.0,+,CK_Pro_PAC1_00723,serS,"GO:0006418,GO:0006434,GO:0004828,GO:0004812,GO:0005737",CK_00000595,K.1,tRNA aminoacylation,"COG0172,bactNOG01934,cyaNOG01142","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",6.1.1.11,serine---tRNA ligase%3B seryl-tRNA synthetase%3B SerRS%3B seryl-transfer ribonucleate synthetase%3B seryl-transfer RNA synthetase%3B seryl-transfer ribonucleic acid synthetase%3B serine translase,"tRNA aminoacylation for protein translation,seryl-tRNA aminoacylation,tRNA aminoacylation for protein translation,seryl-tRNA aminoacylation,serine-tRNA ligase activity,aminoacyl-tRNA ligase activity,tRNA aminoacylation for protein translation,seryl-tRNA aminoacylation,serine-tRNA ligase activity,aminoacyl-tRNA ligase activity,cytoplasm",serine--tRNA ligase,"TIGR00414,PF02403,PF00587,PS50862,IPR015866,IPR006195,IPR002317,IPR002314","serine--tRNA ligase,Seryl-tRNA synthetase N-terminal domain,tRNA synthetase class II core domain (G%2C H%2C P%2C S and T),Aminoacyl-transfer RNA synthetases class-II family profile.,Serine-tRNA synthetase%2C type1%2C N-terminal,Aminoacyl-tRNA synthetase%2C class II,Serine-tRNA ligase%2C type1,Aminoacyl-tRNA synthetase%2C class II (G/ P/ S/T)",137,Protein synthesis / tRNA aminoacylation,6.1.1.11
NZ_JNAX01000010.1,rseP,rseP,EV03_RS02970,EV03_0724,Protein Homology,20566.0,21651.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294896.1,RIP metalloprotease RseP,WP_036905228.1,"GO:0006508,GO:0004222,GO:0016020",membrane|0016020||IEA,metalloendopeptidase activity|0004222||IEA,proteolysis|0006508||IEA,EV03_0724,504266.0,505351.0,+,CK_Pro_PAC1_00724,rseP,"GO:0006508,GO:0004222",CK_00000594,L.4,Degradation of proteins%2C peptides%2C and glycopeptides,"COG0750,bactNOG01894,cyaNOG00823,cyaNOG06207","COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",3.4.24.-,,"proteolysis,proteolysis,metalloendopeptidase activity",RIP metalloprotease RseP,"TIGR00054,PF13180,PF02163,PS50106,IPR004387,IPR001478,IPR008915","RIP metalloprotease RseP,PDZ domain,Peptidase family M50,PDZ domain profile.,Peptidase M50%2C putative membrane-associated zinc metallopeptidase,PDZ domain,Peptidase M50",138,Protein fate / Degradation of proteins%2C peptides%2C and glycopeptides,
NZ_JNAX01000010.1,rpsN,rpsN,EV03_RS02975,EV03_0725,Protein Homology,21771.0,22073.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824226.1,30S ribosomal protein S14,WP_011824226.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,EV03_0725,505471.0,505773.0,+,CK_Pro_PAC1_00725,rpsN,"GO:0006412,GO:0003723,GO:0003735,GO:0019843,GO:0005840,GO:0030529,GO:0022627",CK_00000593,K.2,Ribosomal proteins: synthesis and modification,"COG0199,bactNOG38490,cyaNOG06942,cyaNOG03375","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",,,"translation,translation,RNA binding,structural constituent of ribosome,rRNA binding,translation,RNA binding,structural constituent of ribosome,rRNA binding,ribosome,ribonucleoprotein complex,cytosolic small ribosomal subunit",30S ribosomal protein S14,"PF00253,PS00527,IPR001209,IPR018271","Ribosomal protein S14p/S29e,Ribosomal protein S14 signature.,Ribosomal protein S14,Ribosomal protein S14%2C conserved site",158,Protein synthesis / Ribosomal proteins: synthesis and modification,
NZ_JNAX01000010.1,EV03_RS02980,,EV03_RS02980,EV03_0726,Protein Homology,22258.0,24426.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824227.1,polyribonucleotide nucleotidyltransferase,WP_011294898.1,"GO:0006396,GO:0006402,GO:0003723,GO:0004654",,"RNA binding|0003723||IEA,polyribonucleotide nucleotidyltransferase activity|0004654||IEA","RNA processing|0006396||IEA,mRNA catabolic process|0006402||IEA",EV03_0726,505958.0,508126.0,+,CK_Pro_PAC1_00726,pnp,"GO:0006402,GO:0006396,GO:0004654,GO:0003723,GO:0003676,GO:0000175",CK_00000592,P.1,Degradation of RNA,"COG1185,bactNOG01337,cyaNOG01971","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",2.7.7.8,polyribonucleotide nucleotidyltransferase%3B polynucleotide phosphorylase%3B PNPase (ambiguous)%3B nucleoside diphosphate:polynucleotidyl transferase%3B polyribonucleotide phosphorylase,"mRNA catabolic process,RNA processing,mRNA catabolic process,RNA processing,polyribonucleotide nucleotidyltransferase activity,RNA binding,nucleic acid binding,3'-5'-exoribonuclease activity",polyribonucleotide nucleotidyltransferase,"TIGR03591,PF01138,PF00575,PF00013,PF03725,PF03726,PS50084,PS50126,IPR012162,IPR001247,IPR003029,IPR004088,IPR015847,IPR015848,IPR004087,IPR022967,IPR020568,IPR012340,IPR036612,IPR036345,IPR036456,IPR027408","polyribonucleotide nucleotidyltransferase,3' exoribonuclease family%2C domain 1,S1 RNA binding domain,KH domain,3' exoribonuclease family%2C domain 2,Polyribonucleotide nucleotidyltransferase%2C RNA binding domain,Type-1 KH domain profile.,S1 domain profile.,Polyribonucleotide nucleotidyltransferase,Exoribonuclease%2C phosphorolytic domain 1,S1 domain,K Homology domain%2C type 1,Exoribonuclease%2C phosphorolytic domain 2,Polyribonucleotide nucleotidyltransferase%2C RNA-binding domain,K Homology domain,RNA-binding domain%2C S1,Ribosomal protein S5 domain 2-type fold,Nucleic acid-binding%2C OB-fold,K Homology domain%2C type 1 superfamily,Exoribonuclease%2C PH domain 2 superfamily,Polyribonucleotide nucleotidyltransferase%2C RNA-binding domain superfamily,PNPase/RNase PH domain superfamily",134,Transcription / Degradation of RNA,2.7.7.8
NZ_JNAX01000010.1,EV03_RS02985,,EV03_RS02985,EV03_0727,Protein Homology,24430.0,25344.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824228.1,3'(2')%2C5'-bisphosphate nucleotidase CysQ family protein,WP_036905231.1,"GO:0006790,GO:0050427,GO:0000287,GO:0008441",,"magnesium ion binding|0000287||IEA,3'(2')%2C5'-bisphosphate nucleotidase activity|0008441||IEA","sulfur compound metabolic process|0006790||IEA,3'-phosphoadenosine 5'-phosphosulfate metabolic process|0050427||IEA",EV03_0727,508130.0,509044.0,-,CK_Pro_PAC1_00727,cysQ,GO:0046854,CK_00000591,E.7,Sulfur metabolism,"COG1218,bactNOG10935,bactNOG08319,bactNOG15911,bactNOG24044,cyaNOG00350,cyaNOG02320","COG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism",3.1.3.7,3'(2')%2C5'-bisphosphate nucleotidase%3B phosphoadenylate 3'-nucleotidase%3B 3'-phosphoadenylylsulfate 3'-phosphatase%3B 3'(2')%2C5'-bisphosphonucleoside 3'(2')-phosphohydrolase,phosphatidylinositol phosphorylation,3'(2')%2C 5'-bisphosphate nucleotidase,"PF00459,PS00629,PS00630,IPR000760,IPR020583,IPR020550","Inositol monophosphatase family,Inositol monophosphatase family signature 1.,Inositol monophosphatase family signature 2.,Inositol monophosphatase-like,Inositol monophosphatase%2C metal-binding site,Inositol monophosphatase%2C conserved site",106,Central intermediary metabolism / Sulfur metabolism,3.1.3.7
NZ_JNAX01000010.1,rsmI,rsmI,EV03_RS02990,EV03_0728,Protein Homology,25346.0,26233.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294900.1,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,WP_036905233.1,"GO:0000451,GO:0008649,GO:0008757",,"rRNA methyltransferase activity|0008649||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA",rRNA 2'-O-methylation|0000451||IEA,EV03_0728,509046.0,509933.0,+,CK_Pro_PAC1_00728,rsmI,"GO:0006412,GO:0006450,GO:0032259,GO:0008168",CK_00000590,K.2,Ribosomal proteins: synthesis and modification,"COG0313,bactNOG01399,cyaNOG01152","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,"translation,regulation of translational fidelity,methylation,translation,regulation of translational fidelity,methylation,methyltransferase activity",2-O-methyltransferase,"TIGR00096,PF00590,PS01296,IPR008189,IPR000878,IPR018063","16S rRNA (cytidine(1402)-2'-O)-methyltransferase,Tetrapyrrole (Corrin/Porphyrin) Methylases,RsmI AdoMet-dependent methyltransferase protein family signature.,rRNA small subunit methyltransferase I,Tetrapyrrole methylase,SAM-dependent methyltransferase RsmI%2C conserved site",168,Protein synthesis / tRNA and rRNA base modification,2.1.1.198
NZ_JNAX01000010.1,EV03_RS02995,,EV03_RS02995,EV03_0729,Protein Homology,26289.0,26519.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824230.1,hypothetical protein,WP_036905237.1,,,,,EV03_0729,509989.0,510219.0,+,CK_Pro_PAC1_00729,,GO:0016020,CK_00056424,R.2,Conserved hypothetical proteins,,,,,membrane,uncharacterized conserved membrane protein,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000010.1,EV03_RS03000,,EV03_RS03000,EV03_0730,Protein Homology,26543.0,27418.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294902.1,hypothetical protein,WP_052038645.1,,,,,EV03_0730,510243.0,511118.0,-,CK_Pro_PAC1_00730,,,CK_00001219,,,"NOG14854,COG2188,COG2963,COG0760,bactNOG20813,cyaNOG02732","COG: POORLY CHARACTERIZED [S] Function unknown,COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,141,Transport and binding proteins / Unknown substrate,
NZ_JNAX01000010.1,EV03_RS03010,,EV03_RS03010,EV03_0731,Protein Homology,28292.0,28780.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824232.1,DUF2214 family protein,WP_080725187.1,,,,,EV03_0731,511992.0,512402.0,-,CK_Pro_PAC1_00731,,,CK_00000943,,,"COG3556,bactNOG37678,cyaNOG06552","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,"PF09980,IPR018706","Predicted membrane protein (DUF2214),Protein of unknown function DUF2214%2C membrane",156,Hypothetical proteins / Conserved,
NZ_JNAX01000010.1,EV03_RS03015,,EV03_RS03015,EV03_0732,Protein Homology,29018.0,29404.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824233.1,hypothetical protein,WP_036905243.1,,,,,EV03_0732,512718.0,513104.0,+,CK_Pro_PAC1_00732,,,CK_00003473,R.2,Conserved hypothetical proteins,,,,,,uncharacterized secreted protein%2C Prochlorococcus-specific,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000010.1,EV03_RS10130,,EV03_RS10130,EV03_0733,Protein Homology,29604.0,30557.0,-,,,COORDINATES: protein motif:HMM:NF021616.6,glycosyltransferase family A protein,WP_052038646.1,"GO:0006486,GO:0016757",,glycosyltransferase activity|0016757||IEA,protein glycosylation|0006486||IEA,EV03_0733,513304.0,514257.0,-,CK_Pro_PAC1_00733,,GO:0016740,CK_00004923,,,"COG0463,bactNOG37060,cyaNOG04776","COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",2.4.1.-,,transferase activity,possible beta-glycosyltransferase%2C family 2,"PF00535,PF00534,IPR001173,IPR001296","Glycosyl transferase family 2,Glycosyl transferases group 1,Glycosyltransferase 2-like,Glycosyl transferase%2C family 1",90,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,2.4.-.-
