gene,dark-tolerant_cluster,parental_cluster,same_periodicity_pattern
cds-WP_011294224.1,7,10,FALSE
cds-WP_011294225.1,5,5,TRUE
cds-WP_011294225.1-2,1,15,FALSE
cds-WP_011294226.1,15,15,TRUE
cds-WP_011294227.1,5,11,FALSE
cds-WP_011294228.1,14,11,FALSE
cds-WP_011294230.1,14,3,FALSE
cds-WP_011294231.1,14,3,FALSE
cds-WP_011294232.1,10,8,FALSE
cds-WP_011294233.1,5,2,FALSE
cds-WP_011294235.1,12,13,FALSE
cds-WP_011294236.1,11,11,TRUE
cds-WP_011294237.1,5,14,FALSE
cds-WP_011294238.1,14,11,FALSE
cds-WP_011294239.1,3,3,TRUE
cds-WP_011294240.1,2,7,FALSE
cds-WP_011294241.1,2,8,FALSE
cds-WP_011294242.1,9,9,TRUE
cds-WP_011294243.1,9,9,TRUE
cds-WP_011294244.1,7,9,FALSE
cds-WP_011294245.1,14,11,FALSE
cds-WP_011294246.1,3,11,FALSE
cds-WP_011294247.1,13,14,FALSE
cds-WP_011294248.1,11,15,FALSE
cds-WP_011294249.1,14,3,FALSE
cds-WP_011294250.1,14,3,FALSE
cds-WP_011294251.1,11,3,FALSE
cds-WP_011294252.1,14,3,FALSE
cds-WP_011294253.1,14,3,FALSE
cds-WP_011294254.1,11,3,FALSE
cds-WP_011294255.1,11,3,FALSE
cds-WP_011294256.1,15,15,TRUE
cds-WP_011294257.1,15,15,TRUE
cds-WP_011294258.1,10,13,FALSE
cds-WP_011294259.1,3,3,TRUE
cds-WP_011294260.1,6,4,FALSE
cds-WP_011294261.1,6,12,FALSE
cds-WP_011294262.1,8,9,FALSE
cds-WP_011294263.1,3,3,TRUE
cds-WP_011294264.1,3,3,TRUE
cds-WP_011294265.1,15,9,FALSE
cds-WP_011294266.1,5,11,FALSE
cds-WP_011294267.1,4,10,FALSE
cds-WP_011294268.1,1,3,FALSE
cds-WP_011294270.1,6,6,TRUE
cds-WP_011294271.1,11,3,FALSE
cds-WP_011294273.1,2,8,FALSE
cds-WP_011294275.1,2,12,FALSE
cds-WP_011294276.1,10,9,FALSE
cds-WP_011294277.1,14,14,TRUE
cds-WP_011294278.1,15,13,FALSE
cds-WP_011294279.1,5,14,FALSE
cds-WP_011294280.1,13,13,TRUE
cds-WP_011294281.1,3,3,TRUE
cds-WP_011294282.1,3,3,TRUE
cds-WP_011294283.1,11,3,FALSE
cds-WP_011294284.1,1,1,TRUE
cds-WP_011294285.1,15,5,FALSE
cds-WP_011294286.1,1,5,FALSE
cds-WP_011294287.1,14,3,FALSE
cds-WP_011294288.1,12,12,TRUE
cds-WP_011294289.1,10,10,TRUE
cds-WP_011294290.1,5,11,FALSE
cds-WP_011294291.1,7,15,FALSE
cds-WP_011294292.1,10,15,FALSE
cds-WP_011294293.1,10,9,FALSE
cds-WP_011294294.1,11,11,TRUE
cds-WP_011294295.1,11,11,TRUE
cds-WP_011294296.1,14,3,FALSE
cds-WP_011294297.1,14,3,FALSE
cds-WP_011294298.1,14,3,FALSE
cds-WP_011294300.1,6,9,FALSE
cds-WP_011294301.1,2,2,TRUE
cds-WP_011294302.1,9,9,TRUE
cds-WP_011294303.1,11,5,FALSE
cds-WP_011294304.1,12,12,TRUE
cds-WP_011294305.1,12,12,TRUE
cds-WP_011294306.1,4,12,FALSE
cds-WP_011294307.1,12,12,TRUE
cds-WP_011294308.1,12,12,TRUE
cds-WP_011294309.1,4,4,TRUE
cds-WP_011294310.1,4,4,TRUE
cds-WP_011294311.1,6,12,FALSE
cds-WP_011294312.1,4,4,TRUE
cds-WP_011294313.1,7,8,FALSE
cds-WP_011294314.1,14,12,FALSE
cds-WP_011294315.1,12,12,TRUE
cds-WP_011294317.1,3,3,TRUE
cds-WP_011294318.1,4,2,FALSE
cds-WP_011294319.1,9,9,TRUE
cds-WP_011294320.1,2,12,FALSE
cds-WP_011294321.1,14,13,FALSE
cds-WP_011294322.1,11,3,FALSE
cds-WP_011294324.1,4,10,FALSE
cds-WP_011294326.1,5,11,FALSE
cds-WP_011294327.1,3,3,TRUE
cds-WP_011294328.1,14,3,FALSE
cds-WP_011294329.1,15,15,TRUE
cds-WP_011294332.1,9,9,TRUE
cds-WP_011294333.1,13,3,FALSE
cds-WP_011294334.1,2,11,FALSE
cds-WP_011294336.1,13,3,FALSE
cds-WP_011294337.1,13,3,FALSE
cds-WP_011294338.1,5,6,FALSE
cds-WP_011294339.1,13,3,FALSE
cds-WP_011294340.1,3,3,TRUE
cds-WP_011294341.1,12,13,FALSE
cds-WP_011294342.1,12,13,FALSE
cds-WP_011294343.1,13,3,FALSE
cds-WP_011294344.1,4,4,TRUE
cds-WP_011294345.1,4,4,TRUE
cds-WP_011294346.1,6,7,FALSE
cds-WP_011294347.1,12,4,FALSE
cds-WP_011294348.1,5,1,FALSE
cds-WP_011294349.1,6,12,FALSE
cds-WP_011294350.1,1,1,TRUE
cds-WP_011294351.1,1,1,TRUE
cds-WP_011294351.1-2,1,15,FALSE
cds-WP_011294352.1,12,12,TRUE
cds-WP_011294353.1,12,14,FALSE
cds-WP_011294354.1,4,8,FALSE
cds-WP_011294355.1,4,4,TRUE
cds-WP_011294356.1,4,4,TRUE
cds-WP_011294357.1,10,10,TRUE
cds-WP_011294358.1,10,2,FALSE
cds-WP_011294359.1,15,7,FALSE
cds-WP_011294360.1,2,8,FALSE
cds-WP_011294361.1,2,7,FALSE
cds-WP_011294362.1,2,7,FALSE
cds-WP_011294363.1,8,7,FALSE
cds-WP_011294364.1,8,8,TRUE
cds-WP_011294366.1,6,6,TRUE
cds-WP_011294367.1,6,13,FALSE
cds-WP_011294368.1,6,11,FALSE
cds-WP_011294369.1,10,10,TRUE
cds-WP_011294370.1,12,12,TRUE
cds-WP_011294371.1,5,15,FALSE
cds-WP_011294372.1,10,7,FALSE
cds-WP_011294373.1,10,7,FALSE
cds-WP_011294374.1,10,7,FALSE
cds-WP_011294375.1,8,8,TRUE
cds-WP_011294376.1,2,8,FALSE
cds-WP_011294377.1,5,11,FALSE
cds-WP_011294378.1,13,11,FALSE
cds-WP_011294379.1,3,13,FALSE
cds-WP_011294380.1,10,8,FALSE
cds-WP_011294381.1,2,8,FALSE
cds-WP_011294382.1,5,11,FALSE
cds-WP_011294383.1,14,4,FALSE
cds-WP_011294384.1,2,15,FALSE
cds-WP_011294385.1,15,15,TRUE
cds-WP_011294387.1,5,11,FALSE
cds-WP_011294388.1,10,7,FALSE
cds-WP_011294389.1,5,1,FALSE
cds-WP_011294390.1,1,1,TRUE
cds-WP_011294391.1,11,14,FALSE
cds-WP_011294392.1,14,11,FALSE
cds-WP_011294393.1,14,11,FALSE
cds-WP_011294394.1,9,1,FALSE
cds-WP_011294395.1,12,12,TRUE
cds-WP_011294396.1,9,9,TRUE
cds-WP_011294397.1,15,15,TRUE
cds-WP_011294398.1,8,2,FALSE
cds-WP_011294399.1,15,9,FALSE
cds-WP_011294400.1,9,9,TRUE
cds-WP_011294401.1,10,10,TRUE
cds-WP_011294402.1,10,7,FALSE
cds-WP_011294403.1,8,8,TRUE
cds-WP_011294404.1,10,8,FALSE
cds-WP_011294405.1,10,7,FALSE
cds-WP_011294406.1,9,9,TRUE
cds-WP_011294407.1,10,7,FALSE
cds-WP_011294408.1,7,7,TRUE
cds-WP_011294409.1,10,7,FALSE
cds-WP_011294410.1,10,9,FALSE
cds-WP_011294411.1,7,9,FALSE
cds-WP_011294412.1,7,9,FALSE
cds-WP_011294413.1,7,9,FALSE
cds-WP_011294414.1,9,9,TRUE
cds-WP_011294415.1,6,4,FALSE
cds-WP_011294416.1,5,15,FALSE
cds-WP_011294418.1,13,13,TRUE
cds-WP_011294419.1,11,13,FALSE
cds-WP_011294420.1,9,7,FALSE
cds-WP_011294421.1,7,7,TRUE
cds-WP_011294422.1,13,13,TRUE
cds-WP_011294424.1,14,3,FALSE
cds-WP_011294425.1,14,3,FALSE
cds-WP_011294426.1,3,3,TRUE
cds-WP_011294427.1,3,3,TRUE
cds-WP_011294428.1,8,2,FALSE
cds-WP_011294429.1,2,2,TRUE
cds-WP_011294430.1,11,11,TRUE
cds-WP_011294431.1,13,3,FALSE
cds-WP_011294432.1,2,12,FALSE
cds-WP_011294433.1,13,3,FALSE
cds-WP_011294434.1,13,3,FALSE
cds-WP_011294435.1,5,3,FALSE
cds-WP_011294436.1,5,5,TRUE
cds-WP_011294437.1,5,1,FALSE
cds-WP_011294438.1,10,7,FALSE
cds-WP_011294439.1,11,3,FALSE
cds-WP_011294440.1,3,3,TRUE
cds-WP_011294441.1,5,11,FALSE
cds-WP_011294442.1,10,7,FALSE
cds-WP_011294443.1,7,7,TRUE
cds-WP_011294444.1,9,7,FALSE
cds-WP_011294445.1,9,9,TRUE
cds-WP_011294446.1,9,9,TRUE
cds-WP_011294447.1,15,9,FALSE
cds-WP_011294449.1,10,2,FALSE
cds-WP_011294450.1,14,14,TRUE
cds-WP_011294451.1,14,11,FALSE
cds-WP_011294452.1,1,1,TRUE
cds-WP_011294453.1,1,1,TRUE
cds-WP_011294454.1,4,8,FALSE
cds-WP_011294455.1,4,4,TRUE
cds-WP_011294456.1,4,4,TRUE
cds-WP_011294457.1,6,12,FALSE
cds-WP_011294458.1,4,10,FALSE
cds-WP_011294459.1,13,13,TRUE
cds-WP_011294460.1,13,13,TRUE
cds-WP_011294461.1,4,4,TRUE
cds-WP_011294462.1,7,7,TRUE
cds-WP_011294463.1,1,1,TRUE
cds-WP_011294464.1,1,1,TRUE
cds-WP_011294465.1,1,1,TRUE
cds-WP_011294466.1,6,6,TRUE
cds-WP_011294467.1,9,9,TRUE
cds-WP_011294468.1,5,14,FALSE
cds-WP_011294469.1,4,15,FALSE
cds-WP_011294470.1,2,2,TRUE
cds-WP_011294471.1,3,3,TRUE
cds-WP_011294472.1,13,3,FALSE
cds-WP_011294473.1,14,1,FALSE
cds-WP_011294474.1,1,5,FALSE
cds-WP_011294475.1,5,1,FALSE
cds-WP_011294476.1,13,4,FALSE
cds-WP_011294477.1,7,9,FALSE
cds-WP_011294478.1,9,9,TRUE
cds-WP_011294479.1,3,13,FALSE
cds-WP_011294480.1,10,6,FALSE
cds-WP_011294481.1,4,8,FALSE
cds-WP_011294482.1,4,8,FALSE
cds-WP_011294483.1,10,9,FALSE
cds-WP_011294484.1,6,7,FALSE
cds-WP_011294485.1,9,9,TRUE
cds-WP_011294486.1,9,7,FALSE
cds-WP_011294487.1,10,7,FALSE
cds-WP_011294488.1,7,9,FALSE
cds-WP_011294489.1,15,10,FALSE
cds-WP_011294490.1,15,11,FALSE
cds-WP_011294491.1,15,15,TRUE
cds-WP_011294492.1,15,15,TRUE
cds-WP_011294494.1,2,13,FALSE
cds-WP_011294495.1,5,14,FALSE
cds-WP_011294496.1,3,3,TRUE
cds-WP_011294497.1,3,3,TRUE
cds-WP_011294498.1,10,13,FALSE
cds-WP_011294499.1,3,3,TRUE
cds-WP_011294501.1,4,4,TRUE
cds-WP_011294502.1,4,8,FALSE
cds-WP_011294503.1,13,12,FALSE
cds-WP_011294504.1,6,4,FALSE
cds-WP_011294505.1,4,10,FALSE
cds-WP_011294506.1,4,10,FALSE
cds-WP_011294507.1,4,10,FALSE
cds-WP_011294508.1,5,14,FALSE
cds-WP_011294509.1,14,3,FALSE
cds-WP_011294510.1,5,11,FALSE
cds-WP_011294511.1,1,14,FALSE
cds-WP_011294512.1,1,14,FALSE
cds-WP_011294513.1,1,14,FALSE
cds-WP_011294514.1,5,14,FALSE
cds-WP_011294515.1,5,14,FALSE
cds-WP_011294516.1,5,14,FALSE
cds-WP_011294517.1,13,13,TRUE
cds-WP_011294518.1,13,13,TRUE
cds-WP_011294519.1,14,13,FALSE
cds-WP_011294521.1,14,13,FALSE
cds-WP_011294522.1,11,3,FALSE
cds-WP_011294523.1,3,13,FALSE
cds-WP_011294524.1,5,12,FALSE
cds-WP_011294525.1,12,12,TRUE
cds-WP_011294526.1,12,4,FALSE
cds-WP_011294527.1,8,8,TRUE
cds-WP_011294528.1,15,1,FALSE
cds-WP_011294530.1,9,15,FALSE
cds-WP_011294531.1,13,14,FALSE
cds-WP_011294532.1,5,5,TRUE
cds-WP_011294533.1,5,5,TRUE
cds-WP_011294534.1,12,12,TRUE
cds-WP_011294535.1,5,11,FALSE
cds-WP_011294536.1,8,2,FALSE
cds-WP_011294537.1,4,8,FALSE
cds-WP_011294538.1,12,4,FALSE
cds-WP_011294539.1,1,8,FALSE
cds-WP_011294540.1,14,6,FALSE
cds-WP_011294541.1,6,4,FALSE
cds-WP_011294542.1,8,8,TRUE
cds-WP_011294543.1,8,8,TRUE
cds-WP_011294544.1,14,13,FALSE
cds-WP_011294545.1,4,4,TRUE
cds-WP_011294546.1,12,12,TRUE
cds-WP_011294548.1,15,2,FALSE
cds-WP_011294549.1,6,9,FALSE
cds-WP_011294551.1,2,2,TRUE
cds-WP_011294554.1,6,6,TRUE
cds-WP_011294555.1,4,4,TRUE
cds-WP_011294557.1,3,3,TRUE
cds-WP_011294558.1,3,13,FALSE
cds-WP_011294559.1,6,6,TRUE
cds-WP_011294560.1,4,6,FALSE
cds-WP_011294561.1,8,10,FALSE
cds-WP_011294562.1,5,11,FALSE
cds-WP_011294563.1,5,13,FALSE
cds-WP_011294564.1,6,12,FALSE
cds-WP_011294565.1,11,15,FALSE
cds-WP_011294566.1,5,11,FALSE
cds-WP_011294567.1,2,2,TRUE
cds-WP_011294568.1,6,4,FALSE
cds-WP_011294569.1,12,4,FALSE
cds-WP_011294570.1,7,9,FALSE
cds-WP_011294571.1,7,9,FALSE
cds-WP_011294573.1,6,7,FALSE
cds-WP_011294574.1,1,1,TRUE
cds-WP_011294575.1,7,9,FALSE
cds-WP_011294576.1,4,8,FALSE
cds-WP_011294577.1,10,7,FALSE
cds-WP_011294578.1,8,7,FALSE
cds-WP_011294579.1,8,8,TRUE
cds-WP_011294580.1,8,8,TRUE
cds-WP_011294581.1,6,8,FALSE
cds-WP_011294582.1,4,4,TRUE
cds-WP_011294583.1,4,8,FALSE
cds-WP_011294584.1,6,10,FALSE
cds-WP_011294585.1,12,6,FALSE
cds-WP_011294586.1,9,7,FALSE
cds-WP_011294587.1,2,9,FALSE
cds-WP_011294588.1,15,9,FALSE
cds-WP_011294589.1,1,1,TRUE
cds-WP_011294590.1,7,7,TRUE
cds-WP_011294591.1,2,1,FALSE
cds-WP_011294593.1,6,4,FALSE
cds-WP_011294594.1,8,9,FALSE
cds-WP_011294595.1,6,4,FALSE
cds-WP_011294596.1,6,10,FALSE
cds-WP_011294597.1,6,4,FALSE
cds-WP_011294598.1,6,12,FALSE
cds-WP_011294599.1,4,10,FALSE
cds-WP_011294600.1,12,6,FALSE
cds-WP_011294601.1,12,12,TRUE
cds-WP_011294602.1,6,4,FALSE
cds-WP_011294603.1,8,7,FALSE
cds-WP_011294605.1,1,15,FALSE
cds-WP_011294605.1-2,15,1,FALSE
cds-WP_011294606.1,1,15,FALSE
cds-WP_011294607.1,8,2,FALSE
cds-WP_011294608.1,2,8,FALSE
cds-WP_011294609.1,2,8,FALSE
cds-WP_011294610.1,10,2,FALSE
cds-WP_011294612.1,4,8,FALSE
cds-WP_011294613.1,6,7,FALSE
cds-WP_011294614.1,15,2,FALSE
cds-WP_011294615.1,4,7,FALSE
cds-WP_011294616.1,10,7,FALSE
cds-WP_011294617.1,10,8,FALSE
cds-WP_011294618.1,2,2,TRUE
cds-WP_011294619.1,10,7,FALSE
cds-WP_011294620.1,8,8,TRUE
cds-WP_011294621.1,2,2,TRUE
cds-WP_011294623.1,13,13,TRUE
cds-WP_011294624.1,5,5,TRUE
cds-WP_011294625.1,1,5,FALSE
cds-WP_011294626.1,9,9,TRUE
cds-WP_011294627.1,2,9,FALSE
cds-WP_011294628.1,4,7,FALSE
cds-WP_011294629.1,2,15,FALSE
cds-WP_011294630.1,10,7,FALSE
cds-WP_011294633.1,1,15,FALSE
cds-WP_011294634.1,14,11,FALSE
cds-WP_011294635.1,6,4,FALSE
cds-WP_011294636.1,1,15,FALSE
cds-WP_011294637.1,6,14,FALSE
cds-WP_011294638.1,10,7,FALSE
cds-WP_011294639.1,6,12,FALSE
cds-WP_011294640.1,6,4,FALSE
cds-WP_011294641.1,2,2,TRUE
cds-WP_011294642.1,4,8,FALSE
cds-WP_011294643.1,4,7,FALSE
cds-WP_011294644.1,12,12,TRUE
cds-WP_011294646.1,6,8,FALSE
cds-WP_011294647.1,4,7,FALSE
cds-WP_011294649.1,13,13,TRUE
cds-WP_011294651.1,14,11,FALSE
cds-WP_011294652.1,14,14,TRUE
cds-WP_011294653.1,2,8,FALSE
cds-WP_011294654.1,2,8,FALSE
cds-WP_011294657.1,10,9,FALSE
cds-WP_011294659.1,4,8,FALSE
cds-WP_011294660.1,4,7,FALSE
cds-WP_011294661.1,3,11,FALSE
cds-WP_011294662.1,12,12,TRUE
cds-WP_011294663.1,1,1,TRUE
cds-WP_011294665.1,9,9,TRUE
cds-WP_011294666.1,4,4,TRUE
cds-WP_011294669.1,2,7,FALSE
cds-WP_011294670.1,1,1,TRUE
cds-WP_011294671.1,1,1,TRUE
cds-WP_011294672.1,10,9,FALSE
cds-WP_011294673.1,3,13,FALSE
cds-WP_011294675.1,13,6,FALSE
cds-WP_011294676.1,15,15,TRUE
cds-WP_011294679.1,14,12,FALSE
cds-WP_011294680.1,1,1,TRUE
cds-WP_011294682.1,9,9,TRUE
cds-WP_011294683.1,1,15,FALSE
cds-WP_011294684.1,15,9,FALSE
cds-WP_011294685.1,15,9,FALSE
cds-WP_011294686.1,13,13,TRUE
cds-WP_011294688.1,15,10,FALSE
cds-WP_011294689.1,6,6,TRUE
cds-WP_011294690.1,4,10,FALSE
cds-WP_011294691.1,9,9,TRUE
cds-WP_011294692.1,10,7,FALSE
cds-WP_011294694.1,4,7,FALSE
cds-WP_011294695.1,4,8,FALSE
cds-WP_011294696.1,6,10,FALSE
cds-WP_011294699.1,6,10,FALSE
cds-WP_011294700.1,2,8,FALSE
cds-WP_011294701.1,7,7,TRUE
cds-WP_011294702.1,9,9,TRUE
cds-WP_011294703.1,9,9,TRUE
cds-WP_011294704.1,15,9,FALSE
cds-WP_011294705.1,10,9,FALSE
cds-WP_011294706.1,10,9,FALSE
cds-WP_011294707.1,1,15,FALSE
cds-WP_011294709.1,10,7,FALSE
cds-WP_011294710.1,13,13,TRUE
cds-WP_011294712.1,1,1,TRUE
cds-WP_011294713.1,6,8,FALSE
cds-WP_011294714.1,11,11,TRUE
cds-WP_011294716.1,12,14,FALSE
cds-WP_011294718.1,3,3,TRUE
cds-WP_011294721.1,13,3,FALSE
cds-WP_011294722.1,13,3,FALSE
cds-WP_011294723.1,5,11,FALSE
cds-WP_011294724.1,14,13,FALSE
cds-WP_011294725.1,14,6,FALSE
cds-WP_011294727.1,14,11,FALSE
cds-WP_011294728.1,5,11,FALSE
cds-WP_011294729.1,14,11,FALSE
cds-WP_011294730.1,1,1,TRUE
cds-WP_011294731.1,1,11,FALSE
cds-WP_011294732.1,10,7,FALSE
cds-WP_011294733.1,4,2,FALSE
cds-WP_011294734.1,4,8,FALSE
cds-WP_011294735.1,4,8,FALSE
cds-WP_011294736.1,12,6,FALSE
cds-WP_011294737.1,12,4,FALSE
cds-WP_011294738.1,12,4,FALSE
cds-WP_011294739.1,11,11,TRUE
cds-WP_011294741.1,10,7,FALSE
cds-WP_011294742.1,8,8,TRUE
cds-WP_011294743.1,8,7,FALSE
cds-WP_011294744.1,7,7,TRUE
cds-WP_011294745.1,6,6,TRUE
cds-WP_011294746.1,10,7,FALSE
cds-WP_011294747.1,15,9,FALSE
cds-WP_011294748.1,5,12,FALSE
cds-WP_011294749.1,14,11,FALSE
cds-WP_011294750.1,5,5,TRUE
cds-WP_011294751.1,5,1,FALSE
cds-WP_011294752.1,3,10,FALSE
cds-WP_011294753.1,13,3,FALSE
cds-WP_011294754.1,10,10,TRUE
cds-WP_011294755.1,11,1,FALSE
cds-WP_011294756.1,4,15,FALSE
cds-WP_011294757.1,10,9,FALSE
cds-WP_011294758.1,15,7,FALSE
cds-WP_011294759.1,11,11,TRUE
cds-WP_011294760.1,2,2,TRUE
cds-WP_011294761.1,2,12,FALSE
cds-WP_011294762.1,7,9,FALSE
cds-WP_011294763.1,14,11,FALSE
cds-WP_011294764.1,5,11,FALSE
cds-WP_011294765.1,9,9,TRUE
cds-WP_011294766.1,9,9,TRUE
cds-WP_011294767.1,9,9,TRUE
cds-WP_011294768.1,3,3,TRUE
cds-WP_011294769.1,14,3,FALSE
cds-WP_011294770.1,3,13,FALSE
cds-WP_011294771.1,7,6,FALSE
cds-WP_011294772.1,5,13,FALSE
cds-WP_011294773.1,12,13,FALSE
cds-WP_011294774.1,13,3,FALSE
cds-WP_011294775.1,7,9,FALSE
cds-WP_011294776.1,11,3,FALSE
cds-WP_011294778.1,10,9,FALSE
cds-WP_011294779.1,5,11,FALSE
cds-WP_011294780.1,11,3,FALSE
cds-WP_011294781.1,5,3,FALSE
cds-WP_011294782.1,1,14,FALSE
cds-WP_011294783.1,3,3,TRUE
cds-WP_011294784.1,1,14,FALSE
cds-WP_011294785.1,15,1,FALSE
cds-WP_011294786.1,6,2,FALSE
cds-WP_011294787.1,3,3,TRUE
cds-WP_011294788.1,3,3,TRUE
cds-WP_011294789.1,14,13,FALSE
cds-WP_011294790.1,2,2,TRUE
cds-WP_011294791.1,5,13,FALSE
cds-WP_011294792.1,10,9,FALSE
cds-WP_011294793.1,4,8,FALSE
cds-WP_011294794.1,10,7,FALSE
cds-WP_011294796.1,14,3,FALSE
cds-WP_011294797.1,14,14,TRUE
cds-WP_011294798.1,6,13,FALSE
cds-WP_011294799.1,4,7,FALSE
cds-WP_011294800.1,6,4,FALSE
cds-WP_011294801.1,14,11,FALSE
cds-WP_011294802.1,1,1,TRUE
cds-WP_011294803.1,14,11,FALSE
cds-WP_011294804.1,1,1,TRUE
cds-WP_011294805.1,4,10,FALSE
cds-WP_011294806.1,14,3,FALSE
cds-WP_011294807.1,5,11,FALSE
cds-WP_011294808.1,5,3,FALSE
cds-WP_011294809.1,11,3,FALSE
cds-WP_011294810.1,14,11,FALSE
cds-WP_011294811.1,15,13,FALSE
cds-WP_011294812.1,11,11,TRUE
cds-WP_011294814.1,5,15,FALSE
cds-WP_011294815.1,1,1,TRUE
cds-WP_011294816.1,1,1,TRUE
cds-WP_011294817.1,5,14,FALSE
cds-WP_011294818.1,1,14,FALSE
cds-WP_011294819.1,10,9,FALSE
cds-WP_011294820.1,3,3,TRUE
cds-WP_011294821.1,13,14,FALSE
cds-WP_011294822.1,13,14,FALSE
cds-WP_011294823.1,14,11,FALSE
cds-WP_011294824.1,10,7,FALSE
cds-WP_011294825.1,9,9,TRUE
cds-WP_011294826.1,2,2,TRUE
cds-WP_011294827.1,4,8,FALSE
cds-WP_011294828.1,6,8,FALSE
cds-WP_011294829.1,8,9,FALSE
cds-WP_011294830.1,6,7,FALSE
cds-WP_011294832.1,7,10,FALSE
cds-WP_011294833.1,10,8,FALSE
cds-WP_011294834.1,15,15,TRUE
cds-WP_011294835.1,14,14,TRUE
cds-WP_011294836.1,14,3,FALSE
cds-WP_011294837.1,11,12,FALSE
cds-WP_011294838.1,8,4,FALSE
cds-WP_011294839.1,3,3,TRUE
cds-WP_011294841.1,9,9,TRUE
cds-WP_011294842.1,9,9,TRUE
cds-WP_011294843.1,9,9,TRUE
cds-WP_011294844.1,10,7,FALSE
cds-WP_011294845.1,15,15,TRUE
cds-WP_011294846.1,1,1,TRUE
cds-WP_011294847.1,12,14,FALSE
cds-WP_011294848.1,12,14,FALSE
cds-WP_011294849.1,11,3,FALSE
cds-WP_011294851.1,7,8,FALSE
cds-WP_011294852.1,14,13,FALSE
cds-WP_011294853.1,2,2,TRUE
cds-WP_011294854.1,8,15,FALSE
cds-WP_011294855.1,14,11,FALSE
cds-WP_011294856.1,5,11,FALSE
cds-WP_011294857.1,7,7,TRUE
cds-WP_011294858.1,1,14,FALSE
cds-WP_011294859.1,15,2,FALSE
cds-WP_011294860.1,9,2,FALSE
cds-WP_011294861.1,6,12,FALSE
cds-WP_011294862.1,6,13,FALSE
cds-WP_011294863.1,13,3,FALSE
cds-WP_011294864.1,6,13,FALSE
cds-WP_011294865.1,15,1,FALSE
cds-WP_011294866.1,9,5,FALSE
cds-WP_011294867.1,8,8,TRUE
cds-WP_011294868.1,8,8,TRUE
cds-WP_011294869.1,8,8,TRUE
cds-WP_011294870.1,6,12,FALSE
cds-WP_011294871.1,6,13,FALSE
cds-WP_011294872.1,1,1,TRUE
cds-WP_011294873.1,8,15,FALSE
cds-WP_011294874.1,14,11,FALSE
cds-WP_011294875.1,1,5,FALSE
cds-WP_011294876.1,12,12,TRUE
cds-WP_011294877.1,6,4,FALSE
cds-WP_011294879.1,15,12,FALSE
cds-WP_011294880.1,14,3,FALSE
cds-WP_011294881.1,13,3,FALSE
cds-WP_011294882.1,5,5,TRUE
cds-WP_011294883.1,13,13,TRUE
cds-WP_011294884.1,2,8,FALSE
cds-WP_011294885.1,11,3,FALSE
cds-WP_011294886.1,5,11,FALSE
cds-WP_011294887.1,9,9,TRUE
cds-WP_011294888.1,9,9,TRUE
cds-WP_011294889.1,15,1,FALSE
cds-WP_011294891.1,11,11,TRUE
cds-WP_011294892.1,5,5,TRUE
cds-WP_011294893.1,14,11,FALSE
cds-WP_011294894.1,1,5,FALSE
cds-WP_011294895.1,13,3,FALSE
cds-WP_011294896.1,5,11,FALSE
cds-WP_011294897.1,3,3,TRUE
cds-WP_011294898.1,14,11,FALSE
cds-WP_011294899.1,11,3,FALSE
cds-WP_011294900.1,15,15,TRUE
cds-WP_011294901.1,2,15,FALSE
cds-WP_011294902.1,12,12,TRUE
cds-WP_011294903.1,3,3,TRUE
cds-WP_011294904.1,14,3,FALSE
cds-WP_011294905.1,12,12,TRUE
cds-WP_011294906.1,7,7,TRUE
cds-WP_011294908.1,14,3,FALSE
cds-WP_011294910.1,13,3,FALSE
cds-WP_011294911.1,13,13,TRUE
cds-WP_011294912.1,12,12,TRUE
cds-WP_011294913.1,11,3,FALSE
cds-WP_011294915.1,10,15,FALSE
cds-WP_011294916.1,6,7,FALSE
cds-WP_011294917.1,1,1,TRUE
cds-WP_011294918.1,5,5,TRUE
cds-WP_011294919.1,15,9,FALSE
cds-WP_011294921.1,9,9,TRUE
cds-WP_011294922.1,2,7,FALSE
cds-WP_011294923.1,3,3,TRUE
cds-WP_011294924.1,13,13,TRUE
cds-WP_011294925.1,14,3,FALSE
cds-WP_011294926.1,6,4,FALSE
cds-WP_011294927.1,15,9,FALSE
cds-WP_011294928.1,10,9,FALSE
cds-WP_011294929.1,6,8,FALSE
cds-WP_011294930.1,9,9,TRUE
cds-WP_011294933.1,11,14,FALSE
cds-WP_011294934.1,11,3,FALSE
cds-WP_011294935.1,13,13,TRUE
cds-WP_011294936.1,10,2,FALSE
cds-WP_011294937.1,10,2,FALSE
cds-WP_011294938.1,1,15,FALSE
cds-WP_011294939.1,14,12,FALSE
cds-WP_011294940.1,11,3,FALSE
cds-WP_011294941.1,15,9,FALSE
cds-WP_011294942.1,15,9,FALSE
cds-WP_011294944.1,15,15,TRUE
cds-WP_011294946.1,7,6,FALSE
cds-WP_011294947.1,10,7,FALSE
cds-WP_011294950.1,9,9,TRUE
cds-WP_011294951.1,13,13,TRUE
cds-WP_011294952.1,13,13,TRUE
cds-WP_011294953.1,7,10,FALSE
cds-WP_011294954.1,7,7,TRUE
cds-WP_011294955.1,6,11,FALSE
cds-WP_011294957.1,4,8,FALSE
cds-WP_011294958.1,4,8,FALSE
cds-WP_011294959.1,6,9,FALSE
cds-WP_011294960.1,7,2,FALSE
cds-WP_011294961.1,6,6,TRUE
