locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0379,2,3.57,2.46,1.74,0.0,Conserved hypothetical protein,hypothetical,3h,PMM0379,locus_tag:locus_tag
PMM0383,2,-1.74,0.44,0.31,0.18,Transport and binding proteins,probable periplasmic protein,3h,PMM0383,locus_tag:locus_tag
PMM0388,2,-0.87,2.0,1.41,1.0,Chemotaxis,putative similar to tRNA-(MS[2]IO[6]A)-hydroxylase,3h,PMM0388,locus_tag:locus_tag
PMM0395,2,0.83,0.6,0.43,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0395,locus_tag:locus_tag
PMM0400,2,-1.26,1.93,1.36,0.23,Adaptations and atypical conditions,light repressed protein A homolog,3h,PMM0400,locus_tag:locus_tag
PMM0403,2,-0.53,0.58,0.41,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0403,locus_tag:locus_tag
PMM0405,2,1.84,1.0,0.71,0.38,Transport and binding proteins,Dihydrolipoamide acetyltransferase component (E2) of pyruvate de,3h,PMM0405,locus_tag:locus_tag
PMM0407,2,0.23,0.4,0.28,1.0,Serine family / Sulfur assimilation,O-acetylserine (thiol)-lyase A,3h,PMM0407,locus_tag:locus_tag
PMM0410,2,-0.72,0.82,0.58,1.0,Ribosomal proteins,30S ribosomal protein S4,3h,PMM0410,locus_tag:locus_tag
PMM0411,2,-2.21,0.98,0.7,0.06,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0411,locus_tag:locus_tag
PMM0412,2,-0.32,1.64,1.16,0.78,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0412,locus_tag:locus_tag
PMM0416,2,0.52,0.97,0.69,1.0,"RNA synthesis, modification, and DNA transcription SAM (and some other nucleotide) binding motif:Generic methyl-...",,3h,PMM0416,locus_tag:locus_tag
PMM0417,2,-1.01,1.24,0.88,0.84,Conserved hypothetical protein,hypothetical,3h,PMM0417,locus_tag:locus_tag
PMM0418,2,3.01,1.65,1.17,0.0,Other,NifU-like protein,3h,PMM0418,locus_tag:locus_tag
PMM0428,2,-0.49,0.96,0.68,1.0,"Cobalamin, heme, phycobilin and porphyrin",chlorophyll synthase 33 kD subunit,3h,PMM0428,locus_tag:locus_tag
PMM0429,2,-0.87,0.02,0.01,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0429,locus_tag:locus_tag
PMM0435,2,-0.59,0.46,0.32,1.0,NADH dehydrogenase,putative NADH dehydrogenase (complex I) subunit (chain 2),3h,PMM0435,locus_tag:locus_tag
PMM0436,2,-1.33,0.86,0.61,0.68,"DNA replication, recombination, and repair",Prokaryotic DNA topoisomerase,3h,PMM0436,locus_tag:locus_tag
PMM0441,2,-0.62,0.52,0.37,1.0,Other,Aldo/keto reductase family,3h,PMM0441,locus_tag:locus_tag
PMM0443,2,1.64,0.55,0.39,0.14,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0443,locus_tag:locus_tag
PMM0445,2,0.54,1.75,1.24,1.0,Respiratory terminal oxidases,"Cytochrome c oxidase, subunit I",3h,PMM0445,locus_tag:locus_tag
PMM0446,2,-0.08,0.2,0.14,1.0,Respiratory terminal oxidases,"putative cytochrome c oxidase, subunit 2",3h,PMM0446,locus_tag:locus_tag
PMM0447,2,0.23,0.54,0.38,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0447,locus_tag:locus_tag
PMM0448,2,0.64,2.41,1.7,0.58,"Cobalamin, heme, phycobilin and porphyrin",putative protoheme IX farnesyltransferase,3h,PMM0448,locus_tag:locus_tag
PMM0451,2,-0.7,0.61,0.43,0.79,Other,possible Arenavirus glycoprotein,3h,PMM0451,locus_tag:locus_tag
PMM0452,2,-0.74,0.33,0.23,1.0,Chaperones,GroEL2 protein (Chaperonin cpn60 2),3h,PMM0452,locus_tag:locus_tag
PMM0453,2,-1.84,1.33,0.94,0.14,"Fatty acid, phospholipid and sterol metabolism",3-oxoacyl-[acyl-carrier protein] reductase,3h,PMM0453,locus_tag:locus_tag
PMM0461,2,2.9,0.62,0.44,0.0,Cytochrome b6/f complex,Cytochrome f,3h,PMM0461,locus_tag:locus_tag
PMM0462,2,1.91,0.27,0.19,0.56,Cytochrome b6/f complex,Rieske iron-sulfur protein,3h,PMM0462,locus_tag:locus_tag
PMM0465,2,3.42,0.45,0.32,0.0,Conserved hypothetical protein,hypothetical,3h,PMM0465,locus_tag:locus_tag
PMM0468,2,0.95,0.52,0.37,1.0,Photosystem I,Photosystem I PsaJ protein (subunit IX),3h,PMM0468,locus_tag:locus_tag
PMM0469,2,-0.05,0.66,0.47,1.0,Photosystem I,Photosystem I PsaF protein (subunit III),3h,PMM0469,locus_tag:locus_tag
PMM0470,2,-1.11,0.81,0.57,0.68,Other,probable o-sialoglycoprotein endopeptidase,3h,PMM0470,locus_tag:locus_tag
PMM0471,2,-2.38,0.68,0.48,0.0,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM0471,locus_tag:locus_tag
PMM0472,2,-0.93,0.15,0.11,0.64,Transport and binding proteins,"putative Na+/H+ antiporter, CPA1 family",3h,PMM0472,locus_tag:locus_tag
PMM0473,2,-0.3,0.9,0.64,1.0,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA synthetase,3h,PMM0473,locus_tag:locus_tag
PMM0474,2,-0.93,0.42,0.3,1.0,Conserved hypothetical protein,Conserved hypothetical protein,3h,PMM0474,locus_tag:locus_tag
PMM0475,2,-1.23,0.37,0.26,1.0,Ribosomal proteins,Ribosomal protein L19,3h,PMM0475,locus_tag:locus_tag
PMM0476,2,-0.48,0.57,0.4,0.88,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0476,locus_tag:locus_tag
PMM0477,2,-0.23,0.23,0.16,1.0,Protein modification and translation factors,putative methionine aminopeptidase,3h,PMM0477,locus_tag:locus_tag
PMM0478,2,-1.44,0.43,0.31,0.35,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0478,locus_tag:locus_tag
PMM0479,2,-1.66,0.87,0.62,0.25,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0479,locus_tag:locus_tag
PMM0480,2,2.26,0.57,0.4,0.01,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0480,locus_tag:locus_tag
PMM0481,2,-1.34,1.62,1.15,0.29,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0481,locus_tag:locus_tag
PMM0482,2,1.25,0.87,0.62,1.0,Other,Band 7 protein,3h,PMM0482,locus_tag:locus_tag
PMM0483,2,-0.3,0.24,0.17,1.0,"Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde 2,1-aminomutase",3h,PMM0483,locus_tag:locus_tag
PMM0485,2,3.03,0.54,0.38,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0485,locus_tag:locus_tag
PMM0491,2,-0.27,1.79,1.27,0.96,Other,4a-hydroxytetrahydrobiopterin dehydratase (PCD),3h,PMM0491,locus_tag:locus_tag
PMM0492,2,-0.85,1.18,0.84,0.87,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0492,locus_tag:locus_tag
PMM0493,2,0.45,0.94,0.67,1.0,Other,Carboxypeptidase Taq (M32) metallopeptidase,3h,PMM0493,locus_tag:locus_tag
PMM0494,2,0.99,0.37,0.26,0.81,Phosphorus compounds,putative inorganic pyrophosphatase,3h,PMM0494,locus_tag:locus_tag
PMM0495,2,1.31,0.14,0.1,0.38,"Cobalamin, heme, phycobilin and porphyrin",Porphobilinogen deaminase,3h,PMM0495,locus_tag:locus_tag
PMM0496,2,-0.46,0.03,0.02,1.0,"RNA synthesis, modification, and DNA transcription",Putative principal RNA polymerase sigma factor,3h,PMM0496,locus_tag:locus_tag
PMM0500,2,-0.98,0.72,0.51,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0500,locus_tag:locus_tag
PMM0502,2,0.06,0.1,0.07,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0502,locus_tag:locus_tag
PMM0503,2,-0.81,0.69,0.49,0.72,"Cobalamin, heme, phycobilin and porphyrin",possible precorrin-6X reductase,3h,PMM0503,locus_tag:locus_tag
PMM0506,2,-1.08,1.09,0.77,0.61,Purine ribonucleotide biosynthesis,Adenylosuccinate synthetase,3h,PMM0506,locus_tag:locus_tag
PMM0507,2,-1.62,0.79,0.56,0.38,Photosystem II,possible Photosystem II reaction center Psb27 protein,3h,PMM0507,locus_tag:locus_tag
PMM0508,2,0.85,0.91,0.64,1.0,Aminoacyl tRNA synthetases and tRNA modification,Prolyl-tRNA synthetase,3h,PMM0508,locus_tag:locus_tag
PMM0510,2,-1.33,0.14,0.1,1.0,Transposon-related functions,possible Reverse transcriptase (RNA-dependent,3h,PMM0510,locus_tag:locus_tag
PMM0511,2,-1.4,0.7,0.5,1.0,Other,Inorganic pyrophosphatase,3h,PMM0511,locus_tag:locus_tag
PMM0515,2,-1.31,0.14,0.1,0.36,"Cobalamin, heme, phycobilin and porphyrin",possible alpha-ribazole-5'-P phosphatase,3h,PMM0515,locus_tag:locus_tag
PMM0519,2,-0.24,0.97,0.69,1.0,Other,Transaldolase,3h,PMM0519,locus_tag:locus_tag
PMM0520,2,-1.48,0.58,0.41,0.44,Other,NAD binding site,3h,PMM0520,locus_tag:locus_tag
PMM0522,2,-0.3,1.54,1.09,1.0,Pyrimidine ribonucleotide biosynthesis,uridylate kinase,3h,PMM0522,locus_tag:locus_tag
PMM0525,2,-1.18,0.32,0.23,0.45,Other,Ferrochelatase,3h,PMM0525,locus_tag:locus_tag
PMM0526,2,1.97,0.2,0.14,0.16,Branched chain family,Acetolactate synthase large subunit,3h,PMM0526,locus_tag:locus_tag
PMM0530,2,-1.68,0.83,0.59,0.41,Ribosomal proteins,"30S ribosomal protein S1 homolog B, putative Nbp1",3h,PMM0530,locus_tag:locus_tag
PMM0532,2,1.07,0.83,0.59,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0532,locus_tag:locus_tag
PMM0533,2,-1.32,0.14,0.1,0.48,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0533,locus_tag:locus_tag
PMM0534,2,-0.72,0.77,0.55,0.81,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, alpha subunit",3h,PMM0534,locus_tag:locus_tag
PMM0536,2,0.2,0.33,0.23,1.0,Folic acid,putative GTP cyclohydrolase I,3h,PMM0536,locus_tag:locus_tag
PMM0537,2,-2.19,0.43,0.3,0.01,Aromatic amino acid family,phosphoribosylanthranilate isomerase,3h,PMM0537,locus_tag:locus_tag
PMM0540,2,3.64,0.82,0.58,0.0,Photosystem I,possible photosystem I reaction centre subunit XII (PsaM),3h,PMM0540,locus_tag:locus_tag
PMM0541,2,2.72,0.46,0.33,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0541,locus_tag:locus_tag
PMM0543,2,-1.63,0.95,0.67,1.0,"Cobalamin, heme, phycobilin and porphyrin",Protochlorophyllide reductase iron-sulfur ATP-binding protein,3h,PMM0543,locus_tag:locus_tag
PMM0544,2,0.88,0.41,0.29,1.0,"Cobalamin, heme, phycobilin and porphyrin",Light-independent protochlorophyllide reductase subunit B,3h,PMM0544,locus_tag:locus_tag
PMM0545,2,1.79,0.06,0.04,1.0,"Cobalamin, heme, phycobilin and porphyrin",Light-independent protochlorophyllide reductase subunit N,3h,PMM0545,locus_tag:locus_tag
PMM0546,2,3.19,0.6,0.43,0.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM0546,locus_tag:locus_tag
PMM0548,2,0.06,1.55,1.1,1.0,Other,HAM1 family protein,3h,PMM0548,locus_tag:locus_tag
PMM0549,2,4.96,0.45,0.32,0.0,CO2 fixation,carboxysome shell protein CsoS1,3h,PMM0549,locus_tag:locus_tag
PMM0550,2,2.93,0.71,0.5,0.0,CO2 fixation,"Ribulose bisphosphate carboxylase, large chain",3h,PMM0550,locus_tag:locus_tag
PMM0551,2,1.86,1.72,1.22,0.0,CO2 fixation,"Ribulose bisphosphate carboxylase, small chain",3h,PMM0551,locus_tag:locus_tag
PMM0552,2,-1.05,2.29,1.62,1.0,CO2 fixation,carboxysome shell protein CsoS2,3h,PMM0552,locus_tag:locus_tag
PMM0554,2,-0.64,0.36,0.26,1.0,CO2 fixation,putative carboxysome peptide A,3h,PMM0554,locus_tag:locus_tag
PMM0555,2,-0.32,0.2,0.14,1.0,CO2 fixation,putative carboxysome peptide B,3h,PMM0555,locus_tag:locus_tag
PMM0556,2,-1.59,1.24,0.88,0.48,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0556,locus_tag:locus_tag
PMM0557,2,0.88,0.05,0.04,1.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM0557,locus_tag:locus_tag
PMM0558,2,-0.8,0.8,0.57,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0558,locus_tag:locus_tag
PMM0560,2,-1.12,0.36,0.26,1.0,Other,possible ATP phosphoribosyltransferase,3h,PMM0560,locus_tag:locus_tag
PMM0561,2,-0.21,1.15,0.81,1.0,Transport and binding proteins,putative multidrug efflux ABC transporter,3h,PMM0561,locus_tag:locus_tag
PMM0564,2,-1.09,0.33,0.24,0.58,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0564,locus_tag:locus_tag
PMM0565,2,0.16,0.32,0.23,1.0,"DNA replication, recombination, and repair",chromosomal replication initiator protein DnaA,3h,PMM0565,locus_tag:locus_tag
PMM0570,2,-1.18,0.46,0.32,0.5,NADH dehydrogenase,NADH dehydrogenase subunit NdhL (ndhL),3h,PMM0570,locus_tag:locus_tag
PMM0573,2,2.99,0.41,0.29,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0573,locus_tag:locus_tag
PMM0577,2,-1.4,0.87,0.61,1.0,"RNA synthesis, modification, and DNA transcription","Putative type II alternative sigma factor, sigma70 family",3h,PMM0577,locus_tag:locus_tag
PMM0579,2,-1.89,0.88,0.62,0.12,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0579,locus_tag:locus_tag
PMM0580,2,-0.33,0.11,0.08,1.0,"Degradation of proteins, peptides, and glycopeptides ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB",,3h,PMM0580,locus_tag:locus_tag
PMM0581,2,-0.43,0.95,0.67,1.0,Soluble electron carriers,plastocyanin,3h,PMM0581,locus_tag:locus_tag
PMM0583,2,-1.02,1.16,0.82,1.0,"Cobalamin, heme, phycobilin and porphyrin",Uroporphyrinogen decarboxylase (URO-D),3h,PMM0583,locus_tag:locus_tag
PMM0586,2,-0.2,0.13,0.09,1.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM0586,locus_tag:locus_tag
PMM0593,2,-1.49,0.36,0.26,1.0,Other,Peptidase family M3,3h,PMM0593,locus_tag:locus_tag
PMM0594,2,-1.2,0.37,0.26,0.57,NADH dehydrogenase,putative NADH Dehydrogenase (complex I) subunit (chain 4),3h,PMM0594,locus_tag:locus_tag
PMM0595,2,-0.06,0.6,0.42,1.0,Aspartate family,Homoserine kinase:GHMP kinases putative ATP-binding domain,3h,PMM0595,locus_tag:locus_tag
PMM0599,2,-1.12,1.39,0.98,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0599,locus_tag:locus_tag
PMM0601,2,-0.09,0.55,0.39,1.0,Transport and binding proteins,"ABC transporter, substrate binding protein, possibly Mn",3h,PMM0601,locus_tag:locus_tag
PMM0603,2,-1.31,0.65,0.46,0.37,Transport and binding proteins,"ABC transporter component, possibly Mn transport",3h,PMM0603,locus_tag:locus_tag
PMM0605,2,-0.24,0.47,0.33,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0605,locus_tag:locus_tag
PMM0609,2,-0.43,0.29,0.21,1.0,Polysaccharides and glycoproteins,Putative ADPglucose-glucosyltransferase (GlgA),3h,PMM0609,locus_tag:locus_tag
PMM0613,2,-0.38,0.07,0.05,1.0,Aromatic amino acid family,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),3h,PMM0613,locus_tag:locus_tag
PMM0614,2,1.24,1.07,0.76,0.48,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0614,locus_tag:locus_tag
PMM0615,2,-0.46,0.25,0.18,1.0,Other,Possible nitrilase,3h,PMM0615,locus_tag:locus_tag
PMM0618,2,-0.15,1.43,1.01,1.0,Carotenoid,polyprenyl synthetase; solanesyl diphosphate synthase (sds),3h,PMM0618,locus_tag:locus_tag
PMM0619,2,0.75,0.01,0.01,1.0,Pyruvate and acetyl-CoA metabolism,acetyl-coenzyme A synthetase,3h,PMM0619,locus_tag:locus_tag
PMM0622,2,0.05,0.29,0.21,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0622,locus_tag:locus_tag
PMM0626,2,-0.75,0.59,0.42,0.81,Conserved hypothetical protein,hypothetical,3h,PMM0626,locus_tag:locus_tag
PMM0627,2,-1.44,0.28,0.2,1.0,Photosystem II,light-harvesting complex protein,3h,PMM0627,locus_tag:locus_tag
PMM0628,2,-1.07,1.77,1.25,0.52,Transport and binding proteins,"possible sodium:solute symporter, ESS family",3h,PMM0628,locus_tag:locus_tag
PMM0629,2,-0.74,0.14,0.1,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0629,locus_tag:locus_tag
PMM0633,2,-0.68,0.4,0.28,1.0,Carotenoid,putative lycopene epsilon cyclase,3h,PMM0633,locus_tag:locus_tag
PMM0637,2,1.08,0.57,0.4,0.64,Regulatory functions,Ferric uptake regulator family,3h,PMM0637,locus_tag:locus_tag
PMM0638,2,0.4,0.14,0.1,0.9,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0638,locus_tag:locus_tag
PMM0641,2,-1.81,0.05,0.04,0.36,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0641,locus_tag:locus_tag
PMM0642,2,3.31,0.02,0.01,0.0,Serine family / Sulfur assimilation,putative O-Acetyl homoserine sulfhydrylase,3h,PMM0642,locus_tag:locus_tag
PMM0647,2,-0.64,0.86,0.61,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0647,locus_tag:locus_tag
PMM0649,2,1.82,0.82,0.58,0.1,Other,Pentapeptide repeats,3h,PMM0649,locus_tag:locus_tag
PMM0651,2,-1.09,1.17,0.82,0.51,Regulatory functions,possible VHS domain,3h,PMM0651,locus_tag:locus_tag
PMM0652,2,-1.08,0.03,0.02,0.57,"RNA synthesis, modification, and DNA transcription","possible 5'-3' exonuclease, C-terminal SAM fol",3h,PMM0652,locus_tag:locus_tag
PMM0658,2,-0.7,0.46,0.33,0.84,Aminoacyl tRNA synthetases and tRNA modification,putative pseudouridylate synthase specific to ribosomal small subunit,3h,PMM0658,locus_tag:locus_tag
PMM0659,2,-0.45,0.25,0.18,1.0,"DNA replication, recombination, and repair",NAD-dependent DNA ligase N-terminus,3h,PMM0659,locus_tag:locus_tag
PMM0660,2,2.39,0.22,0.15,0.0,Degradation of RNA,"possible RNA recognition motif. (a.k.a. RRM, R",3h,PMM0660,locus_tag:locus_tag
PMM0661,2,0.72,0.26,0.18,1.0,Purine ribonucleotide biosynthesis,ribonucleotide reductase (Class II),3h,PMM0661,locus_tag:locus_tag
PMM0664,2,-0.84,1.52,1.08,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0664,locus_tag:locus_tag
PMM0665,2,-1.87,0.53,0.38,0.08,Other,Hsp33 protein,3h,PMM0665,locus_tag:locus_tag
PMM0667,2,-2.07,1.49,1.06,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0667,locus_tag:locus_tag
PMM0674,2,-1.06,1.17,0.83,1.0,Aspartate family,Aminotransferases class-I,3h,PMM0674,locus_tag:locus_tag
PMM0681,2,-1.28,1.88,1.33,0.11,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0681,locus_tag:locus_tag
PMM0683,2,-1.47,0.85,0.6,0.17,Purine ribonucleotide biosynthesis,phosphoribosylaminoimidazole carboxylase,3h,PMM0683,locus_tag:locus_tag
PMM0684,2,-1.08,0.29,0.2,1.0,Regulatory functions,"possible Zinc finger, C2H2 type",3h,PMM0684,locus_tag:locus_tag
PMM0685,2,-0.9,0.32,0.22,1.0,Conserved hypothetical protein,hypothetical protein,3h,PMM0685,locus_tag:locus_tag
PMM0687,2,-2.33,0.94,0.66,0.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM0687,locus_tag:locus_tag
PMM0688,2,0.97,1.18,0.83,1.0,Protein modification and translation factors,possible Elongation factor Tu domain 2,3h,PMM0688,locus_tag:locus_tag
PMM0689,2,-1.52,0.92,0.65,0.52,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM0689,locus_tag:locus_tag
PMM0690,2,-0.89,0.16,0.11,1.0,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM0690,locus_tag:locus_tag
PMM0691,2,0.68,0.96,0.68,0.79,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0691,locus_tag:locus_tag
PMM0692,2,0.7,0.32,0.23,0.7,Regulatory functions,possible DDT domain,3h,PMM0692,locus_tag:locus_tag
PMM0693,2,-1.44,1.61,1.14,0.5,Other,possible Hepatitis C virus envelope glycoprote,3h,PMM0693,locus_tag:locus_tag
PMM0697,2,1.36,0.11,0.08,0.43,"DNA replication, recombination, and repair",possible D12 class N6 adenine-specific DNA met,3h,PMM0697,locus_tag:locus_tag
PMM0698,2,-1.21,1.52,1.07,0.27,Chaperones,possible DnaJ central domain (4 repeats),3h,PMM0698,locus_tag:locus_tag
PMM0699,2,-1.51,1.63,1.15,0.76,Conserved hypothetical protein,conserved hypothetical,3h,PMM0699,locus_tag:locus_tag
PMM0703,2,-0.56,0.52,0.37,0.88,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0703,locus_tag:locus_tag
PMM0704,2,-1.42,0.46,0.32,0.26,Regulatory functions,"putative potassium channel, VIC family",3h,PMM0704,locus_tag:locus_tag
PMM0705,2,-2.06,0.68,0.48,0.01,Regulatory functions,"two-component response regulator, phosphate",3h,PMM0705,locus_tag:locus_tag
PMM0707,2,-0.48,0.1,0.07,0.94,Other,possible Lipoprotein,3h,PMM0707,locus_tag:locus_tag
PMM0708,2,-0.37,0.03,0.02,1.0,Regulatory functions,putative secreted protein,3h,PMM0708,locus_tag:locus_tag
PMM0709,2,-0.96,0.41,0.29,1.0,"Membranes, lipoproteins and porins",possible porin,3h,PMM0709,locus_tag:locus_tag
PMM0710,2,-1.32,0.11,0.08,1.0,Transport and binding proteins,"ABC transporter, substrate binding protein, phosphate",3h,PMM0710,locus_tag:locus_tag
PMM0714,2,0.35,1.34,0.95,0.97,Regulatory functions,"Bacterial regulatory proteins, ArsR family",3h,PMM0714,locus_tag:locus_tag
PMM0717,2,-1.66,0.04,0.03,0.19,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0717,locus_tag:locus_tag
PMM0722,2,4.32,2.69,1.9,0.0,Conserved hypothetical protein,hypothetical,3h,PMM0722,locus_tag:locus_tag
PMM0725,2,0.47,0.4,0.28,1.0,Transport and binding proteins,"putative phosphate ABC transporter, ATP binding subunit",3h,PMM0725,locus_tag:locus_tag
PMM0726,2,2.81,0.94,0.67,0.0,Conserved hypothetical protein,hypothetical,3h,PMM0726,locus_tag:locus_tag
PMM0732,2,-0.99,1.75,1.24,0.34,Other,possible Major surface glycoprotein,3h,PMM0732,locus_tag:locus_tag
PMM0736,2,0.51,1.2,0.85,0.99,Other,possible Alpha-2-macroglobulin family N-termin,3h,PMM0736,locus_tag:locus_tag
PMM0739,2,-2.15,0.56,0.4,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0739,locus_tag:locus_tag
PMM0740,2,-1.8,0.21,0.15,0.23,Cytochrome b6/f complex,Cytochrome b6-f complex subunit VIII,3h,PMM0740,locus_tag:locus_tag
PMM0741,2,-0.99,0.66,0.47,0.72,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0741,locus_tag:locus_tag
PMM0742,2,0.85,1.12,0.79,1.0,"Degradation of proteins, peptides, and glycopeptides Clp protease subunit",,3h,PMM0742,locus_tag:locus_tag
PMM0743,2,0.4,0.2,0.14,1.0,Cell division,FtsH ATP-dependent protease homolog,3h,PMM0743,locus_tag:locus_tag
PMM0744,2,-0.87,0.76,0.53,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0744,locus_tag:locus_tag
PMM0747,2,-0.93,1.32,0.93,0.44,"Cobalamin, heme, phycobilin and porphyrin",ferredoxin-dependent biliverdin reductase,3h,PMM0747,locus_tag:locus_tag
PMM0751,2,-1.17,0.04,0.03,0.61,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0751,locus_tag:locus_tag
PMM0753,2,1.85,0.76,0.54,1.0,Ribosomal proteins,30S ribosomal protein S2,3h,PMM0753,locus_tag:locus_tag
PMM0754,2,0.7,1.58,1.11,1.0,Protein modification and translation factors,putative Elongation factor Ts,3h,PMM0754,locus_tag:locus_tag
PMM0758,2,1.8,1.11,0.79,0.32,Serine family / Sulfur assimilation,Ferredoxin-sulfite reductase,3h,PMM0758,locus_tag:locus_tag
PMM0760,2,1.81,0.38,0.27,0.24,"Cobalamin, heme, phycobilin and porphyrin",Aromatic-ring hydroxylase (flavoprotein monooxygenase),3h,PMM0760,locus_tag:locus_tag
PMM0762,2,-1.43,1.01,0.71,0.44,Aromatic amino acid family,tyrosine binding protein,3h,PMM0762,locus_tag:locus_tag
PMM0766,2,-0.55,1.21,0.86,1.0,Other,Ribulose-phosphate 3-epimerase,3h,PMM0766,locus_tag:locus_tag
PMM0767,2,-0.11,0.71,0.5,1.0,"Surface polysaccharides, lipopolysaccharides and antigens",,3h,PMM0767,locus_tag:locus_tag
PMM0769,2,-0.65,0.27,0.19,1.0,Other,ADP-glucose pyrophosphorylase,3h,PMM0769,locus_tag:locus_tag
PMM0770,2,-0.84,0.54,0.38,0.61,Pentose phosphate pathway,6-phosphogluconate dehydrogenase,3h,PMM0770,locus_tag:locus_tag
PMM0772,2,-2.57,1.67,1.18,0.27,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0772,locus_tag:locus_tag
PMM0774,2,-0.81,0.17,0.12,1.0,Branched chain family,Dihydroxy-acid dehydratase,3h,PMM0774,locus_tag:locus_tag
PMM0775,2,2.18,1.15,0.82,0.01,Conserved hypothetical protein,conserved hypothetical,3h,PMM0775,locus_tag:locus_tag
PMM0777,2,-0.38,0.11,0.08,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0777,locus_tag:locus_tag
PMM0779,2,4.48,0.76,0.54,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0779,locus_tag:locus_tag
PMM0781,2,1.48,1.14,0.81,1.0,"Fatty acid, phospholipid and sterol metabolism","Fructose-bisphosphate/sedoheptulose-1,7-bisphosph ate aldolase",3h,PMM0781,locus_tag:locus_tag
PMM0784,2,1.28,0.83,0.58,0.5,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, beta subunit",3h,PMM0784,locus_tag:locus_tag
PMM0785,2,0.36,1.07,0.76,1.0,CO2 fixation,phosphoribulokinase,3h,PMM0785,locus_tag:locus_tag
PMM0790,2,0.28,0.19,0.13,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0790,locus_tag:locus_tag
PMM0794,2,-0.66,0.49,0.35,0.78,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0794,locus_tag:locus_tag
PMM0797,2,-2.0,1.07,0.76,0.19,Nucleoproteins,possible mRNA binding protein,3h,PMM0797,locus_tag:locus_tag
PMM0799,2,-0.15,0.25,0.17,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0799,locus_tag:locus_tag
