Gene id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,locus_tag
A9601_05621,13.92,9.24,18.6,2.01,1.01,0.0,0.01,A9601_05621
A9601_05661,9.66,8.38,10.95,1.31,0.39,0.29,0.52,A9601_05661
A9601_05671,56.51,55.2,57.82,1.05,0.07,0.79,0.94,A9601_05671
A9601_05681,18.41,16.95,19.86,1.17,0.23,0.34,0.59,A9601_05681
A9601_05701,20.16,17.28,23.04,1.33,0.41,0.11,0.26,A9601_05701
A9601_05721,9.88,9.42,10.34,1.1,0.13,0.91,1.0,A9601_05721
A9601_05731,0.74,0.8,0.68,0.85,-0.24,1.0,1.0,A9601_05731
A9601_05741,19.98,17.21,22.75,1.32,0.4,0.07,0.19,A9601_05741
A9601_05801,12.84,10.23,15.46,1.51,0.6,0.1,0.25,A9601_05801
A9601_05831,3.17,2.97,3.37,1.13,0.18,0.53,0.75,A9601_05831
A9601_05841,4.6,3.12,6.08,1.95,0.96,0.06,0.17,A9601_05841
A9601_05851,24.06,23.99,24.14,1.01,0.01,1.0,1.0,A9601_05851
A9601_05871,22.26,21.04,23.48,1.12,0.16,0.5,0.73,A9601_05871
A9601_05881,172.87,190.39,155.34,0.82,-0.29,0.02,0.07,A9601_05881
A9601_05891,59.51,61.19,57.83,0.95,-0.08,0.67,0.86,A9601_05891
A9601_05911,17.02,13.63,20.4,1.5,0.58,0.02,0.09,A9601_05911
A9601_05941,9.39,10.38,8.4,0.81,-0.3,0.45,0.69,A9601_05941
A9601_05971,17.12,22.59,11.65,0.52,-0.96,0.0,0.0,A9601_05971
A9601_05981,114.18,133.6,94.77,0.71,-0.5,0.0,0.0,A9601_05981
A9601_06021,66.72,84.83,48.6,0.57,-0.8,0.0,0.01,A9601_06021
A9601_06031,38.31,20.54,56.08,2.73,1.45,0.0,0.0,A9601_06031
A9601_06041,25.76,14.65,36.87,2.52,1.33,0.0,0.0,A9601_06041
A9601_06101,24.22,23.19,25.26,1.09,0.12,0.66,0.85,A9601_06101
A9601_06111,18.3,19.7,16.9,0.86,-0.22,0.34,0.59,A9601_06111
A9601_06121,7.66,8.19,7.12,0.87,-0.2,0.56,0.78,A9601_06121
A9601_06131,24.61,25.25,23.97,0.95,-0.07,1.0,1.0,A9601_06131
A9601_06151,8.7,5.82,11.58,1.99,0.99,0.0,0.02,A9601_06151
A9601_06171,30.97,25.12,36.82,1.47,0.55,0.01,0.05,A9601_06171
A9601_06181,6.57,6.85,6.29,0.92,-0.12,1.0,1.0,A9601_06181
A9601_06191,0.97,0.69,1.24,1.79,0.84,0.61,0.81,A9601_06191
A9601_06201,2.96,2.81,3.11,1.11,0.15,0.81,0.95,A9601_06201
A9601_06221,17.42,12.79,22.06,1.73,0.79,0.01,0.05,A9601_06221
A9601_06251,7.9,5.79,10.01,1.73,0.79,0.05,0.16,A9601_06251
A9601_06261,15.06,14.62,15.51,1.06,0.09,0.81,0.95,A9601_06261
A9601_06271,3.02,2.71,3.32,1.22,0.29,0.71,0.88,A9601_06271
A9601_06291,34.13,44.06,24.21,0.55,-0.86,0.0,0.0,A9601_06291
A9601_06301,1.25,1.39,1.1,0.79,-0.33,0.97,1.0,A9601_06301
A9601_06311,2.75,2.97,2.52,0.85,-0.24,0.67,0.85,A9601_06311
A9601_06321,10.83,14.24,7.43,0.52,-0.94,0.01,0.03,A9601_06321
A9601_06331,92.28,122.42,62.14,0.51,-0.98,0.0,0.0,A9601_06331
A9601_06351,9.37,7.99,10.75,1.35,0.43,0.2,0.41,A9601_06351
A9601_06381,13.01,13.9,12.11,0.87,-0.2,0.66,0.85,A9601_06381
A9601_06411,25.12,19.25,30.99,1.61,0.69,0.0,0.01,A9601_06411
A9601_06421,2.67,2.8,2.54,0.91,-0.14,0.96,1.0,A9601_06421
A9601_06431,10.75,12.15,9.36,0.77,-0.38,0.23,0.45,A9601_06431
A9601_06441,0.4,0.35,0.45,1.28,0.35,1.0,1.0,A9601_06441
A9601_06451,24.65,24.33,24.98,1.03,0.04,0.86,0.98,A9601_06451
A9601_06481,6.04,4.45,7.63,1.71,0.78,0.06,0.17,A9601_06481
A9601_06501,57.63,42.29,72.98,1.73,0.79,0.0,0.0,A9601_06501
A9601_06551,24.43,25.85,23.0,0.89,-0.17,0.46,0.7,A9601_06551
A9601_06561,86.44,111.51,61.36,0.55,-0.86,0.0,0.0,A9601_06561
A9601_06571,35.49,37.34,33.65,0.9,-0.15,0.41,0.66,A9601_06571
A9601_06581,17.78,18.55,17.01,0.92,-0.13,0.81,0.95,A9601_06581
A9601_06591,14.83,13.35,16.31,1.22,0.29,0.29,0.53,A9601_06591
A9601_06601,35.42,22.64,48.19,2.13,1.09,0.0,0.0,A9601_06601
A9601_06611,28.79,28.1,29.49,1.05,0.07,0.87,0.98,A9601_06611
A9601_06621,10.6,10.5,10.7,1.02,0.03,1.0,1.0,A9601_06621
A9601_06681,6.74,5.49,7.99,1.46,0.54,0.28,0.52,A9601_06681
A9601_06701,31.83,28.51,35.14,1.23,0.3,0.08,0.22,A9601_06701
A9601_06711,47.87,33.72,62.03,1.84,0.88,0.0,0.0,A9601_06711
A9601_06761,5.37,5.38,5.36,1.0,-0.01,0.96,1.0,A9601_06761
A9601_06781,20.94,26.79,15.09,0.56,-0.83,0.0,0.01,A9601_06781
A9601_06801,0.19,0.24,0.14,0.58,-0.79,1.0,1.0,A9601_06801
A9601_06811,0.38,0.12,0.64,5.48,2.45,0.6,0.81,A9601_06811
A9601_06821,11.29,14.82,7.75,0.52,-0.94,0.0,0.02,A9601_06821
A9601_06831,12268.41,12792.01,11744.81,0.92,-0.12,0.46,0.69,A9601_06831
A9601_06841,14.08,13.19,14.98,1.14,0.18,0.59,0.8,A9601_06841
A9601_06851,7.88,8.13,7.62,0.94,-0.09,0.71,0.88,A9601_06851
A9601_06861,5.41,5.38,5.43,1.01,0.01,1.0,1.0,A9601_06861
A9601_06871,6.6,7.01,6.19,0.88,-0.18,0.86,0.98,A9601_06871
A9601_06881,2.98,2.16,3.81,1.76,0.82,0.16,0.35,A9601_06881
A9601_06891,16.27,21.03,11.5,0.55,-0.87,0.0,0.01,A9601_06891
A9601_06901,4.56,4.77,4.35,0.91,-0.13,1.0,1.0,A9601_06901
A9601_06931,33.69,34.51,32.87,0.95,-0.07,0.87,0.98,A9601_06931
A9601_06941,13.41,11.69,15.12,1.29,0.37,0.13,0.3,A9601_06941
A9601_06961,10.6,12.36,8.83,0.71,-0.49,0.08,0.22,A9601_06961
A9601_06971,60.78,61.82,59.74,0.97,-0.05,0.59,0.8,A9601_06971
A9601_07001,75.19,90.63,59.75,0.66,-0.6,0.0,0.0,A9601_07001
A9601_07011,8.92,5.19,12.65,2.44,1.28,0.0,0.01,A9601_07011
A9601_07021,15.92,11.98,19.86,1.66,0.73,0.0,0.02,A9601_07021
A9601_07031,135.08,87.43,182.72,2.09,1.06,0.0,0.0,A9601_07031
A9601_07041,118.97,83.83,154.1,1.84,0.88,0.0,0.0,A9601_07041
A9601_07051,21.52,16.63,26.41,1.59,0.67,0.01,0.03,A9601_07051
A9601_07061,6.89,5.42,8.36,1.54,0.63,0.25,0.47,A9601_07061
A9601_07071,13.78,9.35,18.22,1.95,0.96,0.01,0.04,A9601_07071
A9601_07091,2.86,2.48,3.24,1.31,0.39,0.7,0.88,A9601_07091
A9601_07101,5.88,5.84,5.93,1.02,0.02,0.81,0.95,A9601_07101
A9601_07111,2.78,1.34,4.22,3.15,1.66,0.02,0.07,A9601_07111
A9601_07121,7.39,4.77,10.01,2.1,1.07,0.01,0.04,A9601_07121
A9601_07131,10.47,10.37,10.57,1.02,0.03,0.89,0.99,A9601_07131
A9601_07141,80.43,100.92,59.95,0.59,-0.75,0.0,0.0,A9601_07141
A9601_07151,47.63,57.09,38.17,0.67,-0.58,0.0,0.01,A9601_07151
A9601_07171,3.48,3.68,3.27,0.89,-0.17,0.87,0.98,A9601_07171
A9601_07191,9.11,9.07,9.15,1.01,0.01,0.87,0.98,A9601_07191
A9601_07211,6.12,4.96,7.28,1.47,0.55,0.18,0.39,A9601_07211
A9601_07221,5.52,7.51,3.53,0.47,-1.09,0.02,0.07,A9601_07221
A9601_07231,3.67,3.05,4.3,1.41,0.49,0.61,0.82,A9601_07231
A9601_07241,6.94,5.62,8.25,1.47,0.55,0.16,0.35,A9601_07241
A9601_07261,3.99,3.87,4.11,1.06,0.09,1.0,1.0,A9601_07261
A9601_07271,3.43,2.36,4.5,1.91,0.93,0.16,0.36,A9601_07271
A9601_07301,4.25,3.18,5.32,1.67,0.74,0.26,0.49,A9601_07301
A9601_07321,21.95,19.4,24.49,1.26,0.34,0.29,0.53,A9601_07321
A9601_07341,9.88,7.05,12.71,1.8,0.85,0.01,0.05,A9601_07341
A9601_07351,14.04,11.68,16.4,1.4,0.49,0.08,0.21,A9601_07351
A9601_07361,8.38,8.54,8.21,0.96,-0.06,1.0,1.0,A9601_07361
A9601_07391,16.2,16.06,16.34,1.02,0.03,0.81,0.95,A9601_07391
A9601_07401,4.05,3.39,4.7,1.39,0.47,0.31,0.55,A9601_07401
A9601_07411,8.63,6.88,10.38,1.51,0.59,0.34,0.58,A9601_07411
A9601_07421,4.01,4.5,3.52,0.78,-0.35,0.45,0.69,A9601_07421
A9601_07431,7.81,5.01,10.62,2.12,1.09,0.01,0.06,A9601_07431
A9601_07441,1.29,1.36,1.22,0.89,-0.16,1.0,1.0,A9601_07441
A9601_07451,11.0,13.55,8.45,0.62,-0.68,0.02,0.07,A9601_07451
A9601_07461,1.63,0.62,2.65,4.28,2.1,0.02,0.08,A9601_07461
A9601_07471,31.1,28.34,33.86,1.19,0.26,0.18,0.39,A9601_07471
A9601_07481,3.41,3.89,2.92,0.75,-0.41,0.41,0.66,A9601_07481
A9601_07491,5.19,2.96,7.41,2.51,1.33,0.01,0.05,A9601_07491
A9601_07501,4.84,0.94,8.74,9.31,3.22,0.0,0.0,A9601_07501
A9601_07511,0.53,0.4,0.66,1.63,0.7,0.82,0.96,A9601_07511
A9601_07521,0.65,0.9,0.4,0.45,-1.16,0.42,0.66,A9601_07521
A9601_07531,4.28,3.99,4.58,1.15,0.2,0.78,0.93,A9601_07531
A9601_07541,0.95,0.76,1.13,1.5,0.58,0.95,1.0,A9601_07541
A9601_07551,0.98,1.28,0.68,0.53,-0.91,0.56,0.78,A9601_07551
A9601_07561,2.21,1.68,2.74,1.63,0.7,0.56,0.78,A9601_07561
A9601_07571,6.26,6.65,5.88,0.88,-0.18,0.55,0.77,A9601_07571
A9601_07581,34.91,39.34,30.48,0.77,-0.37,0.19,0.39,A9601_07581
A9601_07591,6.94,5.43,8.45,1.56,0.64,0.24,0.47,A9601_07591
A9601_07601,7.8,7.83,7.78,0.99,-0.01,0.84,0.96,A9601_07601
A9601_07611,3.62,3.62,3.62,1.0,0,0.95,1.0,A9601_07611
A9601_07621,2.41,2.26,2.56,1.13,0.18,0.86,0.98,A9601_07621
A9601_07631,0.53,0.26,0.79,2.99,1.58,0.62,0.82,A9601_07631
A9601_07641,8.16,6.42,9.9,1.54,0.62,0.23,0.45,A9601_07641
A9601_07651,6.16,4.38,7.93,1.81,0.86,0.05,0.15,A9601_07651
A9601_07661,2.36,1.67,3.05,1.82,0.86,0.19,0.39,A9601_07661
A9601_07671,20.44,17.94,22.94,1.28,0.35,0.19,0.39,A9601_07671
A9601_07681,1.87,1.32,2.42,1.84,0.88,0.37,0.62,A9601_07681
A9601_07691,0.32,0.26,0.37,1.41,0.5,1.0,1.0,A9601_07691
A9601_07701,0.14,0.0,0.29,inf,Inf,0.53,0.76,A9601_07701
A9601_07711,3.86,2.87,4.86,1.69,0.76,0.36,0.61,A9601_07711
A9601_07721,3.05,3.78,2.32,0.61,-0.7,0.16,0.36,A9601_07721
A9601_07731,32.89,31.82,33.95,1.07,0.09,1.0,1.0,A9601_07731
A9601_07741,35.8,49.69,21.91,0.44,-1.18,0.0,0.0,A9601_07741
A9601_07781,12.61,7.48,17.74,2.37,1.24,0.0,0.02,A9601_07781
A9601_07791,71.24,51.66,90.82,1.76,0.81,0.0,0.0,A9601_07791
A9601_07801,14.52,14.67,14.38,0.98,-0.03,0.93,1.0,A9601_07801
A9601_07811,2.26,0.53,4.0,7.59,2.92,0.0,0.01,A9601_07811
A9601_07821,5.84,4.44,7.24,1.63,0.7,0.15,0.35,A9601_07821
A9601_07831,2.13,1.12,3.14,2.8,1.49,0.07,0.19,A9601_07831
A9601_07841,3.36,2.62,4.1,1.56,0.65,0.51,0.74,A9601_07841
A9601_07851,2.69,3.37,2.0,0.59,-0.76,0.21,0.43,A9601_07851
A9601_07861,9.73,14.2,5.27,0.37,-1.43,0.0,0.0,A9601_07861
A9601_07871,41.33,52.99,29.68,0.56,-0.84,0.0,0.0,A9601_07871
A9601_07881,9.24,8.85,9.64,1.09,0.12,0.57,0.79,A9601_07881
A9601_07891,4.78,3.81,5.75,1.51,0.59,0.35,0.6,A9601_07891
A9601_07901,0.63,0.41,0.85,2.07,1.05,0.41,0.66,A9601_07901
A9601_07911,8.65,8.83,8.48,0.96,-0.06,1.0,1.0,A9601_07911
A9601_07921,3.45,3.89,3.01,0.77,-0.37,0.69,0.87,A9601_07921
A9601_07931,0.51,0.65,0.38,0.59,-0.76,0.71,0.89,A9601_07931
A9601_07941,1.02,1.34,0.71,0.53,-0.92,0.55,0.77,A9601_07941
A9601_07951,9.55,8.19,10.91,1.33,0.41,0.31,0.55,A9601_07951
A9601_07961,1.22,1.54,0.89,0.58,-0.78,0.5,0.73,A9601_07961
A9601_07971,3.44,2.33,4.55,1.96,0.97,0.17,0.36,A9601_07971
A9601_07981,3.47,3.16,3.78,1.2,0.26,0.76,0.92,A9601_07981
A9601_07991,1.22,0.94,1.51,1.61,0.69,0.75,0.91,A9601_07991
A9601_08001,2.62,2.07,3.18,1.54,0.62,0.45,0.69,A9601_08001
A9601_08021,29.07,30.75,27.38,0.89,-0.17,0.54,0.76,A9601_08021
A9601_08031,73.44,63.67,83.22,1.31,0.39,0.02,0.08,A9601_08031
A9601_08041,281.74,219.76,343.73,1.56,0.65,0.0,0.0,A9601_08041
A9601_08051,6.11,6.37,5.84,0.92,-0.13,1.0,1.0,A9601_08051
A9601_08061,7.28,4.71,9.86,2.09,1.07,0.02,0.07,A9601_08061
A9601_08071,53.03,47.02,59.05,1.26,0.33,0.04,0.13,A9601_08071
A9601_08091,10.87,10.8,10.94,1.01,0.02,0.82,0.95,A9601_08091
A9601_08101,11.89,7.15,16.63,2.32,1.22,0.0,0.0,A9601_08101
A9601_08111,5.7,4.93,6.48,1.31,0.39,0.31,0.55,A9601_08111
A9601_08121,22.06,24.68,19.44,0.79,-0.34,0.25,0.47,A9601_08121
A9601_08131,23.17,19.56,26.78,1.37,0.45,0.06,0.16,A9601_08131
A9601_08161,11.7,15.46,7.95,0.51,-0.96,0.01,0.03,A9601_08161
A9601_08181,7.51,5.16,9.86,1.91,0.93,0.01,0.05,
A9601_08251,4.49,3.76,5.23,1.39,0.48,0.38,0.62,A9601_08251
A9601_08261,10.71,10.27,11.15,1.09,0.12,0.76,0.92,A9601_08261
A9601_08331,16.09,14.1,18.08,1.28,0.36,0.35,0.59,A9601_08331
A9601_08341,7.99,4.74,11.24,2.37,1.25,0.0,0.01,A9601_08341
A9601_08351,3.15,1.3,5.01,3.85,1.95,0.0,0.02,A9601_08351
A9601_08371,24.67,23.99,25.35,1.06,0.08,0.86,0.97,A9601_08371
A9601_08391,456.51,479.97,433.05,0.9,-0.15,0.17,0.37,A9601_08391
A9601_08411,17.38,16.26,18.49,1.14,0.19,0.59,0.8,A9601_08411
A9601_08431,31.03,23.65,38.41,1.62,0.7,0.0,0.0,A9601_08431
A9601_08451,64.65,59.34,69.97,1.18,0.24,0.29,0.52,A9601_08451
A9601_08461,10.04,10.29,9.78,0.95,-0.07,0.69,0.87,A9601_08461
A9601_08471,5.39,8.34,2.44,0.29,-1.77,0.0,0.01,A9601_08471
A9601_08531,4.06,3.89,4.23,1.09,0.12,1.0,1.0,A9601_08531
A9601_08541,39.91,40.74,39.08,0.96,-0.06,0.82,0.95,A9601_08541
A9601_08551,3.85,4.26,3.45,0.81,-0.31,0.77,0.92,A9601_08551
A9601_08561,5.33,6.65,4.0,0.6,-0.73,0.13,0.31,A9601_08561
A9601_08571,5.76,6.03,5.48,0.91,-0.14,0.82,0.95,A9601_08571
A9601_08581,18.34,21.32,15.35,0.72,-0.47,0.12,0.29,A9601_08581
A9601_08591,23.15,24.14,22.16,0.92,-0.12,0.73,0.9,A9601_08591
A9601_08611,33.23,33.45,33.02,0.99,-0.02,0.66,0.85,A9601_08611
A9601_08631,16.67,18.25,15.09,0.83,-0.27,0.34,0.59,A9601_08631
A9601_08641,7.77,9.45,6.09,0.64,-0.63,0.06,0.16,A9601_08641
A9601_08651,9.22,10.77,7.67,0.71,-0.49,0.47,0.7,A9601_08651
A9601_08681,218.46,248.53,188.39,0.76,-0.4,0.0,0.01,A9601_08681
A9601_08691,22.0,23.76,20.23,0.85,-0.23,0.47,0.7,A9601_08691
A9601_08701,37.79,36.53,39.05,1.07,0.1,0.61,0.82,A9601_08701
A9601_08711,1.97,1.83,2.12,1.16,0.21,1.0,1.0,A9601_08711
A9601_08721,53.26,64.38,42.15,0.65,-0.61,0.0,0.0,A9601_08721
A9601_08731,1.59,1.2,1.98,1.65,0.72,0.47,0.7,A9601_08731
A9601_08741,17.2,21.31,13.1,0.61,-0.7,0.01,0.06,A9601_08741
A9601_08751,10.1,12.59,7.6,0.6,-0.73,0.03,0.09,A9601_08751
A9601_08761,5.84,6.01,5.66,0.94,-0.09,1.0,1.0,A9601_08761
A9601_08771,4.97,3.45,6.49,1.88,0.91,0.1,0.26,A9601_08771
A9601_08781,69.96,52.68,87.24,1.66,0.73,0.0,0.0,A9601_08781
A9601_08791,2.86,3.85,1.87,0.49,-1.04,0.17,0.37,A9601_08791
A9601_08801,1.58,0.88,2.28,2.61,1.38,0.27,0.51,A9601_08801
A9601_08811,4.92,6.58,3.26,0.5,-1.01,0.09,0.23,A9601_08811
A9601_08821,0.87,1.04,0.7,0.67,-0.57,0.65,0.84,A9601_08821
A9601_08831,0.54,0.95,0.14,0.14,-2.79,0.23,0.45,A9601_08831
A9601_08881,475.07,484.66,465.48,0.96,-0.06,0.63,0.83,A9601_08881
A9601_08961,115.02,89.1,140.93,1.58,0.66,0.0,0.0,A9601_08961
A9601_08971,44.35,37.84,50.85,1.34,0.43,0.02,0.07,A9601_08971
A9601_08981,9.81,7.36,12.25,1.66,0.73,0.05,0.16,A9601_08981
A9601_08991,7.23,7.16,7.29,1.02,0.03,0.8,0.94,A9601_08991
A9601_09001,4.39,5.49,3.3,0.6,-0.74,0.1,0.25,A9601_09001
A9601_09011,21.59,16.68,26.5,1.59,0.67,0.01,0.03,A9601_09011
A9601_09021,20.31,18.89,21.73,1.15,0.2,0.54,0.76,A9601_09021
A9601_09031,25.6,22.86,28.33,1.24,0.31,0.24,0.46,A9601_09031
A9601_09051,18.11,17.41,18.82,1.08,0.11,0.59,0.8,A9601_09051
A9601_09061,12.2,9.13,15.28,1.67,0.74,0.02,0.07,A9601_09061
A9601_09071,7.62,8.74,6.5,0.74,-0.43,0.18,0.37,A9601_09071
A9601_09111,21.1,28.1,14.1,0.5,-1,0.0,0.0,A9601_09111
A9601_09121,58.36,56.74,59.97,1.06,0.08,0.8,0.94,A9601_09121
A9601_09131,34.4,36.85,31.96,0.87,-0.21,0.28,0.51,A9601_09131
A9601_09161,82.27,80.78,83.77,1.04,0.05,0.72,0.89,A9601_09161
A9601_09191,72.63,79.83,65.44,0.82,-0.29,0.13,0.3,A9601_09191
A9601_09201,4.39,3.62,5.16,1.42,0.51,0.48,0.71,A9601_09201
A9601_09221,1.68,1.3,2.06,1.58,0.66,0.58,0.79,A9601_09221
A9601_09251,1.33,1.35,1.31,0.97,-0.04,0.95,1.0,A9601_09251
A9601_09261,0.39,0.26,0.51,1.95,0.96,0.85,0.97,A9601_09261
A9601_09291,0.34,0.15,0.53,3.59,1.84,0.58,0.8,A9601_09291
A9601_09331,7.26,6.63,7.89,1.19,0.25,0.75,0.91,A9601_09331
A9601_09351,10.41,11.09,9.73,0.88,-0.19,0.39,0.64,A9601_09351
A9601_09361,17.75,14.14,21.36,1.51,0.6,0.04,0.12,A9601_09361
A9601_09381,4.02,5.23,2.81,0.54,-0.89,0.09,0.24,A9601_09381
A9601_09391,9.65,6.87,12.43,1.81,0.85,0.01,0.04,A9601_09391
A9601_09441,0.49,0.49,0.49,1.0,0,1.0,1.0,A9601_09441
A9601_09451,9.75,6.79,12.71,1.87,0.9,0.02,0.06,A9601_09451
A9601_09471,1.52,1.12,1.91,1.7,0.77,0.72,0.89,A9601_09471
A9601_09501,12.17,10.72,13.62,1.27,0.34,0.35,0.6,A9601_09501
A9601_09511,11.32,14.12,8.52,0.6,-0.73,0.03,0.1,A9601_09511
A9601_09521,5.39,5.51,5.27,0.96,-0.06,0.92,1.0,A9601_09521
A9601_09561,2.7,2.75,2.64,0.96,-0.06,1.0,1.0,A9601_09561
A9601_09571,1.75,0.53,2.98,5.67,2.5,0.02,0.06,A9601_09571
A9601_09581,14.4,9.68,19.12,1.98,0.98,0.0,0.01,A9601_09581
A9601_09631,22.93,20.27,25.59,1.26,0.34,0.12,0.29,A9601_09631
A9601_09641,42.21,43.32,41.11,0.95,-0.08,0.94,1.0,A9601_09641
A9601_09651,33.9,35.49,32.31,0.91,-0.14,0.7,0.88,A9601_09651
A9601_09661,12.66,14.15,11.18,0.79,-0.34,0.61,0.81,A9601_09661
A9601_09671,72.45,79.67,65.23,0.82,-0.29,0.1,0.25,A9601_09671
A9601_09741,6.13,5.08,7.18,1.41,0.5,0.29,0.53,A9601_09741
A9601_09751,3.47,2.32,4.62,1.99,1,0.43,0.67,A9601_09751
A9601_09781,63.48,68.95,58.0,0.84,-0.25,0.17,0.36,A9601_09781
A9601_09801,8.23,9.34,7.13,0.76,-0.39,0.28,0.52,A9601_09801
A9601_09811,3.26,2.53,3.98,1.57,0.65,0.5,0.73,A9601_09811
A9601_09851,15.55,17.03,14.08,0.83,-0.27,0.48,0.71,A9601_09851
A9601_09861,7.98,6.51,9.45,1.45,0.54,0.07,0.19,A9601_09861
A9601_09881,1.85,1.46,2.23,1.53,0.61,0.43,0.68,A9601_09881
A9601_09891,11.76,9.61,13.91,1.45,0.53,0.15,0.33,A9601_09891
A9601_09901,7.71,5.43,9.99,1.84,0.88,0.03,0.09,A9601_09901
A9601_09941,11.11,11.19,11.04,0.99,-0.02,0.8,0.95,A9601_09941
A9601_09961,1.55,1.04,2.05,1.98,0.99,0.47,0.7,A9601_09961
A9601_09971,5.06,3.51,6.6,1.88,0.91,0.05,0.16,A9601_09971
A9601_09981,20.26,27.35,13.17,0.48,-1.05,0.0,0.0,A9601_09981
A9601_10021,13.03,11.29,14.78,1.31,0.39,0.29,0.53,A9601_10021
A9601_10031,2.63,2.4,2.86,1.19,0.25,1.0,1.0,A9601_10031
A9601_10041,7.51,6.59,8.42,1.28,0.35,0.44,0.68,A9601_10041
A9601_10051,1.39,0.54,2.23,4.17,2.06,0.05,0.16,A9601_10051
A9601_10061,12.19,5.59,18.79,3.36,1.75,0.0,0.0,A9601_10061
A9601_10071,3.55,5.55,1.56,0.28,-1.83,0.0,0.02,A9601_10071
A9601_10081,4.28,6.49,2.06,0.32,-1.65,0.02,0.07,A9601_10081
A9601_10091,0.42,0.41,0.44,1.06,0.08,1.0,1.0,A9601_10091
A9601_10101,2.24,1.94,2.54,1.31,0.39,0.56,0.78,A9601_10101
A9601_10111,7.35,6.53,8.17,1.25,0.32,0.47,0.7,A9601_10111
A9601_10121,4.16,5.17,3.15,0.61,-0.71,0.17,0.37,A9601_10121
A9601_10141,4.98,5.02,4.94,0.98,-0.02,0.97,1.0,A9601_10141
A9601_10151,37.06,33.61,40.5,1.2,0.27,0.19,0.39,A9601_10151
A9601_10171,9.04,9.59,8.49,0.88,-0.18,0.81,0.95,A9601_10171
A9601_10181,76.3,114.16,38.45,0.34,-1.57,0.0,0.0,A9601_10181
A9601_10191,3.94,3.05,4.84,1.59,0.67,0.26,0.49,A9601_10191
A9601_10201,1.78,1.55,2.01,1.3,0.37,0.83,0.96,A9601_10201
A9601_10211,8.2,9.36,7.04,0.75,-0.41,0.28,0.51,A9601_10211
A9601_10231,3.15,3.75,2.55,0.68,-0.55,0.33,0.58,A9601_10231
A9601_10241,13.69,12.63,14.74,1.17,0.22,0.46,0.7,A9601_10241
A9601_10311,2.16,1.63,2.69,1.65,0.72,0.57,0.79,A9601_10311
A9601_10321,2.04,1.58,2.51,1.59,0.67,0.57,0.79,A9601_10321
A9601_10331,1.89,1.34,2.43,1.81,0.86,0.42,0.67,A9601_10331
A9601_10341,0.54,0.36,0.73,2.04,1.03,0.83,0.96,A9601_10341
A9601_10351,0.6,0.52,0.67,1.28,0.35,1.0,1.0,A9601_10351
A9601_10371,12.43,10.06,14.8,1.47,0.56,0.25,0.48,A9601_10371
A9601_10421,0.93,0.75,1.12,1.49,0.57,0.95,1.0,A9601_10421
A9601_10431,38.34,35.22,41.45,1.18,0.23,0.38,0.63,A9601_10431
A9601_10441,8.24,10.17,6.31,0.62,-0.69,0.05,0.15,A9601_10441
A9601_10461,60.71,63.53,57.9,0.91,-0.13,0.46,0.7,A9601_10461
A9601_10471,10.94,10.0,11.89,1.19,0.25,0.36,0.61,A9601_10471
A9601_10481,5.41,4.44,6.38,1.44,0.52,0.46,0.69,A9601_10481
A9601_10501,0.75,0.66,0.84,1.26,0.34,0.99,1.0,A9601_10501
A9601_10511,2.12,2.42,1.82,0.75,-0.41,0.85,0.97,A9601_10511
A9601_10521,6.33,1.66,11.01,6.65,2.73,0.0,0.0,A9601_10521
A9601_10531,7.38,4.29,10.46,2.44,1.29,0.0,0.01,A9601_10531
A9601_10541,3.74,2.46,5.02,2.04,1.03,0.13,0.31,A9601_10541
A9601_10551,2.84,2.39,3.29,1.38,0.46,0.62,0.82,A9601_10551
A9601_10561,4.34,4.29,4.39,1.02,0.03,0.93,1.0,A9601_10561
A9601_10571,5.8,5.58,6.02,1.08,0.11,1.0,1.0,A9601_10571
A9601_10581,3.98,4.13,3.83,0.93,-0.11,0.94,1.0,A9601_10581
A9601_10591,0.74,0.91,0.57,0.63,-0.66,1.0,1.0,A9601_10591
A9601_10601,5.74,5.95,5.53,0.93,-0.11,0.95,1.0,A9601_10601
A9601_10611,59.82,86.04,33.61,0.39,-1.36,0.0,0.0,A9601_10611
A9601_10621,3.47,5.4,1.53,0.28,-1.82,0.0,0.02,A9601_10621
A9601_10631,0.54,0.72,0.36,0.51,-0.98,0.71,0.88,A9601_10631
A9601_10641,1.95,0.77,3.13,4.08,2.03,0.03,0.09,A9601_10641
A9601_10651,1.78,1.8,1.77,0.99,-0.02,1.0,1.0,A9601_10651
A9601_10661,3.87,3.23,4.51,1.4,0.48,0.58,0.8,A9601_10661
A9601_10671,3.64,2.35,4.93,2.1,1.07,0.14,0.32,A9601_10671
A9601_10691,168.93,146.36,191.49,1.31,0.39,0.01,0.03,A9601_10691
A9601_10701,2.34,1.91,2.77,1.45,0.54,0.65,0.84,A9601_10701
A9601_10711,2.12,1.93,2.31,1.19,0.26,0.79,0.94,A9601_10711
A9601_10721,0.35,0.4,0.3,0.75,-0.41,1.0,1.0,A9601_10721
A9601_10731,1.14,0.4,1.88,4.69,2.23,0.1,0.25,A9601_10731
A9601_10741,35.32,35.82,34.82,0.97,-0.04,0.77,0.93,A9601_10741
A9601_10751,24.2,25.85,22.56,0.87,-0.2,0.39,0.64,A9601_10751
A9601_10761,10.39,7.61,13.17,1.73,0.79,0.02,0.06,A9601_10761
