Gene Start,Gene End,Gene Length,MIT9312 original locus tag,MIT9312 (2017 NCBI),product,protein_id,COG (cyanobase),GO (cyanobase),HDPE log2 Fold change,PVC log2 Fold change,Unnamed: 11,NAT_homolog,locus_tag
336995,337294.0,300.0,PMT9312_0355,PMT9312_RS01830,hypothetical protein,WP_011375916.1,Not in COGs,,1.24,1.67,,WP_011294633.1,PMT9312_0355
337522,337758.0,237.0,PMT9312_0356,PMT9312_RS01835,hypothetical protein,WP_011375917.1,Not in COGs,,1.38,1.16,,WP_011294565.1,PMT9312_0356
337963,338391.0,429.0,PMT9312_0357,PMT9312_RS01840,aminoacyl-tRNA hydrolase,WP_011375918.1,Translation,translational termination (GO:0006415),,0.8,,WP_011294651.1,PMT9312_0357
338972,339832.0,861.0,PMT9312_0359,PMT9312_RS01850,CPBP family intramembrane metalloprotease,WP_011375920.1,Not in COGs,,,0.99,,WP_011295409.1,PMT9312_0359
341259,342209.0,951.0,PMT9312_0360,PMT9312_RS01860,prolyl aminopeptidase,WP_011375921.1,General function prediction only,proteolysis (GO:0006508),0.69,,,WP_011294620.1,PMT9312_0360
344297,344482.0,186.0,PMT9312_0363,PMT9312_RS01875,hypothetical protein,WP_032515599.1,Not in COGs,,0.74,,,,PMT9312_0363
345431,345808.0,378.0,PMT9312_0365,PMT9312_RS01885,hypothetical protein,WP_011375926.1,Not in COGs,,,0.52,,,PMT9312_0365
349115,349897.0,783.0,PMT9312_0370,PMT9312_RS01915,SIMPL domain-containing protein,WP_011375931.1,Function unknown,,0.72,0.88,,,PMT9312_0370
350503,350919.0,417.0,PMT9312_0372,PMT9312_RS01925,very short patch repair endonuclease,WP_011375933.1,Not in COGs,mismatch repair (GO:0006298),,0.69,,,PMT9312_0372
350974,353700.0,2727.0,PMT9312_0373,PMT9312_RS01930,endonuclease,WP_011375934.1,Not in COGs,,0.68,,,,PMT9312_0373
358468,360528.0,2061.0,PMT9312_0378,PMT9312_RS01955,DNA cytosine methyltransferase,WP_011375939.1,"Replication, recombination and repair",DNA methylation (GO:0006306),-0.56,-1.14,,,PMT9312_0378
360525,361238.0,714.0,PMT9312_0379,PMT9312_RS01960,hypothetical protein,WP_011375940.1,Not in COGs,,-0.55,-1.15,,,PMT9312_0379
361235,362266.0,1032.0,PMT9312_0380,PMT9312_RS01965,hypothetical protein,WP_011375941.1,Not in COGs,,,-1.14,,,PMT9312_0380
362269,364233.0,1965.0,PMT9312_0381,PMT9312_RS01970,hypothetical protein,WP_011375942.1,Not in COGs,,-0.38,-1.31,,,PMT9312_0381
366841,367596.0,756.0,PMT9312_0385,PMT9312_RS02000,precorrin-2 C(20)-methyltransferase,WP_011375946.1,Coenzyme transport and metabolism,cobalamin biosynthetic process (GO:0009236),-0.83,-0.72,,WP_011294356.1,PMT9312_0385
371518,372093.0,576.0,PMT9312_0391,PMT9312_RS02030,cell division protein SepF,WP_011375952.1,Function unknown,barrier septum formation (GO:0000917),,-0.6,,WP_011294363.1,PMT9312_0391
374947,375606.0,660.0,PMT9312_0395,PMT9312_RS02050,deoxyribose-phosphate aldolase,WP_011375956.1,Nucleotide transport and metabolism,metabolic process (GO:0008152),-1.03,-0.73,,WP_011294367.1,PMT9312_0395
375619,376203.0,585.0,PMT9312_0396,PMT9312_RS02055,ribosome-associated inhibitor A/sigma 54 modulation protein,WP_011375957.1,Translation,primary metabolic process (GO:0044238),,-1.14,,WP_011294368.1,PMT9312_0396
376926,378869.0,1944.0,PMT9312_0398,PMT9312_RS02065,long-chain fatty acid--CoA ligase,WP_011375959.1,Lipid transport and metabolism,metabolic process (GO:0008152),,-0.57,,WP_011294370.1,PMT9312_0398
380940,382076.0,1137.0,PMT9312_0401,PMT9312_RS02080,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,WP_011375962.1,Not in COGs,queuosine biosynthetic process (GO:0008616),-0.58,,,WP_011294373.1,PMT9312_0401
382066,383052.0,987.0,PMT9312_0402,PMT9312_RS02085,cysteine synthase A,WP_011375963.1,Amino acid transport and metabolism,cysteine biosynthetic process from serine (GO:0006535),0.67,0.62,,WP_011294374.1,PMT9312_0402
388724,389428.0,705.0,PMT9312_0409,PMT9312_RS02120,short-chain dehydrogenase,WP_011375970.1,Lipid transport and metabolism,metabolic process (GO:0008152),,1.71,,WP_011293929.1,PMT9312_0409
390671,391465.0,795.0,PMT9312_0411,PMT9312_RS02130,SAM-dependent methyltransferase,WP_011375972.1,"Secondary metabolites biosynthesis, transport and catabolism",metabolic process (GO:0008152),,0.51,,,PMT9312_0411
391542,391733.0,192.0,PMT9312_0412,PMT9312_RS09415,hypothetical protein,WP_011375973.1,Not in COGs,,,-0.63,,WP_011294599.1,PMT9312_0412
396854,397525.0,672.0,PMT9312_0418,PMT9312_RS02160,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,WP_011375978.1,Translation,RNA processing (GO:0006396),-0.52,,,WP_011294389.1,PMT9312_0418
398023,398415.0,393.0,PMT9312_0420,PMT9312_RS02170,DUF393 domain-containing protein,WP_011375980.1,Function unknown,,1.05,1.58,,WP_011294804.1,PMT9312_0420
398418,398654.0,237.0,PMT9312_0421,PMT9312_RS02175,TIGR03643 family protein,WP_011375981.1,Not in COGs,,1.43,1.47,,WP_071813652.1,PMT9312_0421
398658,398783.0,126.0,PMT9312_0422,PMT9312_RS09420,DUF2256 domain-containing protein,WP_011375982.1,Function unknown,,,1.41,,WP_011294814.1,PMT9312_0422
398786,400276.0,1491.0,PMT9312_0423,PMT9312_RS02180,cryptochrome/photolyase family protein,WP_011375983.1,General function prediction only,DNA repair (GO:0006281),,1.28,,WP_011294815.1,PMT9312_0423
400381,400560.0,180.0,PMT9312_0424,PMT9312_RS02185,hypothetical protein,WP_011375984.1,Not in COGs,,0.93,0.91,,WP_011294682.1,PMT9312_0424
406636,407094.0,459.0,PMT9312_0431,PMT9312_RS02220,hypothetical protein,WP_011375991.1,Not in COGs,,0.53,,,WP_011294396.1,PMT9312_0431
412959,413579.0,621.0,PMT9312_0436,PMT9312_RS02245,hypothetical protein,WP_011375996.1,Not in COGs,,,1.43,,,PMT9312_0436
413602,414240.0,639.0,PMT9312_0437,PMT9312_RS02250,hypothetical protein,WP_011375997.1,Not in COGs,,-0.84,,,WP_011294403.1,PMT9312_0437
414254,415411.0,1158.0,PMT9312_0438,PMT9312_RS02255,TIGR00303 family protein,WP_011375998.1,Coenzyme transport and metabolism,cobalamin biosynthetic process (GO:0009236),-0.62,,,WP_011294404.1,PMT9312_0438
416399,417541.0,1143.0,PMT9312_0440,PMT9312_RS02265,aldo/keto reductase,WP_011376000.1,General function prediction only,oxidation reduction (GO:0055114),,-0.6,,,PMT9312_0440
418772,419374.0,603.0,PMT9312_0443,PMT9312_RS02280,heme-copper oxidase subunit III,WP_011376003.1,Energy production and conversion,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",-0.85,,,WP_011294408.1,PMT9312_0443
419381,421006.0,1626.0,PMT9312_0444,PMT9312_RS02285,cytochrome c oxidase subunit I,WP_011376004.1,Energy production and conversion,aerobic respiration (GO:0009060),-0.38,-0.61,,WP_011294409.1,PMT9312_0444
421003,421806.0,804.0,PMT9312_0445,PMT9312_RS02290,cytochrome c oxidase subunit II,WP_011376005.1,Energy production and conversion,electron transport chain (GO:0022900),-0.3,-0.65,,WP_011294410.1,PMT9312_0445
422069,422995.0,927.0,PMT9312_0446,PMT9312_RS02295,cytochrome c oxidase assembly protein,WP_011376006.1,"Posttranslational modification, protein turnover, chaperones",protein complex assembly (GO:0006461),-0.41,-0.63,,WP_011294411.1,PMT9312_0446
422992,423993.0,1002.0,PMT9312_0447,PMT9312_RS02300,protoheme IX farnesyltransferase,WP_011376007.1,"Posttranslational modification, protein turnover, chaperones",heme O biosynthetic process (GO:0048034),,-0.53,,WP_011294412.1,PMT9312_0447
426322,428076.0,1755.0,PMT9312_0451,PMT9312_RS02320,molecular chaperone GroEL,WP_011376011.1,"Posttranslational modification, protein turnover, chaperones",cellular protein metabolic process (GO:0044267),0.69,0.47,,WP_011294416.1,PMT9312_0451
428388,429137.0,750.0,PMT9312_0453,PMT9312_RS02330,beta-ketoacyl-ACP reductase,WP_011376013.1,Lipid transport and metabolism,fatty acid biosynthetic process (GO:0006633),,-0.64,,WP_011294418.1,PMT9312_0453
431799,433394.0,1596.0,PMT9312_0457,PMT9312_RS02350,exopolyphosphatase,WP_011376017.1,Nucleotide transport and metabolism,,-0.38,-0.93,,WP_011294422.1,PMT9312_0457
433391,433882.0,492.0,PMT9312_0458,PMT9312_RS02355,transcriptional regulator,WP_036924124.1,Function unknown,,0.47,0.53,,WP_011294423.1,PMT9312_0458
434686,435579.0,894.0,PMT9312_0460,PMT9312_RS02365,prolipoprotein diacylglyceryl transferase,WP_011376020.1,Not in COGs,lipoprotein biosynthetic process (GO:0042158),-0.98,-0.79,,WP_011294425.1,PMT9312_0460
435592,436545.0,954.0,PMT9312_0461,PMT9312_RS02370,apocytochrome f,WP_011376021.1,Not in COGs,photosynthesis (GO:0015979),,-1.28,,WP_011294426.1,PMT9312_0461
436549,437085.0,537.0,PMT9312_0462,PMT9312_RS02375,cytochrome b6-f complex iron-sulfur subunit,WP_011376022.1,Energy production and conversion,oxidation reduction (GO:0055114),,-1.01,,WP_011294427.1,PMT9312_0462
437209,437526.0,318.0,PMT9312_0463,PMT9312_RS02380,hypothetical protein,WP_011376023.1,Not in COGs,,,0.65,,WP_011294428.1,PMT9312_0463
440970,441104.0,135.0,PMT9312_0468,PMT9312_RS02405,photosystem I reaction center subunit IX (PsaJ),WP_011376028.1,Not in COGs,photosynthesis (GO:0015979),,-1.91,,WP_011294433.1,PMT9312_0468
441134,441688.0,555.0,PMT9312_0469,PMT9312_RS02410,photosystem I PsaF protein (subunit III),WP_011376029.1,Not in COGs,photosynthesis (GO:0015979),,-2.07,,WP_011294434.1,PMT9312_0469
443174,444373.0,1200.0,PMT9312_0472,PMT9312_RS02425,sodium:proton antiporter,WP_011376032.1,Inorganic ion transport and metabolism,cation transport (GO:0006812),,-0.61,,WP_011294438.1,PMT9312_0472
444370,445809.0,1440.0,PMT9312_0473,PMT9312_RS02430,glutamate--tRNA ligase,WP_011376033.1,Translation,glutamyl-tRNA aminoacylation (GO:0006424),-0.5,-0.74,,WP_011294439.1,PMT9312_0473
446908,447216.0,309.0,PMT9312_0476,PMT9312_RS02455,PepSY domain-containing protein,WP_011376035.1,Not in COGs,,,-0.78,,,PMT9312_0476
447308,448147.0,840.0,PMT9312_0477,PMT9312_RS02460,type I methionyl aminopeptidase,WP_011376036.1,Translation,cellular process (GO:0009987),0.67,0.7,,WP_011294441.1,PMT9312_0477
457084,458040.0,957.0,PMT9312_0489,PMT9312_RS02520,hypothetical protein,WP_011376048.1,Not in COGs,,,0.66,,WP_011294453.1,PMT9312_0489
461622,463127.0,1506.0,PMT9312_0494,PMT9312_RS02545,carboxypeptidase M32,WP_011376053.1,Amino acid transport and metabolism,proteolysis (GO:0006508),0.32,0.83,,WP_011294458.1,PMT9312_0494
463780,464730.0,951.0,PMT9312_0496,PMT9312_RS02555,hydroxymethylbilane synthase,WP_011376055.1,Not in COGs,tetrapyrrole biosynthetic process (GO:0033014),-0.59,-0.59,,WP_011294460.1,PMT9312_0496
471394,471819.0,426.0,PMT9312_0503,PMT9312_RS02590,single-stranded DNA-binding protein,WP_011376062.1,"Replication, recombination and repair",,0.67,-0.42,,WP_011294467.1,PMT9312_0503
472968,473972.0,1005.0,PMT9312_0506,PMT9312_RS02605,adenosine kinase,WP_011376065.1,Carbohydrate transport and metabolism,D-ribose metabolic process (GO:0006014),-0.68,-0.56,,WP_011294470.1,PMT9312_0506
475841,477643.0,1803.0,PMT9312_0509,PMT9312_RS02620,proline--tRNA ligase,WP_011376068.1,Translation,prolyl-tRNA aminoacylation (GO:0006433),0.33,0.7,,WP_011294473.1,PMT9312_0509
477818,478168.0,351.0,PMT9312_0510,PMT9312_RS02625,hypothetical protein,WP_011376069.1,Not in COGs,,0.5,0.78,,WP_011294474.1,PMT9312_0510
479063,479419.0,357.0,PMT9312_0513,PMT9312_RS02640,hypothetical protein,WP_011376072.1,Inorganic ion transport and metabolism,,,1.07,,WP_011294477.1,PMT9312_0513
479449,480108.0,660.0,PMT9312_0514,PMT9312_RS02645,signal peptidase I,WP_011376073.1,Intracellular trafficking and secretion,proteolysis (GO:0006508),0.64,0.66,,WP_011294478.1,PMT9312_0514
492156,493919.0,1764.0,PMT9312_0526,PMT9312_RS02705,acetolactate synthase,WP_011376085.1,Amino acid transport and metabolism,branched chain family amino acid biosynthetic process (GO:0009082),,-0.67,,WP_011294490.1,PMT9312_0526
502728,503384.0,657.0,PMT9312_0537,PMT9312_RS02760,phosphoribosylanthranilate isomerase,WP_011376096.1,Amino acid transport and metabolism,metabolic process (GO:0008152),0.5,,,WP_011294499.1,PMT9312_0537
503440,504663.0,1224.0,PMT9312_0538,PMT9312_RS02765,hypothetical protein,WP_011376097.1,Not in COGs,proteolysis (GO:0006508),-0.62,,,WP_080502539.1,PMT9312_0538
505704,506051.0,348.0,PMT9312_0541,PMT9312_RS02780,hypothetical protein,WP_011376100.1,Not in COGs,,-0.88,,,WP_011294502.1,PMT9312_0541
506105,507109.0,1005.0,PMT9312_0542,PMT9312_RS02785,protochlorophyllide oxidoreductase,WP_011376101.1,Lipid transport and metabolism,metabolic process (GO:0008152),,-0.64,,WP_011294503.1,PMT9312_0542
507116,508003.0,888.0,PMT9312_0543,PMT9312_RS02790,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein,WP_011376102.1,Inorganic ion transport and metabolism,chlorophyll biosynthetic process (GO:0015995),-0.37,-1.23,,WP_011294504.1,PMT9312_0543
508196,509773.0,1578.0,PMT9312_0544,PMT9312_RS02795,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B,WP_011376103.1,Energy production and conversion,chlorophyll biosynthetic process (GO:0015995),-0.61,-1.17,,WP_011294506.1,PMT9312_0544
509778,511034.0,1257.0,PMT9312_0545,PMT9312_RS02800,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,WP_011376104.1,Energy production and conversion,chlorophyll biosynthetic process (GO:0015995),-0.55,-0.86,,WP_011294505.1,PMT9312_0545
511658,512428.0,771.0,PMT9312_0547,PMT9312_RS02810,BMC domain-containing protein,WP_011376106.1,Not in COGs,,,-0.56,,WP_011294508.1,PMT9312_0547
513352,513663.0,312.0,PMT9312_0549,PMT9312_RS02820,carbon dioxide-concentrating mechanism protein CcmK,WP_002807869.1,"Secondary metabolites biosynthesis, transport and catabolism",,-1.95,-1.33,,WP_011130577.1,PMT9312_0549
513733,515148.0,1416.0,PMT9312_0550,PMT9312_RS02825,ribulose bisphosphate carboxylase large chain,WP_002805854.1,Carbohydrate transport and metabolism,carbon utilization by fixation of carbon dioxide (GO:0015977),-2.32,-1.59,,WP_011294510.1,PMT9312_0550
515243,515584.0,342.0,PMT9312_0551,PMT9312_RS02830,ribulose bisphosphate carboxylase small subunit,WP_011376108.1,Not in COGs,carbon utilization by fixation of carbon dioxide (GO:0015977),-2.5,-1.68,,WP_011294511.1,PMT9312_0551
515664,517964.0,2301.0,PMT9312_0552,PMT9312_RS02835,carboxysome shell protein,WP_011376109.1,Not in COGs,,-2.1,-1.49,,WP_011294512.1,PMT9312_0552
517972,519501.0,1530.0,PMT9312_0553,PMT9312_RS02840,carboxysome shell protein,WP_011376110.1,Not in COGs,,-2.13,-1.65,,WP_011294513.1,PMT9312_0553
519504,519755.0,252.0,PMT9312_0554,PMT9312_RS02845,carboxysome peptide A,WP_011376111.1,Not in COGs,,,-0.58,,WP_011294514.1,PMT9312_0554
520344,520571.0,228.0,PMT9312_0557,PMT9312_RS02860,hypothetical protein,WP_002806681.1,Not in COGs,,-0.55,-0.76,,WP_011294518.1,PMT9312_0557
521074,521814.0,741.0,PMT9312_0559,PMT9312_RS02870,hydroxyacylglutathione hydrolase,WP_011376115.1,General function prediction only,,0.51,0.49,,WP_041711155.1,PMT9312_0559
522505,524301.0,1797.0,PMT9312_0561,PMT9312_RS02880,ABC transporter ATP-binding protein,WP_011376117.1,Defense mechanisms,transmembrane transport (GO:0055085),,1.03,,WP_011294522.1,PMT9312_0561
524301,524831.0,531.0,PMT9312_0562,PMT9312_RS02885,N-acetyltransferase,WP_011376118.1,Not in COGs,metabolic process (GO:0008152),,1.19,,WP_011294523.1,PMT9312_0562
527726,528952.0,1227.0,PMT9312_0566,PMT9312_RS02905,glutathione S-transferase,WP_011376122.1,"Posttranslational modification, protein turnover, chaperones",,0.39,0.51,,WP_011293536.1,PMT9312_0566
530371,531450.0,1080.0,PMT9312_0568,PMT9312_RS02915,C50 carotenoid epsilon cyclase,WP_011376124.1,Inorganic ion transport and metabolism,transmembrane transport (GO:0055085),-0.71,-0.7,,WP_011293538.1,PMT9312_0568
533472,534314.0,843.0,PMT9312_0572,PMT9312_RS02940,tryptophan synthase subunit alpha,WP_011376128.1,Amino acid transport and metabolism,metabolic process (GO:0008152),-0.53,,,WP_011293542.1,PMT9312_0572
534391,534747.0,357.0,PMT9312_0573,PMT9312_RS02945,AbrB family transcriptional regulator,WP_011376129.1,Not in COGs,,0.6,,,WP_011293945.1,PMT9312_0573
535668,536036.0,369.0,PMT9312_0576,PMT9312_RS02960,hypothetical protein,WP_011376132.1,Function unknown,,,-0.59,,WP_011293546.1,PMT9312_0576
541453,542436.0,984.0,PMT9312_0582,PMT9312_RS02990,NAD(P)-dependent oxidoreductase,WP_011376138.1,Cell wall/membrane biogenesis,cellular metabolic process (GO:0044237),-0.95,-0.84,,WP_011293552.1,PMT9312_0582
542445,543485.0,1041.0,PMT9312_0583,PMT9312_RS02995,uroporphyrinogen decarboxylase,WP_011376139.1,Coenzyme transport and metabolism,porphyrin biosynthetic process (GO:0006779),-0.87,-1.44,,WP_011293553.1,PMT9312_0583
547514,547780.0,267.0,PMT9312_0586,PMT9312_RS03010,hypothetical protein,WP_011376142.1,Not in COGs,,0.87,,,WP_011293556.1,PMT9312_0586
555243,557330.0,2088.0,PMT9312_0593,PMT9312_RS03045,peptidase M3,WP_011376149.1,Amino acid transport and metabolism,proteolysis (GO:0006508),0.59,1.25,,WP_011293563.1,PMT9312_0593
557351,558889.0,1539.0,PMT9312_0594,PMT9312_RS03050,NAD(P)H-quinone oxidoreductase subunit 4,WP_011376150.1,Energy production and conversion,ATP synthesis coupled electron transport (GO:0042773),0.42,0.67,,WP_011293564.1,PMT9312_0594
558968,559915.0,948.0,PMT9312_0595,PMT9312_RS03055,homoserine kinase,WP_011376151.1,Amino acid transport and metabolism,phosphorylation (GO:0016310),-0.38,-0.56,,WP_011293565.1,PMT9312_0595
564481,565815.0,1335.0,PMT9312_0600,PMT9312_RS03080,hypothetical protein,WP_011376156.1,Not in COGs,,-0.33,-0.75,,WP_011293570.1,PMT9312_0600
565835,566743.0,909.0,PMT9312_0601,PMT9312_RS03085,metal ABC transporter substrate-binding protein,WP_011376157.1,Inorganic ion transport and metabolism,cell adhesion (GO:0007155),-0.73,-1.12,,WP_011293571.1,PMT9312_0601
566747,567511.0,765.0,PMT9312_0602,PMT9312_RS03090,manganese transporter,WP_011376158.1,Inorganic ion transport and metabolism,,-0.63,-1.18,,WP_011293572.1,PMT9312_0602
567524,568399.0,876.0,PMT9312_0603,PMT9312_RS03095,metal ABC transporter permease,WP_011376159.1,Inorganic ion transport and metabolism,transport (GO:0006810),-0.78,-0.64,,WP_011293573.1,PMT9312_0603
568399,569565.0,1167.0,PMT9312_0604,PMT9312_RS03100,hypothetical protein,WP_011376160.1,Not in COGs,,-1.04,-0.75,,WP_011293574.1,PMT9312_0604
572390,573247.0,858.0,PMT9312_0608,PMT9312_RS03120,"1,4-dihydroxy-2-naphthoyl-CoA synthase",WP_011376164.1,Coenzyme transport and metabolism,menaquinone biosynthetic process (GO:0009234),-0.56,-0.53,,WP_041711157.1,PMT9312_0608
573283,574734.0,1452.0,PMT9312_0609,PMT9312_RS03125,glycogen synthase,WP_011376165.1,Carbohydrate transport and metabolism,biosynthetic process (GO:0009058),,-0.58,,WP_011293579.1,PMT9312_0609
577496,578401.0,906.0,PMT9312_0612,PMT9312_RS03140,SAM-dependent methyltransferase,WP_011376168.1,Function unknown,,-0.57,,,WP_011293582.1,PMT9312_0612
578414,579724.0,1311.0,PMT9312_0613,PMT9312_RS03145,3-phosphoshikimate 1-carboxyvinyltransferase,WP_011376169.1,Amino acid transport and metabolism,aromatic amino acid family biosynthetic process (GO:0009073),-0.37,-0.71,,WP_011293583.1,PMT9312_0613
583347,584318.0,972.0,PMT9312_0618,PMT9312_RS03170,solanesyl diphosphate synthase,WP_011376174.1,Coenzyme transport and metabolism,isoprenoid biosynthetic process (GO:0008299),0.42,0.85,,WP_011293589.1,PMT9312_0618
584413,586395.0,1983.0,PMT9312_0619,PMT9312_RS03175,acetyl-coenzyme A synthetase,WP_011376175.1,Lipid transport and metabolism,metabolic process (GO:0008152),-0.42,-0.84,,WP_011293591.1,PMT9312_0619
586392,587114.0,723.0,PMT9312_0620,PMT9312_RS03180,alpha/beta hydrolase,WP_011376176.1,Not in COGs,,,0.88,,WP_011293592.1,PMT9312_0620
587244,588023.0,780.0,PMT9312_0621,PMT9312_RS03185,3'-5' exonuclease,WP_011376177.1,"Replication, recombination and repair",,,-0.63,,WP_011293593.1,PMT9312_0621
588054,588476.0,423.0,PMT9312_0622,PMT9312_RS03190,hypothetical protein,WP_011376178.1,Not in COGs,,-0.47,-0.99,,,PMT9312_0622
589852,590145.0,294.0,PMT9312_0624,PMT9312_RS03200,hypothetical protein,WP_036924605.1,Not in COGs,,,1.16,,,PMT9312_0624
591367,592425.0,1059.0,PMT9312_0627,PMT9312_RS03215,chlorophyll a/b binding light-harvesting protein,WP_011376183.1,Not in COGs,"photosynthesis, light reaction (GO:0019684)",-0.49,-1.24,,WP_011293600.1,PMT9312_0627
596188,597471.0,1284.0,PMT9312_0633,PMT9312_RS03245,lycopene cyclase family protein,WP_011376189.1,Energy production and conversion,carotenoid biosynthetic process (GO:0016117),-0.41,-1.15,,WP_011293607.1,PMT9312_0633
599778,600344.0,567.0,PMT9312_0636,PMT9312_RS03260,hydrolase,WP_011376192.1,"Secondary metabolites biosynthesis, transport and catabolism",metabolic process (GO:0008152),1.07,0.96,,WP_011293610.1,PMT9312_0636
600466,600918.0,453.0,PMT9312_0637,PMT9312_RS03265,transcriptional repressor,WP_011376193.1,Inorganic ion transport and metabolism,"regulation of transcription, DNA-dependent (GO:0006355)",0.69,0.39,,WP_080502540.1,PMT9312_0637
605612,606940.0,1329.0,PMT9312_0642,PMT9312_RS03290,O-acetylhomoserine aminocarboxypropyltransferase,WP_011376198.1,Amino acid transport and metabolism,cellular amino acid metabolic process (GO:0006520),,-0.64,,WP_011293617.1,PMT9312_0642
606954,607844.0,891.0,PMT9312_0643,PMT9312_RS03295,homoserine O-succinyltransferase,WP_036924645.1,Amino acid transport and metabolism,L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine (GO:0019281),-0.31,-0.74,,WP_011293618.1,PMT9312_0643
607850,609415.0,1566.0,PMT9312_0644,PMT9312_RS03300,sodium-independent anion transporter,WP_011376200.1,Inorganic ion transport and metabolism,transmembrane transport (GO:0055085),,-0.52,,WP_049752693.1,PMT9312_0644
609446,610723.0,1278.0,PMT9312_0645,PMT9312_RS03305,FAD-binding oxidoreductase,WP_011376201.1,Energy production and conversion,,,0.66,,WP_071813621.1,PMT9312_0645
610732,611904.0,1173.0,PMT9312_0646,PMT9312_RS03310,sirohydrochlorin chelatase,WP_080503126.1,Function unknown,cobalamin biosynthetic process (GO:0009236),,0.67,,WP_011293620.1,PMT9312_0646
615906,616295.0,390.0,PMT9312_0652,PMT9312_RS03340,lactoylglutathione lyase,WP_011376208.1,Amino acid transport and metabolism,,0.56,,,,PMT9312_0652
616428,616862.0,435.0,PMT9312_0653,PMT9312_RS03345,hypothetical protein,WP_011376209.1,Not in COGs,,,0.8,,WP_011295658.1,PMT9312_0653
616893,617222.0,330.0,PMT9312_0654,PMT9312_RS03350,hypothetical protein,WP_011376210.1,Not in COGs,,,0.76,,WP_011294616.1,PMT9312_0654
617230,617814.0,585.0,PMT9312_0655,PMT9312_RS03355,hypothetical protein,WP_011376211.1,Not in COGs,,,1.16,,WP_041710989.1,PMT9312_0655
617868,618068.0,201.0,PMT9312_1838,PMT9312_RS09430,hypothetical protein,WP_071813300.1,Not in COGs,,,1.14,,WP_011295118.1,PMT9312_1838
619565,620311.0,747.0,PMT9312_0659,PMT9312_RS03375,hypothetical protein,WP_011376215.1,Not in COGs,,-0.54,-0.7,,,PMT9312_0659
621431,621532.0,102.0,,PMT9312_RS09435,hypothetical protein,WP_071813302.1,,,0.99,,,WP_071813615.1,
621845,622045.0,201.0,PMT9312_1840,PMT9312_RS03385,hypothetical protein,WP_036924597.1,Not in COGs,,,-0.97,,,PMT9312_1840
622042,622308.0,267.0,PMT9312_0660,PMT9312_RS03390,RNA recognition motif-containing protein,WP_011376216.1,Not in COGs,,-0.33,-1.07,,WP_011293626.1,PMT9312_0660
622397,624730.0,2334.0,PMT9312_0661,PMT9312_RS03395,"ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent",WP_011376217.1,Not in COGs,oxidation reduction (GO:0055114),,-1.01,,WP_011293627.1,PMT9312_0661
627279,627953.0,675.0,PMT9312_0664,PMT9312_RS03410,hypothetical protein,WP_011376220.1,Not in COGs,,0.37,0.78,,WP_011293630.1,PMT9312_0664
634507,635400.0,894.0,PMT9312_0673,PMT9312_RS03455,putative selenate ABC transporter substrate-binding protein,WP_011376229.1,Inorganic ion transport and metabolism,phosphonate transport (GO:0015716),-0.58,,,WP_011293639.1,PMT9312_0673
635414,636592.0,1179.0,PMT9312_0674,PMT9312_RS03460,pyridoxal phosphate-dependent aminotransferase,WP_011376230.1,Amino acid transport and metabolism,biosynthetic process (GO:0009058),-0.67,-0.84,,WP_011293640.1,PMT9312_0674
640942,641754.0,813.0,PMT9312_0679,PMT9312_RS03485,TIGR04168 family protein,WP_071813306.1,Not in COGs,,0.55,0.55,,WP_011293647.1,PMT9312_0679
641778,642575.0,798.0,PMT9312_0680,PMT9312_RS03490,hypothetical protein,WP_011376236.1,General function prediction only,,,1.11,,WP_011293648.1,PMT9312_0680
642607,643797.0,1191.0,PMT9312_0681,PMT9312_RS03495,SAM-dependent methyltransferase,WP_011376237.1,Function unknown,,,-0.68,,WP_011293649.1,PMT9312_0681
646552,646734.0,183.0,PMT9312_1841,PMT9312_RS03510,hypothetical protein,WP_036924592.1,Not in COGs,,0.53,,,WP_011294630.1,PMT9312_1841
647468,647695.0,228.0,PMT9312_0685,PMT9312_RS03515,M protein,WP_011376240.1,Not in COGs,,1.45,4.58,,,PMT9312_0685
647697,647825.0,129.0,PMT9312_0686,PMT9312_RS03520,high light inducible protein,WP_011376241.1,Not in COGs,,3.04,4.38,,WP_011294351.1,PMT9312_0686
648073,648255.0,183.0,PMT9312_1843,PMT9312_RS03525,hypothetical protein,WP_036924589.1,Not in COGs,,2.29,4.25,,,PMT9312_1843
648255,648395.0,141.0,PMT9312_0687,PMT9312_RS03530,high light inducible protein,WP_011376242.1,Not in COGs,,2.66,3.72,,WP_011293953.1,PMT9312_0687
648395,648502.0,108.0,PMT9312_0688,PMT9312_RS03535,high light inducible protein,WP_011376243.1,Not in COGs,,2.28,2.7,,WP_011125327.1,PMT9312_0688
649383,649703.0,321.0,PMT9312_0690,PMT9312_RS03545,hypothetical protein,WP_036924586.1,Not in COGs,,0.62,,,,PMT9312_0690
