Supplementary Dataset 3: List of full set of Prochlorococcus MIT9312 genes for which signficant differential expression was observed on exposure to HDPE or PVC leachate (relative to AMP1 control). Gene features are provided based on current NCBI annotation (NC007577.1)  and cyanobase functional information (http://genome.microbedb.jp/cyanobase/). ,,,,,,,,,,,,
Gene Start,Gene End,Gene Length,MIT9312 original locus tag,MIT9312 (2017 NCBI),product,protein_id,COG (cyanobase),GO (cyanobase),HDPE log2 Fold change,PVC log2 Fold change,,NAT_homolog
380940,382076,1137,PMT9312_0401,PMT9312_RS02080,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,WP_011375962.1,Not in COGs,queuosine biosynthetic process (GO:0008616),-0.58,,,WP_011294373.1
382066,383052,987,PMT9312_0402,PMT9312_RS02085,cysteine synthase A,WP_011375963.1,Amino acid transport and metabolism,cysteine biosynthetic process from serine (GO:0006535),0.67,0.62,,WP_011294374.1
388724,389428,705,PMT9312_0409,PMT9312_RS02120,short-chain dehydrogenase,WP_011375970.1,Lipid transport and metabolism,metabolic process (GO:0008152),,1.71,,WP_011293929.1
390671,391465,795,PMT9312_0411,PMT9312_RS02130,SAM-dependent methyltransferase,WP_011375972.1,"Secondary metabolites biosynthesis, transport and catabolism",metabolic process (GO:0008152),,0.51,,
391542,391733,192,PMT9312_0412,PMT9312_RS09415,hypothetical protein,WP_011375973.1,Not in COGs,,,-0.63,,WP_011294599.1
396854,397525,672,PMT9312_0418,PMT9312_RS02160,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,WP_011375978.1,Translation,RNA processing (GO:0006396),-0.52,,,WP_011294389.1
398023,398415,393,PMT9312_0420,PMT9312_RS02170,DUF393 domain-containing protein,WP_011375980.1,Function unknown,,1.05,1.58,,WP_011294804.1
398418,398654,237,PMT9312_0421,PMT9312_RS02175,TIGR03643 family protein,WP_011375981.1,Not in COGs,,1.43,1.47,,WP_071813652.1
398658,398783,126,PMT9312_0422,PMT9312_RS09420,DUF2256 domain-containing protein,WP_011375982.1,Function unknown,,,1.41,,WP_011294814.1
398786,400276,1491,PMT9312_0423,PMT9312_RS02180,cryptochrome/photolyase family protein,WP_011375983.1,General function prediction only,DNA repair (GO:0006281),,1.28,,WP_011294815.1
400381,400560,180,PMT9312_0424,PMT9312_RS02185,hypothetical protein,WP_011375984.1,Not in COGs,,0.93,0.91,,WP_011294682.1
406636,407094,459,PMT9312_0431,PMT9312_RS02220,hypothetical protein,WP_011375991.1,Not in COGs,,0.53,,,WP_011294396.1
412959,413579,621,PMT9312_0436,PMT9312_RS02245,hypothetical protein,WP_011375996.1,Not in COGs,,,1.43,,
413602,414240,639,PMT9312_0437,PMT9312_RS02250,hypothetical protein,WP_011375997.1,Not in COGs,,-0.84,,,WP_011294403.1
414254,415411,1158,PMT9312_0438,PMT9312_RS02255,TIGR00303 family protein,WP_011375998.1,Coenzyme transport and metabolism,cobalamin biosynthetic process (GO:0009236),-0.62,,,WP_011294404.1
416399,417541,1143,PMT9312_0440,PMT9312_RS02265,aldo/keto reductase,WP_011376000.1,General function prediction only,oxidation reduction (GO:0055114),,-0.60,,
418772,419374,603,PMT9312_0443,PMT9312_RS02280,heme-copper oxidase subunit III,WP_011376003.1,Energy production and conversion,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",-0.85,,,WP_011294408.1
419381,421006,1626,PMT9312_0444,PMT9312_RS02285,cytochrome c oxidase subunit I,WP_011376004.1,Energy production and conversion,aerobic respiration (GO:0009060),-0.38,-0.61,,WP_011294409.1
421003,421806,804,PMT9312_0445,PMT9312_RS02290,cytochrome c oxidase subunit II,WP_011376005.1,Energy production and conversion,electron transport chain (GO:0022900),-0.30,-0.65,,WP_011294410.1
422069,422995,927,PMT9312_0446,PMT9312_RS02295,cytochrome c oxidase assembly protein,WP_011376006.1,"Posttranslational modification, protein turnover, chaperones",protein complex assembly (GO:0006461),-0.41,-0.63,,WP_011294411.1
422992,423993,1002,PMT9312_0447,PMT9312_RS02300,protoheme IX farnesyltransferase,WP_011376007.1,"Posttranslational modification, protein turnover, chaperones",heme O biosynthetic process (GO:0048034),,-0.53,,WP_011294412.1
426322,428076,1755,PMT9312_0451,PMT9312_RS02320,molecular chaperone GroEL,WP_011376011.1,"Posttranslational modification, protein turnover, chaperones",cellular protein metabolic process (GO:0044267),0.69,0.47,,WP_011294416.1
428388,429137,750,PMT9312_0453,PMT9312_RS02330,beta-ketoacyl-ACP reductase,WP_011376013.1,Lipid transport and metabolism,fatty acid biosynthetic process (GO:0006633),,-0.64,,WP_011294418.1
431799,433394,1596,PMT9312_0457,PMT9312_RS02350,exopolyphosphatase,WP_011376017.1,Nucleotide transport and metabolism,,-0.38,-0.93,,WP_011294422.1
433391,433882,492,PMT9312_0458,PMT9312_RS02355,transcriptional regulator,WP_036924124.1,Function unknown,,0.47,0.53,,WP_011294423.1
434686,435579,894,PMT9312_0460,PMT9312_RS02365,prolipoprotein diacylglyceryl transferase,WP_011376020.1,Not in COGs,lipoprotein biosynthetic process (GO:0042158),-0.98,-0.79,,WP_011294425.1
435592,436545,954,PMT9312_0461,PMT9312_RS02370,apocytochrome f,WP_011376021.1,Not in COGs,photosynthesis (GO:0015979),,-1.28,,WP_011294426.1
436549,437085,537,PMT9312_0462,PMT9312_RS02375,cytochrome b6-f complex iron-sulfur subunit,WP_011376022.1,Energy production and conversion,oxidation reduction (GO:0055114),,-1.01,,WP_011294427.1
437209,437526,318,PMT9312_0463,PMT9312_RS02380,hypothetical protein,WP_011376023.1,Not in COGs,,,0.65,,WP_011294428.1
440970,441104,135,PMT9312_0468,PMT9312_RS02405,photosystem I reaction center subunit IX (PsaJ),WP_011376028.1,Not in COGs,photosynthesis (GO:0015979),,-1.91,,WP_011294433.1
441134,441688,555,PMT9312_0469,PMT9312_RS02410,photosystem I PsaF protein (subunit III),WP_011376029.1,Not in COGs,photosynthesis (GO:0015979),,-2.07,,WP_011294434.1
443174,444373,1200,PMT9312_0472,PMT9312_RS02425,sodium:proton antiporter,WP_011376032.1,Inorganic ion transport and metabolism,cation transport (GO:0006812),,-0.61,,WP_011294438.1
444370,445809,1440,PMT9312_0473,PMT9312_RS02430,glutamate--tRNA ligase,WP_011376033.1,Translation,glutamyl-tRNA aminoacylation (GO:0006424),-0.50,-0.74,,WP_011294439.1
446908,447216,309,PMT9312_0476,PMT9312_RS02455,PepSY domain-containing protein,WP_011376035.1,Not in COGs,,,-0.78,,
447308,448147,840,PMT9312_0477,PMT9312_RS02460,type I methionyl aminopeptidase,WP_011376036.1,Translation,cellular process (GO:0009987),0.67,0.70,,WP_011294441.1
457084,458040,957,PMT9312_0489,PMT9312_RS02520,hypothetical protein,WP_011376048.1,Not in COGs,,,0.66,,WP_011294453.1
461622,463127,1506,PMT9312_0494,PMT9312_RS02545,carboxypeptidase M32,WP_011376053.1,Amino acid transport and metabolism,proteolysis (GO:0006508),0.32,0.83,,WP_011294458.1
463780,464730,951,PMT9312_0496,PMT9312_RS02555,hydroxymethylbilane synthase,WP_011376055.1,Not in COGs,tetrapyrrole biosynthetic process (GO:0033014),-0.59,-0.59,,WP_011294460.1
471394,471819,426,PMT9312_0503,PMT9312_RS02590,single-stranded DNA-binding protein,WP_011376062.1,"Replication, recombination and repair",,0.67,-0.42,,WP_011294467.1
472968,473972,1005,PMT9312_0506,PMT9312_RS02605,adenosine kinase,WP_011376065.1,Carbohydrate transport and metabolism,D-ribose metabolic process (GO:0006014),-0.68,-0.56,,WP_011294470.1
475841,477643,1803,PMT9312_0509,PMT9312_RS02620,proline--tRNA ligase,WP_011376068.1,Translation,prolyl-tRNA aminoacylation (GO:0006433),0.33,0.70,,WP_011294473.1
477818,478168,351,PMT9312_0510,PMT9312_RS02625,hypothetical protein,WP_011376069.1,Not in COGs,,0.50,0.78,,WP_011294474.1
479063,479419,357,PMT9312_0513,PMT9312_RS02640,hypothetical protein,WP_011376072.1,Inorganic ion transport and metabolism,,,1.07,,WP_011294477.1
479449,480108,660,PMT9312_0514,PMT9312_RS02645,signal peptidase I,WP_011376073.1,Intracellular trafficking and secretion,proteolysis (GO:0006508),0.64,0.66,,WP_011294478.1
492156,493919,1764,PMT9312_0526,PMT9312_RS02705,acetolactate synthase,WP_011376085.1,Amino acid transport and metabolism,branched chain family amino acid biosynthetic process (GO:0009082),,-0.67,,WP_011294490.1
502728,503384,657,PMT9312_0537,PMT9312_RS02760,phosphoribosylanthranilate isomerase,WP_011376096.1,Amino acid transport and metabolism,metabolic process (GO:0008152),0.50,,,WP_011294499.1
503440,504663,1224,PMT9312_0538,PMT9312_RS02765,hypothetical protein,WP_011376097.1,Not in COGs,proteolysis (GO:0006508),-0.62,,,WP_080502539.1
505704,506051,348,PMT9312_0541,PMT9312_RS02780,hypothetical protein,WP_011376100.1,Not in COGs,,-0.88,,,WP_011294502.1
506105,507109,1005,PMT9312_0542,PMT9312_RS02785,protochlorophyllide oxidoreductase,WP_011376101.1,Lipid transport and metabolism,metabolic process (GO:0008152),,-0.64,,WP_011294503.1
507116,508003,888,PMT9312_0543,PMT9312_RS02790,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein,WP_011376102.1,Inorganic ion transport and metabolism,chlorophyll biosynthetic process (GO:0015995),-0.37,-1.23,,WP_011294504.1
508196,509773,1578,PMT9312_0544,PMT9312_RS02795,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B,WP_011376103.1,Energy production and conversion,chlorophyll biosynthetic process (GO:0015995),-0.61,-1.17,,WP_011294506.1
509778,511034,1257,PMT9312_0545,PMT9312_RS02800,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,WP_011376104.1,Energy production and conversion,chlorophyll biosynthetic process (GO:0015995),-0.55,-0.86,,WP_011294505.1
511658,512428,771,PMT9312_0547,PMT9312_RS02810,BMC domain-containing protein,WP_011376106.1,Not in COGs,,,-0.56,,WP_011294508.1
513352,513663,312,PMT9312_0549,PMT9312_RS02820,carbon dioxide-concentrating mechanism protein CcmK,WP_002807869.1,"Secondary metabolites biosynthesis, transport and catabolism",,-1.95,-1.33,,WP_011130577.1
513733,515148,1416,PMT9312_0550,PMT9312_RS02825,ribulose bisphosphate carboxylase large chain,WP_002805854.1,Carbohydrate transport and metabolism,carbon utilization by fixation of carbon dioxide (GO:0015977),-2.32,-1.59,,WP_011294510.1
515243,515584,342,PMT9312_0551,PMT9312_RS02830,ribulose bisphosphate carboxylase small subunit,WP_011376108.1,Not in COGs,carbon utilization by fixation of carbon dioxide (GO:0015977),-2.50,-1.68,,WP_011294511.1
515664,517964,2301,PMT9312_0552,PMT9312_RS02835,carboxysome shell protein,WP_011376109.1,Not in COGs,,-2.10,-1.49,,WP_011294512.1
517972,519501,1530,PMT9312_0553,PMT9312_RS02840,carboxysome shell protein,WP_011376110.1,Not in COGs,,-2.13,-1.65,,WP_011294513.1
519504,519755,252,PMT9312_0554,PMT9312_RS02845,carboxysome peptide A,WP_011376111.1,Not in COGs,,,-0.58,,WP_011294514.1
520344,520571,228,PMT9312_0557,PMT9312_RS02860,hypothetical protein,WP_002806681.1,Not in COGs,,-0.55,-0.76,,WP_011294518.1
521074,521814,741,PMT9312_0559,PMT9312_RS02870,hydroxyacylglutathione hydrolase,WP_011376115.1,General function prediction only,,0.51,0.49,,WP_041711155.1
522505,524301,1797,PMT9312_0561,PMT9312_RS02880,ABC transporter ATP-binding protein,WP_011376117.1,Defense mechanisms,transmembrane transport (GO:0055085),,1.03,,WP_011294522.1
524301,524831,531,PMT9312_0562,PMT9312_RS02885,N-acetyltransferase,WP_011376118.1,Not in COGs,metabolic process (GO:0008152),,1.19,,WP_011294523.1
527726,528952,1227,PMT9312_0566,PMT9312_RS02905,glutathione S-transferase,WP_011376122.1,"Posttranslational modification, protein turnover, chaperones",,0.39,0.51,,WP_011293536.1
530371,531450,1080,PMT9312_0568,PMT9312_RS02915,C50 carotenoid epsilon cyclase,WP_011376124.1,Inorganic ion transport and metabolism,transmembrane transport (GO:0055085),-0.71,-0.70,,WP_011293538.1
533472,534314,843,PMT9312_0572,PMT9312_RS02940,tryptophan synthase subunit alpha,WP_011376128.1,Amino acid transport and metabolism,metabolic process (GO:0008152),-0.53,,,WP_011293542.1
534391,534747,357,PMT9312_0573,PMT9312_RS02945,AbrB family transcriptional regulator,WP_011376129.1,Not in COGs,,0.60,,,WP_011293945.1
535668,536036,369,PMT9312_0576,PMT9312_RS02960,hypothetical protein,WP_011376132.1,Function unknown,,,-0.59,,WP_011293546.1
541453,542436,984,PMT9312_0582,PMT9312_RS02990,NAD(P)-dependent oxidoreductase,WP_011376138.1,Cell wall/membrane biogenesis,cellular metabolic process (GO:0044237),-0.95,-0.84,,WP_011293552.1
542445,543485,1041,PMT9312_0583,PMT9312_RS02995,uroporphyrinogen decarboxylase,WP_011376139.1,Coenzyme transport and metabolism,porphyrin biosynthetic process (GO:0006779),-0.87,-1.44,,WP_011293553.1
547514,547780,267,PMT9312_0586,PMT9312_RS03010,hypothetical protein,WP_011376142.1,Not in COGs,,0.87,,,WP_011293556.1
555243,557330,2088,PMT9312_0593,PMT9312_RS03045,peptidase M3,WP_011376149.1,Amino acid transport and metabolism,proteolysis (GO:0006508),0.59,1.25,,WP_011293563.1
557351,558889,1539,PMT9312_0594,PMT9312_RS03050,NAD(P)H-quinone oxidoreductase subunit 4,WP_011376150.1,Energy production and conversion,ATP synthesis coupled electron transport (GO:0042773),0.42,0.67,,WP_011293564.1
558968,559915,948,PMT9312_0595,PMT9312_RS03055,homoserine kinase,WP_011376151.1,Amino acid transport and metabolism,phosphorylation (GO:0016310),-0.38,-0.56,,WP_011293565.1
564481,565815,1335,PMT9312_0600,PMT9312_RS03080,hypothetical protein,WP_011376156.1,Not in COGs,,-0.33,-0.75,,WP_011293570.1
565835,566743,909,PMT9312_0601,PMT9312_RS03085,metal ABC transporter substrate-binding protein,WP_011376157.1,Inorganic ion transport and metabolism,cell adhesion (GO:0007155),-0.73,-1.12,,WP_011293571.1
566747,567511,765,PMT9312_0602,PMT9312_RS03090,manganese transporter,WP_011376158.1,Inorganic ion transport and metabolism,,-0.63,-1.18,,WP_011293572.1
567524,568399,876,PMT9312_0603,PMT9312_RS03095,metal ABC transporter permease,WP_011376159.1,Inorganic ion transport and metabolism,transport (GO:0006810),-0.78,-0.64,,WP_011293573.1
568399,569565,1167,PMT9312_0604,PMT9312_RS03100,hypothetical protein,WP_011376160.1,Not in COGs,,-1.04,-0.75,,WP_011293574.1
572390,573247,858,PMT9312_0608,PMT9312_RS03120,"1,4-dihydroxy-2-naphthoyl-CoA synthase",WP_011376164.1,Coenzyme transport and metabolism,menaquinone biosynthetic process (GO:0009234),-0.56,-0.53,,WP_041711157.1
573283,574734,1452,PMT9312_0609,PMT9312_RS03125,glycogen synthase,WP_011376165.1,Carbohydrate transport and metabolism,biosynthetic process (GO:0009058),,-0.58,,WP_011293579.1
577496,578401,906,PMT9312_0612,PMT9312_RS03140,SAM-dependent methyltransferase,WP_011376168.1,Function unknown,,-0.57,,,WP_011293582.1
578414,579724,1311,PMT9312_0613,PMT9312_RS03145,3-phosphoshikimate 1-carboxyvinyltransferase,WP_011376169.1,Amino acid transport and metabolism,aromatic amino acid family biosynthetic process (GO:0009073),-0.37,-0.71,,WP_011293583.1
583347,584318,972,PMT9312_0618,PMT9312_RS03170,solanesyl diphosphate synthase,WP_011376174.1,Coenzyme transport and metabolism,isoprenoid biosynthetic process (GO:0008299),0.42,0.85,,WP_011293589.1
584413,586395,1983,PMT9312_0619,PMT9312_RS03175,acetyl-coenzyme A synthetase,WP_011376175.1,Lipid transport and metabolism,metabolic process (GO:0008152),-0.42,-0.84,,WP_011293591.1
586392,587114,723,PMT9312_0620,PMT9312_RS03180,alpha/beta hydrolase,WP_011376176.1,Not in COGs,,,0.88,,WP_011293592.1
587244,588023,780,PMT9312_0621,PMT9312_RS03185,3'-5' exonuclease,WP_011376177.1,"Replication, recombination and repair",,,-0.63,,WP_011293593.1
588054,588476,423,PMT9312_0622,PMT9312_RS03190,hypothetical protein,WP_011376178.1,Not in COGs,,-0.47,-0.99,,
589852,590145,294,PMT9312_0624,PMT9312_RS03200,hypothetical protein,WP_036924605.1,Not in COGs,,,1.16,,
591367,592425,1059,PMT9312_0627,PMT9312_RS03215,chlorophyll a/b binding light-harvesting protein,WP_011376183.1,Not in COGs,"photosynthesis, light reaction (GO:0019684)",-0.49,-1.24,,WP_011293600.1
596188,597471,1284,PMT9312_0633,PMT9312_RS03245,lycopene cyclase family protein,WP_011376189.1,Energy production and conversion,carotenoid biosynthetic process (GO:0016117),-0.41,-1.15,,WP_011293607.1
599778,600344,567,PMT9312_0636,PMT9312_RS03260,hydrolase,WP_011376192.1,"Secondary metabolites biosynthesis, transport and catabolism",metabolic process (GO:0008152),1.07,0.96,,WP_011293610.1
600466,600918,453,PMT9312_0637,PMT9312_RS03265,transcriptional repressor,WP_011376193.1,Inorganic ion transport and metabolism,"regulation of transcription, DNA-dependent (GO:0006355)",0.69,0.39,,WP_080502540.1
605612,606940,1329,PMT9312_0642,PMT9312_RS03290,O-acetylhomoserine aminocarboxypropyltransferase,WP_011376198.1,Amino acid transport and metabolism,cellular amino acid metabolic process (GO:0006520),,-0.64,,WP_011293617.1
606954,607844,891,PMT9312_0643,PMT9312_RS03295,homoserine O-succinyltransferase,WP_036924645.1,Amino acid transport and metabolism,L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine (GO:0019281),-0.31,-0.74,,WP_011293618.1
607850,609415,1566,PMT9312_0644,PMT9312_RS03300,sodium-independent anion transporter,WP_011376200.1,Inorganic ion transport and metabolism,transmembrane transport (GO:0055085),,-0.52,,WP_049752693.1
609446,610723,1278,PMT9312_0645,PMT9312_RS03305,FAD-binding oxidoreductase,WP_011376201.1,Energy production and conversion,,,0.66,,WP_071813621.1
610732,611904,1173,PMT9312_0646,PMT9312_RS03310,sirohydrochlorin chelatase,WP_080503126.1,Function unknown,cobalamin biosynthetic process (GO:0009236),,0.67,,WP_011293620.1
615906,616295,390,PMT9312_0652,PMT9312_RS03340,lactoylglutathione lyase,WP_011376208.1,Amino acid transport and metabolism,,0.56,,,
616428,616862,435,PMT9312_0653,PMT9312_RS03345,hypothetical protein,WP_011376209.1,Not in COGs,,,0.80,,WP_011295658.1
616893,617222,330,PMT9312_0654,PMT9312_RS03350,hypothetical protein,WP_011376210.1,Not in COGs,,,0.76,,WP_011294616.1
617230,617814,585,PMT9312_0655,PMT9312_RS03355,hypothetical protein,WP_011376211.1,Not in COGs,,,1.16,,WP_041710989.1
617868,618068,201,PMT9312_1838,PMT9312_RS09430,hypothetical protein,WP_071813300.1,Not in COGs,,,1.14,,WP_011295118.1
619565,620311,747,PMT9312_0659,PMT9312_RS03375,hypothetical protein,WP_011376215.1,Not in COGs,,-0.54,-0.70,,
621431,621532,102,,PMT9312_RS09435,hypothetical protein,WP_071813302.1,#N/A,,0.99,,,WP_071813615.1
621845,622045,201,PMT9312_1840,PMT9312_RS03385,hypothetical protein,WP_036924597.1,Not in COGs,,,-0.97,,
622042,622308,267,PMT9312_0660,PMT9312_RS03390,RNA recognition motif-containing protein,WP_011376216.1,Not in COGs,,-0.33,-1.07,,WP_011293626.1
622397,624730,2334,PMT9312_0661,PMT9312_RS03395,"ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent",WP_011376217.1,Not in COGs,oxidation reduction (GO:0055114),,-1.01,,WP_011293627.1
627279,627953,675,PMT9312_0664,PMT9312_RS03410,hypothetical protein,WP_011376220.1,Not in COGs,,0.37,0.78,,WP_011293630.1
634507,635400,894,PMT9312_0673,PMT9312_RS03455,putative selenate ABC transporter substrate-binding protein,WP_011376229.1,Inorganic ion transport and metabolism,phosphonate transport (GO:0015716),-0.58,,,WP_011293639.1
635414,636592,1179,PMT9312_0674,PMT9312_RS03460,pyridoxal phosphate-dependent aminotransferase,WP_011376230.1,Amino acid transport and metabolism,biosynthetic process (GO:0009058),-0.67,-0.84,,WP_011293640.1
640942,641754,813,PMT9312_0679,PMT9312_RS03485,TIGR04168 family protein,WP_071813306.1,Not in COGs,,0.55,0.55,,WP_011293647.1
641778,642575,798,PMT9312_0680,PMT9312_RS03490,hypothetical protein,WP_011376236.1,General function prediction only,,,1.11,,WP_011293648.1
642607,643797,1191,PMT9312_0681,PMT9312_RS03495,SAM-dependent methyltransferase,WP_011376237.1,Function unknown,,,-0.68,,WP_011293649.1
646552,646734,183,PMT9312_1841,PMT9312_RS03510,hypothetical protein,WP_036924592.1,Not in COGs,,0.53,,,WP_011294630.1
647468,647695,228,PMT9312_0685,PMT9312_RS03515,M protein,WP_011376240.1,Not in COGs,,1.45,4.58,,
647697,647825,129,PMT9312_0686,PMT9312_RS03520,high light inducible protein,WP_011376241.1,Not in COGs,,3.04,4.38,,WP_011294351.1
648073,648255,183,PMT9312_1843,PMT9312_RS03525,hypothetical protein,WP_036924589.1,Not in COGs,,2.29,4.25,,
648255,648395,141,PMT9312_0687,PMT9312_RS03530,high light inducible protein,WP_011376242.1,Not in COGs,,2.66,3.72,,WP_011293953.1
648395,648502,108,PMT9312_0688,PMT9312_RS03535,high light inducible protein,WP_011376243.1,Not in COGs,,2.28,2.70,,WP_011125327.1
649383,649703,321,PMT9312_0690,PMT9312_RS03545,hypothetical protein,WP_036924586.1,Not in COGs,,0.62,,,
649863,651461,1599,PMT9312_0691,PMT9312_RS03550,DNA recombination protein RmuC,WP_011376246.1,"Cell cycle control, mitosis and meiosis",,0.50,-0.36,,
651696,651884,189,PMT9312_0692,PMT9312_RS03555,hypothetical protein,WP_011376247.1,Not in COGs,,,-0.96,,
652279,652578,300,PMT9312_0693,PMT9312_RS03560,phospholipase,WP_011376248.1,Not in COGs,,0.58,,,
652995,653744,750,PMT9312_0694,PMT9312_RS03565,NAD-dependent DNA ligase,WP_011376249.1,"Replication, recombination and repair",,-0.62,-0.66,,WP_011293958.1
655821,656003,183,PMT9312_1848,PMT9312_RS03595,hypothetical protein,WP_036924581.1,Not in COGs,,0.68,1.34,,
656010,656207,198,PMT9312_0699,PMT9312_RS03600,hypothetical protein,WP_011376254.1,Not in COGs,,,1.38,,WP_011294663.1
656300,656554,255,PMT9312_0700,PMT9312_RS03605,high light inducible protein,WP_011376255.1,Not in COGs,,,1.85,,
657346,657558,213,PMT9312_0702,PMT9312_RS03610,hypothetical protein,WP_011376257.1,Not in COGs,,-0.66,,,WP_011294554.1
659782,660036,255,PMT9312_0706,PMT9312_RS03630,hypothetical protein,WP_011376261.1,Not in COGs,,0.81,1.50,,WP_041710994.1
660036,660263,228,PMT9312_0707,PMT9312_RS03635,hypothetical protein,WP_011376262.1,Not in COGs,,0.65,1.53,,WP_011294566.1
660527,660778,252,PMT9312_0709,PMT9312_RS03640,hypothetical protein,WP_011376264.1,Not in COGs,,,1.38,,
661732,661968,237,PMT9312_0710,PMT9312_RS03645,hypothetical protein,WP_011376265.1,Not in COGs,,0.84,2.27,,WP_011294001.1
661991,662233,243,PMT9312_0711,PMT9312_RS03650,hypothetical protein,WP_011376266.1,Not in COGs,,0.96,2.40,,WP_011293661.1
663874,664227,354,PMT9312_0714,PMT9312_RS03670,DUF1499 domain-containing protein,WP_011376269.1,Function unknown,,1.39,2.09,,WP_011294595.1
665730,666083,354,PMT9312_0716,PMT9312_RS03680,cytochrome c,WP_011376271.1,Not in COGs,,,-0.52,,WP_011293544.1
666279,667007,729,PMT9312_0717,PMT9312_RS03685,DNA-binding response regulator (phoB),WP_011376272.1,Signal transduction mechanisms,"regulation of transcription, DNA-dependent (GO:0006355)",,-0.60,,WP_011294535.1
668577,670859,2283,PMT9312_0720,PMT9312_RS03700,alkaline phosphatase,WP_011376275.1,Function unknown,,0.57,1.08,,WP_011294538.1
671007,672329,1323,PMT9312_0721,PMT9312_RS03705,porin,WP_011376276.1,Not in COGs,transport (GO:0006810),-0.36,0.87,,
672680,673666,987,PMT9312_0722,PMT9312_RS03710,phosphate ABC transporter substrate-binding protein PstS,WP_036924572.1,Inorganic ion transport and metabolism,phosphate transport (GO:0006817),0.60,1.35,,WP_011294540.1
674969,676228,1260,PMT9312_0724,PMT9312_RS03720,MFS transporter,WP_011376279.1,Not in COGs,transmembrane transport (GO:0055085),0.62,-0.48,,WP_011294543.1
676240,677262,1023,PMT9312_0725,PMT9312_RS03725,type I glyceraldehyde-3-phosphate dehydrogenase,WP_036924641.1,Carbohydrate transport and metabolism,glucose metabolic process (GO:0006006),1.36,-0.35,,WP_011294544.1
681464,681766,303,PMT9312_0730,PMT9312_RS03755,hypothetical protein,WP_011376285.1,Not in COGs,,0.54,,,
685111,686751,1641,PMT9312_0733,PMT9312_RS03770,ATP-dependent DNA ligase,WP_011376288.1,"Replication, recombination and repair",DNA recombination (GO:0006310),,1.01,,
686754,687740,987,PMT9312_0734,PMT9312_RS03775,DNA ligase-associated DEXH box helicase,WP_011376289.1,Translation,,,1.43,,
687776,688189,414,PMT9312_0735,PMT9312_RS03780,hypothetical protein,WP_011376290.1,Not in COGs,,,2.28,,
694059,694337,279,PMT9312_0747,PMT9312_RS03840,hypothetical protein,WP_036924638.1,Not in COGs,,,1.04,,WP_011293823.1
694454,694555,102,PMT9312_0748,PMT9312_RS03845,cytochrome b6-f complex subunit 8,WP_011376303.1,Not in COGs,cytochrome complex assembly (GO:0017004),,-0.62,,WP_011293824.1
694702,695352,651,PMT9312_0749,PMT9312_RS03850,photosystem II biogenesis protein Psp29,WP_011376304.1,Not in COGs,,,0.95,,WP_011293825.1
695388,695975,588,PMT9312_0750,PMT9312_RS03855,ATP-dependent Clp protease proteolytic subunit,WP_011376305.1,"Posttranslational modification, protein turnover, chaperones",proteolysis (GO:0006508),0.58,0.64,,WP_011293826.1
695972,697885,1914,PMT9312_0751,PMT9312_RS03860,cell division protein FtsH,WP_011376306.1,"Posttranslational modification, protein turnover, chaperones",protein catabolic process (GO:0030163),0.76,1.22,,WP_011293827.1
697993,698202,210,PMT9312_0752,PMT9312_RS03865,hypothetical protein,WP_011376307.1,Not in COGs,,0.54,0.57,,WP_011293682.1
700722,701447,726,PMT9312_0755,PMT9312_RS03880,phycocyanobilin:ferredoxin oxidoreductase,WP_011376310.1,Not in COGs,oxidation reduction (GO:0055114),,1.14,,WP_011293685.1
701447,702361,915,PMT9312_0756,PMT9312_RS03885,lipid ABC transporter permease,WP_011376311.1,Cell wall/membrane biogenesis,,0.46,0.66,,WP_011293686.1
710559,711242,684,PMT9312_0765,PMT9312_RS03925,D-Ala-D-Ala dipeptidase,WP_011376320.1,Cell wall/membrane biogenesis,proteolysis (GO:0006508),0.81,0.59,,WP_011293695.1
715264,716604,1341,PMT9312_0768,PMT9312_RS03940,geranylgeranyl reductase,WP_011376323.1,Energy production and conversion,chlorophyll biosynthetic process (GO:0015995),,-0.96,,WP_011293698.1
720665,721594,930,PMT9312_0773,PMT9312_RS03965,cytochrome c biogenesis protein CcsA,WP_011376328.1,"Posttranslational modification, protein turnover, chaperones",protein complex assembly (GO:0006461),-0.54,-0.96,,WP_011293705.1
722565,723566,1002,PMT9312_0775,PMT9312_RS03975,"fructose 1,6-bisphosphatase",WP_025926367.1,Not in COGs,glycerol metabolic process (GO:0006071),-0.34,-0.73,,WP_011293707.1
723585,724895,1311,PMT9312_0776,PMT9312_RS03980,glutamyl-tRNA reductase,WP_011376331.1,Coenzyme transport and metabolism,metabolic process (GO:0008152),-0.77,-0.62,,WP_011293708.1
728590,729138,549,PMT9312_0780,PMT9312_RS04000,epimerase,WP_011376335.1,Not in COGs,,0.83,1.04,,WP_011293712.1
729128,729514,387,PMT9312_0781,PMT9312_RS04005,hypothetical protein,WP_011376336.1,Not in COGs,,,1.16,,WP_011293713.1
