GeneID,logFC,logCPM,PValue,FDR,GeneName,Chr,Start,End,locus_tag,Product,KEGG,GO_Biological_Process,GO_Cellular_Component,GO_Molecular_Function,COG,resolved_locus_tag,resolution_method
gene-NATL1_17791,-0.644745247,3.818265873,0.013131001,0.084241581,NATL1_17791,CP000553.1,1459750,1460139,NATL1_17791,conserved hypothetical protein,-,-,-,-,-,NATL1_17791,tier1:GeneID
gene-NATL1_03041,0.481618355,5.333946002,0.013260169,0.084827193,aroC,CP000553.1,281855,282940,NATL1_03041,Chorismate synthase,K01736,GO:0009073:aromatic amino acid family biosynthetic process;GO:0009423:chorismate biosynthetic process,-,GO:0004107:chorismate synthase activity,"gnl|CDD|223160;COG0082, AroC, Chorismate synthase [Amino acid transport and metabolism].",NATL1_03041,tier1:GeneID
gene-NATL1_04581,0.457795653,9.484682472,0.013373549,0.085308762,NATL1_04581,CP000553.1,419750,420736,NATL1_04581,O-acetylserine (thiol)-lyase A,K01738,GO:0006535:cysteine biosynthetic process from serine,-,GO:0004124:cysteine synthase activity,"gnl|CDD|223110;COG0031, CysK, Cysteine synthase [Amino acid transport and metabolism].",NATL1_04581,tier1:GeneID
gene-NATL1_17541,-0.674830293,3.595539024,0.013719788,0.087214242,NATL1_17541,CP000553.1,1435693,1436289,NATL1_17541,Predicted membrane protein,K08591,GO:0008654:phospholipid biosynthetic process,GO:0016021:integral component of membrane;GO:0005886:plasma membrane,GO:0043772:acyl-phosphate glycerol-3-phosphate acyltransferase activity,"gnl|CDD|223421;COG0344, COG0344, Predicted membrane protein [Function unknown].",NATL1_17541,tier1:GeneID
gene-NATL1_06741,-0.697133815,3.07853953,0.013750169,0.087214242,amiC,CP000553.1,620781,621845,NATL1_06741,Cell wall hydrolase/autolysin,K01448,-,-,-,"gnl|CDD|223929;COG0860, AmiC, N-acetylmuramoyl-L-alanine amidase [Cell envelope biogenesis, outer membrane].",NATL1_06741,tier1:GeneID
gene-NATL1_08861,1.222041422,1.958012708,0.013978552,0.088412365,NATL1_08861,CP000553.1,824148,824708,NATL1_08861,Hypothetical protein,-,-,-,-,-,NATL1_08861,tier1:GeneID
gene-NATL1_11761,2.002947997,0.328492933,0.014119192,0.089050341,NATL1_11761,CP000553.1,1042642,1042983,NATL1_11761,Hypothetical protein,-,-,-,-,"gnl|CDD|227757;COG5470, COG5470, Uncharacterized conserved protein [Function unknown].",NATL1_11761,tier1:GeneID
gene-NATL1_18671,0.718240718,3.188955329,0.014164094,0.089082602,NATL1_18671,CP000553.1,1524972,1527755,NATL1_18671,putative DNA helicase,-,-,-,-,"gnl|CDD|226947;COG4581, COG4581, Superfamily II RNA helicase [DNA replication, recombination, and repair].",NATL1_18671,tier1:GeneID
gene-NATL1_14861,-0.847538594,2.712061877,0.014385622,0.090222431,NATL1_14861,CP000553.1,1196365,1197324,NATL1_14861,Predicted sulfurtransferase,-,-,-,-,"gnl|CDD|223982;COG1054, COG1054, Predicted sulfurtransferase [General function prediction only].",NATL1_14861,tier1:GeneID
gene-NATL1_11361,-1.131946822,1.355318168,0.014692391,0.091752244,NATL1_11361,CP000553.1,1019455,1019667,NATL1_11361,Hypothetical protein,-,-,-,-,-,NATL1_11361,tier1:GeneID
gene-NATL1_07971,-0.654884724,3.510370078,0.014727811,0.091752244,NATL1_07971,CP000553.1,732687,733319,NATL1_07971,putative carboxypeptidase,K07260,-,-,-,"gnl|CDD|224788;COG1876, VanY, D-alanyl-D-alanine carboxypeptidase [Cell envelope biogenesis, outer membrane].",NATL1_07971,tier1:GeneID
gene-NATL1_15611,0.539263743,10.99280798,0.014752482,0.091752244,NATL1_15611,CP000553.1,1267788,1268852,NATL1_15611,Hypothetical protein,-,GO:0009767:photosynthetic electron transport chain;GO:0018298:protein-chromophore linkage,GO:0016021:integral component of membrane;GO:0009522:photosystem I;GO:0009523:photosystem II;GO:0042651:thylakoid membrane,GO:0016168:chlorophyll binding,-,NATL1_15611,tier1:GeneID
gene-NATL1_11181,-0.783946214,2.407586872,0.014964171,0.092607127,NATL1_11181,CP000553.1,1011185,1011292,NATL1_11181,possible high light inducible protein,-,-,-,-,-,NATL1_11181,tier1:GeneID
gene-NATL1_00551,0.504428106,6.417758711,0.014996705,0.092607127,NATL1_00551,CP000553.1,57261,57785,NATL1_00551,possible reductase,-,-,-,-,"gnl|CDD|223508;COG0431, COG0431, Predicted flavoprotein [General function prediction only].",NATL1_00551,tier1:GeneID
gene-NATL1_21981,0.438704037,6.245034282,0.015014018,0.092607127,NATL1_21981,CP000553.1,1860996,1862855,NATL1_21981,possible protein kinase:ABC1 family,-,-,-,GO:0005524:ATP binding;GO:0004672:protein kinase activity,"gnl|CDD|223733;COG0661, AarF, Predicted unusual protein kinase [General function prediction only].",NATL1_21981,tier1:GeneID
gene-NATL1_07891,-0.497486436,8.730181349,0.015210965,0.093564149,rpsB,CP000553.1,720730,721398,NATL1_07891,30S ribosomal protein S2,K02967,GO:0006412:translation,GO:0015935:small ribosomal subunit,GO:0003735:structural constituent of ribosome,"gnl|CDD|223130;COG0052, RpsB, Ribosomal protein S2 [Translation, ribosomal structure and biogenesis].",NATL1_07891,tier1:GeneID
gene-NATL1_17161,-0.797096548,3.452643607,0.015357744,0.094170724,trpC,CP000553.1,1401246,1402133,NATL1_17161,Indole-3-glycerol phosphate synthase,K01609,GO:0000162:tryptophan biosynthetic process,-,GO:0004425:indole-3-glycerol-phosphate synthase activity,"gnl|CDD|223212;COG0134, TrpC, Indole-3-glycerol phosphate synthase [Amino acid transport and metabolism].",NATL1_17161,tier1:GeneID
gene-NATL1_08351,0.623439363,4.321788905,0.015393696,0.094170724,NATL1_08351,CP000553.1,767008,768603,NATL1_08351,conserved hypothetical protein,-,-,-,-,-,NATL1_08351,tier1:GeneID
gene-NATL1_19971,-0.480227754,7.276053837,0.015522297,0.094669783,rpsC,CP000553.1,1643697,1644431,NATL1_19971,30S ribosomal protein S3,K02982,GO:0006412:translation,GO:0015935:small ribosomal subunit,GO:0003729:mRNA binding;GO:0019843:rRNA binding;GO:0003735:structural constituent of ribosome,"gnl|CDD|223170;COG0092, RpsC, Ribosomal protein S3 [Translation, ribosomal structure and biogenesis].",NATL1_19971,tier1:GeneID
gene-NATL1_03171,0.425097076,5.625485698,0.015559839,0.094669783,ileS,CP000553.1,293790,296693,NATL1_03171,Isoleucyl-tRNA synthetase,K01870,GO:0006428:isoleucyl-tRNA aminoacylation,GO:0005737:cytoplasm,GO:0002161:aminoacyl-tRNA editing activity;GO:0005524:ATP binding;GO:0004822:isoleucine-tRNA ligase activity;GO:0000049:tRNA binding;GO:0008270:zinc ion binding,"gnl|CDD|223138;COG0060, IleS, Isoleucyl-tRNA synthetase [Translation, ribosomal structure and biogenesis].",NATL1_03171,tier1:GeneID
gene-NATL1_14721,-0.502154086,5.732298694,0.01562868,0.094830932,NATL1_14721,CP000553.1,1178279,1178509,NATL1_14721,BolA-like protein,-,-,-,-,"gnl|CDD|223349;COG0271, BolA, Stress-induced morphogen (activity unknown) [Signal transduction mechanisms].",NATL1_14721,tier1:GeneID
gene-NATL1_18571,0.705921495,2.808967552,0.015694569,0.094973354,NATL1_18571,CP000553.1,1516476,1517708,NATL1_18571,Cell division protein FtsW,K03588,-,-,-,"gnl|CDD|223843;COG0772, FtsW, Bacterial cell division membrane protein [Cell division and chromosome partitioning].",NATL1_18571,tier1:GeneID
gene-NATL1_19671,-0.492526917,4.593991867,0.015742933,0.095009234,NATL1_19671,CP000553.1,1623709,1624428,NATL1_19671,Hypothetical protein,-,-,-,-,-,NATL1_19671,tier1:GeneID
gene-NATL1_03751,0.453526201,4.783282547,0.015789597,0.095034696,rub,CP000553.1,347481,347906,NATL1_03751,probable rubredoxin,-,-,-,-,"gnl|CDD|224687;COG1773, COG1773, Rubredoxin [Energy production and conversion].",NATL1_03751,tier1:GeneID
gene-NATL1_06061,0.698414999,10.31429397,0.015898669,0.095434636,csoS2,CP000553.1,551232,553622,NATL1_06061,carboxysome shell protein CsoS2,-,-,-,-,-,NATL1_06061,tier1:GeneID
gene-NATL1_10421,-0.515855311,6.099859813,0.015982888,0.09568365,vacB,CP000553.1,959193,961502,NATL1_10421,putative acetazolamide conferring resistance protein Zam,K12573,-,-,-,"gnl|CDD|223631;COG0557, VacB, Exoribonuclease R [Transcription].",NATL1_10421,tier1:GeneID
gene-NATL1_07721,-0.482065476,6.444426348,0.016042836,0.095786428,NATL1_07721,CP000553.1,703944,705005,NATL1_07721,SAM (and some other nucleotide) binding motif:Generic methyl-transferase,-,-,-,-,"gnl|CDD|225136;COG2226, UbiE, Methylase involved in ubiquinone/menaquinone biosynthesis [Coenzyme metabolism].",NATL1_07721,tier1:GeneID
gene-NATL1_10271,-0.61239436,3.541923214,0.016237881,0.096693127,NATL1_10271,CP000553.1,949459,949617,NATL1_10271,Hypothetical protein,-,-,-,-,-,NATL1_10271,tier1:GeneID
gene-NATL1_08791,1.463894466,1.022575868,0.016448304,0.097686348,NATL1_08791,CP000553.1,818586,820397,NATL1_08791,Hypothetical protein,-,-,-,-,-,NATL1_08791,tier1:GeneID
gene-NATL1_17851,0.873285227,2.7771906,0.016548336,0.098020437,NATL1_17851,CP000553.1,1464931,1465083,NATL1_17851,Hypothetical protein,-,-,-,-,-,NATL1_17851,tier1:GeneID
gene-NATL1_08911,0.461602623,7.551030882,0.016666518,0.098243538,NATL1_08911,CP000553.1,827868,828503,NATL1_08911,conserved hypothetical protein,-,-,GO:0016021:integral component of membrane;GO:0042651:thylakoid membrane,-,-,NATL1_08911,tier1:GeneID
gene-NATL1_16101,-1.142787219,1.779645684,0.016673758,0.098243538,NATL1_16101,CP000553.1,1317115,1317489,NATL1_16101,Hypothetical protein,-,-,-,-,-,NATL1_16101,tier1:GeneID
gene-NATL1_06571,-0.528452081,4.405136674,0.016826665,0.098694478,NATL1_06571,CP000553.1,603350,604315,NATL1_06571,ABC transporter%2C substrate binding protein%2C possibly Mn,K11601,GO:0007155:cell adhesion;GO:0030001:metal ion transport;GO:0009405:pathogenesis,GO:0009279:cell outer membrane;GO:0009986:cell surface,GO:0046872:metal ion binding,"gnl|CDD|223874;COG0803, LraI, ABC-type metal ion transport system, periplasmic component/surface adhesin [Inorganic ion transport and metabolism].",NATL1_06571,tier1:GeneID
gene-NATL1_20971,-1.505573134,0.370577572,0.01683845,0.098694478,NATL1_20971,CP000553.1,1741129,1742310,NATL1_20971,Hypothetical protein,-,-,-,-,-,NATL1_20971,tier1:GeneID
gene-NATL1_05071,0.538230684,4.113488709,0.016931542,0.098981,NATL1_05071,CP000553.1,462898,463074,NATL1_05071,Conserved hypothetical protein,-,-,-,-,-,NATL1_05071,tier1:GeneID
gene-NATL1_07631,-0.478214749,4.869033954,0.017110867,0.09976883,NATL1_07631,CP000553.1,698115,698672,NATL1_07631,Hypothetical protein,-,-,-,-,"gnl|CDD|225168;COG2259, COG2259, Predicted membrane protein [Function unknown].",NATL1_07631,tier1:GeneID
gene-NATL1_09321,-0.435021701,5.457038495,0.018054342,0.10499655,NATL1_09321,CP000553.1,859598,859828,NATL1_09321,conserved hypothetical protein,-,-,-,-,-,NATL1_09321,tier1:GeneID
gene-NATL1_09011,-0.874163716,2.03049897,0.018120492,0.105108245,NATL1_09011,CP000553.1,836142,837140,NATL1_09011,putative multidrug efflux ABC transporter,-,-,-,-,"gnl|CDD|226952;COG4586, COG4586, ABC-type uncharacterized transport system, ATPase component [General function prediction only].",NATL1_09011,tier1:GeneID
gene-NATL1_00101,0.438870564,5.434325738,0.018413246,0.106530381,rsbU,CP000553.1,13337,14734,NATL1_00101,Protein phosphatase 2C domain,-,-,-,-,"gnl|CDD|225118;COG2208, RsbU, Serine phosphatase RsbU, regulator of sigma subunit [Signal transduction mechanisms / Transcription].",NATL1_00101,tier1:GeneID
gene-NATL1_04081,-0.5862588,4.343108842,0.018473968,0.10660622,NATL1_04081,CP000553.1,375613,376053,NATL1_04081,Predicted thioesterase,-,-,-,-,"gnl|CDD|223894;COG0824, FcbC, Predicted thioesterase [General function prediction only].",NATL1_04081,tier1:GeneID
gene-NATL1_14431,1.398090433,1.152251824,0.018590506,0.106667704,NATL1_14431,CP000553.1,1162298,1162480,NATL1_14431,Hypothetical protein,-,-,-,-,-,NATL1_14431,tier1:GeneID
gene-NATL1_16261,0.658533749,5.508458848,0.018597986,0.106667704,NATL1_16261,CP000553.1,1331288,1331815,NATL1_16261,Hypothetical protein,-,-,-,-,-,NATL1_16261,tier1:GeneID
gene-NATL1_tRNASerVIMSS1309189,0.970212085,2.845379622,0.018627545,0.106667704,NATL1_tRNASerVIMSS1309189,CP000553.1,1629146,1629234,NATL1_tRNASerVIMSS1309189,tRNA-Ser,K14233,-,-,-,-,,unresolved
gene-NATL1_21731,-1.341153257,0.788191891,0.018718846,0.106735233,NATL1_21731,CP000553.1,1830304,1831014,NATL1_21731,possible Homeobox domain,-,-,-,-,-,NATL1_21731,tier1:GeneID
gene-NATL1_14761,1.769313374,0.359464545,0.018773274,0.106735233,ste14,CP000553.1,1183475,1184032,NATL1_14761,Putative protein-S-isoprenylcysteine methyltransferase,-,-,-,-,"gnl|CDD|224931;COG2020, STE14, Putative protein-S-isoprenylcysteine methyltransferase [Posttranslational modification, protein turnover, chaperones].",NATL1_14761,tier1:GeneID
gene-NATL1_15181,-0.547000351,4.30140478,0.018786993,0.106735233,NATL1_15181,CP000553.1,1232982,1233359,NATL1_15181,possible Adenoviral fiber protein (repeat/shaf,-,-,-,-,-,NATL1_15181,tier1:GeneID
gene-NATL1_21811,0.394296378,7.917781396,0.018838164,0.106735233,acnB,CP000553.1,1839141,1841741,NATL1_21811,Aconitate hydratase B,K01682,"GO:0019629:propionate catabolic process, 2-methylcitrate cycle;GO:0006099:tricarboxylic acid cycle",GO:0005829:cytosol,"GO:0047456:2-methylisocitrate dehydratase activity;GO:0051539:4 iron, 4 sulfur cluster binding;GO:0003994:aconitate hydratase activity;GO:0046872:metal ion binding;GO:0003730:mRNA 3'-UTR binding;GO:0003729:mRNA binding","gnl|CDD|223978;COG1049, AcnB, Aconitase B [Energy production and conversion].",NATL1_21811,tier1:GeneID
gene-NATL1_16091,-0.919359526,2.681166885,0.018877692,0.106735233,maf,CP000553.1,1316408,1317043,NATL1_16091,Maf-like protein,-,GO:0009117:nucleotide metabolic process,GO:0005737:cytoplasm,GO:0035529:NADH pyrophosphatase activity;GO:0047429:nucleoside-triphosphate diphosphatase activity,"gnl|CDD|223501;COG0424, Maf, Nucleotide-binding protein implicated in inhibition of septum formation [Cell division and chromosome partitioning].",NATL1_16091,tier1:GeneID
gene-NATL1_13611,-1.376447065,0.637911418,0.019155913,0.108035489,NATL1_13611,CP000553.1,1126686,1126952,NATL1_13611,Hypothetical protein,-,-,-,-,-,NATL1_13611,tier1:GeneID
gene-NATL1_16441,-0.406830148,6.419779604,0.01921493,0.108096052,NATL1_16441,CP000553.1,1340874,1341035,NATL1_16441,Hypothetical protein,-,-,-,-,-,NATL1_16441,tier1:GeneID
gene-NATL1_rnpBVIMSS1309406,0.672388567,16.97344246,0.019404104,0.108886687,rnpB,CP000553.1,1698707,1699039,NATL1_rnpBVIMSS1309406,RnpB RNA: catalytic subunit of RNase P,-,-,-,-,-,,unresolved
gene-NATL1_14241,-0.583780783,3.61279199,0.019515884,0.109240161,glnQ,CP000553.1,1151973,1152719,NATL1_14241,ABC-type polar amino acid transport system%2C ATPase component,K09972,-,GO:0005886:plasma membrane,GO:0015424:amino acid-transporting ATPase activity;GO:0005524:ATP binding,"gnl|CDD|224051;COG1126, GlnQ, ABC-type polar amino acid transport system, ATPase component [Amino acid transport and metabolism].",NATL1_14241,tier1:GeneID
gene-NATL1_04681,-0.552560399,4.33451203,0.019991728,0.111624636,NATL1_04681,CP000553.1,428953,429621,NATL1_04681,Hypothetical protein,-,-,-,-,-,NATL1_04681,tier1:GeneID
gene-NATL1_05361,0.462841022,4.713599043,0.020624236,0.114869814,NATL1_05361,CP000553.1,485767,486285,NATL1_05361,conserved hypothetical protein,-,-,-,-,"gnl|CDD|223829;COG0758, Smf, Predicted Rossmann fold nucleotide-binding protein involved in DNA uptake [DNA replication, recombination, and repair / Intracellular trafficking and secretion].",NATL1_05361,tier1:GeneID
gene-NATL1_14901,-0.444845452,5.265957233,0.020683756,0.114908969,lysA,CP000553.1,1200167,1201531,NATL1_14901,Diaminopimelate decarboxylase,K01586,GO:0009089:lysine biosynthetic process via diaminopimelate,-,GO:0008836:diaminopimelate decarboxylase activity;GO:0030170:pyridoxal phosphate binding,"gnl|CDD|223098;COG0019, LysA, Diaminopimelate decarboxylase [Amino acid transport and metabolism].",NATL1_14901,tier1:GeneID
gene-NATL1_16631,-0.45944562,6.287049187,0.020784192,0.114908969,NATL1_16631,CP000553.1,1355013,1356098,NATL1_16631,Predicted membrane-associated Zn-dependent proteases 1,-,-,-,-,"gnl|CDD|223821;COG0750, COG0750, Predicted membrane-associated Zn-dependent proteases 1 [Cell envelope biogenesis, outer membrane].",NATL1_16631,tier1:GeneID
gene-NATL1_12591,0.975043543,4.003427971,0.020820795,0.114908969,NATL1_12591,CP000553.1,1083246,1083491,NATL1_12591,Hypothetical protein,-,-,-,-,-,NATL1_12591,tier1:GeneID
gene-NATL1_18621,0.493628934,7.804832349,0.020836553,0.114908969,glnB,CP000553.1,1520606,1520944,NATL1_18621,Nitrogen regulatory protein P-II,K04751,GO:0006808:regulation of nitrogen utilization,-,GO:0030234:enzyme regulator activity;GO:0000166:nucleotide binding,"gnl|CDD|223424;COG0347, GlnK, Nitrogen regulatory protein PII [Amino acid transport and metabolism].",NATL1_18621,tier1:GeneID
gene-NATL1_19381,-0.482150915,4.63740235,0.021008884,0.115574671,NATL1_19381,CP000553.1,1590416,1592029,NATL1_19381,Fe-S oxidoreductase,-,-,-,-,"gnl|CDD|223963;COG1032, COG1032, Fe-S oxidoreductase [Energy production and conversion].",NATL1_19381,tier1:GeneID
gene-NATL1_06041,0.637165974,12.79984199,0.021100589,0.115794656,rbcL,CP000553.1,549278,550690,NATL1_06041,Ribulose bisphosphate carboxylase%2C large chain,K01601,GO:0019253:reductive pentose-phosphate cycle,GO:0070111:organellar chromatophore;GO:0009536:plastid,GO:0000287:magnesium ion binding;GO:0004497:monooxygenase activity;GO:0016984:ribulose-bisphosphate carboxylase activity,"gnl|CDD|224763;COG1850, RbcL, Ribulose 1,5-bisphosphate carboxylase, large subunit [Carbohydrate transport and metabolism].",NATL1_06041,tier1:GeneID
gene-NATL1_15671,-0.575036503,3.626878794,0.021190677,0.116004708,NATL1_15671,CP000553.1,1273099,1274001,NATL1_15671,Short-chain dehydrogenase/reductase (SDR) superfamily,K00218,-,-,-,"gnl|CDD|223959;COG1028, FabG, Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases) [Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only].",NATL1_15671,tier1:GeneID
gene-NATL1_04651,-0.915132625,2.487643815,0.021400668,0.116868527,NATL1_04651,CP000553.1,426553,427755,NATL1_04651,putative L-cysteine/cystine lyase,-,-,-,-,"gnl|CDD|223594;COG0520, csdA, Selenocysteine lyase/Cysteine desulfurase [Posttranslational modification, protein turnover, chaperones].",NATL1_04651,tier1:GeneID
gene-NATL1_14291,-0.630303385,3.737534968,0.021455778,0.116884397,NATL1_14291,CP000553.1,1156846,1157232,NATL1_14291,Uncharacterized conserved protein,-,-,-,-,"gnl|CDD|224278;COG1359, COG1359, Uncharacterized conserved protein [Function unknown].",NATL1_14291,tier1:GeneID
gene-NATL1_ffsVIMSS1309407,0.770772763,4.355290305,0.021515055,0.116922837,ffs,CP000553.1,1416694,1416790,NATL1_ffsVIMSS1309407,4.5S RNA component of the signal recognition particle (SRP),K01983,-,-,-,-,,unresolved
gene-NATL1_09061,0.42575477,5.461105372,0.021680711,0.117111701,NATL1_09061,CP000553.1,840758,841141,NATL1_09061,putative purine phosphoribosyltransferase-related protein,-,-,-,-,"gnl|CDD|225145;COG2236, COG2236, Predicted phosphoribosyltransferases [General function prediction only].",NATL1_09061,tier1:GeneID
gene-NATL1_12961,1.067256301,2.35129016,0.021701147,0.117111701,NATL1_12961,CP000553.1,1098657,1098824,NATL1_12961,Hypothetical protein,-,-,-,-,-,NATL1_12961,tier1:GeneID
gene-NATL1_19921,-0.490629664,7.78133834,0.021706724,0.117111701,rplX,CP000553.1,1641992,1642348,NATL1_19921,50S ribosomal protein L24,K02895,GO:0006412:translation,GO:0005840:ribosome,GO:0019843:rRNA binding;GO:0003735:structural constituent of ribosome,"gnl|CDD|223276;COG0198, RplX, Ribosomal protein L24 [Translation, ribosomal structure and biogenesis].",NATL1_19921,tier1:GeneID
gene-NATL1_16581,-0.828764962,2.836940938,0.021784144,0.11724687,rnpA,CP000553.1,1350029,1350415,NATL1_16581,Bacterial ribonuclease P protein component,-,GO:0001682:tRNA 5'-leader removal,-,GO:0004526:ribonuclease P activity;GO:0000049:tRNA binding,-,NATL1_16581,tier1:GeneID
gene-NATL1_05781,-0.457255015,6.104754112,0.022156829,0.118966761,frr,CP000553.1,524229,524777,NATL1_05781,Ribosome recycling factor,-,GO:0006415:translational termination,GO:0005737:cytoplasm,-,"gnl|CDD|223311;COG0233, Frr, Ribosome recycling factor [Translation, ribosomal structure and biogenesis].",NATL1_05781,tier1:GeneID
gene-NATL1_03411,0.414263402,14.05985259,0.022278033,0.119331376,amtB,CP000553.1,315399,316889,NATL1_03411,Ammonium transporter family,-,-,-,-,"gnl|CDD|223083;COG0004, AmtB, Ammonia permease [Inorganic ion transport and metabolism].",NATL1_03411,tier1:GeneID
gene-NATL1_12161,-0.828464061,4.960692336,0.022672077,0.12115222,NATL1_12161,CP000553.1,1065283,1065474,NATL1_12161,Hypothetical protein,-,-,-,-,-,NATL1_12161,tier1:GeneID
gene-NATL1_20931,-1.038532214,1.698412972,0.022848108,0.121802176,NATL1_20931,CP000553.1,1734806,1735603,NATL1_20931,Hypothetical protein,-,-,-,-,"gnl|CDD|224596;COG1682, TagG, ABC-type polysaccharide/polyol phosphate export systems, permease component [Carbohydrate transport and metabolism / Cell envelope biogenesis, outer membrane].",NATL1_20931,tier1:GeneID
gene-NATL1_05381,-1.13027991,1.961269875,0.022947194,0.122039828,NATL1_05381,CP000553.1,486950,487144,NATL1_05381,Conserved hypothetical protein,-,-,-,-,-,NATL1_05381,tier1:GeneID
gene-NATL1_06901,-0.723540119,2.465383058,0.023184482,0.123009607,NATL1_06901,CP000553.1,635776,636033,NATL1_06901,conserved hypothetical protein,-,-,-,-,-,NATL1_06901,tier1:GeneID
gene-NATL1_04401,0.644548565,3.403698214,0.023448145,0.123939363,cobI,CP000553.1,403538,404266,NATL1_04401,precorrin-2 C20-methyltransferase,K03394,-,-,-,"gnl|CDD|225152;COG2243, CobF, Precorrin-2 methylase [Coenzyme metabolism].",NATL1_04401,tier1:GeneID
gene-NATL1_13531,0.8782168,3.593570238,0.023470429,0.123939363,NATL1_13531,CP000553.1,1123990,1124124,NATL1_13531,Hypothetical protein,-,-,-,-,-,NATL1_13531,tier1:GeneID
gene-NATL1_15211,-0.491750831,4.362790077,0.023634065,0.124509817,NATL1_15211,CP000553.1,1235703,1237268,NATL1_15211,Uncharacterized conserved protein,K16149,-,-,-,"gnl|CDD|224460;COG1543, COG1543, Uncharacterized conserved protein [Function unknown].",NATL1_15211,tier1:GeneID
gene-NATL1_20781,0.501044081,4.130816671,0.02389072,0.125566484,NATL1_20781,CP000553.1,1721368,1721892,NATL1_20781,Predicted ATPase or kinase,-,-,-,-,"gnl|CDD|223873;COG0802, COG0802, Predicted ATPase or kinase [General function prediction only].",NATL1_20781,tier1:GeneID
gene-NATL1_19161,0.4081734,5.762438503,0.024163211,0.126633675,urtD,CP000553.1,1576109,1576861,NATL1_19161,putative ATP binding subunit of urea ABC transport system,K11962,-,-,-,"gnl|CDD|227019;COG4674, COG4674, Uncharacterized ABC-type transport system, ATPase component [General function prediction only].",NATL1_19161,tier1:GeneID
gene-NATL1_04851,2.515812584,-0.337250743,0.024206884,0.126633675,NATL1_04851,CP000553.1,441288,441707,NATL1_04851,conserved hypothetical protein,-,-,-,-,-,NATL1_04851,tier1:GeneID
gene-NATL1_13851,2.768498144,-0.18880323,0.02428725,0.126757931,NATL1_13851,CP000553.1,1138300,1138512,NATL1_13851,Hypothetical protein,-,-,-,-,-,NATL1_13851,tier1:GeneID
gene-NATL1_17231,0.484262974,4.814247777,0.024393107,0.127014342,NATL1_17231,CP000553.1,1408621,1409973,NATL1_17231,FAD/FMN-containing dehydrogenases,-,-,-,-,"gnl|CDD|223354;COG0277, GlcD, FAD/FMN-containing dehydrogenases [Energy production and conversion].",NATL1_17231,tier1:GeneID
gene-NATL1_17711,-0.445499712,5.955684771,0.024601282,0.127801091,rplU,CP000553.1,1453905,1454324,NATL1_17711,50S ribosomal protein L21,K02888,GO:0006412:translation,GO:0005840:ribosome,GO:0019843:rRNA binding;GO:0003735:structural constituent of ribosome,"gnl|CDD|223339;COG0261, RplU, Ribosomal protein L21 [Translation, ribosomal structure and biogenesis].",NATL1_17711,tier1:GeneID
gene-NATL1_08621,0.847377692,1.880261136,0.024830004,0.128690692,NATL1_08621,CP000553.1,792687,793934,NATL1_08621,Glycosyltransferase-like protein,-,-,-,-,"gnl|CDD|223515;COG0438, RfaG, Glycosyltransferase [Cell envelope biogenesis, outer membrane].",NATL1_08621,tier1:GeneID
gene-NATL1_13431,0.9901302,2.543518569,0.02506703,0.129388312,NATL1_13431,CP000553.1,1120796,1120999,NATL1_13431,Hypothetical protein,-,-,-,-,-,NATL1_13431,tier1:GeneID
gene-NATL1_13161,4.611057588,-0.760437088,0.025080182,0.129388312,NATL1_13161,CP000553.1,1106951,1107076,NATL1_13161,Hypothetical protein,-,-,-,-,-,NATL1_13161,tier1:GeneID
gene-NATL1_09091,-1.290470385,1.108736803,0.025168192,0.129535977,NATL1_09091,CP000553.1,842066,842464,NATL1_09091,Hypothetical protein,-,-,-,-,-,NATL1_09091,tier1:GeneID
gene-NATL1_12191,-1.08275943,0.952069608,0.025224514,0.129535977,NATL1_12191,CP000553.1,1066732,1066995,NATL1_12191,Hypothetical protein,-,-,-,-,-,NATL1_12191,tier1:GeneID
gene-NATL1_10861,0.470321108,4.34799511,0.025432714,0.130306283,NATL1_10861,CP000553.1,996297,997037,NATL1_10861,Hypothetical protein,-,-,-,-,"gnl|CDD|225130;COG2220, COG2220, Predicted Zn-dependent hydrolases of the beta-lactamase fold [General function prediction only].",NATL1_10861,tier1:GeneID
gene-NATL1_21931,-2.135529379,-0.182977923,0.025581462,0.130745303,mraY,CP000553.1,1852485,1853600,NATL1_21931,Putativephospho-N-acetylmuramoyl-pentapeptide-transferase,K01000,GO:0007049:cell cycle;GO:0051301:cell division;GO:0071555:cell wall organization;GO:0009252:peptidoglycan biosynthetic process;GO:0008360:regulation of cell shape,GO:0016021:integral component of membrane;GO:0005886:plasma membrane,"GO:0008963:phospho-N-acetylmuramoyl-pentapeptide-transferase activity;GO:0051992:UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity","gnl|CDD|223548;COG0472, Rfe, UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N- acetylglucosamine-1-phosphate transferase [Cell envelope biogenesis, outer membrane].",NATL1_21931,tier1:GeneID
