cds_fna_id	old_locus_tag	product
lcl|CP000111.1_cds_Pmt9312_0276_285	PMT9312_0276	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0277_286	PMT9312_0277	orotate phosphoribosyltransferase
lcl|CP000111.1_cds_Pmt9312_0278_287	PMT9312_0278	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0279_288	PMT9312_0279	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0280_289	PMT9312_0280	Phosphomannomutase
lcl|CP000111.1_cds_Pmt9312_0281_290	PMT9312_0281	Ham1-like protein
lcl|CP000111.1_cds_Pmt9312_0282_291	PMT9312_0282	retinal pigment epithelial membrane protein
lcl|CP000111.1_cds_Pmt9312_0283_292	PMT9312_0283	imidazoleglycerol-phosphate dehydratase
lcl|CP000111.1_cds_Pmt9312_0284_293	PMT9312_0284	Enoyl-
lcl|CP000111.1_cds_Pmt9312_0285_294	PMT9312_0285	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0286_295	PMT9312_0286	putative pleiotropic regulatory protein
lcl|CP000111.1_cds_Pmt9312_0287_296	PMT9312_0287	deoxyribodipyrimidine photo-lyase type I
lcl|CP000111.1_cds_Pmt9312_0288_297	PMT9312_0288	NUDIX hydrolase
lcl|CP000111.1_cds_Pmt9312_0289_298	PMT9312_0289	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
lcl|CP000111.1_cds_Pmt9312_0290_299	PMT9312_0290	protoporphyrin IX magnesium-chelatase
lcl|CP000111.1_cds_Pmt9312_0291_300	PMT9312_0291	putative ABC transporter
lcl|CP000111.1_cds_Pmt9312_0292_301	PMT9312_0292	ATPase
lcl|CP000111.1_cds_Pmt9312_0293_302	PMT9312_0293	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0294_303	PMT9312_0294	NADH dehydrogenase subunit C
lcl|CP000111.1_cds_Pmt9312_0295_304	PMT9312_0295	NADH dehydrogenase subunit B
lcl|CP000111.1_cds_Pmt9312_0296_305	PMT9312_0296	NADH dehydrogenase subunit A
lcl|CP000111.1_cds_Pmt9312_0297_306	PMT9312_0297	putative rubredoxin
lcl|CP000111.1_cds_Pmt9312_0298_307	PMT9312_0298	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0299_308	PMT9312_0299	cytochrome b559, alpha subunit
lcl|CP000111.1_cds_Pmt9312_0300_309	PMT9312_0300	cytochrome b559, beta subunit
lcl|CP000111.1_cds_Pmt9312_0301_310	PMT9312_0301	photosystem II PsbL protein
lcl|CP000111.1_cds_Pmt9312_0302_311	PMT9312_0302	photosytem II PsbJ protein
lcl|CP000111.1_cds_Pmt9312_0303_312	PMT9312_0303	methylthioadenosine phosphorylase
lcl|CP000111.1_cds_Pmt9312_0304_313	PMT9312_0304	selenide, water dikinase
lcl|CP000111.1_cds_Pmt9312_0305_314	PMT9312_0305	tRNA nucleotidyltransferase/poly(A) polymerase
lcl|CP000111.1_cds_Pmt9312_0306_315	PMT9312_0306	ATP-dependent DNA helicase, Rep family
lcl|CP000111.1_cds_ABS83094.1_316	PMT9312_1818	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0307_317	PMT9312_0307	phycobilisome protein
lcl|CP000111.1_cds_Pmt9312_0308_318	PMT9312_0308	phycoerythrin linker protein CpeS-like protein
lcl|CP000111.1_cds_Pmt9312_0309_319	PMT9312_0309	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0310_320	PMT9312_0310	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0311_321	PMT9312_0311	pollen allergen-like protein
lcl|CP000111.1_cds_Pmt9312_0312_322	PMT9312_0312	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0313_323	PMT9312_0313	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0314_324	PMT9312_0314	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0315_325	PMT9312_0315	carbamoyltransferase
lcl|CP000111.1_cds_Pmt9312_0316_326	PMT9312_0316	carbohydrate kinase, FGGY family
lcl|CP000111.1_cds_Pmt9312_0317_327	PMT9312_0317	methionine adenosyltransferase
lcl|CP000111.1_cds_Pmt9312_0318_328	PMT9312_0318	SSU ribosomal protein S1P
lcl|CP000111.1_cds_Pmt9312_0319_329	PMT9312_0319	Protein of unknown function DUF193
lcl|CP000111.1_cds_Pmt9312_0320_330	PMT9312_0320	photosystem II PsbT protein
lcl|CP000111.1_cds_Pmt9312_0321_331	PMT9312_0321	photosystem II PsbB protein (CP47)
lcl|CP000111.1_cds_Pmt9312_0322_332	PMT9312_0322	ferredoxin-like protein
lcl|CP000111.1_cds_Pmt9312_0323_333	PMT9312_0323	photosystem II reaction center M protein (PsbM)-like protein
lcl|CP000111.1_cds_Pmt9312_0324_334	PMT9312_0324	modification methylase, HemK family
lcl|CP000111.1_cds_Pmt9312_0325_335	PMT9312_0325	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0326_336	PMT9312_0326	cell division topological specificity factor MinE
lcl|CP000111.1_cds_Pmt9312_0327_337	PMT9312_0327	septum site-determining protein MinD
lcl|CP000111.1_cds_Pmt9312_0328_338	PMT9312_0328	septum site-determining protein MinC
lcl|CP000111.1_cds_Pmt9312_0329_339	PMT9312_0329	metal dependent phosphohydrolase
lcl|CP000111.1_cds_Pmt9312_0330_340	PMT9312_0330	C-terminal processing peptidase-2, Serine peptidase, MEROPS family S41A
lcl|CP000111.1_cds_Pmt9312_0331_341	PMT9312_0331	cytochrome b6
lcl|CP000111.1_cds_Pmt9312_0332_342	PMT9312_0332	petD protein (subunit IV of the Cytochrome b6f complex)
lcl|CP000111.1_cds_Pmt9312_0333_343	PMT9312_0333	putative neutral invertase-like protein
lcl|CP000111.1_cds_Pmt9312_0334_344	PMT9312_0334	DNA-(apurinic or apyrimidinic site) lyase / Formamidopyrimidine-DNA glycosylase
lcl|CP000111.1_cds_Pmt9312_0335_345	PMT9312_0335	photosystem I PsaE protein (subunit IV)
lcl|CP000111.1_cds_Pmt9312_0336_346	PMT9312_0336	Peptidoglycan-binding LysM
lcl|CP000111.1_cds_Pmt9312_0337_347	PMT9312_0337	putative aldehyde dehydrogenase
lcl|CP000111.1_cds_Pmt9312_0338_348	PMT9312_0338	GCN5-related N-acetyltransferase
lcl|CP000111.1_cds_Pmt9312_0339_349	PMT9312_0339	conserved hypothetical protein
lcl|CP000111.1_cds_ABS83095.1_350	PMT9312_1819	Conserved hypothetical protein
lcl|CP000111.1_cds_ABS83096.1_351	PMT9312_1820	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0340_352	PMT9312_0340	NADH-plastoquinone oxidoreductase chain 5-like protein
lcl|CP000111.1_cds_Pmt9312_0341_353	PMT9312_0341	plastoquinol oxidase immutans
lcl|CP000111.1_cds_ABS83097.1_354	PMT9312_1821	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0342_355	PMT9312_0342	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0343_356	PMT9312_0343	conserved hypothetical protein
lcl|CP000111.1_cds_ABS83098.1_357	PMT9312_1822	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0344_358	PMT9312_0344	conserved hypothetical protein
lcl|CP000111.1_cds_ABS83099.1_359	PMT9312_1823	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0345_360	PMT9312_0345	phytoene dehydrogenase
lcl|CP000111.1_cds_ABS83100.1_361	PMT9312_1824	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0346_362	PMT9312_0346	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0347_363	PMT9312_0347	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0348_364	PMT9312_0348	helper component proteinase-like protein
lcl|CP000111.1_cds_Pmt9312_0349_365	PMT9312_0349	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0350_366	PMT9312_0350	twin-arginine translocation protein, TatA/E family
lcl|CP000111.1_cds_Pmt9312_0351_367	PMT9312_0351	protein family PM-16
lcl|CP000111.1_cds_Pmt9312_0352_368	PMT9312_0352	influenza non-structural protein (NS2)-like protein
lcl|CP000111.1_cds_ABS83101.1_369	PMT9312_1825	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0353_370	PMT9312_0353	putative bacterioferritin comigratory protein
lcl|CP000111.1_cds_Pmt9312_0354_371	PMT9312_0354	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0355_372	PMT9312_0355	conserved hypothetical protein
lcl|CP000111.1_cds_ABS83102.1_373	PMT9312_1826	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0356_374	PMT9312_0356	spectrin repeat protein-like protein
lcl|CP000111.1_cds_Pmt9312_0357_375	PMT9312_0357	class I peptide chain release factor
lcl|CP000111.1_cds_Pmt9312_0358_376	PMT9312_0358	TIR domain-like protein
lcl|CP000111.1_cds_ABS83103.1_377	PMT9312_1827	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0359_378	PMT9312_0359	abortive infection protein
lcl|CP000111.1_cds_ABS83104.1_379	PMT9312_1828	Conserved hypothetical protein
lcl|CP000111.1_cds_ABS83105.1_380	PMT9312_1829	Conserved hypothetical protein
lcl|CP000111.1_cds_ABS83106.1_381	PMT9312_1830	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0360_382	PMT9312_0360	prolyl aminopeptidase, Serine peptidase, MEROPS family S33
lcl|CP000111.1_cds_ABS83107.1_383	PMT9312_1831	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0361_384	PMT9312_0361	putative transcriptional activator, TenA family
lcl|CP000111.1_cds_Pmt9312_0362_385	PMT9312_0362	Phosphomethylpyrimidine kinase
lcl|CP000111.1_cds_Pmt9312_0363_386	PMT9312_0363	conserved hypothetical protein
lcl|CP000111.1_cds_ABS83108.1_387	PMT9312_1832	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0364_388	PMT9312_0364	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0365_389	PMT9312_0365	phosphoenolpyruvate carboxykinase-like protein
lcl|CP000111.1_cds_ABS83109.1_390	PMT9312_1833	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0366_391	PMT9312_0366	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0367_392	PMT9312_0367	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0368_393	PMT9312_0368	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0369_394	PMT9312_0369	hypothetical protein
lcl|CP000111.1_cds_ABS83110.1_395	PMT9312_1834	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0370_396	PMT9312_0370	putative periplasmic protein
lcl|CP000111.1_cds_Pmt9312_0371_397	PMT9312_0371	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0372_398	PMT9312_0372	T/G mismatch-specific endonuclease
lcl|CP000111.1_cds_Pmt9312_0373_399	PMT9312_0373	endonuclease
lcl|CP000111.1_cds_Pmt9312_0374_400	PMT9312_0374	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0375_401	PMT9312_0375	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0376_402	PMT9312_0376	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0377_403	PMT9312_0377	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0378_404	PMT9312_0378	DNA-cytosine methyltransferase
lcl|CP000111.1_cds_Pmt9312_0379_405	PMT9312_0379	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0380_406	PMT9312_0380	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0381_407	PMT9312_0381	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0382_408	PMT9312_0382	putative site-specific integrase/recombinase
lcl|CP000111.1_cds_Pmt9312_0383_409	PMT9312_0383	3-dehydroquinate dehydratase
lcl|CP000111.1_cds_Pmt9312_0384_410	PMT9312_0384	putative tRNA-(MS(2)IO(6)A)-hydroxylase
lcl|CP000111.1_cds_Pmt9312_0385_411	PMT9312_0385	cobalt-factor II C20-methyltransferase
lcl|CP000111.1_cds_Pmt9312_0386_412	PMT9312_0386	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0387_413	PMT9312_0387	Small GTP-binding protein domain
lcl|CP000111.1_cds_Pmt9312_0388_414	PMT9312_0388	cobalt transport protein-like protein
lcl|CP000111.1_cds_Pmt9312_0389_415	PMT9312_0389	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0390_416	PMT9312_0390	Protein of unknown function UPF0001
lcl|CP000111.1_cds_Pmt9312_0391_417	PMT9312_0391	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0392_418	PMT9312_0392	pyrroline-5-carboxylate reductase
lcl|CP000111.1_cds_Pmt9312_0393_419	PMT9312_0393	glycosyl transferase, group 1-like protein
lcl|CP000111.1_cds_Pmt9312_0394_420	PMT9312_0394	DNA replication and repair protein RecO
lcl|CP000111.1_cds_Pmt9312_0395_421	PMT9312_0395	putative deoxyribose-phosphate aldolase
lcl|CP000111.1_cds_Pmt9312_0396_422	PMT9312_0396	SSU ribosomal protein S30P / sigma 54 modulation protein
lcl|CP000111.1_cds_Pmt9312_0397_423	PMT9312_0397	lipoate-protein ligase B
lcl|CP000111.1_cds_Pmt9312_0398_424	PMT9312_0398	putative long-chain-fatty-acid--CoA ligase
lcl|CP000111.1_cds_Pmt9312_0399_425	PMT9312_0399	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0400_426	PMT9312_0400	dihydrolipoamide acetyltransferase component (E2)
lcl|CP000111.1_cds_Pmt9312_0401_427	PMT9312_0401	queuosine biosynthesis protein
lcl|CP000111.1_cds_Pmt9312_0402_428	PMT9312_0402	cysteine synthase
lcl|CP000111.1_cds_Pmt9312_0403_429	PMT9312_0403	cystathionine gamma-synthase
lcl|CP000111.1_cds_Pmt9312_0404_430	PMT9312_0404	cystathionine gamma-synthase
lcl|CP000111.1_cds_Pmt9312_0405_431	PMT9312_0405	SSU ribosomal protein S4P
lcl|CP000111.1_cds_Pmt9312_0406_432	PMT9312_0406	Protein of unknown function DUF37
lcl|CP000111.1_cds_Pmt9312_0407_433	PMT9312_0407	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0408_434	PMT9312_0408	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase
lcl|CP000111.1_cds_Pmt9312_0409_435	PMT9312_0409	putative short chain dehydrogenase
lcl|CP000111.1_cds_Pmt9312_0410_436	PMT9312_0410	putative L-cysteine/cystine lyase
lcl|CP000111.1_cds_Pmt9312_0411_437	PMT9312_0411	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0412_438	PMT9312_0412	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0413_439	PMT9312_0413	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0414_440	PMT9312_0414	NifU-like protein
lcl|CP000111.1_cds_Pmt9312_0415_441	PMT9312_0415	Malate dehydrogenase (acceptor)
lcl|CP000111.1_cds_Pmt9312_0416_442	PMT9312_0416	GTP-binding protein LepA
lcl|CP000111.1_cds_Pmt9312_0417_443	PMT9312_0417	putative ABC transporter, oligopeptides
lcl|CP000111.1_cds_Pmt9312_0418_444	PMT9312_0418	tRNA (guanosine-2'-O-)-methyltransferase
lcl|CP000111.1_cds_Pmt9312_0419_445	PMT9312_0419	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0420_446	PMT9312_0420	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0421_447	PMT9312_0421	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0422_448	PMT9312_0422	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0423_449	PMT9312_0423	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0424_450	PMT9312_0424	protein family PM-15
lcl|CP000111.1_cds_Pmt9312_0425_451	PMT9312_0425	sun protein
lcl|CP000111.1_cds_Pmt9312_0426_452	PMT9312_0426	putative penicillin binding protein
lcl|CP000111.1_cds_Pmt9312_0427_453	PMT9312_0427	chlorophyll synthase
lcl|CP000111.1_cds_Pmt9312_0428_454	PMT9312_0428	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0429_455	PMT9312_0429	imidazole glycerol phosphate synthase subunit hisF
lcl|CP000111.1_cds_Pmt9312_0430_456	PMT9312_0430	demethylmenaquinone methyltransferase
lcl|CP000111.1_cds_Pmt9312_0431_457	PMT9312_0431	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0432_458	PMT9312_0432	Biotin--acetyl-CoA-carboxylase ligase
lcl|CP000111.1_cds_Pmt9312_0433_459	PMT9312_0433	ATPase
lcl|CP000111.1_cds_Pmt9312_0434_460	PMT9312_0434	NADH dehydrogenase subunit N
lcl|CP000111.1_cds_Pmt9312_0435_461	PMT9312_0435	DNA topoisomerase I
lcl|CP000111.1_cds_Pmt9312_0436_462	PMT9312_0436	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0437_463	PMT9312_0437	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0438_464	PMT9312_0438	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0439_465	PMT9312_0439	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0440_466	PMT9312_0440	aldo/keto reductase family
lcl|CP000111.1_cds_Pmt9312_0441_467	PMT9312_0441	riboflavin synthase, alpha subunit
lcl|CP000111.1_cds_Pmt9312_0442_468	PMT9312_0442	Transcriptional regulator AbrB
lcl|CP000111.1_cds_Pmt9312_0443_469	PMT9312_0443	cytochrome c oxidase, subunit III
lcl|CP000111.1_cds_Pmt9312_0444_470	PMT9312_0444	Cytochrome-c oxidase
lcl|CP000111.1_cds_Pmt9312_0445_471	PMT9312_0445	putative cytochrome c oxidase, subunit 2
lcl|CP000111.1_cds_Pmt9312_0446_472	PMT9312_0446	cytochrome c oxidase subunit XV assembly protein
lcl|CP000111.1_cds_Pmt9312_0447_473	PMT9312_0447	protoheme IX farnesyltransferase
lcl|CP000111.1_cds_Pmt9312_0448_474	PMT9312_0448	ATPase
lcl|CP000111.1_cds_Pmt9312_0449_475	PMT9312_0449	putative multidrug efflux ABC transporter
lcl|CP000111.1_cds_Pmt9312_0450_476	PMT9312_0450	arenavirus glycoprotein-like protein
lcl|CP000111.1_cds_Pmt9312_0451_477	PMT9312_0451	Chaperonin Cpn60/TCP-1
lcl|CP000111.1_cds_Pmt9312_0452_478	PMT9312_0452	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0453_479	PMT9312_0453	3-oxoacyl-
lcl|CP000111.1_cds_Pmt9312_0454_480	PMT9312_0454	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
lcl|CP000111.1_cds_Pmt9312_0455_481	PMT9312_0455	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0456_482	PMT9312_0456	4-hydroxybenzoate octaprenyltransferase
lcl|CP000111.1_cds_Pmt9312_0457_483	PMT9312_0457	putative exopolyphosphatase
lcl|CP000111.1_cds_Pmt9312_0458_484	PMT9312_0458	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0459_485	PMT9312_0459	precorrin-4 C11-methyltransferase
lcl|CP000111.1_cds_Pmt9312_0460_486	PMT9312_0460	prolipoprotein diacylglyceryl transferase
lcl|CP000111.1_cds_Pmt9312_0461_487	PMT9312_0461	cytochrome F
lcl|CP000111.1_cds_Pmt9312_0462_488	PMT9312_0462	Twin-arginine translocation pathway signal
lcl|CP000111.1_cds_Pmt9312_0463_489	PMT9312_0463	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0464_490	PMT9312_0464	Sec-independent protein translocase TatC
lcl|CP000111.1_cds_Pmt9312_0465_491	PMT9312_0465	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0466_492	PMT9312_0466	secreted protein MPB70 precursor-like protein
lcl|CP000111.1_cds_Pmt9312_0467_493	PMT9312_0467	guanylate kinase
lcl|CP000111.1_cds_Pmt9312_0468_494	PMT9312_0468	photosystem I PsaJ protein (subunit IX)
lcl|CP000111.1_cds_Pmt9312_0469_495	PMT9312_0469	photosystem I PsaF protein (subunit III)
lcl|CP000111.1_cds_Pmt9312_0470_496	PMT9312_0470	O-sialoglycoprotein endopeptidase
lcl|CP000111.1_cds_Pmt9312_0471_497	PMT9312_0471	high light inducible protein-like protein
lcl|CP000111.1_cds_Pmt9312_0472_498	PMT9312_0472	sodium/proton antiporter, CPA1 family
lcl|CP000111.1_cds_Pmt9312_0473_499	PMT9312_0473	glutamyl-tRNA synthetase
lcl|CP000111.1_cds_Pmt9312_0474_500	PMT9312_0474	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0475_501	PMT9312_0475	LSU ribosomal protein L19P
lcl|CP000111.1_cds_Pmt9312_0476_502	PMT9312_0476	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0477_503	PMT9312_0477	methionine aminopeptidase, type I
lcl|CP000111.1_cds_Pmt9312_0478_504	PMT9312_0478	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0479_505	PMT9312_0479	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0480_506	PMT9312_0480	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0481_507	PMT9312_0481	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0482_508	PMT9312_0482	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0483_509	PMT9312_0483	SPFH domain, Band 7 family protein
lcl|CP000111.1_cds_Pmt9312_0484_510	PMT9312_0484	glutamate-1-semialdehyde 2,1-aminomutase
lcl|CP000111.1_cds_Pmt9312_0485_511	PMT9312_0485	Exodeoxyribonuclease III
lcl|CP000111.1_cds_Pmt9312_0486_512	PMT9312_0486	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0487_513	PMT9312_0487	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0488_514	PMT9312_0488	Protein of unknown function DUF111
lcl|CP000111.1_cds_Pmt9312_0489_515	PMT9312_0489	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0490_516	PMT9312_0490	putative iron ABC transporter
lcl|CP000111.1_cds_Pmt9312_0491_517	PMT9312_0491	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0492_518	PMT9312_0492	pterin-4-alpha-carbinolamine dehydratase
lcl|CP000111.1_cds_Pmt9312_0493_519	PMT9312_0493	Protein of unknown function UPF0047
lcl|CP000111.1_cds_Pmt9312_0494_520	PMT9312_0494	Thermostable carboxypeptidase 1
lcl|CP000111.1_cds_Pmt9312_0495_521	PMT9312_0495	Inorganic diphosphatase
lcl|CP000111.1_cds_Pmt9312_0496_522	PMT9312_0496	hydroxymethylbilane synthase
lcl|CP000111.1_cds_Pmt9312_0497_523	PMT9312_0497	Sigma-70 factor
lcl|CP000111.1_cds_Pmt9312_0498_524	PMT9312_0498	replication restart DNA helicase PriA
lcl|CP000111.1_cds_Pmt9312_0499_525	PMT9312_0499	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0500_526	PMT9312_0500	N-acetylglutamate kinase
lcl|CP000111.1_cds_Pmt9312_0501_527	PMT9312_0501	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0502_528	PMT9312_0502	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0503_529	PMT9312_0503	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0504_530	PMT9312_0504	precorrin-6X reductase-like protein
lcl|CP000111.1_cds_Pmt9312_0505_531	PMT9312_0505	cutA1 divalent ion tolerance protein
lcl|CP000111.1_cds_Pmt9312_0506_532	PMT9312_0506	carbohydrate kinase-like protein
lcl|CP000111.1_cds_Pmt9312_0507_533	PMT9312_0507	Adenylosuccinate synthetase
lcl|CP000111.1_cds_Pmt9312_0508_534	PMT9312_0508	photosystem II reaction center Psb27 protein-like protein
lcl|CP000111.1_cds_Pmt9312_0509_535	PMT9312_0509	prolyl-tRNA synthetase
lcl|CP000111.1_cds_Pmt9312_0510_536	PMT9312_0510	helix-turn-helix domain of resolvase-like protein
lcl|CP000111.1_cds_Pmt9312_0511_537	PMT9312_0511	reverse transcriptase (RNA-dependent)-like protein
lcl|CP000111.1_cds_Pmt9312_0512_538	PMT9312_0512	Inorganic diphosphatase
lcl|CP000111.1_cds_Pmt9312_0513_539	PMT9312_0513	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0514_540	PMT9312_0514	signal peptidase I, Serine peptidase, MEROPS family S26A
lcl|CP000111.1_cds_Pmt9312_0515_541	PMT9312_0515	alpha-ribazole-5'-P phosphatase-like protein
lcl|CP000111.1_cds_Pmt9312_0516_542	PMT9312_0516	membrane associated protease-like protein
lcl|CP000111.1_cds_Pmt9312_0517_543	PMT9312_0517	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0518_544	PMT9312_0518	Peptidoglycan glycosyltransferase
lcl|CP000111.1_cds_Pmt9312_0519_545	PMT9312_0519	transaldolase
lcl|CP000111.1_cds_Pmt9312_0520_546	PMT9312_0520	NAD binding site
lcl|CP000111.1_cds_Pmt9312_0521_547	PMT9312_0521	ribosome recycling factor
lcl|CP000111.1_cds_Pmt9312_0522_548	PMT9312_0522	uridylate kinase
lcl|CP000111.1_cds_Pmt9312_0523_549	PMT9312_0523	cob(I)yrinic acid a,c-diamide adenosyltransferase
lcl|CP000111.1_cds_Pmt9312_0524_550	PMT9312_0524	phage integrase family
lcl|CP000111.1_cds_Pmt9312_0525_551	PMT9312_0525	ferrochelatase
lcl|CP000111.1_cds_Pmt9312_0526_552	PMT9312_0526	acetolactate synthase, large subunit
lcl|CP000111.1_cds_Pmt9312_0527_553	PMT9312_0527	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0528_554	PMT9312_0528	Protein of unknown function DUF152
lcl|CP000111.1_cds_Pmt9312_0529_555	PMT9312_0529	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0530_556	PMT9312_0530	SSU ribosomal protein S1P
lcl|CP000111.1_cds_Pmt9312_0531_557	PMT9312_0531	creatininase
lcl|CP000111.1_cds_Pmt9312_0532_558	PMT9312_0532	fatty aldehyde decarbonylase
lcl|CP000111.1_cds_Pmt9312_0533_559	PMT9312_0533	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0534_560	PMT9312_0534	acetyl-CoA carboxylase carboxyltransferase subunit alpha
lcl|CP000111.1_cds_Pmt9312_0535_561	PMT9312_0535	putative short-chain dehydrogenase
lcl|CP000111.1_cds_Pmt9312_0536_562	PMT9312_0536	GTP cyclohydrolase I
lcl|CP000111.1_cds_Pmt9312_0537_563	PMT9312_0537	phosphoribosylanthranilate isomerase
lcl|CP000111.1_cds_Pmt9312_0538_564	PMT9312_0538	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0539_565	PMT9312_0539	biotin/lipoate A/B protein ligase family
lcl|CP000111.1_cds_Pmt9312_0540_566	PMT9312_0540	photosystem I reaction center subunit XII (PsaM)-like protein
lcl|CP000111.1_cds_Pmt9312_0541_567	PMT9312_0541	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0542_568	PMT9312_0542	NADPH-protochlorophyllide oxidoreductase
lcl|CP000111.1_cds_Pmt9312_0543_569	PMT9312_0543	light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein
lcl|CP000111.1_cds_Pmt9312_0544_570	PMT9312_0544	light-independent protochlorophyllide reductase, B subunit
