ID,organism,eggnog_predicted_gene_name,eggnog_predicted_gene_description,eggnog_predicted_COG,KEGG_predicted_gene_name,KEGG_predicted_KEGG_identifier,day2_LFC,day2_pvalue,day2_padj,day4_LFC,day4_pvalue,day4_padj,day5_LFC,day5_pvalue,day5_padj
1_1572_MED4_genome,MED4,ycf84,Alternative locus ID,S,lptG; lipopolysaccharide export system permease protein,K11720,0.696396954,0.184649333,0.621338653,0.015983074,0.933323412,1,-0.014662443,0.912565346,1
1_1573_MED4_genome,MED4,,Alternative locus ID,S,,,0.868275121,0.74357085,0.860961963,0.348300415,0.340101026,1,0.017002309,0.975386048,1
1_1574_MED4_genome,MED4,,Alternative locus ID,S,,,-0.306754107,0.445688827,0.705498808,0.154265196,0.710966474,1,0.242027259,0.198032137,1
1_1575_MED4_genome,MED4,,Alternative locus ID,O,,,0.550726048,0.268623506,0.639555235,0.290056049,0.512380205,1,0.272358015,0.133269538,1
1_1576_MED4_genome,MED4,,None,None,,,-0.603916098,0.232008906,0.629961848,0.072444521,0.693039075,1,0.104068362,0.520334588,1
1_1577_MED4_genome,MED4,,Alternative locus ID,S,,,1.139763676,0.094606644,0.621338653,-0.355197186,0.372514981,1,-0.15775615,0.606358214,1
1_1578_MED4_genome,MED4,,None,None,,,-0.438423842,0.599260827,0.7807538,0.343307184,0.382271769,1,0.657242489,0.248259968,1
1_1579_MED4_genome,MED4,,Heat-labile enterotoxin alpha chain,S,,,1.621196985,0.543088189,0.7528975,0.416612217,0.26921904,1,0.02342595,0.935693993,1
1_158_MED4_genome,MED4,metF,Alternative locus ID,C,"metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]",K00297,-0.44738246,0.291794314,0.643772727,-0.067988074,0.764402132,1,-0.025197071,0.86965753,1
1_1580_MED4_genome,MED4,,Alternative locus ID,S,,,-0.313783697,0.523683423,0.748318637,-0.378437643,0.437785532,1,0.23016739,0.57161136,1
1_1581_MED4_genome,MED4,,,,,,1.876691819,0.481493879,0.730025632,0.222106754,0.615608727,1,-0.006678841,0.986741289,1
1_1582_MED4_genome,MED4,,,,,,2.135146786,0.413970581,0.69286751,0.096770367,0.856770309,1,0.191199726,0.614210511,1
1_1583_MED4_genome,MED4,,,,,,-0.797409088,0.06136396,0.621338653,0.361137401,0.170519424,1,0.215980983,0.534108151,1
1_1584_MED4_genome,MED4,,Protein of unknown function (DUF1651),S,,,0.112780851,0.905643,0.949578214,0.419310871,0.145278512,1,0.081482194,0.719258128,1
1_1585_MED4_genome,MED4,,None,None,,,0.978989657,0.163630771,0.621338653,0.38787184,0.234844679,1,0.348685955,0.435573788,1
1_1586_MED4_genome,MED4,,None,None,,,0.850811812,0.142644698,0.621338653,-0.120951818,0.725154195,1,0.123895872,0.434177829,1
1_1587_MED4_genome,MED4,,None,None,,,4.870279588,0.288473957,0.641636386,-1.37401479,0.724765966,1,0.125427742,0.96431934,1
1_1588_MED4_genome,MED4,,High light inducible,S,,,0,1,1,0,1,1,0,1,1
1_1589_MED4_genome,MED4,,Alternative locus ID,S,,,0,1,1,0,1,1,0,1,1
1_159_MED4_genome,MED4,csgD,luxR family,K,,,-1.150675269,0.04165703,0.621338653,-0.02121932,0.953521722,1,-0.230003426,0.159442842,1
1_1590_MED4_genome,MED4,hli7,Alternative locus ID,S,,,0,1,1,0,1,1,0,1,1
1_1591_MED4_genome,MED4,,Alternative locus ID,S,,,1.981613755,0.582405457,0.779204331,-0.583752894,0.873886299,1,14.42923319,0.280705484,1
1_1592_MED4_genome,MED4,,,,,,0.585268816,0.809722534,0.895064232,0.456575635,0.479359228,1,-0.577153967,0.075596174,1
1_1593_MED4_genome,MED4,,,,,,0.718871249,0.766217707,0.875547645,0.540178846,0.445460101,1,-0.872810289,0.108885362,1
1_1594_MED4_genome,MED4,,Alternative locus ID,O,,,0.02985412,0.94515533,0.971451786,-0.285550926,0.148980972,1,0.123130674,0.459464139,1
1_1595_MED4_genome,MED4,,Alternative locus ID,S,,,-1.329548556,0.052134139,0.621338653,-0.319764138,0.328346356,1,-0.187307195,0.25638022,1
1_1596_MED4_genome,MED4,,,,,,0.411148255,0.353153579,0.669518581,-0.378858146,0.306802654,1,-0.090876298,0.597270999,1
1_1597_MED4_genome,MED4,,None,None,,,-1.623098189,0.009572886,0.621338653,0.444590765,0.203466036,1,-0.214562039,0.515243504,1
1_1598_MED4_genome,MED4,,None,None,,,-0.13274756,0.958603765,0.979789488,0.965839282,0.610405659,1,-0.11117836,0.797461277,1
1_1599_MED4_genome,MED4,,Alternative locus ID,S,,,1.043730385,0.690970084,0.831154372,-0.089127155,0.860194894,1,0.17951609,0.688028021,1
1_16_MED4_genome,MED4,grpE,"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ",O,GRPE; molecular chaperone GrpE,K03687,-0.683957007,0.147238163,0.621338653,0.088286228,0.691956346,1,-0.105896668,0.410891217,1
1_160_MED4_genome,MED4,,Alternative locus ID,S,,,-0.509467634,0.482870013,0.730025632,0.437456432,0.149894507,1,0.321805511,0.142140635,1
1_1600_MED4_genome,MED4,,HNH endonuclease HNH nuclease,L,,,0.550500019,0.821068427,0.900783809,0.116053618,0.879316083,1,-0.06636607,0.856979304,1
1_1601_MED4_genome,MED4,,None,None,,,-0.345215798,0.386584874,0.679441484,-0.567520052,0.161428391,1,-0.150051918,0.723143506,1
1_1602_MED4_genome,MED4,,,,,,0.521744149,0.705838232,0.838175493,-0.001388142,0.995835795,1,-0.150354799,0.600576645,1
1_1603_MED4_genome,MED4,,Alternative locus ID,S,,,0.319121271,0.344893334,0.668557108,-0.487863815,0.049530908,1,0.211111827,0.187987014,1
1_1604_MED4_genome,MED4,,,,,,0.266385628,0.340728288,0.665181953,-0.788354153,0.060478998,1,0.200661428,0.572495148,1
1_1605_MED4_genome,MED4,,Alternative locus ID,S,,,0.17469842,0.553528668,0.759466642,-0.693488001,0.148246365,1,0.307322761,0.522506887,1
1_1606_MED4_genome,MED4,,Alternative locus ID,S,,,0.568097165,0.264323181,0.635966912,-0.620816691,0.087255721,1,0.142535251,0.274404238,1
1_1607_MED4_genome,MED4,,None,None,,,1.315462086,0.599967309,0.7807538,0.083500685,0.906107774,1,0.296223009,0.422616424,1
1_1608_MED4_genome,MED4,,Alternative locus ID,S,,,0.629331967,0.814248368,0.896686978,0.423555875,0.135260536,1,-0.069373567,0.700780459,1
1_1609_MED4_genome,MED4,,None,None,,,-0.458292792,0.300476299,0.647374634,0.257600322,0.278621248,1,-0.142341493,0.592223088,1
1_161_MED4_genome,MED4,,Alternative locus ID,S,,,0.479379295,0.358865039,0.672280536,0.425268279,0.293321525,1,-0.007938985,0.96596516,1
1_1610_MED4_genome,MED4,,None,None,,,-1.682792001,0.049586379,0.621338653,-0.175357706,0.642447417,1,-0.192505019,0.529501397,1
1_1611_MED4_genome,MED4,,None,None,,,0.577513016,0.597444863,0.780633523,-0.052837465,0.774627278,1,-0.100093496,0.711134493,1
1_1612_MED4_genome,MED4,,,,,,1.313898191,0.111535964,0.621338653,-0.005756486,0.985798868,1,-0.009268779,0.979041638,1
1_1613_MED4_genome,MED4,,Alternative locus ID,S,,,-1.145363964,0.047448187,0.621338653,0.585995775,0.079011668,1,-0.616682094,0.097815197,1
1_1614_MED4_genome,MED4,,Alternative locus ID,S,,,-0.44758087,0.262449553,0.635966912,-0.458867745,0.291281407,1,0.178051223,0.319408875,1
1_1615_MED4_genome,MED4,,rhamnose metabolic process,S,,,0.704177179,0.250949739,0.629961848,-0.293551147,0.451886837,1,0.272879739,0.180503713,1
1_1616_MED4_genome,MED4,,Protein of unknown function (DUF3303),S,,,-0.088344788,0.807908828,0.895036251,-0.440635544,0.077753302,1,0.310940409,0.265361498,1
1_1617_MED4_genome,MED4,,carboxymethylenebutenolidase activity,Q,,,0.936828983,0.134320738,0.621338653,-0.037284302,0.910269212,1,0.055075173,0.801507553,1
1_1618_MED4_genome,MED4,,calcium- and calmodulin-responsive adenylate cyclase activity,Q,,,0.966990916,0.116303085,0.621338653,-0.45531985,0.266562616,1,0.423340648,0.378935329,1
1_1619_MED4_genome,MED4,,Alternative locus ID,L,,,1.099606212,0.043293413,0.621338653,0.084830884,0.734070876,1,-0.164552296,0.3775804,1
1_162_MED4_genome,MED4,nadK2,"Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP",F,"ppnK, NADK; NAD+ kinase [EC:2.7.1.23]",K00858,-0.059830621,0.931240733,0.96333519,0.158886058,0.66895654,1,-0.220456355,0.496875544,1
1_1620_MED4_genome,MED4,,"Type VI secretion system VasI, EvfG, VC_A0118",S,,,1.384429127,0.571106582,0.770955574,0.643567802,0.215303561,1,0.113324462,0.713628467,1
1_1621_MED4_genome,MED4,,None,None,,,0.289287192,0.296567377,0.647374634,-0.286614255,0.304010047,1,0.535924439,0.296507133,1
1_1622_MED4_genome,MED4,,None,None,,,0.265920022,0.348727943,0.669518581,-0.523434449,0.231427989,1,0.40924696,0.419908192,1
1_1623_MED4_genome,MED4,,Alternative locus ID,S,,,0.958313954,0.160668747,0.621338653,-0.142256649,0.738223815,1,-0.034213816,0.814658131,1
1_1624_MED4_genome,MED4,,Alternative locus ID,S,,,0.146400656,0.779146345,0.883032524,-0.146836741,0.514086519,1,0.162853288,0.471260154,1
1_1625_MED4_genome,MED4,,Alternative locus ID,S,,,0.369301882,0.20476361,0.622126319,-0.041436438,0.818512954,1,0.111402844,0.671210258,1
1_1626_MED4_genome,MED4,,Glutaredoxin,O,,,1.634076669,0.542388398,0.7528975,0.006364,0.987255978,1,0.535013846,0.107345395,1
1_1627_MED4_genome,MED4,,None,None,,,1.090344682,0.279154886,0.639652889,0.008058314,0.978618584,1,0.33973773,0.247870095,1
1_1628_MED4_genome,MED4,,,,,,-0.044412895,0.928858692,0.962550432,0.603487111,0.117444586,1,-0.197307666,0.59134139,1
1_1629_MED4_genome,MED4,,,,,,1.331068844,0.617661462,0.789439567,0.039858774,0.907622741,1,0.487842488,0.122087473,1
1_163_MED4_genome,MED4,ndhE,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon- concentration",C,ndhE; NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2],K05576,0.539908719,0.330383805,0.657825033,0.267075592,0.303193164,1,0.039542353,0.82083787,1
1_1630_MED4_genome,MED4,,Alternative locus ID,O,,,0.34374281,0.508268146,0.74294344,0.173972027,0.435433338,1,-0.122924799,0.359821126,1
1_1631_MED4_genome,MED4,,,,,,0.091980015,0.810012295,0.895064232,-0.015967963,0.96556384,1,0.137833846,0.482923262,1
1_1632_MED4_genome,MED4,,Alternative locus ID,S,,,-0.497886871,0.19654091,0.621338653,0.189402243,0.523921468,1,0.265028516,0.158833536,1
1_1633_MED4_genome,MED4,,Alternative locus ID,S,,,0.96510122,0.095009555,0.621338653,-0.148767065,0.703799,1,0.052729369,0.760362547,1
1_1634_MED4_genome,MED4,,Alternative locus ID,S,,,-0.985538694,0.15852028,0.621338653,-0.720245406,0.119121322,1,-0.179992589,0.463023539,1
1_1635_MED4_genome,MED4,rpoZ,Promotes RNA polymerase assembly. Latches the N- and C- terminal regions of the beta' subunit thereby facilitating its interaction with the beta and alpha subunits,K,rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6],K03060,-1.346151656,0.093014913,0.621338653,-0.638854028,0.195446237,1,-0.277698246,0.310934621,1
1_1636_MED4_genome,MED4,,Belongs to the heat shock protein 70 family,O,,,0.642878868,0.346891029,0.669518581,0.184111286,0.616992621,1,0.025947908,0.897480021,1
1_1637_MED4_genome,MED4,pyrR,Also displays a weak uracil phosphoribosyltransferase activity which is not physiologically significant,F,pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9],K02825,-0.236469197,0.517466424,0.747408271,0.072610941,0.725767701,1,-0.052643581,0.73508028,1
1_1638_MED4_genome,MED4,gpmI,Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate,G,"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",K15633,-0.426439515,0.173823441,0.621338653,0.20539706,0.293542053,1,-0.170162119,0.214805921,1
1_1639_MED4_genome,MED4,secG,Alternative locus ID,U,secG; preprotein translocase subunit SecG,K03075,-1.830958981,0.015832024,0.621338653,0.162307705,0.601995953,1,0.203719573,0.442081849,1
1_164_MED4_genome,MED4,ndhG,Belongs to the complex I subunit 6 family,C,ndhG; NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2],K05578,0.164106445,0.582405525,0.779204331,0.133814696,0.553862355,1,-0.059348269,0.696693564,1
1_1640_MED4_genome,MED4,groEL,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,O,"groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]",K04077,-1.843312074,0.130755857,0.621338653,-1.379348067,0.139542017,1,0.215275218,0.604374982,1
1_1641_MED4_genome,MED4,groS,Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter,O,"groES, HSPE1; chaperonin GroES",K04078,-1.820550311,0.138476956,0.621338653,-1.499711198,0.155778823,1,0.163079181,0.739735268,1
1_1642_MED4_genome,MED4,atpD,Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits,F,"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]",K02112,-0.692496666,0.208255986,0.622126319,-0.776771438,0.194950811,1,0.053179864,0.883516939,1
1_1643_MED4_genome,MED4,atpC,Produces ATP from ADP in the presence of a proton gradient across the membrane,C,"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon",K02114,0.031518558,0.939415834,0.968142606,-1.030655621,0.13143278,1,0.009375012,0.976006256,1
1_1644_MED4_genome,MED4,ycf65,Probably a ribosomal protein or a ribosome-associated protein,J,PSRP3; 30S ribosomal protein 3,K19032,-1.280409026,0.077341946,0.621338653,-0.713247077,0.210346302,1,0.214799247,0.631020293,1
1_1645_MED4_genome,MED4,,Alternative locus ID,S,,,0.651084118,0.276627138,0.639652889,-0.396790404,0.308939975,1,-0.152263266,0.617064929,1
1_1646_MED4_genome,MED4,pepP,Belongs to the peptidase M24B family,E,pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9],K01262,0.283497488,0.440695843,0.704336247,0.116644878,0.594988398,1,0.091285315,0.438570961,1
1_1647_MED4_genome,MED4,,Alternative locus ID,S,"tlyC; magnesium and cobalt exporter, CNNM family",K03699,0.062378565,0.885940692,0.93664946,0.127651379,0.482348639,1,-0.034991794,0.835988609,1
1_1648_MED4_genome,MED4,,Alternative locus ID,S,"era, ERAL1; GTPase",K03595,-0.866196944,0.124077095,0.621338653,0.088366201,0.80027389,1,-0.098221436,0.459080523,1
1_1649_MED4_genome,MED4,nadD,Alternative locus ID,H,nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18],K00969,1.200053507,0.246104312,0.629961848,0.051007718,0.883728198,1,-0.006079471,0.971324978,1
1_165_MED4_genome,MED4,ndhI,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient",C,ndhI; NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2],K05580,-0.557308827,0.154856765,0.621338653,-0.212672347,0.401472125,1,-0.144533272,0.360643908,1
1_1650_MED4_genome,MED4,nadE,Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source,H,"E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]",K01950,1.169543995,0.250460408,0.629961848,0.244790844,0.43508599,1,0.262209991,0.115431901,1
1_1651_MED4_genome,MED4,,Alternative locus ID,S,,,0.311581278,0.549904217,0.757794835,-0.013725159,0.970591088,1,0.138409274,0.434285483,1
1_1652_MED4_genome,MED4,,Alternative locus ID,S,,,-1.145112157,0.143858725,0.621338653,-0.162742562,0.501689246,1,0.227366455,0.3740606,1
1_1653_MED4_genome,MED4,petF1,Alternative locus ID,C,petF; ferredoxin,K02639,-0.988516246,0.13132098,0.621338653,-0.603097996,0.156931433,1,0.001421478,0.991176833,1
1_1654_MED4_genome,MED4,atpC,Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex,F,"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma",K02115,-0.789822893,0.181986952,0.621338653,-0.64742959,0.25450496,1,-0.121076269,0.453927301,1
1_1655_MED4_genome,MED4,atpA,Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,F,"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]",K02111,-1.120922394,0.114535332,0.621338653,-0.864539297,0.216682951,1,-0.07751788,0.78886432,1
1_1656_MED4_genome,MED4,atpH,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",F,"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta",K02113,-1.989794706,0.079639089,0.621338653,-1.019459133,0.195110738,1,-0.01378037,0.950086056,1
1_1657_MED4_genome,MED4,atpF,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",C,"ATPF0B, atpF; F-type H+-transporting ATPase subunit b",K02109,-1.49586328,0.127771211,0.621338653,-1.375524674,0.148562979,1,0.102252209,0.790904427,1
1_1658_MED4_genome,MED4,atpG,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",C,"ATPF0B, atpF; F-type H+-transporting ATPase subunit b",K02109,-0.808350132,0.291523265,0.643772727,-1.682059766,0.121693969,1,0.09106961,0.816550077,1
1_1659_MED4_genome,MED4,atpE,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",F,"ATPF0C, atpE; F-type H+-transporting ATPase subunit c",K02110,-0.477431197,0.468916588,0.722944434,-1.744181919,0.135712095,1,0.390707121,0.534486668,1
1_166_MED4_genome,MED4,ndhA,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient",C,ndhA; NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2],K05572,0.952389508,0.181719759,0.621338653,-0.002592689,0.992324158,1,0.008382339,0.949483134,1
1_1660_MED4_genome,MED4,atpI,it plays a direct role in the translocation of protons across the membrane,C,"ATPF0A, atpB; F-type H+-transporting ATPase subunit a",K02108,-1.097599131,0.118604742,0.621338653,-0.677247771,0.234869842,1,-0.017707508,0.930783542,1
1_1661_MED4_genome,MED4,atp1,FIG048548 ATP synthase protein I2,S,atpI; ATP synthase protein I,K02116,-0.920991239,0.178805542,0.621338653,-1.159976388,0.144095064,1,-0.189589796,0.482183663,1
1_1662_MED4_genome,MED4,ftsW,Belongs to the SEDS family,D,"ftsW, spoVE; cell division protein FtsW",K03588,0.399554517,0.476195408,0.728061668,0.267422148,0.474200086,1,0.056994557,0.736424872,1
1_1663_MED4_genome,MED4,ccdA,Cytochrome c-type bioproteinsis protein CcdA (DsbD-like),O,ccdA; cytochrome c-type biogenesis protein,K06196,0.312906266,0.283116088,0.641636386,-0.397307906,0.177346923,1,0.156770273,0.430951509,1
1_1664_MED4_genome,MED4,ccs1,Required during biogenesis of c-type cytochromes (cytochrome c6 and cytochrome f) at the step of heme attachment,O,"resB, ccs1; cytochrome c biogenesis protein",K07399,1.446195846,0.190438382,0.621338653,0.231678025,0.573578034,1,0.163684182,0.48130213,1
1_1665_MED4_genome,MED4,queF,Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1),F,queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13],K09457,0.580976036,0.330978049,0.657825033,-0.046509628,0.800971908,1,0.175311492,0.649739848,1
1_1666_MED4_genome,MED4,,Alternative locus ID,S,,,-0.594525394,0.286167245,0.641636386,0.453764043,0.200801958,1,-0.222910942,0.349066724,1
1_1667_MED4_genome,MED4,glnB,Belongs to the P(II) protein family,K,glnB; nitrogen regulatory protein P-II 1,K04751,-1.063657447,0.153551843,0.621338653,0.416579379,0.248635123,1,-0.283169611,0.146524455,1
1_1668_MED4_genome,MED4,tly,Alternative locus ID,J,tlyA; 23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227],K06442,0.433750743,0.450973051,0.706046643,-0.091789907,0.823924426,1,0.049798375,0.819728371,1
1_1669_MED4_genome,MED4,purB,Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily,F,"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]",K01756,-0.079292689,0.791136024,0.890225089,-0.353134157,0.13899572,1,0.270820281,0.119025822,1
1_167_MED4_genome,MED4,gltA,Belongs to the citrate synthase family,C,prpC; 2-methylcitrate synthase [EC:2.3.3.5],K01659,-0.519594699,0.126832092,0.621338653,0.00708796,0.974223342,1,-0.189966485,0.345834966,1
1_1670_MED4_genome,MED4,fumC,Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate,C,"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]",K01679,0.292047082,0.384263291,0.679089037,0.073055259,0.751762216,1,0.057692735,0.634506717,1
1_1671_MED4_genome,MED4,ski2,Alternative locus ID,L,,,0.840877349,0.256631189,0.629961848,0.296089252,0.365566039,1,-0.103915896,0.534350659,1
1_1672_MED4_genome,MED4,bioF,8-amino-7-oxononanoate synthase,E,bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47],K00652,0.793852879,0.186604767,0.621338653,0.279675652,0.498042511,1,0.062677992,0.63143974,1
1_1673_MED4_genome,MED4,,carboxylic ester hydrolase activity,I,bioK; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85],K19560,1.337982991,0.162773206,0.621338653,-0.013510133,0.975640191,1,0.513621607,0.072490366,1
1_1674_MED4_genome,MED4,,Alternative locus ID,S,bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197],K02169,1.167819655,0.251248389,0.629961848,-0.010720509,0.977839463,1,0.458871521,0.060946246,1
1_1675_MED4_genome,MED4,bioD,"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring",H,bioD; dethiobiotin synthetase [EC:6.3.3.3],K01935,0.901846646,0.216872334,0.628898664,0.022770828,0.953965099,1,-0.185751288,0.293414527,1
1_1676_MED4_genome,MED4,bioA,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,H,bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62],K00833,0.934219694,0.279369482,0.639652889,0.2066642,0.549413487,1,0.055808001,0.735438235,1
1_1677_MED4_genome,MED4,,Alternative locus ID,S,,,0.215619673,0.700565992,0.836903948,0.4724855,0.413377013,1,0.011967069,0.967425672,1
1_1678_MED4_genome,MED4,,Alternative locus ID,O,,,0.255889198,0.686877456,0.828774122,-0.058793337,0.906820667,1,0.006373278,0.974864646,1
1_1679_MED4_genome,MED4,rsmG,Specifically methylates the N7 position of a guanine in 16S rRNA,J,"gidB, rsmG; 16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]",K03501,0.566973599,0.326927672,0.657825033,0.125936601,0.771009125,1,0.218361918,0.385970755,1
1_168_MED4_genome,MED4,,Alternative locus ID,S,,,1.402827646,0.581627857,0.779204331,0.090283981,0.908779807,1,0.418576566,0.416328333,1
1_1680_MED4_genome,MED4,,aldo keto reductase family,S,K07079; uncharacterized protein,K07079,0.582723695,0.295629283,0.646472867,0.192372425,0.642106543,1,-0.200850405,0.282994168,1
1_1681_MED4_genome,MED4,fer,Alternative locus ID,C,,,-0.593982816,0.213498229,0.628070595,0.008569061,0.966614825,1,0.105941073,0.562206668,1
1_1682_MED4_genome,MED4,ycf35,Alternative locus ID,S,,,-1.118905791,0.158707825,0.621338653,-0.951890045,0.113839833,1,-0.18854513,0.328237959,1
1_1683_MED4_genome,MED4,,Alternative locus ID,S,,,-1.161483466,0.145595203,0.621338653,-0.906572071,0.138259169,1,-0.244646887,0.25006516,1
1_1684_MED4_genome,MED4,,Alternative locus ID,C,,,0.295827522,0.400193954,0.684307965,-0.138954475,0.525510943,1,0.087460238,0.517204708,1
1_1685_MED4_genome,MED4,rlmN,Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs,J,rlmN; 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192],K06941,0.50136388,0.158820123,0.621338653,-0.06455597,0.773148683,1,0.083497881,0.668918551,1
1_1686_MED4_genome,MED4,,None,None,,,-1.019991773,0.166425372,0.621338653,-0.141204899,0.597677303,1,0.072018791,0.771092028,1
1_1687_MED4_genome,MED4,rpoC2,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,K,rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],K03046,-1.161913883,0.062970535,0.621338653,-0.140709606,0.615443624,1,0.006170931,0.963079599,1
1_1688_MED4_genome,MED4,rpoC1,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,K,rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],K03046,-0.977453871,0.089028044,0.621338653,-0.268037617,0.436921801,1,-0.04874052,0.727092481,1
1_1689_MED4_genome,MED4,rpoB,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,K,rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6],K03043,-1.316392206,0.066113149,0.621338653,-0.41059099,0.274623859,1,-0.056734093,0.747463892,1
