,,,,,Total Mutations,,Lineages Represented,
CCMP1005,400 ppm,THAOC_03438,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_03439,hypothetical protein,0,199,240,6,6
CCMP1005,400 ppm,THAOC_03440,hypothetical protein,0.691,46,49,6,6
CCMP1005,400 ppm,THAOC_03443,hypothetical protein,0.289,83,91,6,6
CCMP1005,400 ppm,THAOC_03444,hypothetical protein,0,28,55,6,6
CCMP1005,400 ppm,THAOC_03446,hypothetical protein,1,4,4,4,4
CCMP1005,400 ppm,THAOC_03452,hypothetical protein,0.233,123,132,6,6
CCMP1005,400 ppm,THAOC_03456,hypothetical protein,0.691,7,10,5,6
CCMP1005,400 ppm,THAOC_03458,hypothetical protein,0.895,18,17,6,6
CCMP1005,400 ppm,THAOC_03463,hypothetical protein,1,20,20,6,6
CCMP1005,400 ppm,THAOC_03464,hypothetical protein,0.791,68,66,6,6
CCMP1005,400 ppm,THAOC_03465,hypothetical protein,0.001,45,71,6,6
CCMP1005,400 ppm,THAOC_03466,hypothetical protein,0.791,18,16,6,6
CCMP1005,400 ppm,THAOC_03467,hypothetical protein,0.895,6,5,6,5
CCMP1005,400 ppm,THAOC_03469,hypothetical protein,1,8,8,6,6
CCMP1005,400 ppm,THAOC_03472,hypothetical protein,0.596,13,17,6,6
CCMP1005,400 ppm,THAOC_03475,hypothetical protein,0.691,21,24,6,6
CCMP1005,400 ppm,THAOC_03476,hypothetical protein,0.895,10,9,5,5
CCMP1005,400 ppm,THAOC_03479,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_03482,hypothetical protein,0.691,13,16,6,6
CCMP1005,400 ppm,THAOC_03483,hypothetical protein,0.426,86,92,6,6
CCMP1005,400 ppm,THAOC_03489,hypothetical protein,0.353,121,128,6,6
CCMP1005,400 ppm,THAOC_03491,hypothetical protein,0.034,24,40,6,6
CCMP1005,400 ppm,THAOC_03511,hypothetical protein,0.353,56,63,6,6
CCMP1005,400 ppm,THAOC_03514,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_03516,hypothetical protein,0.791,46,48,6,6
CCMP1005,400 ppm,THAOC_03517,hypothetical protein,0.791,16,18,6,6
CCMP1005,400 ppm,THAOC_03520,hypothetical protein,0.791,76,78,6,6
CCMP1005,400 ppm,THAOC_03521,hypothetical protein,1,14,14,6,6
CCMP1005,400 ppm,THAOC_03522,hypothetical protein,0.895,15,16,6,6
CCMP1005,400 ppm,THAOC_03523,hypothetical protein,0.791,52,54,6,6
CCMP1005,400 ppm,THAOC_03528,hypothetical protein,0,30,61,6,6
CCMP1005,400 ppm,THAOC_03536,hypothetical protein,0.691,21,24,6,6
CCMP1005,400 ppm,THAOC_03542,hypothetical protein,0.426,13,19,6,6
CCMP1005,400 ppm,THAOC_03543,hypothetical protein,0.895,11,12,6,6
CCMP1005,400 ppm,THAOC_03544,hypothetical protein,0.895,24,25,6,6
CCMP1005,400 ppm,THAOC_03545,hypothetical protein,0.185,9,19,6,6
CCMP1005,400 ppm,THAOC_03546,hypothetical protein,0.895,51,52,6,6
CCMP1005,400 ppm,THAOC_03547,hypothetical protein,0.895,13,14,6,6
CCMP1005,400 ppm,THAOC_03549,hypothetical protein,0.426,96,102,6,6
CCMP1005,400 ppm,THAOC_03551,hypothetical protein,1,144,144,6,6
CCMP1005,400 ppm,THAOC_03552,hypothetical protein,0.791,16,14,6,6
CCMP1005,400 ppm,THAOC_03553,hypothetical protein,0.791,23,21,6,6
CCMP1005,400 ppm,THAOC_03569,trypsin-like serine protease,0.895,18,17,6,6
CCMP1005,400 ppm,THAOC_03582,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03583,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_03585,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03586,hypothetical protein,0.507,13,18,5,6
CCMP1005,400 ppm,THAOC_03588,hypothetical protein,0.895,10,11,5,6
CCMP1005,400 ppm,THAOC_03592,hypothetical protein,0.185,37,47,6,6
CCMP1005,400 ppm,THAOC_03594,hypothetical protein,0.596,38,42,6,6
CCMP1005,400 ppm,THAOC_03595,hypothetical protein,0.024,51,68,6,6
CCMP1005,400 ppm,THAOC_03596,hypothetical protein,0.008,257,277,6,6
CCMP1005,400 ppm,THAOC_03597,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03600,hypothetical protein,0.791,8,6,6,6
CCMP1005,400 ppm,THAOC_03601,hypothetical protein,1,13,13,6,6
CCMP1005,400 ppm,THAOC_03606,hypothetical protein,1,42,42,6,6
CCMP1005,400 ppm,THAOC_03612,hypothetical protein,0.791,16,18,6,6
CCMP1005,400 ppm,THAOC_03619,hypothetical protein,0.895,15,14,6,6
CCMP1005,400 ppm,THAOC_03627,hypothetical protein,0.507,33,38,6,6
CCMP1005,400 ppm,THAOC_03633,hypothetical protein,0.004,123,145,6,6
CCMP1005,400 ppm,THAOC_03634,hypothetical protein,0.353,44,51,6,6
CCMP1005,400 ppm,THAOC_03635,hypothetical protein,0.791,11,13,6,6
CCMP1005,400 ppm,THAOC_03660,hypothetical protein,0.185,6,16,6,6
CCMP1005,400 ppm,THAOC_03661,hypothetical protein,0.507,5,10,5,6
CCMP1005,400 ppm,THAOC_03662,hypothetical protein,0.063,43,57,6,6
CCMP1005,400 ppm,THAOC_03667,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03673,hypothetical protein,0.895,41,42,6,6
CCMP1005,400 ppm,THAOC_03674,hypothetical protein,0,115,163,6,6
CCMP1005,400 ppm,THAOC_03681,hypothetical protein,0.112,125,137,6,6
CCMP1005,400 ppm,THAOC_03683,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03686,hypothetical protein,0.691,27,30,6,6
CCMP1005,400 ppm,THAOC_03687,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_03691,hypothetical protein,0.185,57,67,6,6
CCMP1005,400 ppm,THAOC_03692,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_03697,hypothetical protein,0.507,60,65,6,6
CCMP1005,400 ppm,THAOC_03700,hypothetical protein,0.233,34,43,6,6
CCMP1005,400 ppm,THAOC_03701,hypothetical protein,0.507,5,10,5,6
CCMP1005,400 ppm,THAOC_03708,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03709,hypothetical protein,0.791,3,1,3,1
CCMP1005,400 ppm,THAOC_03713,hypothetical protein,1,18,18,6,6
CCMP1005,400 ppm,THAOC_03714,hypothetical protein,0.791,46,48,6,6
CCMP1005,400 ppm,THAOC_03717,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03723,hypothetical protein,0.691,48,45,6,6
CCMP1005,400 ppm,THAOC_03724,hypothetical protein,0.289,27,35,6,6
CCMP1005,400 ppm,THAOC_03725,hypothetical protein,0.289,40,48,6,6
CCMP1005,400 ppm,THAOC_03728,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_03729,hypothetical protein,0.596,36,32,6,6
CCMP1005,400 ppm,THAOC_03734,hypothetical protein,0.005,30,51,4,6
CCMP1005,400 ppm,THAOC_03737,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_03746,hypothetical protein,0.791,10,12,5,6
CCMP1005,400 ppm,THAOC_03748,hypothetical protein,0.791,22,24,6,6
CCMP1005,400 ppm,THAOC_03750,hypothetical protein,0.233,12,3,4,1
CCMP1005,400 ppm,THAOC_03755,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_03758,hypothetical protein,0.596,43,47,6,6
CCMP1005,400 ppm,THAOC_03761,hypothetical protein,0.691,11,14,3,6
CCMP1005,400 ppm,THAOC_03763,hypothetical protein,0.047,17,32,5,6
CCMP1005,400 ppm,THAOC_03766,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_03769,hypothetical protein,0.895,8,7,6,6
CCMP1005,400 ppm,THAOC_03775,hypothetical protein,0.791,26,28,6,6
CCMP1005,400 ppm,THAOC_03776,hypothetical protein,0.895,8,9,6,5
CCMP1005,400 ppm,THAOC_03779,hypothetical protein,0.895,14,15,6,6
CCMP1005,400 ppm,THAOC_03780,hypothetical protein,0.596,69,73,6,6
CCMP1005,400 ppm,THAOC_03782,hypothetical protein,0.895,29,30,6,6
CCMP1005,400 ppm,THAOC_03788,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03790,hypothetical protein,0.791,28,30,6,6
CCMP1005,400 ppm,THAOC_03791,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03796,hypothetical protein,0.353,93,100,6,6
CCMP1005,400 ppm,THAOC_03799,hypothetical protein,0.353,127,134,6,6
CCMP1005,400 ppm,THAOC_03801,hypothetical protein,1,18,18,6,6
CCMP1005,400 ppm,THAOC_03803,hypothetical protein,0.691,10,13,6,6
CCMP1005,400 ppm,THAOC_03807,hypothetical protein,0.791,76,78,6,6
CCMP1005,400 ppm,THAOC_03808,hypothetical protein,0.895,19,18,3,2
CCMP1005,400 ppm,THAOC_03815,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03817,hypothetical protein,0.691,6,9,6,6
CCMP1005,400 ppm,THAOC_03822,hypothetical protein,0,75,124,5,6
CCMP1005,400 ppm,THAOC_03826,hypothetical protein,0.895,3,2,3,2
CCMP1005,400 ppm,THAOC_03827,hypothetical protein,0.596,8,12,4,6
CCMP1005,400 ppm,THAOC_03829,hypothetical protein,0.596,32,36,6,6
CCMP1005,400 ppm,THAOC_03844,hypothetical protein,0.596,8,12,4,6
CCMP1005,400 ppm,THAOC_03846,hypothetical protein,0.063,12,26,5,6
CCMP1005,400 ppm,THAOC_03848,hypothetical protein,0.895,21,22,6,6
CCMP1005,400 ppm,THAOC_03849,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_03850,hypothetical protein,0.895,21,22,6,6
CCMP1005,400 ppm,THAOC_03851,hypothetical protein,0,86,129,6,6
CCMP1005,400 ppm,THAOC_03853,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_03856,hypothetical protein,0.895,33,34,6,6
CCMP1005,400 ppm,THAOC_03858,hypothetical protein,0.145,58,69,6,6
CCMP1005,400 ppm,THAOC_03859,hypothetical protein,0.063,25,39,6,6
CCMP1005,400 ppm,THAOC_03870,hypothetical protein,0.085,43,56,6,6
CCMP1005,400 ppm,THAOC_03872,hypothetical protein,0.895,11,12,6,6
CCMP1005,400 ppm,THAOC_03873,hypothetical protein,0.895,10,11,6,6
CCMP1005,400 ppm,THAOC_03875,hypothetical protein,1,63,63,6,6
CCMP1005,400 ppm,THAOC_03877,hypothetical protein,0.895,37,36,6,6
CCMP1005,400 ppm,THAOC_03886,hypothetical protein,0.112,42,54,6,6
CCMP1005,400 ppm,THAOC_03890,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03891,hypothetical protein,1,15,15,6,6
CCMP1005,400 ppm,THAOC_03892,hypothetical protein,0.791,16,18,6,6
CCMP1005,400 ppm,THAOC_03893,hypothetical protein,1,18,18,6,6
CCMP1005,400 ppm,THAOC_03902,hypothetical protein,0.112,70,82,6,6
CCMP1005,400 ppm,THAOC_03904,hypothetical protein,1,24,24,6,6
CCMP1005,400 ppm,THAOC_03908,hypothetical protein,0.596,8,12,4,6
CCMP1005,400 ppm,THAOC_03917,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_03918,hypothetical protein,0.895,65,66,6,6
CCMP1005,400 ppm,THAOC_03928,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03935,hypothetical protein,0.353,86,93,6,6
CCMP1005,400 ppm,THAOC_03939,hypothetical protein,0.791,36,38,6,6
CCMP1005,400 ppm,THAOC_03945,hypothetical protein,0.507,61,66,6,6
CCMP1005,400 ppm,THAOC_03953,hypothetical protein,0.895,36,37,6,6
CCMP1005,400 ppm,THAOC_03954,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_03960,hypothetical protein,0.289,98,106,6,6
CCMP1005,400 ppm,THAOC_03962,hypothetical protein,0.895,34,33,6,6
CCMP1005,400 ppm,THAOC_03974,hypothetical protein,1,42,42,6,6
CCMP1005,400 ppm,THAOC_03979,hypothetical protein,0.353,40,47,6,6
CCMP1005,400 ppm,THAOC_03996,hypothetical protein,0.895,24,23,6,6
CCMP1005,400 ppm,THAOC_03997,hypothetical protein,0.185,50,60,6,6
CCMP1005,400 ppm,THAOC_03998,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_04000,hypothetical protein,0,124,154,6,6
CCMP1005,400 ppm,THAOC_04002,hypothetical protein,0.791,25,23,4,3
CCMP1005,400 ppm,THAOC_04009,hypothetical protein,0.353,11,18,6,6
CCMP1005,400 ppm,THAOC_04020,hypothetical protein,0.895,44,45,6,6
CCMP1005,400 ppm,THAOC_04022,hypothetical protein,0.024,161,178,6,6
CCMP1005,400 ppm,THAOC_04024,hypothetical protein,1,69,69,6,6
CCMP1005,400 ppm,THAOC_04026,hypothetical protein,0.895,42,43,6,6
CCMP1005,400 ppm,THAOC_04027,hypothetical protein,0,64,98,6,6
CCMP1005,400 ppm,THAOC_04031,hypothetical protein,0.791,9,11,5,6
CCMP1005,400 ppm,THAOC_04038,hypothetical protein,0.895,11,12,6,6
CCMP1005,400 ppm,THAOC_04044,hypothetical protein,0.001,100,125,6,6
CCMP1005,400 ppm,THAOC_04048,hypothetical protein,0.596,41,45,6,6
CCMP1005,400 ppm,THAOC_04050,hypothetical protein,0.791,18,20,6,6
CCMP1005,400 ppm,THAOC_04052,hypothetical protein,0.507,33,38,6,6
CCMP1005,400 ppm,THAOC_04053,hypothetical protein,0.791,57,55,6,6
CCMP1005,400 ppm,THAOC_04054,hypothetical protein,1,102,102,6,6
CCMP1005,400 ppm,THAOC_04057,hypothetical protein,1,18,18,6,6
CCMP1005,400 ppm,THAOC_04059,hypothetical protein,0.895,17,18,6,6
CCMP1005,400 ppm,THAOC_04061,hypothetical protein,0,180,208,6,6
CCMP1005,400 ppm,THAOC_04062,hypothetical protein,0.895,25,24,6,6
CCMP1005,400 ppm,THAOC_04067,hypothetical protein,0.791,4,6,4,6
CCMP1005,400 ppm,THAOC_04073,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04081,hypothetical protein,1,18,18,6,6
CCMP1005,400 ppm,THAOC_04086,hypothetical protein,0.895,6,7,6,6
CCMP1005,400 ppm,THAOC_04087,hypothetical protein,0,23,59,3,6
CCMP1005,400 ppm,THAOC_04089,hypothetical protein,0.791,10,12,6,6
CCMP1005,400 ppm,THAOC_04090,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04095,hypothetical protein,0.185,66,76,6,6
CCMP1005,400 ppm,THAOC_04097,hypothetical protein,0,13,42,4,5
CCMP1005,400 ppm,THAOC_04098,hypothetical protein,0.004,23,45,5,6
CCMP1005,400 ppm,THAOC_04106,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04107,hypothetical protein,1,18,18,6,6
CCMP1005,400 ppm,THAOC_04109,hypothetical protein,0.895,23,24,6,6
CCMP1005,400 ppm,THAOC_04113,hypothetical protein,0.034,40,56,6,6
CCMP1005,400 ppm,THAOC_04115,hypothetical protein,0.145,49,60,6,6
CCMP1005,400 ppm,THAOC_04120,hypothetical protein,0.895,11,12,6,6
CCMP1005,400 ppm,THAOC_04121,hypothetical protein,1,23,23,6,6
CCMP1005,400 ppm,THAOC_04122,hypothetical protein,0.353,5,12,3,6
CCMP1005,400 ppm,THAOC_04128,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_04130,hypothetical protein,0.895,19,18,5,5
CCMP1005,400 ppm,THAOC_04131,hypothetical protein,0.233,20,29,6,6
CCMP1005,400 ppm,THAOC_04136,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_04140,hypothetical protein,0.791,17,19,6,6
CCMP1005,400 ppm,THAOC_04143,hypothetical protein,0.895,25,24,6,6
CCMP1005,400 ppm,THAOC_04144,hypothetical protein,0.001,182,207,6,6
CCMP1005,400 ppm,THAOC_04151,hypothetical protein,0.426,10,16,6,6
CCMP1005,400 ppm,THAOC_04152,hypothetical protein,0.791,10,12,6,6
CCMP1005,400 ppm,THAOC_04153,hypothetical protein,0.507,39,44,6,6
CCMP1005,400 ppm,THAOC_04155,hypothetical protein,0.426,6,12,3,6
CCMP1005,400 ppm,THAOC_04160,hypothetical protein,0.112,33,45,6,6
CCMP1005,400 ppm,THAOC_04162,hypothetical protein,0.895,9,8,5,3
CCMP1005,400 ppm,THAOC_04164,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_04165,hypothetical protein,1,7,7,6,6
CCMP1005,400 ppm,THAOC_04168,hypothetical protein,0.063,26,40,5,6
CCMP1005,400 ppm,THAOC_04173,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04177,hypothetical protein,0.507,5,10,3,5
CCMP1005,400 ppm,THAOC_04180,hypothetical protein,0.895,19,18,6,6
CCMP1005,400 ppm,THAOC_04184,hypothetical protein,0.426,7,13,4,5
CCMP1005,400 ppm,THAOC_04186,hypothetical protein,0.895,28,29,6,6
CCMP1005,400 ppm,THAOC_04194,hypothetical protein,0.895,29,30,6,6
CCMP1005,400 ppm,THAOC_04195,hypothetical protein,0.426,137,143,6,6
CCMP1005,400 ppm,THAOC_04200,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_04201,hypothetical protein,0.005,161,182,6,6
CCMP1005,400 ppm,THAOC_04205,hypothetical protein,1,38,38,6,6
CCMP1005,400 ppm,THAOC_04206,hypothetical protein,0.185,42,52,6,6
CCMP1005,400 ppm,THAOC_04207,hypothetical protein,0.353,79,86,6,6
CCMP1005,400 ppm,THAOC_04209,hypothetical protein,1,48,48,6,6
CCMP1005,400 ppm,THAOC_04211,hypothetical protein,0.791,73,71,6,6
CCMP1005,400 ppm,THAOC_04220,hypothetical protein,0.691,39,42,6,6
CCMP1005,400 ppm,THAOC_04222,hypothetical protein,0.791,52,50,6,6
CCMP1005,400 ppm,THAOC_04223,hypothetical protein,0.691,9,6,6,6
CCMP1005,400 ppm,THAOC_04225,hypothetical protein,0.596,62,66,6,6
CCMP1005,400 ppm,THAOC_04236,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_04237,hypothetical protein,0.895,13,14,6,6
CCMP1005,400 ppm,THAOC_04242,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04245,hypothetical protein,0.791,3,5,3,5
CCMP1005,400 ppm,THAOC_04246,hypothetical protein,0.507,14,19,6,6
CCMP1005,400 ppm,THAOC_04250,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04254,hypothetical protein,0.895,19,18,6,6
CCMP1005,400 ppm,THAOC_04255,hypothetical protein,0.895,157,156,6,6
CCMP1005,400 ppm,THAOC_04258,hypothetical protein,0.895,26,27,6,6
CCMP1005,400 ppm,THAOC_04262,hypothetical protein,0.233,26,35,6,6
CCMP1005,400 ppm,THAOC_04268,hypothetical protein,0.289,66,74,6,6
CCMP1005,400 ppm,THAOC_04269,hypothetical protein,0.426,34,28,6,6
CCMP1005,400 ppm,THAOC_04275,hypothetical protein,0.791,31,33,6,6
CCMP1005,400 ppm,THAOC_04277,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_04285,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_04288,hypothetical protein,0.233,96,105,6,6
CCMP1005,400 ppm,THAOC_04291,hypothetical protein,1,5,5,5,5
CCMP1005,400 ppm,THAOC_04295,hypothetical protein,0.791,21,23,6,6
CCMP1005,400 ppm,THAOC_04296,hypothetical protein,1,25,25,6,6
CCMP1005,400 ppm,THAOC_04298,hypothetical protein,1,24,24,6,6
CCMP1005,400 ppm,THAOC_04299,hypothetical protein,1,3,3,3,3
CCMP1005,400 ppm,THAOC_04304,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04311,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04312,hypothetical protein,0.895,10,11,6,6
CCMP1005,400 ppm,THAOC_04321,hypothetical protein,1,18,18,6,6
CCMP1005,400 ppm,THAOC_04322,hypothetical protein,0.895,10,9,6,6
CCMP1005,400 ppm,THAOC_04323,hypothetical protein,0.895,29,28,6,6
CCMP1005,400 ppm,THAOC_04324,hypothetical protein,1,31,31,6,6
CCMP1005,400 ppm,THAOC_04330,hypothetical protein,0.895,5,6,5,6
CCMP1005,400 ppm,THAOC_04332,hypothetical protein,1,42,42,6,6
CCMP1005,400 ppm,THAOC_04335,hypothetical protein,0.691,20,17,6,6
CCMP1005,400 ppm,THAOC_04337,hypothetical protein,0.895,11,12,6,6
CCMP1005,400 ppm,THAOC_04338,hypothetical protein,0.596,7,11,5,6
CCMP1005,400 ppm,THAOC_04340,hypothetical protein,1,4,4,4,4
CCMP1005,400 ppm,THAOC_04345,hypothetical protein,0.596,10,14,3,3
CCMP1005,400 ppm,THAOC_04347,hypothetical protein,1,18,18,6,6
CCMP1005,400 ppm,THAOC_04353,hypothetical protein,0.596,44,48,6,6
CCMP1005,400 ppm,THAOC_04357,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04362,hypothetical protein,1,13,13,6,6
CCMP1005,400 ppm,THAOC_04373,hypothetical protein,0.289,100,108,6,6
CCMP1005,400 ppm,THAOC_04376,hypothetical protein,1,47,47,6,6
CCMP1005,400 ppm,THAOC_04380,hypothetical protein,1,18,18,6,6
CCMP1005,400 ppm,THAOC_04386,hypothetical protein,0.145,39,50,6,6
CCMP1005,400 ppm,THAOC_04390,hypothetical protein,0.426,15,21,5,6
CCMP1005,400 ppm,THAOC_04397,hypothetical protein,0.691,22,25,6,6
CCMP1005,400 ppm,THAOC_04401,hypothetical protein,0.791,16,18,6,6
CCMP1005,400 ppm,THAOC_04408,hypothetical protein,0.353,65,72,6,6
CCMP1005,400 ppm,THAOC_04419,hypothetical protein,0.691,46,49,6,6
CCMP1005,400 ppm,THAOC_04420,hypothetical protein,0.289,13,21,4,6
CCMP1005,400 ppm,THAOC_04423,hypothetical protein,0.426,32,38,5,6
CCMP1005,400 ppm,THAOC_04424,hypothetical protein,0.353,42,49,6,6
CCMP1005,400 ppm,THAOC_04425,hypothetical protein,0.001,60,86,6,6
CCMP1005,400 ppm,THAOC_04426,hypothetical protein,0.112,122,134,6,6
CCMP1005,400 ppm,THAOC_04427,hypothetical protein,0.145,15,26,5,6
CCMP1005,400 ppm,THAOC_04429,hypothetical protein,0.012,120,139,6,6
CCMP1005,400 ppm,THAOC_04430,hypothetical protein,0.233,41,50,5,6
CCMP1005,400 ppm,THAOC_04433,hypothetical protein,1,18,18,6,6
CCMP1005,400 ppm,THAOC_04443,hypothetical protein,0.112,76,88,6,6
CCMP1005,400 ppm,THAOC_04444,hypothetical protein,0,254,310,6,6
CCMP1005,400 ppm,THAOC_04447,hypothetical protein,0.002,48,71,5,5
CCMP1005,400 ppm,THAOC_04448,hypothetical protein,0.791,4,6,4,6
CCMP1005,400 ppm,THAOC_04451,hypothetical protein,0.791,50,48,6,6
CCMP1005,400 ppm,THAOC_04453,hypothetical protein,0.145,184,195,6,6
CCMP1005,400 ppm,THAOC_04454,hypothetical protein,0.895,77,78,6,6
CCMP1005,400 ppm,THAOC_04455,hypothetical protein,0.895,7,6,6,6
CCMP1005,400 ppm,THAOC_04460,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04461,hypothetical protein,1,36,36,6,6
CCMP1005,400 ppm,THAOC_04463,hypothetical protein,0.289,28,36,6,6
CCMP1005,400 ppm,THAOC_04467,hypothetical protein,1,42,42,6,6
CCMP1005,400 ppm,THAOC_04468,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04474,hypothetical protein,0.691,21,24,6,6
CCMP1005,400 ppm,THAOC_04477,hypothetical protein,0.596,181,185,6,6
CCMP1005,400 ppm,THAOC_04478,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_04479,hypothetical protein,0.895,47,48,6,6
CCMP1005,400 ppm,THAOC_04480,hypothetical protein,0.353,23,30,5,6
CCMP1005,400 ppm,THAOC_04481,hypothetical protein,0.895,23,24,6,6
CCMP1005,400 ppm,THAOC_04487,hypothetical protein,0.289,105,113,6,6
CCMP1005,400 ppm,THAOC_04488,hypothetical protein,0.691,45,48,6,6
CCMP1005,400 ppm,THAOC_04500,hypothetical protein,0.047,49,64,6,6
CCMP1005,400 ppm,THAOC_04504,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_04512,hypothetical protein,1,4,4,4,3
CCMP1005,400 ppm,THAOC_04514,hypothetical protein,0,68,108,6,6
CCMP1005,400 ppm,THAOC_04515,hypothetical protein,0.426,91,97,6,6
CCMP1005,400 ppm,THAOC_04517,hypothetical protein,0.289,21,29,6,6
CCMP1005,400 ppm,THAOC_04519,hypothetical protein,0.008,81,101,6,6
CCMP1005,400 ppm,THAOC_04521,hypothetical protein,0.426,24,30,6,6
CCMP1005,400 ppm,THAOC_04522,hypothetical protein,0.895,23,24,6,6
CCMP1005,400 ppm,THAOC_04524,hypothetical protein,0.691,41,38,6,6
CCMP1005,400 ppm,THAOC_04525,hypothetical protein,0,163,191,6,6
CCMP1005,400 ppm,THAOC_04528,hypothetical protein,0.507,57,62,6,6
CCMP1005,400 ppm,THAOC_04529,hypothetical protein,0.353,10,17,6,6
CCMP1005,400 ppm,THAOC_04532,hypothetical protein,0.791,16,18,6,6
CCMP1005,400 ppm,THAOC_04535,hypothetical protein,0.426,42,48,6,6
CCMP1005,400 ppm,THAOC_04544,hypothetical protein,1,12,12,6,6
CCMP1005,400 ppm,THAOC_04546,hypothetical protein,0.507,27,32,6,6
CCMP1005,400 ppm,THAOC_04548,hypothetical protein,0.353,41,48,6,6
CCMP1005,400 ppm,THAOC_04550,hypothetical protein,0.002,30,53,6,6
CCMP1005,400 ppm,THAOC_04551,hypothetical protein,0.895,3,2,3,2
CCMP1005,400 ppm,THAOC_04552,hypothetical protein,0.895,14,15,6,6
CCMP1005,400 ppm,THAOC_04554,hypothetical protein,0.895,54,53,6,6
CCMP1005,400 ppm,THAOC_04555,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04557,hypothetical protein,1,6,6,6,6
CCMP1005,400 ppm,THAOC_04562,hypothetical protein,0.507,5,10,5,6
CCMP1005,400 ppm,THAOC_04567,hypothetical protein,0.507,33,38,6,6
CCMP1005,400 ppm,THAOC_04571,hypothetical protein,0.791,38,36,6,6
CCMP1005,400 ppm,THAOC_04578,hypothetical protein,0.353,15,22,5,6
CCMP1005,400 ppm,THAOC_04579,hypothetical protein,0.895,6,5,6,5
CCMP1005,400 ppm,THAOC_04582,hypothetical protein,0.791,40,38,6,6
CCMP1005,400 ppm,THAOC_04584,hypothetical protein,0.691,9,12,6,6
CCMP1005,400 ppm,THAOC_04585,hypothetical protein,0.185,55,65,6,6
CCMP1005,400 ppm,THAOC_04590,hypothetical protein,1,11,11,6,6
CCMP1005,400 ppm,THAOC_04592,hypothetical protein,1,24,24,6,6
CCMP1005,400 ppm,THAOC_04593,hypothetical protein,0.353,43,50,6,6
CCMP1005,400 ppm,THAOC_04595,hypothetical protein,0.001,405,429,6,6
CCMP1005,400 ppm,THAOC_04599,hypothetical protein,0.691,108,111,6,6
CCMP1005,400 ppm,THAOC_04602,hypothetical protein,0.895,14,13,6,6
