GID,genename,kid,ko,definition,cyanobase,cyanobase_def,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
sync_0756,,syg:sync_0756,K01802,FKBP-type peptidyl-prolyl cis-trans isomerase,,FKBP-type peptidyl-prolyl cis-trans isomerase,Q0IC52,FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8).,5.2.1.8,704991,complement(704991..705629),212
sync_0757,,syg:sync_0757,,hypothetical protein,,conserved hypothetical protein,Q0IC51,Putative uncharacterized protein.,,705640,complement(705640..705969),109
sync_0758,lnt,syg:sync_0758,K03820,apolipoprotein N-acyltransferase,lnt,Apolipoprotein N-acyltransferase,Q0IC50,Apolipoprotein N-acyltransferase (EC 2.3.1.-).,2.3.1.-,706094,706094..707539,481
sync_0759,trmU,syg:sync_0759,K00566,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,trmU,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,Q0IC49,TRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61).,2.1.1.61,707463,complement(707463..708638),391
sync_0760,,syg:sync_0760,,carbohydrate kinase family protein,,carbohydrate kinase family protein,Q0IC48,Carbohydrate kinase family protein.,,708689,708689..710242,517
sync_0761,,syg:sync_0761,K03086,"type II alternative RNA polymerase sigma factor, sigma-70 family protein",,"Type II alternative RNA polymerase sigma factor, sigma-70 family protein",Q0IC47,"Type II alternative RNA polymerase sigma factor, sigma-70 family protein.",,710395,710395..711336,313
sync_0762,,syg:sync_0762,,hypothetical protein,,hypothetical protein,Q0IC46,Putative uncharacterized protein.,,712352,complement(712352..712603),83
sync_0763,,syg:sync_0763,,histone deacetylase family protein,,histone deacetylase family protein,Q0IC45,Histone deacetylase family protein.,,713350,713350..714264,304
sync_0764,pdhA,syg:sync_0764,K00161,pyruvate dehydrogenase E1 alpha subunit,pdhA,Pyruvate dehydrogenase E1 alpha subunit,Q0IC44,Pyruvate dehydrogenase E1 alpha subunit (EC 1.2.4.1).,1.2.4.1,714277,complement(714277..715383),368
sync_0765,,syg:sync_0765,,DnaJ domain protein,,DnaJ domain protein,Q0IC43,DnaJ domain protein.,,715485,715485..717683,732
sync_0766,ffh,syg:sync_0766,K03106,signal recognition particle protein,ffh,signal recognition particle protein,Q0IC42,Signal recognition particle protein.,,717779,717779..719260,493
sync_0767,rpsP,syg:sync_0767,K02959,ribosomal protein S16,rpsP,ribosomal protein S16,Q0IC41,Ribosomal protein S16.,,719337,719337..719723,128
sync_0768,,syg:sync_0768,K06217,PhoH family protein,,PhoH family protein,Q0IC40,PhoH family protein.,,719732,719732..720751,339
sync_0769,,syg:sync_0769,K06890,hypothetical protein,,Uncharacterized conserved membrane protein,Q0IC39,Uncharacterized conserved membrane protein.,,720911,720911..721651,246
sync_0770,,syg:sync_0770,,unnamed protein product,,,,,,,,
sync_0771,,syg:sync_0771,,hypothetical protein,,Uncharacterized protein,Q0IC37,Uncharacterized protein.,,723388,complement(723388..723957),189
sync_0772,budA,syg:sync_0772,K01575,alpha-acetolactate decarboxylase,budA,alpha-acetolactate decarboxylase,Q0IC36,Alpha-acetolactate decarboxylase (EC 4.1.1.5).,4.1.1.5,724125,724125..724946,273
sync_0773,era,syg:sync_0773,K03595,GTP-binding protein Era,era,GTP-binding protein Era,Q0IC35,GTP-binding protein Era.,,724972,724972..725925,317
sync_0774,,syg:sync_0774,,hypothetical protein,,hypothetical protein,Q0IC34,Putative uncharacterized protein.,,725950,725950..726426,158
sync_0775,trmD,syg:sync_0775,K00554,tRNA (guanine-N1)-methyltransferase,trmD,tRNA (guanine-N1)-methyltransferase,Q0IC33,tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.31).,2.1.1.31,726433,726433..727152,239
sync_0776,,syg:sync_0776,,hypothetical protein,,hypothetical protein,Q0I9P9,Putative uncharacterized protein.,,727200,727200..727334,44
sync_0777,,syg:sync_0777,,hypothetical protein,,hypothetical protein,Q0IC31,Putative uncharacterized protein.,,727653,727653..727745,30
sync_0778,,syg:sync_0778,,hypothetical protein,,hypothetical protein,Q0IC30,Putative uncharacterized protein.,,727781,727781..727933,50
sync_0779,,syg:sync_0779,,hypothetical protein,,hypothetical protein,Q0IC29,Putative uncharacterized protein.,,727915,complement(727915..728037),40
sync_0780,,syg:sync_0780,,hypothetical protein,,hypothetical protein,Q0IC28,Putative uncharacterized protein.,,728763,728763..728885,40
sync_0781,ispF,syg:sync_0781,K01770,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",Q0IC27,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12).",4.6.1.12,728946,728946..729446,166
sync_0782,,syg:sync_0782,,hypothetical protein,,conserved hypothetical protein,Q0IC26,Putative uncharacterized protein.,,729446,729446..729904,152
sync_0783,,syg:sync_0783,K06898,putative circadian phase modifier CpmA homolog,,putative circadian phase modifier CpmA homolog,Q0IC25,Putative circadian phase modifier CpmA homolog.,,729901,729901..730566,221
sync_0784,,syg:sync_0784,,hypothetical protein,,conserved hypothetical protein,Q0IC24,Putative uncharacterized protein.,,730568,complement(730568..730771),67
sync_0785,,syg:sync_0785,,hypothetical protein,,conserved hypothetical protein,Q0IC23,Putative uncharacterized protein.,,730871,complement(730871..731842),323
sync_0786,thiS,syg:sync_0786,K03154,thiamine biosynthesis protein ThiS,thiS,thiamine biosynthesis protein ThiS,Q0IC22,Thiamine biosynthesis protein ThiS.,,731868,complement(731868..732077),69
sync_0787,,syg:sync_0787,,hypothetical protein,,hypothetical protein,Q0IC21,Putative uncharacterized protein.,,732233,732233..732388,51
sync_0788,,syg:sync_0788,,hypothetical protein,,hypothetical protein,Q0IC20,Putative uncharacterized protein.,,732584,732584..732751,55
sync_0789,,syg:sync_0789,,hypothetical protein,,hypothetical protein,Q0IC19,Putative uncharacterized protein.,,733181,733181..733312,43
sync_0790,,syg:sync_0790,,hypothetical protein,,hypothetical protein,Q0IC18,Putative uncharacterized protein.,,734404,complement(734404..734538),44
sync_0791,thiE,syg:sync_0791,K00788,thiamine-phosphate pyrophosphorylase,thiE,thiamine-phosphate pyrophosphorylase,Q0IC17,Thiamine-phosphate pyrophosphorylase (EC 2.5.1.3).,2.5.1.3,734635,complement(734635..735657),340
sync_0792,,syg:sync_0792,,hypothetical protein,,hypothetical protein,Q0IC16,Putative uncharacterized protein.,,735733,735733..735852,39
sync_0793,ribF,syg:sync_0793,K11753,riboflavin biosynthesis protein RibF,ribF,riboflavin biosynthesis protein RibF,Q0IC15,Riboflavin biosynthesis protein RibF (EC 2.7.1.26) (EC 2.7.7.2).,2.7.1.26 2.7.7.2,735834,complement(735834..736763),309
sync_0794,,syg:sync_0794,,uncharacterized membrane protein,,Uncharacterized membrane protein,Q0IC14,Uncharacterized membrane protein.,,736824,736824..737384,186
sync_0795,surE,syg:sync_0795,K03787,acid phosphatase SurE,surE,acid phosphatase SurE,Q0IC13,Acid phosphatase SurE (EC 3.1.3.2).,3.1.3.5,737416,complement(737416..738213),265
sync_0796,pheS,syg:sync_0796,K01889,"phenylalanyl-tRNA synthetase, alpha subunit",pheS,"phenylalanyl-tRNA synthetase, alpha subunit",Q0IC12,"Phenylalanyl-tRNA synthetase, alpha subunit (EC 6.1.1.20).",6.1.1.20,738288,738288..739295,335
sync_0797,,syg:sync_0797,,hypothetical protein,,hypothetical protein,Q0IC11,Putative uncharacterized protein.,,739407,complement(739407..740780),457
sync_0798,,syg:sync_0798,,hypothetical protein,,hypothetical protein,Q0IC10,Putative uncharacterized protein.,,741202,741202..741393,63
sync_0799,,syg:sync_0799,,hypothetical protein,,hypothetical protein,Q0IC09,Putative uncharacterized protein.,,741425,741425..741718,97
sync_0800,,syg:sync_0800,,hypothetical protein,,hypothetical protein,Q0IC08,Putative uncharacterized protein.,,742119,742119..742226,35
sync_0801,,syg:sync_0801,,hypothetical protein,,hypothetical protein,Q0IC07,Putative uncharacterized protein.,,742532,742532..742624,30
sync_0802,,syg:sync_0802,,hypothetical protein,,hypothetical protein,Q0IC06,Putative uncharacterized protein.,,742675,742675..742788,37
sync_0803,,syg:sync_0803,,hypothetical protein,,hypothetical protein,Q0IC05,Putative uncharacterized protein.,,742956,742956..743165,69
sync_0804,,syg:sync_0804,,ABC1 family protein,,ABC1 family protein,Q0IC04,ABC1 family protein.,,743254,743254..744897,547
sync_0805,,syg:sync_0805,,zeta-carotene desaturase,,zeta-carotene desaturase,Q0IC03,Zeta-carotene desaturase.,,744929,complement(744929..746545),538
sync_0806,ppnK,syg:sync_0806,K00858,ATP-NAD kinase,ppnK,ATP-NAD kinase,Q0IC02,ATP-NAD kinase (EC 2.7.1.23).,2.7.1.23,746685,746685..747593,302
sync_0807,,syg:sync_0807,,possible two-component response regulator,,possible two-component response regulator,Q0IC01,Possible two-component response regulator.,,747590,747590..748273,227
sync_0808,,syg:sync_0808,K09005,hypothetical protein,,conserved hypothetical protein,Q0IC00,Putative uncharacterized protein.,,748273,748273..748710,145
sync_0809,,syg:sync_0809,,hypothetical protein,,hypothetical protein,Q0IBZ9,Putative uncharacterized protein.,,748768,complement(748768..748893),41
sync_0810,"cbiE, cbiT",syg:sync_0810,K00595,"precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE/T subunits",cbiE/cbiT,"precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE/T subunits",Q0IBZ8,"Precorrin-6y C5,15-methyltransferase (Decarboxylating), CbiE/T subunits (EC 2.1.1.132).",1.-.-.- 2.1.1.132,748949,complement(748949..750214),421
sync_0811,,syg:sync_0811,,"possible AraC-type regulatory protein, putative",,"Possible AraC-type regulatory protein, putative",Q0IBZ7,"Possible AraC-type regulatory protein, putative.",,750369,complement(750369..751385),338
sync_0812,,syg:sync_0812,,hypothetical protein,,conserved hypothetical protein,Q0IBZ6,Putative uncharacterized protein.,,751511,751511..752599,362
sync_0813,,syg:sync_0813,,hypothetical protein,,conserved hypothetical protein,Q0IBZ5,Putative uncharacterized protein.,,752614,complement(752614..753555),313
sync_0814,,syg:sync_0814,,hypothetical protein,,hypothetical protein,Q0IBZ4,Putative uncharacterized protein.,,753606,complement(753606..754106),166
sync_0815,,syg:sync_0815,,hypothetical protein,,conserved hypothetical protein,Q0IBZ3,Putative uncharacterized protein.,,754118,754118..754450,110
sync_0816,,syg:sync_0816,,"transporter, major facilitator family protein",,"transporter, major facilitator family protein",Q0IBZ2,"Transporter, major facilitator family protein.",,754435,complement(754435..755949),504
sync_0817,,syg:sync_0817,,hypothetical protein,,hypothetical protein,Q0IBZ1,Putative uncharacterized protein.,,755930,755930..756049,39
sync_0818,,syg:sync_0818,,hypothetical protein,,conserved hypothetical protein,Q0IBZ0,Putative uncharacterized protein.,,756147,756147..758648,833
sync_0819,,syg:sync_0819,,hypothetical protein,,hypothetical protein,Q0IBY9,Putative uncharacterized protein.,,758850,758850..759035,61
sync_0820,,syg:sync_0820,,hypothetical protein,,conserved hypothetical protein,Q0IBY8,Putative uncharacterized protein.,,759179,759179..759754,191
sync_0821,ribD,syg:sync_0821,K11752,riboflavin biosynthesis protein RibD,ribD,riboflavin biosynthesis protein RibD,Q0IBY7,Riboflavin biosynthesis protein RibD (EC 3.5.4.26) (EC 1.1.1.193).,1.1.1.193 3.5.4.26,759754,759754..760851,365
sync_0822,,syg:sync_0822,K00100,alcohol dehydrogenase,,alcohol dehydrogenase,Q0IBY6,Alcohol dehydrogenase (EC 1.1.1.-).,1.1.1.-,760848,complement(760848..761858),336
sync_0823,,syg:sync_0823,,potassium channel,,Potassium channel,Q0IBY5,Potassium channel.,,761855,complement(761855..762595),246
sync_0824,,syg:sync_0824,,hypothetical protein,,hypothetical protein,Q0IBY4,Putative uncharacterized protein.,,762759,762759..762932,57
sync_0825,ftsH,syg:sync_0825,K03798,cell division protein FtsH3,ftsH,cell division protein FtsH3,Q0IBY3,Cell division protein FtsH3 (EC 3.4.24.-).,3.4.24.-,763003,763003..764901,632
sync_0826,argF,syg:sync_0826,K00611,ornithine carbamoyltransferase,argF,ornithine carbamoyltransferase,Q0IBY2,Ornithine carbamoyltransferase (EC 2.1.3.3).,2.1.3.3,765131,765131..766078,315
sync_0827,est,syg:sync_0827,K03928,carboxylesterase,est,carboxylesterase,Q0IBY1,Carboxylesterase (EC 3.1.1.1).,3.1.1.1,766075,766075..766815,246
sync_0828,,syg:sync_0828,,hypothetical protein,,hypothetical protein,Q0IBY0,Putative uncharacterized protein.,,766831,766831..767001,56
sync_0829,,syg:sync_0829,,hypothetical protein,,hypothetical protein,Q0IBX9,Putative uncharacterized protein.,,767004,767004..767246,80
sync_0830,,syg:sync_0830,,hypothetical protein,,hypothetical protein,Q0IBX8,Putative uncharacterized protein.,,767279,767279..767713,144
sync_0831,lexA,syg:sync_0831,K01356,LexA repressor,lexA,LexA repressor,Q0IBX7,LexA repressor (EC 3.4.21.88).,3.4.21.88,767751,767751..768389,212
sync_0832,,syg:sync_0832,,tRNA-Ala,,Ala tRNA,,,,768454,768454..768526,
sync_0833,,syg:sync_0833,,hypothetical protein,,hypothetical protein,Q0IBX6,Putative uncharacterized protein.,,768612,768612..768995,127
sync_0834,,syg:sync_0834,,hypothetical protein,,conserved hypothetical protein,Q0IBX5,Putative uncharacterized protein.,,769329,769329..770063,244
sync_0835,,syg:sync_0835,,hypothetical protein,,hypothetical protein,Q0IBX4,Putative uncharacterized protein.,,770707,770707..770877,56
sync_0836,,syg:sync_0836,,hypothetical protein,,hypothetical protein,Q0IBX3,Putative uncharacterized protein.,,770918,770918..771328,136
sync_0837,,syg:sync_0837,,hypothetical protein,,hypothetical protein,Q0IBX2,Putative uncharacterized protein.,,771514,771514..772131,205
sync_0838,,syg:sync_0838,,hypothetical protein,,hypothetical protein,Q0IBX1,Putative uncharacterized protein.,,772128,772128..772424,98
sync_0839,,syg:sync_0839,,hypothetical protein,,hypothetical protein,Q0IBX0,Putative uncharacterized protein.,,772632,772632..773324,230
sync_0840,,syg:sync_0840,,hypothetical protein,,hypothetical protein,Q0IBW9,Putative uncharacterized protein.,,773834,773834..773968,44
sync_0841,,syg:sync_0841,,hypothetical protein,,conserved hypothetical protein,Q0IBW8,Putative uncharacterized protein.,,773953,complement(773953..774408),151
sync_0842,,syg:sync_0842,,hypothetical protein,,conserved hypothetical protein,Q0IBW7,Putative uncharacterized protein.,,774756,774756..774992,78
sync_0843,,syg:sync_0843,,hypothetical protein,,conserved hypothetical protein,Q0IBW6,Putative uncharacterized protein.,,775326,775326..775754,142
sync_0844,,syg:sync_0844,,hypothetical protein,,hypothetical protein,Q0IBW5,Putative uncharacterized protein.,,776344,complement(776344..776505),53
sync_0845,,syg:sync_0845,,hypothetical protein,,hypothetical protein,Q0IBW4,Putative uncharacterized protein.,,776558,complement(776558..776908),116
sync_0846,,syg:sync_0846,,hypothetical protein,,hypothetical protein,Q0IBW3,Putative uncharacterized protein.,,777242,complement(777242..778009),255
sync_0847,,syg:sync_0847,,hypothetical protein,,hypothetical protein,Q0IBW2,Putative uncharacterized protein.,,778091,complement(778091..778207),38
sync_0848,,syg:sync_0848,,axoneme-associated protein gasp-180,,axoneme-associated protein gasp-180,Q0IBW1,Axoneme-associated protein gasp-180.,,779167,complement(779167..779445),92
sync_0849,,syg:sync_0849,,hypothetical protein,,hypothetical protein,Q0IBW0,Putative uncharacterized protein.,,779749,complement(779749..780414),221
sync_0850,,syg:sync_0850,,hypothetical protein,,hypothetical protein,Q0IBV9,Putative uncharacterized protein.,,781243,complement(781243..781458),71
sync_0851,,syg:sync_0851,,hypothetical protein,,hypothetical protein,Q0IBV8,Putative uncharacterized protein.,,781748,781748..781909,53
sync_0852,,syg:sync_0852,,hypothetical protein,,hypothetical protein,Q0IBV7,Putative uncharacterized protein.,,781989,781989..782138,49
sync_0853,,syg:sync_0853,,bacterial metallothionein-related protein,,bacterial metallothionein-related protein,Q0IBV6,Bacterial metallothionein-related protein.,,782135,complement(782135..782341),68
sync_0854,,syg:sync_0854,,ferritin,,ferritin,Q0IB83,Ferritin.,,782604,782604..783191,195
sync_0855,,syg:sync_0855,,hypothetical protein,,hypothetical protein,Q0IBV4,Putative uncharacterized protein.,,783551,783551..784645,364
sync_0856,,syg:sync_0856,K01053,gluconolactonase precursor,,gluconolactonase precursor,Q0IBV3,Gluconolactonase (EC 3.1.1.17).,3.1.1.17,786497,complement(786497..787405),302
sync_0857,,syg:sync_0857,,hypothetical protein,,hypothetical protein,Q0IBV2,Putative uncharacterized protein.,,787780,787780..787950,56
sync_0858,,syg:sync_0858,,hypothetical protein,,hypothetical protein,Q0IBV1,Putative uncharacterized protein.,,787881,complement(787881..788114),77
sync_0859,,syg:sync_0859,K01066,lipase/esterase,,lipase/esterase,Q0IBV0,Lipase/esterase (EC 3.1.1.-).,3.1.1.-,788376,788376..789329,317
sync_0860,,syg:sync_0860,K00059,3-oxoacyl-(acyl-carrier protein) reductase BH0932,,3-oxoacyl-(acyl-carrier protein) reductase BH0932,Q0IBU9,3-oxoacyl-(Acyl-carrier protein) reductase BH0932 (EC 1.1.1.100).,1.1.1.100,789674,complement(789674..790450),258
sync_0861,,syg:sync_0861,,"mandelate racemase / muconate lactonizing enzyme, N-terminal domain protein",,"Mandelate racemase / muconate lactonizing enzyme, N-terminal domain protein",Q0IBU8,"Mandelate racemase / muconate lactonizing enzyme, N-terminal domain protein.",,790464,complement(790464..791489),341
sync_0862,,syg:sync_0862,,hypothetical protein,,hypothetical protein,Q0IBU7,Putative uncharacterized protein.,,793315,793315..793794,159
sync_0863,,syg:sync_0863,,hypothetical protein,,hypothetical protein,Q0IBU6,Putative uncharacterized protein.,,793922,complement(793922..794110),62
sync_0864,,syg:sync_0864,,hypothetical protein,,hypothetical protein,Q0IBU5,Putative uncharacterized protein.,,794109,794109..794339,76
sync_0865,,syg:sync_0865,,hypothetical protein,,hypothetical protein,Q0IBU4,Putative uncharacterized protein.,,794427,complement(794427..794612),61
sync_0866,,syg:sync_0866,,hypothetical protein,,hypothetical protein,Q0IBU3,Putative uncharacterized protein.,,794651,794651..795037,128
sync_0867,,syg:sync_0867,,hypothetical protein,,hypothetical protein,Q0IBU2,Putative uncharacterized protein.,,795346,795346..795477,43
sync_0868,,syg:sync_0868,,hypothetical protein,,hypothetical protein,Q0IBU1,Putative uncharacterized protein.,,795570,complement(795570..795893),107
sync_0869,,syg:sync_0869,,hypothetical protein,,conserved hypothetical protein,Q0IBU0,Putative uncharacterized protein.,,796076,796076..796375,99
sync_0870,,syg:sync_0870,,possible SAP domain,,possible SAP domain,Q0IBT9,Possible SAP domain.,,797269,797269..797484,71
sync_0871,grpE-2,syg:sync_0871,,GrpE,grpE-2,GrpE,Q0IBT8,GrpE.,,797585,complement(797585..797836),83
sync_0872,gap-2,syg:sync_0872,K00134,"glyceraldehyde-3-phosphate dehydrogenase, type I",gap-2,"glyceraldehyde-3-phosphate dehydrogenase, type I",Q0IBT7,"Glyceraldehyde-3-phosphate dehydrogenase, type I (EC 1.2.1.-).",1.2.1.12,798171,complement(798171..799181),336
sync_0873,,syg:sync_0873,,hypothetical protein,,hypothetical protein,Q0IBT6,Putative uncharacterized protein.,,799269,complement(799269..799943),224
sync_0874,,syg:sync_0874,K02698,photosystem I reaction center subunit PsaK (photosystem I subunit X),,Photosystem I reaction center subunit psaK (Photosystem I subunit X),Q0IBT5,Photosystem I reaction center subunit psaK (Photosystem I subunit X).,,800235,800235..800492,85
sync_0875,,syg:sync_0875,,hypothetical protein,,hypothetical protein,Q0IBT4,Putative uncharacterized protein.,,800470,800470..800622,50
sync_0876,,syg:sync_0876,,hypothetical protein,,putative membrane protein,Q0IBT3,Putative membrane protein.,,800632,complement(800632..801282),216
sync_0877,,syg:sync_0877,,hypothetical protein,,hypothetical protein,Q0IBT2,Putative uncharacterized protein.,,801623,801623..801844,73
sync_0878,proP6,syg:sync_0878,K03762,proline/betaine transporter,proP6,proline/betaine transporter,Q0IBT1,Proline/betaine transporter.,,801877,complement(801877..803178),433
sync_0879,,syg:sync_0879,,hypothetical protein,,conserved hypothetical protein,Q0IBT0,Putative uncharacterized protein.,,803269,803269..803556,95
sync_0880,,syg:sync_0880,,hypothetical protein,,hypothetical protein,Q0IBS9,Putative uncharacterized protein.,,803576,complement(803576..803764),62
sync_0881,,syg:sync_0881,,hypothetical protein,,Uncharacterized conserved protein,Q0IBS8,Uncharacterized conserved protein.,,803842,complement(803842..804501),219
sync_0882,,syg:sync_0882,,hypothetical protein,,hypothetical protein,Q0IBS7,Putative uncharacterized protein.,,804827,804827..804934,35
sync_0883,,syg:sync_0883,,hypothetical protein,,hypothetical protein,Q0IBS6,Putative uncharacterized protein.,,804989,804989..805207,72
sync_0884,,syg:sync_0884,,hypothetical protein,,hypothetical protein,Q0IBS5,Putative uncharacterized protein.,,805425,complement(805425..805580),51
sync_0885,,syg:sync_0885,,hypothetical protein,,hypothetical protein,Q0IBS4,Putative uncharacterized protein.,,806168,complement(806168..806365),65
sync_0886,,syg:sync_0886,,hypothetical protein,,hypothetical protein,Q0IBS3,Putative uncharacterized protein.,,807138,807138..807668,176
sync_0887,,syg:sync_0887,,hypothetical protein,,hypothetical protein,Q0IBS2,Putative uncharacterized protein.,,807857,807857..808849,330
sync_0888,,syg:sync_0888,,hypothetical protein,,conserved hypothetical protein,Q0IBS1,Putative uncharacterized protein.,,808815,808815..809741,308
sync_0889,,syg:sync_0889,,hypothetical protein,,conserved hypothetical protein,Q0IBS0,Putative uncharacterized protein.,,810837,complement(810837..810983),48
sync_0890,,syg:sync_0890,,hypothetical protein,,conserved hypothetical protein,Q0IBR9,Putative uncharacterized protein.,,811005,complement(811005..811763),252
sync_0891,,syg:sync_0891,,hypothetical protein,,putative membrane protein,Q0IBR8,Putative membrane protein.,,811941,complement(811941..812795),284
sync_0892,,syg:sync_0892,,ferredoxin,,Ferredoxin,Q0IBR7,Ferredoxin.,,812821,complement(812821..813120),99
sync_0893,cobQ,syg:sync_0893,K02232,cobyric acid synthase CobQ,cobQ,cobyric acid synthase CobQ,Q0IBR6,Cobyric acid synthase CobQ (EC 6.3.5.10).,6.3.5.10,813169,complement(813169..814695),508
sync_0894,,syg:sync_0894,,hypothetical protein,,conserved hypothetical protein,Q0IBR5,Putative uncharacterized protein.,,814692,complement(814692..815069),125
sync_0895,maf,syg:sync_0895,K06287,septum formation protein MaF,maf,septum formation protein MaF,Q0IBR4,Maf-like protein sync_0895.,,815210,815210..815812,200
sync_0896,psbC,syg:sync_0896,K02705,photosystem II 44 kDa subunit reaction center protein,psbC,photosystem II 44 kDa subunit reaction center protein,Q0IBR3,Photosystem II 44 kDa subunit reaction center protein.,,816230,complement(816230..817696),488
sync_0897,psbD-1,syg:sync_0897,K02706,photosystem II protein D2,psbD-1,photosystem II protein D2,Q0I6Z7,Photosystem II D2 protein (Photosystem q(A) protein) (Photosystem II protein D2).,,817602,complement(817602..818657),351
sync_0898,ycf4,syg:sync_0898,,photosystem I assembly protein Ycf4,ycf4,photosystem I assembly protein Ycf4,Q0IBR1,Photosystem I assembly protein Ycf4.,,818874,818874..819413,179
sync_0899,,syg:sync_0899,K03768,"peptidyl-prolyl cis-trans isomerase, cyclophilin-type",,"peptidyl-prolyl cis-trans isomerase, cyclophilin-type",Q0IBR0,"Peptidyl-prolyl cis-trans isomerase, cyclophilin-type (EC 5.2.1.8).",5.2.1.8,819410,819410..820123,237
sync_0900,ilvN,syg:sync_0900,K01653,"acetolactate synthase, small subunit",ilvN,"acetolactate synthase, small subunit",Q0IBQ9,"Acetolactate synthase, small subunit (EC 2.2.1.6).",2.2.1.6,820133,complement(820133..820663),176
sync_0901,,syg:sync_0901,,predicted alpha/beta hydrolase superfamily protein,,predicted alpha/beta hydrolase superfamily protein,Q0IBQ8,Predicted alpha/beta hydrolase superfamily protein.,,820660,complement(820660..821658),332
sync_0902,,syg:sync_0902,K00555,"N2,N2-dimethylguanosine tRNA methyltransferase",,"N2,N2-dimethylguanosine tRNA methyltransferase",Q0IBQ7,"N2,N2-dimethylguanosine tRNA methyltransferase.",2.1.1.32,821609,821609..822859,416
sync_0903,,syg:sync_0903,K02643,cytochrome b6-F complex subunit VII-related protein,,Cytochrome B6-F complex subunit VII-related protein,Q0IBQ6,Cytochrome B6-F complex subunit VII-related protein.,,822887,822887..822985,32
sync_0904,,syg:sync_0904,,3-beta hydroxysteroid dehydrogenase/isomerase family protein,,3-beta hydroxysteroid dehydrogenase/isomerase family protein,Q0IBQ5,3-beta hydroxysteroid dehydrogenase/isomerase family protein.,,823002,823002..824003,333
sync_0905,,syg:sync_0905,,hypothetical protein,,conserved hypothetical protein,Q0IBQ4,Putative uncharacterized protein.,,824075,824075..824290,71
sync_0906,,syg:sync_0906,,SAM (and some other nucleotide) binding motif:generic methyltransferase,,SAM (and some other nucleotide) binding motif:Generic methyltransferase,Q0IBQ3,SAM (And some other nucleotide) binding motif:Generic methyltransferase.,,824352,824352..825137,261
sync_0907,,syg:sync_0907,K06181,possible pseudouridine synthase,,possible pseudouridine synthase,Q0IBQ2,Possible pseudouridine synthase (EC 4.2.1.70).,5.4.99.12,825106,complement(825106..825588),160
sync_0908,,syg:sync_0908,,hypothetical protein,,conserved hypothetical protein,Q0IBQ1,Putative uncharacterized protein.,,825726,complement(825726..825974),82
sync_0909,infA,syg:sync_0909,K02518,translation initiation factor IF-1,infA,translation initiation factor IF-1,Q0IBQ0,Translation initiation factor IF-1.,,826204,826204..826473,89
sync_0910,trxB,syg:sync_0910,K00384,thioredoxin-disulfide reductase,trxB,thioredoxin-disulfide reductase,Q0IBP9,Thioredoxin-disulfide reductase (EC 1.8.1.9).,1.8.1.9,826475,complement(826475..827839),454
sync_0911,,syg:sync_0911,,hypothetical protein,,conserved hypothetical protein,Q0IBP8,Putative uncharacterized protein.,,827967,complement(827967..828215),82
sync_0912,,syg:sync_0912,,helicase C-terminal domain,,Helicase C-terminal domain,Q0IBP7,Helicase C-terminal domain.,,828312,complement(828312..829640),442
sync_0913,,syg:sync_0913,,hypothetical protein,,hypothetical protein,Q0IBP6,Putative uncharacterized protein.,,829786,complement(829786..829989),67
sync_0914,,syg:sync_0914,,hypothetical protein,,conserved hypothetical protein,Q0IBP5,Putative uncharacterized protein.,,830066,complement(830066..830656),196
sync_0915,,syg:sync_0915,K00324,NAD/NADP transhydrogenase alpha subunit,,NAD/NADP transhydrogenase alpha subunit,Q0IBP4,NAD/NADP transhydrogenase alpha subunit (EC 1.6.1.1).,1.6.1.2,830777,830777..831919,380
sync_0916,,syg:sync_0916,K00324,NAD/NADP transhydrogenase alpha subunit,,NAD/NADP transhydrogenase alpha subunit,Q0IBP3,NAD/NADP transhydrogenase alpha subunit (EC 1.6.1.1).,1.6.1.2,831919,831919..832227,102
sync_0917,pntB,syg:sync_0917,K00325,NAD/NADP transhydrogenase beta subunit,pntB,NAD/NADP transhydrogenase beta subunit,Q0IBP2,NAD/NADP transhydrogenase beta subunit (EC 1.6.1.2).,1.6.1.2,832227,832227..833651,474
sync_0918,,syg:sync_0918,K07019,alpha/beta superfamily hydrolase,,Alpha/beta superfamily hydrolase,Q0IBP1,Alpha/beta superfamily hydrolase.,,833659,833659..834759,366
sync_0919,,syg:sync_0919,,ferredoxin,,Ferredoxin,Q0IBP0,Ferredoxin.,,834752,complement(834752..835087),111
sync_0920,dxr,syg:sync_0920,K00099,1-deoxy-D-xylulose 5-phosphate reductoisomerase,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Q0IBN9,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267).,1.1.1.267,835084,complement(835084..836334),416
