GID,SYMBOL,kid,PRODUCT,ko,cyanobase,cyanobase_def,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
SYNW0435,hisH,syw:SYNW0435,putative glutamine amidotransferase,K02501,hisH,putative glutamine amidotransferase,Q7U924,Imidazole glycerol phosphate synthase subunit hisH1 (EC 2.4.2.-) (IGP synthase glutamine amidotransferase subunit) (IGP synthase subunit hisH1) (ImGP synthase subunit hisH1) (IGPS subunit hisH1).,2.4.2.-,439439,439439..440071,210
SYNW0436,SYNW0436,syw:SYNW0436,putative cyclase hisF,K02500,,putative cyclase hisF,Q7U923,Putative imidazole glycerol phosphate synthase subunit hisF2 (EC 4.1.3.-) (IGP synthase cyclase subunit) (IGP synthase subunit hisF2) (ImGP synthase subunit hisF2) (IGPS subunit hisF2).,4.1.3.-,440064,440064..440873,269
SYNW0437,SYNW0437,syw:SYNW0437,hypothetical protein,,,hypothetical,Q7U922,Hypothetical.,,440876,440876..441826,316
SYNW0438,SYNW0438,syw:SYNW0438,"possible polysaccharide deacetylase (xylanase, chitin deacetylase)",,,"possible polysaccharide deacetylase (xylanase, chitin deacetylase)",Q7U921,"Possible polysaccharide deacetylase (Xylanase, chitin deacetylase).",,441902,complement(441902..442885),327
SYNW0439,SYNW0439,syw:SYNW0439,conserved hypothetical protein,,,conserved hypothetical protein,Q7U920,Hypothetical protein.,,443030,443030..443929,299
SYNW0440,SYNW0440,syw:SYNW0440,hypothetical protein,,,hypothetical,Q7U919,Hypothetical.,,444553,444553..444924,123
SYNW0441,SYNW0441,syw:SYNW0441,conserved hypothetical protein,,,conserved hypothetical protein,Q7U918,Hypothetical protein.,,444905,444905..445642,245
SYNW0442,SYNW0442,syw:SYNW0442,conserved hypothetical protein,,,conserved hypothetical protein,Q7U917,Hypothetical protein.,,445732,445732..447312,526
SYNW0443,SYNW0443,syw:SYNW0443,"possible oxidoreductase, GFO/Idh/MocA family protein",,,"possible oxidoreductase, GFO/Idh/MocA family protein",Q7U916,"Possible oxidoreductase, GFO/Idh/MocA family protein.",,447579,447579..448502,307
SYNW0444,SYNW0444,syw:SYNW0444,putative acylneuraminate cytidylyltransferase,K00983,,Putative acylneuraminate cytidylyltransferase,Q7U915,Putative acylneuraminate cytidylyltransferase (EC 2.7.7.43).,2.7.7.43,448496,448496..449197,233
SYNW0445,SYNW0445,syw:SYNW0445,putative nucleotide sugar epimerase,K01784,,Putative nucleotide sugar epimerase,Q7U914,Putative nucleotide sugar epimerase (EC 5.1.3.2).,5.1.3.2,449194,449194..450189,331
SYNW0446,SYNW0446,syw:SYNW0446,putative aminotransferase (degT family),,,putative aminotransferase (degT family),Q7U913,Putative aminotransferase (DegT family).,,450193,450193..451404,403
SYNW0447,SYNW0447,syw:SYNW0447,putative hexapeptide transferase family protein,,,putative hexapeptide transferase family protein,Q7U912,Putative hexapeptide transferase family protein.,,451401,451401..452000,199
SYNW0448,"neuB, spsE",syw:SYNW0448,putative N-acetylneuraminic acid synthetase,K01654,"neuB,spsE",putative N-acetylneuraminic acid synthetase,Q7U911,Putative N-acetylneuraminic acid synthetase (EC 4.1.3.-).,2.5.1.56,452006,452006..453007,333
SYNW0449,neuC,syw:SYNW0449,putative N-acetylglucosamine-6-phosphate 2-epimerase,,neuC,putative N-acetylglucosamine-6-phosphate 2-epimerase/N-acetyl...,Q7U910,Putative N-acetylglucosamine-6-phosphate 2-epimerase/N- acetylglucosamine-6-phosphatase (EC 5.1.3.-).,,453004,453004..454176,390
SYNW0450,SYNW0450,syw:SYNW0450,putative sugar-phosphate nucleotide transferase,,,putative sugar-phosphate nucleotide transferase,Q7U909,Putative sugar-phosphate nucleotide transferase.,,455312,455312..456370,352
SYNW0451,SYNW0451,syw:SYNW0451,putative O-acetyltransferase,,,putative O-acetyltransferase,Q7U908,Putative O-acetyltransferase (EC 2.3.1.-).,,456616,456616..456978,120
SYNW0452,SYNW0452,syw:SYNW0452,hypothetical protein,,,hypothetical,Q7U907,Hypothetical.,,456975,456975..457904,309
SYNW0453,SYNW0453,syw:SYNW0453,possible glycosyltransferase,,,Possible glycosyltransferase,Q7U906,Possible glycosyltransferase.,,457909,457909..458811,300
SYNW0454,SYNW0454,syw:SYNW0454,possible glycosyltransferase,,,Possible glycosyltransferase,Q7U905,Possible glycosyltransferase precursor.,,458804,458804..459688,294
SYNW0455,SYNW0455,syw:SYNW0455,possible glycosyltransferase,,,Possible glycosyltransferase,Q7U904,Possible glycosyltransferase precursor.,,459685,459685..460461,258
SYNW0456,SYNW0456,syw:SYNW0456,possible glycosyltransferase,,,Possible glycosyltransferase,Q7U903,Possible glycosyltransferase.,,460448,460448..461476,342
SYNW0457,SYNW0457,syw:SYNW0457,hypothetical protein,,,hypothetical,Q7U902,Hypothetical.,,461473,461473..462735,420
SYNW0458,SYNW0458,syw:SYNW0458,possible glycosyltransferase group I,,,possible glycosyltransferase group I,Q7U901,Possible glycosyltransferase group I.,,462728,462728..463843,371
SYNW0459,SYNW0459,syw:SYNW0459,possible UDP-glucose 4-epimerase,,,possible UDP-glucose 4-epimerase,Q7U900,Possible UDP-glucose 4-epimerase.,,463850,463850..464791,313
SYNW0460,SYNW0460,syw:SYNW0460,putative glycosyltransferase family 4 protein,,,Putative glycosyltransferase family 4 protein,Q7U8Z9,Putative glycosyltransferase family 4 protein (EC 2.4.1.-).,,464903,464903..465883,326
SYNW0461,SYNW0461,syw:SYNW0461,putative nucleotide sugar epimerase/dehydratase,,,Putative nucleotide sugar epimerase/dehydratase,Q7U8Z8,Putative nucleotide sugar epimerase/dehydratase.,,465880,465880..467796,638
SYNW0462,glnB,syw:SYNW0462,nitrogen regulatory protein P-II,K04752,glnB,nitrogen regulatory protein P-II,Q7U8Z7,Nitrogen regulatory protein P-II.,,467913,complement(467913..468251),112
SYNW0463,SYNW0463,syw:SYNW0463,conserved hypothetical protein,K09457,,conserved hypothetical protein,Q7U8Z6,NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.-) (NADPH- dependent nitrile oxidoreductase).,1.7.1.13,468385,468385..468786,133
SYNW0464,SYNW0464,syw:SYNW0464,hypothetical protein,,,hypothetical,Q7U8Z5,Hypothetical.,,468796,468796..469020,74
SYNW0465,SYNW0465,syw:SYNW0465,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8Z4,Hypothetical protein.,,469039,complement(469039..469521),160
SYNW0466,SYNW0466,syw:SYNW0466,hypothetical protein,,,hypothetical,Q7U8Z3,Hypothetical.,,469521,complement(469521..469892),123
SYNW0467,SYNW0467,syw:SYNW0467,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8Z2,Hypothetical protein.,,469906,complement(469906..470307),133
SYNW0468,SYNW0468,syw:SYNW0468,hypothetical protein,,,hypothetical,Q7U8Z1,Hypothetical.,,470304,complement(470304..470654),116
SYNW0469,SYNW0469,syw:SYNW0469,hypothetical protein,,,hypothetical,Q7U8Z0,Hypothetical.,,470651,complement(470651..471034),127
SYNW0470,SYNW0470,syw:SYNW0470,hypothetical protein,,,hypothetical,Q7U8Y9,Hypothetical.,,471021,complement(471021..471467),148
SYNW0471,ycf44,syw:SYNW0471,putative c-type cytochrome biogenesis protein Ccs1,K07399,ycf44,putative c-type cytochrome biogenesis protein Ccs1,Q7U8Y8,Putative c-type cytochrome biogenesis protein Ccs1.,,471846,complement(471846..473144),432
SYNW0472,ccdA,syw:SYNW0472,putative c-type cytochrome biogenesis protein CcdA,K06196,ccdA,putative c-type cytochrome biogenesis protein CcdA,Q7U8Y7,Putative c-type cytochrome biogenesis protein CcdA precursor.,,473149,complement(473149..473865),238
SYNW0473,SYNW0473,syw:SYNW0473,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8Y6,Hypothetical protein.,,473929,473929..474255,108
SYNW0474,SYNW0474,syw:SYNW0474,hypothetical protein,,,hypothetical,Q7U8Y5,Hypothetical.,,474352,474352..474654,100
SYNW0475,ftsW,syw:SYNW0475,cell division protein FtsW,K03588,ftsW,Cell division protein FtsW,Q7U8Y4,Cell division protein FtsW.,,474640,complement(474640..475887),415
SYNW0476,SYNW0476,syw:SYNW0476,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8Y3,Hypothetical protein.,,475956,complement(475956..476156),66
SYNW0477,SYNW0477,syw:SYNW0477,hypothetical protein,,,hypothetical,Q7U8Y2,Hypothetical.,,476306,476306..477241,311
SYNW0478,SYNW0478,syw:SYNW0478,possible glycosyltransferase,,,possible glycosyltransferase,Q7U8Y1,Possible glycosyltransferase.,,477752,477752..481420,1222
SYNW0479,SYNW0479,syw:SYNW0479,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8Y0,Hypothetical protein.,,481417,481417..482538,373
SYNW0480,SYNW0480,syw:SYNW0480,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8X9,Hypothetical protein.,,482543,482543..482950,135
SYNW0481,SYNW0481,syw:SYNW0481,conserved hypothetical protein,,,conserved hypothetical,Q7U8X8,Conserved hypothetical.,,482955,482955..483257,100
SYNW0482,SYNW0482,syw:SYNW0482,hemolysin-like protein,K06442,,hemolysin-like protein,Q7U8X7,Hemolysin-like protein.,,483260,483260..484075,271
SYNW0483,apcC,syw:SYNW0483,"phycobilisome small core linker polypeptide Lc, allophycocyanin-associated",K02094,apcC,"linker polypeptide, allophycocyanin-associated",Q7U8X6,"Linker polypeptide, allophycocyanin-associated.",,484135,complement(484135..484335),66
SYNW0484,apcB,syw:SYNW0484,allophycocyanin beta subunit,K02093,apcB,allophycocyanin beta chain,Q7U8X5,Allophycocyanin beta chain.,,484341,complement(484341..484829),162
SYNW0485,apcA,syw:SYNW0485,allophycocyanin alpha subunit,K02092,apcA,allophycocyanin alpha chain,Q7U8X4,Allophycocyanin alpha chain.,,484869,complement(484869..485354),161
SYNW0486,apcE,syw:SYNW0486,"phycobilisome core-membrane linker polypeptide Lcm, allophycocyanin-associated",K02096,apcE,anchor polypeptide LCM,Q7U8X3,Anchor polypeptide LCM.,,485764,complement(485764..488655),963
SYNW0487,SYNW0487,syw:SYNW0487,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8X2,Hypothetical protein.,,488762,488762..489931,389
SYNW0488,"atp1, atpI",syw:SYNW0488,possible ATP synthase protein 1,K02116,"atp1,atpI",possible ATP synthase protein 1,Q7U8X1,Possible ATP synthase protein 1 precursor.,,489978,489978..490316,112
SYNW0489,atpI,syw:SYNW0489,ATP synthase a chain of Fo,K02108,atpI,ATP synthase subunit A,Q7U8X0,ATP synthase subunit A (EC 3.6.3.14).,3.6.3.14,490341,490341..491066,241
SYNW0490,atpH,syw:SYNW0490,ATP synthase c chain of Fo,K02110,atpH,ATP synthase subunit c,Q7U8W9,ATP synthase subunit c precursor (EC 3.6.3.14).,3.6.3.14,491237,491237..491485,82
SYNW0491,atpG,syw:SYNW0491,putative ATP synthase subunit B',K02109,atpG,putative ATP synthase subunit B',Q7U8W8,Putative ATP synthase subunit B' (EC 3.6.3.14).,3.6.3.14,491554,491554..492018,154
SYNW0492,atpF,syw:SYNW0492,putative ATP synthase B chain,K02109,atpF,putative ATP synthase B chain,Q7U8W7,Putative ATP synthase B chain (EC 3.6.3.14).,3.6.3.14,492018,492018..492500,160
SYNW0493,atpD,syw:SYNW0493,ATP synthase delta chain of F1,K02113,atpD,putative ATP synthase delta chain,Q7U8W6,Putative ATP synthase delta chain (EC 3.6.3.14).,3.6.3.14,492500,492500..493048,182
SYNW0494,atpA,syw:SYNW0494,ATP synthase alpha chain of F1,K02111,atpA,ATP synthase subunit alpha,Q7U8W5,ATP synthase subunit alpha (EC 3.6.3.14) (ATPase subunit alpha) (ATP synthase F1 sector subunit alpha).,3.6.3.14,493106,493106..494626,506
SYNW0495,atpC,syw:SYNW0495,ATP synthase subunit gamma,K02115,atpC,ATP synthase subunit gamma,Q7U8W4,ATP synthase gamma chain (EC 3.6.3.14) (ATP synthase F1 sector gamma subunit).,3.6.3.14,494640,494640..495590,316
SYNW0496,SYNW0496,syw:SYNW0496,hypothetical protein,,,hypothetical,Q7U8W3,Hypothetical.,,495648,495648..496355,235
SYNW0497,petF1,syw:SYNW0497,ferredoxin,K02639,petF1,Ferredoxin,Q7U8W2,Ferredoxin.,,496389,496389..496718,109
SYNW0498,SYNW0498,syw:SYNW0498,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8W1,Hypothetical protein.,,496715,496715..496900,61
SYNW0499,SYNW0499,syw:SYNW0499,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8W0,Hypothetical protein.,,496897,496897..497943,348
SYNW0500,SYNW0500,syw:SYNW0500,conserved hypothetical protein,K09858,,conserved hypothetical protein,Q7U8V9,Hypothetical protein.,,497943,497943..498350,135
SYNW0501,ald,syw:SYNW0501,alanine dehydrogenase,K00259,ald,alanine dehydrogenase,Q7U8V8,Alanine dehydrogenase (EC 1.4.1.1).,1.4.1.1,498405,complement(498405..499544),379
SYNW0502,nadE,syw:SYNW0502,putative glutamine dependent NAD(+) synthetase,K01950,nadE,putative glutamine dependent NAD(+) synthetase,Q7U8V7,Putative glutamine dependent NAD(+) synthetase (EC 6.3.5.1).,6.3.5.1,499565,complement(499565..501271),568
SYNW0503,SYNW0503,syw:SYNW0503,putative nicotinate-nucleotide adenylyltransferase,K00969,,Putative nicotinate-nucleotide adenylyltransferase,Q7U8V6,Putative nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18).,2.7.7.18,501271,complement(501271..501846),191
SYNW0504,SYNW0504,syw:SYNW0504,possible GTPase,K06883,,possible GTPase,Q7U8V5,Possible GTPase.,,501852,complement(501852..503147),431
SYNW0505,SYNW0505,syw:SYNW0505,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8V4,Hypothetical protein precursor.,,503144,complement(503144..504142),332
SYNW0506,pepP,syw:SYNW0506,putative aminopeptidase P,K01262,pepP,putative aminopeptidase P,Q7U8V3,Putative aminopeptidase P (EC 3.4.11.9).,3.4.11.9,504230,504230..505558,442
SYNW0507,SYNW0507,syw:SYNW0507,putative CaCA family calcium/proton exchanger,K07300,,putative CaCA family calcium/proton exchanger,Q7U8V2,Putative CaCA family calcium/proton exchanger.,,505555,complement(505555..506466),303
SYNW0508,SYNW0508,syw:SYNW0508,hypothetical protein,,,hypothetical,Q7U8V1,Hypothetical.,,506476,complement(506476..506712),78
SYNW0509,hisB,syw:SYNW0509,putative imidazoleglycerol-phosphate dehydratase,K11777,hisB,putative imidazoleglycerol-phosphate dehydratase,Q7U8V0,Putative imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19).,,506709,complement(506709..507458),249
SYNW0510,SYNW0510,syw:SYNW0510,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8U9,Hypothetical protein.,,507521,507521..508057,178
SYNW0511,atpE,syw:SYNW0511,putative ATP synthase epsilon subunit,K02114,atpE,putative ATP synthase epsilon subunit,Q7U8U8,ATP synthase epsilon chain (EC 3.6.3.14) (ATP synthase F1 sector epsilon subunit).,3.6.3.14,508170,complement(508170..508580),136
SYNW0512,atpB,syw:SYNW0512,ATP synthase beta chain of F1,K02112,atpB,ATP synthase beta subunit,Q7U8U7,ATP synthase beta subunit (EC 3.6.3.14).,3.6.3.14,508655,complement(508655..510118),487
SYNW0513,groES,syw:SYNW0513,GroES chaperonin,K04078,groES,GroES chaperonin,Q7TTX2,10 kDa chaperonin (Protein Cpn10) (groES protein).,,510337,510337..510648,103
SYNW0514,groEL,syw:SYNW0514,GroEL chaperonin,K04077,groEL,GroEL chaperonin,Q7TTX1,60 kDa chaperonin 1 (Protein Cpn60 1) (groEL protein 1).,,510706,510706..512340,544
SYNW0515,SYNW0515,syw:SYNW0515,hypothetical protein,,,hypothetical,Q7U8U6,Hypothetical.,,512575,512575..513234,219
SYNW0516,SYNW0516,syw:SYNW0516,hypothetical protein,,,hypothetical,Q7U8U5,Hypothetical.,,513255,513255..514262,335
SYNW0517,SYNW0517,syw:SYNW0517,hypothetical protein,,,hypothetical,Q7U8U4,Hypothetical.,,514274,complement(514274..515290),338
SYNW0518,SYNW0518,syw:SYNW0518,conserved hypothetical protein,K03075,,conserved hypothetical protein,Q7U8U3,Hypothetical protein precursor.,,515384,complement(515384..515614),76
SYNW0519,pgmI,syw:SYNW0519,"phosphoglycerate mutase, co-factor-independent (iPGM)",K01834,pgmI,"Phosphoglycerate mutase, co-factor-independent (iPGM)",Q7U8U2,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1) (Phosphoglyceromutase) (BPG-independent PGAM) (iPGM).",5.4.2.1,515614,complement(515614..517245),543
SYNW0520,pyrR,syw:SYNW0520,possible pyrimidine operon regulatory protein PyrR/uracil phosphoribosyltransferase,K02825,pyrR,possible pyrimidine operon regulatory protein PyrR/uracil phosphoribosyltransferase,Q7U8U1,Possible pyrimidine operon regulatory protein PyrR/uracil phosphoribosyltransferase.,2.4.2.9,517136,517136..517912,258
SYNW0521,ftrV,syw:SYNW0521,"putative ferredoxin-thioredoxin reductase, variable chain",,ftrV,"putative ferredoxin-thioredoxin reductase, variable chain",Q7U8U0,"Putative ferredoxin-thioredoxin reductase, variable chain.",,517896,complement(517896..518117),73
SYNW0522,SYNW0522,syw:SYNW0522,hypothetical protein,,,hypothetical,Q7U8T9,Hypothetical precursor.,,518148,complement(518148..518993),281
SYNW0523,SYNW0523,syw:SYNW0523,putative DnaK-type molecular chaperone (HSP70 family),,,putative DnaK-type molecular chaperone (HSP70 family),Q7U8T8,Putative DnaK-type molecular chaperone (HSP70 family).,,519065,complement(519065..520660),531
SYNW0524,SYNW0524,syw:SYNW0524,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8T7,Hypothetical protein.,,520723,520723..521007,94
SYNW0525,rpoZ,syw:SYNW0525,putative DNA-directed RNA polymerase (omega chain),K03060,rpoZ,putative DNA-directed RNA polymerase (omega chain),Q7U8T6,DNA-directed RNA polymerase omega chain (EC 2.7.7.6) (RNAP omega subunit) (Transcriptase omega chain) (RNA polymerase omega subunit).,2.7.7.6,521047,521047..521274,75
SYNW0526,SYNW0526,syw:SYNW0526,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8T5,Hypothetical protein.,,521288,521288..521671,127
SYNW0527,SYNW0527,syw:SYNW0527,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8T4,Hypothetical protein.,,521972,521972..522220,82
SYNW0528,SYNW0528,syw:SYNW0528,hypothetical protein,,,hypothetical,Q7U8T3,Hypothetical.,,522172,complement(522172..522456),94
SYNW0529,SYNW0529,syw:SYNW0529,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8T2,Hypothetical protein.,,522750,complement(522750..523196),148
SYNW0530,murD,syw:SYNW0530,UDP-N-acetylmuramoylalanine--D-glutamate ligase,K01925,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,Q7U8T1,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (UDP-N- acetylmuramoyl-L-alanyl-D-glutamate synthetase) (D-glutamic acid- adding enzyme).,6.3.2.9,523287,complement(523287..524675),462
RNA_11,RNA_11,syw:RNA_11,tRNA-Val,,,,,,,524800,complement(524800..524871),
SYNW0531,SYNW0531,syw:SYNW0531,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8T0,Hypothetical protein.,,524944,complement(524944..525819),291
SYNW0532,SYNW0532,syw:SYNW0532,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8S9,Hypothetical protein.,,525720,complement(525720..526220),166
SYNW0533,serA,syw:SYNW0533,putative D-3-phosphoglycerate dehydrogenase (PGDH),K00058,serA,putative D-3-phosphoglycerate dehydrogenase (PGDH),Q7U8S8,Putative D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95).,1.1.1.95,526323,526323..527909,528
SYNW0534,prmA,syw:SYNW0534,putative methyltransferase for ribosomal protein L11,K02687,prmA,putative methyltransferase for Ribosomal protein L11,Q7TTX0,Ribosomal protein L11 methyltransferase (EC 2.1.1.-) (L11 Mtase).,2.1.1.-,527927,527927..528796,289
SYNW0535,petF4,syw:SYNW0535,ferredoxin,K02639,petF4,Ferredoxin,Q7U8S7,Ferredoxin.,,528955,528955..529254,99
SYNW0536,SYNW0536,syw:SYNW0536,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8S6,Hypothetical protein.,,529301,529301..529786,161
SYNW0537,psbV,syw:SYNW0537,cytochrome c-550,K02720,psbV,Cytochrome c-550,Q7U8S5,Cytochrome c-550 precursor.,,529796,complement(529796..530341),181
SYNW0538,SYNW0538,syw:SYNW0538,conserved hypothetical protein,K00784,,conserved hypothetical protein,Q7U8S4,Ribonuclease Z (EC 3.1.26.11) (RNase Z) (tRNase Z) (tRNA 3 endonuclease).,3.1.26.11,530383,complement(530383..531342),319
SYNW0539,SYNW0539,syw:SYNW0539,similar to stage II sporulation protein D,K06381,,similar to stage II sporulation protein D,Q7U8S3,Similar to stage II sporulation protein D precursor.,,531424,531424..532752,442
SYNW0540,nagB,syw:SYNW0540,putative N-acetylglucosamine-6-phosphate isomerase,K02564,nagB,putative N-acetylglucosamine-6-phosphate isomerase,Q7U8S2,Putative N-acetylglucosamine-6-phosphate isomerase (EC 3.5.99.6).,3.5.99.6,532808,532808..533548,246
SYNW0541,SYNW0541,syw:SYNW0541,hypothetical protein,,,hypothetical,Q7U8S1,Hypothetical.,,533570,533570..533833,87
SYNW0542,SYNW0542,syw:SYNW0542,hypothetical protein,,,hypothetical,Q7U8S0,Hypothetical.,,533850,complement(533850..534023),57
SYNW0543,SYNW0543,syw:SYNW0543,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8R9,UPF0082 protein SYNW0543.,,534135,complement(534135..534887),250
SYNW0544,truB,syw:SYNW0544,putative tRNA pseudouridine 55 synthase,K03177,truB,putative tRNA pseudouridine 55 synthase,P59884,tRNA pseudouridine synthase B (EC 5.4.99.-) (tRNA pseudouridine 55 synthase) (Psi55 synthase) (tRNA-uridine isomerase) (tRNA pseudouridylate synthase).,5.4.99.12,534926,complement(534926..535801),291
SYNW0545,SYNW0545,syw:SYNW0545,conserved hypothetical protein,,,conserved hypothetical,Q7U8R8,Conserved hypothetical.,,535857,535857..536612,251
SYNW0546,"rpl27, rpmA",syw:SYNW0546,50S ribosomal protein L27,K02899,"rpl27,rpmA",50S ribosomal protein L27,Q7U8R7,50S ribosomal protein L27.,,536682,complement(536682..536948),88
SYNW0547,"rpl21, rplU",syw:SYNW0547,50S ribosomal protein L21,K02888,"rpl21,rplU",50S ribosomal protein L21,Q7U8R6,50S ribosomal protein L21.,,536993,complement(536993..537406),137
SYNW0548,kaiA,syw:SYNW0548,possible circadian clock protein KaiA [UI:98397326],K08480,kaiA,possible circadian clock protein KaiA [UI:98397326],Q7U8R5,Circadian clock protein kaiA.,,537537,537537..538427,296
SYNW0549,kaiB,syw:SYNW0549,possible circadian oscillation regulator KaiB,K08481,kaiB,possible circadian oscillation regulator KaiB,Q7U8R4,Circadian clock protein kaiB.,,538424,538424..538738,104
SYNW0550,kaiC,syw:SYNW0550,possible circadian clock protein KaiC [UI:98397326],K08482,kaiC,possible circadian clock protein KaiC [UI:98397326],Q7U8R3,Circadian clock protein kinase kaiC (EC 2.7.11.1).,,538865,538865..540403,512
SYNW0551,"hik33, chk33, ycf26, dspA, nblS, dfr",syw:SYNW0551,"two-component system histidine kinase, multi-signal sensor",K07769,nblS,two-component sensor histidine kinase,Q7U8R2,Two-component sensor histidine kinase (EC 2.7.3.-).,2.7.13.3,540400,complement(540400..542442),680
SYNW0552,purD,syw:SYNW0552,phosphoribosylglycinamide synthetase,K01945,purD,phosphoribosylglycinamide synthetase,Q7U8R1,Phosphoribosylglycinamide synthetase (EC 6.3.4.13).,6.3.4.13,542439,complement(542439..543746),435
SYNW0553,SYNW0553,syw:SYNW0553,conserved hypothetical protein,,,conserved hypothetical,Q7U8R0,Conserved hypothetical precursor.,,543805,543805..544683,292
SYNW0554,purC,syw:SYNW0554,SAICAR synthetase,K01923,purC,SAICAR synthetase,Q7U8Q9,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase).,6.3.2.6,544680,544680..545432,250
SYNW0555,SYNW0555,syw:SYNW0555,chloroplast outer envelope membrane protein homolog,K07277,,chloroplast outer envelope membrane protein homolog,Q7U8Q8,Chloroplast outer envelope membrane protein homolog precursor.,,545475,545475..547652,725
SYNW0556,lpxC,syw:SYNW0556,UDP-3-0-acyl N-acetylglucosamine deacetylase,K02535,lpxC,UDP-3-0-acyl N-acetylglucosamine deacetylase,Q7U8Q7,UDP-3-0-acyl N-acetylglucosamine deacetylase (EC 3.5.1.-).,3.5.1.-,547652,547652..548479,275
SYNW0557,fabZ,syw:SYNW0557,(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase,K02372,fabZ,(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase,Q7U8Q6,dehydratase (EC 4.2.1.-) ((3R)-hydroxymyristoyl ACP dehydrase).,4.2.1.-,548476,548476..548946,156
SYNW0558,lpxA,syw:SYNW0558,UDP-N-acetylglucosamine acyltransferase,K00677,lpxA,UDP-N-acetylglucosamine acyltransferase,Q7U8Q5,UDP-N-acetylglucosamine acyltransferase (EC 2.3.1.129).,2.3.1.129,548952,548952..549779,275
SYNW0559,lpxB,syw:SYNW0559,lipid-A-disaccharide synthetase,K00748,lpxB,Lipid-A-disaccharide synthetase,Q7U8Q4,Lipid-A-disaccharide synthetase precursor (EC 2.4.1.182).,2.4.1.182,549779,549779..550960,393
SYNW0560,msrA,syw:SYNW0560,peptide methionine sulfoxide reductase MsrA,K07304,msrA,peptide methionine sulfoxide reductase MsrA,Q7U8Q3,Peptide methionine sulfoxide reductase MsrA precursor (EC 1.8.4.6).,1.8.4.11,550957,550957..551598,213
SYNW0561,SYNW0561,syw:SYNW0561,hypothetical protein,,,hypothetical,Q7U8Q2,Hypothetical.,,551932,complement(551932..552174),80
SYNW0562,SYNW0562,syw:SYNW0562,leucine aminopeptidase,K01255,,Leucine aminopeptidase,Q7U8Q1,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (Leucyl aminopeptidase).,3.4.11.1,552171,complement(552171..553634),487
SYNW0563,SYNW0563,syw:SYNW0563,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8Q0,Hypothetical protein.,,553838,complement(553838..554410),190
SYNW0564,SYNW0564,syw:SYNW0564,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8P9,Hypothetical protein.,,554410,complement(554410..554964),184
SYNW0565,SYNW0565,syw:SYNW0565,hypothetical protein,,,hypothetical,Q7U8P8,Hypothetical precursor.,,554964,complement(554964..555359),131
SYNW0566,SYNW0566,syw:SYNW0566,possible two-component response regulator,,,possible two-component response regulator,Q7U8P7,Possible two-component response regulator precursor.,,555356,complement(555356..556060),234
SYNW0567,SYNW0567,syw:SYNW0567,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8P6,Hypothetical protein.,,556197,556197..556526,109
SYNW0568,tyrS,syw:SYNW0568,"t-RNA synthetase, class Ib:tyrosyl-tRNA synthetase",K01866,tyrS,"t-RNA synthetase, class Ib:Tyrosyl-tRNA synthetase",Q7TTW9,Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase) (TyrRS).,6.1.1.1,556583,556583..557830,415
SYNW0569,SYNW0569,syw:SYNW0569,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8P5,Hypothetical protein.,,557820,complement(557820..558230),136
SYNW0570,SYNW0570,syw:SYNW0570,conserved hypothetical protein,,,conserved hypothetical protein,Q7U8P4,Hypothetical protein.,,558230,complement(558230..558457),75
