gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags
ACZ81_RS01500,,ACZ81_RS01500,ACZ81_01510,Protein Homology,333777,335105,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975370.1,IS4 family transposase,WP_061439181.1,GO:0004803,,transposase activity|0004803||IEA,,,ACZ81_01510
ACZ81_RS01505,,ACZ81_RS01505,ACZ81_01515,Protein Homology,335245,337503,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947951.1,TonB-dependent receptor,WP_061439183.1,"GO:0055085,GO:0009279",cell outer membrane|0009279||IEA,,transmembrane transport|0055085||IEA,,ACZ81_01515
ACZ81_RS01510,,ACZ81_RS01510,ACZ81_01520,Protein Homology,337810,338844,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947952.1,LacI family DNA-binding transcriptional regulator,WP_014947952.1,"GO:0006355,GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",regulation of DNA-templated transcription|0006355||IEA,,ACZ81_01520
ACZ81_RS01515,,ACZ81_RS01515,ACZ81_01525,Protein Homology,339012,340250,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997042.1,MFS transporter,WP_232375982.1,"GO:0055085,GO:0022857",,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,,ACZ81_01525
ACZ81_RS01520,,ACZ81_RS01520,ACZ81_01530,Protein Homology,340253,341776,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978066.1,trehalase family glycosidase,WP_061439188.1,"GO:0005991,GO:0004555",,alpha%2Calpha-trehalase activity|0004555||IEA,trehalose metabolic process|0005991||IEA,,ACZ81_01530
ACZ81_RS01525,,ACZ81_RS01525,ACZ81_01535,Protein Homology,341848,343647,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978067.1,GGDEF domain-containing protein,WP_014978067.1,"GO:0005525,GO:0046872,GO:0052621,GO:0005886",plasma membrane|0005886||IEA,"GTP binding|0005525||IEA,metal ion binding|0046872||IEA,diguanylate cyclase activity|0052621||IEA",,,ACZ81_01535
ACZ81_RS01530,,ACZ81_RS01530,ACZ81_01540,Protein Homology,343807,344700,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978068.1,DMT family transporter,WP_014978068.1,"GO:0055085,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,,ACZ81_01540
ACZ81_RS01535,,ACZ81_RS01535,ACZ81_01545,Protein Homology,344982,345500,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975431.1,HAD family hydrolase,WP_014978069.1,GO:0016787,,hydrolase activity|0016787||IEA,,,ACZ81_01545
ACZ81_RS21190,,ACZ81_RS21190,ACZ81_RS21190,GeneMarkS-2+,345497,345655,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_014978070.1,,,,,,
ACZ81_RS01540,,ACZ81_RS01540,ACZ81_01550,Protein Homology,345736,349605,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066059.1,ATP-binding protein,WP_232375984.1,,,,,,ACZ81_01550
ACZ81_RS01545,,ACZ81_RS01545,ACZ81_01555,Protein Homology,349624,349947,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516938.1,DUF3392 family protein,WP_014947959.1,,,,,,ACZ81_01555
ACZ81_RS01550,,ACZ81_RS01550,ACZ81_01560,Protein Homology,350012,350950,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947960.1,sugar phosphate isomerase/epimerase family protein,WP_061439192.1,"GO:0003824,GO:0016853",,"catalytic activity|0003824||IEA,isomerase activity|0016853||IEA",,,ACZ81_01560
ACZ81_RS01555,,ACZ81_RS01555,ACZ81_01565,Protein Homology,351005,352009,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997050.1,LacI family DNA-binding transcriptional regulator,WP_012516940.1,"GO:0006355,GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",regulation of DNA-templated transcription|0006355||IEA,,ACZ81_01565
ACZ81_RS01560,,ACZ81_RS01560,ACZ81_01570,Protein Homology,352386,353540,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516941.1,Gfo/Idh/MocA family protein,WP_061439194.1,"GO:0000166,GO:0003824",,"nucleotide binding|0000166||IEA,catalytic activity|0003824||IEA",,,ACZ81_01570
ACZ81_RS01565,,ACZ81_RS01565,ACZ81_01575,Protein Homology,353577,354644,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066063.1,sugar phosphate isomerase/epimerase family protein,WP_061439195.1,"GO:0003824,GO:0016853",,"catalytic activity|0003824||IEA,isomerase activity|0016853||IEA",,,ACZ81_01575
ACZ81_RS01570,,ACZ81_RS01570,ACZ81_01580,Protein Homology,354671,355888,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975436.1,nucleoside permease,WP_061439197.1,"GO:0015858,GO:0055085,GO:0015506,GO:0022857",,"nucleoside:proton symporter activity|0015506||IEA,transmembrane transporter activity|0022857||IEA","nucleoside transport|0015858||IEA,transmembrane transport|0055085||IEA",,ACZ81_01580
ACZ81_RS01575,,ACZ81_RS01575,ACZ81_01585,Protein Homology,355881,356810,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066065.1,hydroxypyruvate isomerase family protein,WP_061439199.1,"GO:0016853,GO:0046872",,"isomerase activity|0016853||IEA,metal ion binding|0046872||IEA",,,ACZ81_01585
ACZ81_RS01580,,ACZ81_RS01580,ACZ81_01590,Protein Homology,356855,358540,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516945.1,GMC oxidoreductase,WP_014947965.1,GO:0016614,,oxidoreductase activity%2C acting on CH-OH group of donors|0016614||IEA,,,ACZ81_01590
ACZ81_RS01585,,ACZ81_RS01585,ACZ81_01595,Protein Homology,358540,359157,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947966.1,gluconate 2-dehydrogenase subunit 3 family protein,WP_014947966.1,"GO:0008873,GO:0008875",,"gluconate 2-dehydrogenase activity|0008873||IEA,gluconate dehydrogenase activity|0008875||IEA",,,ACZ81_01595
ACZ81_RS01590,,ACZ81_RS01590,ACZ81_01600,Protein Homology,359223,359990,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997057.1,3-keto-disaccharide hydrolase,WP_061486901.1,GO:0016787,,hydrolase activity|0016787||IEA,,,ACZ81_01600
ACZ81_RS01595,,ACZ81_RS01595,ACZ81_01605,Protein Homology,359987,361135,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975440.1,iron-containing alcohol dehydrogenase,WP_061439201.1,"GO:0016491,GO:0030554,GO:0046872",,"oxidoreductase activity|0016491||IEA,adenyl nucleotide binding|0030554||IEA,metal ion binding|0046872||IEA",,,ACZ81_01605
ACZ81_RS01625,,ACZ81_RS01625,ACZ81_01635,Protein Homology,367339,368340,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978082.1,branched-chain amino acid aminotransferase,WP_061439204.1,"GO:0009081,GO:0004084",,branched-chain-amino-acid transaminase activity|0004084||IEA,branched-chain amino acid metabolic process|0009081||IEA,,ACZ81_01635
gpmA,gpmA,ACZ81_RS01630,ACZ81_01640,Protein Homology,368407,369153,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013785739.1,2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase,WP_014947970.1,"GO:0006096,GO:0004619",,phosphoglycerate mutase activity|0004619||IEA,glycolytic process|0006096||IEA,,ACZ81_01640
ACZ81_RS01635,,ACZ81_RS01635,ACZ81_01645,Protein Homology,369332,369793,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947971.1,cupin domain-containing protein,WP_039225136.1,GO:0046872,,metal ion binding|0046872||IEA,,,ACZ81_01645
acnA,acnA,ACZ81_RS01640,ACZ81_01650,Protein Homology,370244,372961,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516954.1,aconitate hydratase AcnA,WP_061439205.1,"GO:0006099,GO:0003994",,aconitate hydratase activity|0003994||IEA,tricarboxylic acid cycle|0006099||IEA,,ACZ81_01650
ACZ81_RS01645,,ACZ81_RS01645,ACZ81_01655,Protein Homology,373023,373517,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947973.1,sel1 repeat family protein,WP_014947973.1,,,,,,ACZ81_01655
ACZ81_RS01650,,ACZ81_RS01650,ACZ81_01660,Protein Homology,373628,375886,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947974.1,GspE/PulE family protein,WP_416022471.1,,,,,,ACZ81_01660
rpsJ,rpsJ,ACZ81_RS01655,ACZ81_01665,Protein Homology,376275,376586,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014268624.1,30S ribosomal protein S10,WP_010179497.1,"GO:0006412,GO:0003723,GO:0003735,GO:0005840",ribosome|0005840||IEA,"RNA binding|0003723||IEA,structural constituent of ribosome|0003735||IEA",translation|0006412||IEA,,ACZ81_01665
rplC,rplC,ACZ81_RS01660,ACZ81_01670,Protein Homology,376605,377243,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011326865.1,50S ribosomal protein L3,WP_014947975.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ACZ81_01670
rplD,rplD,ACZ81_RS01665,ACZ81_01675,Protein Homology,377262,377867,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_010179500.1,50S ribosomal protein L4,WP_012516958.1,"GO:0006412,GO:0003735,GO:0022625",cytosolic large ribosomal subunit|0022625||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ACZ81_01675
rplW,rplW,ACZ81_RS01670,ACZ81_01680,Protein Homology,377864,378163,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516959.1,50S ribosomal protein L23,WP_012516959.1,,,,,,ACZ81_01680
rplB,rplB,ACZ81_RS01675,ACZ81_01685,Protein Homology,378178,379002,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_005417230.1,50S ribosomal protein L2,WP_061439206.1,"GO:0006412,GO:0003723,GO:0003735,GO:0016740,GO:0015934",large ribosomal subunit|0015934||IEA,"RNA binding|0003723||IEA,structural constituent of ribosome|0003735||IEA,transferase activity|0016740||IEA",translation|0006412||IEA,,ACZ81_01685
rpsS,rpsS,ACZ81_RS01680,ACZ81_01690,Protein Homology,379018,379293,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013789761.1,30S ribosomal protein S19,WP_012516961.1,"GO:0006412,GO:0003735,GO:0015935",small ribosomal subunit|0015935||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ACZ81_01690
rplV,rplV,ACZ81_RS01685,ACZ81_01695,Protein Homology,379305,379637,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516962.1,50S ribosomal protein L22,WP_014947977.1,"GO:0006412,GO:0003735,GO:0015934",large ribosomal subunit|0015934||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ACZ81_01695
rpsC,rpsC,ACZ81_RS01690,ACZ81_01700,Protein Homology,379647,380351,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006992674.1,30S ribosomal protein S3,WP_014947978.1,"GO:0006412,GO:0003735",,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ACZ81_01700
rplP,rplP,ACZ81_RS01695,ACZ81_01705,Protein Homology,380354,380764,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012144643.1,50S ribosomal protein L16,WP_014947979.1,"GO:0006412,GO:0003735,GO:0019843",,"structural constituent of ribosome|0003735||IEA,rRNA binding|0019843||IEA",translation|0006412||IEA,,ACZ81_01705
rpmC,rpmC,ACZ81_RS01700,ACZ81_01710,Protein Homology,380764,380955,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011494642.1,50S ribosomal protein L29,WP_014947980.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ACZ81_01710
rpsQ,rpsQ,ACZ81_RS01705,ACZ81_01715,Protein Homology,380955,381212,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516966.1,30S ribosomal protein S17,WP_014975444.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ACZ81_01715
ACZ81_RS01710,,ACZ81_RS01710,ACZ81_01720,Protein Homology,381297,382406,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975445.1,glycosyltransferase family 4 protein,WP_014975445.1,"GO:0006486,GO:0016757",,glycosyltransferase activity|0016757||IEA,protein glycosylation|0006486||IEA,,ACZ81_01720
ACZ81_RS01715,,ACZ81_RS01715,ACZ81_01725,Protein Homology,382803,384113,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947983.1,3-deoxy-D-manno-octulosonic acid transferase,WP_014975446.1,GO:0016740,,transferase activity|0016740||IEA,,,ACZ81_01725
ACZ81_RS01720,,ACZ81_RS01720,ACZ81_01730,Protein Homology,384414,386225,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975447.1,cation:proton antiporter,WP_061439208.1,"GO:0006812,GO:1902600,GO:0015078,GO:0015297,GO:0016020",membrane|0016020||IEA,"proton transmembrane transporter activity|0015078||IEA,antiporter activity|0015297||IEA","monoatomic cation transport|0006812||IEA,proton transmembrane transport|1902600||IEA",,ACZ81_01730
ACZ81_RS01725,,ACZ81_RS01725,ACZ81_01735,Protein Homology,386436,387287,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978089.1,hypothetical protein,WP_014975448.1,,,,,,ACZ81_01735
ACZ81_RS01730,,ACZ81_RS01730,ACZ81_01740,Protein Homology,387546,388133,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978090.1,hypothetical protein,WP_061439209.1,,,,,,ACZ81_01740
ACZ81_RS01735,,ACZ81_RS01735,ACZ81_01745,Protein Homology,388194,390104,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978091.1,methyl-accepting chemotaxis protein,WP_061439211.1,,,,,,ACZ81_01745
ACZ81_RS01740,,ACZ81_RS01740,ACZ81_01750,Protein Homology,390513,392702,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975450.1,M3 family metallopeptidase,WP_061439213.1,"GO:0006508,GO:0004222,GO:0008270",,"metalloendopeptidase activity|0004222||IEA,zinc ion binding|0008270||IEA",proteolysis|0006508||IEA,,ACZ81_01750
ACZ81_RS01745,,ACZ81_RS01745,ACZ81_01755,Protein Homology,392772,392957,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975451.1,hypothetical protein,WP_014975451.1,,,,,,ACZ81_01755
ACZ81_RS01750,,ACZ81_RS01750,ACZ81_01760,Protein Homology,392956,393474,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997074.1,YgjV family protein,WP_014975452.1,,,,,,ACZ81_01760
ACZ81_RS01755,,ACZ81_RS01755,ACZ81_01765,Protein Homology,393623,394063,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978093.1,hypothetical protein,WP_014975453.1,,,,,,ACZ81_01765
purU,purU,ACZ81_RS01760,ACZ81_01770,Protein Homology,394142,394996,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066080.1,formyltetrahydrofolate deformylase,WP_014975454.1,"GO:0006189,GO:0008864",,formyltetrahydrofolate deformylase activity|0008864||IEA,'de novo' IMP biosynthetic process|0006189||IEA,,ACZ81_01770
thpR,thpR,ACZ81_RS01765,ACZ81_01775,Protein Homology,395182,395835,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947993.1,RNA 2'%2C3'-cyclic phosphodiesterase,WP_014975455.1,"GO:0008033,GO:0008664",,RNA 2'%2C3'-cyclic 3'-phosphodiesterase activity|0008664||IEA,tRNA processing|0008033||IEA,,ACZ81_01775
hrpB,hrpB,ACZ81_RS01770,ACZ81_01780,Protein Homology,395992,398688,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975456.1,ATP-dependent helicase HrpB,WP_014975456.1,GO:0004386,,helicase activity|0004386||IEA,,,ACZ81_01780
ACZ81_RS01775,,ACZ81_RS01775,ACZ81_01785,Protein Homology,398883,399707,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975457.1,DUF4198 domain-containing protein,WP_014975457.1,,,,,,ACZ81_01785
ACZ81_RS01780,,ACZ81_RS01780,ACZ81_01790,Protein Homology,399784,401067,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978097.1,lytic murein transglycosylase,WP_014975458.1,"GO:0008933,GO:0042834",,"peptidoglycan lytic transglycosylase activity|0008933||IEA,peptidoglycan binding|0042834||IEA",,,ACZ81_01790
mrcB,mrcB,ACZ81_RS01785,ACZ81_01795,Protein Homology,401335,403686,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947997.1,penicillin-binding protein 1B,WP_014975459.1,"GO:0009252,GO:0046677,GO:0008233,GO:0008658,GO:0008955,GO:0009274",peptidoglycan-based cell wall|0009274||IEA,"peptidase activity|0008233||IEA,penicillin binding|0008658||IEA,peptidoglycan glycosyltransferase activity|0008955||IEA","peptidoglycan biosynthetic process|0009252||IEA,response to antibiotic|0046677||IEA",,ACZ81_01795
ACZ81_RS01790,,ACZ81_RS01790,ACZ81_01800,Protein Homology,403954,404238,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947999.1,hypothetical protein,WP_014975460.1,,,,,,ACZ81_01800
ACZ81_RS01795,,ACZ81_RS01795,ACZ81_01805,Protein Homology,404611,405534,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975461.1,DUF808 domain-containing protein,WP_014975461.1,,,,,,ACZ81_01805
ACZ81_RS01800,,ACZ81_RS01800,ACZ81_01810,Protein Homology,405746,407389,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948001.1,endonuclease,WP_014975462.1,GO:0004518,,nuclease activity|0004518||IEA,,,ACZ81_01810
ACZ81_RS01805,,ACZ81_RS01805,ACZ81_01815,Protein Homology,407618,408337,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975463.1,AraC family transcriptional regulator,WP_014975463.1,"GO:0006355,GO:0003700,GO:0043565",,"DNA-binding transcription factor activity|0003700||IEA,sequence-specific DNA binding|0043565||IEA",regulation of DNA-templated transcription|0006355||IEA,,ACZ81_01815
ACZ81_RS01810,,ACZ81_RS01810,ACZ81_01820,Protein Homology,408387,409241,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975464.1,hypothetical protein,WP_014975464.1,,,,,,ACZ81_01820
glnK,glnK,ACZ81_RS01815,ACZ81_01825,Protein Homology,409484,409822,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006992692.1,P-II family nitrogen regulator,WP_012516988.1,"GO:0006808,GO:0030234",,enzyme regulator activity|0030234||IEA,regulation of nitrogen utilization|0006808||IEA,,ACZ81_01825
ACZ81_RS01820,,ACZ81_RS01820,ACZ81_01830,Protein Homology,409855,411102,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997086.1,ammonium transporter,WP_014948004.1,,,,,,ACZ81_01830
ggt,ggt,ACZ81_RS01825,ACZ81_01835,Protein Homology,411324,413015,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948005.1,gamma-glutamyltransferase,WP_014948005.1,"GO:0006750,GO:0006751,GO:0036374",,glutathione hydrolase activity|0036374||IEA,"glutathione biosynthetic process|0006750||IEA,glutathione catabolic process|0006751||IEA",,ACZ81_01835
ACZ81_RS01830,,ACZ81_RS01830,ACZ81_01840,Protein Homology,413199,414125,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978103.1,Dyp-type peroxidase,WP_014948006.1,"GO:0004601,GO:0020037",,"peroxidase activity|0004601||IEA,heme binding|0020037||IEA",,,ACZ81_01840
ACZ81_RS01835,,ACZ81_RS01835,ACZ81_01845,Protein Homology,414154,415227,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948007.1,adenylate/guanylate cyclase domain-containing protein,WP_014975465.1,"GO:0007165,GO:0009190,GO:0035556,GO:0000166,GO:0009975,GO:0016779,GO:0016829,GO:0046872",,"nucleotide binding|0000166||IEA,cyclase activity|0009975||IEA,nucleotidyltransferase activity|0016779||IEA,lyase activity|0016829||IEA,metal ion binding|0046872||IEA","signal transduction|0007165||IEA,cyclic nucleotide biosynthetic process|0009190||IEA,intracellular signal transduction|0035556||IEA",,ACZ81_01845
hemL,hemL,ACZ81_RS01840,ACZ81_01850,Protein Homology,415382,416662,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516993.1,glutamate-1-semialdehyde 2%2C1-aminomutase,WP_014948008.1,"GO:0033014,GO:0042286",,glutamate-1-semialdehyde 2%2C1-aminomutase activity|0042286||IEA,tetrapyrrole biosynthetic process|0033014||IEA,,ACZ81_01850
ACZ81_RS01845,,ACZ81_RS01845,ACZ81_01855,Protein Homology,416667,417680,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975466.1,aspartate carbamoyltransferase,WP_014975466.1,,,,,,ACZ81_01855
ACZ81_RS01850,,ACZ81_RS01850,ACZ81_01860,Protein Homology,417844,418491,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975467.1,TetR/AcrR family transcriptional regulator,WP_061439215.1,"GO:0006355,GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",regulation of DNA-templated transcription|0006355||IEA,,ACZ81_01860
ACZ81_RS01855,,ACZ81_RS01855,ACZ81_01865,Protein Homology,418621,419760,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975468.1,efflux RND transporter periplasmic adaptor subunit,WP_014975468.1,"GO:0055085,GO:0022857,GO:0042802,GO:0016020",membrane|0016020||IEA,"transmembrane transporter activity|0022857||IEA,identical protein binding|0042802||IEA",transmembrane transport|0055085||IEA,,ACZ81_01865
ACZ81_RS01860,,ACZ81_RS01860,ACZ81_01870,Protein Homology,419760,422906,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948012.1,efflux RND transporter permease subunit,WP_014975469.1,"GO:0055085,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,,ACZ81_01870
ACZ81_RS01865,,ACZ81_RS01865,ACZ81_01875,Protein Homology,423072,423767,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948013.1,DUF2982 domain-containing protein,WP_014948013.1,,,,,,ACZ81_01875
ACZ81_RS01870,,ACZ81_RS01870,ACZ81_01880,Protein Homology,423797,426925,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948014.1,hybrid sensor histidine kinase/response regulator,WP_014975470.1,,,,,,ACZ81_01880
parC,parC,ACZ81_RS01875,ACZ81_01885,Protein Homology,427252,429537,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975471.1,DNA topoisomerase IV subunit A,WP_061439217.1,"GO:0006265,GO:0003918,GO:0009340",DNA topoisomerase IV complex|0009340||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,DNA topological change|0006265||IEA,,ACZ81_01885
ACZ81_RS01880,,ACZ81_RS01880,ACZ81_01890,Protein Homology,429601,430137,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997097.1,heme NO-binding domain-containing protein,WP_014948016.1,,,,,,ACZ81_01890
ACZ81_RS01885,,ACZ81_RS01885,ACZ81_01895,Protein Homology,430150,432318,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978110.1,putative bifunctional diguanylate cyclase/phosphodiesterase,WP_061439220.1,"GO:0005525,GO:0046872,GO:0052621,GO:0071111,GO:0005886",plasma membrane|0005886||IEA,"GTP binding|0005525||IEA,metal ion binding|0046872||IEA,diguanylate cyclase activity|0052621||IEA,cyclic-guanylate-specific phosphodiesterase activity|0071111||IEA",,,ACZ81_01895
ACZ81_RS01890,,ACZ81_RS01890,ACZ81_01900,Protein Homology,432384,433190,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997099.1,DUF1338 domain-containing protein,WP_014948018.1,,,,,,ACZ81_01900
astD,astD,ACZ81_RS01895,ACZ81_01905,Protein Homology,433307,434776,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948019.1,succinylglutamate-semialdehyde dehydrogenase,WP_061439222.1,"GO:0006527,GO:0043824",,succinylglutamate-semialdehyde dehydrogenase activity|0043824||IEA,arginine catabolic process|0006527||IEA,,ACZ81_01905
astA,astA,ACZ81_RS01900,ACZ81_01910,Protein Homology,434790,435827,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948020.1,arginine N-succinyltransferase,WP_014948020.1,"GO:0006527,GO:0008791",,arginine N-succinyltransferase activity|0008791||IEA,arginine catabolic process|0006527||IEA,,ACZ81_01910
ACZ81_RS01905,,ACZ81_RS01905,ACZ81_01915,Protein Homology,435848,437056,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517006.1,aspartate aminotransferase family protein,WP_014978113.1,GO:0030170,,pyridoxal phosphate binding|0030170||IEA,,,ACZ81_01915
ACZ81_RS01910,,ACZ81_RS01910,ACZ81_01920,Protein Homology,437519,438685,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948022.1,HDOD domain-containing protein,WP_061486906.1,,,,,,ACZ81_01920
ACZ81_RS01915,,ACZ81_RS01915,ACZ81_01925,Protein Homology,438983,439567,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948023.1,anthranilate synthase component II,WP_061439224.1,"GO:0000162,GO:0004049",,anthranilate synthase activity|0004049||IEA,L-tryptophan biosynthetic process|0000162||IEA,,ACZ81_01925
trpS,trpS,ACZ81_RS01920,ACZ81_01930,Protein Homology,439668,440675,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013785674.1,tryptophan--tRNA ligase,WP_061439226.1,"GO:0006436,GO:0000166,GO:0004830,GO:0005524",,"nucleotide binding|0000166||IEA,tryptophan-tRNA ligase activity|0004830||IEA,ATP binding|0005524||IEA",tryptophanyl-tRNA aminoacylation|0006436||IEA,,ACZ81_01930
rpe,rpe,ACZ81_RS01925,ACZ81_01935,Protein Homology,440741,441418,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517010.1,ribulose-phosphate 3-epimerase,WP_014978117.1,"GO:0006098,GO:0004750",,D-ribulose-phosphate 3-epimerase activity|0004750||IEA,pentose-phosphate shunt|0006098||IEA,,ACZ81_01935
ACZ81_RS01930,,ACZ81_RS01930,ACZ81_01940,Protein Homology,441724,442551,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997107.1,TorF family putative porin,WP_081106054.1,GO:0015288,,porin activity|0015288||IEA,,,ACZ81_01940
ACZ81_RS01935,,ACZ81_RS01935,ACZ81_01945,Protein Homology,442725,443033,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948027.1,hypothetical protein,WP_014948027.1,,,,,,ACZ81_01945
ACZ81_RS01940,,ACZ81_RS01940,ACZ81_01950,Protein Homology,443043,443243,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948028.1,DUF2970 domain-containing protein,WP_014948028.1,,,,,,ACZ81_01950
ACZ81_RS01945,,ACZ81_RS01945,ACZ81_01955,Protein Homology,443327,444208,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978119.1,Dam family site-specific DNA-(adenine-N6)-methyltransferase,WP_014948029.1,"GO:0009307,GO:0009007",,site-specific DNA-methyltransferase (adenine-specific) activity|0009007||IEA,DNA restriction-modification system|0009307||IEA,,ACZ81_01955
