uniprot_id	locus_tag	product	PMTid	P9313name
Q7V8P3	AKG35_RS01555	hypothetical protein	PMT_0293	P9313_03511
Q7V8P2	AKG35_RS01560	recombinase family protein	PMT_0294	P9313_03531
Q7V8P1	AKG35_RS01565	tetratricopeptide repeat protein	PMT_0295	P9313_03541
Q7V8P0	AKG35_RS01570	tetratricopeptide repeat protein	PMT_0296	P9313_03551
NA	AKG35_RS13440	excalibur calcium-binding domain-containing protein	NA	NA
NA	AKG35_RS13445	thermonuclease family protein	NA	NA
Q7V8Q4	AKG35_RS01580	hypothetical protein	PMT_0279	P9313_03291
Q7V8N8	AKG35_RS01580	hypothetical protein	PMT_0298	P9313_03581
Q7TV51	AKG35_RS01585	hypothetical protein	PMT_0299	P9313_03591
Q7V8N7	AKG35_RS01590	tetratricopeptide repeat protein	PMT_0300	P9313_03611
NA	AKG35_RS12685	hypothetical protein	NA	NA
NA	AKG35_RS01600	hypothetical protein	NA	NA
Q7V8N6	AKG35_RS01605	hypothetical protein	PMT_0301	P9313_03621
Q7V8N5	AKG35_RS01610	AAA family ATPase	PMT_0302	P9313_03631
Q7V8N4	AKG35_RS01615	hypothetical protein	PMT_0303	P9313_03641
Q7V8N3	AKG35_RS01620	AlpA family phage regulatory protein	PMT_0304	P9313_03661
Q7V8N2	AKG35_RS01625	TVP38/TMEM64 family protein	PMT_0305	P9313_03671
Q7V8N0	AKG35_RS01635	DUF4912 domain-containing protein	PMT_0307	P9313_03691
Q7TV50	AKG35_RS01640	hydantoinase B/oxoprolinase family protein	PMT_0308	P9313_03701
Q7V8M9	AKG35_RS01645	hypothetical protein	PMT_0309	P9313_03721
Q7V8M8	AKG35_RS01650	glycosyltransferase	PMT_0310	P9313_03731
Q7V8M7	AKG35_RS01655	sugar transferase	PMT_0311	P9313_03741
B9ERH2	AKG35_RS01660	hypothetical protein	NA	NA
Q7V8M6	AKG35_RS01665	adenosylcobinamide-phosphate synthase CbiB	PMT_0312	P9313_03761
Q7V8M5	AKG35_RS01670	ketol-acid reductoisomerase	PMT_0313	P9313_03771
Q7V8M4	AKG35_RS01675	ATP-dependent Clp protease proteolytic subunit	PMT_0314	P9313_03781
Q7V8M3	AKG35_RS01680	ATP-dependent Clp protease proteolytic subunit	PMT_0315	P9313_03791
Q7V8M2	AKG35_RS01685	TRAM domain-containing protein	PMT_0316	P9313_03801
Q7TV49	AKG35_RS01690	radical SAM family heme chaperone HemW	PMT_0317	P9313_03811
Q7TV48	AKG35_RS12200	3-methyl-2-oxobutanoate hydroxymethyltransferase	PMT_0318	P9313_03821
Q7TV47	AKG35_RS01705	cell division protein FtsZ	PMT_0319	P9313_03831
Q7V8M1	AKG35_RS01710	FtsQ-type POTRA domain-containing protein	PMT_0320	P9313_03851
Q7V8M0	AKG35_RS01715	hypothetical protein	PMT_0321	P9313_03861
Q7V8L9	AKG35_RS01720	D-alanine--D-alanine ligase	PMT_0322	P9313_03871
Q7V8L8	AKG35_RS01725	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	PMT_0323	P9313_03881
Q7V8L6	AKG35_RS01735	DUF4359 domain-containing protein	PMT_0325	P9313_03911
Q7V8L5	AKG35_RS01740	amidohydrolase family protein	PMT_0326	P9313_03921
Q7V8L4	AKG35_RS01745	FAD-binding oxidoreductase	PMT_0327	P9313_03931
Q7V8L3	AKG35_RS01750	hypothetical protein	PMT_0328	P9313_03941
Q7V8L2	AKG35_RS01755	pentapeptide repeat-containing protein	PMT_0329	P9313_03951
Q7TV46	AKG35_RS01760	Mur ligase family protein	PMT_0330	P9313_03961
Q7V8L1	AKG35_RS12205	aspartate aminotransferase family protein	PMT_0331	P9313_03971
Q7V8L0	AKG35_RS01770	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	PMT_0332	P9313_03981
Q7V8K9	AKG35_RS01780	hypothetical protein	PMT_0333	P9313_03991
Q7TV45	AKG35_RS01785	RNA methyltransferase	PMT_0334	P9313_04001
Q7V8K8	AKG35_RS01790	dihydrolipoyl dehydrogenase	PMT_0335	P9313_04011
Q7TV44	AKG35_RS01795	indole-3-glycerol phosphate synthase TrpC	PMT_0336	P9313_04021
Q7V8K7	AKG35_RS01800	hypothetical protein	PMT_0337	P9313_04031
Q7V8K6	AKG35_RS01805	hydantoin utilization protein A	PMT_0338	P9313_04041
Q7V8K5	AKG35_RS01810	nickel-type superoxide dismutase maturation protease	PMT_0339	P9313_04051
Q7V8K4	AKG35_RS01815	superoxide dismutase%2C Ni	PMT_0340	P9313_04061
Q7V8K3	AKG35_RS01820	FKBP-type peptidyl-prolyl cis-trans isomerase	PMT_0341	P9313_04071
Q7V8K2	AKG35_RS01825	inverse autotransporter beta domain-containing protein	PMT_0342	P9313_04081
Q7V8K1	AKG35_RS01830	apolipoprotein N-acyltransferase	PMT_0343	P9313_04091
Q7TTR0	AKG35_RS01835	tRNA 2-thiouridine(34) synthase MnmA	PMT_0344	P9313_04101
Q7V8K0	AKG35_RS01840	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	PMT_0345	P9313_04111
Q7V8J9	AKG35_RS01845	RpoD/SigA family RNA polymerase sigma factor	PMT_0346	P9313_04121
Q7V8J8	AKG35_RS01850	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	PMT_0347	P9313_04131
Q7V8J7	AKG35_RS01855	ARC6/PARC6 family protein	PMT_0348	P9313_04141
Q7V8J6	AKG35_RS01860	signal recognition particle protein	PMT_0349	P9313_04151
Q7TV43	AKG35_RS01865	30S ribosomal protein S16	PMT_0350	P9313_04161
Q7V8J5	AKG35_RS01870	PhoH family protein	PMT_0351	P9313_04171
Q7V8J4	AKG35_RS01875	Bax inhibitor-1 family protein	PMT_0352	P9313_04181
NA	AKG35_RS13155	hypothetical protein	NA	NA
NA	AKG35_RS12690	hypothetical protein	NA	NA
B9ERN4	AKG35_RS01885	hypothetical protein	NA	NA
Q7V8J3	AKG35_RS01890	bile acid:sodium symporter	PMT_0353	P9313_04231
Q7V8J2	AKG35_RS01895	hypothetical protein	PMT_0354	P9313_04241
Q7V8J1	AKG35_RS01900	GTPase Era	PMT_0355	P9313_04251
Q7V8J0	AKG35_RS12555	tRNA (guanosine(37)-N1)-methyltransferase TrmD	PMT_0356	P9313_04261
Q7V8I9	AKG35_RS01910	TIGR03792 family protein	PMT_0357	P9313_04271
Q7V8I8	AKG35_RS01915	nickel pincer cofactor biosynthesis protein LarB	PMT_0358	P9313_04281
Q7V8I7	AKG35_RS13270	hypothetical protein	PMT_0359	P9313_04291
Q7V8I6	AKG35_RS13275	hypothetical protein	PMT_0360	P9313_04301
Q7V8I5	AKG35_RS01920	DUF1517 domain-containing protein	PMT_0361	P9313_04311
Q7V8I4	AKG35_RS01925	sulfur carrier protein ThiS	PMT_0362	P9313_04321
Q7V8I3	AKG35_RS01930	thiamine phosphate synthase	PMT_0363	P9313_04331
Q7V8I2	AKG35_RS01940	bifunctional riboflavin kinase/FAD synthetase	PMT_0364	P9313_04351
Q7V8I1	AKG35_RS01945	DUF3611 family protein	PMT_0365	P9313_04361
Q7V8I0	AKG35_RS01950	5'/3'-nucleotidase SurE	PMT_0366	P9313_04371
Q7TV42	AKG35_RS01955	phenylalanine--tRNA ligase subunit alpha	PMT_0367	P9313_04381
Q7V8H9	AKG35_RS01960	NAD(+) kinase	PMT_0368	P9313_04391
Q7V8H8	AKG35_RS01965	DUF192 domain-containing protein	PMT_0369	P9313_04401
Q7V8H7	AKG35_RS01970	bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase	PMT_0370	P9313_04411
Q7V8H6	AKG35_RS01975	hypothetical protein	PMT_0371	P9313_04421
NA	AKG35_RS13450	hypothetical protein	NA	NA
Q7V8H4	AKG35_RS01985	GH116 family glycosyl hydrolase	PMT_0373	P9313_04441
Q7V8H3	AKG35_RS01990	DUF3122 domain-containing protein	PMT_0374	P9313_04451
Q7TV41	AKG35_RS01995	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	PMT_0375	P9313_04461
Q7V8H2	AKG35_RS02000	potassium channel family protein	PMT_0376	P9313_04471
Q7V8H1	AKG35_RS02005	SOS response-associated peptidase	PMT_0377	P9313_04481
NA	AKG35_RS13455	hypothetical protein	NA	NA
Q7V8H0	AKG35_RS02015	ATP-dependent zinc metalloprotease FtsH	PMT_0378	P9313_04511
Q7V8G9	AKG35_RS02020	ornithine carbamoyltransferase	PMT_0379	P9313_04521
Q7V8G8	AKG35_RS02025	transcriptional repressor LexA	PMT_0380	P9313_04531
Q7V8G7	AKG35_RS02035	hypothetical protein	PMT_0381	P9313_04541
NA	AKG35_RS02040	hypothetical protein	NA	NA
Q7TV40	AKG35_RS02045	DUF3987 domain-containing protein	PMT_0382	P9313_04551
NA	AKG35_RS12700	hypothetical protein	NA	NA
Q7V8G6	AKG35_RS02055	peptide deformylase	PMT_0384	P9313_04571
Q7V8G5	AKG35_RS02060	alpha/beta hydrolase	PMT_0385	P9313_04581
Q7V8G4	AKG35_RS02065	3'-5' exonuclease	PMT_0386	P9313_04591
Q7V8G3	AKG35_RS02070	peroxiredoxin	PMT_0387	P9313_04601
Q7V8G2	AKG35_RS02075	DUF1350 family protein	PMT_0388	P9313_04611
Q7V8G1	AKG35_RS02080	acetate--CoA ligase	PMT_0389	P9313_04621
Q7TV38	AKG35_RS02085	hypothetical protein	PMT_0390	P9313_04631
Q7V8G0	AKG35_RS02090	HAD family phosphatase	PMT_0391	P9313_04641
Q7V8F9	AKG35_RS02095	solanesyl diphosphate synthase	PMT_0392	P9313_04651
Q7TV37	AKG35_RS02100	glutamate racemase	PMT_0393	P9313_04661
Q7V8F8	AKG35_RS02105	N-acetylmuramoyl-L-alanine amidase	PMT_0394	P9313_04671
Q7V8F7	AKG35_RS02110	carbon-nitrogen hydrolase family protein	PMT_0395	P9313_04681
Q7V8F6	AKG35_RS02115	2-phosphosulfolactate phosphatase family protein	PMT_0396	P9313_04691
Q7V8F5	AKG35_RS02120	UbiD family decarboxylase	PMT_0397	P9313_04701
Q7V8F4	AKG35_RS02125	3-phosphoshikimate 1-carboxyvinyltransferase	PMT_0398	P9313_04711
Q7V8F3	AKG35_RS02130	MnmC family methyltransferase	PMT_0399	P9313_04721
Q7V8F2	AKG35_RS02135	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	PMT_0400	P9313_04731
Q7TV36	AKG35_RS02140	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	PMT_0401	P9313_04741
Q7V8F1	AKG35_RS02145	hypothetical protein	PMT_0402	P9313_04751
Q7V8F0	AKG35_RS02150	glycogen synthase GlgA	PMT_0403	P9313_04771
Q7V8E9	AKG35_RS02155	L%2CD-transpeptidase	PMT_0404	P9313_04781
Q7V8E8	AKG35_RS02160	1%2C4-dihydroxy-2-naphthoyl-CoA synthase	PMT_0405	P9313_04791
Q7V8E7	AKG35_RS02165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	PMT_0406	P9313_04801
Q7V8E6	AKG35_RS02170	signal peptidase I	PMT_0407	P9313_04811
Q7V8E5	AKG35_RS02175	DUF760 domain-containing protein	PMT_0408	P9313_04821
Q7V8E4	AKG35_RS02180	DUF4336 domain-containing protein	PMT_0409	P9313_04831
Q7TV35	AKG35_RS02190	transaldolase	PMT_0411	P9313_04851
Q7V8E2	AKG35_RS02195	type III polyketide synthase	PMT_0412	P9313_04861
Q7V8E1	AKG35_RS02200	FAD-dependent monooxygenase	PMT_0413	P9313_04871
Q7V8E0	AKG35_RS02205	class I SAM-dependent methyltransferase	PMT_0414	P9313_04881
Q7V8D9	AKG35_RS02210	hypothetical protein	PMT_0415	P9313_04891
Q7V8D8	AKG35_RS02215	metal ABC transporter permease	PMT_0416	P9313_04901
Q7V8D7	AKG35_RS02220	metal ABC transporter ATP-binding protein	PMT_0417	P9313_04911
Q7V8D6	AKG35_RS02225	metal ABC transporter substrate-binding protein	PMT_0418	P9313_04921
NA	AKG35_RS02230	photosystem II q(b) protein	NA	NA
Q7V8D5	AKG35_RS02235	YcjF family protein	PMT_0420	P9313_04941
Q7V8D4	AKG35_RS02240	hypothetical protein	PMT_0421	P9313_04951
Q7TV34	AKG35_RS02245	tryptophan--tRNA ligase	PMT_0422	P9313_04961
Q7V8D3	AKG35_RS02250	glycoside hydrolase family 104 protein	PMT_0423	P9313_04981
NA	AKG35_RS13160	hypothetical protein	NA	NA
Q7V8D2	AKG35_RS02255	threonine--tRNA ligase	PMT_0424	P9313_05001
Q7V8D1	AKG35_RS02260	glucokinase	PMT_0425	P9313_05031
Q7V8D0	AKG35_RS02265	homoserine kinase	PMT_0426	P9313_05041
Q7TV33	AKG35_RS02270	NAD(P)H-quinone oxidoreductase subunit 4	PMT_0427	P9313_05051
Q7TV32	AKG35_RS02275	M3 family metallopeptidase	PMT_0428	P9313_05061
Q7TV31	AKG35_RS02280	hypothetical protein	PMT_0429	P9313_05071
Q7V8C9	AKG35_RS02285	permease	PMT_0430	P9313_05091
Q7V8C8	AKG35_RS02295	hypothetical protein	PMT_0431	P9313_05121
Q7V8C7	AKG35_RS02300	hypothetical protein	PMT_0432	P9313_05131
Q7V8C6	AKG35_RS02305	hypothetical protein	PMT_0433	P9313_05141
Q7V8C5	AKG35_RS02310	alpha/beta hydrolase	PMT_0434	P9313_05151
Q7V8C4	AKG35_RS02315	dihydroneopterin aldolase	PMT_0435	P9313_05161
Q7V8C3	AKG35_RS02320	glutamate-5-semialdehyde dehydrogenase	PMT_0436	P9313_05171
Q7V8C2	AKG35_RS02325	ROK family protein	PMT_0437	P9313_05181
Q7V8C1	AKG35_RS02330	translocation/assembly module TamB domain-containing protein	PMT_0438	P9313_05191
Q7V8C0	AKG35_RS02335	Ycf51 family protein	PMT_0439	P9313_05201
Q7V8B9	AKG35_RS02340	DUF4332 domain-containing protein	PMT_0440	P9313_05211
Q7V8B8	AKG35_RS02345	hypothetical protein	PMT_0441	P9313_05221
Q7V8B7	AKG35_RS02350	CocE/NonD family hydrolase	PMT_0442	P9313_05231
Q7V8B6	AKG35_RS02355	DUF3887 domain-containing protein	PMT_0443	P9313_05241
Q7V8B5	AKG35_RS02360	1%2C4-alpha-glucan branching protein GlgB	PMT_0444	P9313_05251
Q7V8B4	AKG35_RS02365	uroporphyrinogen decarboxylase	PMT_0445	P9313_05261
Q7V8B3	AKG35_RS02370	NAD(P)-dependent oxidoreductase	PMT_0446	P9313_05271
Q7TV30	AKG35_RS02375	plastocyanin	PMT_0447	P9313_05281
Q7V8B1	AKG35_RS02380	ATP-dependent chaperone ClpB	PMT_0449	P9313_05301
Q7TV29	AKG35_RS02385	6-carboxytetrahydropterin synthase	PMT_0450	P9313_05311
Q7TV28	AKG35_RS02395	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	PMT_0453	P9313_05341
Q7V8A8	AKG35_RS02400	peptidase	PMT_0454	P9313_05351
Q7V8A7	AKG35_RS02405	DUF2214 family protein	PMT_0455	P9313_05361
Q7V8A6	AKG35_RS02410	sigma-70 family RNA polymerase sigma factor	PMT_0456	P9313_05381
Q7V8A5	AKG35_RS02415	DUF1232 domain-containing protein	PMT_0457	P9313_05391
Q7V8A4	AKG35_RS02420	hypothetical protein	PMT_0458	P9313_05401
Q7V8A3	AKG35_RS02425	hypothetical protein	PMT_0459	P9313_05411
Q7V8A2	AKG35_RS02430	phosphate-starvation-inducible PsiE family protein	PMT_0460	P9313_05421
Q7V8A1	AKG35_RS12225	Nif11 domain/cupin domain-containing protein	PMT_0461	P9313_05431
Q7TV27	AKG35_RS02440	c-type cytochrome	PMT_0462	P9313_05441
Q7V8A0	AKG35_RS02445	YciI family protein	PMT_0463	P9313_05451
Q7V899	AKG35_RS02450	AbrB family transcriptional regulator	PMT_0464	P9313_05461
Q7TV26	AKG35_RS02455	tryptophan synthase subunit alpha	PMT_0465	P9313_05471
Q7V898	AKG35_RS02460	DUF3007 family protein	PMT_0466	P9313_05481
Q7V897	AKG35_RS02465	NAD(P)H-quinone oxidoreductase subunit L	PMT_0467	P9313_05491
Q7V896	AKG35_RS02475	dihydroorotase	PMT_0468	P9313_05501
Q7V895	AKG35_RS02480	calcium/sodium antiporter	PMT_0469	P9313_05521
Q7V894	AKG35_RS02485	glutathione-disulfide reductase	PMT_0470	P9313_05531
Q7V893	AKG35_RS02490	glutathione S-transferase	PMT_0471	P9313_05561
Q7V892	AKG35_RS02495	DUF2808 domain-containing protein	PMT_0472	P9313_05571
Q7TTQ9	AKG35_RS02500	hypothetical protein	PMT_0473	P9313_05581
Q7V891	AKG35_RS02505	glutamate decarboxylase	PMT_0474	P9313_05591
Q7V890	AKG35_RS02510	GNAT family N-acetyltransferase	PMT_0475	P9313_05601
Q7V889	AKG35_RS02515	hypothetical protein	PMT_0476	P9313_05611
Q7V888	AKG35_RS13165	hypothetical protein	PMT_0477	P9313_05621
Q7V887	AKG35_RS02525	DUF3119 family protein	PMT_0478	P9313_05631
Q7V886	AKG35_RS02530	DCC1-like thiol-disulfide oxidoreductase family protein	PMT_0479	P9313_05651
B9ER54	AKG35_RS02535	hypothetical protein	NA	NA
Q7V885	AKG35_RS02540	oxidoreductase	PMT_0480	P9313_05671
Q7V884	AKG35_RS02545	hypothetical protein	PMT_0481	P9313_05681
Q7V883	AKG35_RS02550	tetratricopeptide repeat protein	PMT_0482	P9313_05691
Q7TV25	AKG35_RS02555	hypothetical protein	PMT_0483	P9313_05701
Q7V882	AKG35_RS02560	hypothetical protein	PMT_0484	P9313_05721
Q7V881	AKG35_RS02565	hypothetical protein	PMT_0485	P9313_05741
Q7V880	AKG35_RS02570	DNA polymerase III subunit beta	PMT_0486	P9313_05751
Q7TV23	AKG35_RS02575	hypothetical protein	PMT_0488	P9313_05781
Q7V879	AKG35_RS02585	hypothetical protein	PMT_0489	P9313_05791
B9ER59	AKG35_RS13280	hypothetical protein	NA	NA
Q7V878	AKG35_RS02590	PD40 domain-containing protein	PMT_0490	P9313_05821
Q7V877	AKG35_RS02595	hypothetical protein	PMT_0491	P9313_05831
Q7V876	AKG35_RS02600	peptide-methionine (S)-S-oxide reductase MsrA	PMT_0492	P9313_05841
Q7V875	AKG35_RS02605	hypothetical protein	PMT_0493	P9313_05851
Q7V874	AKG35_RS02610	AhpC/TSA family protein	PMT_0494	P9313_05871
Q7V873	AKG35_RS02615	ferritin	PMT_0495	P9313_05881
Q7V872	AKG35_RS02620	chlorophyll a/b binding light-harvesting protein	PMT_0496	P9313_05901
B9ER97	AKG35_RS12705	hypothetical protein	NA	NA
Q7TV22	AKG35_RS02625	helix-turn-helix domain-containing protein	PMT_0497	P9313_05931
Q7V870	AKG35_RS02635	ferritin	PMT_0499	P9313_05951
Q7V868	AKG35_RS02640	ABC transporter ATP-binding protein	PMT_0501	P9313_05971
Q7TV21	AKG35_RS02645	helix-turn-helix domain-containing protein	PMT_0502	P9313_05981
Q7V867	AKG35_RS02650	phenylpyruvate tautomerase MIF-related protein	PMT_0503	P9313_05991
Q7V866	AKG35_RS02655	endonuclease III	PMT_0504	P9313_06001
Q7V865	AKG35_RS02660	rhomboid family intramembrane serine protease	PMT_0505	P9313_06011
Q7V864	AKG35_RS02665	SDR family oxidoreductase	PMT_0506	P9313_06031
Q7V863	AKG35_RS02670	hypothetical protein	PMT_0507	P9313_06041
Q7V862	AKG35_RS02675	phosphate ABC transporter substrate-binding protein PstS	PMT_0508	P9313_06051
Q7TV20	AKG35_RS02685	c-type cytochrome	PMT_0509	P9313_06071
Q7V861	AKG35_RS02690	GNAT family N-acetyltransferase	PMT_0510	P9313_06081
Q7V860	AKG35_RS02695	hypothetical protein	PMT_0511	P9313_06091
Q7V859	AKG35_RS02700	DUF296 domain-containing protein	PMT_0512	P9313_06101
Q7TV19	AKG35_RS02705	CopG family transcriptional regulator	PMT_0513	P9313_06111
Q7V858	AKG35_RS02710	hypothetical protein	PMT_0514	P9313_06121
Q7V857	AKG35_RS02715	transporter substrate-binding domain-containing protein	PMT_0515	P9313_06131
Q7V856	AKG35_RS02720	hypothetical protein	PMT_0516	P9313_06141
Q7V855	AKG35_RS02725	CBS domain-containing protein	PMT_0517	P9313_06151
Q7V854	AKG35_RS02730	CDP-alcohol phosphatidyltransferase family protein	PMT_0518	P9313_06171
Q7V853	AKG35_RS02735	NAD-dependent epimerase/dehydratase family protein	PMT_0519	P9313_06181
Q7TV18	AKG35_RS02740	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	PMT_0520	P9313_06191
Q7V852	AKG35_RS02745	transcriptional repressor	PMT_0521	P9313_06201
Q7V851	AKG35_RS02750	DUF3685 domain-containing protein	PMT_0522	P9313_06211
Q7V850	AKG35_RS02755	thylakoid membrane photosystem I accumulation factor	PMT_0523	P9313_06221
Q7V849	AKG35_RS02760	hypothetical protein	PMT_0524	P9313_06231
Q7V848	AKG35_RS02765	hypothetical protein	PMT_0525	P9313_06251
Q7V847	AKG35_RS02770	Holliday junction resolvase RuvX	PMT_0526	P9313_06261
Q7V846	AKG35_RS02775	DUF3727 domain-containing protein	PMT_0527	P9313_06271
Q7V845	AKG35_RS02780	YqeG family HAD IIIA-type phosphatase	PMT_0528	P9313_06281
Q7V844	AKG35_RS02785	glutamate 5-kinase	PMT_0529	P9313_06291
Q7V843	AKG35_RS02790	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	PMT_0530	P9313_06301
Q7V842	AKG35_RS02795	3-isopropylmalate dehydrogenase	PMT_0531	P9313_06311
Q7V841	AKG35_RS02800	phosphoribulokinase	PMT_0532	P9313_06321
Q7V840	AKG35_RS02805	A24 family peptidase	PMT_0533	P9313_06331
Q7V839	AKG35_RS02810	acetyl-CoA carboxylase%2C carboxyltransferase subunit beta	PMT_0534	P9313_06341
Q7V838	AKG35_RS02815	hypothetical protein	PMT_0535	P9313_06351
Q7V837	AKG35_RS02820	Gfo/Idh/MocA family oxidoreductase	PMT_0536	P9313_06361
Q7V836	AKG35_RS02825	fructose-bisphosphate aldolase class II	PMT_0537	P9313_06371
Q7V835	AKG35_RS02830	LD-carboxypeptidase	PMT_0538	P9313_06381
Q7V834	AKG35_RS02835	phosphoribosylformylglycinamidine synthase subunit PurQ	PMT_0539	P9313_06391
Q7V833	AKG35_RS02840	phosphoribosylformylglycinamidine synthase subunit PurS	PMT_0540	P9313_06401
Q7V832	AKG35_RS02845	2-oxoacid:acceptor oxidoreductase family protein	PMT_0541	P9313_06411
Q7V831	AKG35_RS02850	cation:proton antiporter	PMT_0542	P9313_06431
Q7V830	AKG35_RS02855	glycosyltransferase family 2 protein	PMT_0543	P9313_06441
NA	AKG35_RS13365	hypothetical protein	NA	NA
Q7V828	AKG35_RS02870	hypothetical protein	PMT_0545	P9313_06491
B9ER83	AKG35_RS12235	DUF4278 domain-containing protein	NA	NA
NA	AKG35_RS12710	hypothetical protein	NA	NA
Q7V827	AKG35_RS02875	SIMPL domain-containing protein	PMT_0546	P9313_06521
Q7V826	AKG35_RS02880	hypothetical protein	PMT_0547	P9313_06541
Q7V825	AKG35_RS02885	SDR family NAD(P)-dependent oxidoreductase	PMT_0548	P9313_06551
B9ER86	AKG35_RS02890	hypothetical protein	NA	NA
NA	AKG35_RS13370	hypothetical protein	NA	NA
Q7V824	AKG35_RS02900	hypothetical protein	PMT_0550	P9313_06581
Q7V823	AKG35_RS02905	methyltransferase domain-containing protein	PMT_0551	P9313_06601
Q7V822	AKG35_RS02910	class I SAM-dependent methyltransferase	PMT_0552	P9313_06611
Q7V821	AKG35_RS02915	betaine/proline/choline family ABC transporter ATP-binding protein	PMT_0553	P9313_06631
Q7V820	AKG35_RS02920	ABC transporter permease subunit	PMT_0554	P9313_06641
Q7V819	AKG35_RS02925	glycine betaine ABC transporter substrate-binding protein	PMT_0555	P9313_06651
Q7V818	AKG35_RS02930	GTP-binding protein	PMT_0556	P9313_06661
Q7V817	AKG35_RS02935	pentapeptide repeat-containing protein	PMT_0557	P9313_06671
Q7V816	AKG35_RS02940	uracil phosphoribosyltransferase	PMT_0558	P9313_06681
Q7V815	AKG35_RS02945	hypothetical protein	PMT_0559	P9313_06691
Q7TV16	AKG35_RS02950	dihydroxy-acid dehydratase	PMT_0560	P9313_06701
Q7TV15	AKG35_RS02955	hypothetical protein	PMT_0561	P9313_06711
Q7V814	AKG35_RS02960	CIA30 family protein	PMT_0562	P9313_06721
Q7V812	AKG35_RS02970	6-phosphogluconolactonase	PMT_0564	P9313_06741
Q7V811	AKG35_RS02975	NADP-dependent phosphogluconate dehydrogenase	PMT_0565	P9313_06751
Q7V810	AKG35_RS02980	glucose-1-phosphate adenylyltransferase	PMT_0566	P9313_06771
Q7V809	AKG35_RS02985	glutamyl-tRNA reductase	PMT_0567	P9313_06781
Q7V808	AKG35_RS02990	class II fructose-bisphosphatase	PMT_0568	P9313_06791
Q7V807	AKG35_RS02995	ribulose-phosphate 3-epimerase	PMT_0569	P9313_06801
Q7V806	AKG35_RS03000	c-type cytochrome biogenesis protein CcsB	PMT_0570	P9313_06811
Q7V805	AKG35_RS03005	LptF/LptG family permease	PMT_0571	P9313_06821
Q7V804	AKG35_RS03010	LPS export ABC transporter ATP-binding protein	PMT_0572	P9313_06831
Q7V803	AKG35_RS03015	hypothetical protein	PMT_0573	P9313_06841
Q7V802	AKG35_RS03020	DUF309 domain-containing protein	PMT_0574	P9313_06851
Q7V801	AKG35_RS03025	translational GTPase TypA	PMT_0575	P9313_06861
Q7V800	AKG35_RS03030	D-alanyl-D-alanine carboxypeptidase family protein	PMT_0576	P9313_06871
Q7V7Z9	AKG35_RS03035	geranylgeranyl reductase	PMT_0577	P9313_06891
Q7TV14	AKG35_RS03040	glycine--tRNA ligase subunit beta	PMT_0578	P9313_06901
Q7V7Z8	AKG35_RS03045	NADPH-dependent assimilatory sulfite reductase hemoprotein subunit	PMT_0579	P9313_06911
Q7V7Z7	AKG35_RS03050	M15 family metallopeptidase	PMT_0580	P9313_06921
Q7V7Z6	AKG35_RS03055	ATP-dependent DNA helicase RecG	PMT_0581	P9313_06941
Q7V7Z5	AKG35_RS03060	hypothetical protein	PMT_0582	P9313_06951
Q7TV13	AKG35_RS03065	translation elongation factor Ts	PMT_0583	P9313_06961
Q7V7Z4	AKG35_RS03070	30S ribosomal protein S2	PMT_0584	P9313_06971
Q7V7Z3	AKG35_RS03075	glycosyltransferase	PMT_0585	P9313_06981
Q7V7Z2	AKG35_RS13290	hypothetical protein	PMT_0586	P9313_06991
Q7V7Z1	AKG35_RS03080	DevA family ABC transporter ATP-binding protein	PMT_0587	P9313_07001
Q7V7Z0	AKG35_RS03085	ABC transporter permease DevC	PMT_0588	P9313_07011
Q7V7Y9	AKG35_RS03090	HlyD family efflux transporter periplasmic adaptor subunit	PMT_0589	P9313_07021
Q7V7Y8	AKG35_RS03095	phycocyanobilin:ferredoxin oxidoreductase	PMT_0590	P9313_07031
Q7V7Y7	AKG35_RS03100	insulinase family protein	PMT_0591	P9313_07041
Q7V7Y6	AKG35_RS03105	insulinase family protein	PMT_0592	P9313_07051
Q7V7Y5	AKG35_RS03110	DUF3148 domain-containing protein	PMT_0593	P9313_07061
Q7V7Y4	AKG35_RS03115	biotin transporter BioY	PMT_0594	P9313_07071
Q7V7Y3	AKG35_RS03120	signal peptidase II	PMT_0595	P9313_07081
Q7TV12	AKG35_RS03125	carbamoyl-phosphate synthase subunit L	PMT_0596	P9313_07091
