seqid,gene_names,gene,locus_tag_ncbi,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,locus_tag,ec_numbers
NZ_CP139300.1,SOI86_RS01960,,SOI86_RS01960,Protein Homology,337302,337523,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805341.1,hypothetical protein,WP_320681941.1,,,,,SOI86_RS01960,
NZ_CP139300.1,SOI86_RS01965,,SOI86_RS01965,Protein Homology,337528,337686,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818449.1,hypothetical protein,WP_320681942.1,,,,,SOI86_RS01965,
NZ_CP139300.1,SOI86_RS01970,,SOI86_RS01970,Protein Homology,337993,338577,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132490.1,peroxiredoxin,WP_320681943.1,,,,,SOI86_RS01970,1.11.1.-
NZ_CP139300.1,ftsH,ftsH,SOI86_RS01975,Protein Homology,339385,341139,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818452.1,ATP-dependent zinc metalloprotease FtsH,WP_320681944.1,"GO:0006508,GO:0051301,GO:0004222,GO:0016887,GO:0016020",membrane|0016020||IEA,"metalloendopeptidase activity|0004222||IEA,ATP hydrolysis activity|0016887||IEA","proteolysis|0006508||IEA,cell division|0051301||IEA",SOI86_RS01975,
NZ_CP139300.1,rpmF,rpmF,SOI86_RS01980,Protein Homology,341269,341439,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007748.1,50S ribosomal protein L32,WP_025926528.1,"GO:0006412,GO:0003735,GO:0015934",large ribosomal subunit|0015934||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS01980,
NZ_CP139300.1,SOI86_RS01985,,SOI86_RS01985,Protein Homology,341443,341769,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818453.1,DUF565 domain-containing protein,WP_320681945.1,,,,,SOI86_RS01985,
NZ_CP139300.1,SOI86_RS01990,,SOI86_RS01990,Protein Homology,341756,342520,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376501.1,HAD-IA family hydrolase,WP_320681946.1,"GO:0008152,GO:0016787",,hydrolase activity|0016787||IEA,metabolic process|0008152||IEA,SOI86_RS01990,
NZ_CP139300.1,SOI86_RS01995,,SOI86_RS01995,Protein Homology,342691,343038,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862983.1,YkgJ family cysteine cluster protein,WP_320681947.1,"GO:0046872,GO:0051536",,"metal ion binding|0046872||IEA,iron-sulfur cluster binding|0051536||IEA",,SOI86_RS01995,
NZ_CP139300.1,SOI86_RS02000,,SOI86_RS02000,Protein Homology,343035,343361,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862984.1,TMEM165/GDT1 family protein,WP_320681948.1,,,,,SOI86_RS02000,
NZ_CP139300.1,SOI86_RS02005,,SOI86_RS02005,Protein Homology,343362,343664,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376504.1,TMEM165/GDT1 family protein,WP_320681949.1,,,,,SOI86_RS02005,
NZ_CP139300.1,SOI86_RS02010,,SOI86_RS02010,Protein Homology,343739,345964,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376505.1,S1 RNA-binding domain-containing protein,WP_320681950.1,GO:0003676,,nucleic acid binding|0003676||IEA,,SOI86_RS02010,
NZ_CP139300.1,SOI86_RS02015,,SOI86_RS02015,Protein Homology,346024,346467,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376506.1,hypothetical protein,WP_320681951.1,,,,,SOI86_RS02015,
NZ_CP139300.1,SOI86_RS02020,,SOI86_RS02020,Protein Homology,346536,347081,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862988.1,DUF2996 domain-containing protein,WP_320681952.1,,,,,SOI86_RS02020,
NZ_CP139300.1,acsF,acsF,SOI86_RS02025,Protein Homology,347162,348334,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862989.1,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,WP_320681953.1,"GO:0015979,GO:0015995,GO:0046872,GO:0048529",,"metal ion binding|0046872||IEA,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity|0048529||IEA","photosynthesis|0015979||IEA,chlorophyll biosynthetic process|0015995||IEA",SOI86_RS02025,1.14.13.81
NZ_CP139300.1,SOI86_RS02030,,SOI86_RS02030,Protein Homology,348366,349790,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376509.1,TldD/PmbA family protein,WP_320681954.1,,,,,SOI86_RS02030,
NZ_CP139300.1,SOI86_RS02035,,SOI86_RS02035,Protein Homology,349794,351146,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818463.1,TldD/PmbA family protein,WP_320681955.1,,,,,SOI86_RS02035,
NZ_CP139300.1,fmt,fmt,SOI86_RS02040,Protein Homology,351143,352129,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007760.1,methionyl-tRNA formyltransferase,WP_320681956.1,"GO:0071951,GO:0004479,GO:0005737",cytoplasm|0005737||IEA,methionyl-tRNA formyltransferase activity|0004479||IEA,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA|0071951||IEA,SOI86_RS02040,2.1.2.9
NZ_CP139300.1,SOI86_RS02045,,SOI86_RS02045,Protein Homology,352126,352836,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807471.1,TerC family protein,WP_320681957.1,GO:0016020,membrane|0016020||IEA,,,SOI86_RS02045,
NZ_CP139300.1,mfd,mfd,SOI86_RS02050,Protein Homology,352911,356423,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818466.1,transcription-repair coupling factor,WP_320681958.1,"GO:0006281,GO:0003684,GO:0005524",,"damaged DNA binding|0003684||IEA,ATP binding|0005524||IEA",DNA repair|0006281||IEA,SOI86_RS02050,
NZ_CP139300.1,SOI86_RS02055,,SOI86_RS02055,Protein Homology,356495,356656,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807236.1,hypothetical protein,WP_320681959.1,,,,,SOI86_RS02055,
NZ_CP139300.1,SOI86_RS02060,,SOI86_RS02060,Protein Homology,357116,357706,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376515.1,DUF4335 domain-containing protein,WP_414477939.1,,,,,SOI86_RS02060,
NZ_CP139300.1,SOI86_RS02065,,SOI86_RS02065,Protein Homology,357714,358232,-,,,COORDINATES: protein motif:HMM:NF022682.5,DUF3038 domain-containing protein,WP_320682487.1,,,,,SOI86_RS02065,
NZ_CP139300.1,SOI86_RS02070,,SOI86_RS02070,Protein Homology,358272,358445,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376517.1,DUF2949 domain-containing protein,WP_414477940.1,,,,,SOI86_RS02070,
NZ_CP139300.1,SOI86_RS02075,,SOI86_RS02075,Protein Homology,358475,359629,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007768.1,FAD-dependent monooxygenase,WP_320681962.1,GO:0071949,,FAD binding|0071949||IEA,,SOI86_RS02075,
NZ_CP139300.1,SOI86_RS02080,,SOI86_RS02080,Protein Homology,359649,360290,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818473.1,hypothetical protein,WP_320681963.1,,,,,SOI86_RS02080,
NZ_CP139300.1,dapB,dapB,SOI86_RS02085,Protein Homology,360292,361140,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132466.1,4-hydroxy-tetrahydrodipicolinate reductase,WP_320681964.1,"GO:0009089,GO:0008839",,4-hydroxy-tetrahydrodipicolinate reductase|0008839||IEA,lysine biosynthetic process via diaminopimelate|0009089||IEA,SOI86_RS02085,1.17.1.8
NZ_CP139300.1,SOI86_RS02090,,SOI86_RS02090,Protein Homology,361244,365254,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019477587.1,magnesium chelatase subunit H,WP_320681965.1,,,,,SOI86_RS02090,6.6.1.1
NZ_CP139300.1,folP,folP,SOI86_RS02095,Protein Homology,365263,366108,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805797.1,dihydropteroate synthase,WP_320682488.1,"GO:0009396,GO:0004156",,dihydropteroate synthase activity|0004156||IEA,folic acid-containing compound biosynthetic process|0009396||IEA,SOI86_RS02095,2.5.1.15
NZ_CP139300.1,tpiA,tpiA,SOI86_RS02100,Protein Homology,366092,366817,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807539.1,triose-phosphate isomerase,WP_320681966.1,"GO:0006096,GO:0004807",,triose-phosphate isomerase activity|0004807||IEA,glycolytic process|0006096||IEA,SOI86_RS02100,5.3.1.1
NZ_CP139300.1,SOI86_RS02105,,SOI86_RS02105,Protein Homology,366870,367046,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376524.1,RNA-binding S4 domain-containing protein,WP_320681967.1,,,,,SOI86_RS02105,
NZ_CP139300.1,SOI86_RS02110,,SOI86_RS02110,Protein Homology,367164,368810,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805845.1,ABC transporter ATP-binding protein,WP_320682489.1,,,,,SOI86_RS02110,
NZ_CP139300.1,SOI86_RS02115,,SOI86_RS02115,Protein Homology,368840,369058,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863008.1,DUF6447 family protein,WP_320681968.1,,,,,SOI86_RS02115,
NZ_CP139300.1,carB,carB,SOI86_RS02120,Protein Homology,369063,372359,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007776.1,carbamoyl-phosphate synthase large subunit,WP_320681969.1,"GO:0008152,GO:0005524,GO:0046872",,"ATP binding|0005524||IEA,metal ion binding|0046872||IEA",metabolic process|0008152||IEA,SOI86_RS02120,6.3.5.5
NZ_CP139300.1,SOI86_RS02125,,SOI86_RS02125,Protein Homology,372467,373105,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132458.1,DUF3318 domain-containing protein,WP_320681970.1,,,,,SOI86_RS02125,
NZ_CP139300.1,rsfS,rsfS,SOI86_RS02130,Protein Homology,373095,373439,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818483.1,ribosome silencing factor,WP_320681971.1,"GO:0017148,GO:0043022",,ribosome binding|0043022||IEA,negative regulation of translation|0017148||IEA,SOI86_RS02130,
NZ_CP139300.1,SOI86_RS02135,,SOI86_RS02135,Protein Homology,373449,373943,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007780.1,CGLD27 family protein,WP_320681972.1,,,,,SOI86_RS02135,
NZ_CP139300.1,SOI86_RS02140,,SOI86_RS02140,Protein Homology,373944,374909,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805920.1,asparaginase,WP_320681973.1,,,,,SOI86_RS02140,
NZ_CP139300.1,SOI86_RS02150,,SOI86_RS02150,GeneMarkS-2+,375191,375616,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_320681974.1,,,,,SOI86_RS02150,
NZ_CP139300.1,SOI86_RS02155,,SOI86_RS02155,Protein Homology,375786,375968,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819466.1,hypothetical protein,WP_320681975.1,,,,,SOI86_RS02155,
NZ_CP139300.1,SOI86_RS02160,,SOI86_RS02160,GeneMarkS-2+,375965,376129,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_320681976.1,,,,,SOI86_RS02160,
NZ_CP139300.1,SOI86_RS02165,,SOI86_RS02165,Protein Homology,376393,376557,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819739.1,hypothetical protein,WP_320681977.1,,,,,SOI86_RS02165,
NZ_CP139300.1,SOI86_RS02170,,SOI86_RS02170,Protein Homology,376713,377003,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132495.1,hypothetical protein,WP_320681978.1,,,,,SOI86_RS02170,
NZ_CP139300.1,SOI86_RS02175,,SOI86_RS02175,Protein Homology,377656,378057,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820886.1,MarR family transcriptional regulator,WP_320681979.1,"GO:0006355,GO:0003700",,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA,SOI86_RS02175,
NZ_CP139300.1,SOI86_RS02180,,SOI86_RS02180,Protein Homology,378246,378443,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377030.1,hypothetical protein,WP_320681980.1,,,,,SOI86_RS02180,
NZ_CP139300.1,SOI86_RS02185,,SOI86_RS02185,Protein Homology,378443,378640,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818666.1,hypothetical protein,WP_320681981.1,,,,,SOI86_RS02185,
NZ_CP139300.1,SOI86_RS02190,,SOI86_RS02190,GeneMarkS-2+,378965,379162,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_320681982.1,,,,,SOI86_RS02190,
NZ_CP139300.1,SOI86_RS02195,,SOI86_RS02195,Protein Homology,379486,379668,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007958.1,hypothetical protein,WP_413350859.1,,,,,SOI86_RS02195,
NZ_CP139300.1,SOI86_RS02200,,SOI86_RS02200,Protein Homology,379824,379949,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377032.1,hypothetical protein,WP_320681983.1,,,,,SOI86_RS02200,
NZ_CP139300.1,SOI86_RS02205,,SOI86_RS02205,GeneMarkS-2+,380420,380638,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_320681984.1,,,,,SOI86_RS02205,
NZ_CP139300.1,SOI86_RS02210,,SOI86_RS02210,Protein Homology,381178,381567,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007782.1,cytochrome b6f subunit family protein,WP_320681985.1,,,,,SOI86_RS02210,
NZ_CP139300.1,SOI86_RS02215,,SOI86_RS02215,Protein Homology,381644,382639,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818488.1,ABC transporter ATP-binding protein,WP_320681986.1,,,,,SOI86_RS02215,
NZ_CP139300.1,SOI86_RS02220,,SOI86_RS02220,Protein Homology,382629,383423,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376534.1,ABC transporter permease,WP_320681987.1,"GO:0042626,GO:0140359,GO:0016020,GO:0043190","membrane|0016020||IEA,ATP-binding cassette (ABC) transporter complex|0043190||IEA","ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,SOI86_RS02220,
NZ_CP139300.1,SOI86_RS02225,,SOI86_RS02225,Protein Homology,383420,384214,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818490.1,ABC transporter permease,WP_320681988.1,"GO:0042626,GO:0140359,GO:0016020,GO:0043190","membrane|0016020||IEA,ATP-binding cassette (ABC) transporter complex|0043190||IEA","ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,SOI86_RS02225,
NZ_CP139300.1,SOI86_RS02230,,SOI86_RS02230,Protein Homology,384484,384711,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376537.1,hypothetical protein,WP_011863020.1,,,,,SOI86_RS02230,
NZ_CP139300.1,SOI86_RS02235,,SOI86_RS02235,Protein Homology,385179,385991,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376538.1,sulfite exporter TauE/SafE family protein,WP_320681989.1,,,,,SOI86_RS02235,
NZ_CP139300.1,SOI86_RS02240,,SOI86_RS02240,Protein Homology,386131,386472,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820365.1,HNH endonuclease,WP_320681990.1,"GO:0003676,GO:0004519,GO:0008270",,"nucleic acid binding|0003676||IEA,endonuclease activity|0004519||IEA,zinc ion binding|0008270||IEA",,SOI86_RS02240,
NZ_CP139300.1,SOI86_RS02245,,SOI86_RS02245,Protein Homology,386775,387176,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863024.1,hypothetical protein,WP_320681991.1,,,,,SOI86_RS02245,
NZ_CP139300.1,SOI86_RS02250,,SOI86_RS02250,Protein Homology,387359,387565,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818497.1,hypothetical protein,WP_320681992.1,,,,,SOI86_RS02250,
NZ_CP139300.1,SOI86_RS02255,,SOI86_RS02255,Protein Homology,387601,387825,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807790.1,hypothetical protein,WP_320681993.1,,,,,SOI86_RS02255,
NZ_CP139300.1,SOI86_RS02260,,SOI86_RS02260,Protein Homology,388056,388556,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863028.1,josephin,WP_320681994.1,,,,,SOI86_RS02260,
NZ_CP139300.1,SOI86_RS02265,,SOI86_RS02265,Protein Homology,388630,388815,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820371.1,hypothetical protein,WP_320681995.1,,,,,SOI86_RS02265,
NZ_CP139300.1,SOI86_RS02270,,SOI86_RS02270,Protein Homology,388817,389212,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818502.1,phosphoribosyltransferase,WP_320681996.1,,,,,SOI86_RS02270,
NZ_CP139300.1,SOI86_RS02275,,SOI86_RS02275,Protein Homology,389209,389667,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863031.1,nucleoside 2-deoxyribosyltransferase,WP_320681997.1,,,,,SOI86_RS02275,
NZ_CP139300.1,rpsU,rpsU,SOI86_RS02280,Protein Homology,389757,389933,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863032.1,30S ribosomal protein S21,WP_032522158.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS02280,
NZ_CP139300.1,SOI86_RS02285,,SOI86_RS02285,Protein Homology,390032,390346,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818504.1,helix-hairpin-helix domain-containing protein,WP_320681998.1,,,,,SOI86_RS02285,
NZ_CP139300.1,SOI86_RS02290,,SOI86_RS02290,Protein Homology,390616,391221,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863034.1,uridine kinase,WP_320681999.1,,,,,SOI86_RS02290,
NZ_CP139300.1,SOI86_RS02295,,SOI86_RS02295,Protein Homology,391205,392368,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818506.1,NAD(P)-binding protein,WP_320682000.1,,,,,SOI86_RS02295,
NZ_CP139300.1,SOI86_RS02300,,SOI86_RS02300,Protein Homology,392394,393191,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007800.1,hypothetical protein,WP_320682001.1,,,,,SOI86_RS02300,
NZ_CP139300.1,SOI86_RS02305,,SOI86_RS02305,Protein Homology,393226,393459,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007801.1,hypothetical protein,WP_320682002.1,,,,,SOI86_RS02305,
NZ_CP139300.1,SOI86_RS02310,,SOI86_RS02310,Protein Homology,393618,394022,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007802.1,hypothetical protein,WP_320682003.1,,,,,SOI86_RS02310,
NZ_CP139300.1,SOI86_RS02315,,SOI86_RS02315,Protein Homology,394045,394725,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806213.1,peptidase E,WP_320682004.1,"GO:0006508,GO:0008236",,serine-type peptidase activity|0008236||IEA,proteolysis|0006508||IEA,SOI86_RS02315,3.4.13.21
NZ_CP139300.1,SOI86_RS02320,,SOI86_RS02320,Protein Homology,394744,395217,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818511.1,GNAT family N-acetyltransferase,WP_320682005.1,GO:0016747,,acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA,,SOI86_RS02320,2.3.1.-
NZ_CP139300.1,SOI86_RS02325,,SOI86_RS02325,Protein Homology,395660,395809,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863042.1,hypothetical protein,WP_320682006.1,,,,,SOI86_RS02325,
NZ_CP139300.1,SOI86_RS02330,,SOI86_RS02330,Protein Homology,395902,396219,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807441.1,DUF3303 domain-containing protein,WP_320682007.1,,,,,SOI86_RS02330,
NZ_CP139300.1,SOI86_RS02335,,SOI86_RS02335,Protein Homology,396643,396912,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007808.1,hypothetical protein,WP_320682490.1,,,,,SOI86_RS02335,
NZ_CP139300.1,SOI86_RS02340,,SOI86_RS02340,Protein Homology,397022,397159,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820387.1,hypothetical protein,WP_320682008.1,,,,,SOI86_RS02340,
NZ_CP139300.1,SOI86_RS02345,,SOI86_RS02345,Protein Homology,397371,397751,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818520.1,DCC1-like thiol-disulfide oxidoreductase family protein,WP_320682009.1,GO:0015035,,protein-disulfide reductase activity|0015035||IEA,,SOI86_RS02345,
NZ_CP139300.1,SOI86_RS02350,,SOI86_RS02350,Protein Homology,397859,398044,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818521.1,hypothetical protein,WP_011818521.1,,,,,SOI86_RS02350,
NZ_CP139300.1,SOI86_RS02355,,SOI86_RS02355,Protein Homology,398075,398377,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019474561.1,hypothetical protein,WP_320682010.1,,,,,SOI86_RS02355,
NZ_CP139300.1,SOI86_RS02360,,SOI86_RS02360,Protein Homology,398443,399159,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818523.1,MBL fold metallo-hydrolase,WP_320682011.1,"GO:0016787,GO:0046872",,"hydrolase activity|0016787||IEA,metal ion binding|0046872||IEA",,SOI86_RS02360,
NZ_CP139300.1,SOI86_RS02365,,SOI86_RS02365,Protein Homology,399312,399596,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805906.1,hypothetical protein,WP_320682012.1,,,,,SOI86_RS02365,
NZ_CP139300.1,pepN,pepN,SOI86_RS02370,Protein Homology,399645,402251,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376562.1,aminopeptidase N,WP_320682013.1,"GO:0006508,GO:0004177,GO:0008237,GO:0008270",,"aminopeptidase activity|0004177||IEA,metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA",proteolysis|0006508||IEA,SOI86_RS02370,3.4.11.2
NZ_CP139300.1,SOI86_RS02375,,SOI86_RS02375,Protein Homology,402654,402815,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818526.1,hypothetical protein,WP_011863053.1,,,,,SOI86_RS02375,
NZ_CP139300.1,SOI86_RS02380,,SOI86_RS02380,Protein Homology,402828,403028,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818527.1,hypothetical protein,WP_320682014.1,,,,,SOI86_RS02380,
NZ_CP139300.1,purT,purT,SOI86_RS02385,Protein Homology,403122,404297,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805683.1,formate-dependent phosphoribosylglycinamide formyltransferase,WP_320682015.1,"GO:0009152,GO:0000287,GO:0004644,GO:0005524",,"magnesium ion binding|0000287||IEA,phosphoribosylglycinamide formyltransferase activity|0004644||IEA,ATP binding|0005524||IEA",purine ribonucleotide biosynthetic process|0009152||IEA,SOI86_RS02385,2.1.2.-
NZ_CP139300.1,SOI86_RS02390,,SOI86_RS02390,Protein Homology,404309,404551,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863056.1,lectin subunit alpha,WP_320682016.1,,,,,SOI86_RS02390,
NZ_CP139300.1,SOI86_RS02395,,SOI86_RS02395,Protein Homology,404697,405176,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007821.1,glutathione peroxidase,WP_320682017.1,,,,,SOI86_RS02395,
NZ_CP139300.1,SOI86_RS02400,,SOI86_RS02400,Protein Homology,405314,405961,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376568.1,cell surface protein,WP_320682018.1,,,,,SOI86_RS02400,
NZ_CP139300.1,SOI86_RS02405,,SOI86_RS02405,Protein Homology,406009,406401,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376569.1,hypothetical protein,WP_320682019.1,,,,,SOI86_RS02405,
NZ_CP139300.1,dusB,dusB,SOI86_RS02410,Protein Homology,406576,407583,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818533.1,tRNA dihydrouridine synthase DusB,WP_320682020.1,"GO:0008033,GO:0017150,GO:0050660",,"tRNA dihydrouridine synthase activity|0017150||IEA,flavin adenine dinucleotide binding|0050660||IEA",tRNA processing|0008033||IEA,SOI86_RS02410,1.3.1.-
NZ_CP139300.1,SOI86_RS02415,,SOI86_RS02415,Protein Homology,407602,407856,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007825.1,DUF2470 domain-containing protein,WP_320682021.1,,,,,SOI86_RS02415,
NZ_CP139300.1,SOI86_RS02420,,SOI86_RS02420,Protein Homology,407878,408042,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818535.1,translation initiation factor IF-2 N-terminal domain-containing protein,WP_320682022.1,,,,,SOI86_RS02420,
NZ_CP139300.1,SOI86_RS02425,,SOI86_RS02425,Protein Homology,408087,408323,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863063.1,hypothetical protein,WP_320682023.1,,,,,SOI86_RS02425,
NZ_CP139300.1,SOI86_RS02430,,SOI86_RS02430,Protein Homology,408766,409185,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007829.1,acyl-CoA thioesterase,WP_320682024.1,GO:0016790,,thiolester hydrolase activity|0016790||IEA,,SOI86_RS02430,3.1.2.-
NZ_CP139300.1,SOI86_RS02435,,SOI86_RS02435,Protein Homology,409228,409425,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007830.1,hypothetical protein,WP_025962447.1,,,,,SOI86_RS02435,
NZ_CP139300.1,SOI86_RS02440,,SOI86_RS02440,Protein Homology,409466,409717,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808363.1,hypothetical protein,WP_025931991.1,,,,,SOI86_RS02440,
NZ_CP139300.1,SOI86_RS02445,,SOI86_RS02445,Protein Homology,409738,410610,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818541.1,restriction endonuclease,WP_320682025.1,,,,,SOI86_RS02445,
NZ_CP139300.1,SOI86_RS02450,,SOI86_RS02450,Protein Homology,410612,411016,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806432.1,MAPEG family protein,WP_320682026.1,GO:0016020,membrane|0016020||IEA,,,SOI86_RS02450,
NZ_CP139300.1,SOI86_RS02455,,SOI86_RS02455,Protein Homology,411394,411687,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007834.1,virion host shutoff protein,WP_320682027.1,,,,,SOI86_RS02455,
NZ_CP139300.1,SOI86_RS02460,,SOI86_RS02460,Protein Homology,412316,412600,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007836.1,DUF1330 domain-containing protein,WP_011376579.1,,,,,SOI86_RS02460,
NZ_CP139300.1,SOI86_RS02465,,SOI86_RS02465,Protein Homology,412737,412916,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807045.1,hypothetical protein,WP_011863071.1,,,,,SOI86_RS02465,
NZ_CP139300.1,SOI86_RS02470,,SOI86_RS02470,Protein Homology,412921,413100,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818547.1,hypothetical protein,WP_320682028.1,,,,,SOI86_RS02470,
NZ_CP139300.1,SOI86_RS02475,,SOI86_RS02475,Protein Homology,413186,413320,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863073.1,hypothetical protein,WP_257469857.1,,,,,SOI86_RS02475,
NZ_CP139300.1,SOI86_RS02480,,SOI86_RS02480,Protein Homology,413492,413671,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805497.1,hypothetical protein,WP_025888492.1,,,,,SOI86_RS02480,
