gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags
ALTBGP6_RS05725,,ALTBGP6_RS05725,EZ55_01172,GeneMarkS-2+,1297887,1298102,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,MDR/zinc-dependent alcohol dehydrogenase-like family protein,WP_231506427.1,,,,,,EZ55_01172
ALTBGP6_RS05730,,ALTBGP6_RS05730,EZ55_01173,GeneMarkS-2+,1298089,1298280,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_231506428.1,,,,,,EZ55_01173
ALTBGP6_RS05735,,ALTBGP6_RS05735,EZ55_01174,Protein Homology,1298473,1299498,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978185.1,IS110 family RNA-guided transposase,WP_156086086.1,GO:0004803,,transposase activity|0004803||IEA,,,EZ55_01174
ALTBGP6_RS05740,,ALTBGP6_RS05740,EZ55_01175,Protein Homology,1299823,1300854,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975954.1,DUF2955 domain-containing protein,WP_049585763.1,,,,,,EZ55_01175
ALTBGP6_RS05745,,ALTBGP6_RS05745,EZ55_01176,Protein Homology,1300864,1301937,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997715.1,HlyD family secretion protein,WP_101563754.1,"GO:0055085,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,,EZ55_01176
ALTBGP6_RS05750,,ALTBGP6_RS05750,EZ55_01177,Protein Homology,1301934,1302389,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948722.1,MarR family winged helix-turn-helix transcriptional regulator,WP_014948722.1,"GO:0006355,GO:0003700",,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA,,EZ55_01177
btsR,btsR,ALTBGP6_RS05755,EZ55_01178,Protein Homology,1302609,1303337,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975956.1,two-component system response regulator BtsR,WP_156086087.1,,,,,yehT,EZ55_01178
ALTBGP6_RS05760,,ALTBGP6_RS05760,EZ55_01179,Protein Homology,1303340,1305031,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975957.1,sensor histidine kinase,WP_156086088.1,"GO:0000160,GO:0071555,GO:0000155,GO:0004673,GO:0016020",membrane|0016020||IEA,"phosphorelay sensor kinase activity|0000155||IEA,protein histidine kinase activity|0004673||IEA","phosphorelay signal transduction system|0000160||IEA,cell wall organization|0071555||IEA",,EZ55_01179
ALTBGP6_RS05765,,ALTBGP6_RS05765,EZ55_01180,Protein Homology,1305154,1306647,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978660.1,carbon starvation CstA family protein,WP_156086089.1,"GO:0015833,GO:0005886",plasma membrane|0005886||IEA,,peptide transport|0015833||IEA,,EZ55_01180
prfC,prfC,ALTBGP6_RS05770,EZ55_01181,Protein Homology,1306994,1308583,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_017419803.1,peptide chain release factor 3,WP_014948726.1,"GO:0006415,GO:0003747,GO:0003924,GO:0005525",,"translation release factor activity|0003747||IEA,GTPase activity|0003924||IEA,GTP binding|0005525||IEA",translational termination|0006415||IEA,,EZ55_01181
argS,argS,ALTBGP6_RS05775,EZ55_01182,Protein Homology,1308617,1310347,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013785013.1,arginine--tRNA ligase,WP_014948727.1,"GO:0006420,GO:0004814,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"arginine-tRNA ligase activity|0004814||IEA,ATP binding|0005524||IEA",arginyl-tRNA aminoacylation|0006420||IEA,,EZ55_01182
ALTBGP6_RS05780,,ALTBGP6_RS05780,EZ55_01183,Protein Homology,1310636,1311202,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975958.1,NADPH-dependent FMN reductase,WP_014975958.1,"GO:0008752,GO:0008753,GO:0010181,GO:0016491,GO:0050136,GO:0052873",,"FMN reductase [NAD(P)H] activity|0008752||IEA,NADPH dehydrogenase (quinone) activity|0008753||IEA,FMN binding|0010181||IEA,oxidoreductase activity|0016491||IEA,NADH dehydrogenase (quinone) (non-electrogenic) activity|0050136||IEA,FMN reductase (NADPH) activity|0052873||IEA",,,EZ55_01183
ALTBGP6_RS05785,,ALTBGP6_RS05785,EZ55_01184,Protein Homology,1311422,1313380,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975959.1,tetratricopeptide repeat-containing sulfotransferase family protein,WP_156086090.1,"GO:0005515,GO:0008146,GO:0050656,GO:0016020",membrane|0016020||IEA,"protein binding|0005515||IEA,sulfotransferase activity|0008146||IEA,3'-phosphoadenosine 5'-phosphosulfate binding|0050656||IEA",,,EZ55_01184
ALTBGP6_RS05790,,ALTBGP6_RS05790,EZ55_01185,Protein Homology,1313467,1314141,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975960.1,pentapeptide repeat-containing protein,WP_156086091.1,,,,,,EZ55_01185
ALTBGP6_RS05795,,ALTBGP6_RS05795,EZ55_01186,Protein Homology,1314207,1316057,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978663.1,methanol/ethanol family PQQ-dependent dehydrogenase,WP_014948731.1,,,,,,EZ55_01186
ALTBGP6_RS05800,,ALTBGP6_RS05800,EZ55_01187,Protein Homology,1316300,1316935,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978664.1,response regulator transcription factor,WP_014975961.1,"GO:0000160,GO:0006355,GO:0003677",,DNA binding|0003677||IEA,"phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA",,EZ55_01187
ALTBGP6_RS05805,,ALTBGP6_RS05805,EZ55_01188,Protein Homology,1317041,1318297,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948733.1,DUF2891 domain-containing protein,WP_156086092.1,,,,,,EZ55_01188
ALTBGP6_RS05810,,ALTBGP6_RS05810,EZ55_01189,Protein Homology,1318334,1319383,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948734.1,PLP-dependent cysteine synthase family protein,WP_061485126.1,GO:0030170,,pyridoxal phosphate binding|0030170||IEA,,,EZ55_01189
ALTBGP6_RS05815,,ALTBGP6_RS05815,EZ55_01190,Protein Homology,1319687,1320901,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978668.1,endonuclease/exonuclease/phosphatase family protein,WP_156086093.1,GO:0003824,,catalytic activity|0003824||IEA,,,EZ55_01190
ALTBGP6_RS05820,,ALTBGP6_RS05820,EZ55_01191,Protein Homology,1321004,1323862,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066607.1,ligand-binding sensor domain-containing diguanylate cyclase,WP_319633855.1,"GO:0000160,GO:0007165,GO:0005525,GO:0046872,GO:0052621,GO:0140299",,"GTP binding|0005525||IEA,metal ion binding|0046872||IEA,diguanylate cyclase activity|0052621||IEA,molecular sensor activity|0140299||IEA","phosphorelay signal transduction system|0000160||IEA,signal transduction|0007165||IEA",,EZ55_01191
ALTBGP6_RS05825,,ALTBGP6_RS05825,EZ55_01192,Protein Homology,1323924,1324802,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948737.1,DUF417 family protein,WP_156086094.1,,,,,,EZ55_01192
ALTBGP6_RS05830,,ALTBGP6_RS05830,EZ55_01193,Protein Homology,1325050,1325508,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066609.1,hypothetical protein,WP_156086095.1,,,,,,EZ55_01193
ALTBGP6_RS05835,,ALTBGP6_RS05835,EZ55_01194,Protein Homology,1325578,1325949,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975967.1,hypothetical protein,WP_156087322.1,,,,,,EZ55_01194
ALTBGP6_RS05840,,ALTBGP6_RS05840,EZ55_01195,Protein Homology,1326180,1327091,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975968.1,LysR family transcriptional regulator,WP_156086096.1,"GO:0006355,GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",regulation of DNA-templated transcription|0006355||IEA,,EZ55_01195
ALTBGP6_RS05845,,ALTBGP6_RS05845,EZ55_01196,Protein Homology,1327199,1328056,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948741.1,SDR family oxidoreductase,WP_156086097.1,GO:0016655,,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor|0016655||IEA,,,EZ55_01196
ALTBGP6_RS05850,,ALTBGP6_RS05850,EZ55_01197,Protein Homology,1328200,1328637,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517773.1,DUF2177 family protein,WP_014948742.1,,,,,,EZ55_01197
ALTBGP6_RS05855,,ALTBGP6_RS05855,EZ55_01198,Protein Homology,1328615,1329769,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997730.1,fatty acid desaturase family protein,WP_156086098.1,"GO:0006633,GO:0016717,GO:0046872,GO:0016020",membrane|0016020||IEA,"oxidoreductase activity%2C acting on paired donors%2C with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water|0016717||IEA,metal ion binding|0046872||IEA",fatty acid biosynthetic process|0006633||IEA,,EZ55_01198
ALTBGP6_RS05860,,ALTBGP6_RS05860,EZ55_01199,Protein Homology,1329766,1330824,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013783483.1,flavin reductase family protein,WP_231506437.1,,,,,,EZ55_01199
ALTBGP6_RS05865,,ALTBGP6_RS05865,EZ55_01200,Protein Homology,1331114,1332199,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978677.1,alkene reductase,WP_156086099.1,"GO:0010181,GO:0016491",,"FMN binding|0010181||IEA,oxidoreductase activity|0016491||IEA",,,EZ55_01200
ALTBGP6_RS05870,,ALTBGP6_RS05870,EZ55_01201,Protein Homology,1332426,1332644,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517776.1,hypothetical protein,WP_039222898.1,,,,,,EZ55_01201
prfB,prfB,ALTBGP6_RS05875,EZ55_01202,Protein Homology,1332956,1333030,+,programmed frameshift,ribosomal slippage,COORDINATES: similar to AA sequence:RefSeq:WP_013754301.1,peptide chain release factor 2,WP_101563798.1,"GO:0006415,GO:0016149,GO:0005737",cytoplasm|0005737||IEA,translation release factor activity%2C codon specific|0016149||IEA,translational termination|0006415||IEA,,EZ55_01202
prfB,prfB,ALTBGP6_RS05875,EZ55_01202,Protein Homology,1333032,1334054,+,programmed frameshift,ribosomal slippage,COORDINATES: similar to AA sequence:RefSeq:WP_013754301.1,peptide chain release factor 2,WP_101563798.1,"GO:0006415,GO:0016149,GO:0005737",cytoplasm|0005737||IEA,translation release factor activity%2C codon specific|0016149||IEA,translational termination|0006415||IEA,,EZ55_01202
lysS,lysS,ALTBGP6_RS05880,EZ55_01203,Protein Homology,1334078,1335646,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997734.1,lysine--tRNA ligase,WP_014948748.1,"GO:0006430,GO:0004824,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"lysine-tRNA ligase activity|0004824||IEA,ATP binding|0005524||IEA",lysyl-tRNA aminoacylation|0006430||IEA,,EZ55_01203
ALTBGP6_RS05885,,ALTBGP6_RS05885,EZ55_01204,Protein Homology,1335687,1336628,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066612.1,ketopantoate reductase family protein,WP_156086100.1,GO:0016491,,oxidoreductase activity|0016491||IEA,,,EZ55_01204
ALTBGP6_RS05890,,ALTBGP6_RS05890,EZ55_01206,Protein Homology,1336721,1337473,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975975.1,pseudouridine synthase,WP_156086101.1,"GO:0001522,GO:0009451,GO:0003723,GO:0009982",,"RNA binding|0003723||IEA,pseudouridine synthase activity|0009982||IEA","pseudouridine synthesis|0001522||IEA,RNA modification|0009451||IEA",,EZ55_01206
ALTBGP6_RS05895,,ALTBGP6_RS05895,EZ55_01207,Protein Homology,1337473,1338039,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997737.1,Hpt domain-containing protein,WP_014948751.1,"GO:0000160,GO:0009927,GO:0043424",,"histidine phosphotransfer kinase activity|0009927||IEA,protein histidine kinase binding|0043424||IEA",phosphorelay signal transduction system|0000160||IEA,,EZ55_01207
ALTBGP6_RS05900,,ALTBGP6_RS05900,EZ55_01208,Protein Homology,1338377,1341262,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978680.1,M16 family metallopeptidase,WP_156086102.1,"GO:0008237,GO:0046872",,"metallopeptidase activity|0008237||IEA,metal ion binding|0046872||IEA",,,EZ55_01208
gshA,gshA,ALTBGP6_RS05905,EZ55_01209,Protein Homology,1341337,1342935,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517783.1,glutamate--cysteine ligase,WP_156086103.1,"GO:0006750,GO:0004357",,glutamate-cysteine ligase activity|0004357||IEA,glutathione biosynthetic process|0006750||IEA,,EZ55_01209
ALTBGP6_RS05910,,ALTBGP6_RS05910,EZ55_01210,Protein Homology,1343003,1343641,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517784.1,transglycosylase SLT domain-containing protein,WP_014948754.1,,,,,,EZ55_01210
ALTBGP6_RS05915,,ALTBGP6_RS05915,EZ55_01211,Protein Homology,1343933,1344391,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948755.1,hypothetical protein,WP_014948755.1,,,,,,EZ55_01211
ALTBGP6_RS05920,,ALTBGP6_RS05920,EZ55_01213,Protein Homology,1345083,1345208,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784987.1,hypothetical protein,WP_012517787.1,,,,,,EZ55_01213
smrB,smrB,ALTBGP6_RS05925,EZ55_01214,Protein Homology,1345238,1345888,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948757.1,endonuclease SmrB,WP_069943938.1,,,,,,EZ55_01214
prmB,prmB,ALTBGP6_RS05930,EZ55_01215,Protein Homology,1346041,1346976,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784985.1,50S ribosomal protein L3 N(5)-glutamine methyltransferase,WP_039226525.1,"GO:0018364,GO:0042273,GO:0008276,GO:0008757",,"protein methyltransferase activity|0008276||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA","peptidyl-glutamine methylation|0018364||IEA,ribosomal large subunit biogenesis|0042273||IEA",,EZ55_01215
aroC,aroC,ALTBGP6_RS05935,EZ55_01216,Protein Homology,1346986,1348083,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517790.1,chorismate synthase,WP_014948759.1,"GO:0009073,GO:0004107",,chorismate synthase activity|0004107||IEA,aromatic amino acid family biosynthetic process|0009073||IEA,,EZ55_01216
ALTBGP6_RS05940,,ALTBGP6_RS05940,EZ55_01217,Protein Homology,1348237,1349454,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948760.1,MFS transporter,WP_061485147.1,,,,,,EZ55_01217
ALTBGP6_RS05945,,ALTBGP6_RS05945,EZ55_01218,Protein Homology,1349483,1351030,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978686.1,SpoVR family protein,WP_014978686.1,,,,,,EZ55_01218
ALTBGP6_RS05950,,ALTBGP6_RS05950,EZ55_01219,Protein Homology,1351032,1352318,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948762.1,YeaH/YhbH family protein,WP_061485149.1,,,,,,EZ55_01219
ALTBGP6_RS05955,,ALTBGP6_RS05955,EZ55_01220,Protein Homology,1352404,1354326,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_005355425.1,PrkA family serine protein kinase,WP_014975982.1,GO:0004672,,protein kinase activity|0004672||IEA,,,EZ55_01220
ALTBGP6_RS05960,,ALTBGP6_RS05960,ALTBGP6_RS05960,Protein Homology,1354561,1354912,+,programmed frameshift,ribosomal slippage,COORDINATES: similar to AA sequence:RefSeq:WP_076612166.1,IS3 family transposase,WP_139125415.1,GO:0004803,,transposase activity|0004803||IEA,,,
ALTBGP6_RS05960,,ALTBGP6_RS05960,ALTBGP6_RS05960,Protein Homology,1354912,1355789,+,programmed frameshift,ribosomal slippage,COORDINATES: similar to AA sequence:RefSeq:WP_076612166.1,IS3 family transposase,WP_139125415.1,GO:0004803,,transposase activity|0004803||IEA,,,
sodB,sodB,ALTBGP6_RS05965,EZ55_01223,Protein Homology,1355870,1356451,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_010931119.1,superoxide dismutase [Fe],WP_014948764.1,"GO:0006801,GO:0004784,GO:0046872",,"superoxide dismutase activity|0004784||IEA,metal ion binding|0046872||IEA",superoxide metabolic process|0006801||IEA,,EZ55_01223
ALTBGP6_RS05970,,ALTBGP6_RS05970,EZ55_01224,Protein Homology,1356801,1357151,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948765.1,Grx4 family monothiol glutaredoxin,WP_014948765.1,GO:0016491,,oxidoreductase activity|0016491||IEA,,,EZ55_01224
ALTBGP6_RS05975,,ALTBGP6_RS05975,EZ55_01225,Protein Homology,1357486,1360074,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975983.1,TonB-dependent receptor plug domain-containing protein,WP_039226539.1,"GO:0015891,GO:0055085,GO:0015267,GO:0009279,GO:0016020","cell outer membrane|0009279||IEA,membrane|0016020||IEA",channel activity|0015267||IEA,"siderophore transport|0015891||IEA,transmembrane transport|0055085||IEA",,EZ55_01225
ALTBGP6_RS05980,,ALTBGP6_RS05980,EZ55_01226,Protein Homology,1360157,1360789,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948766.1,RNA polymerase sigma factor,WP_014948766.1,"GO:0006352,GO:0003677,GO:0016987",,"DNA binding|0003677||IEA,sigma factor activity|0016987||IEA",DNA-templated transcription initiation|0006352||IEA,,EZ55_01226
ALTBGP6_RS05985,,ALTBGP6_RS05985,EZ55_01227,Protein Homology,1360791,1361846,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948767.1,FecR family protein,WP_014948767.1,"GO:0006811,GO:0004888,GO:0016989",,"transmembrane signaling receptor activity|0004888||IEA,sigma factor antagonist activity|0016989||IEA",monoatomic ion transport|0006811||IEA,,EZ55_01227
ALTBGP6_RS05990,,ALTBGP6_RS05990,EZ55_01228,Protein Homology,1362066,1364999,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978689.1,TonB-dependent receptor,WP_156087324.1,,,,,,EZ55_01228
ALTBGP6_RS05995,,ALTBGP6_RS05995,EZ55_01229,Protein Homology,1365261,1365455,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948769.1,bacterioferritin-associated ferredoxin,WP_014948769.1,,,,,,EZ55_01229
ALTBGP6_RS06000,,ALTBGP6_RS06000,EZ55_01230,Protein Homology,1365731,1366336,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007378637.1,peroxiredoxin,WP_014948770.1,GO:0051920,,peroxiredoxin activity|0051920||IEA,,,EZ55_01230
rnt,rnt,ALTBGP6_RS06005,EZ55_01231,Protein Homology,1366410,1367045,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997753.1,ribonuclease T,WP_061485153.1,"GO:0006364,GO:0042780,GO:0016896",,RNA exonuclease activity%2C producing 5'-phosphomonoesters|0016896||IEA,"rRNA processing|0006364||IEA,tRNA 3'-end processing|0042780||IEA",,EZ55_01231
ALTBGP6_RS06010,,ALTBGP6_RS06010,EZ55_01232,Protein Homology,1367387,1368259,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975986.1,flagellar protein MotY,WP_014975986.1,"GO:0097588,GO:0009279",cell outer membrane|0009279||IEA,,archaeal or bacterial-type flagellum-dependent cell motility|0097588||IEA,,EZ55_01232
glpQ,glpQ,ALTBGP6_RS06015,EZ55_01233,Protein Homology,1368297,1369493,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948773.1,glycerophosphodiester phosphodiesterase,WP_156086104.1,"GO:0006629,GO:0008081",,phosphoric diester hydrolase activity|0008081||IEA,lipid metabolic process|0006629||IEA,,EZ55_01233
gloA,gloA,ALTBGP6_RS06020,EZ55_01234,Protein Homology,1369629,1370024,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978691.1,lactoylglutathione lyase,WP_014948774.1,"GO:0051596,GO:0004462,GO:0046872",,"lactoylglutathione lyase activity|0004462||IEA,metal ion binding|0046872||IEA",methylglyoxal catabolic process|0051596||IEA,,EZ55_01234
ALTBGP6_RS06025,,ALTBGP6_RS06025,EZ55_01235,Protein Homology,1370291,1371001,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948775.1,SDR family oxidoreductase,WP_156086105.1,GO:0016491,,oxidoreductase activity|0016491||IEA,,,EZ55_01235
cspE,cspE,ALTBGP6_RS06030,EZ55_01237,Protein Homology,1371336,1371548,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517807.1,transcription antiterminator/RNA stability regulator CspE,WP_014948776.1,"GO:0031564,GO:0001072,GO:0003697,GO:0003723",,"transcription antitermination factor activity%2C RNA binding|0001072||IEA,single-stranded DNA binding|0003697||IEA,RNA binding|0003723||IEA",transcription antitermination|0031564||IEA,"gicA,msmC",EZ55_01237
ALTBGP6_RS06035,,ALTBGP6_RS06035,EZ55_01238,Protein Homology,1371717,1371896,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997758.1,hypothetical protein,WP_014948777.1,,,,,,EZ55_01238
ALTBGP6_RS06040,,ALTBGP6_RS06040,EZ55_01239,Protein Homology,1372002,1373420,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978695.1,M20/M25/M40 family metallo-hydrolase,WP_156086106.1,GO:0016787,,hydrolase activity|0016787||IEA,,,EZ55_01239
ALTBGP6_RS06045,,ALTBGP6_RS06045,EZ55_01240,Protein Homology,1373616,1374338,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014997760.1,endonuclease III domain-containing protein,WP_014975990.1,"GO:0006284,GO:0016798,GO:0051539",,"hydrolase activity%2C acting on glycosyl bonds|0016798||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA",base-excision repair|0006284||IEA,,EZ55_01240
ALTBGP6_RS06050,,ALTBGP6_RS06050,EZ55_01241,Protein Homology,1374373,1375065,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011575730.1,electron transport complex subunit E,WP_039233136.1,GO:0022900,,,electron transport chain|0022900||IEA,,EZ55_01241
ALTBGP6_RS06055,,ALTBGP6_RS06055,EZ55_01242,Protein Homology,1375067,1375951,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978698.1,RnfABCDGE type electron transport complex subunit G,WP_069943947.1,"GO:0022900,GO:0009055,GO:0010181,GO:0005886",plasma membrane|0005886||IEA,"electron transfer activity|0009055||IEA,FMN binding|0010181||IEA",electron transport chain|0022900||IEA,,EZ55_01242
rsxD,rsxD,ALTBGP6_RS06060,EZ55_01243,Protein Homology,1375951,1377033,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948782.1,electron transport complex subunit RsxD,WP_061485157.1,"GO:0022900,GO:0055085,GO:0016020",membrane|0016020||IEA,,"electron transport chain|0022900||IEA,transmembrane transport|0055085||IEA",,EZ55_01243
rsxC,rsxC,ALTBGP6_RS06065,EZ55_01244,Protein Homology,1377033,1379924,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975991.1,electron transport complex subunit RsxC,WP_156087325.1,"GO:0009055,GO:0051539,GO:0016020",membrane|0016020||IEA,"electron transfer activity|0009055||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA",,,EZ55_01244
rsxB,rsxB,ALTBGP6_RS06070,EZ55_01245,Protein Homology,1379930,1380511,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975992.1,electron transport complex subunit RsxB,WP_039226568.1,"GO:0022900,GO:0009055,GO:0051536",,"electron transfer activity|0009055||IEA,iron-sulfur cluster binding|0051536||IEA",electron transport chain|0022900||IEA,,EZ55_01245
rsxA,rsxA,ALTBGP6_RS06075,EZ55_01246,Protein Homology,1380511,1381092,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019443296.1,electron transport complex subunit RsxA,WP_014975993.1,"GO:0022900,GO:0016020",membrane|0016020||IEA,,electron transport chain|0022900||IEA,,EZ55_01246
ALTBGP6_RS06090,,ALTBGP6_RS06090,EZ55_01249,Protein Homology,1382465,1383847,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008843330.1,MATE family efflux transporter,WP_197044396.1,"GO:0055085,GO:0015297,GO:0042910,GO:0016020",membrane|0016020||IEA,"antiporter activity|0015297||IEA,xenobiotic transmembrane transporter activity|0042910||IEA",transmembrane transport|0055085||IEA,,EZ55_01249
uvrB,uvrB,ALTBGP6_RS06095,EZ55_01250,Protein Homology,1383944,1385959,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006993643.1,excinuclease ABC subunit UvrB,WP_014948785.1,"GO:0006289,GO:0003677,GO:0005515,GO:0005524,GO:0016787,GO:0016887,GO:0009380",excinuclease repair complex|0009380||IEA,"DNA binding|0003677||IEA,protein binding|0005515||IEA,ATP binding|0005524||IEA,hydrolase activity|0016787||IEA,ATP hydrolysis activity|0016887||IEA",nucleotide-excision repair|0006289||IEA,,EZ55_01250
ALTBGP6_RS06100,,ALTBGP6_RS06100,EZ55_01251,Protein Homology,1386233,1387159,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018984470.1,LysR family transcriptional regulator,WP_014948786.1,"GO:0006355,GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",regulation of DNA-templated transcription|0006355||IEA,,EZ55_01251
queC,queC,ALTBGP6_RS06105,EZ55_01252,Protein Homology,1387256,1387912,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_010557540.1,7-cyano-7-deazaguanine synthase QueC,WP_014975995.1,GO:0008616,,,tRNA queuosine(34) biosynthetic process|0008616||IEA,,EZ55_01252
queE,queE,ALTBGP6_RS06110,EZ55_01253,Protein Homology,1388008,1388682,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948788.1,7-carboxy-7-deazaguanine synthase QueE,WP_014948788.1,"GO:0006400,GO:0051539,GO:1904047",,"4 iron%2C 4 sulfur cluster binding|0051539||IEA,S-adenosyl-L-methionine binding|1904047||IEA",tRNA modification|0006400||IEA,,EZ55_01253
ALTBGP6_RS06115,,ALTBGP6_RS06115,EZ55_01254,Protein Homology,1388759,1389655,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975996.1,type 2 periplasmic-binding domain-containing protein,WP_014975996.1,,,,,,EZ55_01254
ALTBGP6_RS06120,,ALTBGP6_RS06120,EZ55_01255,Protein Homology,1389693,1391021,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975370.1,IS4 family transposase,WP_014975370.1,GO:0004803,,transposase activity|0004803||IEA,,,EZ55_01255
asnB,asnB,ALTBGP6_RS06125,EZ55_01256,Protein Homology,1391168,1392838,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948790.1,asparagine synthase B,WP_014948790.1,"GO:0070981,GO:0004066",,asparagine synthase (glutamine-hydrolyzing) activity|0004066||IEA,L-asparagine biosynthetic process|0070981||IEA,,EZ55_01256
ALTBGP6_RS06130,,ALTBGP6_RS06130,EZ55_01257,Protein Homology,1393230,1394897,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517825.1,M28 family metallopeptidase,WP_156086107.1,,,,,,EZ55_01257
ALTBGP6_RS06135,,ALTBGP6_RS06135,EZ55_01258,Protein Homology,1394968,1395837,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975998.1,DUF3025 domain-containing protein,WP_156086108.1,,,,,,EZ55_01258
