gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
SYNPCC7942_RS03400,,SYNPCC7942_RS03400,Synpcc7942_0664,Protein Homology,660875,662224,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377671.1,mechanosensitive ion channel domain-containing protein,WP_011377671.1,"GO:0055085,GO:0016020",membrane|0016020||IEA,,transmembrane transport|0055085||IEA,,Synpcc7942_0664,
SYNPCC7942_RS03405,,SYNPCC7942_RS03405,Synpcc7942_0665,Protein Homology,662232,662978,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243175.1,creatininase family protein,WP_011243175.1,,,,,,Synpcc7942_0665,3.5.2.10
SYNPCC7942_RS03410,,SYNPCC7942_RS03410,Synpcc7942_0666,Protein Homology,663141,663761,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243174.1,J domain-containing protein,WP_011243174.1,GO:0006457,,,protein folding|0006457||IEA,,Synpcc7942_0666,
SYNPCC7942_RS03415,,SYNPCC7942_RS03415,Synpcc7942_0667,Protein Homology,663985,664296,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243173.1,DUF6679 family protein,WP_011243173.1,,,,,,Synpcc7942_0667,
SYNPCC7942_RS14235,,SYNPCC7942_RS14235,Synpcc7942_0668,Protein Homology,664306,664428,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_017297736.1,hypothetical protein,WP_039755839.1,,,,,,Synpcc7942_0668,
SYNPCC7942_RS03425,,SYNPCC7942_RS03425,Synpcc7942_0669,Protein Homology,664525,665124,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243172.1,DNA-3-methyladenine glycosylase,WP_011243172.1,"GO:0006284,GO:0003677,GO:0003905",,"DNA binding|0003677||IEA,alkylbase DNA N-glycosylase activity|0003905||IEA",base-excision repair|0006284||IEA,,Synpcc7942_0669,3.2.2.-
SYNPCC7942_RS03430,,SYNPCC7942_RS03430,Synpcc7942_0670,Protein Homology,665121,666137,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243171.1,aspartate carbamoyltransferase catalytic subunit,WP_011243171.1,"GO:0006207,GO:0006520,GO:0004070,GO:0016597",,"aspartate carbamoyltransferase activity|0004070||IEA,amino acid binding|0016597||IEA","'de novo' pyrimidine nucleobase biosynthetic process|0006207||IEA,amino acid metabolic process|0006520||IEA",,Synpcc7942_0670,2.1.3.2
SYNPCC7942_RS03435,,SYNPCC7942_RS03435,Synpcc7942_0671,Protein Homology,666156,666653,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377674.1,COG2426 family protein,WP_011377674.1,,,,,,Synpcc7942_0671,
SYNPCC7942_RS03440,,SYNPCC7942_RS03440,Synpcc7942_0672,Protein Homology,666887,667849,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377675.1,RNA polymerase sigma factor%2C RpoD/SigA family,WP_011377675.1,"GO:0006352,GO:0003677,GO:0016987",,"DNA binding|0003677||IEA,sigma factor activity|0016987||IEA",DNA-templated transcription initiation|0006352||IEA,,Synpcc7942_0672,
mutY,mutY,SYNPCC7942_RS03445,Synpcc7942_0673,Protein Homology,667849,668931,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243168.1,A/G-specific adenine glycosylase,WP_011243168.1,"GO:0006284,GO:0019104",,DNA N-glycosylase activity|0019104||IEA,base-excision repair|0006284||IEA,,Synpcc7942_0673,3.2.2.31
hemF,hemF,SYNPCC7942_RS03450,Synpcc7942_0674,Protein Homology,669272,670300,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243167.1,oxygen-dependent coproporphyrinogen oxidase,WP_011243167.1,"GO:0006779,GO:0004109",,coproporphyrinogen oxidase activity|0004109||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,,Synpcc7942_0674,1.3.3.3
SYNPCC7942_RS03455,,SYNPCC7942_RS03455,Synpcc7942_0675,Protein Homology,670297,670818,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243166.1,cofactor assembly of complex C subunit B,WP_011377677.1,,,,,,Synpcc7942_0675,
SYNPCC7942_RS03460,,SYNPCC7942_RS03460,Synpcc7942_0676,Protein Homology,670914,672119,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377678.1,lipid-A-disaccharide synthase-related protein,WP_011377678.1,,,,,,Synpcc7942_0676,
SYNPCC7942_RS03465,,SYNPCC7942_RS03465,Synpcc7942_0677,Protein Homology,672082,672462,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377679.1,PadR family transcriptional regulator,WP_011377679.1,GO:0003677,,DNA binding|0003677||IEA,,,Synpcc7942_0677,
SYNPCC7942_RS03470,,SYNPCC7942_RS03470,Synpcc7942_0678,Protein Homology,672767,673402,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243163.1,ribonuclease D,WP_011243163.1,,,,,,Synpcc7942_0678,
SYNPCC7942_RS03480,,SYNPCC7942_RS03480,Synpcc7942_0679,Protein Homology,673785,674108,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243162.1,RNA recognition motif domain-containing protein,WP_011377680.1,"GO:0006397,GO:0003729",,mRNA binding|0003729||IEA,mRNA processing|0006397||IEA,,Synpcc7942_0679,
SYNPCC7942_RS03485,,SYNPCC7942_RS03485,Synpcc7942_0680,Protein Homology,674334,675149,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243161.1,sterol desaturase family protein,WP_011243161.1,"GO:0006629,GO:0008610,GO:0016491",,oxidoreductase activity|0016491||IEA,"lipid metabolic process|0006629||IEA,lipid biosynthetic process|0008610||IEA",,Synpcc7942_0680,1.-.-.-
ispD,ispD,SYNPCC7942_RS03490,Synpcc7942_0681,Protein Homology,675164,675862,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377681.1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,WP_011377681.1,"GO:0008299,GO:0019288,GO:0050518",,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity|0050518||IEA,"isoprenoid biosynthetic process|0008299||IEA,isopentenyl diphosphate biosynthetic process%2C methylerythritol 4-phosphate pathway|0019288||IEA",,Synpcc7942_0681,2.7.7.60
SYNPCC7942_RS03495,,SYNPCC7942_RS03495,Synpcc7942_0682,Protein Homology,675946,676905,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243159.1,glycosyltransferase family 9 protein,WP_011377682.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,,Synpcc7942_0682,2.4.-.-
SYNPCC7942_RS03500,,SYNPCC7942_RS03500,Synpcc7942_0683,Protein Homology,676942,677967,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243158.1,potassium channel family protein,WP_011243158.1,"GO:0030001,GO:0034220,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,"metal ion transport|0030001||IEA,monoatomic ion transmembrane transport|0034220||IEA",,Synpcc7942_0683,
fabG,fabG,SYNPCC7942_RS03505,Synpcc7942_0684,Protein Homology,678025,678774,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243157.1,3-oxoacyl-[acyl-carrier-protein] reductase,WP_011243157.1,"GO:0006633,GO:0004316,GO:0051287",,"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity|0004316||IEA,NAD binding|0051287||IEA",fatty acid biosynthetic process|0006633||IEA,,Synpcc7942_0684,1.1.1.100
groL,groL,SYNPCC7942_RS03510,Synpcc7942_0685,Protein Homology,678881,680548,+,60 kDa chaperone family%3B promotes refolding of misfolded polypeptides especially under stressful conditions%3B forms two stacked rings of heptamers to form a barrel-shaped 14mer%3B ends can be capped by GroES%3B misfolded proteins enter the barrel where they are refolded when GroES binds,,COORDINATES: similar to AA sequence:RefSeq:WP_011243156.1,chaperonin GroEL,WP_011243156.1,"GO:0042026,GO:0140662",,ATP-dependent protein folding chaperone|0140662||IEA,protein refolding|0042026||IEA,,Synpcc7942_0685,
SYNPCC7942_RS03515,,SYNPCC7942_RS03515,SYNPCC7942_RS03515,GeneMarkS-2+,680767,680967,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_039755834.1,,,,,,,
cofH,cofH,SYNPCC7942_RS03520,Synpcc7942_0686,Protein Homology,680978,682138,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243155.1,7%2C8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofH,WP_011243155.1,,,,,,Synpcc7942_0686,
SYNPCC7942_RS03525,,SYNPCC7942_RS03525,Synpcc7942_0687,Protein Homology,682128,683747,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243154.1,DUF3352 domain-containing protein,WP_011243154.1,,,,,,Synpcc7942_0687,
SYNPCC7942_RS03530,,SYNPCC7942_RS03530,Synpcc7942_0688,Protein Homology,683722,684060,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243153.1,ArsR/SmtB family transcription factor,WP_011243153.1,"GO:0006355,GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",regulation of DNA-templated transcription|0006355||IEA,,Synpcc7942_0688,
SYNPCC7942_RS03535,,SYNPCC7942_RS03535,Synpcc7942_0689,Protein Homology,684051,684884,-,,,COORDINATES: protein motif:HMM:NF014566.6,CPBP family intramembrane glutamic endopeptidase,WP_011377683.1,,,,,,Synpcc7942_0689,3.4.-.-
clpS,clpS,SYNPCC7942_RS03540,Synpcc7942_0690,Protein Homology,684868,685155,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002738526.1,ATP-dependent Clp protease adapter ClpS,WP_011377684.1,,,,,,Synpcc7942_0690,
SYNPCC7942_RS13620,,SYNPCC7942_RS13620,Synpcc7942_0691,GeneMarkS-2+,685290,685634,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011377685.1,,,,,,Synpcc7942_0691,
SYNPCC7942_RS03550,,SYNPCC7942_RS03550,Synpcc7942_0692,Protein Homology,685631,686185,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243150.1,alpha/beta hydrolase,WP_011243150.1,,,,,,Synpcc7942_0692,
SYNPCC7942_RS03555,,SYNPCC7942_RS03555,Synpcc7942_0693,Protein Homology,686247,687032,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243149.1,HAD family hydrolase,WP_011243149.1,GO:0016787,,hydrolase activity|0016787||IEA,,,Synpcc7942_0693,3.-.-.-
SYNPCC7942_RS03560,,SYNPCC7942_RS03560,Synpcc7942_0694,Protein Homology,687133,688056,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243148.1,30S ribosomal protein S1,WP_011243148.1,,,,,,Synpcc7942_0694,
nrdR,nrdR,SYNPCC7942_RS03565,Synpcc7942_0695,Protein Homology,688334,688840,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243147.1,transcriptional regulator NrdR,WP_011243147.1,"GO:0006355,GO:0008270,GO:0140110",,"zinc ion binding|0008270||IEA,transcription regulator activity|0140110||IEA",regulation of DNA-templated transcription|0006355||IEA,,Synpcc7942_0695,
SYNPCC7942_RS03570,,SYNPCC7942_RS03570,Synpcc7942_0696,Protein Homology,689050,689145,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008277098.1,photosystem II reaction center protein T,WP_011243146.1,,,,,,Synpcc7942_0696,
psbB,psbB,SYNPCC7942_RS03575,Synpcc7942_0697,Protein Homology,689222,690748,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243145.1,photosystem II chlorophyll-binding protein CP47,WP_011243145.1,"GO:0009772,GO:0015979,GO:0016168,GO:0045156,GO:0009523,GO:0016020","photosystem II|0009523||IEA,membrane|0016020||IEA","chlorophyll binding|0016168||IEA,electron transporter%2C transferring electrons within the cyclic electron transport pathway of photosynthesis activity|0045156||IEA","photosynthetic electron transport in photosystem II|0009772||IEA,photosynthesis|0015979||IEA",,Synpcc7942_0697,
psbM,psbM,SYNPCC7942_RS03585,Synpcc7942_0699,Protein Homology,691619,691726,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243143.1,photosystem II reaction center protein PsbM,WP_011243143.1,"GO:0009538,GO:0009539","photosystem I reaction center|0009538||IEA,photosystem II reaction center|0009539||IEA",,,,Synpcc7942_0699,
SYNPCC7942_RS03590,,SYNPCC7942_RS03590,Synpcc7942_0700,Protein Homology,691824,692657,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243142.1,universal stress protein,WP_011243142.1,GO:0042802,,identical protein binding|0042802||IEA,,,Synpcc7942_0700,
SYNPCC7942_RS03595,,SYNPCC7942_RS03595,Synpcc7942_0701,Protein Homology,692799,693260,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243141.1,acyl-CoA thioesterase,WP_011243141.1,"GO:0016787,GO:0016790",,"hydrolase activity|0016787||IEA,thiolester hydrolase activity|0016790||IEA",,,Synpcc7942_0701,3.1.2.-
SYNPCC7942_RS03600,,SYNPCC7942_RS03600,Synpcc7942_0702,Protein Homology,693257,694045,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243140.1,SAM hydrolase/SAM-dependent halogenase family protein,WP_011377688.1,GO:0003824,,catalytic activity|0003824||IEA,,,Synpcc7942_0702,
dprA,dprA,SYNPCC7942_RS03605,Synpcc7942_0703,Protein Homology,694072,695280,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377689.1,DNA-processing protein DprA,WP_011377689.1,GO:0009294,,,DNA-mediated transformation|0009294||IEA,,Synpcc7942_0703,
SYNPCC7942_RS03610,,SYNPCC7942_RS03610,Synpcc7942_0704,Protein Homology,695313,695948,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243138.1,Vat family streptogramin A O-acetyltransferase,WP_011243138.1,GO:0016740,,transferase activity|0016740||IEA,,,Synpcc7942_0704,
SYNPCC7942_RS03615,,SYNPCC7942_RS03615,Synpcc7942_0705,Protein Homology,695971,696570,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243137.1,transglutaminase-like domain-containing protein,WP_231621340.1,,,,,,Synpcc7942_0705,
cbiT,cbiT,SYNPCC7942_RS03620,Synpcc7942_0706,Protein Homology,696577,697191,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377690.1,precorrin-6Y C5%2C15-methyltransferase subunit CbiT,WP_011377690.1,,,,,,Synpcc7942_0706,
SYNPCC7942_RS03625,,SYNPCC7942_RS03625,Synpcc7942_0707,Protein Homology,697172,698641,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243135.1,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,WP_011377691.1,GO:0016831,,carboxy-lyase activity|0016831||IEA,,,Synpcc7942_0707,4.1.1.-
SYNPCC7942_RS03630,,SYNPCC7942_RS03630,Synpcc7942_0708,Protein Homology,698708,700459,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243134.1,ABC1 kinase family protein,WP_011243134.1,"GO:0006468,GO:0004672,GO:0005524",,"protein kinase activity|0004672||IEA,ATP binding|0005524||IEA",protein phosphorylation|0006468||IEA,,Synpcc7942_0708,2.7.-.-
SYNPCC7942_RS03635,,SYNPCC7942_RS03635,Synpcc7942_0709,Protein Homology,700511,700840,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243133.1,hypothetical protein,WP_011243133.1,,,,,,Synpcc7942_0709,
SYNPCC7942_RS03640,,SYNPCC7942_RS03640,Synpcc7942_0710,Protein Homology,700843,701481,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243132.1,DUF3318 domain-containing protein,WP_039755832.1,,,,,,Synpcc7942_0710,
carB,carB,SYNPCC7942_RS03645,Synpcc7942_0711,Protein Homology,701604,704897,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243131.1,carbamoyl-phosphate synthase large subunit,WP_011243131.1,"GO:0008152,GO:0005524,GO:0046872",,"ATP binding|0005524||IEA,metal ion binding|0046872||IEA",metabolic process|0008152||IEA,,Synpcc7942_0711,6.3.5.5
ctpC,ctpC,SYNPCC7942_RS03650,Synpcc7942_0712,Protein Homology,705073,706350,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243130.1,carboxyl-terminal processing protease CtpC,WP_011243130.1,GO:0004252,,serine-type endopeptidase activity|0004252||IEA,,,Synpcc7942_0712,3.4.21.102
ispG,ispG,SYNPCC7942_RS03655,Synpcc7942_0713,Protein Homology,706450,707673,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243129.1,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,WP_011243129.1,"GO:0019288,GO:0046429,GO:0005737",cytoplasm|0005737||IEA,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity (ferredoxin)|0046429||IEA,isopentenyl diphosphate biosynthetic process%2C methylerythritol 4-phosphate pathway|0019288||IEA,,Synpcc7942_0713,1.17.7.1
SYNPCC7942_RS03660,,SYNPCC7942_RS03660,Synpcc7942_0714,Protein Homology,707744,709450,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243128.1,N-acetylmuramoyl-L-alanine amidase,WP_011243128.1,"GO:0009253,GO:0008745",,N-acetylmuramoyl-L-alanine amidase activity|0008745||IEA,peptidoglycan catabolic process|0009253||IEA,,Synpcc7942_0714,3.5.1.28
murA,murA,SYNPCC7942_RS03670,Synpcc7942_0715,Protein Homology,709863,711179,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012306729.1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,WP_173282550.1,"GO:0019277,GO:0008760",,UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity|0008760||IEA,UDP-N-acetylgalactosamine biosynthetic process|0019277||IEA,,Synpcc7942_0715,2.5.1.7
SYNPCC7942_RS03680,,SYNPCC7942_RS03680,Synpcc7942_0716,Protein Homology,711503,712546,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243126.1,tyrosine-type recombinase/integrase,WP_011243126.1,,,,,,Synpcc7942_0716,
SYNPCC7942_RS03685,,SYNPCC7942_RS03685,SYNPCC7942_RS03685,GeneMarkS-2+,712522,712740,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_039755830.1,,,,,,,
SYNPCC7942_RS03695,,SYNPCC7942_RS03695,Synpcc7942_0717,Protein Homology,713127,713651,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243125.1,dCTP deaminase,WP_011243125.1,"GO:0006226,GO:0006229,GO:0000166,GO:0008829",,"nucleotide binding|0000166||IEA,dCTP deaminase activity|0008829||IEA","dUMP biosynthetic process|0006226||IEA,dUTP biosynthetic process|0006229||IEA",,Synpcc7942_0717,3.5.4.13
SYNPCC7942_RS03700,,SYNPCC7942_RS03700,Synpcc7942_0718,Protein Homology,713678,714331,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243124.1,hypothetical protein,WP_011243124.1,,,,,,Synpcc7942_0718,
SYNPCC7942_RS03705,,SYNPCC7942_RS03705,Synpcc7942_0719,Protein Homology,714328,714831,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243123.1,hypothetical protein,WP_011243123.1,,,,,,Synpcc7942_0719,
SYNPCC7942_RS03710,,SYNPCC7942_RS03710,SYNPCC7942_RS03710,GeneMarkS-2+,714824,715054,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_039755828.1,,,,,,,
SYNPCC7942_RS03720,,SYNPCC7942_RS03720,SYNPCC7942_RS03720,GeneMarkS-2+,715386,715589,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_039755827.1,,,,,,,
SYNPCC7942_RS03725,,SYNPCC7942_RS03725,Synpcc7942_0721,GeneMarkS-2+,715592,715882,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011377693.1,,,,,,Synpcc7942_0721,
SYNPCC7942_RS03730,,SYNPCC7942_RS03730,Synpcc7942_0722,Protein Homology,715943,717025,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243121.1,hypothetical protein,WP_011243121.1,,,,,,Synpcc7942_0722,
SYNPCC7942_RS03735,,SYNPCC7942_RS03735,SYNPCC7942_RS03735,GeneMarkS-2+,717138,717386,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_041674884.1,,,,,,,
SYNPCC7942_RS03745,,SYNPCC7942_RS03745,Synpcc7942_0724,Protein Homology,718004,718447,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243119.1,hypothetical protein,WP_011243119.1,,,,,,Synpcc7942_0724,
SYNPCC7942_RS03750,,SYNPCC7942_RS03750,Synpcc7942_0725,Protein Homology,718666,720075,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243118.1,DEAD/DEAH box helicase,WP_011243118.1,"GO:0003676,GO:0004386,GO:0005524,GO:0016887",,"nucleic acid binding|0003676||IEA,helicase activity|0004386||IEA,ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,,Synpcc7942_0725,3.6.4.-
SYNPCC7942_RS03755,,SYNPCC7942_RS03755,Synpcc7942_0726,Protein Homology,720068,720430,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243117.1,VRR-NUC domain-containing protein,WP_011243117.1,,,,,,Synpcc7942_0726,
SYNPCC7942_RS03760,,SYNPCC7942_RS03760,Synpcc7942_0727,Protein Homology,720423,722966,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377695.1,primase-helicase zinc-binding domain-containing protein,WP_011377695.1,"GO:0003899,GO:0004386,GO:0008270",,"DNA-directed 5'-3' RNA polymerase activity|0003899||IEA,helicase activity|0004386||IEA,zinc ion binding|0008270||IEA",,,Synpcc7942_0727,
SYNPCC7942_RS03765,,SYNPCC7942_RS03765,Synpcc7942_0728,Protein Homology,723236,723781,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243115.1,hypothetical protein,WP_011243115.1,,,,,,Synpcc7942_0728,
SYNPCC7942_RS03770,,SYNPCC7942_RS03770,Synpcc7942_0729,Protein Homology,723806,724411,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243114.1,hypothetical protein,WP_011243114.1,,,,,,Synpcc7942_0729,
SYNPCC7942_RS03775,,SYNPCC7942_RS03775,Synpcc7942_0730,Protein Homology,724662,725165,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243113.1,hypothetical protein,WP_231621339.1,,,,,,Synpcc7942_0730,
SYNPCC7942_RS14240,,SYNPCC7942_RS14240,SYNPCC7942_RS14240,GeneMarkS-2+,725374,725496,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_265575063.1,,,,,,,
SYNPCC7942_RS03780,,SYNPCC7942_RS03780,Synpcc7942_0731,Protein Homology,725474,727354,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243112.1,phage terminase large subunit family protein,WP_011243112.1,"GO:0004519,GO:0005524,GO:0016887",,"endonuclease activity|0004519||IEA,ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,,Synpcc7942_0731,"3.1.21.4,3.6.4.-"
SYNPCC7942_RS03785,,SYNPCC7942_RS03785,Synpcc7942_0732,Protein Homology,727482,727691,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243111.1,phage head-tail joining protein,WP_011243111.1,GO:0019058,,,viral life cycle|0019058||IEA,,Synpcc7942_0732,
SYNPCC7942_RS03790,,SYNPCC7942_RS03790,Synpcc7942_0733,Protein Homology,727691,729154,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243110.1,phage portal protein,WP_011243110.1,"GO:0019068,GO:0005198,GO:0044423",virion component|0044423||IEA,structural molecule activity|0005198||IEA,virion assembly|0019068||IEA,,Synpcc7942_0733,
SYNPCC7942_RS03795,,SYNPCC7942_RS03795,Synpcc7942_0734,Protein Homology,729177,731051,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243109.1,prohead protease/major capsid protein fusion protein,WP_011243109.1,"GO:0019082,GO:0008233",,peptidase activity|0008233||IEA,viral protein processing|0019082||IEA,,Synpcc7942_0734,3.4.-.-
SYNPCC7942_RS03800,,SYNPCC7942_RS03800,Synpcc7942_0735,Protein Homology,731099,731428,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243108.1,DUF2190 family protein,WP_011243108.1,,,,,,Synpcc7942_0735,
SYNPCC7942_RS03805,,SYNPCC7942_RS03805,Synpcc7942_0736,Protein Homology,731452,731745,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243107.1,head-tail joining protein,WP_231621338.1,GO:0019068,,,virion assembly|0019068||IEA,,Synpcc7942_0736,
SYNPCC7942_RS03810,,SYNPCC7942_RS03810,Synpcc7942_0737,Protein Homology,731738,732376,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377696.1,hypothetical protein,WP_011377696.1,,,,,,Synpcc7942_0737,
SYNPCC7942_RS03815,,SYNPCC7942_RS03815,SYNPCC7942_RS03815,GeneMarkS-2+,732373,732729,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_041674885.1,,,,,,,
SYNPCC7942_RS13625,,SYNPCC7942_RS13625,Synpcc7942_0738,Protein Homology,732710,733270,+,,,COORDINATES: protein motif:HMM:TIGR01644.1,phage baseplate assembly protein V,WP_011377697.1,,,,,,Synpcc7942_0738,
SYNPCC7942_RS03825,,SYNPCC7942_RS03825,SYNPCC7942_RS03825,Protein Homology,733267,733536,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243105.1,PAAR domain-containing protein,WP_011243105.1,GO:0008270,,zinc ion binding|0008270||IEA,,,,
SYNPCC7942_RS03830,,SYNPCC7942_RS03830,Synpcc7942_0739,Protein Homology,733548,733880,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243104.1,GPW/gp25 family protein,WP_265575064.1,,,,,,Synpcc7942_0739,
SYNPCC7942_RS03835,,SYNPCC7942_RS03835,Synpcc7942_0740,Protein Homology,733877,734716,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243103.1,baseplate assembly protein,WP_011243103.1,"GO:0098045,GO:0098025",virus tail%2C baseplate|0098025||IEA,,virus baseplate assembly|0098045||IEA,,Synpcc7942_0740,
SYNPCC7942_RS03840,,SYNPCC7942_RS03840,Synpcc7942_0741,Protein Homology,734713,735552,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243102.1,phage tail protein,WP_011243102.1,,,,,,Synpcc7942_0741,
SYNPCC7942_RS03845,,SYNPCC7942_RS03845,Synpcc7942_0742,Protein Homology,735651,736136,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243101.1,hypothetical protein,WP_011243101.1,,,,,,Synpcc7942_0742,
SYNPCC7942_RS03850,,SYNPCC7942_RS03850,Synpcc7942_0743,Protein Homology,736140,738155,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243100.1,DUF4815 domain-containing protein,WP_011377698.1,,,,,,Synpcc7942_0743,
SYNPCC7942_RS03855,,SYNPCC7942_RS03855,Synpcc7942_0744,Protein Homology,738159,739610,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243099.1,hypothetical protein,WP_011377699.1,,,,,,Synpcc7942_0744,
SYNPCC7942_RS03860,,SYNPCC7942_RS03860,Synpcc7942_0745,Protein Homology,739615,740778,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377700.1,phage tail protein,WP_011377700.1,,,,,,Synpcc7942_0745,
SYNPCC7942_RS14245,,SYNPCC7942_RS14245,SYNPCC7942_RS14245,GeneMarkS-2+,741052,741288,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_231621337.1,,,,,,,
