Gene Number,Protein ID,Protein Description,COG Category,eggNOG HMM Description,Goterms,Kegg Ko,Localization,Protein Length,Biller et al. 2014 Science paper Table S2 MED4 vesicle detected proteins,Blast % Identity Uniprot,NCBI reference sequence,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Did we detect the same vesicle proteins as in Table S2 from homologus MED4 Biller et al. Science 2014,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number specs adjusted (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number of specs adjusted normalized to Hi3 (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle.biovolume (Abacus 9312 Vesicle),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells trypsin),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells gluc)
PMT9312_0935,Q31AV0,Q31AV0_PROM9 SMC domain N terminal domain-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0935 PE=4 SV=1,S,SMC domain N terminal,,,Unknown,193,,,,,1,0.01,6.85E-14,1.31E-10,6,0.12,1.17E-09,5.31E-09,10,0.15,1.43E-09,6.46E-09
PMT9312_0811,Q31B74,Q31B74_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0811 PE=4 SV=1,P,ABC transporter,,K02010,CytoplasmicMembrane,352,,,,,1,0.01,6.85E-14,1.31E-10,4,0.08,7.83E-10,3.54E-09,,,,
PMT9312_0710,Q31BH5,Q31BH5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0710 PE=4 SV=1,S,,,,Unknown,78,,,,,1,0.01,6.85E-14,1.31E-10,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_0915,Q31AX0,Q31AX0_PROM9 D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 4)-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0915 PE=4 SV=1,M,Carboxypeptidase,,K07259,Periplasmic,405,gi|33861442|ref|NP_893003.1| D-Ala-D-Ala carboxypeptidase 3,61.3,WP_011132518.1,Yes,1,0.01,6.85E-14,1.31E-10,,,,,,,,
PMT9312_1046,Q31AJ0,"Q31AJ0_PROM9 DNA gyrase/topoisomerase IV, subunit-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1046 PE=4 SV=1",S,,,,CytoplasmicMembrane,91,,,,,1,0.01,6.85E-14,1.31E-10,,,,,,,,
PMT9312_0622,Q31BR2,Q31BR2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0622 PE=4 SV=1,S,GLTT repeat (6 copies),,,Unknown,140,,,,,1,0.01,6.85E-14,1.31E-10,,,,,,,,
psbB,Q31CL3,Q31CL3_PROM9 Photosystem II CP47 reaction center protein OS=Prochlorococcus marinus (strain MIT 9312) GN=psbB PE=3 SV=1,S,photosystem II,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944",K02704,CytoplasmicMembrane,507,,,,,,,,,603,12.39,1.18E-07,5.34E-07,153,2.3,2.19E-08,9.89E-08
PMT9312_0627,Q31BQ7,Q31BQ7_PROM9 Light-harvesting complex protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0627 PE=4 SV=1,C,chlorophyll a b binding light harvesting protein,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006950,GO:0007154,GO:0008150,GO:0009267,GO:0009521,GO:0009522,GO:0009579,GO:0009605,GO:0009987,GO:0009991,GO:0010106,GO:0016020,GO:0030075,GO:0030094,GO:0031667,GO:0031668,GO:0031669,GO:0032991,GO:0033554,GO:0034357,GO:0042594,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0044699,GO:0044763,GO:0050896,GO:0051716,GO:0071496,GO:0071944","K08918,K08919,K08921,K08922,K08923,K08925",CytoplasmicMembrane,352,,,,,,,,,396.33,8.14,7.76E-08,3.51E-07,9,0.14,1.29E-09,5.82E-09
rpoC2,Q318Q9,RPOC2_PROM9 DNA-directed RNA polymerase subunit beta_ OS=Prochlorococcus marinus (strain MIT 9312) GN=rpoC2 PE=3 SV=1,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity),,K03046,Cytoplasmic,1366,,,,,,,,,371.67,7.64,7.27E-08,3.29E-07,193.33,2.9,2.76E-08,1.25E-07
psaA,Q318L9,PSAA_PROM9 Photosystem I P700 chlorophyll a apoprotein A1 OS=Prochlorococcus marinus (strain MIT 9312) GN=psaA PE=3 SV=1,C,"PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009522,GO:0009579,GO:0016020,GO:0030075,GO:0030094,GO:0032991,GO:0034357,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944",K02689,CytoplasmicMembrane,767,,,,,,,,,366.33,7.53,7.17E-08,3.24E-07,27,0.41,3.86E-09,1.75E-08
atpD,Q318V4,ATPB_PROM9 ATP synthase subunit beta OS=Prochlorococcus marinus (strain MIT 9312) GN=atpD PE=3 SV=1,C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0016469,GO:0032991,GO:0034357,GO:0042651,GO:0043234,GO:0044424,GO:0044425,GO:0044436,GO:0044459,GO:0044464,GO:0045259,GO:0045260,GO:0071944",K02112,CytoplasmicMembrane,486,,,,,,,,,294.33,6.05,5.76E-08,2.61E-07,101,1.52,1.44E-08,6.53E-08
PMT9312_0789,Q31B96,Q31B96_PROM9 Fructose-bisphosphate aldolase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0789 PE=3 SV=1,G,"Fructose-bisphosphate aldolase, class II, Calvin cycle subtype",,K01624,Cytoplasmic,357,,,,,,,,,233,4.79,4.56E-08,2.06E-07,109.67,1.65,1.57E-08,7.09E-08
psaL,Q318M4,Q318M4_PROM9 Photosystem I reaction center subunit XI OS=Prochlorococcus marinus (strain MIT 9312) GN=psaL PE=3 SV=1,C,photosystem I reaction center protein subunit XI,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009522,GO:0009579,GO:0016020,GO:0030075,GO:0030094,GO:0032991,GO:0034357,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944",K02699,CytoplasmicMembrane,196,,,,,,,,,190.33,3.91,3.72E-08,1.69E-07,21,0.32,3.00E-09,1.36E-08
PMT9312_0642,Q31BP2,Q31BP2_PROM9 O-acetylhomoserine sulfhydrolase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0642 PE=3 SV=1,E,sulfhydrylase,,K01740,Cytoplasmic,442,,,,,,,,,175.33,3.6,3.43E-08,1.55E-07,41.67,0.63,5.95E-09,2.69E-08
psaE,Q31CJ9,PSAE_PROM9 Photosystem I reaction center subunit IV OS=Prochlorococcus marinus (strain MIT 9312) GN=psaE PE=3 SV=1,S,,,,CytoplasmicMembrane,69,,,,,,,,,166,3.41,3.25E-08,1.47E-07,41,0.62,5.86E-09,2.65E-08
PMT9312_1073,Q31AG3,Q31AG3_PROM9 IMP dehydrogenase related 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1073 PE=4 SV=1,F,IMP dehydrogenase,,K00088,Cytoplasmic,387,,,,,,,,,162.33,3.34,3.18E-08,1.44E-07,42.33,0.64,6.05E-09,2.74E-08
pnp,Q319U4,PNP_PROM9 Polyribonucleotide nucleotidyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=pnp PE=3 SV=1,J,Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3'- to 5'-direction (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00962,Cytoplasmic,721,,,,,,,,,160.33,3.29,3.14E-08,1.42E-07,96.33,1.45,1.38E-08,6.23E-08
PMT9312_0793,Q31B92,Q31B92_PROM9 Phosphoribulokinase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0793 PE=3 SV=1,C,phosphoribulokinase (EC 2.7.1.19),,K00855,Cytoplasmic,299,,,,,,,,,136.33,2.8,2.67E-08,1.21E-07,85,1.28,1.21E-08,5.49E-08
rpoA,Q318K7,RPOA_PROM9 DNA-directed RNA polymerase subunit alpha OS=Prochlorococcus marinus (strain MIT 9312) GN=rpoA PE=3 SV=1,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity),,K03040,Cytoplasmic,311,,,,,,,,,134.33,2.76,2.63E-08,1.19E-07,152,2.28,2.17E-08,9.83E-08
PMT9312_1066,Q31AH0,Q31AH0_PROM9 Mg-protoporphyrin IX chelatase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1066 PE=3 SV=1,H,magnesium chelatase ATPase subunit I,,K03405,Cytoplasmic,362,,,,,,,,,122.67,2.52,2.40E-08,1.09E-07,74.33,1.12,1.06E-08,4.80E-08
PMT9312_0495,Q31C39,Q31C39_PROM9 Inorganic diphosphatase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0495 PE=4 SV=1,C,inorganic,,K01507,Cytoplasmic,195,,,,,,,,,120,2.47,2.35E-08,1.06E-07,80,1.2,1.14E-08,5.17E-08
psaB,Q318M0,PSAB_PROM9 Photosystem I P700 chlorophyll a apoprotein A2 OS=Prochlorococcus marinus (strain MIT 9312) GN=psaB PE=3 SV=1,C,"PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009522,GO:0009579,GO:0016020,GO:0030075,GO:0030094,GO:0032991,GO:0034357,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944",K02690,CytoplasmicMembrane,742,,,,,,,,,117.33,2.41,2.30E-08,1.04E-07,39,0.59,5.57E-09,2.52E-08
petA,Q31C73,CYF_PROM9 Cytochrome f OS=Prochlorococcus marinus (strain MIT 9312) GN=petA PE=3 SV=1,C,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009512,GO:0009579,GO:0016020,GO:0032991,GO:0034357,GO:0042651,GO:0043234,GO:0044424,GO:0044436,GO:0044464,GO:0071944",K02634,Unknown,317,,,,,,,,,105.67,2.17,2.07E-08,9.36E-08,33.67,0.51,4.81E-09,2.18E-08
grpE,Q31DG8,GRPE_PROM9 Protein GrpE OS=Prochlorococcus marinus (strain MIT 9312) GN=grpE PE=3 SV=1,O,"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K03687,Cytoplasmic,239,,,,,,,,,104.33,2.14,2.04E-08,9.24E-08,89,1.34,1.27E-08,5.75E-08
metK,Q31CL7,METK_PROM9 S-adenosylmethionine synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=metK PE=3 SV=1,H,"Catalyzes the formation of S-adenosylmethionine from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00789,Cytoplasmic,413,,,,,,,,,101.67,2.09,1.99E-08,9.00E-08,32,0.48,4.57E-09,2.07E-08
eno,Q31CX3,ENO_PROM9 Enolase OS=Prochlorococcus marinus (strain MIT 9312) GN=eno PE=3 SV=1,G,Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity),"GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0009986,GO:0044424,GO:0044464",K01689,Cytoplasmic,430,,,,,,,,,98,2.01,1.92E-08,8.68E-08,51.33,0.77,7.33E-09,3.32E-08
ftsH,Q31BD4,Q31BD4_PROM9 ATP-dependent zinc metalloprotease FtsH OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsH PE=3 SV=1,O,"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009579,GO:0009765,GO:0009987,GO:0010206,GO:0015979,GO:0016020,GO:0019538,GO:0019684,GO:0030091,GO:0034357,GO:0042651,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044436,GO:0044464,GO:0071704,GO:0071944",K03798,CytoplasmicMembrane,637,,,,,,,,,94.33,1.94,1.85E-08,8.35E-08,27,0.41,3.86E-09,1.75E-08
atpG,Q318U2,ATPG_PROM9 ATP synthase gamma chain OS=Prochlorococcus marinus (strain MIT 9312) GN=atpG PE=3 SV=1,C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0016469,GO:0032991,GO:0034357,GO:0042651,GO:0043234,GO:0044424,GO:0044425,GO:0044436,GO:0044459,GO:0044464,GO:0045259,GO:0045260,GO:0071944",K02115,Cytoplasmic,316,,,,,,,,,92.67,1.9,1.81E-08,8.21E-08,32,0.48,4.57E-09,2.07E-08
PMT9312_1272,Q319W4,Q319W4_PROM9 Flavodoxin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1272 PE=3 SV=1,C,Low-potential electron donor to a number of redox enzymes (By similarity),,K03839,Cytoplasmic,174,,,,,,,,,92.33,1.9,1.81E-08,8.18E-08,46.67,0.7,6.67E-09,3.02E-08
PMT9312_0402,Q31CD2,Q31CD2_PROM9 Cysteine synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0402 PE=3 SV=1,E,Cysteine synthase,,K01738,Cytoplasmic,328,,,,,,,,,91.67,1.88,1.79E-08,8.12E-08,30,0.45,4.29E-09,1.94E-08
infB,Q318P8,IF2_PROM9 Translation initiation factor IF-2 OS=Prochlorococcus marinus (strain MIT 9312) GN=infB PE=3 SV=1,J,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K02519,Cytoplasmic,1128,,,,,,,,,84,1.73,1.64E-08,7.44E-08,42.67,0.64,6.10E-09,2.76E-08
PMT9312_0229,Q31CV4,Q31CV4_PROM9 Sulfate adenylyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0229 PE=4 SV=1,P,Sulfate adenylate transferase,,K00958,Cytoplasmic,391,,,,,,,,,84,1.73,1.64E-08,7.44E-08,18.33,0.28,2.62E-09,1.19E-08
rpiA,Q318Q3,RPIA_PROM9 Ribose-5-phosphate isomerase A OS=Prochlorococcus marinus (strain MIT 9312) GN=rpiA PE=3 SV=1,G,Phosphoriboisomerase A,,K01807,Unknown,237,,,,,,,,,83.33,1.71,1.63E-08,7.38E-08,45.33,0.68,6.48E-09,2.93E-08
PMT9312_0777,Q31BA8,Q31BA8_PROM9 Glucose-1-phosphate adenylyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0777 PE=3 SV=1,G,"Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans (By similarity)",,K00975,Cytoplasmic,431,,,,,,,,,82,1.68,1.60E-08,7.26E-08,38,0.57,5.43E-09,2.46E-08
PMT9312_1053,Q31AI3,Q31AI3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1053 PE=4 SV=1,S,Pentapeptide repeat-containing protein,,,Unknown,172,,,,,,,,,81.67,1.68,1.60E-08,7.23E-08,61,0.92,8.71E-09,3.94E-08
rpoC1,Q318Q8,RPOC1_PROM9 DNA-directed RNA polymerase subunit gamma OS=Prochlorococcus marinus (strain MIT 9312) GN=rpoC1 PE=3 SV=1,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity),,K03046,Cytoplasmic,634,,,,,,,,,80,1.64,1.57E-08,7.08E-08,14.33,0.22,2.05E-09,9.27E-09
atpG,Q318T8,ATPX_PROM9 ATP synthase subunit b_ OS=Prochlorococcus marinus (strain MIT 9312) GN=atpG PE=3 SV=1,C,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0016469,GO:0032991,GO:0034357,GO:0042651,GO:0043234,GO:0044424,GO:0044425,GO:0044436,GO:0044459,GO:0044464,GO:0045259,GO:0045260,GO:0071944",K02109,Unknown,153,,,,,,,,,78,1.6,1.53E-08,6.91E-08,73,1.1,1.04E-08,4.72E-08
nusA,Q318Q0,Q318Q0_PROM9 Transcription termination/antitermination protein NusA OS=Prochlorococcus marinus (strain MIT 9312) GN=nusA PE=3 SV=1,K,Transcription elongation factor NusA,,K02600,Cytoplasmic,468,,,,,,,,,77.33,1.59,1.51E-08,6.85E-08,70,1.05,1.00E-08,4.52E-08
PMT9312_1244,Q319Z2,Q319Z2_PROM9 NAD(P)(+) transhydrogenase (AB-specific) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1244 PE=4 SV=1,C,"transhydrogenase, subunit alpha",,K00324,CytoplasmicMembrane,391,,,,,,,,,70.67,1.45,1.38E-08,6.26E-08,24,0.36,3.43E-09,1.55E-08
PMT9312_0899,Q31AY6,Q31AY6_PROM9 Chaperone protein HtpG OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0899 PE=4 SV=1,O,heat shock protein 90,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K04079,Cytoplasmic,634,,,,,,,,,69.67,1.43,1.36E-08,6.17E-08,62,0.93,8.86E-09,4.01E-08
PMT9312_1604,Q318N1,Q318N1_PROM9 Glutamate synthase (Ferredoxin) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1604 PE=4 SV=1,E,Glutamate synthase,,K00284,Cytoplasmic,1468,,,,,,,,,68.33,1.4,1.34E-08,6.05E-08,20.67,0.31,2.95E-09,1.34E-08
tig,Q317Y7,TIG_PROM9 Trigger factor OS=Prochlorococcus marinus (strain MIT 9312) GN=tig PE=3 SV=1,O,Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K03545,Cytoplasmic,481,,,,,,,,,64,1.32,1.25E-08,5.67E-08,28.33,0.43,4.05E-09,1.83E-08
PMT9312_0284,Q31CQ0,Q31CQ0_PROM9 Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0284 PE=3 SV=1,I,Enoyl- acyl-carrier-protein reductase NADH,"GO:0003674,GO:0003824,GO:0004312,GO:0004318,GO:0006082,GO:0006461,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016043,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0022607,GO:0030497,GO:0032787,GO:0043436,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044710,GO:0044711,GO:0046394,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055114,GO:0065003,GO:0070271,GO:0071704,GO:0071822,GO:0071840,GO:0072330,GO:1901576",K00208,CytoplasmicMembrane,260,,,,,,,,,61.67,1.27,1.21E-08,5.46E-08,7,0.11,1.00E-09,4.52E-09
PMT9312_1801,Q317T3,Q317T3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1801 PE=4 SV=1,S,Protein of unknown function (DUF3134),,,Unknown,103,,,,,,,,,58.67,1.21,1.15E-08,5.19E-08,39.67,0.6,5.67E-09,2.56E-08
psbC,Q319X9,Q319X9_PROM9 Photosystem II CP43 reaction center protein OS=Prochlorococcus marinus (strain MIT 9312) GN=psbC PE=3 SV=1,S,Photosystem II 44 kDa subunit reaction center protein,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944",K02705,CytoplasmicMembrane,460,,,,,,,,,57.33,1.18,1.12E-08,5.08E-08,23.33,0.35,3.33E-09,1.51E-08
uvrA,Q317S9,Q317S9_PROM9 UvrABC system protein A OS=Prochlorococcus marinus (strain MIT 9312) GN=uvrA PE=3 SV=1,L,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K03701,Cytoplasmic,967,,,,,,,,,57,1.17,1.12E-08,5.05E-08,10.67,0.16,1.52E-09,6.90E-09
ilvC,Q319H3,ILVC_PROM9 Ketol-acid reductoisomerase (NADP(+)) OS=Prochlorococcus marinus (strain MIT 9312) GN=ilvC PE=3 SV=1,E,Alpha-keto-beta-hydroxylacyl reductoisomerase,,K00053,Cytoplasmic,329,,,,,,,,,55.33,1.14,1.08E-08,4.90E-08,22.67,0.34,3.24E-09,1.47E-08
PMT9312_1394,Q319J1,Q319J1_PROM9 Dihydrolipoyl dehydrogenase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1394 PE=4 SV=1,C,Dihydrolipoyl dehydrogenase,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K00382,Cytoplasmic,479,,,,,,,,,55,1.13,1.08E-08,4.87E-08,50.33,0.76,7.19E-09,3.25E-08
rnj,Q317Z0,Q317Z0_PROM9 Ribonuclease J OS=Prochlorococcus marinus (strain MIT 9312) GN=rnj PE=3 SV=1,S,metallo-beta-lactamase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K12574,Cytoplasmic,660,,,,,,,,,53,1.09,1.04E-08,4.69E-08,19.67,0.3,2.81E-09,1.27E-08
rplI2,Q317W9,RL9_PROM9 50S ribosomal protein L9 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplI2 PE=3 SV=1,J,Binds to the 23S rRNA (By similarity),,K02939,Cytoplasmic,151,,,,,,,,,52.67,1.08,1.03E-08,4.66E-08,49.67,0.75,7.10E-09,3.21E-08
PMT9312_0062,Q31DC2,"Q31DC2_PROM9 Acetyl-CoA carboxylase, biotin carboxylase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0062 PE=4 SV=1",I,"acetyl-CoA carboxylase, biotin carboxylase",,K01961,Cytoplasmic,448,,,,,,,,,52.67,1.08,1.03E-08,4.66E-08,10.67,0.16,1.52E-09,6.90E-09
hemF,Q318G0,HEM6_PROM9 Oxygen-dependent coproporphyrinogen-III oxidase OS=Prochlorococcus marinus (strain MIT 9312) GN=hemF PE=3 SV=1,H,Key enzyme in heme biosynthesis. Catalyzes the oxidative decarboxylation of propionic acid side chains of rings A and B of coproporphyrinogen III (By similarity),"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0042802,GO:0042803,GO:0044424,GO:0044464,GO:0046983",K00228,Cytoplasmic,342,,,,,,,,,52,1.07,1.02E-08,4.60E-08,21.33,0.32,3.05E-09,1.38E-08
PMT9312_1878,A7FAI0,A7FAI0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1878 PE=4 SV=1,S,,,,Unknown,73,,,,,,,,,52,1.07,1.02E-08,4.60E-08,3,0.05,4.29E-10,1.94E-09
