gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
P9303_RS07490,,P9303_RS07490,P9303_17511,Protein Homology,1530018.0,1531571.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826380.1,hypothetical protein,WP_011826380.1,,,,,P9303_17511,1530018.0,1531571.0,-,CK_Pro_MIT9303_17511,,,CK_00043696,,,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
P9303_RS07495,,P9303_RS07495,P9303_17521,Protein Homology,1532292.0,1533371.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129894.1,transporter substrate-binding domain-containing protein,WP_236069729.1,,,,,P9303_17521,1532370.0,1533371.0,+,CK_Pro_MIT9303_17521,,,CK_00001722,,,"COG0834,COG1226,bactNOG19439,cyaNOG02510","COG: ET,COG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism",,,,possible ligand gated channel (GIC family),"PF00060,PF07885,PF00497,IPR001320,IPR013099","Ligand-gated ion channel,Ion channel,Bacterial extracellular solute-binding proteins%2C family 3,Ionotropic glutamate receptor,Potassium channel domain",185,Unclassified / Role category not yet assigned,,
P9303_RS07500,,P9303_RS07500,P9303_17531,Protein Homology,1533399.0,1533947.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826382.1,hypothetical protein,WP_011826382.1,,,,,P9303_17531,1533399.0,1533947.0,-,CK_Pro_MIT9303_17531,,,CK_00002344,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
P9303_RS07505,,P9303_RS07505,P9303_17541,Protein Homology,1534328.0,1534546.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826383.1,ribbon-helix-helix domain-containing protein,WP_231901330.1,,,,,P9303_17541,1534328.0,1534567.0,-,CK_Pro_MIT9303_17541,,GO:0006355,CK_00050805,R.2,Conserved hypothetical proteins,"NOG117302,bactNOG75406,cyaNOG08310","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,regulation of transcription%2C DNA-templated,CopG-like ribbon-helix-helix domain-containing protein,"PF07878,IPR012869,IPR010985","CopG-like RHH_1 or ribbon-helix-helix domain%2C RHH_5,CopG-like ribbon-helix-helix domain,Ribbon-helix-helix",156,Hypothetical proteins / Conserved,,
P9303_RS07510,,P9303_RS07510,P9303_17551,Protein Homology,1534723.0,1535328.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826384.1,PCC domain-containing protein,WP_011826384.1,,,,,P9303_17551,1534723.0,1535328.0,+,CK_Pro_MIT9303_17551,,"GO:0045454,GO:0009055,GO:0015035",CK_00051584,,,,,,,"cell redox homeostasis,cell redox homeostasis,electron transfer activity,protein disulfide oxidoreductase activity",glutaredoxin family protein,"PF00462,PF03479,PS00195,PS51354,IPR011767,IPR002109,IPR005175","Glutaredoxin,Plants and Prokaryotes Conserved (PCC) domain,Glutaredoxin active site.,Glutaredoxin domain profile.,Glutaredoxin active site,Glutaredoxin,PPC domain",112,Energy metabolism / Electron transport,,
P9303_RS07515,,P9303_RS07515,P9303_17561,Protein Homology,1535325.0,1535582.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826385.1,DUF6737 family protein,WP_011826385.1,,,,,P9303_17561,1535325.0,1535582.0,+,CK_Pro_MIT9303_17561,,GO:0016020,CK_00051874,R.2,Conserved hypothetical proteins,,,,,membrane,uncharacterized conserved membrane protein,PS51257,Prokaryotic membrane lipoprotein lipid attachment site profile.,156,Hypothetical proteins / Conserved,,
P9303_RS07520,,P9303_RS07520,P9303_17571,Protein Homology,1535673.0,1536557.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826386.1,GNAT family N-acetyltransferase,WP_011826386.1,GO:0016747,,acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA,,P9303_17571,1535673.0,1536557.0,+,CK_Pro_MIT9303_17571,,GO:0008080,CK_00001405,,,"COG0454,bactNOG93051,bactNOG02449,cyaNOG02984","COG: KR,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,cyaNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription",,,N-acetyltransferase activity,acetyltransferase family protein,"PF00583,PS51186,IPR000182","Acetyltransferase (GNAT) family,Gcn5-related N-acetyltransferase (GNAT) domain profile.,GNAT domain",703,Unknown function / Enzymes of unknown specificity,,2.3.1.-
P9303_RS07525,,P9303_RS07525,P9303_17581,Protein Homology,1536635.0,1536973.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129888.1,c-type cytochrome,WP_011129888.1,"GO:0009055,GO:0020037",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA",,P9303_17581,1536635.0,1536982.0,-,CK_Pro_MIT9303_17581,petJ2,"GO:0006810,GO:0022900,GO:0015979,GO:0009055,GO:0020037,GO:0031977",CK_00000063,"G.2,J","Electron transport,Photosynthesis and respiration","COG2010,bactNOG39266,cyaNOG03941","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"transport,electron transport chain,photosynthesis,transport,electron transport chain,photosynthesis,electron transfer activity,heme binding,transport,electron transport chain,photosynthesis,electron transfer activity,heme binding,thylakoid lumen",cytochrome c553 (cytochrome c6),"PF13442,PS51007,IPR009056","Cytochrome C oxidase%2C cbb3-type%2C subunit III,Cytochrome c family profile.,Cytochrome c-like domain","112,164","Energy metabolism / Electron transport,Energy metabolism / Photosynthesis",,
pstS,pstS,P9303_RS07530,P9303_17591,Protein Homology,1537324.0,1538307.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826388.1,phosphate ABC transporter substrate-binding protein PstS,WP_011826388.1,"GO:0006817,GO:0035435,GO:0015415,GO:0042301,GO:0043190",ATP-binding cassette (ABC) transporter complex|0043190||IEA,"ATPase-coupled phosphate ion transmembrane transporter activity|0015415||IEA,phosphate ion binding|0042301||IEA","phosphate ion transport|0006817||IEA,phosphate ion transmembrane transport|0035435||IEA",P9303_17591,1537324.0,1538307.0,+,CK_Pro_MIT9303_17591,pstS,"GO:0006817,GO:0035435,GO:0015415,GO:0042301,GO:0030288,GO:0031362,GO:0055052,GO:0043190",CK_00043821,"D.1.5,E.3,Q.2","Phosphorus,Phosphorus metabolism,Anions",COG0226,COG: METABOLISM [P] Inorganic ion transport and metabolism,,,"phosphate ion transport,phosphate ion transmembrane transport,phosphate ion transport,phosphate ion transmembrane transport,ATPase-coupled phosphate ion transmembrane transporter activity,phosphate ion binding,phosphate ion transport,phosphate ion transmembrane transport,ATPase-coupled phosphate ion transmembrane transporter activity,phosphate ion binding,outer membrane-bounded periplasmic space,anchored component of external side of plasma membrane,ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing,ATP-binding cassette (ABC) transporter complex",phosphate ABC transporter%2C phosphate-binding protein PstS,"TIGR00975,PF12849,PS51257,IPR005673,IPR024370","phosphate ABC transporter%2C phosphate-binding protein PstS,PBP superfamily domain,Prokaryotic membrane lipoprotein lipid attachment site profile.,Phosphate ABC transporter%2C substrate-binding protein PstS,PBP domain","103,143","Central intermediary metabolism / Phosphorus compounds,Transport and binding proteins / Anions",,
P9303_RS07535,,P9303_RS07535,P9303_17601,Protein Homology,1538472.0,1538681.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826389.1,hypothetical protein,WP_011826389.1,,,,,P9303_17601,1538472.0,1538681.0,-,CK_Pro_MIT9303_17601,,,CK_00001495,R.2,Conserved hypothetical proteins,"NOG40023,bactNOG75733,cyaNOG08078","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
P9303_RS07540,,P9303_RS07540,P9303_17611,Protein Homology,1538708.0,1539391.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826390.1,SDR family oxidoreductase,WP_011826390.1,,,,,P9303_17611,1538708.0,1539391.0,-,CK_Pro_MIT9303_17611,,,CK_00000924,,,"COG0702,COG0451,bactNOG16011,bactNOG27814,cyaNOG01380,cyaNOG06471","COG: MG,COG: MG,bactNOG: M,bactNOG: M,cyaNOG: M,cyaNOG: M",,,,NAD(P)-binding domain-containing protein,PF13460,NAD(P)H-binding,185,Unclassified / Role category not yet assigned,,
P9303_RS07545,,P9303_RS07545,P9303_17631,Protein Homology,1539739.0,1540278.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127625.1,rhomboid family intramembrane serine protease,WP_430270485.1,"GO:0004252,GO:0016020",membrane|0016020||IEA,serine-type endopeptidase activity|0004252||IEA,,P9303_17631,1539697.0,1540278.0,+,CK_Pro_MIT9303_17631,,"GO:0004252,GO:0016021",CK_00001497,L.4,Degradation of proteins%2C peptides%2C and glycopeptides,"COG0705,bactNOG24732,cyaNOG02662","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"serine-type endopeptidase activity,serine-type endopeptidase activity,integral component of membrane",serine peptidase%2C rhomboid family,"PF01694,IPR022764,IPR035952","Rhomboid family,Peptidase S54%2C rhomboid domain,Rhomboid-like superfamily",138,Protein fate / Degradation of proteins%2C peptides%2C and glycopeptides,,3.4.21.105
nth,nth,P9303_RS07550,P9303_17641,Protein Homology,1540372.0,1541025.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011359806.1,endonuclease III,WP_011826393.1,"GO:0006281,GO:0140078",,class I DNA-(apurinic or apyrimidinic site) endonuclease activity|0140078||IEA,DNA repair|0006281||IEA,P9303_17641,1540372.0,1541025.0,-,CK_Pro_MIT9303_17641,nth,"GO:0006284,GO:0006285,GO:0034644,GO:0097510,GO:0006281,GO:0006974,GO:0000703,GO:0003906,GO:0004844,GO:0005515,GO:0051539,GO:0003677,GO:0016787,GO:0016798,GO:0016829,GO:0019104,GO:0046872,GO:0051536",CK_00000920,F.1.1,Base excision repair,"COG0177,bactNOG00538,cyaNOG00528","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",4.2.99.18,Transferred to 4.2.99.18,"base-excision repair,base-excision repair%2C AP site formation,cellular response to UV,base-excision repair%2C AP site formation via deaminated base removal,DNA repair,cellular response to DNA damage stimulus,base-excision repair,base-excision repair%2C AP site formation,cellular response to UV,base-excision repair%2C AP site formation via deaminated base removal,DNA repair,cellular response to DNA damage stimulus,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity,DNA-(apurinic or apyrimidinic site) endonuclease activity,uracil DNA N-glycosylase activity,protein binding,4 iron%2C 4 sulfur cluster binding,DNA binding,hydrolase activity,hydrolase activity%2C acting on glycosyl bonds,lyase activity,DNA N-glycosylase activity,metal ion binding,iron-sulfur cluster binding",endonuclease III,"TIGR01083,PF00633,PF00730,PS01155,IPR000445,IPR004036,IPR005759,IPR003265","endonuclease III,Helix-hairpin-helix motif,HhH-GPD superfamily base excision DNA repair protein,Endonuclease III family signature.,Helix-hairpin-helix motif,Endonuclease III-like%2C conserved site-2,Endonuclease III,HhH-GPD domain",132,DNA metabolism / DNA replication%2C recombination%2C and repair,,4.2.99.18
P9303_RS07555,,P9303_RS07555,P9303_17651,Protein Homology,1541230.0,1541577.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129882.1,phenylpyruvate tautomerase MIF-related protein,WP_011826394.1,,,,,P9303_17651,1541230.0,1541577.0,-,CK_Pro_MIT9303_17651,PmMIF,,CK_00001654,A.5,Pyruvate family (Ala%2C Val%2C Leu),"NOG08790,COG1942,NOG284179,NOG287625,bactNOG30129,bactNOG70678,cyaNOG03424","COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,macrophage migration inhibitory factor MIF-like protein,"PF01187,IPR001398,IPR014347","Macrophage migration inhibitory factor (MIF),Macrophage migration inhibitory factor,Tautomerase/MIF superfamily",74,Amino acid biosynthesis / Pyruvate family,,
P9303_RS07560,,P9303_RS07560,P9303_17661,Protein Homology,1542565.0,1543347.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826395.1,helix-turn-helix domain-containing protein,WP_011826395.1,,,,,P9303_17661,1542565.0,1543347.0,+,CK_Pro_MIT9303_17661,,"GO:0006355,GO:0003700,GO:0003677,GO:0005622",CK_00002546,"D.1.7,N.1","Trace metals, DNA interactions","COG0664,NOG75467,bactNOG73469,cyaNOG08135","COG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,cyaNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription",,,"regulation of transcription%2C DNA-templated,regulation of transcription%2C DNA-templated,DNA-binding transcription factor activity,DNA binding,regulation of transcription%2C DNA-templated,DNA-binding transcription factor activity,DNA binding,intracellular",transcriptional regulator%2C Crp/Fnr family,"TIGR00003,PF13545,PS00042,PS51063,IPR018335,IPR012318,IPR011991,IPR036388IPR036390","copper ion binding protein,Crp-like helix-turn-helix domain,Crp-type HTH domain signature.,Crp-type HTH domain profile.,Transcription regulator HTH%2C Crp-type%2C conserved site,Crp-type HTH domain,ArsR-like helix-turn-helix domain,Description not found.",261,Regulatory functions / DNA interactions,,
P9303_RS07565,,P9303_RS07565,P9303_17671,Protein Homology,1543347.0,1544405.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826396.1,ABC transporter ATP-binding protein,WP_011826396.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,P9303_17671,1543347.0,1544405.0,+,CK_Pro_MIT9303_17671,futC,"GO:0005524,GO:0016887",CK_00008066,"D.1.1,Q.4","Iron,Cations and iron carrying compounds","COG3842,bactNOG00221,cyaNOG02038","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",7.2.2.7,Transferred to 7.2.2.7,"ATP binding,ATPase activity",iron(III) transport system ATP-binding protein,"PF00005,PS00211,PS50893,IPR003439,IPR017871","ABC transporter,ABC transporters family signature.,ATP-binding cassette%2C ABC transporter-type domain profile.,ABC transporter-like,ABC transporter%2C conserved site",145,Transport and binding proteins / Cations and iron carrying compounds,,7.-.-.-
P9303_RS07570,,P9303_RS07570,P9303_17691,Protein Homology,1544849.0,1545427.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129878.1,ferritin,WP_011826398.1,,,,,P9303_17691,1544849.0,1545427.0,+,CK_Pro_MIT9303_17691,ftn,"GO:0006826,GO:0006879,GO:0008199,GO:0016491",CK_00001204,Q.4,Cations and iron carrying compounds,"COG1528,bactNOG27725,bactNOG60163,cyaNOG05793,cyaNOG05904","COG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism",,,"iron ion transport,cellular iron ion homeostasis,iron ion transport,cellular iron ion homeostasis,ferric iron binding,oxidoreductase activity",ferritin,"PF00210,PS50905,IPR009040,IPR008331","Ferritin-like domain,Ferritin-like diiron domain profile.,Ferritin-like diiron domain,Ferritin/DPS protein domain",145,Transport and binding proteins / Cations and iron carrying compounds,,
P9303_RS07580,,P9303_RS07580,P9303_17701,Protein Homology,1545825.0,1546421.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129876.1,helix-turn-helix domain-containing protein,WP_011826399.1,"GO:0006355,GO:0003677",,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA,P9303_17701,1545825.0,1546421.0,-,CK_Pro_MIT9303_17701,,"GO:0006355,GO:0003677,GO:0003700",CK_00001390,"D.1.1,D.1.9,N.1","Iron, Other, DNA interactions","NOG47640,COG0664,bactNOG63737,cyaNOG06423","COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,COG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,cyaNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription",,,"regulation of transcription%2C DNA-templated,regulation of transcription%2C DNA-templated,DNA binding,DNA-binding transcription factor activity",possible transcriptional regulator of iron metabolism%2C Crp/Fnr family protein,"PF13545,PS51063,IPR011991,IPR012318","Crp-like helix-turn-helix domain,Crp-type HTH domain profile.,ArsR-like helix-turn-helix domain,Crp-type HTH domain",261,Regulatory functions / DNA interactions,,
P9303_RS14275,,P9303_RS14275,P9303_17711,GeneMarkS-2+,1546933.0,1547103.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011826400.1,,,,,P9303_17711,1546933.0,1547103.0,+,CK_Pro_MIT9303_17711,,,CK_00045507,,,,,,,,Conserved hypothetical protein,,,,,,
P9303_RS07585,,P9303_RS07585,P9303_17721,Protein Homology,1547562.0,1548668.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129875.1,chlorophyll a/b binding light-harvesting protein,WP_011826401.1,"GO:0009765,GO:0016168",,chlorophyll binding|0016168||IEA,photosynthesis%2C light harvesting|0009765||IEA,P9303_17721,1547562.0,1548668.0,-,CK_Pro_MIT9303_17721,pcb,"GO:0009765,GO:0009768,GO:0030076",CK_00033109,"D.1.1,D.1.2,J.4","Iron,Light,Light-harvesting-Pcb","NOG10575,bactNOG10458,cyaNOG05879,cyaNOG00013","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"photosynthesis%2C light harvesting,photosynthesis%2C light harvesting in photosystem I,photosynthesis%2C light harvesting,photosynthesis%2C light harvesting in photosystem I,light-harvesting complex",divinyl-chlorophyll a/b binding light harvesting protein%2C photosystem I-associated,"TIGR03041,PF00421,IPR000932","chlorophyll a/b binding light-harvesting protein,Photosystem II protein,Photosystem antenna protein-like",164,Energy metabolism / Photosynthesis,,
P9303_RS07590,,P9303_RS07590,P9303_17741,Protein Homology,1549682.0,1550215.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826403.1,ferritin,WP_011826403.1,,,,,P9303_17741,1549682.0,1550215.0,-,CK_Pro_MIT9303_17741,ftn,"GO:0006826,GO:0006879,GO:0008199,GO:0016491",CK_00033189,Q.4,Cations and iron carrying compounds,"COG1528,bactNOG27725,cyaNOG05793","COG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism",,,"iron ion transport,cellular iron ion homeostasis,iron ion transport,cellular iron ion homeostasis,ferric iron binding,oxidoreductase activity",ferritin,"PF00210,PS50905,IPR009040,IPR008331","Ferritin-like domain,Ferritin-like diiron domain profile.,Ferritin-like diiron domain,Ferritin/DPS protein domain",145,Transport and binding proteins / Cations and iron carrying compounds,,
P9303_RS07595,,P9303_RS07595,P9303_17751,Protein Homology,1550744.0,1551427.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129873.1,peroxiredoxin-like family protein,WP_063394961.1,,,,,P9303_17751,1550744.0,1551484.0,-,CK_Pro_MIT9303_17751,,,CK_00000992,"B.9,D.1.4"," Thioredoxin%2C glutaredoxin and glutathione,Oxidative stress","NOG40131,COG1055,COG1225,bactNOG05013,cyaNOG00884","COG: POORLY CHARACTERIZED [S] Function unknown,COG: METABOLISM [P] Inorganic ion transport and metabolism,COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,AhpC/TSA antioxidant enzyme domain-containing protein,"PF13911,IPR032801","AhpC/TSA antioxidant enzyme,Peroxiredoxin-like 2A/B/C","149,96","Cellular processes / Adaptations to atypical conditions,Cellular processes / Detoxification",,
P9303_RS07600,,P9303_RS07600,P9303_17761,Protein Homology,1551898.0,1552155.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826405.1,hypothetical protein,WP_011826405.1,,,,,P9303_17761,1551898.0,1552155.0,+,CK_Pro_MIT9303_17761,rpaC,GO:0016020,CK_00001249,"J.5,N.5","Light-harvesting-Phycobilisomes,Other","NOG14222,NOG296082,bactNOG40821,cyaNOG03413","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,membrane,regulator of phycobilisome association C,,,164,Energy metabolism / Photosynthesis,,
msrA,msrA,P9303_RS07605,P9303_17771,Protein Homology,1553247.0,1553966.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826406.1,peptide-methionine (S)-S-oxide reductase MsrA,WP_011826406.1,"GO:0006979,GO:0030091,GO:0008113,GO:0033744",,"peptide-methionine (S)-S-oxide reductase activity|0008113||IEA,L-methionine:thioredoxin-disulfide S-oxidoreductase activity|0033744||IEA","response to oxidative stress|0006979||IEA,protein repair|0030091||IEA",P9303_17771,1553247.0,1553966.0,+,CK_Pro_MIT9303_17771,msrA1,"GO:0006979,GO:0030091,GO:0055114,GO:0008113,GO:0016671",CK_00000160,"D.1,L.2","Adaptation/acclimation to atypical conditions and detoxification,Protein modification and repair","COG0225,bactNOG05199,bactNOG18316,bactNOG06650,cyaNOG01842,cyaNOG02865","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",1.8.4.11,Transferred to 1.8.4.11,"response to oxidative stress,protein repair,oxidation-reduction process,response to oxidative stress,protein repair,oxidation-reduction process,peptide-methionine (S)-S-oxide reductase activity,oxidoreductase activity%2C acting on a sulfur group of donors%2C disulfide as acceptor",peptide methionine sulfoxide reductase,"TIGR00401,PF01625,IPR002569","peptide-methionine (S)-S-oxide reductase,Peptide methionine sulfoxide reductase,Peptide methionine sulphoxide reductase MsrA","140,149","Protein fate / Protein modification and repair,Cellular processes / Adaptations to atypical conditions",,1.8.4.11
P9303_RS07610,,P9303_RS07610,P9303_17781,Protein Homology,1554295.0,1555863.0,-,,,COORDINATES: protein motif:HMM:NF012546.6,alpha/beta hydrolase family protein,WP_236069730.1,GO:0016787,,hydrolase activity|0016787||IEA,,P9303_17781,1554295.0,1556340.0,-,CK_Pro_MIT9303_17781,,"GO:0006508,GO:0008236",CK_00056716,D.8,Toxin production and resistance,"COG1506,bactNOG01080,cyaNOG02007","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",,,"proteolysis,proteolysis,serine-type peptidase activity",dipeptidyl aminopeptidase/peptidase S9 prolyl oligopeptidase,"PF00326,IPR001375","Prolyl oligopeptidase family,Peptidase S9%2C prolyl oligopeptidase%2C catalytic domain","184,96","Energy metabolism / Other,Cellular processes / Detoxification",,3.-.-.-
P9303_RS14280,,P9303_RS14280,P9303_17791,GeneMarkS-2+,1556474.0,1556641.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_196757591.1,,,,,P9303_17791,1556504.0,1556641.0,+,CK_Pro_MIT9303_17791,,,CK_00054578,,,,,,,,conserved hypothetical protein,,,856,Not Found,,
P9303_RS07615,,P9303_RS07615,P9303_17811,Protein Homology,1556672.0,1557085.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129868.1,hypothetical protein,WP_236069731.1,,,,,P9303_17811,1556702.0,1557085.0,+,CK_Pro_MIT9303_17811,,GO:0016020,CK_00001441,R.2,Conserved hypothetical proteins,"NOG46634,bactNOG70847,cyaNOG07746","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,membrane,uncharacterized conserved membrane protein,,,156,Hypothetical proteins / Conserved,,
P9303_RS07625,,P9303_RS07625,P9303_17821,Protein Homology,1557721.0,1558038.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826411.1,hypothetical protein,WP_011826411.1,,,,,P9303_17821,1557721.0,1558038.0,-,CK_Pro_MIT9303_17821,,,CK_00001247,R.2,Conserved hypothetical proteins,"NOG86361,COG1060,bactNOG73671,cyaNOG07972","COG: POORLY CHARACTERIZED [S] Function unknown,COG: HR,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
P9303_RS07630,,P9303_RS07630,P9303_17841,Protein Homology,1558908.0,1559246.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826413.1,hypothetical protein,WP_011826413.1,,,,,P9303_17841,1558908.0,1559246.0,-,CK_Pro_MIT9303_17841,,,CK_00055100,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
P9303_RS07635,,P9303_RS07635,P9303_17851,Protein Homology,1559586.0,1560038.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826414.1,hypothetical protein,WP_011826414.1,,,,,P9303_17851,1559586.0,1560038.0,-,CK_Pro_MIT9303_17851,,,CK_00003473,R.2,Conserved hypothetical proteins,,,,,,uncharacterized secreted protein%2C Prochlorococcus-specific,,,156,Hypothetical proteins / Conserved,,
P9303_RS07640,,P9303_RS07640,P9303_17861,GeneMarkS-2+,1560053.0,1560355.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011826415.1,,,,,P9303_17861,1560053.0,1560355.0,+,CK_Pro_MIT9303_17861,,,CK_00038991,,,,,,,,hypothetical protein,,,,,,
